Pathway,NRSF 01,CAGNWMCNNNGAC UNKNOWN,RFX1 02,GTTRYCATRR UNKNOWN,TFIII Q6,SP1 Q2 01,AP4 Q6 01,HEB Q6,LBP1 Q6,MYOGENIN Q6,PAX4 03,RREB1 01,MZF1 01,CP2 01,ZIC3 01,WGGAATGY TEF1 Q6,FREAC3 01,POU6F1 01,CDX2 Q5,OCT1 02,EVI1 04,AFP1 Q6,S8 01,TGATTTRY GFI1 01,PAX8 B,AP3 Q6,RP58 01,TAL1BETAE47 01,TAL1ALPHAE47 01,TAL1BETAITF2 01,HAND1E47 01,FOXM1 01,MEF2 Q6 01,MEF2 02,CREB Q2,CREB Q4,SYATTGTG UNKNOWN,ELF1 Q6,ETS Q4,PEA3 Q6
PAX4 03,0.01953125,0.015625,0.05859375,0.0390625,0.11328125,0.06640625,0.0546875,0.046875,0.05078125,0.046875,1.0,0.1875,0.19921875,0.12109375,0.1171875,0.0703125,0.11328125,0.0546875,0.05078125,0.046875,0.06640625,0.05859375,0.05078125,0.05078125,0.0234375,0.05859375,0.0546875,0.04296875,0.05859375,0.06640625,0.0703125,0.07421875,0.02734375,0.03515625,0.03515625,0.0390625,0.0546875,0.04296875,0.03125,0.0390625
RREB1 01,0.014285714285714285,0.014285714285714285,0.04285714285714286,0.02857142857142857,0.09523809523809523,0.0380952380952381,0.03333333333333333,0.0380952380952381,0.04285714285714286,0.06666666666666667,0.22857142857142856,1.0,0.19047619047619047,0.08571428571428572,0.1380952380952381,0.05714285714285714,0.1,0.05238095238095238,0.06190476190476191,0.05238095238095238,0.08095238095238096,0.06666666666666667,0.04285714285714286,0.06190476190476191,0.06190476190476191,0.08095238095238096,0.06666666666666667,0.0761904761904762,0.08095238095238096,0.09047619047619047,0.09523809523809523,0.07142857142857142,0.03333333333333333,0.05238095238095238,0.0380952380952381,0.04285714285714286,0.07142857142857142,0.0380952380952381,0.01904761904761905,0.05238095238095238
MZF1 01,0.016666666666666666,0.025,0.0375,0.0375,0.12916666666666668,0.07083333333333333,0.05,0.07916666666666666,0.04583333333333333,0.05,0.2125,0.16666666666666666,1.0,0.12083333333333333,0.08333333333333333,0.0875,0.06666666666666667,0.041666666666666664,0.05,0.041666666666666664,0.05,0.058333333333333334,0.04583333333333333,0.0625,0.03333333333333333,0.07083333333333333,0.03333333333333333,0.041666666666666664,0.06666666666666667,0.04583333333333333,0.0625,0.041666666666666664,0.025,0.03333333333333333,0.016666666666666666,0.020833333333333332,0.041666666666666664,0.04583333333333333,0.05416666666666667,0.029166666666666667
CP2 01,0.011494252873563218,0.007662835249042145,0.03065134099616858,0.022988505747126436,0.06896551724137931,0.05747126436781609,0.06896551724137931,0.07662835249042145,0.04597701149425287,0.06513409961685823,0.11877394636015326,0.06896551724137931,0.1111111111111111,1.0,0.0842911877394636,0.08812260536398467,0.0421455938697318,0.04597701149425287,0.038314176245210725,0.05363984674329502,0.022988505747126436,0.0421455938697318,0.02681992337164751,0.0421455938697318,0.022988505747126436,0.038314176245210725,0.019157088122605363,0.0421455938697318,0.06513409961685823,0.05747126436781609,0.05363984674329502,0.02681992337164751,0.034482758620689655,0.02681992337164751,0.03065134099616858,0.03065134099616858,0.04597701149425287,0.038314176245210725,0.04980842911877394,0.04980842911877394
ZIC3 01,0.00784313725490196,0.011764705882352941,0.043137254901960784,0.03529411764705882,0.09411764705882353,0.0784313725490196,0.058823529411764705,0.09019607843137255,0.03137254901960784,0.058823529411764705,0.11764705882352941,0.11372549019607843,0.0784313725490196,0.08627450980392157,1.0,0.11372549019607843,0.10980392156862745,0.06274509803921569,0.07450980392156863,0.07058823529411765,0.07058823529411765,0.047058823529411764,0.047058823529411764,0.07450980392156863,0.047058823529411764,0.047058823529411764,0.07450980392156863,0.06274509803921569,0.07058823529411765,0.06274509803921569,0.07058823529411765,0.050980392156862744,0.023529411764705882,0.03137254901960784,0.011764705882352941,0.0196078431372549,0.043137254901960784,0.023529411764705882,0.047058823529411764,0.023529411764705882
WGGAATGY TEF1 Q6,0.007751937984496124,0.01808785529715762,0.020671834625323,0.0103359173126615,0.03359173126614987,0.03359173126614987,0.05426356589147287,0.04909560723514212,0.046511627906976744,0.046511627906976744,0.046511627906976744,0.031007751937984496,0.05426356589147287,0.059431524547803614,0.07493540051679587,1.0,0.06976744186046512,0.04909560723514212,0.046511627906976744,0.056847545219638244,0.08010335917312661,0.04392764857881137,0.03617571059431524,0.046511627906976744,0.012919896640826873,0.06718346253229975,0.03359173126614987,0.04392764857881137,0.04392764857881137,0.056847545219638244,0.06201550387596899,0.03359173126614987,0.04392764857881137,0.041343669250646,0.03359173126614987,0.03875968992248062,0.059431524547803614,0.015503875968992248,0.03875968992248062,0.03617571059431524
FREAC3 01,0.0,0.007751937984496124,0.03875968992248062,0.023255813953488372,0.05813953488372093,0.031007751937984496,0.05426356589147287,0.04263565891472868,0.046511627906976744,0.04263565891472868,0.1124031007751938,0.08139534883720931,0.06201550387596899,0.04263565891472868,0.10852713178294573,0.10465116279069768,1.0,0.12015503875968993,0.13565891472868216,0.11627906976744186,0.10465116279069768,0.09302325581395349,0.07364341085271318,0.10465116279069768,0.046511627906976744,0.07364341085271318,0.06589147286821706,0.06976744186046512,0.09302325581395349,0.08527131782945736,0.09302325581395349,0.07364341085271318,0.050387596899224806,0.04263565891472868,0.046511627906976744,0.050387596899224806,0.046511627906976744,0.050387596899224806,0.03875968992248062,0.023255813953488372
POU6F1 01,0.008333333333333333,0.020833333333333332,0.04583333333333333,0.029166666666666667,0.025,0.0375,0.0625,0.041666666666666664,0.0375,0.029166666666666667,0.058333333333333334,0.04583333333333333,0.041666666666666664,0.05,0.06666666666666667,0.07916666666666666,0.12916666666666668,1.0,0.21666666666666667,0.125,0.15,0.15833333333333333,0.1375,0.12083333333333333,0.05416666666666667,0.125,0.0625,0.058333333333333334,0.058333333333333334,0.07083333333333333,0.10416666666666667,0.09166666666666666,0.10416666666666667,0.0875,0.0375,0.0375,0.09583333333333334,0.0375,0.0375,0.029166666666666667
CDX2 Q5,0.019011406844106463,0.019011406844106463,0.03802281368821293,0.026615969581749048,0.034220532319391636,0.022813688212927757,0.07224334600760456,0.049429657794676805,0.06463878326996197,0.053231939163498096,0.049429657794676805,0.049429657794676805,0.045627376425855515,0.03802281368821293,0.07224334600760456,0.06844106463878327,0.13307984790874525,0.19771863117870722,1.0,0.10646387832699619,0.13688212927756654,0.13688212927756654,0.11406844106463879,0.12547528517110265,0.057034220532319393,0.09505703422053231,0.060836501901140684,0.060836501901140684,0.07224334600760456,0.06844106463878327,0.09125475285171103,0.11406844106463879,0.07604562737642585,0.060836501901140684,0.045627376425855515,0.045627376425855515,0.08745247148288973,0.026615969581749048,0.03802281368821293,0.045627376425855515
OCT1 02,0.023255813953488372,0.018604651162790697,0.04186046511627907,0.027906976744186046,0.037209302325581395,0.04186046511627907,0.05116279069767442,0.03255813953488372,0.03255813953488372,0.03255813953488372,0.05581395348837209,0.05116279069767442,0.046511627906976744,0.06511627906976744,0.08372093023255814,0.10232558139534884,0.13953488372093023,0.13953488372093023,0.13023255813953488,1.0,0.17674418604651163,0.09767441860465116,0.10697674418604651,0.12558139534883722,0.037209302325581395,0.08372093023255814,0.04186046511627907,0.09302325581395349,0.09302325581395349,0.08837209302325581,0.07906976744186046,0.10232558139534884,0.07906976744186046,0.07906976744186046,0.027906976744186046,0.027906976744186046,0.05116279069767442,0.018604651162790697,0.013953488372093023,0.037209302325581395
EVI1 04,0.024896265560165973,0.03319502074688797,0.04564315352697095,0.024896265560165973,0.05394190871369295,0.058091286307053944,0.04564315352697095,0.05394190871369295,0.04564315352697095,0.016597510373443983,0.07053941908713693,0.07053941908713693,0.04979253112033195,0.024896265560165973,0.07468879668049792,0.12863070539419086,0.11203319502074689,0.14937759336099585,0.14937759336099585,0.15767634854771784,1.0,0.12033195020746888,0.1037344398340249,0.12448132780082988,0.05394190871369295,0.12033195020746888,0.07053941908713693,0.058091286307053944,0.06224066390041494,0.07053941908713693,0.1078838174273859,0.11618257261410789,0.1078838174273859,0.0912863070539419,0.029045643153526972,0.029045643153526972,0.06639004149377593,0.03319502074688797,0.016597510373443983,0.029045643153526972
AFP1 Q6,0.018656716417910446,0.022388059701492536,0.011194029850746268,0.014925373134328358,0.03731343283582089,0.033582089552238806,0.04477611940298507,0.026119402985074626,0.048507462686567165,0.026119402985074626,0.055970149253731345,0.05223880597014925,0.05223880597014925,0.041044776119402986,0.04477611940298507,0.06343283582089553,0.08955223880597014,0.1417910447761194,0.13432835820895522,0.07835820895522388,0.10820895522388059,1.0,0.13059701492537312,0.11940298507462686,0.033582089552238806,0.06716417910447761,0.07835820895522388,0.06343283582089553,0.055970149253731345,0.07462686567164178,0.08582089552238806,0.04477611940298507,0.08955223880597014,0.10820895522388059,0.029850746268656716,0.033582089552238806,0.06716417910447761,0.03731343283582089,0.026119402985074626,0.04477611940298507
S8 01,0.004048582995951417,0.008097165991902834,0.05263157894736842,0.020242914979757085,0.02834008097165992,0.024291497975708502,0.05263157894736842,0.032388663967611336,0.020242914979757085,0.020242914979757085,0.05263157894736842,0.03643724696356275,0.044534412955465584,0.02834008097165992,0.048582995951417005,0.05668016194331984,0.07692307692307693,0.13360323886639677,0.1214574898785425,0.0931174089068826,0.10121457489878542,0.1417004048582996,1.0,0.1214574898785425,0.044534412955465584,0.11740890688259109,0.08097165991902834,0.08097165991902834,0.06477732793522267,0.07692307692307693,0.08502024291497975,0.11336032388663968,0.06477732793522267,0.04048582995951417,0.024291497975708502,0.024291497975708502,0.05668016194331984,0.024291497975708502,0.020242914979757085,0.024291497975708502
TGATTTRY GFI1 01,0.013513513513513514,0.013513513513513514,0.033783783783783786,0.02702702702702703,0.033783783783783786,0.02027027027027027,0.04054054054054054,0.0472972972972973,0.037162162162162164,0.02364864864864865,0.04391891891891892,0.04391891891891892,0.05067567567567568,0.037162162162162164,0.06418918918918919,0.060810810810810814,0.09121621621621621,0.09797297297297297,0.11148648648648649,0.09121621621621621,0.10135135135135136,0.10810810810810811,0.10135135135135136,1.0,0.05405405405405406,0.07432432432432433,0.05067567567567568,0.06418918918918919,0.05405405405405406,0.060810810810810814,0.057432432432432436,0.10135135135135136,0.06756756756756757,0.05405405405405406,0.02027027027027027,0.02702702702702703,0.06418918918918919,0.04054054054054054,0.033783783783783786,0.02364864864864865
PAX8 B,0.03773584905660377,0.05660377358490566,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.03773584905660377,0.04716981132075472,0.03773584905660377,0.0660377358490566,0.05660377358490566,0.05660377358490566,0.12264150943396226,0.07547169811320754,0.05660377358490566,0.11320754716981132,0.04716981132075472,0.11320754716981132,0.12264150943396226,0.14150943396226415,0.07547169811320754,0.12264150943396226,0.08490566037735849,0.10377358490566038,0.1509433962264151,1.0,0.09433962264150944,0.02830188679245283,0.02830188679245283,0.03773584905660377,0.03773584905660377,0.07547169811320754,0.08490566037735849,0.07547169811320754,0.09433962264150944,0.018867924528301886,0.03773584905660377,0.02830188679245283,0.04716981132075472,0.018867924528301886,0.05660377358490566
AP3 Q6,0.0,0.00398406374501992,0.0398406374501992,0.00796812749003984,0.035856573705179286,0.027888446215139442,0.055776892430278883,0.035856573705179286,0.05179282868525897,0.03187250996015936,0.05976095617529881,0.06772908366533864,0.06772908366533864,0.0398406374501992,0.04780876494023904,0.10358565737051793,0.07569721115537849,0.11952191235059761,0.099601593625498,0.07171314741035857,0.11553784860557768,0.07171314741035857,0.11553784860557768,0.08764940239043825,0.0398406374501992,1.0,0.0398406374501992,0.06772908366533864,0.05976095617529881,0.06772908366533864,0.06374501992031872,0.07569721115537849,0.043824701195219126,0.043824701195219126,0.0398406374501992,0.035856573705179286,0.043824701195219126,0.03187250996015936,0.01593625498007968,0.03187250996015936
RP58 01,0.0047169811320754715,0.009433962264150943,0.0660377358490566,0.0330188679245283,0.07547169811320754,0.07075471698113207,0.1179245283018868,0.1179245283018868,0.05660377358490566,0.05188679245283019,0.0660377358490566,0.0660377358490566,0.03773584905660377,0.02358490566037736,0.08962264150943396,0.06132075471698113,0.08018867924528301,0.07075471698113207,0.07547169811320754,0.04245283018867924,0.08018867924528301,0.09905660377358491,0.09433962264150944,0.07075471698113207,0.014150943396226415,0.04716981132075472,1.0,0.23113207547169812,0.24056603773584906,0.20754716981132076,0.10377358490566038,0.10849056603773585,0.05660377358490566,0.07547169811320754,0.05660377358490566,0.05660377358490566,0.04716981132075472,0.0330188679245283,0.0660377358490566,0.018867924528301886
TAL1BETAE47 01,0.01568627450980392,0.0196078431372549,0.0392156862745098,0.03529411764705882,0.03529411764705882,0.054901960784313725,0.08235294117647059,0.06666666666666667,0.050980392156862744,0.0392156862745098,0.043137254901960784,0.06274509803921569,0.0392156862745098,0.043137254901960784,0.06274509803921569,0.06666666666666667,0.07058823529411765,0.054901960784313725,0.06274509803921569,0.0784313725490196,0.054901960784313725,0.06666666666666667,0.0784313725490196,0.07450980392156863,0.011764705882352941,0.06666666666666667,0.19215686274509805,1.0,0.6509803921568628,0.6784313725490196,0.09019607843137255,0.0784313725490196,0.08235294117647059,0.07450980392156863,0.03529411764705882,0.043137254901960784,0.03529411764705882,0.01568627450980392,0.03137254901960784,0.03137254901960784
TAL1ALPHAE47 01,0.0038910505836575876,0.007782101167315175,0.0311284046692607,0.019455252918287938,0.042801556420233464,0.0622568093385214,0.13229571984435798,0.10505836575875487,0.042801556420233464,0.038910505836575876,0.058365758754863814,0.06614785992217899,0.0622568093385214,0.06614785992217899,0.07003891050583658,0.06614785992217899,0.0933852140077821,0.054474708171206226,0.07392996108949416,0.07782101167315175,0.058365758754863814,0.058365758754863814,0.0622568093385214,0.0622568093385214,0.01556420233463035,0.058365758754863814,0.19844357976653695,0.6459143968871596,1.0,0.688715953307393,0.07392996108949416,0.07003891050583658,0.0622568093385214,0.054474708171206226,0.04669260700389105,0.054474708171206226,0.023346303501945526,0.023346303501945526,0.054474708171206226,0.03501945525291829
TAL1BETAITF2 01,0.0037593984962406013,0.011278195488721804,0.041353383458646614,0.03383458646616541,0.041353383458646614,0.04887218045112782,0.09398496240601503,0.08646616541353383,0.045112781954887216,0.04887218045112782,0.06390977443609022,0.07142857142857142,0.041353383458646614,0.05639097744360902,0.06015037593984962,0.08270676691729323,0.08270676691729323,0.06390977443609022,0.06766917293233082,0.07142857142857142,0.06390977443609022,0.07518796992481203,0.07142857142857142,0.06766917293233082,0.015037593984962405,0.06390977443609022,0.16541353383458646,0.650375939849624,0.6654135338345865,1.0,0.08270676691729323,0.06766917293233082,0.06766917293233082,0.05639097744360902,0.045112781954887216,0.05639097744360902,0.03383458646616541,0.03007518796992481,0.04887218045112782,0.03007518796992481
HAND1E47 01,0.017605633802816902,0.01056338028169014,0.03873239436619718,0.028169014084507043,0.03169014084507042,0.02464788732394366,0.0528169014084507,0.06690140845070422,0.03169014084507042,0.02464788732394366,0.06338028169014084,0.07042253521126761,0.0528169014084507,0.04929577464788732,0.06338028169014084,0.08450704225352113,0.08450704225352113,0.0880281690140845,0.08450704225352113,0.05985915492957746,0.09154929577464789,0.08098591549295775,0.07394366197183098,0.05985915492957746,0.028169014084507043,0.056338028169014086,0.07746478873239436,0.08098591549295775,0.06690140845070422,0.07746478873239436,1.0,0.08098591549295775,0.056338028169014086,0.0528169014084507,0.014084507042253521,0.017605633802816902,0.028169014084507043,0.02112676056338028,0.02464788732394366,0.035211267605633804
FOXM1 01,0.012096774193548387,0.008064516129032258,0.036290322580645164,0.020161290322580645,0.06048387096774194,0.03225806451612903,0.05241935483870968,0.07661290322580645,0.06854838709677419,0.04838709677419355,0.07661290322580645,0.06048387096774194,0.04032258064516129,0.028225806451612902,0.05241935483870968,0.05241935483870968,0.07661290322580645,0.08870967741935484,0.12096774193548387,0.08870967741935484,0.11290322580645161,0.04838709677419355,0.11290322580645161,0.12096774193548387,0.036290322580645164,0.07661290322580645,0.09274193548387097,0.08064516129032258,0.07258064516129033,0.07258064516129033,0.09274193548387097,1.0,0.06854838709677419,0.056451612903225805,0.056451612903225805,0.056451612903225805,0.04435483870967742,0.05241935483870968,0.04435483870967742,0.04032258064516129
MEF2 Q6 01,0.02,0.004,0.028,0.004,0.02,0.02,0.076,0.044,0.036,0.036,0.028,0.028,0.024,0.036,0.024,0.068,0.052,0.1,0.08,0.068,0.104,0.096,0.064,0.08,0.032,0.044,0.048,0.084,0.064,0.072,0.064,0.068,1.0,0.488,0.02,0.032,0.028,0.028,0.04,0.036
MEF2 02,0.02531645569620253,0.004219409282700422,0.029535864978902954,0.008438818565400843,0.0379746835443038,0.02109704641350211,0.08438818565400844,0.05485232067510549,0.05063291139240506,0.0379746835443038,0.0379746835443038,0.046413502109704644,0.03375527426160337,0.029535864978902954,0.03375527426160337,0.06751054852320675,0.046413502109704644,0.08860759493670886,0.06751054852320675,0.07172995780590717,0.09282700421940929,0.12236286919831224,0.04219409282700422,0.06751054852320675,0.04219409282700422,0.046413502109704644,0.06751054852320675,0.08016877637130802,0.05907172995780591,0.06329113924050633,0.06329113924050633,0.05907172995780591,0.5147679324894515,1.0,0.016877637130801686,0.02531645569620253,0.03375527426160337,0.0379746835443038,0.02531645569620253,0.0379746835443038
CREB Q2,0.01486988847583643,0.01486988847583643,0.022304832713754646,0.011152416356877323,0.040892193308550186,0.03717472118959108,0.026022304832713755,0.022304832713754646,0.01858736059479554,0.03717472118959108,0.03345724907063197,0.02973977695167286,0.01486988847583643,0.02973977695167286,0.011152416356877323,0.048327137546468404,0.04460966542750929,0.03345724907063197,0.04460966542750929,0.022304832713754646,0.026022304832713755,0.02973977695167286,0.022304832713754646,0.022304832713754646,0.007434944237918215,0.03717472118959108,0.04460966542750929,0.03345724907063197,0.04460966542750929,0.04460966542750929,0.01486988847583643,0.05204460966542751,0.01858736059479554,0.01486988847583643,1.0,0.8252788104089219,0.05204460966542751,0.05204460966542751,0.05204460966542751,0.011152416356877323
CREB Q4,0.014705882352941176,0.011029411764705883,0.025735294117647058,0.014705882352941176,0.029411764705882353,0.04411764705882353,0.03676470588235294,0.03308823529411765,0.022058823529411766,0.03308823529411765,0.03676470588235294,0.03308823529411765,0.01838235294117647,0.029411764705882353,0.01838235294117647,0.05514705882352941,0.04779411764705882,0.03308823529411765,0.04411764705882353,0.022058823529411766,0.025735294117647058,0.03308823529411765,0.022058823529411766,0.029411764705882353,0.014705882352941176,0.03308823529411765,0.04411764705882353,0.04044117647058824,0.051470588235294115,0.05514705882352941,0.01838235294117647,0.051470588235294115,0.029411764705882353,0.022058823529411766,0.8161764705882353,1.0,0.04779411764705882,0.04779411764705882,0.04044117647058824,0.011029411764705883
SYATTGTG UNKNOWN,0.004273504273504274,0.004273504273504274,0.042735042735042736,0.042735042735042736,0.03418803418803419,0.04700854700854701,0.05128205128205128,0.04700854700854701,0.042735042735042736,0.017094017094017096,0.05982905982905983,0.0641025641025641,0.042735042735042736,0.05128205128205128,0.04700854700854701,0.09829059829059829,0.05128205128205128,0.09829059829059829,0.09829059829059829,0.04700854700854701,0.06837606837606838,0.07692307692307693,0.05982905982905983,0.0811965811965812,0.01282051282051282,0.04700854700854701,0.042735042735042736,0.038461538461538464,0.02564102564102564,0.038461538461538464,0.03418803418803419,0.04700854700854701,0.029914529914529916,0.03418803418803419,0.05982905982905983,0.05555555555555555,1.0,0.038461538461538464,0.03418803418803419,0.021367521367521368
ELF1 Q6,0.004016064257028112,0.008032128514056224,0.0321285140562249,0.01606425702811245,0.040160642570281124,0.040160642570281124,0.04819277108433735,0.0321285140562249,0.03614457831325301,0.024096385542168676,0.04417670682730924,0.0321285140562249,0.04417670682730924,0.040160642570281124,0.024096385542168676,0.024096385542168676,0.05220883534136546,0.03614457831325301,0.028112449799196786,0.01606425702811245,0.0321285140562249,0.040160642570281124,0.024096385542168676,0.04819277108433735,0.020080321285140562,0.0321285140562249,0.028112449799196786,0.01606425702811245,0.024096385542168676,0.0321285140562249,0.024096385542168676,0.05220883534136546,0.028112449799196786,0.03614457831325301,0.05622489959839357,0.05220883534136546,0.03614457831325301,1.0,0.13253012048192772,0.12449799196787148
