Pathway,MRNA PROCESSING,"REGULATION OF SISTER CHROMATID SEPARATION AT
THE METAPHASEANAPHASE TRANSITION","FATTY ACID AND LIPOPROTEIN TRANSPORT IN
HEPATOCYTES",CHOLESTEROL METABOLISM,"STEROL REGULATORY ELEMENTBINDING PROTEINS
SREBP SIGNALING","SREBF AND MIR33 IN CHOLESTEROL AND LIPID
HOMEOSTASIS",ANGIOPOIETINLIKE PROTEIN 8 REGULATORY PATHWAY,LIVER X RECEPTOR PATHWAY,"TRANSCRIPTIONAL CASCADE REGULATING
ADIPOGENESIS","CHOLESTEROL METABOLISM WITH BLOCH AND
KANDUTSCHRUSSELL PATHWAYS","CHOLESTEROL BIOSYNTHESIS PATHWAY IN
HEPATOCYTES",OMEGA9 FATTY ACID SYNTHESIS,FATTY ACID BIOSYNTHESIS,FERROPTOSIS,CAFFEINE IN MYOCYTES,STRIATED MUSCLE CONTRACTION PATHWAY,MIRTARGETED GENES IN MUSCLE CELL,"VITAMIN DSENSITIVE CALCIUM SIGNALING IN
DEPRESSION",RETT SYNDROME,"DEREGULATING CELLULAR METABOLISM THROUGH
NONGENOTOXIC CARCINOGENS","THYROID HORMONES PRODUCTION AND PERIPHERAL
DOWNSTREAM SIGNALING EFFECTS",INSULIN SIGNALING,"TRANSLATION INHIBITORS IN CHRONICALLY
ACTIVATED PDGFRA CELLS","EFFECT OF OMEGA3 PUFA ON HUNTINGTONS DISEASE
PATHWAYS",KIT RECEPTOR SIGNALING,EGFEGFR SIGNALING,MAPK PATHWAY IN CONGENITAL THYROID CANCER,HEPATOCYTE GROWTH FACTOR RECEPTOR SIGNALING,PROLACTIN SIGNALING,MACROPHAGESTIMULATING PROTEIN MSP SIGNALING,REGULATION OF ACTIN CYTOSKELETON,"NANOPARTICLEMEDIATED ACTIVATION OF RECEPTOR
SIGNALING",ANGIOGENESIS OVERVIEW,METABOLIC REPROGRAMMING IN COLON CANCER,METABOLIC EPILEPTIC DISORDERS,"PHOTODYNAMIC THERAPYINDUCED UNFOLDED PROTEIN
RESPONSE",ANK2 PATHWAY IN EPILEPSY DEVELOPMENT,PHOSPHOINOSITIDES METABOLISM,"GPR143 IN MELANOCYTES AND RETINAL PIGMENT
EPITHELIUM CELLS",CORTICOTROPINRELEASING HORMONE SIGNALING
"THYROID HORMONES PRODUCTION AND PERIPHERAL
DOWNSTREAM SIGNALING EFFECTS",0.0,0.0,0.03225806451612903,0.0,0.053763440860215055,0.03225806451612903,0.25806451612903225,0.010752688172043012,0.010752688172043012,0.0,0.0,0.0,0.0,0.010752688172043012,0.0,0.0,0.043010752688172046,0.03225806451612903,0.010752688172043012,0.043010752688172046,1.0,0.1935483870967742,0.10752688172043011,0.17204301075268819,0.11827956989247312,0.11827956989247312,0.03225806451612903,0.08602150537634409,0.13978494623655913,0.15053763440860216,0.07526881720430108,0.0967741935483871,0.12903225806451613,0.0,0.0,0.0,0.0,0.021505376344086023,0.03225806451612903,0.08602150537634409
INSULIN SIGNALING,0.0,0.0,0.0875,0.0,0.0375,0.0125,0.60625,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0125,0.0375,0.1125,1.0,0.2,0.23125,0.16875,0.325,0.0625,0.11875,0.2125,0.2,0.14375,0.09375,0.1375,0.0125,0.025,0.0125,0.00625,0.05625,0.00625,0.1125
"TRANSLATION INHIBITORS IN CHRONICALLY
ACTIVATED PDGFRA CELLS",0.0,0.0,0.043478260869565216,0.0,0.08695652173913043,0.021739130434782608,0.6739130434782609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06521739130434782,0.0,0.0,0.043478260869565216,0.21739130434782608,0.6956521739130435,1.0,0.5217391304347826,0.2826086956521739,0.391304347826087,0.06521739130434782,0.13043478260869565,0.391304347826087,0.34782608695652173,0.21739130434782608,0.17391304347826086,0.1956521739130435,0.0,0.0,0.0,0.021739130434782608,0.06521739130434782,0.021739130434782608,0.1956521739130435
"EFFECT OF OMEGA3 PUFA ON HUNTINGTONS DISEASE
PATHWAYS",0.0,0.0,0.125,0.05,0.14166666666666666,0.058333333333333334,0.35833333333333334,0.0,0.0,0.08333333333333333,0.09166666666666666,0.0,0.0,0.008333333333333333,0.0,0.0,0.05,0.016666666666666666,0.041666666666666664,0.03333333333333333,0.13333333333333333,0.30833333333333335,0.2,1.0,0.10833333333333334,0.18333333333333332,0.041666666666666664,0.08333333333333333,0.16666666666666666,0.15833333333333333,0.15833333333333333,0.09166666666666666,0.08333333333333333,0.0,0.0,0.008333333333333333,0.0,0.075,0.016666666666666666,0.11666666666666667
KIT RECEPTOR SIGNALING,0.0,0.0,0.01694915254237288,0.0,0.01694915254237288,0.0,0.3220338983050847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05084745762711865,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.1864406779661017,0.4576271186440678,0.22033898305084745,0.22033898305084745,1.0,0.576271186440678,0.11864406779661017,0.2542372881355932,0.5254237288135594,0.3728813559322034,0.1694915254237288,0.1694915254237288,0.2711864406779661,0.0,0.0,0.0,0.01694915254237288,0.03389830508474576,0.03389830508474576,0.22033898305084745
EGFEGFR SIGNALING,0.0,0.0,0.12962962962962962,0.0,0.024691358024691357,0.006172839506172839,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06790123456790123,0.0,0.024691358024691357,0.018518518518518517,0.06790123456790123,0.32098765432098764,0.1111111111111111,0.13580246913580246,0.20987654320987653,1.0,0.06790123456790123,0.14814814814814814,0.2345679012345679,0.17901234567901234,0.16049382716049382,0.08641975308641975,0.16049382716049382,0.0,0.0,0.0,0.0,0.030864197530864196,0.012345679012345678,0.1419753086419753
MAPK PATHWAY IN CONGENITAL THYROID CANCER,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0625,0.1875,0.625,0.1875,0.3125,0.4375,0.6875,1.0,0.5,0.625,0.5,0.5,0.3125,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.375
HEPATOCYTE GROWTH FACTOR RECEPTOR SIGNALING,0.0,0.0,0.02857142857142857,0.0,0.02857142857142857,0.0,0.34285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.02857142857142857,0.0,0.22857142857142856,0.5428571428571428,0.17142857142857143,0.2857142857142857,0.42857142857142855,0.6857142857142857,0.22857142857142856,1.0,0.5714285714285714,0.45714285714285713,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.2571428571428571
PROLACTIN SIGNALING,0.0,0.0,0.039473684210526314,0.0,0.039473684210526314,0.013157894736842105,0.34210526315789475,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.05263157894736842,0.17105263157894737,0.4473684210526316,0.23684210526315788,0.2631578947368421,0.40789473684210525,0.5,0.13157894736842105,0.2631578947368421,1.0,0.34210526315789475,0.21052631578947367,0.18421052631578946,0.21052631578947367,0.0,0.0,0.0,0.0,0.039473684210526314,0.0,0.21052631578947367
MACROPHAGESTIMULATING PROTEIN MSP SIGNALING,0.0,0.0,0.027777777777777776,0.0,0.037037037037037035,0.018518518518518517,0.19444444444444445,0.0,0.0,0.0,0.009259259259259259,0.0,0.009259259259259259,0.018518518518518517,0.009259259259259259,0.018518518518518517,0.046296296296296294,0.0,0.0,0.018518518518518517,0.12962962962962962,0.2962962962962963,0.14814814814814814,0.17592592592592593,0.2037037037037037,0.26851851851851855,0.07407407407407407,0.14814814814814814,0.24074074074074073,1.0,0.10185185185185185,0.1111111111111111,0.1574074074074074,0.018518518518518517,0.027777777777777776,0.0,0.0,0.018518518518518517,0.018518518518518517,0.21296296296296297
