Pathway,BLOOD MICROPARTICLE,OTHER ORGANISM PART,SYMBIONT CELL SURFACE,SERINE TYPE PEPTIDASE COMPLEX,ENDOPEPTIDASE COMPLEX,PEPTIDASE COMPLEX,EXTERNAL SIDE OF PLASMA MEMBRANE,PROTEIN LIPID COMPLEX,HIGH DENSITY LIPOPROTEIN PARTICLE,SPHERICAL HIGH DENSITY LIPOPROTEIN PARTICLE,TRIGLYCERIDE RICH PLASMA LIPOPROTEIN PARTICLE,CHYLOMICRON,LOW DENSITY LIPOPROTEIN PARTICLE,IMMUNOGLOBULIN COMPLEX,PLATELET ALPHA GRANULE LUMEN,VESICLE LUMEN,FIBRINOGEN COMPLEX,PLATELET ALPHA GRANULE,CATION CHANNEL COMPLEX,MONOATOMIC ION CHANNEL COMPLEX,SARCOLEMMA,SYNAPTIC MEMBRANE,POSTSYNAPTIC MEMBRANE,POSTSYNAPTIC SPECIALIZATION MEMBRANE,POSTSYNAPTIC SPECIALIZATION,NEURON TO NEURON SYNAPSE,PRESYNAPTIC MEMBRANE,BASAL PART OF CELL,BASOLATERAL PLASMA MEMBRANE,ENDOPLASMIC RETICULUM LUMEN,COMPLEX OF COLLAGEN TRIMERS,MICROBODY,MICROBODY LUMEN,CONTRACTILE MUSCLE FIBER,I BAND,ACTOMYOSIN,ACTIN FILAMENT BUNDLE,RIBOSOMAL SUBUNIT,RIBOSOME,PRERIBOSOME
PRESYNAPTIC MEMBRANE,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.0,0.0,0.0,0.04395604395604396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005494505494505495,0.15934065934065933,0.21978021978021978,0.054945054945054944,1.0,0.5,0.1813186813186813,0.2692307692307692,0.2967032967032967,1.0,0.10989010989010989,0.10989010989010989,0.0,0.0,0.005494505494505495,0.0,0.016483516483516484,0.01098901098901099,0.005494505494505495,0.0,0.0,0.0,0.0
BASAL PART OF CELL,0.015384615384615385,0.0,0.0,0.0,0.003076923076923077,0.006153846153846154,0.07076923076923076,0.003076923076923077,0.0,0.0,0.0,0.0,0.003076923076923077,0.0,0.003076923076923077,0.021538461538461538,0.0,0.006153846153846154,0.04,0.07384615384615385,0.06153846153846154,0.12615384615384614,0.09230769230769231,0.036923076923076927,0.08923076923076922,0.09230769230769231,0.06153846153846154,1.0,0.8430769230769231,0.018461538461538463,0.0,0.003076923076923077,0.003076923076923077,0.027692307692307693,0.024615384615384615,0.018461538461538463,0.018461538461538463,0.0,0.0,0.0
BASOLATERAL PLASMA MEMBRANE,0.014598540145985401,0.0,0.0,0.0,0.0036496350364963502,0.0036496350364963502,0.06569343065693431,0.0036496350364963502,0.0,0.0,0.0,0.0,0.0036496350364963502,0.0,0.0036496350364963502,0.021897810218978103,0.0,0.0072992700729927005,0.0364963503649635,0.072992700729927,0.072992700729927,0.14963503649635038,0.10948905109489052,0.043795620437956206,0.0948905109489051,0.09854014598540146,0.072992700729927,1.0,1.0,0.014598540145985401,0.0,0.0036496350364963502,0.0036496350364963502,0.029197080291970802,0.025547445255474453,0.010948905109489052,0.010948905109489052,0.0,0.0,0.0
ENDOPLASMIC RETICULUM LUMEN,0.06748466257668712,0.006134969325153374,0.006134969325153374,0.027607361963190184,0.027607361963190184,0.03374233128834356,0.04294478527607362,0.03374233128834356,0.027607361963190184,0.009202453987730062,0.024539877300613498,0.018404907975460124,0.018404907975460124,0.0,0.06134969325153374,0.13190184049079753,0.012269938650306749,0.06441717791411043,0.006134969325153374,0.006134969325153374,0.015337423312883436,0.012269938650306749,0.006134969325153374,0.0,0.003067484662576687,0.009202453987730062,0.0,0.018404907975460124,0.012269938650306749,1.0,0.09202453987730061,0.009202453987730062,0.0,0.015337423312883436,0.009202453987730062,0.0,0.0,0.0,0.003067484662576687,0.0
COMPLEX OF COLLAGEN TRIMERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,1.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0
MICROBODY,0.0,0.0,0.0,0.0,0.006578947368421052,0.006578947368421052,0.013157894736842105,0.006578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039473684210526314,0.0,0.0,0.006578947368421052,0.006578947368421052,0.0,0.013157894736842105,0.006578947368421052,0.0,0.0,0.006578947368421052,0.006578947368421052,0.006578947368421052,0.006578947368421052,0.019736842105263157,0.0,1.0,0.3355263157894737,0.006578947368421052,0.0,0.0,0.0,0.0,0.0,0.0
MICROBODY LUMEN,0.0,0.0,0.0,0.0,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0784313725490196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0196078431372549,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONTRACTILE MUSCLE FIBER,0.019762845849802372,0.0,0.0,0.0,0.007905138339920948,0.011857707509881422,0.007905138339920948,0.003952569169960474,0.0,0.0,0.0,0.0,0.0,0.0,0.015810276679841896,0.02766798418972332,0.0,0.019762845849802372,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.04743083003952569,0.03557312252964427,0.003952569169960474,0.05138339920948617,0.05138339920948617,0.011857707509881422,0.03557312252964427,0.03162055335968379,0.019762845849802372,0.003952569169960474,0.003952569169960474,0.0,1.0,0.5928853754940712,0.1422924901185771,0.1422924901185771,0.0,0.007905138339920948,0.0
I BAND,0.02,0.0,0.0,0.0,0.006666666666666667,0.013333333333333334,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667,0.04,0.0,0.02666666666666667,0.12,0.12,0.24666666666666667,0.06,0.04666666666666667,0.006666666666666667,0.06,0.06,0.013333333333333334,0.05333333333333334,0.04666666666666667,0.02,0.0,0.0,0.0,1.0,1.0,0.19333333333333333,0.19333333333333333,0.0,0.0,0.0
ACTOMYOSIN,0.010752688172043012,0.0,0.0,0.0,0.0,0.010752688172043012,0.010752688172043012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021505376344086023,0.03225806451612903,0.0,0.021505376344086023,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.043010752688172046,0.043010752688172046,0.021505376344086023,0.08602150537634409,0.07526881720430108,0.010752688172043012,0.06451612903225806,0.03225806451612903,0.0,0.0,0.0,0.0,0.3870967741935484,0.3118279569892473,1.0,0.9247311827956989,0.0,0.0,0.0
ACTIN FILAMENT BUNDLE,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021052631578947368,0.031578947368421054,0.0,0.021052631578947368,0.0,0.0,0.010526315789473684,0.042105263157894736,0.021052631578947368,0.010526315789473684,0.07368421052631578,0.06315789473684211,0.0,0.06315789473684211,0.031578947368421054,0.0,0.0,0.0,0.0,0.37894736842105264,0.30526315789473685,0.9052631578947369,1.0,0.0,0.0,0.0
RIBOSOMAL SUBUNIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00546448087431694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09289617486338798,0.09289617486338798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1092896174863388
RIBOSOME,0.0,0.0,0.0,0.0,0.00423728813559322,0.00423728813559322,0.00423728813559322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012711864406779662,0.0,0.00423728813559322,0.0,0.0,0.0,0.00423728813559322,0.00423728813559322,0.00423728813559322,0.07627118644067797,0.07627118644067797,0.0,0.0,0.0,0.00423728813559322,0.0,0.0,0.0,0.00847457627118644,0.0,0.0,0.0,0.7754237288135594,1.0,0.08898305084745763
PRERIBOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009433962264150943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,0.03773584905660377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18867924528301888,0.19811320754716982,1.0
