"TF","DLD1_HCT15","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"NFKB1","3.320715211010345058","3.320715211010345058","3.320715211010345058","Activated","13","viper","13","3.320715211010345058",NA,NA,"4","ARCHS4--Coexpression(rank=24); Enrichr--Queries(rank=237); ReMap--ChIP-seq(rank=240); GTEx--Coexpression(rank=616)","56","0.01474000000000000","ARCHS4 Coexpression,0.01474"
"NEUROD1","3.296557280788150468","3.296557280788150468","3.296557280788150468","Activated","14","viper","14","3.296557280788150468",NA,NA,"4","ReMap--ChIP-seq(rank=122); ARCHS4--Coexpression(rank=1140); Enrichr--Queries(rank=1168); GTEx--Coexpression(rank=1203)","1170","0.41080000000000000","ReMap ChIP-seq,0.4108"
"E2F1","-3.230212506942277795","-3.230212506942277795","3.230212506942277795","Repressed","15","viper","15","3.230212506942277795",NA,NA,"6","Literature--ChIP-seq(rank=80); ENCODE--ChIP-seq(rank=113); ReMap--ChIP-seq(rank=262); Enrichr--Queries(rank=1222); GTEx--Coexpression(rank=1242); ARCHS4--Coexpression(rank=1296)","1303","0.48780000000000001","Literature ChIP-seq,0.4878"
"HIF1A","3.081082938139260374","3.081082938139260374","3.081082938139260374","Activated","16","viper","16","3.081082938139260374",NA,NA,"5","Literature--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=97); Enrichr--Queries(rank=434); ARCHS4--Coexpression(rank=652); GTEx--Coexpression(rank=719)","940","0.30909999999999999","Enrichr Queries,0.3091"
"TP53","3.077141069070607582","3.077141069070607582","3.077141069070607582","Activated","17","viper","17","3.077141069070607582",NA,NA,"5","Literature--ChIP-seq(rank=82); ReMap--ChIP-seq(rank=256); Enrichr--Queries(rank=962); GTEx--Coexpression(rank=1114); ARCHS4--Coexpression(rank=1279)","1321","0.50000000000000000","Literature ChIP-seq,0.5"
"ETV4","3.073011421638686791","3.073011421638686791","3.073011421638686791","Activated","18","viper","18","3.073011421638686791",NA,NA,"4","ReMap--ChIP-seq(rank=142); Enrichr--Queries(rank=287); GTEx--Coexpression(rank=1160); ARCHS4--Coexpression(rank=1164)","671","0.20440000000000000","Enrichr Queries,0.2044"
"ELF1","2.961016289295198778","2.961016289295198778","2.961016289295198778","Activated","19","viper","19","2.961016289295198778",NA,NA,"5","ENCODE--ChIP-seq(rank=78); ARCHS4--Coexpression(rank=80); Literature--ChIP-seq(rank=109); ReMap--ChIP-seq(rank=212); GTEx--Coexpression(rank=1361)","179","0.04914000000000000","ARCHS4 Coexpression,0.04914"
"LEF1","-2.960429406092603521","-2.960429406092603521","2.960429406092603521","Repressed","20","viper","20","2.960429406092603521",NA,NA,"4","ARCHS4--Coexpression(rank=49); ReMap--ChIP-seq(rank=221); GTEx--Coexpression(rank=452); Enrichr--Queries(rank=463)","114","0.03010000000000000","ARCHS4 Coexpression,0.0301"
"SREBF1","-2.953256486732522390","-2.953256486732522390","2.953256486732522390","Repressed","21","viper","21","2.953256486732522390",NA,NA,"6","Literature--ChIP-seq(rank=35); ENCODE--ChIP-seq(rank=75); ReMap--ChIP-seq(rank=98); GTEx--Coexpression(rank=208); Enrichr--Queries(rank=366); ARCHS4--Coexpression(rank=1359)","449","0.12939999999999999","GTEx Coexpression,0.1294"
"E2F2","-2.932272252423641756","-2.932272252423641756","2.932272252423641756","Repressed","22","viper","22","2.932272252423641756",NA,NA,"3","GTEx--Coexpression(rank=566); Enrichr--Queries(rank=1020); ARCHS4--Coexpression(rank=1107)","1035","0.35220000000000001","GTEx Coexpression,0.3522"
"RELA","2.899427974203944380","2.899427974203944380","2.899427974203944380","Activated","23","viper","23","2.899427974203944380",NA,NA,"6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=38); ARCHS4--Coexpression(rank=384); Enrichr--Queries(rank=693); GTEx--Coexpression(rank=963)","71","0.01829000000000000","Literature ChIP-seq,0.01829"
"MYCN","-2.873402865832343611","-2.873402865832343611","2.873402865832343611","Repressed","24","viper","24","2.873402865832343611",NA,NA,"5","Literature--ChIP-seq(rank=28); ReMap--ChIP-seq(rank=234); GTEx--Coexpression(rank=257); Enrichr--Queries(rank=749); ARCHS4--Coexpression(rank=1154)","553","0.15989999999999999","GTEx Coexpression,0.1599"
"RELB","2.865884056963704740","2.865884056963704740","2.865884056963704740","Activated","25","viper","25","2.865884056963704740",NA,NA,"4","Enrichr--Queries(rank=5); ARCHS4--Coexpression(rank=14); ReMap--ChIP-seq(rank=94); GTEx--Coexpression(rank=181)","13","0.00356100000000000","Enrichr Queries,0.003561"
"THAP1","-2.803837487552789831","-2.803837487552789831","2.803837487552789831","Repressed","26","viper","26","2.803837487552789831",NA,NA,"5","ENCODE--ChIP-seq(rank=115); ReMap--ChIP-seq(rank=224); Enrichr--Queries(rank=422); ARCHS4--Coexpression(rank=1141); GTEx--Coexpression(rank=1260)","919","0.30059999999999998","Enrichr Queries,0.3006"
"STAT5B","2.770998021733426686","2.770998021733426686","2.770998021733426686","Activated","27","viper","27","2.770998021733426686",NA,NA,"4","ReMap--ChIP-seq(rank=53); ARCHS4--Coexpression(rank=165); GTEx--Coexpression(rank=336); Enrichr--Queries(rank=618)","359","0.10140000000000000","ARCHS4 Coexpression,0.1014"
"TFDP1","-2.748078215956851533","-2.748078215956851533","2.748078215956851533","Repressed","28","viper","28","2.748078215956851533",NA,NA,"4","ReMap--ChIP-seq(rank=131); ARCHS4--Coexpression(rank=1205); Enrichr--Queries(rank=1350); GTEx--Coexpression(rank=1422)","1225","0.44109999999999999","ReMap ChIP-seq,0.4411"
"MAFK","2.746133733881449324","2.746133733881449324","2.746133733881449324","Activated","29","viper","29","2.746133733881449324",NA,NA,"5","Enrichr--Queries(rank=31); ENCODE--ChIP-seq(rank=32); ReMap--ChIP-seq(rank=141); GTEx--Coexpression(rank=493); ARCHS4--Coexpression(rank=1468)","85","0.02208000000000000","Enrichr Queries,0.02208"
"WT1","2.686381658698810071","2.686381658698810071","2.686381658698810071","Activated","30","viper","30","2.686381658698810071",NA,NA,"4","Literature--ChIP-seq(rank=16); GTEx--Coexpression(rank=117); Enrichr--Queries(rank=278); ARCHS4--Coexpression(rank=437)","258","0.07281000000000000","GTEx Coexpression,0.07281"
"STAT5A","2.646981778759101900","2.646981778759101900","2.646981778759101900","Activated","31","viper","31","2.646981778759101900",NA,NA,"6","ARCHS4--Coexpression(rank=58); Literature--ChIP-seq(rank=67); GTEx--Coexpression(rank=68); ENCODE--ChIP-seq(rank=70); ReMap--ChIP-seq(rank=84); Enrichr--Queries(rank=91)","136","0.03563000000000000","ARCHS4 Coexpression,0.03563"
"ESR1","2.636249467308087624","2.636249467308087624","2.636249467308087624","Activated","32","viper","32","2.636249467308087624",NA,NA,"6","Literature--ChIP-seq(rank=8); ENCODE--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=93); GTEx--Coexpression(rank=194); Enrichr--Queries(rank=424); ARCHS4--Coexpression(rank=653)","178","0.04878000000000000","Literature ChIP-seq,0.04878"
"MEF2A","2.612286503245705660","2.612286503245705660","2.612286503245705660","Activated","33","viper","33","2.612286503245705660",NA,NA,"6","ENCODE--ChIP-seq(rank=26); Literature--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=114); ARCHS4--Coexpression(rank=658); Enrichr--Queries(rank=1098); GTEx--Coexpression(rank=1168)","708","0.22030000000000000","ENCODE ChIP-seq,0.2203"
"CLOCK","2.449061057637897942","2.449061057637897942","2.449061057637897942","Activated","34","viper","34","2.449061057637897942",NA,NA,"5","Literature--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=209); ARCHS4--Coexpression(rank=612); Enrichr--Queries(rank=1231); GTEx--Coexpression(rank=1571)","811","0.25609999999999999","Literature ChIP-seq,0.2561"
"NFKB2","-2.359728285425867433","-2.359728285425867433","2.359728285425867433","Repressed","35","viper","35","2.359728285425867433",NA,NA,"4","GTEx--Coexpression(rank=31); ReMap--ChIP-seq(rank=33); Enrichr--Queries(rank=36); ARCHS4--Coexpression(rank=41)","76","0.01929000000000000","GTEx Coexpression,0.01929"
"STAT3","2.341739481645478183","2.341739481645478183","2.341739481645478183","Activated","36","viper","36","2.341739481645478183",NA,NA,"6","ENCODE--ChIP-seq(rank=12); Literature--ChIP-seq(rank=15); ARCHS4--Coexpression(rank=30); ReMap--ChIP-seq(rank=40); Enrichr--Queries(rank=658); GTEx--Coexpression(rank=954)","72","0.01843000000000000","ARCHS4 Coexpression,0.01843"
"TEAD1","2.334479538141692956","2.334479538141692956","2.334479538141692956","Activated","37","viper","37","2.334479538141692956",NA,NA,"4","ReMap--ChIP-seq(rank=46); ARCHS4--Coexpression(rank=901); Enrichr--Queries(rank=1072); GTEx--Coexpression(rank=1153)","537","0.15490000000000001","ReMap ChIP-seq,0.1549"
"JUNB","2.328886321390858161","2.328886321390858161","2.328886321390858161","Activated","38","viper","38","2.328886321390858161",NA,NA,"4","ReMap--ChIP-seq(rank=15); ARCHS4--Coexpression(rank=19); Enrichr--Queries(rank=19); GTEx--Coexpression(rank=38)","44","0.01167000000000000","ARCHS4 Coexpression,0.01167"
"NFATC1","2.282723617188651577","2.282723617188651577","2.282723617188651577","Activated","39","viper","39","2.282723617188651577",NA,NA,"5","ARCHS4--Coexpression(rank=31); ENCODE--ChIP-seq(rank=93); GTEx--Coexpression(rank=132); Enrichr--Queries(rank=274); ReMap--ChIP-seq(rank=282)","74","0.01904000000000000","ARCHS4 Coexpression,0.01904"
"KLF5","2.278090145259422883","2.278090145259422883","2.278090145259422883","Activated","40","viper","40","2.278090145259422883",NA,NA,"5","Enrichr--Queries(rank=18); ARCHS4--Coexpression(rank=35); Literature--ChIP-seq(rank=58); ReMap--ChIP-seq(rank=172); GTEx--Coexpression(rank=318)","49","0.01282000000000000","Enrichr Queries,0.01282"
"SMAD5","-2.241899505823894856","-2.241899505823894856","2.241899505823894856","Repressed","41","viper","41","2.241899505823894856",NA,NA,"4","ReMap--ChIP-seq(rank=110); ARCHS4--Coexpression(rank=582); GTEx--Coexpression(rank=1113); Enrichr--Queries(rank=1326)","1049","0.35749999999999998","ARCHS4 Coexpression,0.3575"
"NR2C2","-2.238949703484752529","-2.238949703484752529","2.238949703484752529","Repressed","42","viper","42","2.238949703484752529",NA,NA,"5","ENCODE--ChIP-seq(rank=102); ReMap--ChIP-seq(rank=213); GTEx--Coexpression(rank=920); Enrichr--Queries(rank=1113); ARCHS4--Coexpression(rank=1227)","1421","0.57250000000000001","GTEx Coexpression,0.5725"
"SP3","2.222506594106214983","2.222506594106214983","2.222506594106214983","Activated","43","viper","43","2.222506594106214983",NA,NA,"3","Enrichr--Queries(rank=1088); GTEx--Coexpression(rank=1094); ARCHS4--Coexpression(rank=1439)","1516","0.68079999999999996","GTEx Coexpression,0.6808"
"FOXL2","2.187401436263816112","2.187401436263816112","2.187401436263816112","Activated","44","viper","44","2.187401436263816112",NA,NA,"3","Enrichr--Queries(rank=544); GTEx--Coexpression(rank=716); ARCHS4--Coexpression(rank=1029)","1124","0.38750000000000001","Enrichr Queries,0.3875"
"FOSL2","2.179346879796297820","2.179346879796297820","2.179346879796297820","Activated","45","viper","45","2.179346879796297820",NA,NA,"5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=13); Enrichr--Queries(rank=93); ARCHS4--Coexpression(rank=114); GTEx--Coexpression(rank=851)","31","0.00847500000000000","ENCODE ChIP-seq,0.008475"
"NR1H2","2.134109811123253930","2.134109811123253930","2.134109811123253930","Activated","46","viper","46","2.134109811123253930",NA,NA,"4","ReMap--ChIP-seq(rank=58); ARCHS4--Coexpression(rank=252); Enrichr--Queries(rank=616); GTEx--Coexpression(rank=1523)","536","0.15479999999999999","ARCHS4 Coexpression,0.1548"
"REL","2.119871187168849591","2.119871187168849591","2.119871187168849591","Activated","47","viper","47","2.119871187168849591",NA,NA,"3","ARCHS4--Coexpression(rank=73); GTEx--Coexpression(rank=129); Enrichr--Queries(rank=162)","165","0.04484000000000000","ARCHS4 Coexpression,0.04484"
"PRDM14","2.115641015680665760","2.115641015680665760","2.115641015680665760","Activated","48","viper","48","2.115641015680665760",NA,NA,"5","Literature--ChIP-seq(rank=114); ReMap--ChIP-seq(rank=167); Enrichr--Queries(rank=1050); GTEx--Coexpression(rank=1152); ARCHS4--Coexpression(rank=1484)","1410","0.56230000000000002","ReMap ChIP-seq,0.5623"
"CEBPG","2.094460953579440954","2.094460953579440954","2.094460953579440954","Activated","49","viper","49","2.094460953579440954",NA,NA,"4","Enrichr--Queries(rank=63); ReMap--ChIP-seq(rank=103); GTEx--Coexpression(rank=933); ARCHS4--Coexpression(rank=1155)","166","0.04487000000000000","Enrichr Queries,0.04487"
"ATF6","2.094459922965562715","2.094459922965562715","2.094459922965562715","Activated","50","viper","50","2.094459922965562715",NA,NA,"3","GTEx--Coexpression(rank=285); ARCHS4--Coexpression(rank=471); Enrichr--Queries(rank=829)","603","0.17730000000000001","GTEx Coexpression,0.1773"
"IRF4","2.092617280788031664","2.092617280788031664","2.092617280788031664","Activated","51","viper","51","2.092617280788031664",NA,NA,"5","ARCHS4--Coexpression(rank=8); ReMap--ChIP-seq(rank=69); Enrichr--Queries(rank=74); ENCODE--ChIP-seq(rank=100); GTEx--Coexpression(rank=1169)","18","0.00491400000000000","ARCHS4 Coexpression,0.004914"
"FOS","2.072921245654328892","2.072921245654328892","2.072921245654328892","Activated","52","viper","52","2.072921245654328892",NA,NA,"5","GTEx--Coexpression(rank=3); ReMap--ChIP-seq(rank=4); ENCODE--ChIP-seq(rank=9); Enrichr--Queries(rank=20); ARCHS4--Coexpression(rank=220)","6","0.00186700000000000","GTEx Coexpression,0.001867"
"HOXA9","2.046701954552879510","2.046701954552879510","2.046701954552879510","Activated","53","viper","53","2.046701954552879510",NA,NA,"4","ReMap--ChIP-seq(rank=280); GTEx--Coexpression(rank=353); Enrichr--Queries(rank=468); ARCHS4--Coexpression(rank=1587)","705","0.21970000000000001","GTEx Coexpression,0.2197"
"EPAS1","2.044886918787546026","2.044886918787546026","2.044886918787546026","Activated","54","viper","54","2.044886918787546026",NA,NA,"4","GTEx--Coexpression(rank=30); Enrichr--Queries(rank=79); ReMap--ChIP-seq(rank=164); ARCHS4--Coexpression(rank=433)","73","0.01867000000000000","GTEx Coexpression,0.01867"
"THAP11","1.996596338008222560","1.996596338008222560","1.996596338008222560","Activated","55","viper","55","1.996596338008222560",NA,NA,"5","Literature--ChIP-seq(rank=125); ReMap--ChIP-seq(rank=220); ARCHS4--Coexpression(rank=381); GTEx--Coexpression(rank=1074); Enrichr--Queries(rank=1303)","747","0.23400000000000001","ARCHS4 Coexpression,0.234"
"KLF9","1.982475849720755523","1.982475849720755523","1.982475849720755523","Activated","56","viper","56","1.982475849720755523",NA,NA,"4","ARCHS4--Coexpression(rank=64); Enrichr--Queries(rank=85); ReMap--ChIP-seq(rank=254); GTEx--Coexpression(rank=613)","148","0.03931000000000000","ARCHS4 Coexpression,0.03931"
"RBPJ","1.953655623359576987","1.953655623359576987","1.953655623359576987","Activated","57","viper","57","1.953655623359576987",NA,NA,"5","Literature--ChIP-seq(rank=115); ReMap--ChIP-seq(rank=177); GTEx--Coexpression(rank=419); ARCHS4--Coexpression(rank=869); Enrichr--Queries(rank=1004)","821","0.26069999999999999","GTEx Coexpression,0.2607"
"IRF1","1.949931059415843659","1.949931059415843659","1.949931059415843659","Activated","58","viper","58","1.949931059415843659",NA,NA,"6","Literature--ChIP-seq(rank=22); ReMap--ChIP-seq(rank=48); ARCHS4--Coexpression(rank=56); Enrichr--Queries(rank=60); ENCODE--ChIP-seq(rank=116); GTEx--Coexpression(rank=157)","131","0.03440000000000000","ARCHS4 Coexpression,0.0344"
"ATF3","-1.946804428085124883","-1.946804428085124883","1.946804428085124883","Repressed","59","viper","59","1.946804428085124883",NA,NA,"6","ARCHS4--Coexpression(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=39); ENCODE--ChIP-seq(rank=60)","1","0.00061430000000000","ARCHS4 Coexpression,6.143E-4"
"RARA","1.929268494608815665","1.929268494608815665","1.929268494608815665","Activated","60","viper","60","1.929268494608815665",NA,NA,"5","Literature--ChIP-seq(rank=33); ReMap--ChIP-seq(rank=139); ARCHS4--Coexpression(rank=187); GTEx--Coexpression(rank=316); Enrichr--Queries(rank=345)","404","0.11490000000000000","ARCHS4 Coexpression,0.1149"
"GABPA","1.906233012135870153","1.906233012135870153","1.906233012135870153","Activated","61","viper","61","1.906233012135870153",NA,NA,"6","ENCODE--ChIP-seq(rank=87); Literature--ChIP-seq(rank=111); ReMap--ChIP-seq(rank=265); GTEx--Coexpression(rank=656); Enrichr--Queries(rank=1189); ARCHS4--Coexpression(rank=1400)","1165","0.40820000000000001","GTEx Coexpression,0.4082"
"ZNF384","1.857962790022807287","1.857962790022807287","1.857962790022807287","Activated","62","viper","62","1.857962790022807287",NA,NA,"5","ReMap--ChIP-seq(rank=66); ENCODE--ChIP-seq(rank=81); ARCHS4--Coexpression(rank=1004); GTEx--Coexpression(rank=1151); Enrichr--Queries(rank=1290)","713","0.22220000000000001","ReMap ChIP-seq,0.2222"
"IRF9","1.843636382247374028","1.843636382247374028","1.843636382247374028","Activated","63","viper","63","1.843636382247374028",NA,NA,"4","ReMap--ChIP-seq(rank=9); Enrichr--Queries(rank=42); ARCHS4--Coexpression(rank=79); GTEx--Coexpression(rank=791)","113","0.02991000000000000","Enrichr Queries,0.02991"
"ZNF592","1.812797932610789031","1.812797932610789031","1.812797932610789031","Activated","64","viper","64","1.812797932610789031",NA,NA,"4","GTEx--Coexpression(rank=109); ReMap--ChIP-seq(rank=219); ARCHS4--Coexpression(rank=737); Enrichr--Queries(rank=1356)","241","0.06783000000000000","GTEx Coexpression,0.06783"
"TEAD2","1.804783013954348370","1.804783013954348370","1.804783013954348370","Activated","65","viper","65","1.804783013954348370",NA,NA,"4","ReMap--ChIP-seq(rank=90); Enrichr--Queries(rank=669); GTEx--Coexpression(rank=929); ARCHS4--Coexpression(rank=1074)","924","0.30299999999999999","ReMap ChIP-seq,0.303"
"RUNX2","1.790496195994070838","1.790496195994070838","1.790496195994070838","Activated","66","viper","66","1.790496195994070838",NA,NA,"5","ReMap--ChIP-seq(rank=34); Literature--ChIP-seq(rank=66); Enrichr--Queries(rank=210); ARCHS4--Coexpression(rank=219); GTEx--Coexpression(rank=494)","402","0.11450000000000000","ReMap ChIP-seq,0.1145"
"TFAP4","1.787853610429566142","1.787853610429566142","1.787853610429566142","Activated","67","viper","67","1.787853610429566142",NA,NA,"4","ReMap--ChIP-seq(rank=216); Enrichr--Queries(rank=818); ARCHS4--Coexpression(rank=941); GTEx--Coexpression(rank=1356)","1429","0.57799999999999985","ARCHS4 Coexpression,0.578"
"STAT6","1.782793091550473719","1.782793091550473719","1.782793091550473719","Activated","68","viper","68","1.782793091550473719",NA,NA,"4","Literature--ChIP-seq(rank=21); ARCHS4--Coexpression(rank=173); Enrichr--Queries(rank=514); GTEx--Coexpression(rank=1346)","378","0.10630000000000001","ARCHS4 Coexpression,0.1063"
"BACH2","1.773539385205063601","1.773539385205063601","1.773539385205063601","Activated","69","viper","69","1.773539385205063601",NA,NA,"4","GTEx--Coexpression(rank=65); ReMap--ChIP-seq(rank=161); ARCHS4--Coexpression(rank=178); Enrichr--Queries(rank=568)","151","0.04045000000000000","GTEx Coexpression,0.04045"
"FOXO1","1.753715832344945325","1.753715832344945325","1.753715832344945325","Activated","70","viper","70","1.753715832344945325",NA,NA,"5","Literature--ChIP-seq(rank=19); ReMap--ChIP-seq(rank=162); Enrichr--Queries(rank=217); ARCHS4--Coexpression(rank=264); GTEx--Coexpression(rank=299)","406","0.11590000000000000","Literature ChIP-seq,0.1159"
"ESR2","1.751480867101628203","1.751480867101628203","1.751480867101628203","Activated","71","viper","71","1.751480867101628203",NA,NA,"5","Literature--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=204); ARCHS4--Coexpression(rank=226); Enrichr--Queries(rank=779); GTEx--Coexpression(rank=1539)","202","0.05488000000000000","Literature ChIP-seq,0.05488"
"ETS1","1.742519641063241753","1.742519641063241753","1.742519641063241753","Activated","72","viper","72","1.742519641063241753",NA,NA,"6","ENCODE--ChIP-seq(rank=27); ARCHS4--Coexpression(rank=75); GTEx--Coexpression(rank=94); ReMap--ChIP-seq(rank=144); Literature--ChIP-seq(rank=156); Enrichr--Queries(rank=431)","171","0.04607000000000000","ARCHS4 Coexpression,0.04607"
"E2F3","-1.715141556152774305","-1.715141556152774305","1.715141556152774305","Repressed","73","viper","73","1.715141556152774305",NA,NA,"3","GTEx--Coexpression(rank=543); Enrichr--Queries(rank=1172); ARCHS4--Coexpression(rank=1202)","1005","0.33789999999999998","GTEx Coexpression,0.3379"
"MAX","1.704134135002984385","1.704134135002984385","1.704134135002984385","Activated","74","viper","74","1.704134135002984385",NA,NA,"5","ENCODE--ChIP-seq(rank=54); ReMap--ChIP-seq(rank=239); ARCHS4--Coexpression(rank=588); GTEx--Coexpression(rank=612); Enrichr--Queries(rank=806)","1061","0.36120000000000002","ARCHS4 Coexpression,0.3612"
"CEBPB","1.698490057019873545","1.698490057019873545","1.698490057019873545","Activated","75","viper","75","1.698490057019873545",NA,NA,"6","ENCODE--ChIP-seq(rank=5); Enrichr--Queries(rank=44); ReMap--ChIP-seq(rank=62); Literature--ChIP-seq(rank=72); ARCHS4--Coexpression(rank=214); GTEx--Coexpression(rank=352)","119","0.03134000000000000","Enrichr Queries,0.03134"
"BHLHE22","-1.696905222252695244","-1.696905222252695244","1.696905222252695244","Repressed","76","viper","76","1.696905222252695244",NA,NA,"3","ReMap--ChIP-seq(rank=126); ARCHS4--Coexpression(rank=700); GTEx--Coexpression(rank=881)","1195","0.42420000000000002","ReMap ChIP-seq,0.4242"
"MAF","1.689156202918072225","1.689156202918072225","1.689156202918072225","Activated","77","viper","77","1.689156202918072225",NA,NA,"4","ARCHS4--Coexpression(rank=25); GTEx--Coexpression(rank=60); ReMap--ChIP-seq(rank=179); Enrichr--Queries(rank=204)","59","0.01536000000000000","ARCHS4 Coexpression,0.01536"
"HSF1","1.688308987882060519","1.688308987882060519","1.688308987882060519","Activated","78","viper","78","1.688308987882060519",NA,NA,"5","ENCODE--ChIP-seq(rank=47); Literature--ChIP-seq(rank=98); ReMap--ChIP-seq(rank=207); GTEx--Coexpression(rank=539); ARCHS4--Coexpression(rank=1515)","1000","0.33539999999999992","GTEx Coexpression,0.3354"
"KLF6","1.685398428168948692","1.685398428168948692","1.685398428168948692","Activated","79","viper","79","1.685398428168948692",NA,NA,"4","ReMap--ChIP-seq(rank=64); Enrichr--Queries(rank=82); ARCHS4--Coexpression(rank=92); GTEx--Coexpression(rank=580)","206","0.05651000000000000","ARCHS4 Coexpression,0.05651"
