Pathway,"GSE2405 0H VS 24H A PHAGOCYTOPHILUM STIM
NEUTROPHIL UP","GSE2405 0H VS 9H A PHAGOCYTOPHILUM STIM
NEUTROPHIL DN","GSE41978 KLRG1 HIGH VS LOW EFFECTOR CD8 TCELL
DN","GSE41978 ID2 KO VS ID2 KO AND BIM KO KLRG1
LOW EFFECTOR CD8 TCELL DN","GSE3720 UNSTIM VS LPS STIM VD2 GAMMADELTA
TCELL UP",GSE14000 TRANSLATED RNA VS MRNA DC DN,GSE45837 WT VS GFI1 KO PDC DN,"GSE9006 HEALTHY VS TYPE 2 DIABETES PBMC AT DX
UP","GSE9006 TYPE 1 VS TYPE 2 DIABETES PBMC AT DX
UP","GSE369 PRE VS POST IL6 INJECTION SOCS3 KO
LIVER DN","GSE42021 CD24LO TREG VS CD24LO TCONV THYMUS
DN","GSE3920 IFNA VS IFNG TREATED ENDOTHELIAL CELL
UP","GSE25146 UNSTIM VS HELIOBACTER PYLORI LPS
STIM AGS CELL DN","GSE17974 0.5H VS 72H UNTREATED IN VITRO CD4
TCELL UP","GSE17974 1H VS 72H UNTREATED IN VITRO CD4
TCELL UP","GSE17974 0.5H VS 72H IL4 AND ANTI IL12 ACT
CD4 TCELL UP","GSE36476 CTRL VS TSST ACT 40H MEMORY CD4
TCELL YOUNG UP","GSE36476 CTRL VS TSST ACT 72H MEMORY CD4
TCELL YOUNG UP","GSE36476 CTRL VS TSST ACT 40H MEMORY CD4
TCELL OLD UP",GSE17974 0H VS 12H IN VITRO ACT CD4 TCELL UP,"GSE13738 RESTING VS TCR ACTIVATED CD4 TCELL
UP",GSE6674 CPG VS CPG AND ANTI IGM STIM BCELL DN,"GSE6674 UNSTIM VS ANTI IGM AND CPG STIM BCELL
DN","GSE23321 EFFECTOR MEMORY VS NAIVE CD8 TCELL
DN","GSE37301 LYMPHOID PRIMED MPP VS GRAN MONO
PROGENITOR UP","GSE9988 ANTI TREM1 AND LPS VS CTRL TREATED
MONOCYTES UP",GSE14769 UNSTIM VS 40MIN LPS BMDM DN,GSE14769 UNSTIM VS 60MIN LPS BMDM DN,GSE27434 WT VS DNMT1 KO TREG DN,GSE45365 NK CELL VS BCELL UP,GSE2706 R848 VS R848 AND LPS 8H STIM DC DN,"GSE29617 CTRL VS DAY7 TIV FLU VACCINE PBMC
2008 UP",GSE29617 CTRL VS TIV FLU VACCINE PBMC 2008 UP,"GSE29615 CTRL VS DAY3 LAIV IFLU VACCINE PBMC
UP","GSE39820 CTRL VS TGFBETA1 IL6 IL23A CD4 TCELL
UP","GSE39820 CTRL VS TGFBETA3 IL6 IL23A CD4 TCELL
UP","GSE44649 NAIVE VS ACTIVATED CD8 TCELL MIR155
KO DN","GSE5503 LIVER DC VS PLN DC ACTIVATED
ALLOGENIC TCELL DN","GSE29164 CD8 TCELL VS CD8 TCELL AND IL12
TREATED MELANOMA DAY7 UP","GSE9960 HEALTHY VS GRAM NEG AND POS SEPSIS
PBMC DN"
"GSE42021 CD24LO TREG VS CD24LO TCONV THYMUS
DN",0.05,0.045,0.03,0.055,0.02,0.055,0.055,0.04,0.045,0.05,1.0,0.0,0.015,0.01,0.01,0.005,0.005,0.005,0.005,0.01,0.015,0.01,0.015,0.0,0.0,0.005,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.01,0.005,0.005,0.0,0.01,0.015,0.0
"GSE3920 IFNA VS IFNG TREATED ENDOTHELIAL CELL
UP",0.011764705882352941,0.011764705882352941,0.011764705882352941,0.03529411764705882,0.011764705882352941,0.0,0.011764705882352941,0.0058823529411764705,0.011764705882352941,0.0,0.0,1.0,0.07647058823529412,0.041176470588235294,0.07058823529411765,0.029411764705882353,0.041176470588235294,0.06470588235294118,0.03529411764705882,0.052941176470588235,0.03529411764705882,0.047058823529411764,0.029411764705882353,0.029411764705882353,0.047058823529411764,0.08235294117647059,0.12352941176470589,0.11176470588235295,0.07058823529411765,0.06470588235294118,0.041176470588235294,0.07058823529411765,0.08823529411764706,0.023529411764705882,0.029411764705882353,0.01764705882352941,0.029411764705882353,0.0058823529411764705,0.0058823529411764705,0.01764705882352941
"GSE25146 UNSTIM VS HELIOBACTER PYLORI LPS
STIM AGS CELL DN",0.006024096385542169,0.012048192771084338,0.012048192771084338,0.006024096385542169,0.03614457831325301,0.0,0.012048192771084338,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.018072289156626505,0.0783132530120482,1.0,0.024096385542168676,0.04216867469879518,0.030120481927710843,0.04819277108433735,0.07228915662650602,0.04216867469879518,0.018072289156626505,0.024096385542168676,0.030120481927710843,0.04216867469879518,0.024096385542168676,0.03614457831325301,0.024096385542168676,0.04819277108433735,0.04216867469879518,0.05421686746987952,0.04819277108433735,0.006024096385542169,0.03614457831325301,0.05421686746987952,0.012048192771084338,0.04216867469879518,0.024096385542168676,0.018072289156626505,0.018072289156626505,0.024096385542168676,0.03614457831325301
"GSE17974 0.5H VS 72H UNTREATED IN VITRO CD4
TCELL UP",0.010309278350515464,0.005154639175257732,0.015463917525773196,0.010309278350515464,0.020618556701030927,0.005154639175257732,0.0,0.015463917525773196,0.010309278350515464,0.015463917525773196,0.010309278350515464,0.03608247422680412,0.020618556701030927,1.0,0.28350515463917525,0.23195876288659795,0.13402061855670103,0.13917525773195877,0.10309278350515463,0.08247422680412371,0.05670103092783505,0.015463917525773196,0.030927835051546393,0.041237113402061855,0.030927835051546393,0.041237113402061855,0.041237113402061855,0.041237113402061855,0.05154639175257732,0.041237113402061855,0.015463917525773196,0.06701030927835051,0.05154639175257732,0.04639175257731959,0.02577319587628866,0.015463917525773196,0.005154639175257732,0.020618556701030927,0.005154639175257732,0.015463917525773196
"GSE17974 1H VS 72H UNTREATED IN VITRO CD4
TCELL UP",0.01015228426395939,0.005076142131979695,0.015228426395939087,0.005076142131979695,0.015228426395939087,0.0,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.0,0.01015228426395939,0.06091370558375635,0.03553299492385787,0.27918781725888325,1.0,0.20304568527918782,0.06598984771573604,0.09644670050761421,0.07614213197969544,0.07106598984771574,0.05583756345177665,0.02030456852791878,0.030456852791878174,0.025380710659898477,0.050761421319796954,0.025380710659898477,0.04060913705583756,0.050761421319796954,0.030456852791878174,0.06091370558375635,0.015228426395939087,0.07106598984771574,0.05583756345177665,0.05583756345177665,0.02030456852791878,0.01015228426395939,0.02030456852791878,0.025380710659898477,0.02030456852791878,0.015228426395939087
"GSE17974 0.5H VS 72H IL4 AND ANTI IL12 ACT
CD4 TCELL UP",0.01020408163265306,0.00510204081632653,0.00510204081632653,0.01020408163265306,0.02040816326530612,0.01020408163265306,0.0,0.015306122448979591,0.00510204081632653,0.030612244897959183,0.00510204081632653,0.025510204081632654,0.025510204081632654,0.22959183673469388,0.20408163265306123,1.0,0.12244897959183673,0.12244897959183673,0.0663265306122449,0.09693877551020408,0.05102040816326531,0.04081632653061224,0.025510204081632654,0.03571428571428571,0.04081632653061224,0.030612244897959183,0.03571428571428571,0.04591836734693878,0.025510204081632654,0.00510204081632653,0.01020408163265306,0.07142857142857142,0.0663265306122449,0.03571428571428571,0.030612244897959183,0.01020408163265306,0.00510204081632653,0.025510204081632654,0.0,0.030612244897959183
"GSE36476 CTRL VS TSST ACT 40H MEMORY CD4
TCELL YOUNG UP",0.030303030303030304,0.03535353535353535,0.010101010101010102,0.020202020202020204,0.015151515151515152,0.005050505050505051,0.020202020202020204,0.020202020202020204,0.025252525252525252,0.005050505050505051,0.005050505050505051,0.03535353535353535,0.04040404040404041,0.13131313131313133,0.06565656565656566,0.12121212121212122,1.0,0.6414141414141414,0.3434343434343434,0.13636363636363635,0.050505050505050504,0.03535353535353535,0.010101010101010102,0.020202020202020204,0.03535353535353535,0.050505050505050504,0.06565656565656566,0.05555555555555555,0.04040404040404041,0.03535353535353535,0.015151515151515152,0.07575757575757576,0.06565656565656566,0.025252525252525252,0.025252525252525252,0.025252525252525252,0.020202020202020204,0.020202020202020204,0.030303030303030304,0.010101010101010102
"GSE36476 CTRL VS TSST ACT 72H MEMORY CD4
TCELL YOUNG UP",0.020202020202020204,0.020202020202020204,0.005050505050505051,0.010101010101010102,0.015151515151515152,0.005050505050505051,0.010101010101010102,0.005050505050505051,0.020202020202020204,0.005050505050505051,0.005050505050505051,0.05555555555555555,0.06060606060606061,0.13636363636363635,0.09595959595959595,0.12121212121212122,0.6414141414141414,1.0,0.31313131313131315,0.13131313131313133,0.09090909090909091,0.04040404040404041,0.015151515151515152,0.025252525252525252,0.03535353535353535,0.08585858585858586,0.09090909090909091,0.07575757575757576,0.050505050505050504,0.03535353535353535,0.015151515151515152,0.11616161616161616,0.08585858585858586,0.04040404040404041,0.010101010101010102,0.025252525252525252,0.025252525252525252,0.015151515151515152,0.020202020202020204,0.025252525252525252
"GSE36476 CTRL VS TSST ACT 40H MEMORY CD4
TCELL OLD UP",0.020202020202020204,0.020202020202020204,0.005050505050505051,0.020202020202020204,0.005050505050505051,0.005050505050505051,0.015151515151515152,0.005050505050505051,0.015151515151515152,0.010101010101010102,0.005050505050505051,0.030303030303030304,0.03535353535353535,0.10101010101010101,0.07575757575757576,0.06565656565656566,0.3434343434343434,0.31313131313131315,1.0,0.10606060606060606,0.04040404040404041,0.045454545454545456,0.005050505050505051,0.005050505050505051,0.005050505050505051,0.045454545454545456,0.045454545454545456,0.04040404040404041,0.020202020202020204,0.025252525252525252,0.015151515151515152,0.07575757575757576,0.05555555555555555,0.025252525252525252,0.015151515151515152,0.005050505050505051,0.015151515151515152,0.0,0.030303030303030304,0.015151515151515152
GSE17974 0H VS 12H IN VITRO ACT CD4 TCELL UP,0.0,0.005076142131979695,0.005076142131979695,0.01015228426395939,0.02030456852791878,0.01015228426395939,0.01015228426395939,0.005076142131979695,0.015228426395939087,0.005076142131979695,0.01015228426395939,0.04568527918781726,0.015228426395939087,0.08121827411167512,0.07106598984771574,0.09644670050761421,0.13705583756345177,0.1319796954314721,0.1065989847715736,1.0,0.04060913705583756,0.030456852791878174,0.0,0.01015228426395939,0.01015228426395939,0.04060913705583756,0.050761421319796954,0.05583756345177665,0.03553299492385787,0.02030456852791878,0.025380710659898477,0.06598984771573604,0.050761421319796954,0.030456852791878174,0.02030456852791878,0.015228426395939087,0.005076142131979695,0.0,0.03553299492385787,0.005076142131979695
"GSE13738 RESTING VS TCR ACTIVATED CD4 TCELL
UP",0.015384615384615385,0.0,0.005128205128205128,0.005128205128205128,0.010256410256410256,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.010256410256410256,0.0,0.015384615384615385,0.03076923076923077,0.020512820512820513,0.05641025641025641,0.05641025641025641,0.05128205128205128,0.05128205128205128,0.09230769230769231,0.041025641025641026,0.041025641025641026,1.0,0.015384615384615385,0.0,0.005128205128205128,0.005128205128205128,0.010256410256410256,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.0,0.0,0.010256410256410256,0.015384615384615385,0.015384615384615385,0.02564102564102564,0.03076923076923077,0.010256410256410256,0.020512820512820513,0.020512820512820513,0.005128205128205128
GSE6674 CPG VS CPG AND ANTI IGM STIM BCELL DN,0.01,0.005,0.01,0.015,0.015,0.005,0.01,0.005,0.005,0.005,0.01,0.04,0.025,0.015,0.02,0.04,0.035,0.04,0.045,0.03,0.015,1.0,0.105,0.04,0.045,0.075,0.09,0.09,0.09,0.05,0.035,0.07,0.065,0.01,0.02,0.02,0.015,0.015,0.01,0.025
"GSE6674 UNSTIM VS ANTI IGM AND CPG STIM BCELL
DN",0.010050251256281407,0.01507537688442211,0.0,0.010050251256281407,0.005025125628140704,0.0,0.02512562814070352,0.010050251256281407,0.020100502512562814,0.0,0.01507537688442211,0.02512562814070352,0.035175879396984924,0.03015075376884422,0.03015075376884422,0.02512562814070352,0.010050251256281407,0.01507537688442211,0.005025125628140704,0.0,0.0,0.10552763819095477,1.0,0.09547738693467336,0.08040201005025126,0.02512562814070352,0.035175879396984924,0.04522613065326633,0.04020100502512563,0.08040201005025126,0.02512562814070352,0.020100502512562814,0.03015075376884422,0.020100502512562814,0.06030150753768844,0.05025125628140704,0.02512562814070352,0.02512562814070352,0.01507537688442211,0.020100502512562814
"GSE23321 EFFECTOR MEMORY VS NAIVE CD8 TCELL
DN",0.015228426395939087,0.01015228426395939,0.005076142131979695,0.01015228426395939,0.025380710659898477,0.01015228426395939,0.015228426395939087,0.0,0.01015228426395939,0.01015228426395939,0.0,0.025380710659898477,0.02030456852791878,0.04060913705583756,0.025380710659898477,0.03553299492385787,0.02030456852791878,0.025380710659898477,0.005076142131979695,0.01015228426395939,0.005076142131979695,0.04060913705583756,0.09644670050761421,1.0,0.08629441624365482,0.08121827411167512,0.04060913705583756,0.07106598984771574,0.050761421319796954,0.05583756345177665,0.04060913705583756,0.050761421319796954,0.04568527918781726,0.04060913705583756,0.04568527918781726,0.03553299492385787,0.030456852791878174,0.01015228426395939,0.02030456852791878,0.015228426395939087
"GSE37301 LYMPHOID PRIMED MPP VS GRAN MONO
PROGENITOR UP",0.005,0.01,0.005,0.02,0.02,0.0,0.005,0.015,0.005,0.005,0.0,0.04,0.03,0.03,0.05,0.04,0.035,0.035,0.005,0.01,0.005,0.045,0.08,0.085,1.0,0.025,0.075,0.06,0.035,0.075,0.035,0.03,0.065,0.02,0.045,0.015,0.01,0.025,0.015,0.02
"GSE9988 ANTI TREM1 AND LPS VS CTRL TREATED
MONOCYTES UP",0.0,0.015384615384615385,0.0,0.005128205128205128,0.010256410256410256,0.0,0.010256410256410256,0.005128205128205128,0.0,0.005128205128205128,0.005128205128205128,0.07179487179487179,0.020512820512820513,0.041025641025641026,0.02564102564102564,0.03076923076923077,0.05128205128205128,0.08717948717948718,0.046153846153846156,0.041025641025641026,0.010256410256410256,0.07692307692307693,0.02564102564102564,0.08205128205128205,0.02564102564102564,1.0,0.18461538461538463,0.15897435897435896,0.11794871794871795,0.07179487179487179,0.10256410256410256,0.11794871794871795,0.07692307692307693,0.03076923076923077,0.03076923076923077,0.020512820512820513,0.020512820512820513,0.010256410256410256,0.005128205128205128,0.015384615384615385
GSE14769 UNSTIM VS 40MIN LPS BMDM DN,0.005,0.01,0.015,0.02,0.02,0.0,0.005,0.02,0.01,0.005,0.0,0.105,0.04,0.04,0.04,0.035,0.065,0.09,0.045,0.05,0.005,0.09,0.035,0.04,0.075,0.18,1.0,0.535,0.215,0.115,0.045,0.135,0.12,0.02,0.025,0.03,0.03,0.005,0.01,0.02
GSE14769 UNSTIM VS 60MIN LPS BMDM DN,0.0,0.005,0.02,0.025,0.005,0.0,0.005,0.015,0.01,0.005,0.0,0.095,0.035,0.04,0.05,0.045,0.055,0.075,0.04,0.055,0.005,0.09,0.045,0.07,0.06,0.155,0.535,1.0,0.215,0.11,0.04,0.125,0.12,0.04,0.025,0.035,0.015,0.01,0.015,0.015
GSE27434 WT VS DNMT1 KO TREG DN,0.02,0.02,0.02,0.025,0.005,0.0,0.02,0.015,0.01,0.005,0.005,0.06,0.045,0.05,0.03,0.025,0.04,0.05,0.02,0.035,0.005,0.09,0.04,0.05,0.035,0.115,0.215,0.215,1.0,0.105,0.03,0.11,0.075,0.025,0.02,0.02,0.015,0.0,0.01,0.025
GSE45365 NK CELL VS BCELL UP,0.0,0.025252525252525252,0.025252525252525252,0.015151515151515152,0.020202020202020204,0.0,0.0,0.015151515151515152,0.015151515151515152,0.005050505050505051,0.005050505050505051,0.05555555555555555,0.04040404040404041,0.04040404040404041,0.06060606060606061,0.005050505050505051,0.03535353535353535,0.03535353535353535,0.025252525252525252,0.020202020202020204,0.0,0.050505050505050504,0.08080808080808081,0.05555555555555555,0.07575757575757576,0.0707070707070707,0.11616161616161616,0.1111111111111111,0.10606060606060606,1.0,0.050505050505050504,0.06565656565656566,0.06060606060606061,0.04040404040404041,0.06060606060606061,0.050505050505050504,0.030303030303030304,0.025252525252525252,0.015151515151515152,0.030303030303030304
GSE2706 R848 VS R848 AND LPS 8H STIM DC DN,0.0,0.005076142131979695,0.005076142131979695,0.01015228426395939,0.01015228426395939,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.0,0.0,0.0,0.03553299492385787,0.005076142131979695,0.015228426395939087,0.015228426395939087,0.01015228426395939,0.015228426395939087,0.015228426395939087,0.015228426395939087,0.025380710659898477,0.0,0.03553299492385787,0.025380710659898477,0.04060913705583756,0.03553299492385787,0.10152284263959391,0.04568527918781726,0.04060913705583756,0.030456852791878174,0.050761421319796954,1.0,0.030456852791878174,0.025380710659898477,0.02030456852791878,0.01015228426395939,0.01015228426395939,0.01015228426395939,0.01015228426395939,0.0,0.015228426395939087
"GSE29617 CTRL VS DAY7 TIV FLU VACCINE PBMC
2008 UP",0.01020408163265306,0.01020408163265306,0.01020408163265306,0.015306122448979591,0.015306122448979591,0.0,0.0,0.00510204081632653,0.0,0.00510204081632653,0.0,0.061224489795918366,0.030612244897959183,0.0663265306122449,0.07142857142857142,0.07142857142857142,0.07653061224489796,0.11734693877551021,0.07653061224489796,0.0663265306122449,0.01020408163265306,0.07142857142857142,0.02040816326530612,0.05102040816326531,0.030612244897959183,0.11734693877551021,0.1377551020408163,0.12755102040816327,0.11224489795918367,0.0663265306122449,0.030612244897959183,1.0,0.39285714285714285,0.11734693877551021,0.015306122448979591,0.015306122448979591,0.015306122448979591,0.02040816326530612,0.02040816326530612,0.015306122448979591
GSE29617 CTRL VS TIV FLU VACCINE PBMC 2008 UP,0.0,0.0,0.010471204188481676,0.010471204188481676,0.010471204188481676,0.0,0.0,0.005235602094240838,0.0,0.005235602094240838,0.0,0.07853403141361257,0.04712041884816754,0.05235602094240838,0.05759162303664921,0.06806282722513089,0.06806282722513089,0.08900523560209424,0.05759162303664921,0.05235602094240838,0.015706806282722512,0.06806282722513089,0.031413612565445025,0.04712041884816754,0.06806282722513089,0.07853403141361257,0.1256544502617801,0.1256544502617801,0.07853403141361257,0.06282722513089005,0.02617801047120419,0.4031413612565445,1.0,0.10471204188481675,0.02617801047120419,0.020942408376963352,0.015706806282722512,0.015706806282722512,0.031413612565445025,0.020942408376963352
"GSE29615 CTRL VS DAY3 LAIV IFLU VACCINE PBMC
UP",0.010471204188481676,0.010471204188481676,0.015706806282722512,0.015706806282722512,0.010471204188481676,0.005235602094240838,0.0,0.0,0.0,0.005235602094240838,0.010471204188481676,0.020942408376963352,0.010471204188481676,0.04712041884816754,0.05759162303664921,0.03664921465968586,0.02617801047120419,0.041884816753926704,0.02617801047120419,0.031413612565445025,0.015706806282722512,0.010471204188481676,0.020942408376963352,0.041884816753926704,0.020942408376963352,0.031413612565445025,0.020942408376963352,0.041884816753926704,0.02617801047120419,0.041884816753926704,0.020942408376963352,0.12041884816753927,0.10471204188481675,1.0,0.010471204188481676,0.020942408376963352,0.03664921465968586,0.015706806282722512,0.02617801047120419,0.005235602094240838
"GSE39820 CTRL VS TGFBETA1 IL6 IL23A CD4 TCELL
UP",0.010050251256281407,0.005025125628140704,0.04020100502512563,0.01507537688442211,0.020100502512562814,0.005025125628140704,0.0,0.0,0.005025125628140704,0.010050251256281407,0.005025125628140704,0.02512562814070352,0.035175879396984924,0.02512562814070352,0.020100502512562814,0.03015075376884422,0.02512562814070352,0.010050251256281407,0.01507537688442211,0.020100502512562814,0.02512562814070352,0.020100502512562814,0.06030150753768844,0.04522613065326633,0.04522613065326633,0.03015075376884422,0.02512562814070352,0.02512562814070352,0.020100502512562814,0.06030150753768844,0.010050251256281407,0.01507537688442211,0.02512562814070352,0.010050251256281407,1.0,0.3869346733668342,0.05025125628140704,0.02512562814070352,0.06030150753768844,0.01507537688442211
"GSE39820 CTRL VS TGFBETA3 IL6 IL23A CD4 TCELL
UP",0.01,0.02,0.025,0.015,0.005,0.0,0.0,0.0,0.005,0.01,0.005,0.015,0.02,0.015,0.01,0.01,0.025,0.025,0.005,0.015,0.03,0.02,0.05,0.035,0.015,0.02,0.03,0.035,0.02,0.05,0.01,0.015,0.02,0.02,0.385,1.0,0.045,0.04,0.045,0.015
