"Analysis_Name","Scope_Group_Column","Scope_Group_Value","GeneSet_Name","Source","Ranked_Genes","GSEA_Terms","Positive_NES","Negative_NES","CSV_File"
"2D_J2_hepatocyte","liver_niche_model","2D_J2_hepatocyte","TFT_TFT_LEGACY","computed","16799","149","2","147","results/ngs/GSE282081/tables/ATF3_function/2D_J2_hepatocyte/GSEA/TFT_TFT_LEGACY/gsea_result.csv"
"3D_organoid_none","liver_niche_model","3D_organoid_none","TFT_TFT_LEGACY","computed","17406","95","90","5","results/ngs/GSE282081/tables/ATF3_function/3D_organoid_none/GSEA/TFT_TFT_LEGACY/gsea_result.csv"
"3D_organoid_J2_hepatocyte","liver_niche_model","3D_organoid_J2_hepatocyte","TFT_TFT_LEGACY","computed","17333","73","54","19","results/ngs/GSE282081/tables/ATF3_function/3D_organoid_J2_hepatocyte/GSEA/TFT_TFT_LEGACY/gsea_result.csv"
"2D_none","liver_niche_model","2D_none","TFT_GTRD","computed","16798","24","13","5","results/ngs/GSE282081/tables/ATF3_function/2D_none/GSEA/TFT_GTRD/gsea_result.csv"
"2D_J2","liver_niche_model","2D_J2","TFT_GTRD","computed","16864","46","27","13","results/ngs/GSE282081/tables/ATF3_function/2D_J2/GSEA/TFT_GTRD/gsea_result.csv"
"2D_J2_hepatocyte","liver_niche_model","2D_J2_hepatocyte","TFT_GTRD","computed","16799","40","4","31","results/ngs/GSE282081/tables/ATF3_function/2D_J2_hepatocyte/GSEA/TFT_GTRD/gsea_result.csv"
"3D_organoid_none","liver_niche_model","3D_organoid_none","TFT_GTRD","computed","17406","70","58","6","results/ngs/GSE282081/tables/ATF3_function/3D_organoid_none/GSEA/TFT_GTRD/gsea_result.csv"
"3D_organoid_J2_hepatocyte","liver_niche_model","3D_organoid_J2_hepatocyte","TFT_GTRD","computed","17333","49","17","27","results/ngs/GSE282081/tables/ATF3_function/3D_organoid_J2_hepatocyte/GSEA/TFT_GTRD/gsea_result.csv"
"2D_none","liver_niche_model","2D_none","GO_BP","computed","16798","361","211","144","results/ngs/GSE282081/tables/ATF3_function/2D_none/GSEA/GO_BP/gsea_result.csv"
"2D_J2","liver_niche_model","2D_J2","GO_BP","computed","16864","395","242","149","results/ngs/GSE282081/tables/ATF3_function/2D_J2/GSEA/GO_BP/gsea_result.csv"
"2D_J2_hepatocyte","liver_niche_model","2D_J2_hepatocyte","GO_BP","computed","16799","763","144","614","results/ngs/GSE282081/tables/ATF3_function/2D_J2_hepatocyte/GSEA/GO_BP/gsea_result.csv"
"3D_organoid_none","liver_niche_model","3D_organoid_none","GO_BP","computed","17406","569","341","222","results/ngs/GSE282081/tables/ATF3_function/3D_organoid_none/GSEA/GO_BP/gsea_result.csv"
"3D_organoid_J2_hepatocyte","liver_niche_model","3D_organoid_J2_hepatocyte","GO_BP","computed","17333","702","530","167","results/ngs/GSE282081/tables/ATF3_function/3D_organoid_J2_hepatocyte/GSEA/GO_BP/gsea_result.csv"
"2D_none","liver_niche_model","2D_none","GO_CC","computed","16798","69","54","12","results/ngs/GSE282081/tables/ATF3_function/2D_none/GSEA/GO_CC/gsea_result.csv"
"2D_J2","liver_niche_model","2D_J2","GO_CC","computed","16864","102","78","22","results/ngs/GSE282081/tables/ATF3_function/2D_J2/GSEA/GO_CC/gsea_result.csv"
"2D_J2_hepatocyte","liver_niche_model","2D_J2_hepatocyte","GO_CC","computed","16799","183","67","114","results/ngs/GSE282081/tables/ATF3_function/2D_J2_hepatocyte/GSEA/GO_CC/gsea_result.csv"
"3D_organoid_none","liver_niche_model","3D_organoid_none","GO_CC","computed","17406","117","47","68","results/ngs/GSE282081/tables/ATF3_function/3D_organoid_none/GSEA/GO_CC/gsea_result.csv"
"3D_organoid_J2_hepatocyte","liver_niche_model","3D_organoid_J2_hepatocyte","GO_CC","computed","17333","116","59","54","results/ngs/GSE282081/tables/ATF3_function/3D_organoid_J2_hepatocyte/GSEA/GO_CC/gsea_result.csv"
"2D_none","liver_niche_model","2D_none","GO_MF","computed","16798","122","84","33","results/ngs/GSE282081/tables/ATF3_function/2D_none/GSEA/GO_MF/gsea_result.csv"
"2D_J2","liver_niche_model","2D_J2","GO_MF","computed","16864","150","98","48","results/ngs/GSE282081/tables/ATF3_function/2D_J2/GSEA/GO_MF/gsea_result.csv"
"2D_J2_hepatocyte","liver_niche_model","2D_J2_hepatocyte","GO_MF","computed","16799","266","54","208","results/ngs/GSE282081/tables/ATF3_function/2D_J2_hepatocyte/GSEA/GO_MF/gsea_result.csv"
"3D_organoid_none","liver_niche_model","3D_organoid_none","GO_MF","computed","17406","203","111","90","results/ngs/GSE282081/tables/ATF3_function/3D_organoid_none/GSEA/GO_MF/gsea_result.csv"
"3D_organoid_J2_hepatocyte","liver_niche_model","3D_organoid_J2_hepatocyte","GO_MF","computed","17333","179","89","87","results/ngs/GSE282081/tables/ATF3_function/3D_organoid_J2_hepatocyte/GSEA/GO_MF/gsea_result.csv"
"2D_none","liver_niche_model","2D_none","HPO","computed","16798","235","178","56","results/ngs/GSE282081/tables/ATF3_function/2D_none/GSEA/HPO/gsea_result.csv"
"2D_J2","liver_niche_model","2D_J2","HPO","computed","16864","370","290","80","results/ngs/GSE282081/tables/ATF3_function/2D_J2/GSEA/HPO/gsea_result.csv"
"2D_J2_hepatocyte","liver_niche_model","2D_J2_hepatocyte","HPO","computed","16799","1283","52","1229","results/ngs/GSE282081/tables/ATF3_function/2D_J2_hepatocyte/GSEA/HPO/gsea_result.csv"
"3D_organoid_none","liver_niche_model","3D_organoid_none","HPO","computed","17406","528","334","194","results/ngs/GSE282081/tables/ATF3_function/3D_organoid_none/GSEA/HPO/gsea_result.csv"
"3D_organoid_J2_hepatocyte","liver_niche_model","3D_organoid_J2_hepatocyte","HPO","computed","17333","338","262","75","results/ngs/GSE282081/tables/ATF3_function/3D_organoid_J2_hepatocyte/GSEA/HPO/gsea_result.csv"
"2D_none","liver_niche_model","2D_none","C6","computed","16798","12","5","7","results/ngs/GSE282081/tables/ATF3_function/2D_none/GSEA/C6/gsea_result.csv"
"2D_J2","liver_niche_model","2D_J2","C6","computed","16864","35","22","13","results/ngs/GSE282081/tables/ATF3_function/2D_J2/GSEA/C6/gsea_result.csv"
"2D_J2_hepatocyte","liver_niche_model","2D_J2_hepatocyte","C6","computed","16799","31","4","27","results/ngs/GSE282081/tables/ATF3_function/2D_J2_hepatocyte/GSEA/C6/gsea_result.csv"
"3D_organoid_none","liver_niche_model","3D_organoid_none","C6","computed","17406","44","32","12","results/ngs/GSE282081/tables/ATF3_function/3D_organoid_none/GSEA/C6/gsea_result.csv"
"3D_organoid_J2_hepatocyte","liver_niche_model","3D_organoid_J2_hepatocyte","C6","computed","17333","56","45","11","results/ngs/GSE282081/tables/ATF3_function/3D_organoid_J2_hepatocyte/GSEA/C6/gsea_result.csv"
"2D_none","liver_niche_model","2D_none","IMMUNESIGDB","computed","16798","359","288","71","results/ngs/GSE282081/tables/ATF3_function/2D_none/GSEA/IMMUNESIGDB/gsea_result.csv"
"2D_J2","liver_niche_model","2D_J2","IMMUNESIGDB","computed","16864","829","718","111","results/ngs/GSE282081/tables/ATF3_function/2D_J2/GSEA/IMMUNESIGDB/gsea_result.csv"
"2D_J2_hepatocyte","liver_niche_model","2D_J2_hepatocyte","IMMUNESIGDB","computed","16799","920","101","819","results/ngs/GSE282081/tables/ATF3_function/2D_J2_hepatocyte/GSEA/IMMUNESIGDB/gsea_result.csv"
"3D_organoid_none","liver_niche_model","3D_organoid_none","IMMUNESIGDB","computed","17406","1317","979","338","results/ngs/GSE282081/tables/ATF3_function/3D_organoid_none/GSEA/IMMUNESIGDB/gsea_result.csv"
"3D_organoid_J2_hepatocyte","liver_niche_model","3D_organoid_J2_hepatocyte","IMMUNESIGDB","computed","17333","993","441","552","results/ngs/GSE282081/tables/ATF3_function/3D_organoid_J2_hepatocyte/GSEA/IMMUNESIGDB/gsea_result.csv"
