"Analysis_Name","GeneSet_Name","Source","Ranked_Genes","GSEA_Terms","Positive_NES","Negative_NES","CSV_File"
"3D_organoid","CP_KEGG_MEDICUS","computed","14455","42","13","28","results/ngs/GSE282081/tables/3D_organoid/GSEA/CP_KEGG_MEDICUS/gsea_result.csv"
"Hepatocyte_coculture","CP_KEGG_MEDICUS","computed","14455","101","31","69","results/ngs/GSE282081/tables/Hepatocyte_coculture/GSEA/CP_KEGG_MEDICUS/gsea_result.csv"
"2D_J2_coculture","CP_KEGG_LEGACY","computed","14326","41","5","36","results/ngs/GSE282081/tables/2D_J2_coculture/GSEA/CP_KEGG_LEGACY/gsea_result.csv"
"2D_J2_hepatocyte","CP_KEGG_LEGACY","computed","14290","34","22","12","results/ngs/GSE282081/tables/2D_J2_hepatocyte/GSEA/CP_KEGG_LEGACY/gsea_result.csv"
"2D_J2_hepatocyte_vs_2D_none","CP_KEGG_LEGACY","computed","14296","47","11","36","results/ngs/GSE282081/tables/2D_J2_hepatocyte_vs_2D_none/GSEA/CP_KEGG_LEGACY/gsea_result.csv"
"3D_hepatic_coculture","CP_KEGG_LEGACY","computed","15109","68","33","35","results/ngs/GSE282081/tables/3D_hepatic_coculture/GSEA/CP_KEGG_LEGACY/gsea_result.csv"
"3D_organoid","CP_KEGG_LEGACY","computed","14455","47","10","37","results/ngs/GSE282081/tables/3D_organoid/GSEA/CP_KEGG_LEGACY/gsea_result.csv"
"Hepatocyte_coculture","CP_KEGG_LEGACY","computed","14455","62","15","47","results/ngs/GSE282081/tables/Hepatocyte_coculture/GSEA/CP_KEGG_LEGACY/gsea_result.csv"
"2D_J2_coculture","CP_REACTOME","computed","14326","333","74","256","results/ngs/GSE282081/tables/2D_J2_coculture/GSEA/CP_REACTOME/gsea_result.csv"
"2D_J2_hepatocyte","CP_REACTOME","computed","14290","365","253","109","results/ngs/GSE282081/tables/2D_J2_hepatocyte/GSEA/CP_REACTOME/gsea_result.csv"
"2D_J2_hepatocyte_vs_2D_none","CP_REACTOME","computed","14296","341","143","195","results/ngs/GSE282081/tables/2D_J2_hepatocyte_vs_2D_none/GSEA/CP_REACTOME/gsea_result.csv"
"3D_hepatic_coculture","CP_REACTOME","computed","15109","403","181","220","results/ngs/GSE282081/tables/3D_hepatic_coculture/GSEA/CP_REACTOME/gsea_result.csv"
"3D_organoid","CP_REACTOME","computed","14455","282","104","175","results/ngs/GSE282081/tables/3D_organoid/GSEA/CP_REACTOME/gsea_result.csv"
"Hepatocyte_coculture","CP_REACTOME","computed","14455","472","186","283","results/ngs/GSE282081/tables/Hepatocyte_coculture/GSEA/CP_REACTOME/gsea_result.csv"
"2D_J2_coculture","CP_WIKIPATHWAYS","computed","14326","192","16","176","results/ngs/GSE282081/tables/2D_J2_coculture/GSEA/CP_WIKIPATHWAYS/gsea_result.csv"
"2D_J2_hepatocyte","CP_WIKIPATHWAYS","computed","14290","147","93","53","results/ngs/GSE282081/tables/2D_J2_hepatocyte/GSEA/CP_WIKIPATHWAYS/gsea_result.csv"
"2D_J2_hepatocyte_vs_2D_none","CP_WIKIPATHWAYS","computed","14296","204","35","169","results/ngs/GSE282081/tables/2D_J2_hepatocyte_vs_2D_none/GSEA/CP_WIKIPATHWAYS/gsea_result.csv"
"3D_hepatic_coculture","CP_WIKIPATHWAYS","computed","15109","286","58","228","results/ngs/GSE282081/tables/3D_hepatic_coculture/GSEA/CP_WIKIPATHWAYS/gsea_result.csv"
"3D_organoid","CP_WIKIPATHWAYS","computed","14455","143","53","90","results/ngs/GSE282081/tables/3D_organoid/GSEA/CP_WIKIPATHWAYS/gsea_result.csv"
"Hepatocyte_coculture","CP_WIKIPATHWAYS","computed","14455","234","33","201","results/ngs/GSE282081/tables/Hepatocyte_coculture/GSEA/CP_WIKIPATHWAYS/gsea_result.csv"
"2D_J2_coculture","TFT_TFT_LEGACY","computed","14326","141","28","113","results/ngs/GSE282081/tables/2D_J2_coculture/GSEA/TFT_TFT_LEGACY/gsea_result.csv"
"2D_J2_hepatocyte","TFT_TFT_LEGACY","computed","14290","238","44","194","results/ngs/GSE282081/tables/2D_J2_hepatocyte/GSEA/TFT_TFT_LEGACY/gsea_result.csv"
"2D_J2_hepatocyte_vs_2D_none","TFT_TFT_LEGACY","computed","14296","269","26","243","results/ngs/GSE282081/tables/2D_J2_hepatocyte_vs_2D_none/GSEA/TFT_TFT_LEGACY/gsea_result.csv"
"3D_hepatic_coculture","TFT_TFT_LEGACY","computed","15109","265","30","235","results/ngs/GSE282081/tables/3D_hepatic_coculture/GSEA/TFT_TFT_LEGACY/gsea_result.csv"
"3D_organoid","TFT_TFT_LEGACY","computed","14455","153","47","106","results/ngs/GSE282081/tables/3D_organoid/GSEA/TFT_TFT_LEGACY/gsea_result.csv"
"Hepatocyte_coculture","TFT_TFT_LEGACY","computed","14455","323","15","308","results/ngs/GSE282081/tables/Hepatocyte_coculture/GSEA/TFT_TFT_LEGACY/gsea_result.csv"
"2D_J2_coculture","TFT_GTRD","computed","14326","54","5","44","results/ngs/GSE282081/tables/2D_J2_coculture/GSEA/TFT_GTRD/gsea_result.csv"
"2D_J2_hepatocyte","TFT_GTRD","computed","14290","66","50","11","results/ngs/GSE282081/tables/2D_J2_hepatocyte/GSEA/TFT_GTRD/gsea_result.csv"
"2D_J2_hepatocyte_vs_2D_none","TFT_GTRD","computed","14296","64","35","24","results/ngs/GSE282081/tables/2D_J2_hepatocyte_vs_2D_none/GSEA/TFT_GTRD/gsea_result.csv"
"3D_hepatic_coculture","TFT_GTRD","computed","15109","55","31","19","results/ngs/GSE282081/tables/3D_hepatic_coculture/GSEA/TFT_GTRD/gsea_result.csv"
"3D_organoid","TFT_GTRD","computed","14455","47","35","7","results/ngs/GSE282081/tables/3D_organoid/GSEA/TFT_GTRD/gsea_result.csv"
"Hepatocyte_coculture","TFT_GTRD","computed","14455","73","45","23","results/ngs/GSE282081/tables/Hepatocyte_coculture/GSEA/TFT_GTRD/gsea_result.csv"
"2D_J2_coculture","GO_BP","computed","14326","1254","170","1073","results/ngs/GSE282081/tables/2D_J2_coculture/GSEA/GO_BP/gsea_result.csv"
"2D_J2_hepatocyte","GO_BP","computed","14290","1151","793","346","results/ngs/GSE282081/tables/2D_J2_hepatocyte/GSEA/GO_BP/gsea_result.csv"
"2D_J2_hepatocyte_vs_2D_none","GO_BP","computed","14296","1124","322","791","results/ngs/GSE282081/tables/2D_J2_hepatocyte_vs_2D_none/GSEA/GO_BP/gsea_result.csv"
"3D_hepatic_coculture","GO_BP","computed","15109","1484","391","1084","results/ngs/GSE282081/tables/3D_hepatic_coculture/GSEA/GO_BP/gsea_result.csv"
"3D_organoid","GO_BP","computed","14455","906","278","618","results/ngs/GSE282081/tables/3D_organoid/GSEA/GO_BP/gsea_result.csv"
"Hepatocyte_coculture","GO_BP","computed","14455","1378","320","1048","results/ngs/GSE282081/tables/Hepatocyte_coculture/GSEA/GO_BP/gsea_result.csv"
"2D_J2_coculture","GO_CC","computed","14326","160","29","122","results/ngs/GSE282081/tables/2D_J2_coculture/GSEA/GO_CC/gsea_result.csv"
"2D_J2_hepatocyte","GO_CC","computed","14290","197","128","62","results/ngs/GSE282081/tables/2D_J2_hepatocyte/GSEA/GO_CC/gsea_result.csv"
"2D_J2_hepatocyte_vs_2D_none","GO_CC","computed","14296","177","78","90","results/ngs/GSE282081/tables/2D_J2_hepatocyte_vs_2D_none/GSEA/GO_CC/gsea_result.csv"
"3D_hepatic_coculture","GO_CC","computed","15109","224","107","112","results/ngs/GSE282081/tables/3D_hepatic_coculture/GSEA/GO_CC/gsea_result.csv"
"3D_organoid","GO_CC","computed","14455","225","87","133","results/ngs/GSE282081/tables/3D_organoid/GSEA/GO_CC/gsea_result.csv"
"Hepatocyte_coculture","GO_CC","computed","14455","276","127","144","results/ngs/GSE282081/tables/Hepatocyte_coculture/GSEA/GO_CC/gsea_result.csv"
"2D_J2_coculture","GO_MF","computed","14326","263","59","190","results/ngs/GSE282081/tables/2D_J2_coculture/GSEA/GO_MF/gsea_result.csv"
"2D_J2_hepatocyte","GO_MF","computed","14290","243","128","102","results/ngs/GSE282081/tables/2D_J2_hepatocyte/GSEA/GO_MF/gsea_result.csv"
"2D_J2_hepatocyte_vs_2D_none","GO_MF","computed","14296","251","73","164","results/ngs/GSE282081/tables/2D_J2_hepatocyte_vs_2D_none/GSEA/GO_MF/gsea_result.csv"
"3D_hepatic_coculture","GO_MF","computed","15109","295","141","146","results/ngs/GSE282081/tables/3D_hepatic_coculture/GSEA/GO_MF/gsea_result.csv"
"3D_organoid","GO_MF","computed","14455","285","116","156","results/ngs/GSE282081/tables/3D_organoid/GSEA/GO_MF/gsea_result.csv"
"Hepatocyte_coculture","GO_MF","computed","14455","306","109","184","results/ngs/GSE282081/tables/Hepatocyte_coculture/GSEA/GO_MF/gsea_result.csv"
"2D_J2_coculture","HPO","computed","14326","806","95","709","results/ngs/GSE282081/tables/2D_J2_coculture/GSEA/HPO/gsea_result.csv"
"2D_J2_hepatocyte","HPO","computed","14290","651","220","429","results/ngs/GSE282081/tables/2D_J2_hepatocyte/GSEA/HPO/gsea_result.csv"
"2D_J2_hepatocyte_vs_2D_none","HPO","computed","14296","900","82","816","results/ngs/GSE282081/tables/2D_J2_hepatocyte_vs_2D_none/GSEA/HPO/gsea_result.csv"
"3D_hepatic_coculture","HPO","computed","15109","950","211","737","results/ngs/GSE282081/tables/3D_hepatic_coculture/GSEA/HPO/gsea_result.csv"
"3D_organoid","HPO","computed","14455","424","96","326","results/ngs/GSE282081/tables/3D_organoid/GSEA/HPO/gsea_result.csv"
"Hepatocyte_coculture","HPO","computed","14455","942","121","819","results/ngs/GSE282081/tables/Hepatocyte_coculture/GSEA/HPO/gsea_result.csv"
"2D_J2_coculture","C6","computed","14326","69","7","62","results/ngs/GSE282081/tables/2D_J2_coculture/GSEA/C6/gsea_result.csv"
"2D_J2_hepatocyte","C6","computed","14290","74","51","23","results/ngs/GSE282081/tables/2D_J2_hepatocyte/GSEA/C6/gsea_result.csv"
"2D_J2_hepatocyte_vs_2D_none","C6","computed","14296","66","24","42","results/ngs/GSE282081/tables/2D_J2_hepatocyte_vs_2D_none/GSEA/C6/gsea_result.csv"
"3D_hepatic_coculture","C6","computed","15109","84","13","71","results/ngs/GSE282081/tables/3D_hepatic_coculture/GSEA/C6/gsea_result.csv"
"3D_organoid","C6","computed","14455","62","16","46","results/ngs/GSE282081/tables/3D_organoid/GSEA/C6/gsea_result.csv"
"Hepatocyte_coculture","C6","computed","14455","65","9","56","results/ngs/GSE282081/tables/Hepatocyte_coculture/GSEA/C6/gsea_result.csv"
"2D_J2_coculture","IMMUNESIGDB","computed","14326","1819","56","1763","results/ngs/GSE282081/tables/2D_J2_coculture/GSEA/IMMUNESIGDB/gsea_result.csv"
"2D_J2_hepatocyte","IMMUNESIGDB","computed","14290","1695","1119","576","results/ngs/GSE282081/tables/2D_J2_hepatocyte/GSEA/IMMUNESIGDB/gsea_result.csv"
"2D_J2_hepatocyte_vs_2D_none","IMMUNESIGDB","computed","14296","1576","260","1316","results/ngs/GSE282081/tables/2D_J2_hepatocyte_vs_2D_none/GSEA/IMMUNESIGDB/gsea_result.csv"
"3D_hepatic_coculture","IMMUNESIGDB","computed","15109","2316","820","1496","results/ngs/GSE282081/tables/3D_hepatic_coculture/GSEA/IMMUNESIGDB/gsea_result.csv"
"3D_organoid","IMMUNESIGDB","computed","14455","1105","372","733","results/ngs/GSE282081/tables/3D_organoid/GSEA/IMMUNESIGDB/gsea_result.csv"
"Hepatocyte_coculture","IMMUNESIGDB","computed","14455","2329","716","1613","results/ngs/GSE282081/tables/Hepatocyte_coculture/GSEA/IMMUNESIGDB/gsea_result.csv"
