Pathway,STK33 NOMO UP,STK33 UP,STK33 SKM UP,HOXA9 DN.V1 UP,PDGF UP.V1 UP,RELA DN.V1 UP,CAMP UP.V1 DN,PRC2 EED DN.V1 DN,PRC2 EZH2 UP.V1 DN,RPS14 DN.V1 DN,NFE2L2.V2,EGFR UP.V1 UP,MEK UP.V1 UP,ERBB2 UP.V1 UP,RAF UP.V1 UP,TBK1.DF UP,AKT UP MTOR DN.V1 UP,AKT UP.V1 UP,P53 DN.V1 UP,ESC V6.5 UP EARLY.V1 DN,E2F1 UP.V1 DN,CSR LATE UP.V1 DN,ESC J1 UP LATE.V1 UP,ESC V6.5 UP LATE.V1 UP,SNF5 DN.V1 DN,LEF1 UP.V1 DN,KRAS.KIDNEY UP.V1 UP,BMI1 DN.V1 DN,MYC UP.V1 UP,CSR LATE UP.V1 UP,RB P107 DN.V1 UP,E2F3 UP.V1 UP,TGFB UP.V1 UP,BMI1 DN.V1 UP,BMI1 DN MEL18 DN.V1 UP,KRAS.BREAST UP.V1 UP,KRAS.600.LUNG.BREAST UP.V1 UP,GCNP SHH UP LATE.V1 UP,GCNP SHH UP EARLY.V1 UP,YAP1 UP
NFE2L2.V2,0.014925373134328358,0.021321961620469083,0.02771855010660981,0.006396588486140725,0.0042643923240938165,0.01279317697228145,0.014925373134328358,0.01279317697228145,0.017057569296375266,0.02771855010660981,1.0,0.01279317697228145,0.02771855010660981,0.010660980810234541,0.014925373134328358,0.008528784648187633,0.010660980810234541,0.01279317697228145,0.008528784648187633,0.019189765458422176,0.017057569296375266,0.014925373134328358,0.006396588486140725,0.008528784648187633,0.014925373134328358,0.010660980810234541,0.014925373134328358,0.008528784648187633,0.0,0.014925373134328358,0.008528784648187633,0.01279317697228145,0.008528784648187633,0.014925373134328358,0.017057569296375266,0.010660980810234541,0.023454157782515993,0.006396588486140725,0.010660980810234541,0.0042643923240938165
EGFR UP.V1 UP,0.10416666666666667,0.11458333333333333,0.11458333333333333,0.046875,0.03125,0.020833333333333332,0.026041666666666668,0.005208333333333333,0.015625,0.015625,0.03125,1.0,0.3333333333333333,0.2604166666666667,0.234375,0.08854166666666667,0.057291666666666664,0.046875,0.0625,0.052083333333333336,0.046875,0.015625,0.0625,0.041666666666666664,0.041666666666666664,0.020833333333333332,0.020833333333333332,0.026041666666666668,0.0,0.005208333333333333,0.010416666666666666,0.026041666666666668,0.08854166666666667,0.08333333333333333,0.09375,0.041666666666666664,0.07291666666666667,0.020833333333333332,0.005208333333333333,0.005208333333333333
MEK UP.V1 UP,0.046153846153846156,0.041025641025641026,0.046153846153846156,0.046153846153846156,0.020512820512820513,0.010256410256410256,0.03076923076923077,0.03076923076923077,0.020512820512820513,0.02564102564102564,0.06666666666666667,0.3282051282051282,1.0,0.48717948717948717,0.24615384615384617,0.08717948717948718,0.046153846153846156,0.06153846153846154,0.06666666666666667,0.05641025641025641,0.03076923076923077,0.020512820512820513,0.035897435897435895,0.041025641025641026,0.020512820512820513,0.046153846153846156,0.02564102564102564,0.005128205128205128,0.010256410256410256,0.005128205128205128,0.005128205128205128,0.015384615384615385,0.06666666666666667,0.035897435897435895,0.046153846153846156,0.005128205128205128,0.005128205128205128,0.0,0.005128205128205128,0.005128205128205128
ERBB2 UP.V1 UP,0.05263157894736842,0.03684210526315789,0.031578947368421054,0.03684210526315789,0.015789473684210527,0.015789473684210527,0.021052631578947368,0.04736842105263158,0.010526315789473684,0.010526315789473684,0.02631578947368421,0.2631578947368421,0.5,1.0,0.22631578947368422,0.05789473684210526,0.05789473684210526,0.05789473684210526,0.05263157894736842,0.02631578947368421,0.031578947368421054,0.021052631578947368,0.03684210526315789,0.05263157894736842,0.02631578947368421,0.042105263157894736,0.02631578947368421,0.03684210526315789,0.005263157894736842,0.0,0.010526315789473684,0.021052631578947368,0.031578947368421054,0.02631578947368421,0.031578947368421054,0.0,0.021052631578947368,0.005263157894736842,0.0,0.005263157894736842
RAF UP.V1 UP,0.05181347150259067,0.046632124352331605,0.04145077720207254,0.04145077720207254,0.02072538860103627,0.010362694300518135,0.015544041450777202,0.02072538860103627,0.02072538860103627,0.02072538860103627,0.03626943005181347,0.23316062176165803,0.24870466321243523,0.22279792746113988,1.0,0.07253886010362694,0.04145077720207254,0.046632124352331605,0.07772020725388601,0.031088082901554404,0.02072538860103627,0.010362694300518135,0.04145077720207254,0.031088082901554404,0.025906735751295335,0.025906735751295335,0.015544041450777202,0.015544041450777202,0.010362694300518135,0.010362694300518135,0.0051813471502590676,0.031088082901554404,0.05181347150259067,0.046632124352331605,0.04145077720207254,0.010362694300518135,0.02072538860103627,0.0051813471502590676,0.0,0.0051813471502590676
TBK1.DF UP,0.06620209059233449,0.0627177700348432,0.05226480836236934,0.059233449477351915,0.024390243902439025,0.006968641114982578,0.027874564459930314,0.013937282229965157,0.010452961672473868,0.006968641114982578,0.013937282229965157,0.059233449477351915,0.059233449477351915,0.03832752613240418,0.04878048780487805,1.0,0.03484320557491289,0.03832752613240418,0.017421602787456445,0.010452961672473868,0.024390243902439025,0.003484320557491289,0.020905923344947737,0.013937282229965157,0.013937282229965157,0.024390243902439025,0.003484320557491289,0.017421602787456445,0.003484320557491289,0.010452961672473868,0.0,0.027874564459930314,0.03484320557491289,0.024390243902439025,0.041811846689895474,0.017421602787456445,0.041811846689895474,0.010452961672473868,0.017421602787456445,0.003484320557491289
AKT UP MTOR DN.V1 UP,0.0449438202247191,0.05056179775280899,0.0449438202247191,0.011235955056179775,0.016853932584269662,0.0449438202247191,0.011235955056179775,0.016853932584269662,0.0056179775280898875,0.0056179775280898875,0.028089887640449437,0.06179775280898876,0.05056179775280899,0.06179775280898876,0.0449438202247191,0.056179775280898875,1.0,0.6123595505617978,0.02247191011235955,0.03932584269662921,0.033707865168539325,0.02247191011235955,0.06179775280898876,0.03932584269662921,0.0056179775280898875,0.05056179775280899,0.016853932584269662,0.016853932584269662,0.0056179775280898875,0.0,0.011235955056179775,0.011235955056179775,0.06179775280898876,0.028089887640449437,0.033707865168539325,0.016853932584269662,0.028089887640449437,0.0056179775280898875,0.011235955056179775,0.0
AKT UP.V1 UP,0.01775147928994083,0.011834319526627219,0.01775147928994083,0.005917159763313609,0.005917159763313609,0.03550295857988166,0.011834319526627219,0.01775147928994083,0.005917159763313609,0.005917159763313609,0.03550295857988166,0.05325443786982249,0.07100591715976332,0.0650887573964497,0.05325443786982249,0.0650887573964497,0.6449704142011834,1.0,0.01775147928994083,0.023668639053254437,0.029585798816568046,0.047337278106508875,0.05325443786982249,0.04142011834319527,0.01775147928994083,0.029585798816568046,0.005917159763313609,0.011834319526627219,0.011834319526627219,0.01775147928994083,0.0,0.01775147928994083,0.04142011834319527,0.023668639053254437,0.03550295857988166,0.011834319526627219,0.01775147928994083,0.005917159763313609,0.011834319526627219,0.0
P53 DN.V1 UP,0.03608247422680412,0.041237113402061855,0.041237113402061855,0.020618556701030927,0.020618556701030927,0.010309278350515464,0.015463917525773196,0.010309278350515464,0.02577319587628866,0.015463917525773196,0.020618556701030927,0.061855670103092786,0.06701030927835051,0.05154639175257732,0.07731958762886598,0.02577319587628866,0.020618556701030927,0.015463917525773196,1.0,0.08247422680412371,0.030927835051546393,0.02577319587628866,0.03608247422680412,0.010309278350515464,0.02577319587628866,0.04639175257731959,0.02577319587628866,0.030927835051546393,0.005154639175257732,0.015463917525773196,0.02577319587628866,0.02577319587628866,0.02577319587628866,0.04639175257731959,0.04639175257731959,0.010309278350515464,0.05154639175257732,0.0,0.0,0.0
ESC V6.5 UP EARLY.V1 DN,0.043209876543209874,0.04938271604938271,0.043209876543209874,0.006172839506172839,0.012345679012345678,0.043209876543209874,0.012345679012345678,0.018518518518518517,0.012345679012345678,0.012345679012345678,0.05555555555555555,0.06172839506172839,0.06790123456790123,0.030864197530864196,0.037037037037037035,0.018518518518518517,0.043209876543209874,0.024691358024691357,0.09876543209876543,1.0,0.05555555555555555,0.018518518518518517,0.1111111111111111,0.024691358024691357,0.018518518518518517,0.030864197530864196,0.024691358024691357,0.006172839506172839,0.012345679012345678,0.030864197530864196,0.06790123456790123,0.006172839506172839,0.06790123456790123,0.04938271604938271,0.037037037037037035,0.018518518518518517,0.037037037037037035,0.012345679012345678,0.0,0.006172839506172839
E2F1 UP.V1 DN,0.058823529411764705,0.0427807486631016,0.053475935828877004,0.03208556149732621,0.0106951871657754,0.026737967914438502,0.03208556149732621,0.0106951871657754,0.0,0.0213903743315508,0.0427807486631016,0.0481283422459893,0.03208556149732621,0.03208556149732621,0.0213903743315508,0.0374331550802139,0.03208556149732621,0.026737967914438502,0.03208556149732621,0.0481283422459893,1.0,0.03208556149732621,0.0427807486631016,0.0213903743315508,0.0213903743315508,0.03208556149732621,0.0106951871657754,0.026737967914438502,0.0106951871657754,0.0053475935828877,0.0053475935828877,0.0106951871657754,0.016042780748663103,0.0374331550802139,0.0481283422459893,0.0053475935828877,0.03208556149732621,0.026737967914438502,0.0213903743315508,0.0
CSR LATE UP.V1 DN,0.013605442176870748,0.04081632653061224,0.04081632653061224,0.027210884353741496,0.0,0.02040816326530612,0.034013605442176874,0.04081632653061224,0.027210884353741496,0.006802721088435374,0.047619047619047616,0.02040816326530612,0.027210884353741496,0.027210884353741496,0.013605442176870748,0.006802721088435374,0.027210884353741496,0.05442176870748299,0.034013605442176874,0.02040816326530612,0.04081632653061224,1.0,0.047619047619047616,0.027210884353741496,0.006802721088435374,0.034013605442176874,0.02040816326530612,0.027210884353741496,0.0,0.0,0.013605442176870748,0.013605442176870748,0.006802721088435374,0.02040816326530612,0.013605442176870748,0.013605442176870748,0.02040816326530612,0.0,0.0,0.006802721088435374
ESC J1 UP LATE.V1 UP,0.026881720430107527,0.021505376344086023,0.021505376344086023,0.026881720430107527,0.016129032258064516,0.043010752688172046,0.03225806451612903,0.0,0.005376344086021506,0.0,0.016129032258064516,0.06451612903225806,0.03763440860215054,0.03763440860215054,0.043010752688172046,0.03225806451612903,0.05913978494623656,0.04838709677419355,0.03763440860215054,0.0967741935483871,0.043010752688172046,0.03763440860215054,1.0,0.44623655913978494,0.04838709677419355,0.053763440860215055,0.016129032258064516,0.03225806451612903,0.0,0.0,0.010752688172043012,0.010752688172043012,0.03763440860215054,0.016129032258064516,0.026881720430107527,0.016129032258064516,0.026881720430107527,0.010752688172043012,0.016129032258064516,0.0
ESC V6.5 UP LATE.V1 UP,0.021739130434782608,0.016304347826086956,0.016304347826086956,0.016304347826086956,0.016304347826086956,0.021739130434782608,0.03260869565217391,0.005434782608695652,0.010869565217391304,0.010869565217391304,0.021739130434782608,0.043478260869565216,0.043478260869565216,0.05434782608695652,0.03260869565217391,0.021739130434782608,0.03804347826086957,0.03804347826086957,0.010869565217391304,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.45108695652173914,1.0,0.043478260869565216,0.07608695652173914,0.02717391304347826,0.03260869565217391,0.005434782608695652,0.005434782608695652,0.016304347826086956,0.021739130434782608,0.005434782608695652,0.016304347826086956,0.010869565217391304,0.005434782608695652,0.02717391304347826,0.010869565217391304,0.021739130434782608,0.0
SNF5 DN.V1 DN,0.03184713375796178,0.03184713375796178,0.03184713375796178,0.012738853503184714,0.01910828025477707,0.012738853503184714,0.012738853503184714,0.012738853503184714,0.01910828025477707,0.01910828025477707,0.044585987261146494,0.050955414012738856,0.025477707006369428,0.03184713375796178,0.03184713375796178,0.025477707006369428,0.006369426751592357,0.01910828025477707,0.03184713375796178,0.01910828025477707,0.025477707006369428,0.006369426751592357,0.05732484076433121,0.050955414012738856,1.0,0.03184713375796178,0.03184713375796178,0.025477707006369428,0.012738853503184714,0.025477707006369428,0.0,0.01910828025477707,0.025477707006369428,0.044585987261146494,0.03821656050955414,0.03821656050955414,0.05732484076433121,0.012738853503184714,0.006369426751592357,0.006369426751592357
LEF1 UP.V1 DN,0.0374331550802139,0.026737967914438502,0.0106951871657754,0.0374331550802139,0.0053475935828877,0.026737967914438502,0.016042780748663103,0.016042780748663103,0.03208556149732621,0.016042780748663103,0.026737967914438502,0.0213903743315508,0.0481283422459893,0.0427807486631016,0.026737967914438502,0.0374331550802139,0.0481283422459893,0.026737967914438502,0.0481283422459893,0.026737967914438502,0.03208556149732621,0.026737967914438502,0.053475935828877004,0.0748663101604278,0.026737967914438502,1.0,0.058823529411764705,0.0481283422459893,0.0,0.0,0.0053475935828877,0.0213903743315508,0.0213903743315508,0.016042780748663103,0.0,0.016042780748663103,0.0374331550802139,0.0053475935828877,0.0,0.0
KRAS.KIDNEY UP.V1 UP,0.02857142857142857,0.02142857142857143,0.02142857142857143,0.02142857142857143,0.014285714285714285,0.02857142857142857,0.05,0.0,0.0,0.0,0.05,0.02857142857142857,0.03571428571428571,0.03571428571428571,0.02142857142857143,0.007142857142857143,0.02142857142857143,0.007142857142857143,0.03571428571428571,0.02857142857142857,0.014285714285714285,0.02142857142857143,0.02142857142857143,0.03571428571428571,0.03571428571428571,0.07857142857142857,1.0,0.07142857142857142,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.05,0.02857142857142857,0.0,0.0,0.02857142857142857,0.09285714285714286,0.014285714285714285,0.0,0.0
BMI1 DN.V1 DN,0.02142857142857143,0.02857142857142857,0.04285714285714286,0.02857142857142857,0.02857142857142857,0.05,0.0,0.007142857142857143,0.0,0.0,0.02857142857142857,0.03571428571428571,0.007142857142857143,0.05,0.02142857142857143,0.03571428571428571,0.02142857142857143,0.014285714285714285,0.04285714285714286,0.007142857142857143,0.03571428571428571,0.02857142857142857,0.04285714285714286,0.04285714285714286,0.02857142857142857,0.06428571428571428,0.07142857142857142,1.0,0.014285714285714285,0.0,0.02142857142857143,0.007142857142857143,0.02857142857142857,0.0,0.0,0.02857142857142857,0.03571428571428571,0.014285714285714285,0.0,0.0
MYC UP.V1 UP,0.011049723756906077,0.0055248618784530384,0.0055248618784530384,0.0055248618784530384,0.016574585635359115,0.011049723756906077,0.016574585635359115,0.0055248618784530384,0.016574585635359115,0.055248618784530384,0.0,0.0,0.011049723756906077,0.0055248618784530384,0.011049723756906077,0.0055248618784530384,0.0055248618784530384,0.011049723756906077,0.0055248618784530384,0.011049723756906077,0.011049723756906077,0.0,0.0,0.0055248618784530384,0.011049723756906077,0.0,0.0055248618784530384,0.011049723756906077,1.0,0.03867403314917127,0.0055248618784530384,0.06077348066298342,0.0055248618784530384,0.0055248618784530384,0.011049723756906077,0.0055248618784530384,0.011049723756906077,0.016574585635359115,0.0055248618784530384,0.0
CSR LATE UP.V1 UP,0.018072289156626505,0.0,0.0,0.012048192771084338,0.012048192771084338,0.006024096385542169,0.012048192771084338,0.04216867469879518,0.024096385542168676,0.05421686746987952,0.04216867469879518,0.006024096385542169,0.006024096385542169,0.0,0.012048192771084338,0.018072289156626505,0.0,0.018072289156626505,0.018072289156626505,0.030120481927710843,0.006024096385542169,0.0,0.0,0.006024096385542169,0.024096385542168676,0.0,0.006024096385542169,0.0,0.04216867469879518,1.0,0.05421686746987952,0.024096385542168676,0.012048192771084338,0.04216867469879518,0.030120481927710843,0.012048192771084338,0.012048192771084338,0.024096385542168676,0.030120481927710843,0.006024096385542169
RB P107 DN.V1 UP,0.007692307692307693,0.007692307692307693,0.015384615384615385,0.0,0.007692307692307693,0.015384615384615385,0.007692307692307693,0.06923076923076923,0.046153846153846156,0.06153846153846154,0.03076923076923077,0.015384615384615385,0.007692307692307693,0.015384615384615385,0.007692307692307693,0.0,0.015384615384615385,0.0,0.038461538461538464,0.08461538461538462,0.007692307692307693,0.015384615384615385,0.015384615384615385,0.023076923076923078,0.0,0.007692307692307693,0.007692307692307693,0.023076923076923078,0.007692307692307693,0.06923076923076923,1.0,0.07692307692307693,0.023076923076923078,0.038461538461538464,0.023076923076923078,0.0,0.0,0.06153846153846154,0.06153846153846154,0.0
E2F3 UP.V1 UP,0.015789473684210527,0.010526315789473684,0.015789473684210527,0.015789473684210527,0.021052631578947368,0.010526315789473684,0.042105263157894736,0.031578947368421054,0.021052631578947368,0.005263157894736842,0.031578947368421054,0.02631578947368421,0.015789473684210527,0.021052631578947368,0.031578947368421054,0.042105263157894736,0.010526315789473684,0.015789473684210527,0.02631578947368421,0.005263157894736842,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.021052631578947368,0.015789473684210527,0.021052631578947368,0.03684210526315789,0.005263157894736842,0.05789473684210526,0.021052631578947368,0.05263157894736842,1.0,0.010526315789473684,0.015789473684210527,0.0,0.010526315789473684,0.021052631578947368,0.021052631578947368,0.010526315789473684,0.0
TGFB UP.V1 UP,0.05291005291005291,0.06349206349206349,0.05291005291005291,0.015873015873015872,0.026455026455026454,0.047619047619047616,0.037037037037037035,0.015873015873015872,0.026455026455026454,0.015873015873015872,0.021164021164021163,0.08994708994708994,0.06878306878306878,0.031746031746031744,0.05291005291005291,0.05291005291005291,0.0582010582010582,0.037037037037037035,0.026455026455026454,0.0582010582010582,0.015873015873015872,0.005291005291005291,0.037037037037037035,0.005291005291005291,0.021164021164021163,0.021164021164021163,0.021164021164021163,0.021164021164021163,0.005291005291005291,0.010582010582010581,0.015873015873015872,0.010582010582010581,1.0,0.05291005291005291,0.07407407407407407,0.026455026455026454,0.047619047619047616,0.005291005291005291,0.005291005291005291,0.005291005291005291
BMI1 DN.V1 UP,0.061224489795918366,0.05442176870748299,0.04081632653061224,0.027210884353741496,0.027210884353741496,0.02040816326530612,0.006802721088435374,0.04081632653061224,0.013605442176870748,0.027210884353741496,0.047619047619047616,0.10884353741496598,0.047619047619047616,0.034013605442176874,0.061224489795918366,0.047619047619047616,0.034013605442176874,0.027210884353741496,0.061224489795918366,0.05442176870748299,0.047619047619047616,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.047619047619047616,0.02040816326530612,0.0,0.0,0.006802721088435374,0.047619047619047616,0.034013605442176874,0.02040816326530612,0.06802721088435375,1.0,0.5714285714285714,0.027210884353741496,0.07482993197278912,0.006802721088435374,0.006802721088435374,0.0
BMI1 DN MEL18 DN.V1 UP,0.07586206896551724,0.07586206896551724,0.05517241379310345,0.05517241379310345,0.041379310344827586,0.041379310344827586,0.027586206896551724,0.027586206896551724,0.006896551724137931,0.013793103448275862,0.05517241379310345,0.12413793103448276,0.06206896551724138,0.041379310344827586,0.05517241379310345,0.08275862068965517,0.041379310344827586,0.041379310344827586,0.06206896551724138,0.041379310344827586,0.06206896551724138,0.013793103448275862,0.034482758620689655,0.013793103448275862,0.041379310344827586,0.0,0.0,0.0,0.013793103448275862,0.034482758620689655,0.020689655172413793,0.0,0.09655172413793103,0.5793103448275863,1.0,0.04827586206896552,0.1103448275862069,0.0,0.013793103448275862,0.0
KRAS.BREAST UP.V1 UP,0.07857142857142857,0.05714285714285714,0.014285714285714285,0.0,0.007142857142857143,0.03571428571428571,0.02857142857142857,0.0,0.03571428571428571,0.014285714285714285,0.03571428571428571,0.05714285714285714,0.007142857142857143,0.0,0.014285714285714285,0.03571428571428571,0.02142857142857143,0.014285714285714285,0.014285714285714285,0.02142857142857143,0.007142857142857143,0.014285714285714285,0.02142857142857143,0.007142857142857143,0.04285714285714286,0.02142857142857143,0.02857142857142857,0.02857142857142857,0.007142857142857143,0.014285714285714285,0.0,0.014285714285714285,0.03571428571428571,0.02857142857142857,0.05,1.0,0.6,0.014285714285714285,0.0,0.0
