"TF","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"PBX3","PBX3 A549 hg19","71/2098","0.84565886907208420719683772404096089303","0.9999946414518525727999076480045915","0","0","0.8857595732211330","0.148488051705089219023","SYNM;CLIC3;MCM7;PSCA;CITED2;NCAPG2;HMGB2;ADM;PYGM;IRS2;LMNB1;RND1;MRC2;RUSC2;MDK;SMPD1;NUF2;CHAC2;TK1;MACROD2;UPP1;CHAC1;DLGAP5;DUSP5;RMI2;GAS2L3;GPX1;HMGCS1;PPP2R5B;CDC25A;CIT;ASPM;B3GNT9;MAF;MSH2;ELF3;DDIT3;DNAJC4;PRR11;ASF1B;ABCB6;SRSF1;NDRG1;AURKB;RAD51AP1;DNAJB2;KIAA0513;BRIP1;DNAJB5;BMF;ZNF425;IGF2BP3;HES4;NQO1;RRM2;GADD45B;B3GALT4;OSGIN1;ADAT2;FAM111B;ISG20;CENPF;DIAPH3;KIF18B;BAMBI;ADCK5;IGSF9B;VIM;CD68;HOXD8;SPC24"
"CEBPB","CEBPB C2C12 mm9","50/1513","0.85098867526110977266284862707834690809","0.9999946414518525727999076480045915","0","0","0.8658495500600764","0.139710416613632121274","FLT1;KIF14;BRCA1;PRSS22;SMC4;HERPUD1;TMEM220;RUSC2;ADAMTSL4;STMN1;NUF2;BLNK;TK1;CHAC1;DLGAP5;MFSD2A;TMPO;IFRD1;IQCD;SLPI;DDIT3;IL3RA;BIRC5;ANGPTL4;NUPR1;ATF3;CHRNA1;DLX1;GLIS3;NTN4;PRICKLE1;NDRG1;BRIP1;DNAJB9;BMF;IGFBP6;GBP2;PLK4;GINS1;RRM2;GADD45B;GDF15;FBXO32;ISG20;AXL;BHLHE40;NCAPD2;SERPINI1;VIM;MUC20"
"SUZ12","SUZ12 H1-hESC hg19","97/2827","0.85232588223055105736136738414643332362","0.9999946414518525727999076480045915","0","0","0.8960355674859491","0.143174238823186444902","GPR68;DSCC1;CIB2;TBC1D3F;ATP12A;SLC25A48;RUSC2;MACROD2;SKP2;WDHD1;TICAM2;ENTPD3;CACNA2D1;IGFBP3;ENTPD8;KRT7;ESCO2;VWA5B2;CDC25A;MSH2;MAP1B;EEF1A2;KCNQ5;MT1E;DLX1;SPTBN4;CALCA;DLX6;SHOX2;CHRD;GLIS3;NCAPG;PLCXD2;DNAJC28;CCNB2;MAP2;TTPA;UAP1L1;BMF;MFAP3L;ABCA1;WNT10A;TFAP2E;WSCD1;KLHDC1;PAICS;DAB2;MAFB;KIF18B;NR4A3;BAMBI;SSPN;ESAM;SFXN2;HOXD8;SYNM;FLT1;KIF14;BRCA2;ARHGAP6;CXCL5;NRGN;NAT16;LMNB1;MRC2;TUBA1B;SIX4;MDK;ENOSF1;CEP55;DLGAP5;SPHK1;BIRC5;MCM2;PTGER4;SRSF1;LAMA3;TTK;PRICKLE1;HOXD11;HOXD10;DLL4;WNT11;RAB26;ZNF503;FLNC;HES2;BEND6;NTRK2;RRM1;RRM2;MND1;BICC1;NCAPD2;RPL22L1;NOTUM;MDGA1"
"SP1","SP1 A549 hg19","61/1825","0.85319983287547163097741531601059250534","0.9999946414518525727999076480045915","0","0","0.8749716963485829","0.138911808701723343829","ZNF573;SYNM;DSCC1;BUB1B;KIF11;CLDN1;PTTG1;STMN1;NUF2;PBK;NUSAP1;MYBL2;SKP2;DLGAP5;SRRM3;IL11;GPX2;GAS2L3;VWA5A;TTC21A;ELOVL6;HAUS1;CCNA2;ASPM;DEPDC1B;MELK;IFT81;DDIT3;IRF1;DEPDC1;MCM6;KIF20B;DLX1;PCNA;TROAP;HSD17B14;TTK;SKA3;THBS1;ORC1;GAR1;DNAJB9;BUB1;ABCA1;GINS2;GGT7;RRM1;CENPW;B3GALT4;MOK;MND1;CDC6;KLHL4;SHCBP1;ADAT2;KIF18A;DIAPH3;KIF18B;KIF4A;TRIP13;SPC25"
"SUZ12","SUZ12 NT2-D1 hg19","17/563","0.85419449153935289587025181390345096588","0.9999946414518525727999076480045915","0","0","0.7922404126485759","0.124854212625112273582","DLX1;NTRK2;CALCA;IGFBP3;DLX6;SHOX2;GLIS3;HOXD11;VWA5B2;DLL4;MAFB;NR4A3;ZNF503;MDGA1;HOXD8;NTSR1;SH3GL2"
"MAFK","MAFK IMR-90 hg19","67/2000","0.86013988243851324799749136218451894820","0.9999946414518525727999076480045915","0","0","0.8761427530294048","0.131999885298573177428","ZFAND2A;ITGB2;SLC2A3;VLDLR;IFIT1;CLU;RND1;GABRR2;NUF2;NUSAP1;CHAC1;LBR;TSPYL2;DENND2D;WDHD1;SEMA6C;CHST7;PDE4D;ARRDC3;IFRD1;VWA5A;CDC25C;WDR76;CIT;ASPM;MMP14;VCAN;CCDC80;CATSPERG;NUPR1;KIF20B;PRR11;DTL;ABCG1;ASF1B;FKBP5;MCM2;MT1E;CHRNA1;PCNA;CCDC69;SLC1A3;HMMR;DNAJB2;KIAA0513;BRIP1;PHKG2;GAR1;ZNF503;BMF;BEND6;NQO1;GGT7;BDNF;GINS3;OSGIN1;GPR137C;ISG20;CENPF;DAB2;KIF18A;BFSP1;DLG4;COL5A2;CASS4;VIM;CD68"
"MAZ","MAZ HepG2 hg19","67/2000","0.86013988243851324799749136218451894820","0.9999946414518525727999076480045915","0","0","0.8761427530294048","0.131999885298573177428","ARHGAP11A;COL16A1;CHPF;GOLT1A;PTPRM;BUB1B;UBE2L6;SLC2A3;BRCA1;KIF11;BRCA2;CLDN1;PCSK5;GCSH;SLC25A48;PTTG1;PIP5KL1;ENOSF1;STMN1;SESN2;TK1;SCARF2;DLGAP5;PHLDA3;MFSD2A;WDHD1;BATF2;SRRM3;UNC5B;ARRDC3;TTC21A;ELOVL6;ESCO2;CIT;HAUS1;OSCAR;DEPDC1B;DEPDC7;RBP5;MELK;CD8A;MAP1B;BIRC5;NUP62CL;CES3;PTAFR;SKA3;PLCXD2;DNAJB2;SELENBP1;BRIP1;PPARGC1A;SH3BGR;CTHRC1;ABCA1;GGT7;CENPW;CADM1;DEF6;DHFR;DIAPH3;NR4A3;SLC6A9;CENPH;PIK3IP1;CENPK;SPC25"
"HA-E2F1","HA-E2F1 MCF-7 hg19","67/2000","0.86013988243851324799749136218451894820","0.9999946414518525727999076480045915","0","0","0.8761427530294048","0.131999885298573177428","ARHGAP11A;ERCC6L;POP1;DSCC1;RTKN2;KIF14;BUB1B;TMEM52;MCM10;KIF11;ATP12A;CLDN1;SCAMP5;MRC2;SLC25A48;ENOSF1;STMN1;NUF2;PBK;NUSAP1;TK1;GTSE1;CEP55;SEMA6C;FAM24B;UNC5B;DAPK2;WNT5A;WDR76;MSH2;TMEM79;DNAJC4;KIF20B;DTL;BLM;PCNA;ABCB6;TROAP;SLC3A2;SKA3;IQGAP3;NDRG1;RAD51AP1;WNT11;ORC1;MAP2;E2F7;BEND6;CTHRC1;XRCC2;GINS4;B3GALT4;C9ORF40;DEF6;ADAT2;CENPF;KIF18B;CENPH;FABP5;CENPK;NMU;ADCK5;SFXN2;SPC24;CDKN3;MAD2L1;SPC25"
"CTCF","CTCF lung mm9","67/2000","0.86013988243851324799749136218451894820","0.9999946414518525727999076480045915","0","0","0.8761427530294048","0.131999885298573177428","SYNM;MCTP1;MCM7;UPK2;DIRAS2;ICAM2;ATP2A3;PTPRM;CIB2;CLDN1;CLU;NKPD1;TMEM220;SESN3;RUSC2;PIP5KL1;HMCN1;SH3GL2;CSGALNACT1;CHST7;UNC5B;DAPK2;MTUS2;SYN3;PDGFRL;CCNA2;ELF3;SNPH;DNA2;NUPR1;PHLDB2;ATF3;ASF1B;HBEGF;SLC22A4;CALCA;SMIM1;SEMA3G;SLCO5A1;THBS1;CCNB1;FAM83E;WNT11;OXCT1;NEU1;CHAD;DNAJB9;RAD54L;GBP2;RILP;RTBDN;NFE2;CDKN2B;RRM2;CADM1;MND1;FBXO32;SHCBP1;DEF6;DHFR;SGSM1;MAP3K15;BAMBI;RCAN2;CPE;ADCK5;APBA1"
"POU2F2","POU2F2 GM12878 hg19","47/1437","0.86174261156260401062212395117967389524","0.9999946414518525727999076480045915","0","0","0.8564988009592326","0.127445863066685427523","DLX1;CITED2;DSCC1;BUB1B;KIF11;SKA3;SMC4;CCDC28B;CDC20;ORC1;NUF2;GAR1;PBK;NUSAP1;BLNK;RAD54L;MYBL2;TK1;GTSE1;DLGAP5;SH3BGR;TMPO;TSPYL2;CENPW;SEMA6A;GPX1;HMGCS1;GLYCTK;XRCC2;GINS4;KLHDC1;ELOVL6;VRK1;MND1;DEF6;DEPDC1B;KIF18A;ARHGAP30;DIAPH3;PIK3IP1;BANK1;DDIT3;IRF1;CENPK;BIRC5;RPL22L1;SPC25"
