"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ERRFI1",0.589276229448956,5.59630260270238,7.62551081166703,1.34871003146776e-13,9.77614963920572e-11,20.2689645040217
"SERTAD3",0.290110072499692,5.38453097273934,7.59955244489933,1.61297581192667e-13,1.12741248625774e-10,20.0982873600744
"RGS2",0.73471876054115,4.60062247182976,7.48359929079776,3.56707187780268e-13,2.40728150760263e-10,19.3414167132125
"MAFF",0.402086916852673,3.89948386217254,7.4574811670294,4.25989771923148e-13,2.77901527543597e-10,19.1721864741038
"IER2",0.472505837275372,6.15315640797572,7.44131904049354,4.75334554786363e-13,3.00089437797546e-10,19.0676971834458
"EGR2",0.636902641632642,2.34508901394098,7.36194841370868,8.12124174990724e-13,4.96690069648233e-10,18.5571435092572
"SOCS3",0.662995483869794,5.81418986809936,7.21996701640592,2.09412551824742e-12,1.24194334901879e-09,17.6546314508095
"NFIL3",0.309530667826939,5.24785121732095,7.06619367353588,5.74920601720174e-12,3.3093444400781e-09,16.6929573651168
"PMAIP1",0.526122236318669,4.26870580032093,7.02124472118314,7.69907444919756e-12,4.30510245843559e-09,16.4149884848584
"DUSP2",0.590021959427022,4.43951684850869,7.0165199153698,7.93841758029587e-12,4.31563251288807e-09,16.3858526828987
"GEM",0.58876631681569,4.54033882509643,6.94052679735664,1.29604983046368e-11,6.85540303567696e-09,15.9194107521923
"CD69",0.617123975972634,2.0560601441923,6.93003987533825,1.38630394551603e-11,7.1398301362353e-09,15.8553648943686
"NFKBIA",0.376277277157296,6.76744467637186,6.91254977522006,1.55075451849358e-11,7.78200427729177e-09,15.748723601142
"GPR183",0.712096682561833,3.48869619048045,6.89770495462847,1.70525465701841e-11,8.34338472312682e-09,15.6583825614613
"PER1",0.501117201890726,3.36607753129903,6.85502962568797,2.23860370476809e-11,1.06857836843942e-08,15.3995518018446
"TNFAIP3",0.450959111063433,5.00428118393235,6.73050213193876,4.91553090206203e-11,2.29052036391086e-08,14.6517678527173
"RGS16",0.555307929978095,4.56107035744137,6.67019345778422,7.1653342756998e-11,3.26122690952839e-08,14.2936524651179
"TIPARP",0.376490721366732,4.28691977794564,6.59748063336807,1.1246589514234e-10,5.00243189506985e-08,13.8654092225501
"LDLR",0.400708177394204,5.8025994841974,6.47879148667948,2.32782096211032e-10,1.01239520109914e-07,13.1747346800612
"COQ10B",0.262368157634481,5.02448538186824,6.42130306713857,3.29864475487427e-10,1.40342992386184e-07,12.8439462007418
"MLYCD",-0.251266597283109,2.32340034148456,-6.38251915216578,4.1673445236654e-10,1.73529999303522e-07,12.6221732938736
"RCAN1",0.336623382266203,4.09250112859754,6.3454807152483,5.20422570815301e-10,2.1164978344889e-07,12.4114304997993
"SLC25A25",0.340696845300975,4.20280529122286,6.34134774762623,5.33452789066232e-10,2.1164978344889e-07,12.3879782838061
"PLK3",0.363082177973887,3.99934409486477,6.33908451796911,5.40722966248251e-10,2.1164978344889e-07,12.375141182659
"RHOB",0.462858441139413,7.96712824443858,6.2607896250257,8.6161816460021e-10,3.30641747046877e-07,11.9334201714539
"SLC2A3",0.64419880910208,3.75050862874282,6.14742907522564,1.67763689294374e-09,6.25420914319731e-07,11.3020729698654
"SGK1",0.462925509139078,3.5700404954208,6.14579619942087,1.69369518465821e-09,6.25420914319731e-07,11.2930501624691
"CHMP1B",0.254563693054341,5.6875115429828,6.09383417675761,2.29103108423704e-09,8.30329062029687e-07,11.0069847809165
"DNAJB1",0.331968871631952,6.33181999204395,6.08943449082099,2.35016434813749e-09,8.36273935589068e-07,10.9828579922769
"JUN",0.453300561925163,7.84569568540512,6.06871677235441,2.64926988281185e-09,9.25872515651977e-07,10.8694462954271
"NEDD9",0.407988357275875,4.17285327337985,6.04139043587464,3.10121038296947e-09,1.06480330535255e-06,10.7203612087709
"DUSP10",0.390293576434325,4.01991677431178,5.99437945618601,4.06095170621543e-09,1.36132358241097e-06,10.4652245747732
"ITPRIP",0.333767232303676,3.29000565416196,5.99253766119304,4.10393395136922e-09,1.36132358241097e-06,10.4552634723714
"FOSL2",0.353897606562119,5.94025763311864,5.84130459782478,9.65527858864875e-09,3.14939095430741e-06,9.64629657369121
"PLAUR",0.443585576165499,5.61597651623169,5.81855123981548,1.09647538673055e-08,3.48294677855147e-06,9.52612422133168
"KLF4",0.520824224568067,5.77119673801787,5.81742614661739,1.10338102432268e-08,3.48294677855147e-06,9.5201925046327
"COG8",-0.262176153873949,2.3368323954427,-5.77136778335591,1.42553306447318e-08,4.42842977854043e-06,9.27821341344959
"ADAMTS1",0.457979707955551,3.13562801424938,5.75036089168207,1.60132268299523e-08,4.89679472326556e-06,9.16840033251938
"NCOA7",0.43642001806331,5.53213298231343,5.71845530547291,1.90938578735705e-08,5.74901372990227e-06,9.00227747730911
"CDKN1A",0.47326819194071,7.1549006834161,5.70905638202255,2.0106576860199e-08,5.96220932925688e-06,8.95349277041278
"PRDM1",0.424041679310378,3.43371757796262,5.68663346742763,2.27384945617497e-08,6.64201607564185e-06,8.83738866201298
"KLF10",0.293307955378918,5.70113344716152,5.61836517496622,3.2987824614426e-08,9.49418699307252e-06,8.48634550331493
"AKIRIN1",0.2315398649659,6.08966269459927,5.56757756445468,4.34040401045523e-08,1.23110212882057e-05,8.22758577327885
"MXD1",0.417985272701266,4.88124639630982,5.5592005236967,4.54048336094254e-08,1.26945428367152e-05,8.18510225488646
"C16orf70",-0.170520999223007,3.48055801885317,-5.54661550845718,4.85802723050196e-08,1.33910494265005e-05,8.12138334812224
"ACSF3",-0.260665657853336,3.2094013739837,-5.47228180043651,7.22348017604902e-08,1.9634823684091e-05,7.74760422293767
"CREM",0.219793319326593,3.00933376987338,5.46736369957349,7.41443248243525e-08,1.98777887827042e-05,7.72302994990736
"SIK1",0.390112533582381,0.728823375601732,5.45953976548374,7.72835690810809e-08,2.04394152768356e-05,7.68397605132341
"KLHL36",-0.226666032024086,4.16071034599895,-5.4308348564256,8.99453272870742e-08,2.34709333378044e-05,7.5411134171017
"GADD45B",0.397641756435138,4.9038318009735,5.4282783681967,9.11660384908828e-08,2.34764544645404e-05,7.52842201358353
"PTGS2",0.735598079191295,2.72632881745326,5.4216471729747,9.44078787215857e-08,2.39955401877942e-05,7.4955266600057
"KLF9",0.452954458517205,3.70040707731229,5.36984992891576,1.23884493467076e-07,3.10838900210787e-05,7.23979410565934
"SERPINE1",0.682878126021038,4.99103316959357,5.34665484339933,1.39816587418078e-07,3.46373472450533e-05,7.12597701184477
"LIF",0.424394492202021,4.71932447291143,5.24176664986075,2.40327108469286e-07,5.87930229981549e-05,6.61673511376484
"RND1",0.390010278639464,2.35246259984177,5.22578841639562,2.60795539896601e-07,6.30127100162516e-05,6.53994376734407
"CXCL3",0.648929807396747,5.6377462465751,5.2135476924753,2.77608997693205e-07,6.62571426079721e-05,6.48125561350158
"RTL10",-0.242916568200679,3.92690489386713,-5.19736373490249,3.01457940989023e-07,7.10823296758576e-05,6.4038492361864
"DNAJB4",0.334908522830274,3.08393657058316,5.18105698342165,3.27490108856008e-07,7.54334438860234e-05,6.32607183927077
"TOB1",0.293594077314358,6.93519633127578,5.18097906511372,3.27619576430024e-07,7.54334438860234e-05,6.32570071825756
"MASP2",-0.22624899379479,0.750639657800285,-5.17532784734352,3.37142869304005e-07,7.67235243621941e-05,6.29879748351303
"UNKL",-0.258562292267006,2.48066117937326,-5.14642165889117,3.90202434097479e-07,8.77776073301352e-05,6.1615950535645
"JRK",-0.248315125819496,2.78693819308181,-5.1082712174231,4.72730731935042e-07,0.000103349891189035,5.9815631812087
"ZNF607",-0.243981865097742,2.40281742644002,-5.10792151864172,4.73560235422424e-07,0.000103349891189035,5.97991847764258
"ZNF174",-0.179117187980753,3.30455577953685,-5.1072029955621,4.75269031067047e-07,0.000103349891189035,5.97653943458165
"ZBTB21",0.245440677436917,3.02482228499658,5.08844796113626,5.2204294311358e-07,0.000112273653183251,5.88848902870258
"PAM16",-0.316978480475914,2.57736630030081,-5.05970399159152,6.02481038079302e-07,0.0001281647434375,5.75410450724577
"AMT",-0.058307964261647,0.178135065190476,-5.05583303145646,6.1418964569651e-07,0.000129250597375553,5.73605888332334
"CAP1",0.209445826433154,8.36844170849555,5.04423882231879,6.50590427874048e-07,0.00013545431131833,5.68208295575914
"TPM4",0.27110728706513,7.17167137474354,5.03172310368668,6.92224041565827e-07,0.000142605439131419,5.6239414590746
"BCL10",0.293711775919686,4.81776765640574,5.02767984884517,7.06215983238138e-07,0.000143972427166183,5.60518623588879
"TSC22D3",0.374002945323669,4.80658662935963,5.00014683303331,8.09029605345432e-07,0.000163232148517685,5.47782946149831
"CXCL2",0.641636241054712,5.37470712335013,4.96626197339101,9.55516710525541e-07,0.000190820587160157,5.32195242864088
"B3GNT5",0.294236853070905,3.47722268905685,4.9544000068851,1.01261011010464e-06,0.000200179721867252,5.267609860205
"ZBTB3",-0.21574360209218,2.55805009632189,-4.92643167158547,1.16056587526112e-06,0.000227134347447354,5.13994232578159
"COQ8A",-0.202537374551308,0.664120788990252,-4.91641975423238,1.21843890839418e-06,0.000236099681942401,5.09439871080235
"DHODH",-0.202433712924437,3.12182904317277,-4.90007008250998,1.3189821393626e-06,0.000250964192913708,5.02020427015851
"CCN2",0.509452303264956,7.09579799668349,4.89978620242106,1.32079668234183e-06,0.000250964192913708,5.01891799354907
"ARL14",0.48041092483337,4.07974142824578,4.89617763506952,1.3440733515938e-06,0.000252931341961944,5.0025732195958
"DGCR8",-0.18305120484569,3.81595141890412,-4.87703958278829,1.47428942647697e-06,0.000274793508243627,4.9160699481915
"TNFAIP8",0.316029219602056,2.72173915764161,4.87232231836148,1.50820865902825e-06,0.000278463694960772,4.89479498662639
"CYTIP",0.426294695431282,2.96464018969378,4.85905669540492,1.60767755441646e-06,0.000294054742219481,4.83506623816995
"FAM107B",0.388432348537388,4.26018231878746,4.8542642472338,1.64514477041884e-06,0.000298121558350622,4.81352424865539
"ANXA1",0.487620974064095,5.52862080910387,4.85002885170049,1.67895664607385e-06,0.000299564097315667,4.79450216488083
"B3GNTL1",-0.234853018063764,2.06488792244188,-4.84943900828111,1.68371829261271e-06,0.000299564097315667,4.79185423797012
"PDE4B",0.409752008214745,2.38296754108765,4.84059585087449,1.75668673475407e-06,0.000307420421514995,4.75219034760095
"DNTTIP2",0.200259079697953,4.59467588019434,4.83869118569443,1.77279719729431e-06,0.000307420421514995,4.74365597429962
"SPG7",-0.197777975528725,3.17046415529502,-4.83822368774763,1.7767732092359e-06,0.000307420421514995,4.74156168526406
"PROZ",-0.238655420112219,0.672642884918808,-4.83659327230678,1.79070706927134e-06,0.000307420421514995,4.7342592083549
"GADD45A",0.292925133985558,5.39020547179847,4.83272593425517,1.82418066360145e-06,0.000310443824063861,4.71694665213074
"HAS1",0.381300933941379,0.689265696445253,4.80854981249429,2.04751775319761e-06,0.00034296802622094,4.60900316068309
"GDF15",0.531446404112875,7.8010265320991,4.80826058780534,2.05034280659394e-06,0.00034296802622094,4.60771476791669
"FBXO31",-0.205076888895137,4.49009281318023,-4.803719291202,2.09519626965527e-06,0.000347500730452739,4.58749409708295
"CBY2",-0.351312341821289,0.989833392184294,-4.79464691948695,2.18764991314123e-06,0.000359785684454513,4.54714999462597
"TAF13",0.281196539772925,5.47429117369675,4.78927888346851,2.2441915491994e-06,0.000366008940078179,4.52331125077652
"FBXL8",-0.318438584590559,2.94691579991865,-4.78419135969779,2.29907610303647e-06,0.000371861309194436,4.50074052064318
"BPGM",0.203344701524457,3.8696124552472,4.7813125212604,2.33070364770812e-06,0.000373886894174555,4.4879782083021
"MTHFSD",-0.16595039767407,3.11307550652799,-4.77301270485366,2.42425052967793e-06,0.000385731765173389,4.45122281934815
"DDIT4",0.439339601099734,6.06487344063577,4.75902334344022,2.59016451663535e-06,0.000403037913217353,4.38940236130977
"JOSD1",0.171313219132443,5.91242483093385,4.7585558174108,2.59589400546963e-06,0.000403037913217353,4.38733915219115
"KCTD9",0.323285112214937,4.09050907571213,4.75700856812528,2.61494255238512e-06,0.000403037913217353,4.38051239480981
"WDR37",-0.167989453442333,3.35640122648382,-4.75697228257462,2.61539088337866e-06,0.000403037913217353,4.38035232020793
"SLC20A1",0.236170328354015,5.17726767651936,4.75099935388226,2.69020772798463e-06,0.000411328558159275,4.35401767418256
"TFAP4",-0.237812635367107,3.68828193931051,-4.73652143811527,2.88020625790585e-06,0.000436965245530817,4.29030895477577
"CNNM3",-0.187271306792194,4.80544933826191,-4.72136984526534,3.09285453797782e-06,0.000465617355098184,4.22382456843233
"ADAMTS4",0.388403363817343,2.69594902761824,4.71876996646251,3.1308300605196e-06,0.000467736451255184,4.21243585858158
"BEND3",-0.207621848540337,2.95953390038842,-4.70535825279507,3.333966798166e-06,0.000494311092476566,4.15377657328966
"RASD1",0.635971943959735,3.59786583321787,4.69296215159079,3.53295272356892e-06,0.000519875321450883,4.0996940916002
"ZCCHC14",-0.213930847431923,4.46365683483143,-4.67913308513282,3.76841921577248e-06,0.000550386063223009,4.03951269876046
"EGR4",0.232048494517428,0.499244800629333,4.61587616278504,5.05187175854534e-06,0.00073199837978611,3.76629070899878
"RAB40B",-0.284236640641406,3.92501571097175,-4.61438475534086,5.0866986689955e-06,0.00073199837978611,3.75988981347199
"TBC1D24",-0.177445375001568,2.37412382838166,-4.60094529594069,5.41111114993136e-06,0.000772998951206619,3.70229471189691
"C11orf96",0.497098569291099,4.42635170228268,4.58162942181487,5.91238171272161e-06,0.000838487119562859,3.61978438592459
"EPHA2",0.363466193999689,6.30355671370274,4.56619305117028,6.34473272085011e-06,0.000893329237983867,3.55407356163585
"ELF3",0.276187976066981,7.37508827644159,4.56374339282858,6.41607567079468e-06,0.000896921549665162,3.54366426267854
"BIRC3",0.460386657030984,3.88408668523079,4.5592905779332,6.54773429723213e-06,0.000908834808022199,3.5247560390616
"GAS8",-0.192889789043143,2.79317471136956,-4.55143203960112,6.7864426611301e-06,0.000935334290992798,3.49142703558828
"SEMA7A",0.405852293233144,3.11018167068194,4.53808707566646,7.21105588967581e-06,0.000986906117600316,3.43494977781267
"S100A6",0.345630219358782,12.2624077343572,4.53248759733461,7.39671165680898e-06,0.00100528502663478,3.41129734654854
"ADM",0.408416177814224,4.84240447148112,4.5282491242539,7.54028211864309e-06,0.00101773007823423,3.39341160883095
"HDAC10",-0.292516873781648,1.13932860737768,-4.52320628797026,7.7145821667857e-06,0.00103092363810248,3.37215150557269
"HES1",0.276270193654057,6.91342271229925,4.52238352293585,7.7433843340179e-06,0.00103092363810248,3.36868486425058
"POLR3E",-0.178902701468212,4.0476706193654,-4.51289148003172,8.08321544503033e-06,0.00106245116364789,3.32873276603622
"EMP1",0.402490079504573,5.34064535665917,4.5127396649278,8.08876518233794e-06,0.00106245116364789,3.32809439869246
"MMP19",0.34567078243152,2.51155688355108,4.50782723562898,8.270328396641e-06,0.00107905731367107,3.30744872799866
"RHPN2",0.231107637460407,5.69861470797259,4.49812448926917,8.64048913704789e-06,0.00110903171511456,3.26673105302212
"RBBP8",0.273571928704123,4.13423939230051,4.49753595812121,8.66344526833011e-06,0.00110903171511456,3.26426385908453
"ZFP36L1",0.335983604902902,7.17828748173013,4.49736651092248,8.67006552616259e-06,0.00110903171511456,3.26355357066746
"PSMG4",-0.259968626393056,2.87074963460258,-4.48608959974041,9.12172099480384e-06,0.00115922858174874,3.21633811175147
"ATP6V0A1",-0.174648824743243,4.40289401463378,-4.48398685895279,9.20839653252871e-06,0.001162693732504,3.20754612360131
"SDE2",0.190759795305655,4.65366541664245,4.47181136123171,9.72600263348103e-06,0.00122017690730678,3.15671211418343
"ITM2A",0.405202711605861,3.1620108479455,4.46875285518295,9.8603428562964e-06,0.00122915140153234,3.14396242484525
"HDAC4",-0.170122595823469,2.71317323637079,-4.45040085938873,1.07045388966878e-05,0.00132594006801947,3.06762822986177
"CXCL1",0.589242833036912,7.03430290664151,4.44507891013787,1.09620235828432e-05,0.00133867274790345,3.04554573005678
"DNASE1",-0.314529798642536,2.44841142632381,-4.4447670741182,1.09772932632234e-05,0.00133867274790345,3.0442525725219
"PPP1R15B",0.228318896821101,5.67932362366971,4.44404896404717,1.10125344853332e-05,0.00133867274790345,3.04127494740896
"TRIM27",-0.14097400097279,5.22028404900572,-4.43967626539463,1.12294745974524e-05,0.00135661757621445,3.02315318972699
"JUND",0.301610489458733,8.04594247951763,4.43793959440777,1.13167655646001e-05,0.00135877557585759,3.01596045191574
"ARRDC3",0.323481552803698,5.17914465715218,4.4215787787352,1.21716433403271e-05,0.00145250751105818,2.94832594258483
"PHKA2",-0.248301912288842,3.21281159349034,-4.41243059115547,1.26762502782524e-05,0.00150355693451926,2.91060792114281
"BMP2",0.383582684931973,3.76141324995865,4.40846128442084,1.29013687789212e-05,0.00152104029139919,2.89426476803475
"USP40",-0.173396547173938,3.9652508391849,-4.40418397893704,1.31482373065519e-05,0.001540863187584,2.87666859057126
"MIDN",0.218666721588385,6.47138296778692,4.40114064645273,1.33266318506915e-05,0.00155247328541597,2.86415834314709
"CCNF",-0.243849069823383,3.91900138113521,-4.39805505846556,1.35098669222386e-05,0.001564506541628,2.85148250775582
"BZW1",0.238215112725978,5.39320374202718,4.38895611001835,1.40643433358434e-05,0.00161913684368113,2.81415088993941
"RBM4B",-0.148949023572719,3.43768800647212,-4.37931402546846,1.46756548507392e-05,0.00167963298879425,2.77466843331844
"ZC3H12A",0.413388932029967,5.46053803932436,4.37632606758332,1.48701955975394e-05,0.00168170649990528,2.76244953405166
"ANKRD37",0.339326601132543,2.53559388814146,4.37620751972206,1.48779646952177e-05,0.00168170649990528,2.7619649048219
"MC1R",-0.260164180220953,1.20228148787149,-4.37508750320522,1.49515574566204e-05,0.00168170649990528,2.75738682054977
"TAGAP",0.324380879137592,1.9190965409044,4.36690639688524,1.54997708356807e-05,0.00173340580014347,2.72397911911398
"B3GNT2",0.216685232513536,5.3568326636243,4.36157995807019,1.586697032259e-05,0.00176438906922391,2.70225942624444
"GPR171",0.308066663060656,1.32902578566033,4.35414605016648,1.63933886227541e-05,0.00181262716799955,2.67198686069372
"DUSP28",-0.160992522595014,1.83605169647207,-4.35096483629331,1.66237261007868e-05,0.00182776934560955,2.65904675622209
"BANP",-0.188654312039127,2.80421572527477,-4.3438599963322,1.71493796699724e-05,0.00187503077944709,2.63017810461409
"NAGPA",-0.248536193677644,3.59512099459614,-4.32594564764208,1.85462459169584e-05,0.00201649210467107,2.55758077353675
"EDN1",0.474299874704392,4.61967480746797,4.31387280236661,1.95482544208102e-05,0.00210346716043096,2.50881188829811
"ZNF331",0.300197891497361,1.70782649991731,4.31372146147999,1.95611375605965e-05,0.00210346716043096,2.50820133624095
"NOL9",-0.198009710220458,3.58868240147679,-4.30054688598901,2.07142712672277e-05,0.00220876553887608,2.45512706152551
"MYL12B",0.19681303002483,9.45889596342005,4.29997160401263,2.07660752722497e-05,0.00220876553887608,2.45281292789206
"CD300LB",0.16787907080313,0.773973311461635,4.29856541021009,2.08932240969117e-05,0.00221027723676032,2.44715756411602
"RANBP10",-0.162943669593355,4.22768360382427,-4.28829889020774,2.18443175965139e-05,0.00229846849291061,2.40591987055561
"VAT1L",0.248915933142312,1.2817060148662,4.28550430739647,2.21102823802892e-05,0.00231401249446332,2.39471057999194
"IL13",0.0794038402339655,0.139431678503904,4.27819410364132,2.28207072945776e-05,0.00237565990671371,2.3654206755142
"TGIF1",0.196202979750856,5.26214614556003,4.26570968250896,2.40846349552365e-05,0.00249397032121128,2.31550590587213
"SWAP70",0.201764473063712,4.10359622579103,4.26016183428002,2.46674962026136e-05,0.00253036834949925,2.29336793051072
"ATP7B",-0.282037009905866,2.83411611816081,-4.25990578368,2.4694719470357e-05,0.00253036834949925,2.29234683596207
"CHRNA10",-0.182050472530899,0.943194378019837,-4.25590054619694,2.51243058549272e-05,0.00256097807232698,2.27638188008494
"AL365205.1",-0.143920197418822,0.565044473447787,-4.25317980848698,2.54201790958916e-05,0.00257771152894142,2.26554487941872
"TRIP4",0.148648035163205,4.50897210464446,4.25077185108311,2.56848090322083e-05,0.0025815191663521,2.25595905900556
"ZC3H10",-0.129071924810843,1.50825201471423,-4.25043950619735,2.57215388809289e-05,0.0025815191663521,2.25463642357616
"F3",0.410591647718105,5.50549488443608,4.24592109298462,2.62259006637108e-05,0.00261870970351777,2.23666394285626
"BANK1",0.253259996017513,1.17899829704687,4.23304064346676,2.77159688526809e-05,0.00275344784982649,2.18552753700929
"NFKBIZ",0.390735487814483,4.40130995534776,4.22937430004026,2.81546575578002e-05,0.0027829030457763,2.17099812733388
"SERTAD2",0.20181610023588,3.88265589172615,4.22579277107801,2.85895868151708e-05,0.00281169248019954,2.15681607264813
"IGSF22",-0.161696470676639,0.629832989911903,-4.21901687655914,2.94300172131971e-05,0.00286761145443543,2.13001544647581
"HIRA",-0.223082281353724,3.78010291468696,-4.21884829738393,2.94512238690676e-05,0.00286761145443543,2.12934917423766
"IL20",0.065000646738209,0.101199464530749,4.21699840101836,2.96848934611118e-05,0.00287436319536903,2.12203948248299
"ZBTB9",-0.152264513773066,4.06267955875188,-4.21597986547817,2.98143032374387e-05,0.00287436319536903,2.11801610111696
"ZXDC",-0.151802291373441,3.86004963594348,-4.21337385143843,3.01478629614186e-05,0.00289227365695061,2.10772601494038
"ERMARD",-0.190319929220909,3.55520388505737,-4.20969935144466,3.06242350831261e-05,0.00291980906291108,2.09322691745745
"PRMT7",-0.185126822112141,3.75859021405361,-4.20806774200666,3.08380542363567e-05,0.00291980906291108,2.08679255293375
"OTUD1",0.218030010845243,4.20149922450822,4.20773030137398,3.08824524052217e-05,0.00291980906291108,2.08546212058226
"DUSP18",-0.219321912186029,2.8492042605116,-4.20266908433082,3.15557283545964e-05,0.00296609586934565,2.06551903141123
"CDK10",-0.262651403833921,5.00286122943383,-4.2017822407893,3.16751334471024e-05,0.00296609586934565,2.06202682371445
"GET4",-0.253436592213528,1.12459629730612,-4.20021771220942,3.18868331804023e-05,0.00297170101035073,2.05586769508934
"TIRAP",-0.144162724247308,2.52865965073817,-4.19392684349423,3.27517557585847e-05,0.00303784176280218,2.03112367362206
"FAM186B",-0.0948735660819787,0.420218612696611,-4.18295011107802,3.43147278221186e-05,0.00316779970852209,1.98803089002418
"ASB16",-0.192194632216498,1.31230372459538,-4.17903154781057,3.48897100074489e-05,0.003197530564369,1.97267261719681
"ABCB6",-0.224301993896544,0.810616817667803,-4.17853281844443,3.496354508073e-05,0.003197530564369,1.97071887233598
"KLHL31",-0.202787482315811,0.945615387365965,-4.17597688154065,3.53442844806471e-05,0.00321731623986393,1.96070952100456
"BDH1",-0.247120469751928,4.42321516209343,-4.17437925366529,3.55842740589783e-05,0.00322416586855678,1.95445590348839
"TNFRSF25",-0.343460707686575,3.57347018044151,-4.17166588428933,3.59954269751066e-05,0.00324127125291944,1.94384000449724
"RNASET2",-0.281585849148746,3.70260162965016,-4.17095237072126,3.61042937579294e-05,0.00324127125291944,1.94104948665841
"LTO1",-0.167579217870869,2.97502827080977,-4.16879673408799,3.6435105735449e-05,0.00325603403812088,1.9326215809044
"PPP2R5B",0.215204749152511,4.36554769386177,4.1650880209741,3.70110255282965e-05,0.00329246718461041,1.9181310533533
"SETD6",-0.184302670873828,2.94247574073991,-4.14713599647836,3.99234766378345e-05,0.0035354857976428,1.84815870405791
"FRMD4B",0.207002639417631,2.42960519199567,4.14420699822692,4.04188979715111e-05,0.00356323537027227,1.83676882594896
"IL1A",0.4791043273023,1.93065849755731,4.13873041635311,4.13609700491646e-05,0.00362993517861973,1.81549229184006
"RAP1A",0.190381838623432,5.06897250691685,4.13666713725768,4.17212826893403e-05,0.00364521081925481,1.80748321784511
"STAP1",0.209854456498747,0.675684824050525,4.1321786690579,4.25154547572328e-05,0.00367513663364733,1.79007303705356
"ANKS3",-0.207165090152509,2.74683796021079,-4.13165495855435,4.26090498055013e-05,0.00367513663364733,1.78804277531156
"KLF3",0.209800153546461,5.84012553133479,4.13155378734003,4.26271532286517e-05,0.00367513663364733,1.7876505936978
"CASTOR2",-0.241577198694457,2.47531341489034,-4.12988486260955,4.29268464990516e-05,0.00368474260014446,1.78118243509086
"MKS1",-0.16309465990793,2.4197335392372,-4.12590140341342,4.36502925690082e-05,0.0037304798072841,1.76575376890417
"NOL3",-0.237590851031885,4.50731932382481,-4.12379226665533,4.40380210317506e-05,0.00374725265048866,1.75759029282004
"AQP11",-0.235259861000045,2.53964251393427,-4.12114940228021,4.4528493236303e-05,0.00377258502652678,1.74736647867701
