Pathway,SPLICEOSOMAL COMPLEX,U2 TYPE SPLICEOSOMAL COMPLEX,CATALYTIC STEP 1 SPLICEOSOME,CATALYTIC STEP 2 SPLICEOSOME,SM LIKE PROTEIN FAMILY COMPLEX,SMALL NUCLEAR RIBONUCLEOPROTEIN COMPLEX,PRECATALYTIC SPLICEOSOME,POSTSYNAPTIC SPECIALIZATION,NEURON TO NEURON SYNAPSE,SYNAPTIC MEMBRANE,POSTSYNAPTIC MEMBRANE,SITE OF POLARIZED GROWTH,DISTAL AXON,CELL LEADING EDGE,LEADING EDGE MEMBRANE,CELL PROJECTION MEMBRANE,BASAL PART OF CELL,BASOLATERAL PLASMA MEMBRANE,APICAL PLASMA MEMBRANE,PIGMENT GRANULE,COATED VESICLE,CLATHRIN COATED VESICLE,CLATHRIN COATED PIT,TRANS GOLGI NETWORK,PRERIBOSOME,BOX C D RNP COMPLEX,KERATIN FILAMENT,INTERMEDIATE FILAMENT CYTOSKELETON,EXON EXON JUNCTION COMPLEX,SREBP SCAP INSIG COMPLEX,ORGANELLAR RIBOSOME,MITOCHONDRIAL LARGE RIBOSOMAL SUBUNIT,MITOCHONDRIAL PROTEIN CONTAINING COMPLEX,EXTRINSIC COMPONENT OF PLASMA MEMBRANE,GTPASE COMPLEX,CYTOPLASMIC SIDE OF PLASMA MEMBRANE,MIDBODY,HISTONE DEACETYLASE COMPLEX,HISTONE ACETYLTRANSFERASE COMPLEX,PRERIBOSOME LARGE SUBUNIT PRECURSOR
POSTSYNAPTIC MEMBRANE,0.0,0.0,0.0,0.0,0.0031746031746031746,0.0,0.0,0.580952380952381,0.5111111111111111,1.0,1.0,0.050793650793650794,0.11746031746031746,0.14285714285714285,0.11746031746031746,0.1523809523809524,0.09523809523809523,0.09523809523809523,0.05396825396825397,0.009523809523809525,0.031746031746031744,0.01904761904761905,0.006349206349206349,0.009523809523809525,0.0,0.0,0.0,0.012698412698412698,0.0,0.0,0.0,0.0,0.0,0.05396825396825397,0.006349206349206349,0.03492063492063492,0.006349206349206349,0.0031746031746031746,0.0,0.0
SITE OF POLARIZED GROWTH,0.0058823529411764705,0.0,0.0,0.0,0.0058823529411764705,0.0,0.0,0.16470588235294117,0.17058823529411765,0.16470588235294117,0.09411764705882353,1.0,0.9705882352941176,0.2529411764705882,0.06470588235294118,0.1,0.029411764705882353,0.011764705882352941,0.047058823529411764,0.03529411764705882,0.029411764705882353,0.011764705882352941,0.01764705882352941,0.03529411764705882,0.0,0.0,0.0,0.01764705882352941,0.0,0.0,0.0,0.0,0.0,0.0058823529411764705,0.0,0.01764705882352941,0.07058823529411765,0.0,0.0,0.0
DISTAL AXON,0.0036363636363636364,0.0,0.0,0.0,0.0036363636363636364,0.0,0.0,0.17454545454545456,0.20363636363636364,0.22545454545454546,0.13454545454545455,0.6,1.0,0.21454545454545454,0.08727272727272728,0.11636363636363636,0.05090909090909091,0.03636363636363636,0.05818181818181818,0.025454545454545455,0.05818181818181818,0.04363636363636364,0.025454545454545455,0.025454545454545455,0.0,0.0,0.0036363636363636364,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.007272727272727273,0.0,0.014545454545454545,0.05090909090909091,0.0,0.007272727272727273,0.0
CELL LEADING EDGE,0.00228310502283105,0.0,0.0,0.00228310502283105,0.0,0.0,0.0,0.1141552511415525,0.1004566210045662,0.136986301369863,0.10273972602739725,0.09817351598173515,0.13470319634703196,1.0,0.4269406392694064,0.4383561643835616,0.0821917808219178,0.0639269406392694,0.091324200913242,0.0228310502283105,0.0365296803652968,0.0319634703196347,0.0182648401826484,0.03424657534246575,0.0,0.0,0.00228310502283105,0.02511415525114155,0.0,0.0,0.0,0.0,0.0,0.0273972602739726,0.00228310502283105,0.03424657534246575,0.02511415525114155,0.00228310502283105,0.00228310502283105,0.0
LEADING EDGE MEMBRANE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16042780748663102,0.12834224598930483,0.26737967914438504,0.19786096256684493,0.058823529411764705,0.12834224598930483,1.0,1.0,0.9732620320855615,0.09090909090909091,0.0748663101604278,0.0962566844919786,0.016042780748663103,0.03208556149732621,0.0213903743315508,0.016042780748663103,0.03208556149732621,0.0,0.0,0.0053475935828877,0.0213903743315508,0.0,0.0,0.0,0.0,0.0,0.0213903743315508,0.0,0.03208556149732621,0.026737967914438502,0.0,0.0,0.0
CELL PROJECTION MEMBRANE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09944751381215469,0.08839779005524862,0.18232044198895028,0.13259668508287292,0.04696132596685083,0.08839779005524862,0.5303867403314917,0.5027624309392266,1.0,0.1408839779005525,0.12154696132596685,0.26795580110497236,0.019337016574585635,0.03867403314917127,0.027624309392265192,0.027624309392265192,0.03038674033149171,0.0,0.0,0.0027624309392265192,0.013812154696132596,0.0,0.0,0.0,0.0,0.0,0.03038674033149171,0.013812154696132596,0.03867403314917127,0.022099447513812154,0.0,0.0,0.0
BASAL PART OF CELL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08923076923076922,0.09230769230769231,0.12615384615384614,0.09230769230769231,0.015384615384615385,0.043076923076923075,0.11076923076923077,0.052307692307692305,0.15692307692307692,1.0,0.8430769230769231,0.40307692307692305,0.036923076923076927,0.052307692307692305,0.04923076923076923,0.027692307692307693,0.027692307692307693,0.0,0.0,0.006153846153846154,0.018461538461538463,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.0,0.033846153846153845,0.012307692307692308,0.0,0.0,0.0
BASOLATERAL PLASMA MEMBRANE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0948905109489051,0.09854014598540146,0.14963503649635038,0.10948905109489052,0.0072992700729927005,0.0364963503649635,0.10218978102189781,0.051094890510948905,0.16058394160583941,1.0,1.0,0.42700729927007297,0.040145985401459854,0.043795620437956206,0.040145985401459854,0.021897810218978103,0.025547445255474453,0.0,0.0,0.0036496350364963502,0.0072992700729927005,0.0,0.0,0.0,0.0,0.0,0.01824817518248175,0.0,0.032846715328467155,0.014598540145985401,0.0,0.0,0.0
APICAL PLASMA MEMBRANE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04275534441805225,0.0498812351543943,0.05463182897862233,0.040380047505938245,0.019002375296912115,0.03800475059382423,0.09501187648456057,0.04275534441805225,0.23040380047505937,0.31116389548693585,0.27790973871733965,1.0,0.040380047505938245,0.052256532066508314,0.04513064133016627,0.023752969121140142,0.0166270783847981,0.0,0.0,0.0,0.0023752969121140144,0.0,0.0,0.0,0.0,0.0,0.0166270783847981,0.011876484560570071,0.0332541567695962,0.011876484560570071,0.0,0.0,0.0
PIGMENT GRANULE,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.026785714285714284,0.044642857142857144,0.044642857142857144,0.026785714285714284,0.05357142857142857,0.0625,0.08928571428571429,0.026785714285714284,0.0625,0.10714285714285714,0.09821428571428571,0.15178571428571427,1.0,0.14285714285714285,0.13392857142857142,0.026785714285714284,0.08928571428571429,0.0,0.0,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.008928571428571428,0.017857142857142856,0.07142857142857142,0.0,0.0,0.0
COATED VESICLE,0.0030581039755351682,0.0,0.0,0.0,0.0,0.0,0.0,0.045871559633027525,0.05198776758409786,0.07339449541284404,0.03058103975535168,0.01529051987767584,0.04892966360856269,0.04892966360856269,0.01834862385321101,0.04281345565749235,0.05198776758409786,0.03669724770642202,0.0672782874617737,0.04892966360856269,1.0,0.6941896024464832,0.1529051987767584,0.18654434250764526,0.0,0.0,0.0,0.0061162079510703364,0.0,0.009174311926605505,0.0,0.0,0.0,0.01834862385321101,0.0,0.024464831804281346,0.0061162079510703364,0.0,0.0,0.0
CLATHRIN COATED VESICLE,0.004405286343612335,0.0,0.0,0.0,0.0,0.0,0.0,0.05286343612334802,0.06167400881057269,0.0881057268722467,0.02643171806167401,0.00881057268722467,0.05286343612334802,0.06167400881057269,0.01762114537444934,0.04405286343612335,0.07048458149779736,0.048458149779735685,0.08370044052863436,0.06607929515418502,1.0,1.0,0.21585903083700442,0.24669603524229075,0.0,0.0,0.0,0.00881057268722467,0.0,0.0,0.0,0.0,0.0,0.022026431718061675,0.0,0.03524229074889868,0.00881057268722467,0.0,0.0,0.0
CLATHRIN COATED PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.0641025641025641,0.14102564102564102,0.02564102564102564,0.038461538461538464,0.08974358974358974,0.10256410256410256,0.038461538461538464,0.1282051282051282,0.11538461538461539,0.07692307692307693,0.1282051282051282,0.038461538461538464,0.6410256410256411,0.6282051282051282,1.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0641025641025641,0.0,0.07692307692307693,0.01282051282051282,0.0,0.0,0.0
TRANS GOLGI NETWORK,0.0,0.0,0.0,0.0,0.0035460992907801418,0.0035460992907801418,0.0,0.01773049645390071,0.028368794326241134,0.04964539007092199,0.010638297872340425,0.02127659574468085,0.024822695035460994,0.05319148936170213,0.02127659574468085,0.03900709219858156,0.031914893617021274,0.024822695035460994,0.024822695035460994,0.03546099290780142,0.21631205673758866,0.19858156028368795,0.0425531914893617,1.0,0.0,0.0,0.0035460992907801418,0.0070921985815602835,0.0,0.0,0.0,0.0,0.0,0.010638297872340425,0.0035460992907801418,0.01773049645390071,0.014184397163120567,0.0,0.0,0.0
PRERIBOSOME,0.009433962264150943,0.009433962264150943,0.0,0.0,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.03773584905660377,0.03773584905660377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05660377358490566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009433962264150943,0.0,0.0,0.1509433962264151
BOX C D RNP COMPLEX,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KERATIN FILAMENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008771929824561403,0.008771929824561403,0.008771929824561403,0.0,0.0,0.008771929824561403,0.008771929824561403,0.008771929824561403,0.008771929824561403,0.017543859649122806,0.008771929824561403,0.0,0.0,0.0,0.0,0.0,0.008771929824561403,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTERMEDIATE FILAMENT CYTOSKELETON,0.004291845493562232,0.0,0.0,0.004291845493562232,0.0,0.0,0.0,0.02575107296137339,0.030042918454935622,0.02145922746781116,0.017167381974248927,0.012875536480686695,0.02145922746781116,0.04721030042918455,0.017167381974248927,0.02145922746781116,0.02575107296137339,0.008583690987124463,0.004291845493562232,0.004291845493562232,0.008583690987124463,0.008583690987124463,0.0,0.008583690987124463,0.0,0.0,0.4892703862660944,1.0,0.004291845493562232,0.0,0.0,0.0,0.0,0.008583690987124463,0.0,0.012875536480686695,0.008583690987124463,0.0,0.0,0.0
EXON EXON JUNCTION COMPLEX,0.42857142857142855,0.23809523809523808,0.23809523809523808,0.38095238095238093,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0
SREBP SCAP INSIG COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORGANELLAR RIBOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6190476190476191,0.9761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MITOCHONDRIAL LARGE RIBOSOMAL SUBUNIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MITOCHONDRIAL PROTEIN CONTAINING COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45054945054945056,0.2857142857142857,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXTRINSIC COMPONENT OF PLASMA MEMBRANE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09615384615384616,0.09615384615384616,0.23076923076923078,0.16346153846153846,0.009615384615384616,0.019230769230769232,0.11538461538461539,0.038461538461538464,0.10576923076923077,0.04807692307692308,0.04807692307692308,0.0673076923076923,0.009615384615384616,0.057692307692307696,0.04807692307692308,0.04807692307692308,0.028846153846153848,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,1.0,0.34615384615384615,0.5384615384615384,0.04807692307692308,0.0,0.0,0.0
GTPASE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.07142857142857142,0.047619047619047616,0.047619047619047616,0.0,0.0,0.023809523809523808,0.0,0.11904761904761904,0.0,0.0,0.11904761904761904,0.023809523809523808,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,1.0,0.8571428571428571,0.07142857142857142,0.0,0.0,0.0
CYTOPLASMIC SIDE OF PLASMA MEMBRANE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05389221556886228,0.059880239520958084,0.08383233532934131,0.0658682634730539,0.017964071856287425,0.023952095808383235,0.08982035928143713,0.03592814371257485,0.08383233532934131,0.0658682634730539,0.05389221556886228,0.08383233532934131,0.011976047904191617,0.04790419161676647,0.04790419161676647,0.03592814371257485,0.029940119760479042,0.0,0.0,0.0,0.017964071856287425,0.0,0.0,0.0,0.0,0.0,0.33532934131736525,0.2155688622754491,1.0,0.08982035928143713,0.0,0.0,0.0
MIDBODY,0.005319148936170213,0.0,0.0,0.005319148936170213,0.0,0.0,0.0,0.026595744680851064,0.03723404255319149,0.015957446808510637,0.010638297872340425,0.06382978723404255,0.07446808510638298,0.05851063829787234,0.026595744680851064,0.0425531914893617,0.02127659574468085,0.02127659574468085,0.026595744680851064,0.0425531914893617,0.010638297872340425,0.010638297872340425,0.005319148936170213,0.02127659574468085,0.005319148936170213,0.0,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.026595744680851064,0.015957446808510637,0.0797872340425532,1.0,0.0,0.0,0.0
HISTONE DEACETYLASE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.022988505747126436,0.011494252873563218,0.011494252873563218,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14942528735632185,0.0
HISTONE ACETYLTRANSFERASE COMPLEX,0.020202020202020204,0.020202020202020204,0.020202020202020204,0.020202020202020204,0.020202020202020204,0.020202020202020204,0.020202020202020204,0.0,0.0,0.0,0.0,0.0,0.020202020202020204,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13131313131313133,1.0,0.0
PRERIBOSOME LARGE SUBUNIT PRECURSOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
