"Cancer","Target_Gene","Target_Feature_ID","Sample_ID","Patient_ID","Expression_Assay","Expression_Log2_Transformed","Target_Expression_Value","Median_Cutoff","Median_Group_For_GSEA_Heatmap"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3494-01A","TCGA-AA-3494","tpm",TRUE,"3.695741589928502","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-F4-6463-01A","TCGA-F4-6463","tpm",TRUE,"3.225413735961158","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-A00O-01A","TCGA-AA-A00O","tpm",TRUE,"2.946855577420153","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3526-01A","TCGA-AA-3526","tpm",TRUE,"5.907454163423178","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-A6-5657-01A","TCGA-A6-5657","tpm",TRUE,"5.570806500949102","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-D5-6536-01A","TCGA-D5-6536","tpm",TRUE,"2.645998580040068","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3666-01A","TCGA-AA-3666","tpm",TRUE,"5.112305247274445","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3968-01A","TCGA-AA-3968","tpm",TRUE,"3.409447603713978","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-CM-5861-01A","TCGA-CM-5861","tpm",TRUE,"2.836005540547010","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AZ-4615-01A","TCGA-AZ-4615","tpm",TRUE,"5.159255179246679","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-DM-A285-01A","TCGA-DM-A285","tpm",TRUE,"5.559368998028192","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3672-01A","TCGA-AA-3672","tpm",TRUE,"3.405114277078264","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3856-01A","TCGA-AA-3856","tpm",TRUE,"3.656503519431104","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-CK-5912-01A","TCGA-CK-5912","tpm",TRUE,"3.704098355784349","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-D5-6922-01A","TCGA-D5-6922","tpm",TRUE,"3.374732821641496","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3842-01A","TCGA-AA-3842","tpm",TRUE,"3.354637456781282","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-CM-4747-01A","TCGA-CM-4747","tpm",TRUE,"2.723834518757505","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-4T-AA8H-01A","TCGA-4T-AA8H","tpm",TRUE,"4.872831423237692","4.167970022842355","High"
