"GeneID","Symbol","Ensembl","Entrez","Target_Gene","Target_Feature_ID","Correlation_Method","Correlation","P.Value","adj.P.Val","Samples_Used"
"ENSG00000081154.11","PCNP","ENSG00000081154.11","57092","ATF3","ENSG00000162772.16","spearman","0.37566502646462934800198","0.00000000000000000000000000008807888561320730332542292657640293378460246515393080820523626277777509433679174744025175414208206348121166229248046875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000007007064342454484354656133112790940614471294142843502663511589154042559729560629699918195001373533159494400024414062500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000251349.3","MSANTD3-TMEFF1","ENSG00000251349.3","100526694","ATF3","ENSG00000162772.16","spearman","0.37560508562386274444833","0.00000000000000000000000000008999506500929641202755183117967540642951504452862408530392216563959342348123261745573842063095071353018283843994140625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000007153863028221257861028407476205114032943916112137518942937244401170576507328902060578457167139276862144470214843750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000163873.9","GRIK3","ENSG00000163873.9","2899","ATF3","ENSG00000162772.16","spearman","0.37559808812483047590902","0.00000000000000000000000000009022143356911593414483438249288108590533887904145457120753300074420164724581759629895572061286657117307186126708984375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000007169032777695605026737753656593769652574361836042979939312907723970158665668939157455952226882800459861755371093750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000121390.18","PSPC1","ENSG00000121390.18","55269","ATF3","ENSG00000162772.16","spearman","0.37558116649981226897737","0.00000000000000000000000000009077117995717223033625646315176064858431755324365669936151442609935154968276403708582478202515630982816219329833984375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000007204203602029700337389956977625072375953696082814405308689183670120297542285164871245228823681827634572982788085937500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000143196.4","DPT","ENSG00000143196.4","1805","ATF3","ENSG00000162772.16","spearman","0.37554461666996152846565","0.00000000000000000000000000009196994945674295293979089694735991673684095992050265972433515614741612946266349770674253250035690143704414367675781250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000007294529211475363272467397342947423539901089438443735157390382014378953708533953603776467389252502471208572387695312500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000148335.14","NTMT1","ENSG00000148335.14","28989","ATF3","ENSG00000162772.16","spearman","0.37554426459453854603154","0.00000000000000000000000000009198157280789751790397892425368451176283084475425504209643313595716435326866619592856011422554729506373405456542968750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000007294529211475363272467397342947423539901089438443735157390382014378953708533953603776467389252502471208572387695312500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000134313.15","KIDINS220","ENSG00000134313.15","57498","ATF3","ENSG00000162772.16","spearman","0.37554169004300780310146","0.00000000000000000000000000009206661278645701042607363959065583305709132395458710745221027895893109929269411406682621645813924260437488555908203125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000007298404373150374656073003016192498719239956407399379157774126953436179938115857535052555249421857297420501708984375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000170667.14","RASA4B","ENSG00000170667.14","10156","ATF3","ENSG00000162772.16","spearman","0.37550236761920091632661","0.00000000000000000000000000009337518886607640545009878528214956982403830116608188347542152524652000876058052791783836710237665101885795593261718750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000007399231874992503841868264663403003327897954383668384497161860939420961259024162037789551504829432815313339233398437500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000079841.18","RIMS1","ENSG00000079841.18","22999","ATF3","ENSG00000162772.16","spearman","0.37545629940037972271938","0.00000000000000000000000000009493169642434515766139909864843160348132972657017114578506107216912467366802530488456568491528742015361785888671875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000007516667878183529841548285721516386033561242745690705181031860862195703894272913458962648292072117328643798828125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000041515.15","MYO16","ENSG00000041515.15","23026","ATF3","ENSG00000162772.16","spearman","0.37539492686150044420401","0.00000000000000000000000000009704527151567806470379834117581845111645542881855846302423971317244872402730561378181306508849957026541233062744140625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000007681005699603001249694960884879143724525061662578256302580464346714239881174640656169572139333467930555343627929687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
