Pathway,BMI1 DN MEL18 DN.V1 UP,MEL18 DN.V1 UP,BMI1 DN.V1 UP,TGFB UP.V1 UP,CSR EARLY UP.V1 UP,PRC2 EED DN.V1 DN,PRC2 EZH2 UP.V1 DN,VEGF A UP.V1 DN,IL2 UP.V1 UP,IL15 UP.V1 UP,MYC UP.V1 UP,GCNP SHH UP EARLY.V1 UP,GCNP SHH UP LATE.V1 UP,E2F1 UP.V1 UP,RB P107 DN.V1 UP,CSR LATE UP.V1 UP,RPS14 DN.V1 DN,CORDENONSI YAP CONSERVED SIGNATURE,AKT UP.V1 UP,HOXA9 DN.V1 DN,E2F3 UP.V1 DN,BCAT BILD ET AL DN,STK33 UP,STK33 NOMO UP,STK33 SKM UP,RELA DN.V1 UP,PDGF ERK DN.V1 DN,MTOR UP.N4.V1 DN,LEF1 UP.V1 DN,RAF UP.V1 DN,ERBB2 UP.V1 DN,ESC J1 UP LATE.V1 UP,ESC V6.5 UP LATE.V1 UP,ESC J1 UP EARLY.V1 UP,PKCA DN.V1 UP,LEF1 UP.V1 UP,LTE2 UP.V1 UP,ERBB2 UP.V1 UP,KRAS.LUNG UP.V1 DN,KRAS.LUNG.BREAST UP.V1 DN
MYC UP.V1 UP,0.011049723756906077,0.016574585635359115,0.0055248618784530384,0.0055248618784530384,0.011049723756906077,0.0055248618784530384,0.016574585635359115,0.011049723756906077,0.06077348066298342,0.06629834254143646,1.0,0.0055248618784530384,0.016574585635359115,0.011049723756906077,0.0055248618784530384,0.03867403314917127,0.055248618784530384,0.0,0.011049723756906077,0.022099447513812154,0.022099447513812154,0.0,0.0055248618784530384,0.011049723756906077,0.0055248618784530384,0.011049723756906077,0.022099447513812154,0.011049723756906077,0.0,0.011049723756906077,0.03314917127071823,0.0,0.0055248618784530384,0.016574585635359115,0.011049723756906077,0.016574585635359115,0.0055248618784530384,0.0055248618784530384,0.0,0.0055248618784530384
GCNP SHH UP EARLY.V1 UP,0.011560693641618497,0.011560693641618497,0.005780346820809248,0.005780346820809248,0.0,0.023121387283236993,0.03468208092485549,0.011560693641618497,0.011560693641618497,0.011560693641618497,0.005780346820809248,1.0,0.2254335260115607,0.13872832369942195,0.046242774566473986,0.028901734104046242,0.023121387283236993,0.005780346820809248,0.011560693641618497,0.011560693641618497,0.005780346820809248,0.011560693641618497,0.011560693641618497,0.005780346820809248,0.011560693641618497,0.005780346820809248,0.011560693641618497,0.028901734104046242,0.0,0.028901734104046242,0.017341040462427744,0.017341040462427744,0.023121387283236993,0.017341040462427744,0.023121387283236993,0.011560693641618497,0.0,0.0,0.0,0.005780346820809248
GCNP SHH UP LATE.V1 UP,0.0,0.0055248618784530384,0.0055248618784530384,0.0055248618784530384,0.0055248618784530384,0.027624309392265192,0.055248618784530384,0.03867403314917127,0.016574585635359115,0.022099447513812154,0.016574585635359115,0.2154696132596685,1.0,0.13812154696132597,0.04419889502762431,0.022099447513812154,0.06077348066298342,0.011049723756906077,0.0055248618784530384,0.016574585635359115,0.0,0.011049723756906077,0.0,0.0055248618784530384,0.011049723756906077,0.0,0.0055248618784530384,0.022099447513812154,0.0055248618784530384,0.027624309392265192,0.011049723756906077,0.011049723756906077,0.011049723756906077,0.027624309392265192,0.016574585635359115,0.0055248618784530384,0.0055248618784530384,0.0055248618784530384,0.016574585635359115,0.011049723756906077
E2F1 UP.V1 UP,0.010638297872340425,0.010638297872340425,0.005319148936170213,0.010638297872340425,0.0,0.031914893617021274,0.06382978723404255,0.047872340425531915,0.010638297872340425,0.02127659574468085,0.010638297872340425,0.1276595744680851,0.13297872340425532,1.0,0.05319148936170213,0.026595744680851064,0.05319148936170213,0.010638297872340425,0.0,0.03723404255319149,0.010638297872340425,0.0,0.0,0.010638297872340425,0.0,0.010638297872340425,0.026595744680851064,0.015957446808510637,0.010638297872340425,0.026595744680851064,0.02127659574468085,0.015957446808510637,0.026595744680851064,0.015957446808510637,0.02127659574468085,0.005319148936170213,0.010638297872340425,0.015957446808510637,0.005319148936170213,0.005319148936170213
RB P107 DN.V1 UP,0.023076923076923078,0.023076923076923078,0.038461538461538464,0.023076923076923078,0.0,0.06923076923076923,0.046153846153846156,0.038461538461538464,0.0,0.015384615384615385,0.007692307692307693,0.06153846153846154,0.06153846153846154,0.07692307692307693,1.0,0.06923076923076923,0.06153846153846154,0.03076923076923077,0.0,0.06153846153846154,0.0,0.0,0.007692307692307693,0.007692307692307693,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.015384615384615385,0.023076923076923078,0.0,0.007692307692307693,0.038461538461538464,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.007692307692307693
CSR LATE UP.V1 UP,0.030120481927710843,0.030120481927710843,0.04216867469879518,0.012048192771084338,0.05421686746987952,0.04216867469879518,0.024096385542168676,0.03614457831325301,0.006024096385542169,0.006024096385542169,0.04216867469879518,0.030120481927710843,0.024096385542168676,0.030120481927710843,0.05421686746987952,1.0,0.05421686746987952,0.012048192771084338,0.018072289156626505,0.03614457831325301,0.006024096385542169,0.0,0.0,0.018072289156626505,0.0,0.006024096385542169,0.006024096385542169,0.012048192771084338,0.0,0.006024096385542169,0.006024096385542169,0.0,0.006024096385542169,0.012048192771084338,0.006024096385542169,0.006024096385542169,0.012048192771084338,0.0,0.006024096385542169,0.0
RPS14 DN.V1 DN,0.010752688172043012,0.016129032258064516,0.021505376344086023,0.016129032258064516,0.010752688172043012,0.07526881720430108,0.05913978494623656,0.04838709677419355,0.026881720430107527,0.026881720430107527,0.053763440860215055,0.021505376344086023,0.05913978494623656,0.053763440860215055,0.043010752688172046,0.04838709677419355,1.0,0.03225806451612903,0.005376344086021506,0.08602150537634409,0.026881720430107527,0.0,0.005376344086021506,0.005376344086021506,0.005376344086021506,0.010752688172043012,0.010752688172043012,0.005376344086021506,0.016129032258064516,0.016129032258064516,0.03763440860215054,0.0,0.010752688172043012,0.005376344086021506,0.021505376344086023,0.043010752688172046,0.016129032258064516,0.010752688172043012,0.026881720430107527,0.010752688172043012
CORDENONSI YAP CONSERVED SIGNATURE,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.10526315789473684,0.017543859649122806,0.0,0.05263157894736842,0.03508771929824561,0.03508771929824561,0.03508771929824561,0.0,0.017543859649122806,0.03508771929824561,0.03508771929824561,0.07017543859649122,0.03508771929824561,0.10526315789473684,1.0,0.0,0.017543859649122806,0.017543859649122806,0.0,0.03508771929824561,0.05263157894736842,0.03508771929824561,0.03508771929824561,0.017543859649122806,0.0,0.03508771929824561,0.07017543859649122,0.03508771929824561,0.12280701754385964,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.07017543859649122,0.05263157894736842,0.0,0.017543859649122806
AKT UP.V1 UP,0.03550295857988166,0.03550295857988166,0.023668639053254437,0.04142011834319527,0.011834319526627219,0.01775147928994083,0.005917159763313609,0.005917159763313609,0.029585798816568046,0.005917159763313609,0.011834319526627219,0.011834319526627219,0.005917159763313609,0.0,0.0,0.01775147928994083,0.005917159763313609,0.0,1.0,0.047337278106508875,0.011834319526627219,0.011834319526627219,0.011834319526627219,0.01775147928994083,0.01775147928994083,0.03550295857988166,0.029585798816568046,0.005917159763313609,0.029585798816568046,0.047337278106508875,0.011834319526627219,0.05325443786982249,0.04142011834319527,0.011834319526627219,0.029585798816568046,0.011834319526627219,0.047337278106508875,0.0650887573964497,0.005917159763313609,0.011834319526627219
HOXA9 DN.V1 DN,0.015789473684210527,0.042105263157894736,0.02631578947368421,0.010526315789473684,0.010526315789473684,0.06842105263157895,0.042105263157894736,0.021052631578947368,0.04736842105263158,0.04736842105263158,0.021052631578947368,0.010526315789473684,0.015789473684210527,0.03684210526315789,0.042105263157894736,0.031578947368421054,0.08421052631578947,0.005263157894736842,0.042105263157894736,1.0,0.010526315789473684,0.010526315789473684,0.021052631578947368,0.005263157894736842,0.02631578947368421,0.015789473684210527,0.021052631578947368,0.005263157894736842,0.021052631578947368,0.04736842105263158,0.02631578947368421,0.010526315789473684,0.015789473684210527,0.02631578947368421,0.010526315789473684,0.03684210526315789,0.010526315789473684,0.042105263157894736,0.015789473684210527,0.015789473684210527
E2F3 UP.V1 DN,0.024539877300613498,0.03680981595092025,0.04294478527607362,0.012269938650306749,0.0,0.018404907975460124,0.018404907975460124,0.024539877300613498,0.024539877300613498,0.018404907975460124,0.024539877300613498,0.006134969325153374,0.0,0.012269938650306749,0.0,0.006134969325153374,0.03067484662576687,0.006134969325153374,0.012269938650306749,0.012269938650306749,1.0,0.024539877300613498,0.024539877300613498,0.03067484662576687,0.018404907975460124,0.018404907975460124,0.006134969325153374,0.006134969325153374,0.006134969325153374,0.012269938650306749,0.018404907975460124,0.0,0.0,0.0,0.0,0.024539877300613498,0.0,0.006134969325153374,0.018404907975460124,0.012269938650306749
BCAT BILD ET AL DN,0.043478260869565216,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.0,0.021739130434782608,0.0,0.06521739130434782,0.021739130434782608,0.021739130434782608,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.08695652173913043,1.0,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.0,0.021739130434782608,0.021739130434782608,0.0,0.06521739130434782,0.0,0.06521739130434782,0.0,0.0,0.021739130434782608,0.06521739130434782,0.0,0.0,0.0
STK33 UP,0.038461538461538464,0.03146853146853147,0.027972027972027972,0.04195804195804196,0.01048951048951049,0.01048951048951049,0.01048951048951049,0.03146853146853147,0.038461538461538464,0.038461538461538464,0.0034965034965034965,0.006993006993006993,0.0,0.0,0.0034965034965034965,0.0,0.0034965034965034965,0.006993006993006993,0.006993006993006993,0.013986013986013986,0.013986013986013986,0.0034965034965034965,1.0,0.6503496503496503,0.6153846153846154,0.04895104895104895,0.04195804195804196,0.027972027972027972,0.017482517482517484,0.03496503496503497,0.017482517482517484,0.013986013986013986,0.01048951048951049,0.013986013986013986,0.006993006993006993,0.02097902097902098,0.017482517482517484,0.024475524475524476,0.01048951048951049,0.006993006993006993
STK33 NOMO UP,0.03793103448275862,0.034482758620689655,0.03103448275862069,0.034482758620689655,0.020689655172413793,0.013793103448275862,0.013793103448275862,0.03103448275862069,0.04482758620689655,0.03793103448275862,0.006896551724137931,0.0034482758620689655,0.0034482758620689655,0.006896551724137931,0.0034482758620689655,0.010344827586206896,0.0034482758620689655,0.010344827586206896,0.010344827586206896,0.0034482758620689655,0.017241379310344827,0.0034482758620689655,0.6413793103448275,1.0,0.3,0.041379310344827586,0.027586206896551724,0.02413793103448276,0.02413793103448276,0.04827586206896552,0.027586206896551724,0.017241379310344827,0.013793103448275862,0.010344827586206896,0.0034482758620689655,0.020689655172413793,0.03103448275862069,0.034482758620689655,0.006896551724137931,0.0
STK33 SKM UP,0.02877697841726619,0.025179856115107913,0.02158273381294964,0.03597122302158273,0.0035971223021582736,0.01079136690647482,0.014388489208633094,0.02877697841726619,0.03237410071942446,0.03597122302158273,0.0035971223021582736,0.007194244604316547,0.007194244604316547,0.0,0.007194244604316547,0.0,0.0035971223021582736,0.007194244604316547,0.01079136690647482,0.017985611510791366,0.01079136690647482,0.0035971223021582736,0.6330935251798561,0.3129496402877698,1.0,0.03597122302158273,0.02877697841726619,0.03237410071942446,0.007194244604316547,0.02877697841726619,0.0035971223021582736,0.014388489208633094,0.01079136690647482,0.01079136690647482,0.007194244604316547,0.017985611510791366,0.02158273381294964,0.02158273381294964,0.014388489208633094,0.007194244604316547
RELA DN.V1 UP,0.040268456375838924,0.03355704697986577,0.020134228187919462,0.06040268456375839,0.03355704697986577,0.006711409395973154,0.006711409395973154,0.0,0.0738255033557047,0.06040268456375839,0.013422818791946308,0.006711409395973154,0.0,0.013422818791946308,0.013422818791946308,0.006711409395973154,0.013422818791946308,0.013422818791946308,0.040268456375838924,0.020134228187919462,0.020134228187919462,0.006711409395973154,0.09395973154362416,0.08053691275167785,0.06711409395973154,1.0,0.040268456375838924,0.006711409395973154,0.03355704697986577,0.020134228187919462,0.026845637583892617,0.053691275167785234,0.026845637583892617,0.026845637583892617,0.013422818791946308,0.020134228187919462,0.026845637583892617,0.020134228187919462,0.026845637583892617,0.026845637583892617
PDGF ERK DN.V1 DN,0.026845637583892617,0.020134228187919462,0.020134228187919462,0.053691275167785234,0.04697986577181208,0.0,0.006711409395973154,0.013422818791946308,0.06040268456375839,0.06711409395973154,0.026845637583892617,0.013422818791946308,0.006711409395973154,0.03355704697986577,0.013422818791946308,0.006711409395973154,0.013422818791946308,0.006711409395973154,0.03355704697986577,0.026845637583892617,0.006711409395973154,0.0,0.08053691275167785,0.053691275167785234,0.053691275167785234,0.040268456375838924,1.0,0.026845637583892617,0.006711409395973154,0.020134228187919462,0.03355704697986577,0.006711409395973154,0.026845637583892617,0.020134228187919462,0.0,0.006711409395973154,0.020134228187919462,0.020134228187919462,0.006711409395973154,0.013422818791946308
MTOR UP.N4.V1 DN,0.0,0.0,0.0,0.016304347826086956,0.0,0.0,0.021739130434782608,0.021739130434782608,0.005434782608695652,0.005434782608695652,0.010869565217391304,0.02717391304347826,0.021739130434782608,0.016304347826086956,0.010869565217391304,0.010869565217391304,0.005434782608695652,0.0,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.043478260869565216,0.03804347826086957,0.04891304347826087,0.005434782608695652,0.021739130434782608,1.0,0.005434782608695652,0.021739130434782608,0.016304347826086956,0.0,0.021739130434782608,0.021739130434782608,0.016304347826086956,0.0,0.010869565217391304,0.021739130434782608,0.005434782608695652,0.005434782608695652
LEF1 UP.V1 DN,0.0,0.0053475935828877,0.016042780748663103,0.0213903743315508,0.0053475935828877,0.016042780748663103,0.03208556149732621,0.0106951871657754,0.016042780748663103,0.0106951871657754,0.0,0.0,0.0053475935828877,0.0106951871657754,0.0053475935828877,0.0,0.016042780748663103,0.0106951871657754,0.026737967914438502,0.0213903743315508,0.0053475935828877,0.0053475935828877,0.026737967914438502,0.0374331550802139,0.0106951871657754,0.026737967914438502,0.0053475935828877,0.0053475935828877,1.0,0.08021390374331551,0.0374331550802139,0.053475935828877004,0.0748663101604278,0.03208556149732621,0.0213903743315508,0.0,0.0481283422459893,0.0427807486631016,0.0053475935828877,0.0213903743315508
RAF UP.V1 DN,0.02072538860103627,0.03626943005181347,0.03626943005181347,0.031088082901554404,0.02072538860103627,0.0,0.010362694300518135,0.025906735751295335,0.025906735751295335,0.025906735751295335,0.010362694300518135,0.025906735751295335,0.025906735751295335,0.025906735751295335,0.0051813471502590676,0.0051813471502590676,0.015544041450777202,0.02072538860103627,0.04145077720207254,0.046632124352331605,0.010362694300518135,0.0,0.05181347150259067,0.07253886010362694,0.04145077720207254,0.015544041450777202,0.015544041450777202,0.02072538860103627,0.07772020725388601,1.0,0.24870466321243523,0.025906735751295335,0.02072538860103627,0.015544041450777202,0.010362694300518135,0.031088082901554404,0.025906735751295335,0.02072538860103627,0.02072538860103627,0.02072538860103627
ERBB2 UP.V1 DN,0.005076142131979695,0.005076142131979695,0.015228426395939087,0.030456852791878174,0.025380710659898477,0.0,0.03553299492385787,0.07614213197969544,0.025380710659898477,0.015228426395939087,0.030456852791878174,0.015228426395939087,0.01015228426395939,0.02030456852791878,0.005076142131979695,0.005076142131979695,0.03553299492385787,0.01015228426395939,0.01015228426395939,0.025380710659898477,0.015228426395939087,0.015228426395939087,0.025380710659898477,0.04060913705583756,0.005076142131979695,0.02030456852791878,0.025380710659898477,0.015228426395939087,0.03553299492385787,0.2436548223350254,1.0,0.01015228426395939,0.0,0.005076142131979695,0.025380710659898477,0.015228426395939087,0.01015228426395939,0.0,0.01015228426395939,0.005076142131979695
ESC J1 UP LATE.V1 UP,0.026881720430107527,0.021505376344086023,0.016129032258064516,0.03763440860215054,0.021505376344086023,0.0,0.005376344086021506,0.005376344086021506,0.021505376344086023,0.03763440860215054,0.0,0.016129032258064516,0.010752688172043012,0.016129032258064516,0.010752688172043012,0.0,0.0,0.03763440860215054,0.04838709677419355,0.010752688172043012,0.0,0.0,0.021505376344086023,0.026881720430107527,0.021505376344086023,0.043010752688172046,0.005376344086021506,0.0,0.053763440860215055,0.026881720430107527,0.010752688172043012,1.0,0.44623655913978494,0.15053763440860216,0.026881720430107527,0.005376344086021506,0.03225806451612903,0.03763440860215054,0.010752688172043012,0.016129032258064516
ESC V6.5 UP LATE.V1 UP,0.010869565217391304,0.005434782608695652,0.016304347826086956,0.005434782608695652,0.010869565217391304,0.005434782608695652,0.010869565217391304,0.016304347826086956,0.016304347826086956,0.010869565217391304,0.005434782608695652,0.021739130434782608,0.010869565217391304,0.02717391304347826,0.016304347826086956,0.005434782608695652,0.010869565217391304,0.016304347826086956,0.03804347826086957,0.016304347826086956,0.0,0.016304347826086956,0.016304347826086956,0.021739130434782608,0.016304347826086956,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.07608695652173914,0.021739130434782608,0.0,0.45108695652173914,1.0,0.10326086956521739,0.021739130434782608,0.02717391304347826,0.03260869565217391,0.05434782608695652,0.016304347826086956,0.010869565217391304
ESC J1 UP EARLY.V1 UP,0.011235955056179775,0.011235955056179775,0.0056179775280898875,0.016853932584269662,0.016853932584269662,0.011235955056179775,0.0056179775280898875,0.011235955056179775,0.033707865168539325,0.033707865168539325,0.016853932584269662,0.016853932584269662,0.028089887640449437,0.016853932584269662,0.0,0.011235955056179775,0.0056179775280898875,0.016853932584269662,0.011235955056179775,0.028089887640449437,0.0,0.0,0.02247191011235955,0.016853932584269662,0.016853932584269662,0.02247191011235955,0.016853932584269662,0.02247191011235955,0.033707865168539325,0.016853932584269662,0.0056179775280898875,0.15730337078651685,0.10674157303370786,1.0,0.02247191011235955,0.02247191011235955,0.03932584269662921,0.05056179775280899,0.0056179775280898875,0.0056179775280898875
PKCA DN.V1 UP,0.0,0.0,0.006289308176100629,0.006289308176100629,0.0,0.006289308176100629,0.012578616352201259,0.006289308176100629,0.018867924528301886,0.025157232704402517,0.012578616352201259,0.025157232704402517,0.018867924528301886,0.025157232704402517,0.006289308176100629,0.006289308176100629,0.025157232704402517,0.0,0.031446540880503145,0.012578616352201259,0.0,0.0,0.012578616352201259,0.006289308176100629,0.012578616352201259,0.012578616352201259,0.0,0.018867924528301886,0.025157232704402517,0.012578616352201259,0.031446540880503145,0.031446540880503145,0.025157232704402517,0.025157232704402517,1.0,0.03773584905660377,0.006289308176100629,0.018867924528301886,0.018867924528301886,0.012578616352201259
LEF1 UP.V1 UP,0.05154639175257732,0.05154639175257732,0.03608247422680412,0.061855670103092786,0.020618556701030927,0.010309278350515464,0.015463917525773196,0.010309278350515464,0.06701030927835051,0.05154639175257732,0.015463917525773196,0.010309278350515464,0.005154639175257732,0.005154639175257732,0.02577319587628866,0.005154639175257732,0.041237113402061855,0.015463917525773196,0.010309278350515464,0.03608247422680412,0.020618556701030927,0.005154639175257732,0.030927835051546393,0.030927835051546393,0.02577319587628866,0.015463917525773196,0.005154639175257732,0.0,0.0,0.030927835051546393,0.015463917525773196,0.005154639175257732,0.02577319587628866,0.020618556701030927,0.030927835051546393,1.0,0.04639175257731959,0.061855670103092786,0.02577319587628866,0.030927835051546393
