"TF","SW48","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"TCF12","3.86622611022227192","3.86622611022227192","3.86622611022227192","Activated","19","viper","19","3.86622611022227192",NA,NA,"5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=88); GTEx--Coexpression(rank=436); ARCHS4--Coexpression(rank=1070); Enrichr--Queries(rank=1220)","28","0.00847500000000000","ENCODE ChIP-seq,0.008475"
"SIX5","-3.81286835661762291","-3.81286835661762291","3.81286835661762291","Repressed","20","viper","20","3.81286835661762291",NA,NA,"5","ENCODE--ChIP-seq(rank=100); ReMap--ChIP-seq(rank=219); Enrichr--Queries(rank=722); GTEx--Coexpression(rank=957); ARCHS4--Coexpression(rank=1315)","1308","0.51419999999999999","Enrichr Queries,0.5142"
"SP3","3.80243111494020081","3.80243111494020081","3.80243111494020081","Activated","21","viper","21","3.80243111494020081",NA,NA,"3","GTEx--Coexpression(rank=621); Enrichr--Queries(rank=1132); ARCHS4--Coexpression(rank=1226)","1083","0.38640000000000002","GTEx Coexpression,0.3864"
"SNAPC4","-3.79094361276770098","-3.79094361276770098","3.79094361276770098","Repressed","22","viper","22","3.79094361276770098",NA,NA,"4","ReMap--ChIP-seq(rank=195); GTEx--Coexpression(rank=674); ARCHS4--Coexpression(rank=1163); Enrichr--Queries(rank=1371)","1143","0.41940000000000000","GTEx Coexpression,0.4194"
"ARNT","3.73347373577021457","3.73347373577021457","3.73347373577021457","Activated","23","viper","23","3.73347373577021457",NA,NA,"5","Literature--ChIP-seq(rank=10); ReMap--ChIP-seq(rank=67); GTEx--Coexpression(rank=416); ARCHS4--Coexpression(rank=924); Enrichr--Queries(rank=1207)","231","0.06098000000000000","Literature ChIP-seq,0.06098"
"NCOA3","3.72876424507033200","3.72876424507033200","3.72876424507033200","Activated","24","viper","24","3.72876424507033200",NA,NA,"4","ReMap--ChIP-seq(rank=185); ARCHS4--Coexpression(rank=269); GTEx--Coexpression(rank=332); Enrichr--Queries(rank=773)","560","0.16520000000000001","ARCHS4 Coexpression,0.1652"
"NCOA1","3.69328655923243510","3.69328655923243510","3.69328655923243510","Activated","25","viper","25","3.69328655923243510",NA,NA,"4","ReMap--ChIP-seq(rank=94); ARCHS4--Coexpression(rank=365); GTEx--Coexpression(rank=628); Enrichr--Queries(rank=1112)","721","0.22420000000000001","ARCHS4 Coexpression,0.2242"
"KLF4","3.63529184798119420","3.63529184798119420","3.63529184798119420","Activated","26","viper","26","3.63529184798119420",NA,NA,"5","ARCHS4--Coexpression(rank=23); GTEx--Coexpression(rank=24); ReMap--ChIP-seq(rank=44); Literature--ChIP-seq(rank=48); Enrichr--Queries(rank=57)","50","0.01413000000000000","ARCHS4 Coexpression,0.01413"
"MAFK","3.61248948673444747","3.61248948673444747","3.61248948673444747","Activated","27","viper","27","3.61248948673444747",NA,NA,"5","ENCODE--ChIP-seq(rank=38); ReMap--ChIP-seq(rank=124); Enrichr--Queries(rank=360); GTEx--Coexpression(rank=823); ARCHS4--Coexpression(rank=1581)","799","0.25640000000000002","Enrichr Queries,0.2564"
"ESR1","3.55125800525131208","3.55125800525131208","3.55125800525131208","Activated","28","viper","28","3.55125800525131208",NA,NA,"6","ENCODE--ChIP-seq(rank=14); Literature--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=18); ARCHS4--Coexpression(rank=163); Enrichr--Queries(rank=430); GTEx--Coexpression(rank=735)","229","0.06061000000000000","ReMap ChIP-seq,0.06061"
"EBF1","3.47334808101717485","3.47334808101717485","3.47334808101717485","Activated","29","viper","29","3.47334808101717485",NA,NA,"5","ENCODE--ChIP-seq(rank=114); ReMap--ChIP-seq(rank=126); ARCHS4--Coexpression(rank=221); GTEx--Coexpression(rank=299); Enrichr--Queries(rank=564)","468","0.13569999999999999","ARCHS4 Coexpression,0.1357"
"BACH2","3.36967284718100091","3.36967284718100091","3.36967284718100091","Activated","30","viper","30","3.36967284718100091",NA,NA,"4","ARCHS4--Coexpression(rank=102); ReMap--ChIP-seq(rank=120); GTEx--Coexpression(rank=286); Enrichr--Queries(rank=342)","234","0.06265000000000000","ARCHS4 Coexpression,0.06265"
"SMAD4","3.32752663671971316","3.32752663671971316","3.32752663671971316","Activated","31","viper","31","3.32752663671971316",NA,NA,"5","Literature--ChIP-seq(rank=17); ReMap--ChIP-seq(rank=153); Enrichr--Queries(rank=1271); ARCHS4--Coexpression(rank=1468); GTEx--Coexpression(rank=1505)","370","0.10370000000000000","Literature ChIP-seq,0.1037"
"POU5F1","3.28913711719731250","3.28913711719731250","3.28913711719731250","Activated","32","viper","32","3.28913711719731250",NA,NA,"5","Literature--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=128); GTEx--Coexpression(rank=267); ARCHS4--Coexpression(rank=298); Enrichr--Queries(rank=937)","564","0.16610000000000000","GTEx Coexpression,0.1661"
"MAFG","3.19627128663963500","3.19627128663963500","3.19627128663963500","Activated","33","viper","33","3.19627128663963500",NA,NA,"4","ReMap--ChIP-seq(rank=132); GTEx--Coexpression(rank=401); Enrichr--Queries(rank=677); ARCHS4--Coexpression(rank=987)","778","0.24950000000000000","GTEx Coexpression,0.2495"
"MAZ","-3.17976587678199474","-3.17976587678199474","3.17976587678199474","Repressed","34","viper","34","3.17976587678199474",NA,NA,"5","ENCODE--ChIP-seq(rank=72); ReMap--ChIP-seq(rank=140); ARCHS4--Coexpression(rank=1137); Enrichr--Queries(rank=1291); GTEx--Coexpression(rank=1455)","1235","0.47139999999999999","ReMap ChIP-seq,0.4714"
"TCF7L2","3.13749967712309763","3.13749967712309763","3.13749967712309763","Activated","35","viper","35","3.13749967712309763",NA,NA,"6","ReMap--ChIP-seq(rank=4); ENCODE--ChIP-seq(rank=32); Literature--ChIP-seq(rank=119); ARCHS4--Coexpression(rank=670); Enrichr--Queries(rank=721); GTEx--Coexpression(rank=953)","47","0.01347000000000000","ReMap ChIP-seq,0.01347"
"RUNX2","3.11762369738285061","3.11762369738285061","3.11762369738285061","Activated","36","viper","36","3.11762369738285061",NA,NA,"5","Literature--ChIP-seq(rank=45); Enrichr--Queries(rank=90); ReMap--ChIP-seq(rank=109); ARCHS4--Coexpression(rank=145); GTEx--Coexpression(rank=185)","242","0.06410000000000000","Enrichr Queries,0.0641"
"MAFF","3.01532223819125811","3.01532223819125811","3.01532223819125811","Activated","37","viper","37","3.01532223819125811",NA,NA,"5","ReMap--ChIP-seq(rank=64); ENCODE--ChIP-seq(rank=80); Enrichr--Queries(rank=133); GTEx--Coexpression(rank=465); ARCHS4--Coexpression(rank=526)","344","0.09472999999999999","Enrichr Queries,0.09473"
"GATA3","2.99042053026435761","2.99042053026435761","2.99042053026435761","Activated","38","viper","38","2.99042053026435761",NA,NA,"6","ENCODE--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=9); Literature--ChIP-seq(rank=35); Enrichr--Queries(rank=50); GTEx--Coexpression(rank=70); ARCHS4--Coexpression(rank=88)","116","0.03030000000000000","ReMap ChIP-seq,0.0303"
"HBP1","-2.93853290386157839","-2.93853290386157839","2.93853290386157839","Repressed","39","viper","39","2.93853290386157839",NA,NA,"4","ReMap--ChIP-seq(rank=81); Enrichr--Queries(rank=348); ARCHS4--Coexpression(rank=606); GTEx--Coexpression(rank=1512)","775","0.24790000000000001","Enrichr Queries,0.2479"
"IRF4","2.92231172608523115","2.92231172608523115","2.92231172608523115","Activated","40","viper","40","2.92231172608523115",NA,NA,"5","ReMap--ChIP-seq(rank=43); ARCHS4--Coexpression(rank=69); ENCODE--ChIP-seq(rank=89); GTEx--Coexpression(rank=208); Enrichr--Queries(rank=759)","161","0.04238000000000000","ARCHS4 Coexpression,0.04238"
"PRDM14","2.87613659478843564","2.87613659478843564","2.87613659478843564","Activated","41","viper","41","2.87613659478843564",NA,NA,"5","Literature--ChIP-seq(rank=49); ReMap--ChIP-seq(rank=196); ARCHS4--Coexpression(rank=900); Enrichr--Queries(rank=1064); GTEx--Coexpression(rank=1449)","899","0.29880000000000001","Literature ChIP-seq,0.2988"
"TP63","2.79227990980644858","2.79227990980644858","2.79227990980644858","Activated","42","viper","42","2.79227990980644858",NA,NA,"5","ARCHS4--Coexpression(rank=4); GTEx--Coexpression(rank=6); Literature--ChIP-seq(rank=11); Enrichr--Queries(rank=16); ReMap--ChIP-seq(rank=27)","7","0.00245700000000000","ARCHS4 Coexpression,0.002457"
"GABPA","2.75559532788610984","2.75559532788610984","2.75559532788610984","Activated","43","viper","43","2.75559532788610984",NA,NA,"6","Literature--ChIP-seq(rank=25); ENCODE--ChIP-seq(rank=82); ReMap--ChIP-seq(rank=233); ARCHS4--Coexpression(rank=682); GTEx--Coexpression(rank=1158); Enrichr--Queries(rank=1358)","524","0.15240000000000001","Literature ChIP-seq,0.1524"
"SMAD5","-2.70520902023349885","-2.70520902023349885","2.70520902023349885","Repressed","44","viper","44","2.70520902023349885",NA,NA,"4","ReMap--ChIP-seq(rank=249); ARCHS4--Coexpression(rank=323); Enrichr--Queries(rank=1206); GTEx--Coexpression(rank=1422)","648","0.19839999999999999","ARCHS4 Coexpression,0.1984"
"GATA6","2.69933935806419623","2.69933935806419623","2.69933935806419623","Activated","45","viper","45","2.69933935806419623",NA,NA,"5","ReMap--ChIP-seq(rank=15); Literature--ChIP-seq(rank=27); Enrichr--Queries(rank=76); ARCHS4--Coexpression(rank=231); GTEx--Coexpression(rank=1360)","193","0.05051000000000000","ReMap ChIP-seq,0.05051"
"MBD1","2.68439353859381002","2.68439353859381002","2.68439353859381002","Activated","46","viper","46","2.68439353859381002",NA,NA,"3","GTEx--Coexpression(rank=1045); ARCHS4--Coexpression(rank=1048); Enrichr--Queries(rank=1103)","1457","0.64370000000000016","ARCHS4 Coexpression,0.6437"
"HOXB13","2.67956955881987957","2.67956955881987957","2.67956955881987957","Activated","47","viper","47","2.67956955881987957",NA,NA,"4","ReMap--ChIP-seq(rank=205); Enrichr--Queries(rank=329); ARCHS4--Coexpression(rank=461); GTEx--Coexpression(rank=733)","744","0.23430000000000001","Enrichr Queries,0.2343"
"SIX2","2.60336238595173741","2.60336238595173741","2.60336238595173741","Activated","48","viper","48","2.60336238595173741",NA,NA,"4","ReMap--ChIP-seq(rank=188); ARCHS4--Coexpression(rank=259); Enrichr--Queries(rank=346); GTEx--Coexpression(rank=1213)","545","0.15909999999999999","ARCHS4 Coexpression,0.1591"
"JUN","2.60211167312150993","2.60211167312150993","2.60211167312150993","Activated","49","viper","49","2.60211167312150993",NA,NA,"6","ENCODE--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=13); Literature--ChIP-seq(rank=20); ARCHS4--Coexpression(rank=158); GTEx--Coexpression(rank=196); Enrichr--Queries(rank=227)","166","0.04377000000000000","ReMap ChIP-seq,0.04377"
"YY1","-2.58881197812689745","-2.58881197812689745","2.58881197812689745","Repressed","50","viper","50","2.58881197812689745",NA,NA,"6","ENCODE--ChIP-seq(rank=111); Literature--ChIP-seq(rank=120); ReMap--ChIP-seq(rank=170); GTEx--Coexpression(rank=1024); ARCHS4--Coexpression(rank=1159); Enrichr--Queries(rank=1400)","1378","0.57240000000000002","ReMap ChIP-seq,0.5724"
"FOXJ2","2.58379862536912608","2.58379862536912608","2.58379862536912608","Activated","51","viper","51","2.58379862536912608",NA,NA,"4","ReMap--ChIP-seq(rank=226); Enrichr--Queries(rank=901); ARCHS4--Coexpression(rank=903); GTEx--Coexpression(rank=1125)","1359","0.55469999999999997","ARCHS4 Coexpression,0.5547"
"FOXO1","2.58257240815519795","2.58257240815519795","2.58257240815519795","Activated","52","viper","52","2.58257240815519795",NA,NA,"5","ReMap--ChIP-seq(rank=38); Literature--ChIP-seq(rank=71); ARCHS4--Coexpression(rank=336); Enrichr--Queries(rank=389); GTEx--Coexpression(rank=410)","441","0.12790000000000001","ReMap ChIP-seq,0.1279"
"FOXO4","2.57440459728213300","2.57440459728213300","2.57440459728213300","Activated","53","viper","53","2.57440459728213300",NA,NA,"3","Enrichr--Queries(rank=229); ARCHS4--Coexpression(rank=718); GTEx--Coexpression(rank=1380)","555","0.16309999999999999","Enrichr Queries,0.1631"
"REST","-2.56905917892570113","-2.56905917892570113","2.56905917892570113","Repressed","54","viper","54","2.56905917892570113",NA,NA,"6","ENCODE--ChIP-seq(rank=27); Literature--ChIP-seq(rank=41); ReMap--ChIP-seq(rank=224); ARCHS4--Coexpression(rank=413); GTEx--Coexpression(rank=898); Enrichr--Queries(rank=1100)","734","0.22880000000000000","ENCODE ChIP-seq,0.2288"
"PBX3","2.53483002890738973","2.53483002890738973","2.53483002890738973","Activated","55","viper","55","2.53483002890738973",NA,NA,"5","ENCODE--ChIP-seq(rank=58); ReMap--ChIP-seq(rank=144); Enrichr--Queries(rank=380); ARCHS4--Coexpression(rank=758); GTEx--Coexpression(rank=1223)","833","0.27070000000000000","Enrichr Queries,0.2707"
"ARID2","2.52345585847733700","2.52345585847733700","2.52345585847733700","Activated","56","viper","56","2.52345585847733700",NA,NA,"4","ReMap--ChIP-seq(rank=146); GTEx--Coexpression(rank=444); ARCHS4--Coexpression(rank=1002); Enrichr--Queries(rank=1345)","847","0.27629999999999999","GTEx Coexpression,0.2763"
"KLF3","2.52254006606985692","2.52254006606985692","2.52254006606985692","Activated","57","viper","57","2.52254006606985692",NA,NA,"4","GTEx--Coexpression(rank=29); ARCHS4--Coexpression(rank=168); ReMap--ChIP-seq(rank=183); Enrichr--Queries(rank=285)","64","0.01805000000000000","GTEx Coexpression,0.01805"
"E2F3","-2.50152020725467805","-2.50152020725467805","2.50152020725467805","Repressed","58","viper","58","2.50152020725467805",NA,NA,"3","GTEx--Coexpression(rank=857); Enrichr--Queries(rank=929); ARCHS4--Coexpression(rank=933)","1338","0.53330000000000000","GTEx Coexpression,0.5333"
"EHF","2.49629959296147153","2.49629959296147153","2.49629959296147153","Activated","59","viper","59","2.49629959296147153",NA,NA,"4","ARCHS4--Coexpression(rank=3); Enrichr--Queries(rank=6); GTEx--Coexpression(rank=7); ReMap--ChIP-seq(rank=45)","4","0.00184300000000000","ARCHS4 Coexpression,0.001843"
"RBPJ","2.44133046972743495","2.44133046972743495","2.44133046972743495","Activated","60","viper","60","2.44133046972743495",NA,NA,"5","Literature--ChIP-seq(rank=118); ReMap--ChIP-seq(rank=169); Enrichr--Queries(rank=790); ARCHS4--Coexpression(rank=838); GTEx--Coexpression(rank=1183)","1310","0.51470000000000005","ARCHS4 Coexpression,0.5147"
"E2F6","2.42971761600751002","2.42971761600751002","2.42971761600751002","Activated","61","viper","61","2.42971761600751002",NA,NA,"5","ENCODE--ChIP-seq(rank=60); ReMap--ChIP-seq(rank=115); ARCHS4--Coexpression(rank=268); Enrichr--Queries(rank=782); GTEx--Coexpression(rank=1182)","559","0.16460000000000000","ARCHS4 Coexpression,0.1646"
"IKZF1","2.42539614079367150","2.42539614079367150","2.42539614079367150","Activated","62","viper","62","2.42539614079367150",NA,NA,"6","ENCODE--ChIP-seq(rank=13); ReMap--ChIP-seq(rank=54); Literature--ChIP-seq(rank=112); ARCHS4--Coexpression(rank=252); GTEx--Coexpression(rank=418); Enrichr--Queries(rank=954)","386","0.11020000000000001","ENCODE ChIP-seq,0.1102"
"ZBTB33","2.39290256201450990","2.39290256201450990","2.39290256201450990","Activated","63","viper","63","2.39290256201450990",NA,NA,"5","ENCODE--ChIP-seq(rank=101); GTEx--Coexpression(rank=109); ReMap--ChIP-seq(rank=209); Enrichr--Queries(rank=1171); ARCHS4--Coexpression(rank=1441)","254","0.06783000000000000","GTEx Coexpression,0.06783"
"CEBPB","2.39214566770860326","2.39214566770860326","2.39214566770860326","Activated","64","viper","64","2.39214566770860326",NA,NA,"6","ENCODE--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=53); Literature--ChIP-seq(rank=70); Enrichr--Queries(rank=258); ARCHS4--Coexpression(rank=406); GTEx--Coexpression(rank=910)","365","0.10170000000000001","ENCODE ChIP-seq,0.1017"
"TBP","2.37563775246726339","2.37563775246726339","2.37563775246726339","Activated","65","viper","65","2.37563775246726339",NA,NA,"5","ENCODE--ChIP-seq(rank=74); Literature--ChIP-seq(rank=116); ReMap--ChIP-seq(rank=212); GTEx--Coexpression(rank=1130); ARCHS4--Coexpression(rank=1365)","1436","0.62709999999999999","ENCODE ChIP-seq,0.6271"
"POU4F2","2.36735918086734420","2.36735918086734420","2.36735918086734420","Activated","66","viper","66","2.36735918086734420",NA,NA,"4","ReMap--ChIP-seq(rank=288); ARCHS4--Coexpression(rank=362); GTEx--Coexpression(rank=911); Enrichr--Queries(rank=1158)","716","0.22239999999999999","ARCHS4 Coexpression,0.2224"
"ATF2","2.36726509002121555","2.36726509002121555","2.36726509002121555","Activated","67","viper","67","2.36726509002121555",NA,NA,"5","ENCODE--ChIP-seq(rank=98); ReMap--ChIP-seq(rank=223); ARCHS4--Coexpression(rank=1228); GTEx--Coexpression(rank=1304); Enrichr--Queries(rank=1347)","1571","0.75080000000000002","ReMap ChIP-seq,0.7508"
"RELB","2.34461248050548621","2.34461248050548621","2.34461248050548621","Activated","68","viper","68","2.34461248050548621",NA,NA,"4","ARCHS4--Coexpression(rank=105); ReMap--ChIP-seq(rank=108); Enrichr--Queries(rank=187); GTEx--Coexpression(rank=358)","243","0.06450000000000000","ARCHS4 Coexpression,0.0645"
"SREBF1","-2.32444091606549597","-2.32444091606549597","2.32444091606549597","Repressed","69","viper","69","2.32444091606549597",NA,NA,"6","ENCODE--ChIP-seq(rank=54); ReMap--ChIP-seq(rank=137); Literature--ChIP-seq(rank=154); Enrichr--Queries(rank=791); GTEx--Coexpression(rank=961); ARCHS4--Coexpression(rank=1532)","1209","0.45760000000000001","ENCODE ChIP-seq,0.4576"
"TEAD4","2.30735102764684008","2.30735102764684008","2.30735102764684008","Activated","70","viper","70","2.30735102764684008",NA,NA,"6","ENCODE--ChIP-seq(rank=22); ReMap--ChIP-seq(rank=33); Literature--ChIP-seq(rank=89); Enrichr--Queries(rank=268); ARCHS4--Coexpression(rank=607); GTEx--Coexpression(rank=663)","388","0.11110000000000000","ReMap ChIP-seq,0.1111"
"TCF3","-2.30229988131082530","-2.30229988131082530","2.30229988131082530","Repressed","71","viper","71","2.30229988131082530",NA,NA,"6","Literature--ChIP-seq(rank=22); ENCODE--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=217); GTEx--Coexpression(rank=218); ARCHS4--Coexpression(rank=1133); Enrichr--Queries(rank=1254)","460","0.13410000000000000","Literature ChIP-seq,0.1341"
"TFAP2A","2.28137385688535321","2.28137385688535321","2.28137385688535321","Activated","72","viper","72","2.28137385688535321",NA,NA,"6","GTEx--Coexpression(rank=8); ENCODE--ChIP-seq(rank=17); ARCHS4--Coexpression(rank=64); Literature--ChIP-seq(rank=95); ReMap--ChIP-seq(rank=107); Enrichr--Queries(rank=148)","15","0.00497800000000000","GTEx Coexpression,0.004978"
"RFX1","-2.27128286064096585","-2.27128286064096585","2.27128286064096585","Repressed","73","viper","73","2.27128286064096585",NA,NA,"4","ReMap--ChIP-seq(rank=278); GTEx--Coexpression(rank=490); ARCHS4--Coexpression(rank=1114); Enrichr--Queries(rank=1342)","914","0.30490000000000000","GTEx Coexpression,0.3049"
"MEF2C","2.26022715657535800","2.26022715657535800","2.26022715657535800","Activated","74","viper","74","2.26022715657535800",NA,NA,"5","ENCODE--ChIP-seq(rank=37); ReMap--ChIP-seq(rank=97); Enrichr--Queries(rank=331); ARCHS4--Coexpression(rank=704); GTEx--Coexpression(rank=774)","747","0.23580000000000001","Enrichr Queries,0.2358"
"BCL11A","2.19847412502509076","2.19847412502509076","2.19847412502509076","Activated","75","viper","75","2.19847412502509076",NA,NA,"5","ENCODE--ChIP-seq(rank=20); GTEx--Coexpression(rank=77); ReMap--ChIP-seq(rank=110); Enrichr--Queries(rank=683); ARCHS4--Coexpression(rank=898)","181","0.04792000000000000","GTEx Coexpression,0.04792"
"HIF1A","2.17069626966808737","2.17069626966808737","2.17069626966808737","Activated","76","viper","76","2.17069626966808737",NA,NA,"5","ReMap--ChIP-seq(rank=21); Literature--ChIP-seq(rank=38); ARCHS4--Coexpression(rank=97); GTEx--Coexpression(rank=179); Enrichr--Queries(rank=529)","225","0.05958000000000000","ARCHS4 Coexpression,0.05958"
"ETV1","2.14949489394452042","2.14949489394452042","2.14949489394452042","Activated","77","viper","77","2.14949489394452042",NA,NA,"4","Enrichr--Queries(rank=209); ReMap--ChIP-seq(rank=258); ARCHS4--Coexpression(rank=535); GTEx--Coexpression(rank=1268)","511","0.14890000000000000","Enrichr Queries,0.1489"
"SOX11","2.10306017430349579","2.10306017430349579","2.10306017430349579","Activated","78","viper","78","2.10306017430349579",NA,NA,"5","Literature--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=268); Enrichr--Queries(rank=387); ARCHS4--Coexpression(rank=550); GTEx--Coexpression(rank=571)","845","0.27560000000000001","Enrichr Queries,0.2756"
