Pathway,DUPLICATION INVOLVING BONES OF THE FEET,POSTAXIAL FOOT POLYDACTYLY,MOLAR TOOTH SIGN ON MRI,HAND POLYDACTYLY,SYNDACTYLY,PROMINENT NASAL BRIDGE,EPISODIC TACHYPNEA,LARGE FACE,HIGHLY ARCHED EYEBROW,OCCIPITAL ENCEPHALOCELE,RENAL CYST,LEBER OPTIC ATROPHY,CENTROCECAL SCOTOMA,REDUCED CONTRAST SENSITIVITY,RETINAL NERVE FIBER EDEMA,MITOCHONDRIAL INHERITANCE,ABNORMALITY OF THE CHIN,COARSE FACIAL FEATURES,ABNORMAL FORM OF THE VERTEBRAL BODIES,ABNORMALITY OF CRANIAL SUTURES,ABNORMAL CRANIAL SUTURE FONTANELLE MORPHOLOGY,TOOTH MALPOSITION,ABNORMAL ELASTICITY OF SKIN,ABNORMAL STERNUM MORPHOLOGY,BRACHYDACTYLY,FINGER CLINODACTYLY,HIRSUTISM,LONG PHILTRUM,ABNORMAL RENAL PELVIS MORPHOLOGY,ABNORMAL HAIR PATTERN,CONGENITAL ABNORMAL HAIR PATTERN,ABNORMAL SCALP MORPHOLOGY,ABNORMAL NASAL TIP MORPHOLOGY,BROAD NASAL TIP,DEEPLY SET EYE,HYPERMETROPIA,BRUISING SUSCEPTIBILITY,SUBCUTANEOUS HEMORRHAGE,IRREGULAR HYPERPIGMENTATION,NEOPLASM BY HISTOLOGY
RENAL CYST,0.25263157894736843,0.14736842105263157,0.08421052631578947,0.24912280701754386,0.2982456140350877,0.24210526315789474,0.07719298245614035,0.17894736842105263,0.14736842105263157,0.07017543859649122,1.0,0.0035087719298245615,0.007017543859649123,0.007017543859649123,0.007017543859649123,0.0035087719298245615,0.21052631578947367,0.14035087719298245,0.22456140350877193,0.25263157894736843,0.3263157894736842,0.3017543859649123,0.12280701754385964,0.24210526315789474,0.312280701754386,0.4105263157894737,0.18947368421052632,0.39649122807017545,0.39649122807017545,0.10877192982456141,0.09824561403508772,0.12631578947368421,0.19649122807017544,0.08771929824561403,0.13333333333333333,0.18947368421052632,0.014035087719298246,0.05263157894736842,0.0912280701754386,0.2
LEBER OPTIC ATROPHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.9,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CENTROCECAL SCOTOMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.6923076923076923,1.0,0.9230769230769231,0.9230769230769231,0.7692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0
REDUCED CONTRAST SENSITIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.5294117647058824,0.7058823529411765,1.0,0.7058823529411765,0.5882352941176471,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0
RETINAL NERVE FIBER EDEMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.6,0.8,0.8,1.0,0.6666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.2,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667
MITOCHONDRIAL INHERITANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.32142857142857145,0.35714285714285715,0.35714285714285715,0.35714285714285715,1.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABNORMALITY OF THE CHIN,0.06666666666666667,0.016666666666666666,0.004761904761904762,0.05714285714285714,0.24285714285714285,0.17857142857142858,0.004761904761904762,0.25952380952380955,0.18333333333333332,0.002380952380952381,0.14285714285714285,0.0,0.002380952380952381,0.002380952380952381,0.002380952380952381,0.002380952380952381,1.0,0.27380952380952384,0.2523809523809524,0.3,0.32857142857142857,0.36666666666666664,0.1880952380952381,0.35714285714285715,0.26904761904761904,0.33095238095238094,0.16428571428571428,0.36428571428571427,0.1976190476190476,0.2619047619047619,0.23095238095238096,0.26666666666666666,0.35714285714285715,0.1523809523809524,0.2761904761904762,0.28095238095238095,0.047619047619047616,0.05,0.10476190476190476,0.1523809523809524
COARSE FACIAL FEATURES,0.028455284552845527,0.02032520325203252,0.008130081300813009,0.056910569105691054,0.16260162601626016,0.11788617886178862,0.008130081300813009,0.16666666666666666,0.13414634146341464,0.0,0.16260162601626016,0.0,0.0040650406504065045,0.0040650406504065045,0.0040650406504065045,0.0,0.46747967479674796,1.0,0.2926829268292683,0.2804878048780488,0.33739837398373984,0.32113821138211385,0.21544715447154472,0.3821138211382114,0.22357723577235772,0.27235772357723576,0.23577235772357724,0.35365853658536583,0.17073170731707318,0.2682926829268293,0.25609756097560976,0.3089430894308943,0.34552845528455284,0.2032520325203252,0.14634146341463414,0.24390243902439024,0.056910569105691054,0.06504065040650407,0.0975609756097561,0.18292682926829268
ABNORMAL FORM OF THE VERTEBRAL BODIES,0.14689265536723164,0.07627118644067797,0.07344632768361582,0.18361581920903955,0.22598870056497175,0.1271186440677966,0.0847457627118644,0.1638418079096045,0.17231638418079095,0.03672316384180791,0.1807909604519774,0.0,0.002824858757062147,0.002824858757062147,0.002824858757062147,0.0,0.2994350282485876,0.2033898305084746,1.0,0.288135593220339,0.3361581920903955,0.2598870056497175,0.20903954802259886,0.4011299435028249,0.2966101694915254,0.2740112994350282,0.14689265536723164,0.3305084745762712,0.1694915254237288,0.16666666666666666,0.15819209039548024,0.21468926553672316,0.19491525423728814,0.09322033898305085,0.11864406779661017,0.15819209039548024,0.07344632768361582,0.08757062146892655,0.07909604519774012,0.10734463276836158
ABNORMALITY OF CRANIAL SUTURES,0.09950248756218906,0.02736318407960199,0.007462686567164179,0.10696517412935323,0.23134328358208955,0.16666666666666666,0.007462686567164179,0.15920398009950248,0.1417910447761194,0.012437810945273632,0.1791044776119403,0.0,0.0,0.0,0.0,0.0,0.31343283582089554,0.17164179104477612,0.2537313432835821,1.0,1.0,0.25870646766169153,0.18159203980099503,0.35074626865671643,0.26865671641791045,0.32587064676616917,0.1517412935323383,0.31094527363184077,0.24129353233830847,0.22885572139303484,0.208955223880597,0.3034825870646766,0.26119402985074625,0.12437810945273632,0.16169154228855723,0.18407960199004975,0.07711442786069651,0.09950248756218906,0.09950248756218906,0.15920398009950248
ABNORMAL CRANIAL SUTURE FONTANELLE MORPHOLOGY,0.09330628803245436,0.028397565922920892,0.008113590263691683,0.10547667342799188,0.2150101419878296,0.1460446247464503,0.008113590263691683,0.15212981744421908,0.12170385395537525,0.012170385395537525,0.18864097363083165,0.0,0.0,0.0,0.0,0.0,0.2799188640973631,0.16835699797160245,0.2413793103448276,0.8154158215010142,1.0,0.23123732251521298,0.1663286004056795,0.3286004056795132,0.25557809330628806,0.29006085192697767,0.12981744421906694,0.2961460446247465,0.24746450304259635,0.20689655172413793,0.18864097363083165,0.2738336713995943,0.2434077079107505,0.11359026369168357,0.14807302231237324,0.15821501014198783,0.06490872210953347,0.0872210953346856,0.0872210953346856,0.14807302231237324
TOOTH MALPOSITION,0.08101851851851852,0.04398148148148148,0.013888888888888888,0.09259259259259259,0.3263888888888889,0.21296296296296297,0.016203703703703703,0.20833333333333334,0.15046296296296297,0.009259259259259259,0.19907407407407407,0.0,0.0023148148148148147,0.0023148148148148147,0.0023148148148148147,0.0,0.35648148148148145,0.18287037037037038,0.21296296296296297,0.24074074074074073,0.2638888888888889,1.0,0.19444444444444445,0.36574074074074076,0.32175925925925924,0.3912037037037037,0.20833333333333334,0.33796296296296297,0.22453703703703703,0.25462962962962965,0.22685185185185186,0.27546296296296297,0.27546296296296297,0.12962962962962962,0.16898148148148148,0.21064814814814814,0.06944444444444445,0.0763888888888889,0.11342592592592593,0.1111111111111111
ABNORMAL ELASTICITY OF SKIN,0.04897959183673469,0.02040816326530612,0.00816326530612245,0.06938775510204082,0.17142857142857143,0.0653061224489796,0.00816326530612245,0.12653061224489795,0.07755102040816327,0.00816326530612245,0.14285714285714285,0.0,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.0,0.3224489795918367,0.2163265306122449,0.3020408163265306,0.2979591836734694,0.3346938775510204,0.34285714285714286,1.0,0.45714285714285713,0.27346938775510204,0.2857142857142857,0.17959183673469387,0.3551020408163265,0.1673469387755102,0.2612244897959184,0.23265306122448978,0.3306122448979592,0.20816326530612245,0.10204081632653061,0.11428571428571428,0.24897959183673468,0.2693877551020408,0.27755102040816326,0.17142857142857143,0.1673469387755102
ABNORMAL STERNUM MORPHOLOGY,0.08384458077709611,0.044989775051124746,0.012269938650306749,0.09815950920245399,0.25357873210633947,0.12474437627811862,0.016359918200409,0.2167689161554192,0.14314928425357873,0.006134969325153374,0.1411042944785276,0.0,0.002044989775051125,0.002044989775051125,0.002044989775051125,0.0,0.3067484662576687,0.19222903885480572,0.2903885480572597,0.2883435582822086,0.3312883435582822,0.3231083844580777,0.22903885480572597,1.0,0.30879345603271985,0.3312883435582822,0.1083844580777096,0.3456032719836401,0.20449897750511248,0.23721881390593047,0.21881390593047034,0.24539877300613497,0.23517382413087934,0.12269938650306748,0.1390593047034765,0.20040899795501022,0.12474437627811862,0.1329243353783231,0.09815950920245399,0.14314928425357873
BRACHYDACTYLY,0.19444444444444445,0.1111111111111111,0.047979797979797977,0.21717171717171718,0.4116161616161616,0.20707070707070707,0.047979797979797977,0.15656565656565657,0.15656565656565657,0.025252525252525252,0.22474747474747475,0.0,0.0,0.0,0.0,0.0,0.28535353535353536,0.1388888888888889,0.26515151515151514,0.2727272727272727,0.3181818181818182,0.351010101010101,0.1691919191919192,0.3813131313131313,1.0,0.5303030303030303,0.2196969696969697,0.37373737373737376,0.2904040404040404,0.24242424242424243,0.22474747474747475,0.26262626262626265,0.26262626262626265,0.13131313131313133,0.15404040404040403,0.19444444444444445,0.0707070707070707,0.07828282828282829,0.13636363636363635,0.19444444444444445
FINGER CLINODACTYLY,0.1277056277056277,0.06493506493506493,0.030303030303030304,0.15151515151515152,0.44372294372294374,0.22077922077922077,0.032467532467532464,0.15367965367965367,0.16666666666666666,0.012987012987012988,0.2532467532467532,0.0,0.0021645021645021645,0.0021645021645021645,0.0021645021645021645,0.0,0.3008658008658009,0.14502164502164502,0.20995670995670995,0.28354978354978355,0.30952380952380953,0.3658008658008658,0.15151515151515152,0.35064935064935066,0.45454545454545453,1.0,0.19264069264069264,0.37012987012987014,0.27056277056277056,0.24458874458874458,0.22294372294372294,0.27056277056277056,0.2857142857142857,0.14285714285714285,0.19480519480519481,0.21645021645021645,0.06060606060606061,0.0670995670995671,0.16233766233766234,0.170995670995671
HIRSUTISM,0.15137614678899083,0.08256880733944955,0.022935779816513763,0.12385321100917432,0.3348623853211009,0.24311926605504589,0.022935779816513763,0.13302752293577982,0.1743119266055046,0.01834862385321101,0.24770642201834864,0.0,0.0,0.0,0.0,0.0,0.3165137614678899,0.26605504587155965,0.23853211009174313,0.2798165137614679,0.29357798165137616,0.41284403669724773,0.2018348623853211,0.24311926605504589,0.39908256880733944,0.40825688073394495,1.0,0.44954128440366975,0.3348623853211009,0.3394495412844037,0.3256880733944954,0.38990825688073394,0.28440366972477066,0.1834862385321101,0.23853211009174313,0.19724770642201836,0.0963302752293578,0.10091743119266056,0.12385321100917432,0.23394495412844038
LONG PHILTRUM,0.1324200913242009,0.05707762557077625,0.01598173515981735,0.11643835616438356,0.3287671232876712,0.1872146118721461,0.0136986301369863,0.2191780821917808,0.14840182648401826,0.00684931506849315,0.2579908675799087,0.0,0.00228310502283105,0.00228310502283105,0.00228310502283105,0.0,0.3493150684931507,0.19863013698630136,0.2671232876712329,0.2853881278538813,0.3333333333333333,0.3333333333333333,0.19863013698630136,0.3858447488584475,0.3378995433789954,0.3904109589041096,0.2237442922374429,1.0,0.2853881278538813,0.2602739726027397,0.2328767123287671,0.2602739726027397,0.2990867579908676,0.1461187214611872,0.18493150684931506,0.20776255707762556,0.05251141552511415,0.07534246575342465,0.0867579908675799,0.136986301369863
ABNORMAL RENAL PELVIS MORPHOLOGY,0.15161290322580645,0.07419354838709677,0.02903225806451613,0.17096774193548386,0.3580645161290323,0.23548387096774193,0.02903225806451613,0.15483870967741936,0.15483870967741936,0.02258064516129032,0.36451612903225805,0.0,0.0,0.0,0.0032258064516129032,0.0,0.267741935483871,0.13548387096774195,0.1935483870967742,0.31290322580645163,0.3935483870967742,0.31290322580645163,0.13225806451612904,0.3225806451612903,0.3709677419354839,0.4032258064516129,0.23548387096774193,0.4032258064516129,1.0,0.23870967741935484,0.2161290322580645,0.2870967741935484,0.23548387096774193,0.11935483870967742,0.18387096774193548,0.17096774193548386,0.08387096774193549,0.1064516129032258,0.11612903225806452,0.22580645161290322
ABNORMAL HAIR PATTERN,0.05026455026455026,0.010582010582010581,0.0,0.0873015873015873,0.30423280423280424,0.1349206349206349,0.0026455026455026454,0.15343915343915343,0.18783068783068782,0.007936507936507936,0.082010582010582,0.0,0.0,0.0,0.0,0.0,0.291005291005291,0.1746031746031746,0.15608465608465608,0.24338624338624337,0.2698412698412698,0.291005291005291,0.1693121693121693,0.30687830687830686,0.25396825396825395,0.29894179894179895,0.19576719576719576,0.30158730158730157,0.19576719576719576,1.0,0.8650793650793651,0.8359788359788359,0.31746031746031744,0.1693121693121693,0.17724867724867724,0.16666666666666666,0.06878306878306878,0.07407407407407407,0.15343915343915343,0.20634920634920634
CONGENITAL ABNORMAL HAIR PATTERN,0.045871559633027525,0.009174311926605505,0.0,0.0856269113149847,0.28440366972477066,0.1345565749235474,0.0030581039755351682,0.16819571865443425,0.20795107033639143,0.009174311926605505,0.0856269113149847,0.0,0.0,0.0,0.0,0.0,0.2966360856269113,0.1926605504587156,0.1712538226299694,0.25688073394495414,0.28440366972477066,0.2996941896024465,0.1743119266055046,0.327217125382263,0.27217125382262997,0.3149847094801223,0.21712538226299694,0.3119266055045872,0.20489296636085627,1.0,1.0,0.9204892966360856,0.3333333333333333,0.18654434250764526,0.1834862385321101,0.17737003058103976,0.0764525993883792,0.08256880733944955,0.1529051987767584,0.2324159021406728
ABNORMAL SCALP MORPHOLOGY,0.030501089324618737,0.006535947712418301,0.0,0.06971677559912855,0.2374727668845316,0.12200435729847495,0.002178649237472767,0.12636165577342048,0.14596949891067537,0.013071895424836602,0.0784313725490196,0.0,0.0,0.0,0.006535947712418301,0.0,0.2440087145969499,0.1655773420479303,0.1655773420479303,0.2657952069716776,0.29411764705882354,0.25925925925925924,0.17647058823529413,0.26143790849673204,0.22657952069716775,0.27233115468409586,0.18518518518518517,0.24836601307189543,0.19389978213507625,0.6884531590413944,0.6557734204793029,1.0,0.2549019607843137,0.13071895424836602,0.15250544662309368,0.11764705882352941,0.08496732026143791,0.09803921568627451,0.15250544662309368,0.19825708061002179
ABNORMAL NASAL TIP MORPHOLOGY,0.09043927648578812,0.03617571059431524,0.031007751937984496,0.10852713178294573,0.24031007751937986,0.2144702842377261,0.025839793281653745,0.23255813953488372,0.23772609819121446,0.012919896640826873,0.14470284237726097,0.0,0.0,0.0,0.0,0.0,0.3875968992248062,0.21963824289405684,0.17829457364341086,0.2713178294573643,0.31007751937984496,0.30749354005167956,0.13178294573643412,0.2971576227390181,0.268733850129199,0.34108527131782945,0.16020671834625322,0.3385012919896641,0.18863049095607234,0.31007751937984496,0.28165374677002586,0.3023255813953488,1.0,0.4315245478036176,0.2222222222222222,0.20671834625322996,0.046511627906976744,0.06718346253229975,0.082687338501292,0.1421188630490956
BROAD NASAL TIP,0.08982035928143713,0.05389221556886228,0.059880239520958084,0.1377245508982036,0.2754491017964072,0.2275449101796407,0.059880239520958084,0.281437125748503,0.2874251497005988,0.017964071856287425,0.1497005988023952,0.0,0.0,0.0,0.0,0.0,0.38323353293413176,0.2994011976047904,0.19760479041916168,0.2994011976047904,0.33532934131736525,0.33532934131736525,0.1497005988023952,0.3592814371257485,0.31137724550898205,0.39520958083832336,0.23952095808383234,0.38323353293413176,0.2215568862275449,0.38323353293413176,0.3652694610778443,0.3592814371257485,1.0,1.0,0.2694610778443114,0.23353293413173654,0.03592814371257485,0.03592814371257485,0.08982035928143713,0.23353293413173654
DEEPLY SET EYE,0.09025270758122744,0.021660649819494584,0.01444043321299639,0.07220216606498195,0.23465703971119134,0.21299638989169675,0.02527075812274368,0.2490974729241877,0.16606498194945848,0.007220216606498195,0.1371841155234657,0.0,0.0,0.0,0.0,0.0,0.4187725631768953,0.1299638989169675,0.15162454873646208,0.23465703971119134,0.26353790613718414,0.26353790613718414,0.10108303249097472,0.24548736462093862,0.22021660649819494,0.3249097472924188,0.18772563176895307,0.2924187725631769,0.20577617328519857,0.24187725631768953,0.21660649819494585,0.2527075812274368,0.3104693140794224,0.1624548736462094,1.0,0.2743682310469314,0.05054151624548736,0.05776173285198556,0.11552346570397112,0.1407942238267148
HYPERMETROPIA,0.0821917808219178,0.030821917808219176,0.00684931506849315,0.05821917808219178,0.22602739726027396,0.1541095890410959,0.010273972602739725,0.17123287671232876,0.14383561643835616,0.02054794520547945,0.18493150684931506,0.0,0.003424657534246575,0.003424657534246575,0.003424657534246575,0.0,0.4041095890410959,0.2054794520547945,0.1917808219178082,0.2534246575342466,0.2671232876712329,0.3116438356164384,0.2089041095890411,0.3356164383561644,0.2636986301369863,0.3424657534246575,0.14726027397260275,0.3116438356164384,0.1815068493150685,0.21575342465753425,0.19863013698630136,0.18493150684931506,0.273972602739726,0.13356164383561644,0.2602739726027397,1.0,0.030821917808219176,0.030821917808219176,0.08904109589041095,0.10616438356164383
BRUISING SUSCEPTIBILITY,0.010752688172043012,0.0,0.0,0.026881720430107527,0.06989247311827956,0.043010752688172046,0.0,0.11290322580645161,0.03225806451612903,0.0,0.021505376344086023,0.0,0.0,0.0,0.005376344086021506,0.0,0.10752688172043011,0.07526881720430108,0.13978494623655913,0.16666666666666666,0.17204301075268819,0.16129032258064516,0.3548387096774194,0.3279569892473118,0.15053763440860216,0.15053763440860216,0.11290322580645161,0.12365591397849462,0.13978494623655913,0.13978494623655913,0.13440860215053763,0.20967741935483872,0.0967741935483871,0.03225806451612903,0.07526881720430108,0.04838709677419355,1.0,1.0,0.13440860215053763,0.12903225806451613
SUBCUTANEOUS HEMORRHAGE,0.044,0.0,0.0,0.056,0.064,0.064,0.0,0.116,0.024,0.0,0.06,0.0,0.0,0.0,0.008,0.0,0.084,0.064,0.124,0.16,0.172,0.132,0.272,0.26,0.124,0.124,0.088,0.132,0.132,0.112,0.108,0.18,0.104,0.024,0.064,0.036,0.744,1.0,0.132,0.12
