Pathway,RIBOSOMAL SUBUNIT,LARGE RIBOSOMAL SUBUNIT,RIBOSOME,CYTOSOLIC LARGE RIBOSOMAL SUBUNIT,PRERIBOSOME,SMALL SUBUNIT PROCESSOME,90S PRERIBOSOME,MITOCHONDRIAL PROTEIN CONTAINING COMPLEX,MITOCHONDRIAL LARGE RIBOSOMAL SUBUNIT,ORGANELLAR RIBOSOME,MITOCHONDRIAL SMALL RIBOSOMAL SUBUNIT,CELL SUBSTRATE JUNCTION,ACTIN FILAMENT BUNDLE,ACTOMYOSIN,CONTRACTILE MUSCLE FIBER,I BAND,ADHERENS JUNCTION,MEMBRANE MICRODOMAIN,SYNAPTIC MEMBRANE,POSTSYNAPTIC MEMBRANE,POSTSYNAPTIC SPECIALIZATION MEMBRANE,POSTSYNAPTIC SPECIALIZATION,NEURON TO NEURON SYNAPSE,CYTOSOLIC RIBOSOME,CYTOSOLIC SMALL RIBOSOMAL SUBUNIT,SMALL RIBOSOMAL SUBUNIT,SPLICEOSOMAL COMPLEX,CATALYTIC STEP 2 SPLICEOSOME,U2 TYPE SPLICEOSOMAL COMPLEX,VESICLE LUMEN,ENDOPEPTIDASE COMPLEX,PEPTIDASE COMPLEX,PROTEASOME COMPLEX,PROTEASOME ACCESSORY COMPLEX,KERATIN FILAMENT,INTERMEDIATE FILAMENT CYTOSKELETON,PRERIBOSOME LARGE SUBUNIT PRECURSOR,PROTEIN FOLDING CHAPERONE COMPLEX,PERICENTRIOLAR MATERIAL,"TIM23 MITOCHONDRIAL IMPORT INNER MEMBRANE
TRANSLOCASE COMPLEX"
U2 TYPE SPLICEOSOMAL COMPLEX,0.0,0.0,0.0,0.0,0.009009009009009009,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009009009009009009,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6396396396396397,1.0,0.009009009009009009,0.0,0.018018018018018018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VESICLE LUMEN,0.003003003003003003,0.0,0.009009009009009009,0.0,0.003003003003003003,0.003003003003003003,0.0,0.003003003003003003,0.0,0.0,0.0,0.06606606606606606,0.009009009009009009,0.009009009009009009,0.021021021021021023,0.018018018018018018,0.021021021021021023,0.036036036036036036,0.006006006006006006,0.003003003003003003,0.0,0.009009009009009009,0.018018018018018018,0.006006006006006006,0.003003003003003003,0.003003003003003003,0.006006006006006006,0.003003003003003003,0.003003003003003003,1.0,0.06006006006006006,0.06006006006006006,0.04804804804804805,0.03303303303303303,0.0,0.009009009009009009,0.0,0.015015015015015015,0.0,0.0
ENDOPEPTIDASE COMPLEX,0.0,0.0,0.008264462809917356,0.0,0.0,0.0,0.0,0.04132231404958678,0.0,0.0,0.0,0.04132231404958678,0.0,0.0,0.01652892561983471,0.008264462809917356,0.0,0.008264462809917356,0.0,0.0,0.0,0.01652892561983471,0.01652892561983471,0.0,0.0,0.0,0.0,0.0,0.0,0.1652892561983471,1.0,1.0,0.5454545454545454,0.2066115702479339,0.0,0.0,0.0,0.0,0.0,0.0
PEPTIDASE COMPLEX,0.0,0.0,0.006211180124223602,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.037267080745341616,0.0,0.006211180124223602,0.018633540372670808,0.012422360248447204,0.0,0.006211180124223602,0.0,0.0,0.0,0.012422360248447204,0.012422360248447204,0.0,0.0,0.0,0.012422360248447204,0.012422360248447204,0.012422360248447204,0.12422360248447205,0.7515527950310559,1.0,0.40993788819875776,0.15527950310559005,0.0,0.0,0.0,0.0,0.0,0.0
PROTEASOME COMPLEX,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.030303030303030304,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.24242424242424243,1.0,1.0,1.0,0.3787878787878788,0.0,0.0,0.0,0.0,0.0,0.0
PROTEASOME ACCESSORY COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KERATIN FILAMENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008771929824561403,0.0,0.0,0.017543859649122806,0.017543859649122806,0.008771929824561403,0.0,0.008771929824561403,0.0,0.0,0.008771929824561403,0.008771929824561403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
INTERMEDIATE FILAMENT CYTOSKELETON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030042918454935622,0.004291845493562232,0.004291845493562232,0.04291845493562232,0.03862660944206009,0.02575107296137339,0.004291845493562232,0.02145922746781116,0.017167381974248927,0.0,0.02575107296137339,0.030042918454935622,0.0,0.0,0.0,0.004291845493562232,0.004291845493562232,0.0,0.012875536480686695,0.0,0.0,0.0,0.0,0.4892703862660944,1.0,0.0,0.0,0.0,0.0
PRERIBOSOME LARGE SUBUNIT PRECURSOR,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PROTEIN FOLDING CHAPERONE COMPLEX,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02,0.0
PERICENTRIOLAR MATERIAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,1.0,0.0
"TIM23 MITOCHONDRIAL IMPORT INNER MEMBRANE
TRANSLOCASE COMPLEX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
