Pathway,RIBOSOME,OXIDATIVE PHOSPHORYLATION,PARKINSONS DISEASE,ALZHEIMERS DISEASE,CARDIAC MUSCLE CONTRACTION,SMALL CELL LUNG CANCER,APOPTOSIS,ADIPOCYTOKINE SIGNALING PATHWAY,PROTEASOME,INOSITOL PHOSPHATE METABOLISM,PHOSPHATIDYLINOSITOL SIGNALING SYSTEM,ERBB SIGNALING PATHWAY,NEUROTROPHIN SIGNALING PATHWAY,RENAL CELL CARCINOMA,PATHWAYS IN CANCER,PANCREATIC CANCER,CHRONIC MYELOID LEUKEMIA,NON SMALL CELL LUNG CANCER,GLIOMA,PROSTATE CANCER,B CELL RECEPTOR SIGNALING PATHWAY,FOCAL ADHESION,ECM RECEPTOR INTERACTION,"ARRHYTHMOGENIC RIGHT VENTRICULAR
CARDIOMYOPATHY ARVC",REGULATION OF ACTIN CYTOSKELETON,AXON GUIDANCE,SPLICEOSOME,ENDOCYTOSIS,UBIQUITIN MEDIATED PROTEOLYSIS,ONE CARBON POOL BY FOLATE,OLFACTORY TRANSDUCTION,LONG TERM POTENTIATION,CELL ADHESION MOLECULES CAMS,AUTOIMMUNE THYROID DISEASE,ALLOGRAFT REJECTION,TYPE I DIABETES MELLITUS,GRAFT VERSUS HOST DISEASE,SNARE INTERACTIONS IN VESICULAR TRANSPORT,SPHINGOLIPID METABOLISM,CIRCADIAN RHYTHM MAMMAL
PHOSPHATIDYLINOSITOL SIGNALING SYSTEM,0.0,0.0,0.0,0.17105263157894737,0.0,0.11842105263157894,0.10526315789473684,0.0,0.0,0.631578947368421,1.0,0.17105263157894737,0.21052631578947367,0.10526315789473684,0.18421052631578946,0.10526315789473684,0.10526315789473684,0.17105263157894737,0.2631578947368421,0.11842105263157894,0.14473684210526316,0.17105263157894737,0.0,0.0,0.19736842105263158,0.0,0.0,0.06578947368421052,0.0,0.0,0.07894736842105263,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERBB SIGNALING PATHWAY,0.0,0.0,0.0,0.04597701149425287,0.0,0.16091954022988506,0.13793103448275862,0.08045977011494253,0.0,0.06896551724137931,0.14942528735632185,1.0,0.5057471264367817,0.40229885057471265,0.5977011494252874,0.2988505747126437,0.45977011494252873,0.39080459770114945,0.4827586206896552,0.3793103448275862,0.2988505747126437,0.5402298850574713,0.0,0.0,0.3563218390804598,0.1839080459770115,0.0,0.10344827586206896,0.034482758620689655,0.0,0.04597701149425287,0.19540229885057472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEUROTROPHIN SIGNALING PATHWAY,0.0,0.0,0.0,0.0873015873015873,0.0,0.14285714285714285,0.20634920634920634,0.12698412698412698,0.0,0.047619047619047616,0.12698412698412698,0.3492063492063492,1.0,0.2619047619047619,0.373015873015873,0.21428571428571427,0.29365079365079366,0.23015873015873015,0.31746031746031744,0.2619047619047619,0.25396825396825395,0.31746031746031744,0.0,0.0,0.1984126984126984,0.07936507936507936,0.0,0.031746031746031744,0.015873015873015872,0.0,0.07936507936507936,0.21428571428571427,0.0,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.0,0.0,0.0
RENAL CELL CARCINOMA,0.0,0.0,0.0,0.02857142857142857,0.0,0.15714285714285714,0.15714285714285714,0.07142857142857142,0.0,0.05714285714285714,0.11428571428571428,0.5,0.4714285714285714,1.0,0.8285714285714286,0.4142857142857143,0.42857142857142855,0.35714285714285715,0.37142857142857144,0.4,0.34285714285714286,0.6,0.0,0.0,0.44285714285714284,0.2,0.0,0.04285714285714286,0.07142857142857142,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PATHWAYS IN CANCER,0.0,0.0,0.009230769230769232,0.033846153846153845,0.003076923076923077,0.2523076923076923,0.1076923076923077,0.05846153846153846,0.0,0.021538461538461538,0.043076923076923075,0.16,0.14461538461538462,0.17846153846153845,1.0,0.2123076923076923,0.20615384615384616,0.15692307692307692,0.15692307692307692,0.23076923076923078,0.11076923076923077,0.2553846153846154,0.07076923076923076,0.04923076923076923,0.20923076923076922,0.04923076923076923,0.0,0.05846153846153846,0.05846153846153846,0.0,0.0,0.046153846153846156,0.012307692307692308,0.006153846153846154,0.006153846153846154,0.006153846153846154,0.009230769230769232,0.0,0.0,0.0
PANCREATIC CANCER,0.0,0.0,0.014285714285714285,0.05714285714285714,0.0,0.37142857142857144,0.2857142857142857,0.17142857142857143,0.0,0.05714285714285714,0.11428571428571428,0.37142857142857144,0.38571428571428573,0.4142857142857143,0.9857142857142858,1.0,0.5857142857142857,0.4714285714285714,0.42857142857142855,0.5,0.34285714285714286,0.4714285714285714,0.0,0.0,0.3142857142857143,0.1,0.0,0.05714285714285714,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHRONIC MYELOID LEUKEMIA,0.0,0.0,0.0,0.0410958904109589,0.0,0.3835616438356164,0.273972602739726,0.136986301369863,0.0,0.0547945205479452,0.1095890410958904,0.547945205479452,0.5068493150684932,0.410958904109589,0.9178082191780822,0.5616438356164384,1.0,0.4657534246575342,0.5342465753424658,0.547945205479452,0.3835616438356164,0.3835616438356164,0.0,0.0,0.3013698630136986,0.0821917808219178,0.0,0.0684931506849315,0.0547945205479452,0.0,0.0,0.136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NON SMALL CELL LUNG CANCER,0.0,0.0,0.018518518518518517,0.07407407407407407,0.0,0.46296296296296297,0.25925925925925924,0.1111111111111111,0.0,0.1111111111111111,0.24074074074074073,0.6296296296296297,0.5370370370370371,0.46296296296296297,0.9444444444444444,0.6111111111111112,0.6296296296296297,1.0,0.7592592592592593,0.6851851851851852,0.4444444444444444,0.5370370370370371,0.0,0.0,0.4074074074074074,0.09259259259259259,0.0,0.05555555555555555,0.0,0.0,0.0,0.24074074074074073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLIOMA,0.0,0.0,0.0,0.12307692307692308,0.0,0.3076923076923077,0.18461538461538463,0.06153846153846154,0.0,0.1076923076923077,0.3076923076923077,0.6461538461538462,0.6153846153846154,0.4,0.7846153846153846,0.46153846153846156,0.6,0.6307692307692307,1.0,0.6615384615384615,0.36923076923076925,0.5692307692307692,0.0,0.0,0.4,0.07692307692307693,0.0,0.09230769230769231,0.015384615384615385,0.0,0.15384615384615385,0.35384615384615387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROSTATE CANCER,0.0,0.0,0.011235955056179775,0.056179775280898875,0.0,0.33707865168539325,0.23595505617977527,0.11235955056179775,0.0,0.056179775280898875,0.10112359550561797,0.3707865168539326,0.3707865168539326,0.3146067415730337,0.8426966292134831,0.39325842696629215,0.449438202247191,0.4157303370786517,0.48314606741573035,1.0,0.3258426966292135,0.42696629213483145,0.0,0.056179775280898875,0.3595505617977528,0.06741573033707865,0.0,0.07865168539325842,0.011235955056179775,0.0,0.0,0.14606741573033707,0.0,0.0,0.0,0.011235955056179775,0.0,0.0,0.0,0.0
B CELL RECEPTOR SIGNALING PATHWAY,0.0,0.0,0.0,0.13333333333333333,0.0,0.22666666666666666,0.32,0.14666666666666667,0.0,0.06666666666666667,0.14666666666666667,0.3466666666666667,0.4266666666666667,0.32,0.48,0.32,0.37333333333333335,0.32,0.32,0.38666666666666666,1.0,0.37333333333333335,0.0,0.0,0.32,0.28,0.0,0.013333333333333334,0.0,0.0,0.0,0.21333333333333335,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOCAL ADHESION,0.0,0.0,0.0,0.02512562814070352,0.005025125628140704,0.20603015075376885,0.08542713567839195,0.03015075376884422,0.0,0.03015075376884422,0.06532663316582915,0.23618090452261306,0.20100502512562815,0.21105527638190955,0.41708542713567837,0.1658291457286432,0.1407035175879397,0.1457286432160804,0.18592964824120603,0.19095477386934673,0.1407035175879397,1.0,0.32663316582914576,0.1407035175879397,0.4623115577889447,0.10552763819095477,0.0,0.05527638190954774,0.01507537688442211,0.0,0.0,0.07537688442211055,0.04020100502512563,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECM RECEPTOR INTERACTION,0.0,0.0,0.0,0.0,0.0,0.27380952380952384,0.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.27380952380952384,0.0,0.0,0.0,0.0,0.0,0.0,0.7738095238095238,1.0,0.2619047619047619,0.25,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ARRHYTHMOGENIC RIGHT VENTRICULAR
CARDIOMYOPATHY ARVC",0.0,0.0,0.0,0.06756756756756757,0.3108108108108108,0.0945945945945946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21621621621621623,0.0,0.0,0.0,0.0,0.06756756756756757,0.0,0.3783783783783784,0.2972972972972973,1.0,0.35135135135135137,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.013513513513513514,0.12162162162162163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGULATION OF ACTIN CYTOSKELETON,0.0,0.0,0.0,0.009389671361502348,0.009389671361502348,0.07511737089201878,0.03755868544600939,0.0,0.0,0.051643192488262914,0.07042253521126761,0.14553990610328638,0.11737089201877934,0.14553990610328638,0.3192488262910798,0.10328638497652583,0.10328638497652583,0.10328638497652583,0.12206572769953052,0.15023474178403756,0.11267605633802817,0.431924882629108,0.09859154929577464,0.12206572769953052,1.0,0.11737089201877934,0.0,0.07042253521126761,0.0,0.0,0.0,0.06572769953051644,0.051643192488262914,0.0,0.0,0.004694835680751174,0.0,0.0,0.0,0.0
AXON GUIDANCE,0.0,0.0,0.0,0.08527131782945736,0.0,0.015503875968992248,0.05426356589147287,0.0,0.0,0.0,0.0,0.12403100775193798,0.07751937984496124,0.10852713178294573,0.12403100775193798,0.05426356589147287,0.046511627906976744,0.03875968992248062,0.03875968992248062,0.046511627906976744,0.16279069767441862,0.16279069767441862,0.007751937984496124,0.007751937984496124,0.1937984496124031,1.0,0.0,0.031007751937984496,0.0,0.0,0.0,0.09302325581395349,0.015503875968992248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPLICEOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.047244094488188976,0.007874015748031496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENDOCYTOSIS,0.0,0.0,0.0,0.0,0.0,0.0055248618784530384,0.0055248618784530384,0.0,0.0,0.027624309392265192,0.027624309392265192,0.049723756906077346,0.022099447513812154,0.016574585635359115,0.10497237569060773,0.022099447513812154,0.027624309392265192,0.016574585635359115,0.03314917127071823,0.03867403314917127,0.0055248618784530384,0.06077348066298342,0.0,0.0,0.08287292817679558,0.022099447513812154,0.03314917127071823,1.0,0.06077348066298342,0.0,0.011049723756906077,0.0055248618784530384,0.03314917127071823,0.03314917127071823,0.03314917127071823,0.03314917127071823,0.03314917127071823,0.0,0.0,0.0
UBIQUITIN MEDIATED PROTEOLYSIS,0.0,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.022222222222222223,0.007407407407407408,0.0,0.0,0.0,0.022222222222222223,0.014814814814814815,0.037037037037037035,0.14074074074074075,0.0,0.02962962962962963,0.0,0.007407407407407408,0.007407407407407408,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.007407407407407408,0.08148148148148149,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ONE CARBON POOL BY FOLATE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLFACTORY TRANSDUCTION,0.0,0.0,0.0,0.015424164524421594,0.0,0.0,0.010282776349614395,0.0,0.0,0.0,0.015424164524421594,0.010282776349614395,0.02570694087403599,0.0,0.0,0.0,0.0,0.0,0.02570694087403599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005141388174807198,0.0,0.0,1.0,0.03598971722365039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LONG TERM POTENTIATION,0.0,0.0,0.0,0.4142857142857143,0.014285714285714285,0.0,0.15714285714285714,0.0,0.0,0.05714285714285714,0.22857142857142856,0.24285714285714285,0.38571428571428573,0.2,0.21428571428571427,0.1,0.14285714285714285,0.18571428571428572,0.32857142857142857,0.18571428571428572,0.22857142857142856,0.21428571428571427,0.0,0.014285714285714285,0.2,0.17142857142857143,0.0,0.014285714285714285,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CELL ADHESION MOLECULES CAMS,0.0,0.0,0.0,0.0,0.0,0.022556390977443608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03007518796992481,0.0,0.0,0.0,0.0,0.0,0.007518796992481203,0.06015037593984962,0.09022556390977443,0.06766917293233082,0.08270676691729323,0.015037593984962405,0.0,0.045112781954887216,0.0,0.0,0.0,0.0,1.0,0.19548872180451127,0.18796992481203006,0.17293233082706766,0.17293233082706766,0.0,0.0,0.0
AUTOIMMUNE THYROID DISEASE,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.5,1.0,0.6346153846153846,0.5384615384615384,0.5384615384615384,0.0,0.0,0.0
ALLOGRAFT REJECTION,0.0,0.0,0.0,0.05405405405405406,0.0,0.0,0.08108108108108109,0.02702702702702703,0.02702702702702703,0.0,0.0,0.0,0.02702702702702703,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16216216216216217,0.0,0.0,0.0,0.0,0.6756756756756757,0.8918918918918919,1.0,0.8648648648648649,0.8108108108108109,0.0,0.0,0.0
TYPE I DIABETES MELLITUS,0.0,0.0,0.0,0.06976744186046512,0.0,0.0,0.11627906976744186,0.023255813953488372,0.023255813953488372,0.0,0.0,0.0,0.023255813953488372,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.13953488372093023,0.0,0.0,0.0,0.0,0.5348837209302325,0.6511627906976745,0.7441860465116279,1.0,0.7441860465116279,0.0,0.0,0.0
GRAFT VERSUS HOST DISEASE,0.0,0.0,0.0,0.07317073170731707,0.0,0.0,0.12195121951219512,0.024390243902439025,0.024390243902439025,0.0,0.0,0.0,0.024390243902439025,0.0,0.07317073170731707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14634146341463414,0.0,0.0,0.0,0.0,0.5609756097560976,0.6829268292682927,0.7317073170731707,0.7804878048780488,1.0,0.0,0.0,0.0
SNARE INTERACTIONS IN VESICULAR TRANSPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SPHINGOLIPID METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CIRCADIAN RHYTHM MAMMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
