"TF","MVL_CRC29","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ATF6","-3.089040840431265256","-3.089040840431265256","3.089040840431265256","Repressed","34","viper","34","3.089040840431265256",NA,NA,"3","Enrichr--Queries(rank=1286); GTEx--Coexpression(rank=1321); ARCHS4--Coexpression(rank=1400)","1598","0.82199999999999995","GTEx Coexpression,0.822"
"EPAS1","3.076166311221743666","3.076166311221743666","3.076166311221743666","Activated","35","viper","35","3.076166311221743666",NA,NA,"4","GTEx--Coexpression(rank=86); Enrichr--Queries(rank=133); ReMap--ChIP-seq(rank=159); ARCHS4--Coexpression(rank=177)","228","0.05352000000000000","GTEx Coexpression,0.05352"
"SNAI2","-3.058036245147474297","-3.058036245147474297","3.058036245147474297","Repressed","36","viper","36","3.058036245147474297",NA,NA,"4","ARCHS4--Coexpression(rank=40); ReMap--ChIP-seq(rank=95); Enrichr--Queries(rank=113); GTEx--Coexpression(rank=122)","105","0.02457000000000000","ARCHS4 Coexpression,0.02457"
"SP1","2.960183982220494503","2.960183982220494503","2.960183982220494503","Activated","37","viper","37","2.960183982220494503",NA,NA,"5","ReMap--ChIP-seq(rank=4); ENCODE--ChIP-seq(rank=48); ARCHS4--Coexpression(rank=792); GTEx--Coexpression(rank=1046); Enrichr--Queries(rank=1222)","55","0.01347000000000000","ReMap ChIP-seq,0.01347"
"SNAPC4","2.928695802443014529","2.928695802443014529","2.928695802443014529","Activated","38","viper","38","2.928695802443014529",NA,NA,"4","GTEx--Coexpression(rank=11); ReMap--ChIP-seq(rank=93); Enrichr--Queries(rank=1310); ARCHS4--Coexpression(rank=1489)","30","0.00684500000000000","GTEx Coexpression,0.006845"
"ZBTB33","-2.922994453075223209","-2.922994453075223209","2.922994453075223209","Repressed","39","viper","39","2.922994453075223209",NA,NA,"5","ENCODE--ChIP-seq(rank=90); ReMap--ChIP-seq(rank=157); GTEx--Coexpression(rank=642); ARCHS4--Coexpression(rank=944); Enrichr--Queries(rank=1189)","1158","0.39950000000000002","GTEx Coexpression,0.3995"
"VDR","2.920040160602421331","2.920040160602421331","2.920040160602421331","Activated","40","viper","40","2.920040160602421331",NA,NA,"5","Literature--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=10); GTEx--Coexpression(rank=95); ARCHS4--Coexpression(rank=572); Enrichr--Queries(rank=743)","143","0.03367000000000000","ReMap ChIP-seq,0.03367"
"TP53","2.899977616949966475","2.899977616949966475","2.899977616949966475","Activated","41","viper","41","2.899977616949966475",NA,NA,"5","Literature--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=111); Enrichr--Queries(rank=995); GTEx--Coexpression(rank=1247); ARCHS4--Coexpression(rank=1436)","131","0.03049000000000000","Literature ChIP-seq,0.03049"
"NCOA1","-2.802852382623547189","-2.802852382623547189","2.802852382623547189","Repressed","42","viper","42","2.802852382623547189",NA,NA,"4","ReMap--ChIP-seq(rank=270); ARCHS4--Coexpression(rank=994); Enrichr--Queries(rank=1109); GTEx--Coexpression(rank=1243)","1443","0.61060000000000003","ARCHS4 Coexpression,0.6106"
"STAT3","2.798724229132213193","2.798724229132213193","2.798724229132213193","Activated","43","viper","43","2.798724229132213193",NA,NA,"6","Literature--ChIP-seq(rank=34); ENCODE--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=90); ARCHS4--Coexpression(rank=840); Enrichr--Queries(rank=1010); GTEx--Coexpression(rank=1386)","755","0.20730000000000001","Literature ChIP-seq,0.2073"
"RFX5","2.768904470823839059","2.768904470823839059","2.768904470823839059","Activated","44","viper","44","2.768904470823839059",NA,NA,"5","ENCODE--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=57); Enrichr--Queries(rank=790); GTEx--Coexpression(rank=1112); ARCHS4--Coexpression(rank=1331)","712","0.19189999999999999","ReMap ChIP-seq,0.1919"
"MAX","2.759607611534405258","2.759607611534405258","2.759607611534405258","Activated","45","viper","45","2.759607611534405258",NA,NA,"5","ENCODE--ChIP-seq(rank=28); ReMap--ChIP-seq(rank=52); ARCHS4--Coexpression(rank=258); GTEx--Coexpression(rank=440); Enrichr--Queries(rank=1227)","608","0.15850000000000000","ARCHS4 Coexpression,0.1585"
"NCOA2","-2.686196415986366937","-2.686196415986366937","2.686196415986366937","Repressed","46","viper","46","2.686196415986366937",NA,NA,"4","ReMap--ChIP-seq(rank=246); GTEx--Coexpression(rank=430); ARCHS4--Coexpression(rank=467); Enrichr--Queries(rank=941)","892","0.26760000000000000","GTEx Coexpression,0.2676"
"BHLHE40","-2.674692784792549904","-2.674692784792549904","2.674692784792549904","Repressed","47","viper","47","2.674692784792549904",NA,NA,"4","ENCODE--ChIP-seq(rank=60); ReMap--ChIP-seq(rank=89); GTEx--Coexpression(rank=814); ARCHS4--Coexpression(rank=1438)","960","0.29970000000000002","ReMap ChIP-seq,0.2997"
"BATF","-2.664512841988686542","-2.664512841988686542","2.664512841988686542","Repressed","48","viper","48","2.664512841988686542",NA,NA,"5","ENCODE--ChIP-seq(rank=92); ARCHS4--Coexpression(rank=116); ReMap--ChIP-seq(rank=256); Enrichr--Queries(rank=454); GTEx--Coexpression(rank=758)","300","0.07124999999999999","ARCHS4 Coexpression,0.07125"
"TCF4","-2.654092536102361510","-2.654092536102361510","2.654092536102361510","Repressed","49","viper","49","2.654092536102361510",NA,NA,"5","ReMap--ChIP-seq(rank=42); Literature--ChIP-seq(rank=80); GTEx--Coexpression(rank=169); Enrichr--Queries(rank=546); ARCHS4--Coexpression(rank=1185)","424","0.10520000000000000","GTEx Coexpression,0.1052"
"AHR","-2.630146458017770694","-2.630146458017770694","2.630146458017770694","Repressed","50","viper","50","2.630146458017770694",NA,NA,"5","Literature--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=248); Enrichr--Queries(rank=255); GTEx--Coexpression(rank=791); ARCHS4--Coexpression(rank=1048)","682","0.18160000000000001","Enrichr Queries,0.1816"
"ZKSCAN1","2.612683603231170437","2.612683603231170437","2.612683603231170437","Activated","51","viper","51","2.612683603231170437",NA,NA,"5","ENCODE--ChIP-seq(rank=44); ReMap--ChIP-seq(rank=144); ARCHS4--Coexpression(rank=561); Enrichr--Queries(rank=1241); GTEx--Coexpression(rank=1382)","1044","0.34460000000000002","ARCHS4 Coexpression,0.3446"
"CREB3L1","2.591453581214176349","2.591453581214176349","2.591453581214176349","Activated","52","viper","52","2.591453581214176349",NA,NA,"4","Enrichr--Queries(rank=10); ReMap--ChIP-seq(rank=21); ARCHS4--Coexpression(rank=24); GTEx--Coexpression(rank=298)","31","0.00712300000000000","Enrichr Queries,0.007123"
"MXI1","-2.556723955330223230","-2.556723955330223230","2.556723955330223230","Repressed","53","viper","53","2.556723955330223230",NA,NA,"5","ReMap--ChIP-seq(rank=39); ENCODE--ChIP-seq(rank=52); GTEx--Coexpression(rank=261); Enrichr--Queries(rank=685); ARCHS4--Coexpression(rank=710)","521","0.13130000000000000","ReMap ChIP-seq,0.1313"
