"TF","MVL_CRC29","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"STAT1","1.785234111680418012","1.785234111680418012","1.785234111680418012","Activated","86","viper","86","1.785234111680418012",NA,NA,"6","ENCODE--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=9); Literature--ChIP-seq(rank=55); ARCHS4--Coexpression(rank=228); Enrichr--Queries(rank=370); GTEx--Coexpression(rank=1073)","130","0.03030000000000000","ReMap ChIP-seq,0.0303"
"SP3","1.768363653856305673","1.768363653856305673","1.768363653856305673","Activated","87","viper","87","1.768363653856305673",NA,NA,"3","GTEx--Coexpression(rank=585); ARCHS4--Coexpression(rank=926); Enrichr--Queries(rank=1198)","1086","0.36399999999999999","GTEx Coexpression,0.364"
"SOX9","1.744241841440393070","1.744241841440393070","1.744241841440393070","Activated","88","viper","88","1.744241841440393070",NA,NA,"5","ReMap--ChIP-seq(rank=8); Literature--ChIP-seq(rank=22); ARCHS4--Coexpression(rank=57); Enrichr--Queries(rank=402); GTEx--Coexpression(rank=866)","116","0.02694000000000000","ReMap ChIP-seq,0.02694"
"ZEB1","-1.741914528530098982","-1.741914528530098982","1.741914528530098982","Repressed","89","viper","89","1.741914528530098982",NA,NA,"5","GTEx--Coexpression(rank=48); ENCODE--ChIP-seq(rank=57); ReMap--ChIP-seq(rank=98); Enrichr--Queries(rank=140); ARCHS4--Coexpression(rank=580)","128","0.02987000000000000","GTEx Coexpression,0.02987"
"ZNF592","1.691545803382753954","1.691545803382753954","1.691545803382753954","Activated","90","viper","90","1.691545803382753954",NA,NA,"4","ReMap--ChIP-seq(rank=282); GTEx--Coexpression(rank=937); ARCHS4--Coexpression(rank=1274); Enrichr--Queries(rank=1364)","1416","0.58309999999999984","GTEx Coexpression,0.5831"
"ESR2","1.663236416844854570","1.663236416844854570","1.663236416844854570","Activated","91","viper","91","1.663236416844854570",NA,NA,"5","Literature--ChIP-seq(rank=16); ARCHS4--Coexpression(rank=132); ReMap--ChIP-seq(rank=166); Enrichr--Queries(rank=707); GTEx--Coexpression(rank=839)","335","0.08108000000000000","ARCHS4 Coexpression,0.08108"
"POU2F1","-1.658040474719552959","-1.658040474719552959","1.658040474719552959","Repressed","92","viper","92","1.658040474719552959",NA,NA,"4","ReMap--ChIP-seq(rank=260); GTEx--Coexpression(rank=707); ARCHS4--Coexpression(rank=848); Enrichr--Queries(rank=1268)","1229","0.44000000000000000","GTEx Coexpression,0.44"
"FOXA1","-1.652740516898608458","-1.652740516898608458","1.652740516898608458","Repressed","93","viper","93","1.652740516898608458",NA,NA,"6","ENCODE--ChIP-seq(rank=13); Literature--ChIP-seq(rank=98); ReMap--ChIP-seq(rank=210); Enrichr--Queries(rank=682); GTEx--Coexpression(rank=965); ARCHS4--Coexpression(rank=1327)","444","0.11020000000000001","ENCODE ChIP-seq,0.1102"
"RUNX3","-1.651301408881023836","-1.651301408881023836","1.651301408881023836","Repressed","94","viper","94","1.651301408881023836",NA,NA,"5","ENCODE--ChIP-seq(rank=86); Enrichr--Queries(rank=92); ReMap--ChIP-seq(rank=192); GTEx--Coexpression(rank=226); ARCHS4--Coexpression(rank=836)","277","0.06553000000000000","Enrichr Queries,0.06553"
"FOXO1","-1.640577152905885239","-1.640577152905885239","1.640577152905885239","Repressed","95","viper","95","1.640577152905885239",NA,NA,"5","Literature--ChIP-seq(rank=62); ReMap--ChIP-seq(rank=110); Enrichr--Queries(rank=539); GTEx--Coexpression(rank=1034); ARCHS4--Coexpression(rank=1196)","1095","0.37040000000000001","ReMap ChIP-seq,0.3704"
"MEIS1","-1.638835459346174694","-1.638835459346174694","1.638835459346174694","Repressed","96","viper","96","1.638835459346174694",NA,NA,"5","Literature--ChIP-seq(rank=97); Enrichr--Queries(rank=110); ReMap--ChIP-seq(rank=141); GTEx--Coexpression(rank=200); ARCHS4--Coexpression(rank=512)","322","0.07835000000000000","Enrichr Queries,0.07835"
"PPARA","-1.580292262917792234","-1.580292262917792234","1.580292262917792234","Repressed","97","viper","97","1.580292262917792234",NA,NA,"3","Enrichr--Queries(rank=697); GTEx--Coexpression(rank=934); ARCHS4--Coexpression(rank=1213)","1310","0.49640000000000001","Enrichr Queries,0.4964"
"IRF4","-1.571146092166154418","-1.571146092166154418","1.571146092166154418","Repressed","98","viper","98","1.571146092166154418",NA,NA,"5","ENCODE--ChIP-seq(rank=113); ReMap--ChIP-seq(rank=128); Enrichr--Queries(rank=455); ARCHS4--Coexpression(rank=1065); GTEx--Coexpression(rank=1299)","1014","0.32410000000000000","Enrichr Queries,0.3241"
"ZNF217","-1.523708212459073952","-1.523708212459073952","1.523708212459073952","Repressed","99","viper","99","1.523708212459073952",NA,NA,"6","Literature--ChIP-seq(rank=36); ENCODE--ChIP-seq(rank=63); ReMap--ChIP-seq(rank=168); Enrichr--Queries(rank=822); ARCHS4--Coexpression(rank=1052); GTEx--Coexpression(rank=1464)","781","0.21950000000000000","Literature ChIP-seq,0.2195"
"SMAD4","1.503398108092085961","1.503398108092085961","1.503398108092085961","Activated","100","viper","100","1.503398108092085961",NA,NA,"5","Literature--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=221); ARCHS4--Coexpression(rank=1250); Enrichr--Queries(rank=1257); GTEx--Coexpression(rank=1498)","1203","0.42070000000000002","Literature ChIP-seq,0.4207"
"RUNX2","-1.499997035485087560","-1.499997035485087560","1.499997035485087560","Repressed","101","viper","101","1.499997035485087560",NA,NA,"5","ReMap--ChIP-seq(rank=30); Literature--ChIP-seq(rank=32); GTEx--Coexpression(rank=76); Enrichr--Queries(rank=221); ARCHS4--Coexpression(rank=615)","199","0.04729000000000000","GTEx Coexpression,0.04729"
"ONECUT1","-1.471738760274273528","-1.471738760274273528","1.471738760274273528","Repressed","102","viper","102","1.471738760274273528",NA,NA,"4","ReMap--ChIP-seq(rank=184); GTEx--Coexpression(rank=223); Enrichr--Queries(rank=330); ARCHS4--Coexpression(rank=803)","539","0.13880000000000001","GTEx Coexpression,0.1388"
"SOX11","-1.460229720443720902","-1.460229720443720902","1.460229720443720902","Repressed","103","viper","103","1.460229720443720902",NA,NA,"5","Literature--ChIP-seq(rank=25); Enrichr--Queries(rank=135); ReMap--ChIP-seq(rank=228); ARCHS4--Coexpression(rank=457); GTEx--Coexpression(rank=493)","396","0.09615000000000001","Enrichr Queries,0.09615"
"PDX1","-1.438357415777742121","-1.438357415777742121","1.438357415777742121","Repressed","104","viper","104","1.438357415777742121",NA,NA,"5","Enrichr--Queries(rank=94); Literature--ChIP-seq(rank=139); ReMap--ChIP-seq(rank=237); ARCHS4--Coexpression(rank=338); GTEx--Coexpression(rank=732)","282","0.06695000000000000","Enrichr Queries,0.06695"
"HNF1B","-1.415935510440117007","-1.415935510440117007","1.415935510440117007","Repressed","105","viper","105","1.415935510440117007",NA,NA,"3","ReMap--ChIP-seq(rank=227); Enrichr--Queries(rank=494); ARCHS4--Coexpression(rank=1006)","1062","0.35189999999999999","Enrichr Queries,0.3519"
"NFE2L1","-1.398370503934722286","-1.398370503934722286","1.398370503934722286","Repressed","106","viper","106","1.398370503934722286",NA,NA,"4","ReMap--ChIP-seq(rank=266); GTEx--Coexpression(rank=1257); Enrichr--Queries(rank=1321); ARCHS4--Coexpression(rank=1563)","1581","0.78220000000000001","GTEx Coexpression,0.7822"
"GATA4","-1.380909451220610151","-1.380909451220610151","1.380909451220610151","Repressed","107","viper","107","1.380909451220610151",NA,NA,"5","ReMap--ChIP-seq(rank=49); Literature--ChIP-seq(rank=121); Enrichr--Queries(rank=206); ARCHS4--Coexpression(rank=619); GTEx--Coexpression(rank=923)","567","0.14670000000000000","Enrichr Queries,0.1467"
"MAFF","-1.377370436443199786","-1.377370436443199786","1.377370436443199786","Repressed","108","viper","108","1.377370436443199786",NA,NA,"5","ENCODE--ChIP-seq(rank=89); ReMap--ChIP-seq(rank=149); Enrichr--Queries(rank=413); GTEx--Coexpression(rank=543); ARCHS4--Coexpression(rank=623)","952","0.29420000000000002","Enrichr Queries,0.2942"
"CEBPA","1.335165829204781662","1.335165829204781662","1.335165829204781662","Activated","109","viper","109","1.335165829204781662",NA,NA,"5","ARCHS4--Coexpression(rank=92); Literature--ChIP-seq(rank=95); ReMap--ChIP-seq(rank=231); Enrichr--Queries(rank=419); GTEx--Coexpression(rank=428)","240","0.05651000000000000","ARCHS4 Coexpression,0.05651"
"HNF4A","1.334028041791881947","1.334028041791881947","1.334028041791881947","Activated","110","viper","110","1.334028041791881947",NA,NA,"6","ENCODE--ChIP-seq(rank=16); Literature--ChIP-seq(rank=53); ARCHS4--Coexpression(rank=120); ReMap--ChIP-seq(rank=215); Enrichr--Queries(rank=389); GTEx--Coexpression(rank=398)","308","0.07371000000000000","ARCHS4 Coexpression,0.07371"
"GATA6","1.327450701710343850","1.327450701710343850","1.327450701710343850","Activated","111","viper","111","1.327450701710343850",NA,NA,"5","Literature--ChIP-seq(rank=122); ReMap--ChIP-seq(rank=193); Enrichr--Queries(rank=242); ARCHS4--Coexpression(rank=578); GTEx--Coexpression(rank=1150)","655","0.17240000000000000","Enrichr Queries,0.1724"
"XBP1","-1.326861879045745596","-1.326861879045745596","1.326861879045745596","Repressed","112","viper","112","1.326861879045745596",NA,NA,"4","ReMap--ChIP-seq(rank=208); GTEx--Coexpression(rank=691); ARCHS4--Coexpression(rank=1296); Enrichr--Queries(rank=1340)","1213","0.42999999999999999","GTEx Coexpression,0.43"
"ESR1","1.324445815979662600","1.324445815979662600","1.324445815979662600","Activated","113","viper","113","1.324445815979662600",NA,NA,"6","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=177); Enrichr--Queries(rank=231); GTEx--Coexpression(rank=497); ARCHS4--Coexpression(rank=1192)","181","0.04268000000000000","Literature ChIP-seq,0.04268"
"ARID2","-1.315910328414576336","-1.315910328414576336","1.315910328414576336","Repressed","114","viper","114","1.315910328414576336",NA,NA,"4","ReMap--ChIP-seq(rank=142); GTEx--Coexpression(rank=498); Enrichr--Queries(rank=1250); ARCHS4--Coexpression(rank=1572)","983","0.30990000000000001","GTEx Coexpression,0.3099"
"FLI1","-1.315896586185884676","-1.315896586185884676","1.315896586185884676","Repressed","115","viper","115","1.315896586185884676",NA,NA,"6","Enrichr--Queries(rank=53); ReMap--ChIP-seq(rank=58); ENCODE--ChIP-seq(rank=116); Literature--ChIP-seq(rank=118); ARCHS4--Coexpression(rank=328); GTEx--Coexpression(rank=609)","162","0.03775000000000000","Enrichr Queries,0.03775"
"GABPA","-1.301230716213743088","-1.301230716213743088","1.301230716213743088","Repressed","116","viper","116","1.301230716213743088",NA,NA,"6","ENCODE--ChIP-seq(rank=93); Literature--ChIP-seq(rank=138); ReMap--ChIP-seq(rank=148); ARCHS4--Coexpression(rank=1166); Enrichr--Queries(rank=1333); GTEx--Coexpression(rank=1606)","1311","0.49830000000000002","ReMap ChIP-seq,0.4983"
"ATF7","-1.296595667984147937","-1.296595667984147937","1.296595667984147937","Repressed","117","viper","117","1.296595667984147937",NA,NA,"4","ReMap--ChIP-seq(rank=22); ARCHS4--Coexpression(rank=311); Enrichr--Queries(rank=1262); GTEx--Coexpression(rank=1552)","310","0.07407000000000000","ReMap ChIP-seq,0.07407"
"TBX21","1.244556828660605019","1.244556828660605019","1.244556828660605019","Activated","118","viper","118","1.244556828660605019",NA,NA,"4","ReMap--ChIP-seq(rank=199); GTEx--Coexpression(rank=224); Enrichr--Queries(rank=284); ARCHS4--Coexpression(rank=952)","541","0.13940000000000000","GTEx Coexpression,0.1394"
"TFDP1","1.241723378812114920","1.241723378812114920","1.241723378812114920","Activated","119","viper","119","1.241723378812114920",NA,NA,"4","ReMap--ChIP-seq(rank=77); ARCHS4--Coexpression(rank=1269); Enrichr--Queries(rank=1358); GTEx--Coexpression(rank=1501)","876","0.25929999999999997","ReMap ChIP-seq,0.2593"
"NFATC1","1.229636312650028707","1.229636312650028707","1.229636312650028707","Activated","120","viper","120","1.229636312650028707",NA,NA,"5","ENCODE--ChIP-seq(rank=94); ReMap--ChIP-seq(rank=276); GTEx--Coexpression(rank=379); ARCHS4--Coexpression(rank=610); Enrichr--Queries(rank=692)","820","0.23580000000000001","GTEx Coexpression,0.2358"
"ZNF384","1.228599922442787262","1.228599922442787262","1.228599922442787262","Activated","121","viper","121","1.228599922442787262",NA,NA,"5","ENCODE--ChIP-seq(rank=81); ReMap--ChIP-seq(rank=196); GTEx--Coexpression(rank=956); Enrichr--Queries(rank=1252); ARCHS4--Coexpression(rank=1558)","1431","0.59489999999999998","GTEx Coexpression,0.5949"
"NFYA","1.217987204094143738","1.217987204094143738","1.217987204094143738","Activated","122","viper","122","1.217987204094143738",NA,NA,"5","ReMap--ChIP-seq(rank=45); ENCODE--ChIP-seq(rank=85); GTEx--Coexpression(rank=199); Enrichr--Queries(rank=1205); ARCHS4--Coexpression(rank=1437)","494","0.12379999999999999","GTEx Coexpression,0.1238"
"IRF2","1.190887526129383200","1.190887526129383200","1.190887526129383200","Activated","123","viper","123","1.190887526129383200",NA,NA,"4","ReMap--ChIP-seq(rank=123); ARCHS4--Coexpression(rank=401); Enrichr--Queries(rank=761); GTEx--Coexpression(rank=808)","848","0.24629999999999999","ARCHS4 Coexpression,0.2463"
"MYOD1","1.122763866861892446","1.122763866861892446","1.122763866861892446","Activated","124","viper","124","1.122763866861892446",NA,NA,"5","ENCODE--ChIP-seq(rank=8); ARCHS4--Coexpression(rank=36); ReMap--ChIP-seq(rank=136); Enrichr--Queries(rank=323); GTEx--Coexpression(rank=348)","95","0.02211000000000000","ARCHS4 Coexpression,0.02211"
"MYBL2","1.103091190044894532","1.103091190044894532","1.103091190044894532","Activated","125","viper","125","1.103091190044894532",NA,NA,"6","Literature--ChIP-seq(rank=24); ENCODE--ChIP-seq(rank=74); ReMap--ChIP-seq(rank=84); GTEx--Coexpression(rank=1334); Enrichr--Queries(rank=1356); ARCHS4--Coexpression(rank=1472)","566","0.14630000000000001","Literature ChIP-seq,0.1463"
"E2F2","-1.101640544347264772","-1.101640544347264772","1.101640544347264772","Repressed","126","viper","126","1.101640544347264772",NA,NA,"3","GTEx--Coexpression(rank=210); ARCHS4--Coexpression(rank=1322); Enrichr--Queries(rank=1362)","518","0.13070000000000001","GTEx Coexpression,0.1307"
"FOXP2","-1.098021867415763131","-1.098021867415763131","1.098021867415763131","Repressed","127","viper","127","1.098021867415763131",NA,NA,"6","Literature--ChIP-seq(rank=83); GTEx--Coexpression(rank=84); ReMap--ChIP-seq(rank=100); ENCODE--ChIP-seq(rank=117); Enrichr--Queries(rank=232); ARCHS4--Coexpression(rank=1017)","222","0.05227000000000000","GTEx Coexpression,0.05227"
"SIX2","-1.095084937526026314","-1.095084937526026314","1.095084937526026314","Repressed","128","viper","128","1.095084937526026314",NA,NA,"4","ARCHS4--Coexpression(rank=86); Enrichr--Queries(rank=229); ReMap--ChIP-seq(rank=233); GTEx--Coexpression(rank=321)","224","0.05283000000000000","ARCHS4 Coexpression,0.05283"
"GATA1","-1.092339574090869236","-1.092339574090869236","1.092339574090869236","Repressed","129","viper","129","1.092339574090869236",NA,NA,"6","ENCODE--ChIP-seq(rank=37); Literature--ChIP-seq(rank=93); ReMap--ChIP-seq(rank=234); ARCHS4--Coexpression(rank=555); Enrichr--Queries(rank=798); GTEx--Coexpression(rank=1067)","988","0.31359999999999999","ENCODE ChIP-seq,0.3136"
"NFE2L2","-1.075944104479807262","-1.075944104479807262","1.075944104479807262","Repressed","130","viper","130","1.075944104479807262",NA,NA,"5","ReMap--ChIP-seq(rank=59); Literature--ChIP-seq(rank=67); GTEx--Coexpression(rank=182); Enrichr--Queries(rank=527); ARCHS4--Coexpression(rank=764)","454","0.11330000000000000","GTEx Coexpression,0.1133"
"GLI2","1.070473051275768750","1.070473051275768750","1.070473051275768750","Activated","131","viper","131","1.070473051275768750",NA,NA,"3","Enrichr--Queries(rank=43); GTEx--Coexpression(rank=120); ARCHS4--Coexpression(rank=349)","132","0.03063000000000000","Enrichr Queries,0.03063"
"CUX1","1.068697701816671009","1.068697701816671009","1.068697701816671009","Activated","132","viper","132","1.068697701816671009",NA,NA,"6","ENCODE--ChIP-seq(rank=100); Literature--ChIP-seq(rank=105); ReMap--ChIP-seq(rank=138); GTEx--Coexpression(rank=227); Enrichr--Queries(rank=916); ARCHS4--Coexpression(rank=1026)","546","0.14130000000000001","GTEx Coexpression,0.1413"
"FOXL2","1.042865198185738196","1.042865198185738196","1.042865198185738196","Activated","133","viper","133","1.042865198185738196",NA,NA,"3","Enrichr--Queries(rank=468); GTEx--Coexpression(rank=549); ARCHS4--Coexpression(rank=991)","1026","0.33329999999999999","Enrichr Queries,0.3333"
"DUX4","-1.042692442106559092","-1.042692442106559092","1.042692442106559092","Repressed","134","viper","134","1.042692442106559092",NA,NA,"2","ReMap--ChIP-seq(rank=288); ARCHS4--Coexpression(rank=743)","1260","0.45639999999999997","ARCHS4 Coexpression,0.4564"
"POU5F1","-1.027413565115453675","-1.027413565115453675","1.027413565115453675","Repressed","135","viper","135","1.027413565115453675",NA,NA,"5","Literature--ChIP-seq(rank=39); ReMap--ChIP-seq(rank=41); Enrichr--Queries(rank=878); GTEx--Coexpression(rank=898); ARCHS4--Coexpression(rank=1311)","537","0.13800000000000001","ReMap ChIP-seq,0.138"
"SPI1","1.021543174944411492","1.021543174944411492","1.021543174944411492","Activated","136","viper","136","1.021543174944411492",NA,NA,"6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=99); Enrichr--Queries(rank=621); GTEx--Coexpression(rank=686); ARCHS4--Coexpression(rank=798)","78","0.01829000000000000","Literature ChIP-seq,0.01829"
"TCF7L2","-1.014289115693373544","-1.014289115693373544","1.014289115693373544","Repressed","137","viper","137","1.014289115693373544",NA,NA,"6","ENCODE--ChIP-seq(rank=72); ReMap--ChIP-seq(rank=103); Literature--ChIP-seq(rank=146); GTEx--Coexpression(rank=519); ARCHS4--Coexpression(rank=638); Enrichr--Queries(rank=847)","1012","0.32300000000000001","GTEx Coexpression,0.323"
"MEF2C","-0.997700601269394416","-0.997700601269394416","0.997700601269394416","Repressed","138","viper","138","0.997700601269394416",NA,NA,"5","Enrichr--Queries(rank=20); ENCODE--ChIP-seq(rank=118); GTEx--Coexpression(rank=138); ReMap--ChIP-seq(rank=289); ARCHS4--Coexpression(rank=679)","60","0.01425000000000000","Enrichr Queries,0.01425"
"ATF2","0.972121930592748651","0.972121930592748651","0.972121930592748651","Activated","139","viper","139","0.972121930592748651",NA,NA,"5","ENCODE--ChIP-seq(rank=114); ReMap--ChIP-seq(rank=235); ARCHS4--Coexpression(rank=1198); Enrichr--Queries(rank=1266); GTEx--Coexpression(rank=1341)","1556","0.73590000000000000","ARCHS4 Coexpression,0.7359"
"ESRRA","0.970202411609344395","0.970202411609344395","0.970202411609344395","Activated","140","viper","140","0.970202411609344395",NA,NA,"5","ENCODE--ChIP-seq(rank=19); ReMap--ChIP-seq(rank=194); ARCHS4--Coexpression(rank=931); Enrichr--Queries(rank=1132); GTEx--Coexpression(rank=1407)","619","0.16100000000000000","ENCODE ChIP-seq,0.161"
"MAFB","-0.965829954781001088","-0.965829954781001088","0.965829954781001088","Repressed","141","viper","141","0.965829954781001088",NA,NA,"4","ReMap--ChIP-seq(rank=275); GTEx--Coexpression(rank=382); Enrichr--Queries(rank=407); ARCHS4--Coexpression(rank=834)","827","0.23769999999999999","GTEx Coexpression,0.2377"
"FOXJ2","-0.949091505192010909","-0.949091505192010909","0.949091505192010909","Repressed","142","viper","142","0.949091505192010909",NA,NA,"4","ReMap--ChIP-seq(rank=278); Enrichr--Queries(rank=616); GTEx--Coexpression(rank=1107); ARCHS4--Coexpression(rank=1236)","1227","0.43869999999999998","Enrichr Queries,0.4387"
"E2F1","-0.948040291725836815","-0.948040291725836815","0.948040291725836815","Repressed","143","viper","143","0.948040291725836815",NA,NA,"6","ENCODE--ChIP-seq(rank=106); Literature--ChIP-seq(rank=114); ReMap--ChIP-seq(rank=129); GTEx--Coexpression(rank=755); Enrichr--Queries(rank=1378); ARCHS4--Coexpression(rank=1447)","1220","0.43430000000000002","ReMap ChIP-seq,0.4343"
"HMBOX1","0.947017929456418939","0.947017929456418939","0.947017929456418939","Activated","144","viper","144","0.947017929456418939",NA,NA,"4","ReMap--ChIP-seq(rank=292); Enrichr--Queries(rank=1051); ARCHS4--Coexpression(rank=1226); GTEx--Coexpression(rank=1544)","1564","0.74860000000000004","Enrichr Queries,0.7486"
"TAL1","-0.938314450978269488","-0.938314450978269488","0.938314450978269488","Repressed","145","viper","145","0.938314450978269488",NA,NA,"6","ReMap--ChIP-seq(rank=20); ENCODE--ChIP-seq(rank=55); Literature--ChIP-seq(rank=104); ARCHS4--Coexpression(rank=524); Enrichr--Queries(rank=581); GTEx--Coexpression(rank=1144)","285","0.06734000000000000","ReMap ChIP-seq,0.06734"
"ETV1","-0.899399609233013875","-0.899399609233013875","0.899399609233013875","Repressed","146","viper","146","0.899399609233013875",NA,NA,"4","ReMap--ChIP-seq(rank=53); ARCHS4--Coexpression(rank=139); Enrichr--Queries(rank=566); GTEx--Coexpression(rank=980)","354","0.08538000000000000","ARCHS4 Coexpression,0.08538"
"STAT2","0.892238006900363367","0.892238006900363367","0.892238006900363367","Activated","147","viper","147","0.892238006900363367",NA,NA,"5","ENCODE--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=252); ARCHS4--Coexpression(rank=410); Enrichr--Queries(rank=485); GTEx--Coexpression(rank=499)","857","0.25180000000000002","ARCHS4 Coexpression,0.2518"
"BCL6","-0.883109763758565647","-0.883109763758565647","0.883109763758565647","Repressed","148","viper","148","0.883109763758565647",NA,NA,"5","ReMap--ChIP-seq(rank=102); Literature--ChIP-seq(rank=126); Enrichr--Queries(rank=399); ARCHS4--Coexpression(rank=824); GTEx--Coexpression(rank=1347)","933","0.28420000000000001","Enrichr Queries,0.2842"
"ERG","0.882613011940336034","0.882613011940336034","0.882613011940336034","Activated","149","viper","149","0.882613011940336034",NA,NA,"5","Enrichr--Queries(rank=39); GTEx--Coexpression(rank=53); ReMap--ChIP-seq(rank=81); Literature--ChIP-seq(rank=111); ARCHS4--Coexpression(rank=143)","120","0.02778000000000000","Enrichr Queries,0.02778"
"MAF","0.882099528756679407","0.882099528756679407","0.882099528756679407","Activated","150","viper","150","0.882099528756679407",NA,NA,"4","ReMap--ChIP-seq(rank=38); ARCHS4--Coexpression(rank=252); Enrichr--Queries(rank=349); GTEx--Coexpression(rank=389)","508","0.12790000000000001","ReMap ChIP-seq,0.1279"
"ARNT","-0.874808975966627878","-0.874808975966627878","0.874808975966627878","Repressed","151","viper","151","0.874808975966627878",NA,NA,"5","Literature--ChIP-seq(rank=37); ReMap--ChIP-seq(rank=161); Enrichr--Queries(rank=1024); GTEx--Coexpression(rank=1355); ARCHS4--Coexpression(rank=1386)","798","0.22559999999999999","Literature ChIP-seq,0.2256"
"ZFX","-0.872502742331377146","-0.872502742331377146","0.872502742331377146","Repressed","152","viper","152","0.872502742331377146",NA,NA,"5","ReMap--ChIP-seq(rank=135); Literature--ChIP-seq(rank=155); GTEx--Coexpression(rank=1366); Enrichr--Queries(rank=1380); ARCHS4--Coexpression(rank=1620)","1259","0.45450000000000002","ReMap ChIP-seq,0.4545"
"FOXO4","-0.831393661597493172","-0.831393661597493172","0.831393661597493172","Repressed","153","viper","153","0.831393661597493172",NA,NA,"3","Enrichr--Queries(rank=694); ARCHS4--Coexpression(rank=954); GTEx--Coexpression(rank=1577)","1304","0.49430000000000002","Enrichr Queries,0.4943"
"NFKB1","0.825241253941964237","0.825241253941964237","0.825241253941964237","Activated","154","viper","154","0.825241253941964237",NA,NA,"4","ReMap--ChIP-seq(rank=87); ARCHS4--Coexpression(rank=1088); Enrichr--Queries(rank=1226); GTEx--Coexpression(rank=1387)","949","0.29289999999999999","ReMap ChIP-seq,0.2929"
"AR","0.798013446343106891","0.798013446343106891","0.798013446343106891","Activated","155","viper","155","0.798013446343106891",NA,NA,"5","Literature--ChIP-seq(rank=113); Enrichr--Queries(rank=194); ReMap--ChIP-seq(rank=247); GTEx--Coexpression(rank=516); ARCHS4--Coexpression(rank=882)","538","0.13819999999999999","Enrichr Queries,0.1382"
"IKZF1","-0.783551442742978610","-0.783551442742978610","0.783551442742978610","Repressed","156","viper","156","0.783551442742978610",NA,NA,"6","Literature--ChIP-seq(rank=18); ENCODE--ChIP-seq(rank=76); ReMap--ChIP-seq(rank=86); ARCHS4--Coexpression(rank=267); GTEx--Coexpression(rank=413); Enrichr--Queries(rank=614)","442","0.10979999999999999","Literature ChIP-seq,0.1098"
"SMAD1","0.774798493828708357","0.774798493828708357","0.774798493828708357","Activated","157","viper","157","0.774798493828708357",NA,NA,"5","Literature--ChIP-seq(rank=76); ReMap--ChIP-seq(rank=182); ARCHS4--Coexpression(rank=466); Enrichr--Queries(rank=856); GTEx--Coexpression(rank=1496)","937","0.28620000000000001","ARCHS4 Coexpression,0.2862"
"FOXK2","-0.755938919797118025","-0.755938919797118025","0.755938919797118025","Repressed","158","viper","158","0.755938919797118025",NA,NA,"4","ReMap--ChIP-seq(rank=212); Enrichr--Queries(rank=1283); ARCHS4--Coexpression(rank=1471); GTEx--Coexpression(rank=1516)","1541","0.71379999999999999","ReMap ChIP-seq,0.7138"
"TEAD4","-0.753635101329178658","-0.753635101329178658","0.753635101329178658","Repressed","159","viper","159","0.753635101329178658",NA,NA,"6","ENCODE--ChIP-seq(rank=25); Literature--ChIP-seq(rank=144); ReMap--ChIP-seq(rank=179); GTEx--Coexpression(rank=693); ARCHS4--Coexpression(rank=772); Enrichr--Queries(rank=855)","768","0.21190000000000001","ENCODE ChIP-seq,0.2119"
"OTX2","-0.750107592065364592","-0.750107592065364592","0.750107592065364592","Repressed","160","viper","160","0.750107592065364592",NA,NA,"4","Enrichr--Queries(rank=19); ReMap--ChIP-seq(rank=268); GTEx--Coexpression(rank=806); ARCHS4--Coexpression(rank=967)","57","0.01353000000000000","Enrichr Queries,0.01353"
"TWIST1","0.742188963255904111","0.742188963255904111","0.742188963255904111","Activated","161","viper","161","0.742188963255904111",NA,NA,"4","ARCHS4--Coexpression(rank=18); ReMap--ChIP-seq(rank=151); GTEx--Coexpression(rank=255); Enrichr--Queries(rank=396)","47","0.01106000000000000","ARCHS4 Coexpression,0.01106"
"HOXA9","0.734325417706993333","0.734325417706993333","0.734325417706993333","Activated","162","viper","162","0.734325417706993333",NA,NA,"4","Enrichr--Queries(rank=111); ReMap--ChIP-seq(rank=273); ARCHS4--Coexpression(rank=435); GTEx--Coexpression(rank=795)","326","0.07906000000000001","Enrichr Queries,0.07906"
"MYB","0.733394601230580201","0.733394601230580201","0.733394601230580201","Activated","163","viper","163","0.733394601230580201",NA,NA,"6","ENCODE--ChIP-seq(rank=29); Literature--ChIP-seq(rank=63); ReMap--ChIP-seq(rank=106); Enrichr--Queries(rank=714); GTEx--Coexpression(rank=754); ARCHS4--Coexpression(rank=1258)","845","0.24579999999999999","ENCODE ChIP-seq,0.2458"
"SMAD5","-0.725042345329915294","-0.725042345329915294","0.725042345329915294","Repressed","164","viper","164","0.725042345329915294",NA,NA,"4","ReMap--ChIP-seq(rank=244); ARCHS4--Coexpression(rank=640); Enrichr--Queries(rank=688); GTEx--Coexpression(rank=1538)","1140","0.39310000000000000","ARCHS4 Coexpression,0.3931"
