Pathway ID	Name	pvalue	DEG number	DEG Density	Intersecton size	DEGs in Intersection	Result	Reciprocal pvalue	Filtered	Versus	Versus Name	Is Reciprocal	Top Genes
REACTOME_CO_INHIBITION_BY_CTLA4	REACTOME_CO_INHIBITION_BY_CTLA4	0.0265	9	0.4286	6	5	0.0294	0.0823	exclude	REACTOME_SIGNALING_BY_SCF_KIT	REACTOME_SIGNALING_BY_SCF_KIT	False	PPP2R5E,PPP2R5D,FYN,YES1,SRC,PPP2R5C,LYN,PTPN11,AKT3
REACTOME_REGULATION_OF_PD_L1_CD274_TRANSLATION	REACTOME_REGULATION_OF_PD_L1_CD274_TRANSLATION	0.0268	4	0.2857	8	4	0.0699	0.5726	keep	REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING	REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING	False	AGO1,AGO2,AGO4,TNRC6B
REACTOME_SUMOYLATION_OF_DNA_DAMAGE_RESPONSE_AND_REPAIR_PROTEINS	REACTOME_SUMOYLATION_OF_DNA_DAMAGE_RESPONSE_AND_REPAIR_PROTEINS	0.0269	34	0.4416	5	4	0.115	0.5	keep	REACTOME_COHESIN_LOADING_ONTO_CHROMATIN	REACTOME_COHESIN_LOADING_ONTO_CHROMATIN	False	NUP133,NUP188,POM121,SCMH1,CDKN2A,SUMO1,NUP93,PHC3,NUP58,NDC1,SMC1A,BRCA1,BLM,RPA1,WRN,RANBP2,PIAS1,SMC6,NUP155,SP100
REACTOME_REGULATION_OF_PD_L1_CD274_POST_TRANSLATIONAL_MODIFICATION	REACTOME_REGULATION_OF_PD_L1_CD274_POST_TRANSLATIONAL_MODIFICATION	0.0277	41	0.4767	41	27	0.0012	0.5762	exclude	REACTOME_HH_MUTANTS_ABROGATE_LIGAND_SECRETION	REACTOME_HH_MUTANTS_ABROGATE_LIGAND_SECRETION	False	CCND1,DERL2,PSMC5,PSMD6,PDCD1,SKP1,PSMC3,OS9,PSMB7,PRKAB1,TMEM258,PSMD11,RBX1,DERL1,PSMA2,PSMB5,PSMC4,STT3A,PSMC6,PSMB6
REACTOME_UREA_CYCLE	REACTOME_UREA_CYCLE	0.0278	2	0.1667	0	0	1	0	keep	itself		True	ARG2,ASS1
REACTOME_FATTY_ACID_METABOLISM	REACTOME_FATTY_ACID_METABOLISM	0.0279	27	0.1543	4	4	4.65e-04	0.0714	exclude	REACTOME_CHREBP_ACTIVATES_METABOLIC_GENE_EXPRESSION	REACTOME_CHREBP_ACTIVATES_METABOLIC_GENE_EXPRESSION	False	EHHADH,TECR,HPGD,HSD17B12,CRAT,ACOT7,SLC27A1,ACOX1,ACACB,ABCC1,PCCA,ACLY,PRKAA2,ACSL3,HADHA,ELOVL6,ABCD1,FADS1,RXRA,LTA4H
REACTOME_KINESINS	REACTOME_KINESINS	0.028	13	0.2131	0	0	1	0	keep	itself		True	KIF16B,KIF20A,KIF21A,TUBB2B,KIF20B,KIF2A,KIF3C,CENPE,KIF13B,TUBB4A,KIF1B,KIF1A,KIF21B
REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS	REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS	0.028	5	0.1667	3	3	0.0025	0.3548	exclude	REACTOME_RORA_B_C_AND_NR1D1_REV_ERBA_REGULATE_GENE_EXPRESSION	REACTOME_RORA_B_C_AND_NR1D1_REV_ERBA_REGULATE_GENE_EXPRESSION	False	RXRA,PPARA,VDR,RORA,THRA
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	0.0281	41	0.4184	36	24	1.61e-04	0.4845	exclude	REACTOME_HH_MUTANTS_ABROGATE_LIGAND_SECRETION	REACTOME_HH_MUTANTS_ABROGATE_LIGAND_SECRETION	False	MYD88,SEC61A1,PSMC5,PSMD6,SEC61G,TLR2,PSMC3,SEC61B,PSMB7,HMGB1,PSMD11,PSMA2,TAP2,FGA,CTSL,PSMB5,PSMC4,HLA-A,PSMC6,PSMB6
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	0.0285	35	0.2652	0	0	1	0	keep	itself		True	THBS1,PDGFB,PDGFA,TGFB2,QSOX1,ISLR,CLU,RARRES2,ITIH3,SERPINE1,WDR1,FAM3C,GAS6,TIMP1,IGF2,PCYOX1L,IGF1,PFN1,BRPF3,MANF
