Pathway,CYTOSOLIC LARGE RIBOSOMAL SUBUNIT,CYTOSOLIC RIBOSOME,RIBOSOME,RIBOSOMAL SUBUNIT,LARGE RIBOSOMAL SUBUNIT,MITOCHONDRIAL LARGE RIBOSOMAL SUBUNIT,ORGANELLAR RIBOSOME,MITOCHONDRIAL PROTEIN CONTAINING COMPLEX,CYTOSOLIC SMALL RIBOSOMAL SUBUNIT,SMALL RIBOSOMAL SUBUNIT,CELL SUBSTRATE JUNCTION,CYTOPLASMIC STRESS GRANULE,RESPIRATORY CHAIN COMPLEX,PROTON TRANSPORTING ATP SYNTHASE COMPLEX,PROTON TRANSPORTING TWO SECTOR ATPASE COMPLEX,"PROTON TRANSPORTING TWO SECTOR ATPASE COMPLEX
PROTON TRANSPORTING DOMAIN",PROTON TRANSPORTING V TYPE ATPASE COMPLEX,EXOCYTIC VESICLE,NUCLEAR RIBONUCLEOPROTEIN GRANULE,NUCLEAR SPECK,SPLICEOSOMAL TRI SNRNP COMPLEX,U4ATAC U6ATAC X U5 TRI SNRNP COMPLEX,U4 U6 SNRNP,PRECATALYTIC SPLICEOSOME,U2 TYPE PRECATALYTIC SPLICEOSOME,NADH DEHYDROGENASE COMPLEX,OXIDOREDUCTASE COMPLEX,RESPIRATORY CHAIN COMPLEX IV,CYTOCHROME COMPLEX,T UTP COMPLEX,ENDOPLASMIC RETICULUM LUMEN,RECYCLING ENDOSOME MEMBRANE,TRANS GOLGI NETWORK,"RNA POLYMERASE TRANSCRIPTION FACTOR SL1
COMPLEX","RNA POLYMERASE I TRANSCRIPTION REGULATOR
COMPLEX",PHOSPHORYLASE KINASE COMPLEX,INTERMEDIATE FILAMENT CYTOSKELETON,UBIQUITIN LIGASE COMPLEX,GTPASE COMPLEX,UDP N ACETYLGLUCOSAMINE TRANSFERASE COMPLEX
CELL SUBSTRATE JUNCTION,0.05515587529976019,0.09832134292565947,0.10311750599520383,0.10071942446043165,0.05755395683453238,0.0,0.0,0.002398081534772182,0.04316546762589928,0.045563549160671464,1.0,0.009592326139088728,0.0,0.0,0.002398081534772182,0.002398081534772182,0.002398081534772182,0.014388489208633094,0.019184652278177457,0.019184652278177457,0.0,0.0,0.0,0.0,0.0,0.0,0.014388489208633094,0.0,0.0,0.0,0.0407673860911271,0.019184652278177457,0.02158273381294964,0.0,0.0,0.0,0.016786570743405275,0.004796163069544364,0.007194244604316547,0.0
CYTOPLASMIC STRESS GRANULE,0.0,0.02040816326530612,0.05102040816326531,0.02040816326530612,0.0,0.0,0.0,0.0,0.02040816326530612,0.02040816326530612,0.04081632653061224,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17346938775510204,0.12244897959183673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030612244897959183,0.0,0.0,0.0,0.01020408163265306,0.02040816326530612,0.0,0.0
RESPIRATORY CHAIN COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,1.0,0.19298245614035087,0.19298245614035087,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41228070175438597,0.4473684210526316,0.21929824561403508,0.34210526315789475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROTON TRANSPORTING ATP SYNTHASE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROTON TRANSPORTING TWO SECTOR ATPASE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.43137254901960786,0.43137254901960786,1.0,0.29411764705882354,0.5490196078431373,0.3137254901960784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PROTON TRANSPORTING TWO SECTOR ATPASE COMPLEX
PROTON TRANSPORTING DOMAIN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.2,0.2,1.0,1.0,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROTON TRANSPORTING V TYPE ATPASE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,1.0,0.42857142857142855,1.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXOCYTIC VESICLE,0.0,0.0,0.010676156583629894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021352313167259787,0.0,0.0,0.0,0.05693950177935943,0.021352313167259787,0.05693950177935943,1.0,0.0071174377224199285,0.0071174377224199285,0.0,0.0,0.0,0.0,0.0,0.0,0.0035587188612099642,0.0,0.0,0.0,0.021352313167259787,0.0711743772241993,0.10320284697508897,0.0,0.0,0.0,0.0071174377224199285,0.010676156583629894,0.0,0.0
NUCLEAR RIBONUCLEOPROTEIN GRANULE,0.0,0.004158004158004158,0.010395010395010396,0.002079002079002079,0.002079002079002079,0.0,0.0,0.002079002079002079,0.0,0.002079002079002079,0.016632016632016633,0.035343035343035345,0.0,0.0,0.0,0.0,0.0,0.004158004158004158,1.0,0.841995841995842,0.02494802494802495,0.016632016632016633,0.010395010395010396,0.05405405405405406,0.04365904365904366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006237006237006237,0.0,0.0,0.0,0.010395010395010396,0.02702702702702703,0.0,0.0
NUCLEAR SPECK,0.0,0.0049382716049382715,0.012345679012345678,0.0024691358024691358,0.0024691358024691358,0.0,0.0,0.0024691358024691358,0.0,0.0024691358024691358,0.019753086419753086,0.02962962962962963,0.0,0.0,0.0,0.0,0.0,0.0049382716049382715,1.0,1.0,0.02962962962962963,0.019753086419753086,0.012345679012345678,0.06172839506172839,0.05185185185185185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049382716049382715,0.0,0.0,0.0,0.009876543209876543,0.02962962962962963,0.0,0.0
SPLICEOSOMAL TRI SNRNP COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2553191489361702,0.2553191489361702,1.0,0.5957446808510638,0.425531914893617,0.7021276595744681,0.5319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U4ATAC U6ATAC X U5 TRI SNRNP COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,1.0,1.0,0.6428571428571429,1.0,0.8214285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U4 U6 SNRNP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,1.0,0.9,1.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRECATALYTIC SPLICEOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37142857142857144,0.35714285714285715,0.4714285714285714,0.4,0.2571428571428571,1.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U2 TYPE PRECATALYTIC SPLICEOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,0.5,0.46,0.36,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NADH DEHYDROGENASE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.02127659574468085,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXIDOREDUCTASE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02586206896551724,0.0,0.0,0.05172413793103448,0.0,0.4396551724137931,0.0,0.0,0.0,0.0,0.008620689655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4051724137931034,1.0,0.008620689655172414,0.008620689655172414,0.0,0.017241379310344827,0.008620689655172414,0.008620689655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RESPIRATORY CHAIN COMPLEX IV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYTOCHROME COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T UTP COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENDOPLASMIC RETICULUM LUMEN,0.0,0.0,0.003067484662576687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05214723926380368,0.0,0.0,0.0,0.0,0.0,0.0,0.018404907975460124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006134969325153374,0.0,0.0,0.0,1.0,0.006134969325153374,0.018404907975460124,0.0,0.0,0.0,0.0,0.003067484662576687,0.0,0.0
RECYCLING ENDOSOME MEMBRANE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07339449541284404,0.0,0.0,0.0,0.0,0.0,0.0,0.1834862385321101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009174311926605505,0.0,0.0,0.0,0.01834862385321101,1.0,0.26605504587155965,0.0,0.0,0.0,0.0,0.009174311926605505,0.0,0.0
TRANS GOLGI NETWORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031914893617021274,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.10283687943262411,0.010638297872340425,0.0070921985815602835,0.0,0.0,0.0,0.0,0.0,0.0,0.0035460992907801418,0.0,0.0,0.0,0.02127659574468085,0.10283687943262411,1.0,0.0,0.0,0.0,0.0070921985815602835,0.0035460992907801418,0.0035460992907801418,0.0
"RNA POLYMERASE TRANSCRIPTION FACTOR SL1
COMPLEX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
"RNA POLYMERASE I TRANSCRIPTION REGULATOR
COMPLEX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,0.0,0.0,0.0,0.0,0.0
PHOSPHORYLASE KINASE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
INTERMEDIATE FILAMENT CYTOSKELETON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030042918454935622,0.004291845493562232,0.0,0.0,0.0,0.0,0.0,0.008583690987124463,0.02145922746781116,0.017167381974248927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008583690987124463,0.0,0.0,0.0,1.0,0.004291845493562232,0.0,0.0
UBIQUITIN LIGASE COMPLEX,0.0,0.0024154589371980675,0.0024154589371980675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004830917874396135,0.004830917874396135,0.0,0.0,0.0,0.0,0.0,0.007246376811594203,0.03140096618357488,0.028985507246376812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024154589371980675,0.0024154589371980675,0.0024154589371980675,0.0,0.0,0.0,0.0024154589371980675,1.0,0.0,0.0
GTPASE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,1.0,0.0
UDP N ACETYLGLUCOSAMINE TRANSFERASE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
