"TF","MVL_ALL","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"SP2","-2.768102421820280323","-2.768102421820280323","2.768102421820280323","Repressed","11","viper","11","2.768102421820280323",NA,NA,"5","ENCODE--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=162); GTEx--Coexpression(rank=170); ARCHS4--Coexpression(rank=499); Enrichr--Queries(rank=602)","453","0.10580000000000001","GTEx Coexpression,0.1058"
"NFYB","-2.749926928716638130","-2.749926928716638130","2.749926928716638130","Repressed","12","viper","12","2.749926928716638130",NA,NA,"5","ENCODE--ChIP-seq(rank=17); ReMap--ChIP-seq(rank=100); Enrichr--Queries(rank=282); ARCHS4--Coexpression(rank=1146); GTEx--Coexpression(rank=1552)","598","0.14410000000000001","ENCODE ChIP-seq,0.1441"
"NANOG","2.744738628746309583","2.744738628746309583","2.744738628746309583","Activated","13","viper","13","2.744738628746309583",NA,NA,"6","ReMap--ChIP-seq(rank=11); Literature--ChIP-seq(rank=31); ENCODE--ChIP-seq(rank=118); Enrichr--Queries(rank=831); ARCHS4--Coexpression(rank=1242); GTEx--Coexpression(rank=1450)","179","0.03704000000000000","ReMap ChIP-seq,0.03704"
"EPAS1","2.693046950021866337","2.693046950021866337","2.693046950021866337","Activated","14","viper","14","2.693046950021866337",NA,NA,"4","ReMap--ChIP-seq(rank=8); GTEx--Coexpression(rank=84); Enrichr--Queries(rank=989); ARCHS4--Coexpression(rank=1186)","133","0.02694000000000000","ReMap ChIP-seq,0.02694"
"ZBTB11","-2.641992313835700656","-2.641992313835700656","2.641992313835700656","Repressed","15","viper","15","2.641992313835700656",NA,NA,"4","ReMap--ChIP-seq(rank=241); GTEx--Coexpression(rank=414); Enrichr--Queries(rank=477); ARCHS4--Coexpression(rank=1201)","951","0.25760000000000000","GTEx Coexpression,0.2576"
"ZNF143","-2.523082917294508398","-2.523082917294508398","2.523082917294508398","Repressed","16","viper","16","2.523082917294508398",NA,NA,"5","ENCODE--ChIP-seq(rank=60); ReMap--ChIP-seq(rank=103); GTEx--Coexpression(rank=694); Enrichr--Queries(rank=1033); ARCHS4--Coexpression(rank=1425)","1160","0.34680000000000000","ReMap ChIP-seq,0.3468"
"VDR","2.370857928084026067","2.370857928084026067","2.370857928084026067","Activated","17","viper","17","2.370857928084026067",NA,NA,"5","Literature--ChIP-seq(rank=79); GTEx--Coexpression(rank=102); ReMap--ChIP-seq(rank=116); ARCHS4--Coexpression(rank=538); Enrichr--Queries(rank=777)","289","0.06347000000000000","GTEx Coexpression,0.06347"
"RFX2","2.347511482909657499","2.347511482909657499","2.347511482909657499","Activated","18","viper","18","2.347511482909657499",NA,NA,"4","ARCHS4--Coexpression(rank=73); ReMap--ChIP-seq(rank=258); Enrichr--Queries(rank=729); GTEx--Coexpression(rank=1311)","211","0.04484000000000000","ARCHS4 Coexpression,0.04484"
"SP3","2.289237757558217901","2.289237757558217901","2.289237757558217901","Activated","19","viper","19","2.289237757558217901",NA,NA,"3","ARCHS4--Coexpression(rank=39); Enrichr--Queries(rank=96); GTEx--Coexpression(rank=957)","117","0.02396000000000000","ARCHS4 Coexpression,0.02396"
"ZNF639","2.280093575351011648","2.280093575351011648","2.280093575351011648","Activated","20","viper","20","2.280093575351011648",NA,NA,"4","ReMap--ChIP-seq(rank=265); Enrichr--Queries(rank=294); ARCHS4--Coexpression(rank=1083); GTEx--Coexpression(rank=1539)","813","0.20940000000000000","Enrichr Queries,0.2094"
"HNF1B","2.264740434704267447","2.264740434704267447","2.264740434704267447","Activated","21","viper","21","2.264740434704267447",NA,NA,"3","ReMap--ChIP-seq(rank=50); ARCHS4--Coexpression(rank=327); Enrichr--Queries(rank=1172)","680","0.16839999999999999","ReMap ChIP-seq,0.1684"
"PDX1","2.216661418137900963","2.216661418137900963","2.216661418137900963","Activated","22","viper","22","2.216661418137900963",NA,NA,"5","ReMap--ChIP-seq(rank=133); Literature--ChIP-seq(rank=137); ARCHS4--Coexpression(rank=258); GTEx--Coexpression(rank=462); Enrichr--Queries(rank=1388)","639","0.15850000000000000","ARCHS4 Coexpression,0.1585"
"MEIS2","2.099693253751308220","2.099693253751308220","2.099693253751308220","Activated","23","viper","23","2.099693253751308220",NA,NA,"4","ARCHS4--Coexpression(rank=128); ReMap--ChIP-seq(rank=277); Enrichr--Queries(rank=1093); GTEx--Coexpression(rank=1407)","350","0.07862000000000000","ARCHS4 Coexpression,0.07862"
"HMBOX1","-2.010780017896028227","-2.010780017896028227","2.010780017896028227","Repressed","24","viper","24","2.010780017896028227",NA,NA,"4","ReMap--ChIP-seq(rank=31); Enrichr--Queries(rank=95); GTEx--Coexpression(rank=1085); ARCHS4--Coexpression(rank=1182)","306","0.06766000000000000","Enrichr Queries,0.06766"
"MYC","-1.988376754554812331","-1.988376754554812331","1.988376754554812331","Repressed","25","viper","25","1.988376754554812331",NA,NA,"6","ENCODE--ChIP-seq(rank=33); Literature--ChIP-seq(rank=68); GTEx--Coexpression(rank=76); ReMap--ChIP-seq(rank=131); ARCHS4--Coexpression(rank=776); Enrichr--Queries(rank=936)","221","0.04729000000000000","GTEx Coexpression,0.04729"
"ZBTB33","-1.984839464013694377","-1.984839464013694377","1.984839464013694377","Repressed","26","viper","26","1.984839464013694377",NA,NA,"5","ARCHS4--Coexpression(rank=49); GTEx--Coexpression(rank=56); ENCODE--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=207); Enrichr--Queries(rank=593)","146","0.03010000000000000","ARCHS4 Coexpression,0.0301"
"KLF13","1.984157706245665009","1.984157706245665009","1.984157706245665009","Activated","27","viper","27","1.984157706245665009",NA,NA,"4","ARCHS4--Coexpression(rank=28); ReMap--ChIP-seq(rank=245); Enrichr--Queries(rank=358); GTEx--Coexpression(rank=523)","85","0.01720000000000000","ARCHS4 Coexpression,0.0172"
"TGIF2","1.980054675207657322","1.980054675207657322","1.980054675207657322","Activated","28","viper","28","1.980054675207657322",NA,NA,"4","ReMap--ChIP-seq(rank=82); ARCHS4--Coexpression(rank=535); GTEx--Coexpression(rank=739); Enrichr--Queries(rank=1307)","999","0.27610000000000001","ReMap ChIP-seq,0.2761"
"ELF1","-1.979448293318258889","-1.979448293318258889","1.979448293318258889","Repressed","29","viper","29","1.979448293318258889",NA,NA,"5","ENCODE--ChIP-seq(rank=4); Literature--ChIP-seq(rank=119); ReMap--ChIP-seq(rank=159); ARCHS4--Coexpression(rank=328); GTEx--Coexpression(rank=426)","165","0.03390000000000000","ENCODE ChIP-seq,0.0339"
"MXI1","1.905082858135543900","1.905082858135543900","1.905082858135543900","Activated","30","viper","30","1.905082858135543900",NA,NA,"5","ENCODE--ChIP-seq(rank=15); GTEx--Coexpression(rank=16); Enrichr--Queries(rank=56); ARCHS4--Coexpression(rank=59); ReMap--ChIP-seq(rank=134)","47","0.00995600000000000","GTEx Coexpression,0.009956"
"CREB3","-1.866088659584071108","-1.866088659584071108","1.866088659584071108","Repressed","31","viper","31","1.866088659584071108",NA,NA,"4","GTEx--Coexpression(rank=108); ReMap--ChIP-seq(rank=271); ARCHS4--Coexpression(rank=396); Enrichr--Queries(rank=899)","304","0.06721000000000001","GTEx Coexpression,0.06721"
"SNAPC4","-1.857788279683212584","-1.857788279683212584","1.857788279683212584","Repressed","32","viper","32","1.857788279683212584",NA,NA,"4","ReMap--ChIP-seq(rank=219); GTEx--Coexpression(rank=355); ARCHS4--Coexpression(rank=846); Enrichr--Queries(rank=986)","851","0.22090000000000001","GTEx Coexpression,0.2209"
"ATF3","1.753276490483461014","1.753276490483461014","1.753276490483461014","Activated","33","viper","33","1.753276490483461014",NA,NA,"6","Literature--ChIP-seq(rank=69); ENCODE--ChIP-seq(rank=86); ReMap--ChIP-seq(rank=124); Enrichr--Queries(rank=847); ARCHS4--Coexpression(rank=906); GTEx--Coexpression(rank=958)","1288","0.41749999999999998","ReMap ChIP-seq,0.4175"
"KDM5B","-1.721628533354170543","-1.721628533354170543","1.721628533354170543","Repressed","34","viper","34","1.721628533354170543",NA,NA,"5","ENCODE--ChIP-seq(rank=62); Literature--ChIP-seq(rank=76); GTEx--Coexpression(rank=125); ReMap--ChIP-seq(rank=158); ARCHS4--Coexpression(rank=727)","347","0.07778000000000000","GTEx Coexpression,0.07778"
"MYBL2","-1.711643160540597952","-1.711643160540597952","1.711643160540597952","Repressed","35","viper","35","1.711643160540597952",NA,NA,"6","ENCODE--ChIP-seq(rank=93); Literature--ChIP-seq(rank=94); ReMap--ChIP-seq(rank=96); GTEx--Coexpression(rank=322); Enrichr--Queries(rank=363); ARCHS4--Coexpression(rank=744)","788","0.20039999999999999","GTEx Coexpression,0.2004"
"PRDM14","1.693436028511973168","1.693436028511973168","1.693436028511973168","Activated","36","viper","36","1.693436028511973168",NA,NA,"5","Literature--ChIP-seq(rank=56); ReMap--ChIP-seq(rank=199); ARCHS4--Coexpression(rank=1194); GTEx--Coexpression(rank=1217); Enrichr--Queries(rank=1268)","1150","0.34150000000000003","Literature ChIP-seq,0.3415"
"SOX13","1.673903186923872299","1.673903186923872299","1.673903186923872299","Activated","37","viper","37","1.673903186923872299",NA,NA,"4","ReMap--ChIP-seq(rank=65); ARCHS4--Coexpression(rank=376); Enrichr--Queries(rank=646); GTEx--Coexpression(rank=995)","844","0.21890000000000001","ReMap ChIP-seq,0.2189"
"ZBTB7A","1.658429865070948583","1.658429865070948583","1.658429865070948583","Activated","38","viper","38","1.658429865070948583",NA,NA,"5","ENCODE--ChIP-seq(rank=46); ReMap--ChIP-seq(rank=178); GTEx--Coexpression(rank=718); Enrichr--Queries(rank=780); ARCHS4--Coexpression(rank=1372)","1243","0.38979999999999998","ENCODE ChIP-seq,0.3898"
"CUX1","-1.631272379071029288","-1.631272379071029288","1.631272379071029288","Repressed","39","viper","39","1.631272379071029288",NA,NA,"6","ENCODE--ChIP-seq(rank=54); Literature--ChIP-seq(rank=77); ReMap--ChIP-seq(rank=195); Enrichr--Queries(rank=310); ARCHS4--Coexpression(rank=404); GTEx--Coexpression(rank=667)","850","0.22080000000000000","Enrichr Queries,0.2208"
"POU5F1","1.595676516415066581","1.595676516415066581","1.595676516415066581","Activated","40","viper","40","1.595676516415066581",NA,NA,"5","ReMap--ChIP-seq(rank=20); Literature--ChIP-seq(rank=75); ARCHS4--Coexpression(rank=524); Enrichr--Queries(rank=605); GTEx--Coexpression(rank=915)","305","0.06734000000000000","ReMap ChIP-seq,0.06734"
"RBPJ","1.591042374743846688","1.591042374743846688","1.591042374743846688","Activated","41","viper","41","1.591042374743846688",NA,NA,"5","Literature--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=104); Enrichr--Queries(rank=803); ARCHS4--Coexpression(rank=1461); GTEx--Coexpression(rank=1467)","1168","0.35020000000000001","ReMap ChIP-seq,0.3502"
"NFYA","-1.585328246712380817","-1.585328246712380817","1.585328246712380817","Repressed","42","viper","42","1.585328246712380817",NA,NA,"5","ReMap--ChIP-seq(rank=39); ENCODE--ChIP-seq(rank=58); GTEx--Coexpression(rank=403); ARCHS4--Coexpression(rank=527); Enrichr--Queries(rank=733)","551","0.13130000000000000","ReMap ChIP-seq,0.1313"
"SIX2","1.580538319047929852","1.580538319047929852","1.580538319047929852","Activated","43","viper","43","1.580538319047929852",NA,NA,"4","ReMap--ChIP-seq(rank=76); ARCHS4--Coexpression(rank=1006); GTEx--Coexpression(rank=1006); Enrichr--Queries(rank=1067)","945","0.25590000000000002","ReMap ChIP-seq,0.2559"
"KMT2A","1.575186324644940239","1.575186324644940239","1.575186324644940239","Activated","44","viper","44","1.575186324644940239",NA,NA,"3","ReMap--ChIP-seq(rank=53); ARCHS4--Coexpression(rank=697); GTEx--Coexpression(rank=998)","718","0.17849999999999999","ReMap ChIP-seq,0.1785"
"ETS2","-1.567287034110276034","-1.567287034110276034","1.567287034110276034","Repressed","45","viper","45","1.567287034110276034",NA,NA,"4","GTEx--Coexpression(rank=105); Literature--ChIP-seq(rank=148); Enrichr--Queries(rank=516); ARCHS4--Coexpression(rank=815)","296","0.06534000000000000","GTEx Coexpression,0.06534"
"THAP1","-1.562881941473108549","-1.562881941473108549","1.562881941473108549","Repressed","46","viper","46","1.562881941473108549",NA,NA,"5","Enrichr--Queries(rank=66); ENCODE--ChIP-seq(rank=91); ReMap--ChIP-seq(rank=259); GTEx--Coexpression(rank=643); ARCHS4--Coexpression(rank=731)","219","0.04701000000000000","Enrichr Queries,0.04701"
"NR2C2","-1.559868981922936770","-1.559868981922936770","1.559868981922936770","Repressed","47","viper","47","1.559868981922936770",NA,NA,"5","ENCODE--ChIP-seq(rank=28); ReMap--ChIP-seq(rank=173); Enrichr--Queries(rank=324); ARCHS4--Coexpression(rank=326); GTEx--Coexpression(rank=471)","787","0.20019999999999999","ARCHS4 Coexpression,0.2002"
"ATF2","1.542222050829046509","1.542222050829046509","1.542222050829046509","Activated","48","viper","48","1.542222050829046509",NA,NA,"5","ENCODE--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=94); Enrichr--Queries(rank=152); GTEx--Coexpression(rank=357); ARCHS4--Coexpression(rank=1056)","462","0.10829999999999999","Enrichr Queries,0.1083"
"ATF6","-1.535575447620819878","-1.535575447620819878","1.535575447620819878","Repressed","49","viper","49","1.535575447620819878",NA,NA,"3","Enrichr--Queries(rank=241); GTEx--Coexpression(rank=264); ARCHS4--Coexpression(rank=275)","665","0.16430000000000000","GTEx Coexpression,0.1643"
"FOXO1","1.498530575202094095","1.498530575202094095","1.498530575202094095","Activated","50","viper","50","1.498530575202094095",NA,NA,"5","Literature--ChIP-seq(rank=6); Enrichr--Queries(rank=72); ReMap--ChIP-seq(rank=223); GTEx--Coexpression(rank=363); ARCHS4--Coexpression(rank=1048)","175","0.03659000000000000","Literature ChIP-seq,0.03659"
"GABPA","-1.493950757538926366","-1.493950757538926366","1.493950757538926366","Repressed","51","viper","51","1.493950757538926366",NA,NA,"6","ENCODE--ChIP-seq(rank=45); Literature--ChIP-seq(rank=118); ReMap--ChIP-seq(rank=136); Enrichr--Queries(rank=700); ARCHS4--Coexpression(rank=886); GTEx--Coexpression(rank=1601)","1231","0.38140000000000002","ENCODE ChIP-seq,0.3814"
"HNF4A","1.475823009133325092","1.475823009133325092","1.475823009133325092","Activated","52","viper","52","1.475823009133325092",NA,NA,"6","Literature--ChIP-seq(rank=8); ENCODE--ChIP-seq(rank=24); ReMap--ChIP-seq(rank=150); GTEx--Coexpression(rank=411); Enrichr--Queries(rank=508); ARCHS4--Coexpression(rank=532)","226","0.04878000000000000","Literature ChIP-seq,0.04878"
"ZFX","-1.474995940782183768","-1.474995940782183768","1.474995940782183768","Repressed","53","viper","53","1.474995940782183768",NA,NA,"5","Literature--ChIP-seq(rank=73); Enrichr--Queries(rank=169); ReMap--ChIP-seq(rank=209); GTEx--Coexpression(rank=513); ARCHS4--Coexpression(rank=1595)","506","0.12039999999999999","Enrichr Queries,0.1204"
"MBD1","1.414241039233918196","1.414241039233918196","1.414241039233918196","Activated","54","viper","54","1.414241039233918196",NA,NA,"3","GTEx--Coexpression(rank=146); Enrichr--Queries(rank=757); ARCHS4--Coexpression(rank=1017)","392","0.09085000000000000","GTEx Coexpression,0.09085"
"YY1","-1.387260284362746843","-1.387260284362746843","1.387260284362746843","Repressed","55","viper","55","1.387260284362746843",NA,NA,"6","ENCODE--ChIP-seq(rank=6); Literature--ChIP-seq(rank=107); ReMap--ChIP-seq(rank=119); Enrichr--Queries(rank=172); ARCHS4--Coexpression(rank=806); GTEx--Coexpression(rank=1130)","236","0.05085000000000000","ENCODE ChIP-seq,0.05085"
"NRF1","-1.369400952543035954","-1.369400952543035954","1.369400952543035954","Repressed","56","viper","56","1.369400952543035954",NA,NA,"5","ARCHS4--Coexpression(rank=38); ENCODE--ChIP-seq(rank=51); ReMap--ChIP-seq(rank=111); GTEx--Coexpression(rank=818); Enrichr--Queries(rank=923)","113","0.02334000000000000","ARCHS4 Coexpression,0.02334"
"CEBPG","-1.358057354034364339","-1.358057354034364339","1.358057354034364339","Repressed","57","viper","57","1.358057354034364339",NA,NA,"4","Enrichr--Queries(rank=37); ReMap--ChIP-seq(rank=281); GTEx--Coexpression(rank=521); ARCHS4--Coexpression(rank=817)","130","0.02635000000000000","Enrichr Queries,0.02635"
"PPARA","1.354511363838816429","1.354511363838816429","1.354511363838816429","Activated","58","viper","58","1.354511363838816429",NA,NA,"3","Enrichr--Queries(rank=1085); GTEx--Coexpression(rank=1091); ARCHS4--Coexpression(rank=1120)","1556","0.67889999999999984","GTEx Coexpression,0.6789"
"ASCL1","1.341071115201758479","1.341071115201758479","1.341071115201758479","Activated","59","viper","59","1.341071115201758479",NA,NA,"4","ReMap--ChIP-seq(rank=67); ARCHS4--Coexpression(rank=472); GTEx--Coexpression(rank=1012); Enrichr--Queries(rank=1253)","865","0.22559999999999999","ReMap ChIP-seq,0.2256"
"ARID2","1.334734420613694406","1.334734420613694406","1.334734420613694406","Activated","60","viper","60","1.334734420613694406",NA,NA,"4","ReMap--ChIP-seq(rank=77); Enrichr--Queries(rank=406); GTEx--Coexpression(rank=1288); ARCHS4--Coexpression(rank=1346)","955","0.25929999999999997","ReMap ChIP-seq,0.2593"
"POU4F2","1.328929549452356085","1.328929549452356085","1.328929549452356085","Activated","61","viper","61","1.328929549452356085",NA,NA,"4","ReMap--ChIP-seq(rank=57); ARCHS4--Coexpression(rank=194); GTEx--Coexpression(rank=736); Enrichr--Queries(rank=1345)","501","0.11920000000000000","ARCHS4 Coexpression,0.1192"
"CREB1","-1.316493506324431628","-1.316493506324431628","1.316493506324431628","Repressed","62","viper","62","1.316493506324431628",NA,NA,"6","ENCODE--ChIP-seq(rank=23); Literature--ChIP-seq(rank=71); Enrichr--Queries(rank=100); ReMap--ChIP-seq(rank=122); GTEx--Coexpression(rank=1349); ARCHS4--Coexpression(rank=1420)","319","0.07123000000000000","Enrichr Queries,0.07123"
"BACH2","-1.303240883786345838","-1.303240883786345838","1.303240883786345838","Repressed","63","viper","63","1.303240883786345838",NA,NA,"4","Enrichr--Queries(rank=54); ReMap--ChIP-seq(rank=230); ARCHS4--Coexpression(rank=339); GTEx--Coexpression(rank=454)","184","0.03846000000000000","Enrichr Queries,0.03846"
"LEF1","-1.251983575628047296","-1.251983575628047296","1.251983575628047296","Repressed","64","viper","64","1.251983575628047296",NA,NA,"4","ARCHS4--Coexpression(rank=56); ReMap--ChIP-seq(rank=284); GTEx--Coexpression(rank=975); Enrichr--Queries(rank=1118)","168","0.03440000000000000","ARCHS4 Coexpression,0.0344"
"TP73","-1.246443168418847280","-1.246443168418847280","1.246443168418847280","Repressed","65","viper","65","1.246443168418847280",NA,NA,"3","GTEx--Coexpression(rank=42); ARCHS4--Coexpression(rank=75); Enrichr--Queries(rank=955)","129","0.02614000000000000","GTEx Coexpression,0.02614"
"RARA","1.245465779488232672","1.245465779488232672","1.245465779488232672","Activated","66","viper","66","1.245465779488232672",NA,NA,"5","Literature--ChIP-seq(rank=2); Enrichr--Queries(rank=78); ReMap--ChIP-seq(rank=181); ARCHS4--Coexpression(rank=428); GTEx--Coexpression(rank=477)","59","0.01220000000000000","Literature ChIP-seq,0.0122"
"ESRRA","-1.232625123174375004","-1.232625123174375004","1.232625123174375004","Repressed","67","viper","67","1.232625123174375004",NA,NA,"5","ENCODE--ChIP-seq(rank=3); Enrichr--Queries(rank=163); ReMap--ChIP-seq(rank=191); GTEx--Coexpression(rank=726); ARCHS4--Coexpression(rank=1060)","125","0.02542000000000000","ENCODE ChIP-seq,0.02542"
"RXRA","1.222526448952918621","1.222526448952918621","1.222526448952918621","Activated","68","viper","68","1.222526448952918621",NA,NA,"6","Literature--ChIP-seq(rank=20); ENCODE--ChIP-seq(rank=109); ReMap--ChIP-seq(rank=177); ARCHS4--Coexpression(rank=241); Enrichr--Queries(rank=441); GTEx--Coexpression(rank=896)","513","0.12200000000000000","Literature ChIP-seq,0.122"
"ONECUT1","1.213878527153758213","1.213878527153758213","1.213878527153758213","Activated","69","viper","69","1.213878527153758213",NA,NA,"4","ReMap--ChIP-seq(rank=152); ARCHS4--Coexpression(rank=523); GTEx--Coexpression(rank=589); Enrichr--Queries(rank=1162)","1104","0.32129999999999992","ARCHS4 Coexpression,0.3213"
"EGR1","-1.188278307819733204","-1.188278307819733204","1.188278307819733204","Repressed","70","viper","70","1.188278307819733204",NA,NA,"6","Literature--ChIP-seq(rank=11); ENCODE--ChIP-seq(rank=22); ReMap--ChIP-seq(rank=243); Enrichr--Queries(rank=526); ARCHS4--Coexpression(rank=1195); GTEx--Coexpression(rank=1533)","303","0.06707000000000000","Literature ChIP-seq,0.06707"
"SREBF2","-1.183050830707602641","-1.183050830707602641","1.183050830707602641","Repressed","71","viper","71","1.183050830707602641",NA,NA,"6","ENCODE--ChIP-seq(rank=7); Literature--ChIP-seq(rank=122); ReMap--ChIP-seq(rank=232); GTEx--Coexpression(rank=279); Enrichr--Queries(rank=359); ARCHS4--Coexpression(rank=1349)","270","0.05932000000000000","ENCODE ChIP-seq,0.05932"
"NR4A1","1.179259281649691848","1.179259281649691848","1.179259281649691848","Activated","72","viper","72","1.179259281649691848",NA,NA,"4","ReMap--ChIP-seq(rank=93); Enrichr--Queries(rank=640); ARCHS4--Coexpression(rank=1064); GTEx--Coexpression(rank=1292)","1087","0.31309999999999999","ReMap ChIP-seq,0.3131"
"TEAD1","1.174796810176902406","1.174796810176902406","1.174796810176902406","Activated","73","viper","73","1.174796810176902406",NA,NA,"4","ReMap--ChIP-seq(rank=7); Enrichr--Queries(rank=1024); GTEx--Coexpression(rank=1222); ARCHS4--Coexpression(rank=1555)","115","0.02357000000000000","ReMap ChIP-seq,0.02357"
"GFI1B","-1.171163910469391611","-1.171163910469391611","1.171163910469391611","Repressed","74","viper","74","1.171163910469391611",NA,NA,"5","Literature--ChIP-seq(rank=55); ReMap--ChIP-seq(rank=174); Enrichr--Queries(rank=179); GTEx--Coexpression(rank=334); ARCHS4--Coexpression(rank=1419)","534","0.12750000000000000","Enrichr Queries,0.1275"
"ETS1","-1.160829726511807269","-1.160829726511807269","1.160829726511807269","Repressed","75","viper","75","1.160829726511807269",NA,NA,"6","ENCODE--ChIP-seq(rank=39); ARCHS4--Coexpression(rank=62); ReMap--ChIP-seq(rank=85); Literature--ChIP-seq(rank=102); Enrichr--Queries(rank=641); GTEx--Coexpression(rank=859)","183","0.03808000000000000","ARCHS4 Coexpression,0.03808"
"MEF2C","1.136229054294224605","1.136229054294224605","1.136229054294224605","Activated","76","viper","76","1.136229054294224605",NA,NA,"5","ENCODE--ChIP-seq(rank=117); ReMap--ChIP-seq(rank=226); GTEx--Coexpression(rank=864); ARCHS4--Coexpression(rank=1039); Enrichr--Queries(rank=1289)","1428","0.53759999999999997","GTEx Coexpression,0.5376"
"MBD2","1.127734450379499265","1.127734450379499265","1.127734450379499265","Activated","77","viper","77","1.127734450379499265",NA,NA,"4","ReMap--ChIP-seq(rank=261); Enrichr--Queries(rank=280); ARCHS4--Coexpression(rank=1180); GTEx--Coexpression(rank=1244)","784","0.19939999999999999","Enrichr Queries,0.1994"
"SPI1","1.124279063513457189","1.124279063513457189","1.124279063513457189","Activated","78","viper","78","1.124279063513457189",NA,NA,"6","Literature--ChIP-seq(rank=9); ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=83); Enrichr--Queries(rank=211); GTEx--Coexpression(rank=234); ARCHS4--Coexpression(rank=510)","252","0.05488000000000000","Literature ChIP-seq,0.05488"
