"Dataset","Analysis_Name","Scope_Group_Column","Scope_Group_Value","Target_Gene","Feature_ID","GeneID","Symbol","Ensembl","Entrez","Biotype","Expression_Mean_Log2_TPM_Plus_1","Expression_SD_Log2_TPM_Plus_1","Correlation","Abs_Correlation","P.Value","adj.P.Val","Samples_Used","Correlation_Method"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000261857","ENSG00000261857","MIA","ENSG00000261857","8190","protein_coding","0.3763562417984933073","0.6859898632031654619","0.5789473684210527","0.5789473684210527","0.01181846408046177340778193354253744473680853843688964843750000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000165030","ENSG00000165030","NFIL3","ENSG00000165030","4783","protein_coding","2.9214414779079196371","0.9036243833452319851","0.5789473684210527","0.5789473684210527","0.01181846408046177340778193354253744473680853843688964843750000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000059804","ENSG00000059804","SLC2A3","ENSG00000059804","6515","protein_coding","1.4894308676277507875","0.9634155506684256576","0.5789473684210527","0.5789473684210527","0.01181846408046177340778193354253744473680853843688964843750000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000088836","ENSG00000088836","SLC4A11","ENSG00000088836","83959","protein_coding","1.2114178689854691040","1.0026054848283960652","0.5789473684210527","0.5789473684210527","0.01181846408046177340778193354253744473680853843688964843750000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000060138","ENSG00000060138","YBX3","ENSG00000060138","8531","protein_coding","3.7225003366458313536","0.7576470256793849112","0.5789473684210527","0.5789473684210527","0.01181846408046177340778193354253744473680853843688964843750000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000198783","ENSG00000198783","ZNF830","ENSG00000198783","91603","protein_coding","5.0664553085016565959","0.8382653779477695632","0.5789473684210527","0.5789473684210527","0.01181846408046177340778193354253744473680853843688964843750000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000161281","ENSG00000161281","COX7A1","ENSG00000161281","1346","protein_coding","2.5738542392989534058","0.8366216806922964766","0.5768833849329206","0.5768833849329206","0.01219544174836446198684214436980255413800477981567382812500000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000143340","ENSG00000143340","FAM163A","ENSG00000143340","148753","protein_coding","0.0377163409747179185","0.0354470787765723411","0.5768833849329206","0.5768833849329206","0.01219544174836446198684214436980255413800477981567382812500000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000124145","ENSG00000124145","SDC4","ENSG00000124145","6385","protein_coding","5.5670641187331249000","1.0486649385272848178","0.5768833849329206","0.5768833849329206","0.01219544174836446198684214436980255413800477981567382812500000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000141469","ENSG00000141469","SLC14A1","ENSG00000141469","6563","protein_coding","0.1675625719792100954","0.2975232012955414396","0.5768833849329206","0.5768833849329206","0.01219544174836446198684214436980255413800477981567382812500000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000119801","ENSG00000119801","YPEL5","ENSG00000119801","51646","protein_coding","4.0234480142057647001","0.8570233127506785564","0.5768833849329206","0.5768833849329206","0.01219544174836446198684214436980255413800477981567382812500000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000282673__dup1","ENSG00000282673","PRB1","ENSG00000282673","5542","protein_coding","0.1017725143476184008","0.3276132444091268137","0.5766112115631640","0.5766112115631640","0.01224586109470783557018336296096094883978366851806640625000000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000204542","ENSG00000204542","C6orf15","ENSG00000204542","29113","protein_coding","1.4435178642496957480","1.5251314707536371973","0.5761487603107593","0.5761487603107593","0.01233191025576932213503322799397210474126040935516357421875000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000183114","ENSG00000183114","FAM43B","ENSG00000183114","163933","protein_coding","0.7831137655493336514","0.4402591959472020311","0.5761487603107593","0.5761487603107593","0.01233191025576932213503322799397210474126040935516357421875000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000128710","ENSG00000128710","HOXD10","ENSG00000128710","3236","protein_coding","0.2624485955845889951","0.3566522276998356777","0.5757338853518890","0.5757338853518890","0.01240951676117464999582473694772488670423626899719238281250000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000130055","ENSG00000130055","GDPD2","ENSG00000130055","54857","protein_coding","0.6394857117624251908","0.6109204462643939015","0.5748194014447885","0.5748194014447885","0.01258195638932960158662410776742035523056983947753906250000000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000173805","ENSG00000173805","HAP1","ENSG00000173805","9001","protein_coding","0.2794515944782223205","0.2724386312520115094","0.5748194014447885","0.5748194014447885","0.01258195638932960158662410776742035523056983947753906250000000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000127663","ENSG00000127663","KDM4B","ENSG00000127663","23030","protein_coding","0.9436491629638330547","0.3024613941692654850","0.5748194014447885","0.5748194014447885","0.01258195638932960158662410776742035523056983947753906250000000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000132122","ENSG00000132122","SPATA6","ENSG00000132122","54558","protein_coding","0.1356845205800320531","0.0712567838970730172","0.5748194014447885","0.5748194014447885","0.01258195638932960158662410776742035523056983947753906250000000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000110080","ENSG00000110080","ST3GAL4","ENSG00000110080","6484","protein_coding","0.9996523739734557434","0.6041075671259802382","0.5748194014447885","0.5748194014447885","0.01258195638932960158662410776742035523056983947753906250000000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000179922","ENSG00000179922","ZNF784","ENSG00000179922","147808","protein_coding","3.1922862365678379426","0.7380165729515008044","0.5748194014447885","0.5748194014447885","0.01258195638932960158662410776742035523056983947753906250000000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000008256","ENSG00000008256","CYTH3","ENSG00000008256","9265","protein_coding","0.9907551030655097346","0.3452765422412623075","0.5727554179566564","0.5727554179566564","0.01297817883450587753135785362701426493003964424133300781250000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000137440","ENSG00000137440","FGFBP1","ENSG00000137440","9982","protein_coding","2.0510907545428254117","1.5987094992981045749","0.5727554179566564","0.5727554179566564","0.01297817883450587753135785362701426493003964424133300781250000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000182771","ENSG00000182771","GRID1","ENSG00000182771","2894","protein_coding","0.0114578736404473500","0.0109632016857312588","0.5727554179566564","0.5727554179566564","0.01297817883450587753135785362701426493003964424133300781250000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000016402","ENSG00000016402","IL20RA","ENSG00000016402","53832","protein_coding","1.4572772739596528968","0.8511248991864209801","0.5727554179566564","0.5727554179566564","0.01297817883450587753135785362701426493003964424133300781250000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000118113","ENSG00000118113","MMP8","ENSG00000118113","4317","protein_coding","0.2397316165305775071","0.3538569865809728654","0.5727554179566564","0.5727554179566564","0.01297817883450587753135785362701426493003964424133300781250000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","LOC105377015","LOC105377015","LOC105377015",NA,"105377015","protein-coding","0.1503980578690557457","0.1333607033092976957","-0.5725024501981434","0.5725024501981434","0.01302741718928424226320306189563780208118259906768798828125000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000128346","ENSG00000128346","C22orf23","ENSG00000128346","84645","protein_coding","1.2785796819955725923","0.3707254466306347251","0.5706914344685243","0.5706914344685243","0.01338428134882333787880615005860818200744688510894775390625000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000161249","ENSG00000161249","DMKN","ENSG00000161249","93099","protein_coding","0.9987928295474591822","1.0140207108674614833","0.5706914344685243","0.5706914344685243","0.01338428134882333787880615005860818200744688510894775390625000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000175879","ENSG00000175879","HOXD8","ENSG00000175879","3234","protein_coding","0.9420755454052220923","0.9961970465331083657","0.5706914344685243","0.5706914344685243","0.01338428134882333787880615005860818200744688510894775390625000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000111912","ENSG00000111912","NCOA7","ENSG00000111912","135112","protein_coding","1.7038952682503969438","0.7492406632278814094","0.5706914344685243","0.5706914344685243","0.01338428134882333787880615005860818200744688510894775390625000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000130304","ENSG00000130304","SLC27A1","ENSG00000130304","376497","protein_coding","1.2593289968472400897","0.4665238158046148276","0.5706914344685243","0.5706914344685243","0.01338428134882333787880615005860818200744688510894775390625000000000000000000000000000000000000000000000000000000000000000000000000000","0.74846411111016297734721547385561279952526092529296875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
