Pathway,"GSE28726 NAIVE CD4 TCELL VS NAIVE VA24NEG
NKTCELL UP",GSE28726 NAIVE VS ACTIVATED CD4 TCELL DN,GSE24574 BCL6 HIGH VS LOW TFH CD4 TCELL DN,GSE24574 BCL6 LOW TFH VS TCONV CD4 TCELL DN,"GSE26156 DOUBLE POSITIVE VS CD4 SINGLE
POSITIVE THYMOCYTE DN",GSE33292 WT VS TCF1 KO DN3 THYMOCYTE DN,"GSE21063 WT VS NFATC1 KO 8H ANTI IGM STIM
BCELL UP",GSE32901 NAIVE VS TH17 NEG CD4 TCELL UP,GSE12392 CD8A POS VS NEG SPLEEN DC DN,"GSE40666 UNTREATED VS IFNA STIM EFFECTOR CD8
TCELL 90MIN UP",GSE32986 UNSTIM VS CURDLAN LOWDOSE STIM DC DN,GSE22886 DAY0 VS DAY7 MONOCYTE IN CULTURE DN,GSE3982 DC VS BCELL UP,GSE3982 MAST CELL VS NKCELL UP,"GSE2770 UNTREATED VS IL12 TREATED ACT CD4
TCELL 6H UP",GSE13306 RA VS UNTREATED MEM CD4 TCELL DN,"GSE7219 UNSTIM VS LPS AND ANTI CD40 STIM NIK
NFKB2 KO DC DN",GSE7219 WT VS NIK NFKB2 KO DC UP,"GSE37301 HEMATOPOIETIC STEM CELL VS GRAN MONO
PROGENITOR DN","GSE24671 CTRL VS BAKIMULC INFECTED MOUSE
SPLENOCYTES DN","GSE27241 WT VS RORGT KO TH17 POLARIZED CD4
TCELL TREATED WITH DIGOXIN UP","GSE22196 HEALTHY VS OBESE MOUSE SKIN
GAMMADELTA TCELL DN",GSE16266 CTRL VS LPS STIM MEF UP,"GSE22025 UNTREATED VS TGFB1 TREATED CD4 TCELL
UP",GSE6259 BCELL VS CD8 TCELL UP,GSE1432 1H VS 24H IFNG MICROGLIA UP,GSE22886 NAIVE BCELL VS DC DN,GSE22886 NAIVE BCELL VS MONOCYTE DN,GSE42724 NAIVE VS B1 BCELL DN,"GSE2405 0H VS 24H A PHAGOCYTOPHILUM STIM
NEUTROPHIL UP","GSE41978 ID2 KO VS ID2 KO AND BIM KO KLRG1
LOW EFFECTOR CD8 TCELL DN",GSE42088 UNINF VS LEISHMANIA INF DC 2H DN,"GSE35685 CD34POS CD10NEG CD62LPOS VS CD34POS
CD10POS BONE MARROW UP",GSE22886 UNSTIM VS IL15 STIM NKCELL DN,GSE22886 UNSTIM VS IL2 STIM NKCELL DN,GSE3982 BASOPHIL VS TH1 DN,GSE3982 EFF MEMORY CD4 TCELL VS TH1 DN,"GSE6674 ANTI IGM VS ANTI IGM AND CPG STIM
BCELL DN","GSE32986 UNSTIM VS GMCSF AND CURDLAN LOWDOSE
STIM DC UP","GSE24026 PD1 LIGATION VS CTRL IN ACT TCELL
LINE DN"
GSE32986 UNSTIM VS CURDLAN LOWDOSE STIM DC DN,0.06,0.09,0.07,0.075,0.08,0.05,0.055,0.04,0.03,0.075,1.0,0.05,0.045,0.035,0.025,0.005,0.045,0.04,0.05,0.005,0.01,0.055,0.015,0.035,0.04,0.02,0.055,0.055,0.01,0.01,0.02,0.01,0.02,0.085,0.055,0.055,0.05,0.01,0.05,0.025
GSE22886 DAY0 VS DAY7 MONOCYTE IN CULTURE DN,0.055,0.065,0.075,0.065,0.085,0.055,0.035,0.025,0.01,0.035,0.05,1.0,0.1,0.05,0.005,0.025,0.02,0.02,0.01,0.01,0.005,0.065,0.015,0.035,0.01,0.05,0.055,0.075,0.04,0.04,0.02,0.0,0.035,0.095,0.085,0.06,0.05,0.02,0.05,0.025
GSE3982 DC VS BCELL UP,0.02,0.03,0.025,0.025,0.025,0.03,0.02,0.02,0.035,0.01,0.045,0.1,1.0,0.055,0.015,0.055,0.03,0.015,0.035,0.01,0.005,0.035,0.005,0.025,0.03,0.055,0.08,0.075,0.02,0.0,0.01,0.01,0.025,0.015,0.01,0.015,0.025,0.005,0.025,0.025
GSE3982 MAST CELL VS NKCELL UP,0.04522613065326633,0.04020100502512563,0.01507537688442211,0.03015075376884422,0.05025125628140704,0.04020100502512563,0.01507537688442211,0.020100502512562814,0.03015075376884422,0.02512562814070352,0.035175879396984924,0.05025125628140704,0.05527638190954774,1.0,0.03015075376884422,0.01507537688442211,0.035175879396984924,0.02512562814070352,0.03015075376884422,0.02512562814070352,0.010050251256281407,0.02512562814070352,0.01507537688442211,0.01507537688442211,0.01507537688442211,0.035175879396984924,0.05025125628140704,0.02512562814070352,0.020100502512562814,0.03015075376884422,0.01507537688442211,0.010050251256281407,0.02512562814070352,0.05025125628140704,0.04522613065326633,0.020100502512562814,0.06532663316582915,0.035175879396984924,0.035175879396984924,0.03015075376884422
"GSE2770 UNTREATED VS IL12 TREATED ACT CD4
TCELL 6H UP",0.045,0.025,0.025,0.03,0.02,0.03,0.02,0.005,0.025,0.03,0.025,0.005,0.015,0.03,1.0,0.06,0.04,0.045,0.04,0.025,0.01,0.025,0.02,0.02,0.025,0.005,0.01,0.02,0.005,0.01,0.01,0.02,0.02,0.03,0.03,0.025,0.045,0.05,0.035,0.01
GSE13306 RA VS UNTREATED MEM CD4 TCELL DN,0.065,0.025,0.025,0.025,0.02,0.04,0.025,0.03,0.04,0.04,0.005,0.025,0.055,0.015,0.06,1.0,0.035,0.02,0.03,0.015,0.01,0.045,0.015,0.03,0.03,0.035,0.015,0.03,0.01,0.01,0.025,0.01,0.02,0.02,0.025,0.03,0.01,0.04,0.06,0.02
"GSE7219 UNSTIM VS LPS AND ANTI CD40 STIM NIK
NFKB2 KO DC DN",0.031578947368421054,0.031578947368421054,0.03684210526315789,0.015789473684210527,0.02631578947368421,0.02631578947368421,0.031578947368421054,0.03684210526315789,0.042105263157894736,0.05263157894736842,0.04736842105263158,0.021052631578947368,0.031578947368421054,0.03684210526315789,0.042105263157894736,0.03684210526315789,1.0,0.5052631578947369,0.08421052631578947,0.08947368421052632,0.042105263157894736,0.042105263157894736,0.04736842105263158,0.06315789473684211,0.042105263157894736,0.07368421052631578,0.03684210526315789,0.05263157894736842,0.005263157894736842,0.015789473684210527,0.021052631578947368,0.03684210526315789,0.02631578947368421,0.031578947368421054,0.031578947368421054,0.02631578947368421,0.03684210526315789,0.03684210526315789,0.021052631578947368,0.010526315789473684
GSE7219 WT VS NIK NFKB2 KO DC UP,0.03783783783783784,0.02702702702702703,0.016216216216216217,0.016216216216216217,0.02702702702702703,0.021621621621621623,0.02702702702702703,0.03783783783783784,0.03783783783783784,0.032432432432432434,0.043243243243243246,0.021621621621621623,0.016216216216216217,0.02702702702702703,0.04864864864864865,0.021621621621621623,0.518918918918919,1.0,0.07567567567567568,0.07567567567567568,0.03783783783783784,0.04864864864864865,0.05945945945945946,0.043243243243243246,0.02702702702702703,0.07027027027027027,0.032432432432432434,0.043243243243243246,0.005405405405405406,0.010810810810810811,0.032432432432432434,0.016216216216216217,0.010810810810810811,0.043243243243243246,0.03783783783783784,0.03783783783783784,0.032432432432432434,0.032432432432432434,0.02702702702702703,0.016216216216216217
"GSE37301 HEMATOPOIETIC STEM CELL VS GRAN MONO
PROGENITOR DN",0.028409090909090908,0.028409090909090908,0.03409090909090909,0.022727272727272728,0.005681818181818182,0.011363636363636364,0.011363636363636364,0.045454545454545456,0.022727272727272728,0.06818181818181818,0.056818181818181816,0.011363636363636364,0.03977272727272727,0.03409090909090909,0.045454545454545456,0.03409090909090909,0.09090909090909091,0.07954545454545454,1.0,0.09090909090909091,0.011363636363636364,0.03409090909090909,0.03977272727272727,0.03409090909090909,0.011363636363636364,0.03409090909090909,0.056818181818181816,0.08522727272727272,0.005681818181818182,0.011363636363636364,0.022727272727272728,0.017045454545454544,0.05113636363636364,0.005681818181818182,0.011363636363636364,0.022727272727272728,0.05113636363636364,0.028409090909090908,0.03977272727272727,0.005681818181818182
"GSE24671 CTRL VS BAKIMULC INFECTED MOUSE
SPLENOCYTES DN",0.011764705882352941,0.011764705882352941,0.01764705882352941,0.0058823529411764705,0.0058823529411764705,0.0058823529411764705,0.01764705882352941,0.011764705882352941,0.011764705882352941,0.023529411764705882,0.0058823529411764705,0.011764705882352941,0.011764705882352941,0.029411764705882353,0.029411764705882353,0.01764705882352941,0.1,0.08235294117647059,0.09411764705882353,1.0,0.029411764705882353,0.047058823529411764,0.03529411764705882,0.023529411764705882,0.023529411764705882,0.052941176470588235,0.01764705882352941,0.01764705882352941,0.01764705882352941,0.047058823529411764,0.052941176470588235,0.07058823529411765,0.047058823529411764,0.023529411764705882,0.01764705882352941,0.01764705882352941,0.023529411764705882,0.01764705882352941,0.011764705882352941,0.0
"GSE27241 WT VS RORGT KO TH17 POLARIZED CD4
TCELL TREATED WITH DIGOXIN UP",0.027777777777777776,0.027777777777777776,0.011111111111111112,0.016666666666666666,0.005555555555555556,0.022222222222222223,0.011111111111111112,0.027777777777777776,0.05555555555555555,0.016666666666666666,0.011111111111111112,0.005555555555555556,0.005555555555555556,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.044444444444444446,0.03888888888888889,0.011111111111111112,0.027777777777777776,1.0,0.005555555555555556,0.005555555555555556,0.022222222222222223,0.005555555555555556,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0,0.005555555555555556,0.016666666666666666,0.005555555555555556,0.022222222222222223,0.005555555555555556,0.022222222222222223,0.011111111111111112,0.016666666666666666,0.0,0.016666666666666666,0.022222222222222223
"GSE22196 HEALTHY VS OBESE MOUSE SKIN
GAMMADELTA TCELL DN",0.045,0.045,0.065,0.065,0.06,0.03,0.01,0.03,0.02,0.06,0.055,0.065,0.035,0.025,0.025,0.045,0.04,0.045,0.03,0.04,0.005,1.0,0.09,0.07,0.06,0.085,0.06,0.065,0.02,0.02,0.03,0.07,0.045,0.01,0.045,0.045,0.02,0.015,0.025,0.015
GSE16266 CTRL VS LPS STIM MEF UP,0.010101010101010102,0.0,0.010101010101010102,0.005050505050505051,0.005050505050505051,0.005050505050505051,0.010101010101010102,0.015151515151515152,0.005050505050505051,0.06060606060606061,0.015151515151515152,0.015151515151515152,0.005050505050505051,0.015151515151515152,0.020202020202020204,0.015151515151515152,0.045454545454545456,0.05555555555555555,0.03535353535353535,0.030303030303030304,0.005050505050505051,0.09090909090909091,1.0,0.05555555555555555,0.050505050505050504,0.05555555555555555,0.06060606060606061,0.03535353535353535,0.015151515151515152,0.005050505050505051,0.005050505050505051,0.04040404040404041,0.030303030303030304,0.010101010101010102,0.005050505050505051,0.010101010101010102,0.03535353535353535,0.010101010101010102,0.005050505050505051,0.005050505050505051
"GSE22025 UNTREATED VS TGFB1 TREATED CD4 TCELL
UP",0.02512562814070352,0.03015075376884422,0.03015075376884422,0.02512562814070352,0.05025125628140704,0.04020100502512563,0.010050251256281407,0.020100502512562814,0.020100502512562814,0.04522613065326633,0.035175879396984924,0.035175879396984924,0.02512562814070352,0.01507537688442211,0.020100502512562814,0.03015075376884422,0.06030150753768844,0.04020100502512563,0.03015075376884422,0.020100502512562814,0.020100502512562814,0.07035175879396985,0.05527638190954774,1.0,0.03015075376884422,0.035175879396984924,0.035175879396984924,0.03015075376884422,0.005025125628140704,0.010050251256281407,0.01507537688442211,0.04522613065326633,0.02512562814070352,0.03015075376884422,0.035175879396984924,0.020100502512562814,0.04020100502512563,0.03015075376884422,0.035175879396984924,0.020100502512562814
GSE6259 BCELL VS CD8 TCELL UP,0.015544041450777202,0.015544041450777202,0.010362694300518135,0.010362694300518135,0.010362694300518135,0.0051813471502590676,0.015544041450777202,0.0051813471502590676,0.0051813471502590676,0.025906735751295335,0.04145077720207254,0.010362694300518135,0.031088082901554404,0.015544041450777202,0.025906735751295335,0.031088082901554404,0.04145077720207254,0.025906735751295335,0.010362694300518135,0.02072538860103627,0.0051813471502590676,0.06217616580310881,0.05181347150259067,0.031088082901554404,1.0,0.05699481865284974,0.04145077720207254,0.025906735751295335,0.0,0.010362694300518135,0.0,0.031088082901554404,0.010362694300518135,0.0051813471502590676,0.0051813471502590676,0.015544041450777202,0.015544041450777202,0.010362694300518135,0.02072538860103627,0.015544041450777202
GSE1432 1H VS 24H IFNG MICROGLIA UP,0.015,0.015,0.015,0.025,0.01,0.015,0.01,0.02,0.025,0.03,0.02,0.05,0.055,0.035,0.005,0.035,0.07,0.065,0.03,0.045,0.015,0.085,0.055,0.035,0.055,1.0,0.06,0.065,0.02,0.025,0.025,0.04,0.025,0.03,0.02,0.03,0.025,0.025,0.015,0.01
GSE22886 NAIVE BCELL VS DC DN,0.04,0.04,0.055,0.045,0.05,0.01,0.01,0.03,0.025,0.035,0.055,0.055,0.08,0.05,0.01,0.015,0.035,0.03,0.05,0.015,0.015,0.06,0.06,0.035,0.04,0.06,1.0,0.215,0.02,0.01,0.015,0.0,0.035,0.035,0.02,0.035,0.065,0.025,0.04,0.03
GSE22886 NAIVE BCELL VS MONOCYTE DN,0.04,0.045,0.045,0.035,0.03,0.01,0.02,0.025,0.025,0.09,0.055,0.075,0.075,0.025,0.02,0.03,0.05,0.04,0.075,0.015,0.015,0.065,0.035,0.03,0.025,0.065,0.215,1.0,0.01,0.025,0.02,0.03,0.035,0.025,0.025,0.015,0.015,0.0,0.01,0.015
GSE42724 NAIVE VS B1 BCELL DN,0.020100502512562814,0.035175879396984924,0.035175879396984924,0.020100502512562814,0.010050251256281407,0.01507537688442211,0.020100502512562814,0.010050251256281407,0.005025125628140704,0.010050251256281407,0.010050251256281407,0.04020100502512563,0.020100502512562814,0.020100502512562814,0.005025125628140704,0.010050251256281407,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.01507537688442211,0.0,0.020100502512562814,0.01507537688442211,0.005025125628140704,0.0,0.020100502512562814,0.020100502512562814,0.010050251256281407,1.0,0.11055276381909548,0.09547738693467336,0.07035175879396985,0.02512562814070352,0.04522613065326633,0.05025125628140704,0.02512562814070352,0.010050251256281407,0.03015075376884422,0.020100502512562814,0.01507537688442211
"GSE2405 0H VS 24H A PHAGOCYTOPHILUM STIM
NEUTROPHIL UP",0.025,0.03,0.05,0.035,0.045,0.01,0.01,0.03,0.03,0.02,0.01,0.04,0.0,0.03,0.01,0.01,0.015,0.01,0.01,0.04,0.005,0.02,0.005,0.01,0.01,0.025,0.01,0.025,0.11,1.0,0.3,0.2,0.03,0.015,0.02,0.0,0.005,0.01,0.02,0.0
"GSE41978 ID2 KO VS ID2 KO AND BIM KO KLRG1
LOW EFFECTOR CD8 TCELL DN",0.055,0.045,0.05,0.055,0.045,0.01,0.03,0.025,0.025,0.02,0.02,0.02,0.01,0.015,0.01,0.025,0.02,0.03,0.02,0.045,0.015,0.03,0.005,0.015,0.0,0.025,0.015,0.02,0.095,0.3,1.0,0.145,0.025,0.035,0.05,0.01,0.025,0.015,0.04,0.025
GSE42088 UNINF VS LEISHMANIA INF DC 2H DN,0.0,0.005,0.01,0.0,0.0,0.01,0.015,0.01,0.03,0.04,0.01,0.0,0.01,0.01,0.02,0.01,0.035,0.015,0.015,0.06,0.005,0.07,0.04,0.045,0.03,0.04,0.0,0.03,0.07,0.2,0.145,1.0,0.045,0.005,0.005,0.005,0.01,0.01,0.0,0.005
"GSE35685 CD34POS CD10NEG CD62LPOS VS CD34POS
CD10POS BONE MARROW UP",0.015,0.015,0.02,0.025,0.03,0.035,0.04,0.01,0.035,0.05,0.02,0.035,0.025,0.025,0.02,0.02,0.025,0.01,0.045,0.04,0.02,0.045,0.03,0.025,0.01,0.025,0.035,0.035,0.025,0.03,0.025,0.045,1.0,0.01,0.03,0.03,0.03,0.02,0.02,0.02
GSE22886 UNSTIM VS IL15 STIM NKCELL DN,0.16,0.155,0.115,0.14,0.155,0.13,0.13,0.04,0.05,0.045,0.085,0.095,0.015,0.05,0.03,0.02,0.03,0.04,0.005,0.02,0.005,0.01,0.01,0.03,0.005,0.03,0.035,0.025,0.045,0.015,0.035,0.005,0.01,1.0,0.555,0.12,0.105,0.075,0.105,0.09
GSE22886 UNSTIM VS IL2 STIM NKCELL DN,0.18,0.165,0.09,0.15,0.15,0.145,0.125,0.035,0.055,0.04,0.055,0.085,0.01,0.045,0.03,0.025,0.03,0.035,0.01,0.015,0.02,0.045,0.005,0.035,0.005,0.02,0.02,0.025,0.05,0.02,0.05,0.005,0.03,0.555,1.0,0.115,0.1,0.105,0.09,0.1
GSE3982 BASOPHIL VS TH1 DN,0.08040201005025126,0.05527638190954774,0.04020100502512563,0.05527638190954774,0.08040201005025126,0.09045226130653267,0.09547738693467336,0.020100502512562814,0.02512562814070352,0.005025125628140704,0.05527638190954774,0.06030150753768844,0.01507537688442211,0.020100502512562814,0.02512562814070352,0.03015075376884422,0.02512562814070352,0.035175879396984924,0.020100502512562814,0.01507537688442211,0.010050251256281407,0.04522613065326633,0.010050251256281407,0.020100502512562814,0.01507537688442211,0.03015075376884422,0.035175879396984924,0.01507537688442211,0.02512562814070352,0.0,0.010050251256281407,0.005025125628140704,0.03015075376884422,0.12060301507537688,0.11557788944723618,1.0,0.09547738693467336,0.035175879396984924,0.06030150753768844,0.04020100502512563
GSE3982 EFF MEMORY CD4 TCELL VS TH1 DN,0.08542713567839195,0.08542713567839195,0.07537688442211055,0.06030150753768844,0.07537688442211055,0.10552763819095477,0.07035175879396985,0.04522613065326633,0.05527638190954774,0.020100502512562814,0.05025125628140704,0.05025125628140704,0.02512562814070352,0.06532663316582915,0.04522613065326633,0.010050251256281407,0.035175879396984924,0.03015075376884422,0.04522613065326633,0.020100502512562814,0.01507537688442211,0.020100502512562814,0.035175879396984924,0.04020100502512563,0.01507537688442211,0.02512562814070352,0.06532663316582915,0.01507537688442211,0.010050251256281407,0.005025125628140704,0.02512562814070352,0.010050251256281407,0.03015075376884422,0.10552763819095477,0.10050251256281408,0.09547738693467336,1.0,0.02512562814070352,0.08040201005025126,0.01507537688442211
"GSE6674 ANTI IGM VS ANTI IGM AND CPG STIM
BCELL DN",0.07537688442211055,0.07537688442211055,0.04020100502512563,0.08040201005025126,0.06030150753768844,0.05025125628140704,0.04522613065326633,0.03015075376884422,0.0,0.005025125628140704,0.010050251256281407,0.020100502512562814,0.005025125628140704,0.035175879396984924,0.05025125628140704,0.04020100502512563,0.035175879396984924,0.03015075376884422,0.02512562814070352,0.01507537688442211,0.0,0.01507537688442211,0.010050251256281407,0.03015075376884422,0.010050251256281407,0.02512562814070352,0.02512562814070352,0.0,0.03015075376884422,0.010050251256281407,0.01507537688442211,0.010050251256281407,0.020100502512562814,0.07537688442211055,0.10552763819095477,0.035175879396984924,0.02512562814070352,1.0,0.08542713567839195,0.05025125628140704
"GSE32986 UNSTIM VS GMCSF AND CURDLAN LOWDOSE
STIM DC UP",0.1,0.075,0.08,0.08,0.065,0.06,0.075,0.04,0.035,0.015,0.05,0.05,0.025,0.035,0.035,0.06,0.02,0.025,0.035,0.01,0.015,0.025,0.005,0.035,0.02,0.015,0.04,0.01,0.02,0.02,0.04,0.0,0.02,0.105,0.09,0.06,0.08,0.085,1.0,0.04
