"TF","MVL_CRC29"
"MEF2A","-3.100025159068462433"
"MEF2B","2.454581178287982279"
"MEF2C","-0.997700601269394305"
"MEIS1","-1.638835459346174916"
"MEIS2","-0.613645068959670081"
"MITF","-0.670661088473143097"
"MNT","-3.966951909789663500"
"MXI1","-2.556723955330223230"
"MYB","0.733394601230580201"
"MYBL2","1.103091190044894310"
"MYC","-2.184590947511546144"
"MYCN","-0.287608033530982410"
"MYOD1","1.122763866861892446"
"NANOG","0.345727524030894851"
"NCOA1","-2.802852382623547634"
"NCOA2","-2.686196415986366937"
"NCOA3","-2.521734933684715241"
"NEUROD1","3.562141345764963773"
"NFATC1","1.229636312650028929"
"NFE2","0.573793701082009666"
"NFE2L1","-1.398370503934722509"
"NFE2L2","-1.075944104479807262"
"NFIC","-0.147119710851447205"
"NFKB1","0.825241253941964348"
"NFKB2","0.156091082872760883"
"NFYA","1.217987204094143516"
"NFYB","0.268253659950402179"
"NR1H2","1.959219973063887954"
"NR1H3","0.668935198033633216"
"NR2C2","-2.296296532576521887"
"NR2F1","4.949184704318374095"
"NR2F6","-0.449229596844029744"
"NR3C1","0.415296318860454483"
"NR4A1","0.024150758856933709"
"NR5A2","0.499724848023506252"
"NRF1","2.008958811779291587"
"ONECUT1","-1.471738760274273750"
"OTX2","-0.750107592065364592"
"PAX5","3.370567568673589420"
"PAX8","0.492194775600565460"
"PBX2","-0.243582477480239507"
"PBX3","-0.135540012893056422"
"PDX1","-1.438357415777742121"
"PGR","-0.641011970488745031"
"PKNOX1","0.601479579749122251"
"POU2F1","-1.658040474719552959"
"POU4F2","-0.512813839962745877"
"POU5F1","-1.027413565115453675"
"PPARA","-1.580292262917792456"
"PPARG","0.696785940508659163"
"PRDM1","-2.148213712732792491"
"PRDM14","5.413218360756060221"
"PROX1","-0.509930036386557317"
"RARA","0.714433532571417507"
"RBPJ","0.219548087487786758"
"REL","0.601070516163461521"
"RELA","0.432513771610318065"
"RELB","-0.386581594440868814"
"REST","-2.117324058544526988"
"RFX1","3.605776314795340554"
"RFX2","2.362824512084197082"
"RFX5","2.768904470823839059"
"RUNX1","-0.439337778183086503"
"RUNX2","-1.499997035485087338"
"RUNX3","-1.651301408881023614"
"RXRA","1.926542221674890198"
"SIX2","-1.095084937526026536"
"SIX5","4.795029867580770322"
"SMAD1","0.774798493828708357"
"SMAD3","2.335388600694173089"
"SMAD4","1.503398108092086183"
"SMAD5","-0.725042345329915183"
"SNAI2","-3.058036245147474297"
"SNAPC4","2.928695802443014085"
"SOX10","0.015300722947744063"
"SOX11","-1.460229720443720902"
"SOX13","2.469882813169918645"
"SOX6","-1.801525587273134388"
"SOX9","1.744241841440393070"
"SP1","2.960183982220494503"
"SP2","0.418022574530865498"
"SP3","1.768363653856305451"
"SP4","0.284053553321249874"
"SPI1","1.021543174944411492"
"SPIB","0.150062698764363484"
"SREBF1","0.067440446344007907"
"SREBF2","0.147188888593802025"
"SRF","2.290574483823109908"
"STAT1","1.785234111680418012"
"STAT2","0.892238006900363367"
"STAT3","2.798724229132213193"
"STAT4","0.473722792898233824"
"STAT5A","-0.382464563334441843"
"STAT5B","0.361792982313534461"
"STAT6","0.192551903293720905"
"TAL1","-0.938314450978269488"
"TBP","0.514915823774502290"
"TBX21","1.244556828660605019"
"TCF12","-2.276152965045816767"
"TCF3","0.599207124871393271"
"TCF4","-2.654092536102361510"
"TCF7","-0.014441101155465479"
"TCF7L2","-1.014289115693373766"
"TEAD1","-3.441540559392741283"
"TEAD2","3.454298199947840597"
"TEAD4","-0.753635101329178547"
"TFAP2A","0.687100675520001758"
"TFAP2C","-2.103790088518553425"
"TFAP4","3.410136583042223446"
"TFDP1","1.241723378812114920"
"TGIF2","0.044075672565647303"
"THAP1","5.028593188152620463"
"THAP11","0.718100361589134151"
"TP53","2.899977616949966031"
"TP63","0.434486431022104824"
"TP73","-0.509356172534733753"
"TWIST1","0.742188963255904111"
"USF1","0.379988101995175465"
"USF2","0.364816077690058249"
"VDR","2.920040160602421331"
"WT1","0.078155320428269587"
"XBP1","-1.326861879045745596"
"YY1","0.086309872714796218"
"ZBED1","0.500015445338989117"
"ZBTB11","-4.884499324363424044"
"ZBTB33","-2.922994453075223209"
"ZBTB7A","-10.653577570330558189"
"ZEB1","-1.741914528530098760"
"ZEB2","2.411895324984712374"
"ZFX","-0.872502742331377146"
"ZKSCAN1","2.612683603231170437"
"ZNF143","-0.268691561165077974"
"ZNF217","-1.523708212459073952"
"ZNF24","0.128485466685433980"
"ZNF263","-9.726326797097980759"
"ZNF274","-0.461181317436266114"
"ZNF384","1.228599922442787262"
"ZNF592","1.691545803382754176"
"ZNF639","5.049564644523317547"
"ZNF740","3.354636776615691929"
