Pathway,ANTIGEN BINDING,ATP DEPENDENT ACTIVITY ACTING ON DNA,CATALYTIC ACTIVITY ACTING ON DNA,DNA HELICASE ACTIVITY,NUCLEIC ACID CONFORMATION ISOMERASE ACTIVITY,ISOMERASE ACTIVITY,"MACROMOLECULAR CONFORMATION ISOMERASE
ACTIVITY",ATP HYDROLYSIS ACTIVITY,DAMAGED DNA BINDING,SINGLE STRANDED DNA BINDING,CATALYTIC ACTIVITY ACTING ON A TRNA,CATALYTIC ACTIVITY ACTING ON RNA,TRNA BINDING,"TRANSFERASE ACTIVITY TRANSFERRING ONE CARBON
GROUPS","S ADENOSYLMETHIONINE DEPENDENT
METHYLTRANSFERASE ACTIVITY",STRUCTURAL CONSTITUENT OF RIBOSOME,MONOATOMIC CATION CHANNEL ACTIVITY,SODIUM CHANNEL ACTIVITY,GATED CHANNEL ACTIVITY,LIGAND GATED CHANNEL ACTIVITY,"CALCIUM ION TRANSMEMBRANE TRANSPORTER
ACTIVITY",TRANSPORTER REGULATOR ACTIVITY,VITAMIN BINDING,"OXIDOREDUCTASE ACTIVITY ACTING ON PAIRED
DONORS WITH INCORPORATION OR REDUCTION OF
MOLECULAR OXYGEN","OXIDOREDUCTASE ACTIVITY ACTING ON PAIRED
DONORS WITH INCORPORATION OR REDUCTION OF
MOLECULAR OXYGEN REDUCED FLAVIN OR
FLAVOPROTEIN AS ONE DONOR AND INCORPORATION
OF ONE ATOM OF OXYGEN",MONOOXYGENASE ACTIVITY,IRON ION BINDING,ENDOPEPTIDASE REGULATOR ACTIVITY,PEPTIDASE REGULATOR ACTIVITY,SERINE TYPE ENDOPEPTIDASE INHIBITOR ACTIVITY,PEPTIDASE INHIBITOR ACTIVITY,ENZYME INHIBITOR ACTIVITY,UNFOLDED PROTEIN BINDING,HISTONE BINDING,RIBONUCLEOPROTEIN COMPLEX BINDING,STRUCTURAL CONSTITUENT OF NUCLEAR PORE,MOLECULAR CARRIER ACTIVITY,NUCLEOCYTOPLASMIC CARRIER ACTIVITY,SNORNA BINDING,"OXIDOREDUCTION DRIVEN ACTIVE TRANSMEMBRANE
TRANSPORTER ACTIVITY"
CATALYTIC ACTIVITY ACTING ON A TRNA,0.0,0.0,0.012903225806451613,0.0,0.0,0.05161290322580645,0.0,0.0,0.0,0.0,1.0,1.0,0.3096774193548387,0.21935483870967742,0.17419354838709677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.025806451612903226,0.0,0.0,0.0,0.0,0.012903225806451613,0.0,0.0,0.01935483870967742,0.0,0.0,0.0,0.0,0.0
CATALYTIC ACTIVITY ACTING ON RNA,0.0,0.030303030303030304,0.07459207459207459,0.027972027972027972,0.1864801864801865,0.20512820512820512,0.1864801864801865,0.17482517482517482,0.004662004662004662,0.018648018648018648,0.3613053613053613,1.0,0.11888111888111888,0.16083916083916083,0.13752913752913754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002331002331002331,0.023310023310023312,0.0,0.0,0.013986013986013986,0.0,0.0,0.0,0.0,0.011655011655011656,0.004662004662004662,0.0,0.053613053613053616,0.0,0.0,0.0,0.011655011655011656,0.0
TRNA BINDING,0.0,0.012345679012345678,0.037037037037037035,0.012345679012345678,0.024691358024691357,0.04938271604938271,0.024691358024691357,0.024691358024691357,0.0,0.012345679012345678,0.5925925925925926,0.6296296296296297,1.0,0.1728395061728395,0.1728395061728395,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.08641975308641975,0.0,0.012345679012345678,0.012345679012345678,0.0,0.0
"TRANSFERASE ACTIVITY TRANSFERRING ONE CARBON
GROUPS",0.0,0.0,0.032407407407407406,0.0,0.0,0.0,0.0,0.0,0.0,0.004629629629629629,0.1574074074074074,0.3194444444444444,0.06481481481481481,1.0,0.7731481481481481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.013888888888888888,0.0,0.004629629629629629,0.004629629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.032407407407407406,0.018518518518518517,0.0,0.0,0.0,0.0,0.0
"S ADENOSYLMETHIONINE DEPENDENT
METHYLTRANSFERASE ACTIVITY",0.0,0.0,0.03592814371257485,0.0,0.0,0.0,0.0,0.0,0.0,0.005988023952095809,0.16167664670658682,0.3532934131736527,0.08383233532934131,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005988023952095809,0.017964071856287425,0.0,0.005988023952095809,0.005988023952095809,0.0,0.0,0.0,0.0,0.0,0.0,0.041916167664670656,0.017964071856287425,0.0,0.0,0.0,0.0,0.0
STRUCTURAL CONSTITUENT OF RIBOSOME,0.0,0.0,0.005847953216374269,0.0,0.0,0.0,0.0,0.0,0.005847953216374269,0.0,0.0,0.0,0.005847953216374269,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005847953216374269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04093567251461988,0.0,0.0,0.011695906432748537,0.0,0.0,0.0,0.0,0.0
MONOATOMIC CATION CHANNEL ACTIVITY,0.0,0.0029411764705882353,0.0029411764705882353,0.0,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15588235294117647,0.7411764705882353,0.4147058823529412,0.3735294117647059,0.15294117647058825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029411764705882353,0.0029411764705882353,0.0,0.0058823529411764705,0.0,0.0,0.0,0.0,0.0
SODIUM CHANNEL ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7735849056603774,0.6226415094339622,0.3018867924528302,0.05660377358490566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATED CHANNEL ACTIVITY,0.0,0.003105590062111801,0.003105590062111801,0.0,0.0,0.003105590062111801,0.003105590062111801,0.009316770186335404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174,0.12732919254658384,1.0,0.5900621118012422,0.2639751552795031,0.15217391304347827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003105590062111801,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIGAND GATED CHANNEL ACTIVITY,0.0,0.005263157894736842,0.005263157894736842,0.0,0.0,0.005263157894736842,0.005263157894736842,0.015789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7421052631578947,0.1736842105263158,1.0,1.0,0.24736842105263157,0.05789473684210526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CALCIUM ION TRANSMEMBRANE TRANSPORTER
ACTIVITY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06206896551724138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8758620689655172,0.1103448275862069,0.5862068965517241,0.32413793103448274,1.0,0.12413793103448276,0.0,0.0,0.0,0.0,0.0,0.0,0.006896551724137931,0.0,0.0,0.013793103448275862,0.0,0.0,0.020689655172413793,0.0,0.0,0.0,0.0,0.0
TRANSPORTER REGULATOR ACTIVITY,0.00510204081632653,0.0,0.0,0.0,0.0,0.015306122448979591,0.00510204081632653,0.030612244897959183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2653061224489796,0.015306122448979591,0.25,0.05612244897959184,0.09183673469387756,1.0,0.0,0.00510204081632653,0.0,0.00510204081632653,0.00510204081632653,0.015306122448979591,0.030612244897959183,0.01020408163265306,0.015306122448979591,0.07653061224489796,0.0,0.01020408163265306,0.00510204081632653,0.0,0.0,0.0,0.0,0.0
VITAMIN BINDING,0.0,0.0,0.006622516556291391,0.0,0.0,0.019867549668874173,0.0,0.006622516556291391,0.0,0.0,0.0,0.006622516556291391,0.0,0.039735099337748346,0.006622516556291391,0.006622516556291391,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.152317880794702,0.013245033112582781,0.033112582781456956,0.1390728476821192,0.0,0.0,0.0,0.0,0.006622516556291391,0.0,0.0,0.0,0.0,0.039735099337748346,0.0,0.0,0.0
"OXIDOREDUCTASE ACTIVITY ACTING ON PAIRED
DONORS WITH INCORPORATION OR REDUCTION OF
MOLECULAR OXYGEN",0.0,0.0,0.0481283422459893,0.0,0.0,0.03208556149732621,0.0,0.0,0.016042780748663103,0.0106951871657754,0.026737967914438502,0.053475935828877004,0.016042780748663103,0.016042780748663103,0.016042780748663103,0.0,0.0,0.0,0.0,0.0,0.0,0.0053475935828877,0.12299465240641712,1.0,0.24064171122994651,0.5454545454545454,0.5668449197860963,0.0,0.0,0.0,0.0,0.0106951871657754,0.0,0.016042780748663103,0.0,0.0,0.0,0.0,0.0,0.0
"OXIDOREDUCTASE ACTIVITY ACTING ON PAIRED
DONORS WITH INCORPORATION OR REDUCTION OF
MOLECULAR OXYGEN REDUCED FLAVIN OR
FLAVOPROTEIN AS ONE DONOR AND INCORPORATION
OF ONE ATOM OF OXYGEN",0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,1.0,1.0,1.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONOOXYGENASE ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.046296296296296294,0.9444444444444444,0.4166666666666667,1.0,0.6481481481481481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259
IRON ION BINDING,0.0,0.0,0.03896103896103896,0.0,0.0,0.03896103896103896,0.0,0.006493506493506494,0.0,0.0,0.025974025974025976,0.03896103896103896,0.01948051948051948,0.006493506493506494,0.006493506493506494,0.0,0.0,0.0,0.0,0.0,0.0,0.006493506493506494,0.13636363636363635,0.6883116883116883,0.2727272727272727,0.45454545454545453,1.0,0.012987012987012988,0.012987012987012988,0.0,0.012987012987012988,0.032467532467532464,0.006493506493506494,0.006493506493506494,0.012987012987012988,0.0,0.06493506493506493,0.006493506493506494,0.0,0.0
ENDOPEPTIDASE REGULATOR ACTIVITY,0.015,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.01,1.0,1.0,0.51,0.855,0.855,0.01,0.005,0.005,0.0,0.005,0.0,0.0,0.0
PEPTIDASE REGULATOR ACTIVITY,0.012658227848101266,0.0,0.0,0.0,0.0,0.008438818565400843,0.0,0.029535864978902954,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004219409282700422,0.02531645569620253,0.0,0.0,0.0,0.0,0.008438818565400843,0.8438818565400844,1.0,0.43037974683544306,0.7552742616033755,0.7637130801687764,0.012658227848101266,0.004219409282700422,0.012658227848101266,0.0,0.008438818565400843,0.0,0.0,0.0
SERINE TYPE ENDOPEPTIDASE INHIBITOR ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.00980392156862745,0.0,0.0,0.0,0.00980392156862745,0.0,0.0,0.0
PEPTIDASE INHIBITOR ACTIVITY,0.01675977653631285,0.0,0.0,0.0,0.0,0.00558659217877095,0.0,0.0,0.0,0.00558659217877095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01675977653631285,0.0,0.0,0.0,0.0,0.0111731843575419,0.9553072625698324,1.0,0.5698324022346368,1.0,1.0,0.00558659217877095,0.00558659217877095,0.0,0.0,0.0111731843575419,0.0,0.0,0.0
ENZYME INHIBITOR ACTIVITY,0.008528784648187633,0.0021321961620469083,0.006396588486140725,0.0021321961620469083,0.0042643923240938165,0.010660980810234541,0.0042643923240938165,0.014925373134328358,0.006396588486140725,0.01279317697228145,0.0042643923240938165,0.010660980810234541,0.0021321961620469083,0.0,0.0,0.014925373134328358,0.0021321961620469083,0.0,0.0,0.0,0.0042643923240938165,0.031982942430703626,0.0021321961620469083,0.0042643923240938165,0.0,0.0,0.010660980810234541,0.3646055437100213,0.3859275053304904,0.21748400852878466,0.3816631130063966,1.0,0.017057569296375266,0.021321961620469083,0.01279317697228145,0.0,0.008528784648187633,0.0021321961620469083,0.0021321961620469083,0.0
UNFOLDED PROTEIN BINDING,0.008130081300813009,0.008130081300813009,0.016260162601626018,0.008130081300813009,0.008130081300813009,0.056910569105691054,0.008130081300813009,0.2845528455284553,0.0,0.008130081300813009,0.0,0.016260162601626018,0.0,0.0,0.0,0.0,0.008130081300813009,0.0,0.008130081300813009,0.008130081300813009,0.0,0.0,0.0,0.0,0.0,0.0,0.008130081300813009,0.016260162601626018,0.024390243902439025,0.008130081300813009,0.008130081300813009,0.06504065040650407,1.0,0.024390243902439025,0.016260162601626018,0.0,0.016260162601626018,0.008130081300813009,0.0,0.0
HISTONE BINDING,0.0,0.09714285714285714,0.10857142857142857,0.017142857142857144,0.045714285714285714,0.045714285714285714,0.045714285714285714,0.10285714285714286,0.011428571428571429,0.005714285714285714,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.011428571428571429,0.0,0.017142857142857144,0.0,0.0,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.0,0.005714285714285714,0.05714285714285714,0.017142857142857144,1.0,0.03428571428571429,0.0,0.06285714285714286,0.011428571428571429,0.0,0.0
RIBONUCLEOPROTEIN COMPLEX BINDING,0.0,0.027624309392265192,0.04419889502762431,0.022099447513812154,0.06629834254143646,0.0718232044198895,0.06629834254143646,0.08839779005524862,0.0055248618784530384,0.016574585635359115,0.016574585635359115,0.1270718232044199,0.03867403314917127,0.022099447513812154,0.016574585635359115,0.011049723756906077,0.011049723756906077,0.0,0.0,0.0,0.016574585635359115,0.0055248618784530384,0.0,0.0,0.0,0.0,0.011049723756906077,0.0055248618784530384,0.016574585635359115,0.0,0.0,0.03314917127071823,0.011049723756906077,0.03314917127071823,1.0,0.0,0.022099447513812154,0.0055248618784530384,0.0,0.0
STRUCTURAL CONSTITUENT OF NUCLEAR PORE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,0.08,0.0,0.0
MOLECULAR CARRIER ACTIVITY,0.0,0.015748031496062992,0.023622047244094488,0.007874015748031496,0.007874015748031496,0.007874015748031496,0.007874015748031496,0.031496062992125984,0.0,0.007874015748031496,0.0,0.0,0.007874015748031496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047244094488188976,0.0,0.0,0.0,0.07874015748031496,0.007874015748031496,0.015748031496062992,0.007874015748031496,0.015748031496062992,0.031496062992125984,0.015748031496062992,0.08661417322834646,0.031496062992125984,0.015748031496062992,1.0,0.2677165354330709,0.0,0.0
NUCLEOCYTOPLASMIC CARRIER ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.058823529411764705,1.0,1.0,0.0,0.0
SNORNA BINDING,0.0,0.03333333333333333,0.1,0.03333333333333333,0.1,0.13333333333333333,0.1,0.1,0.06666666666666667,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"OXIDOREDUCTION DRIVEN ACTIVE TRANSMEMBRANE
TRANSPORTER ACTIVITY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
