"TF","Score","Activity_Score_Mean","Method_P_Value","Condition_Scores","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"PPARGC1B","2.6424843227202092777","2.6424843227202092777","0.008230027528583335957867994636671937769278883934020996093750","HVL_TOR10=2.642","Activated","39","collectri","39","2.6424843227202092777",NA,"0","",NA,NA,NA
"MEIS1","2.6338069250595781412","2.6338069250595781412","0.008443348541278716118396729939377109985798597335815429687500","HVL_TOR10=2.634","Activated","40","collectri","40","2.6338069250595781412",NA,"5","Literature--ChIP-seq(rank=125); ReMap--ChIP-seq(rank=196); GTEx--Coexpression(rank=877); Enrichr--Queries(rank=1167); ARCHS4--Coexpression(rank=1232)","1390","0.545699999999999963","GTEx Coexpression,0.5457"
"FOXN4","2.6289031200536698840","2.6289031200536698840","0.008566076068250133568326987187901977449655532836914062500000","HVL_TOR10=2.629","Activated","41","collectri","41","2.6289031200536698840",NA,"3","ARCHS4--Coexpression(rank=7); Enrichr--Queries(rank=115); GTEx--Coexpression(rank=1482)","13","0.004300000000000000","ARCHS4 Coexpression,0.0043"
"HOXB13","2.6053040571881584953","2.6053040571881584953","0.009179276011406532070902031250625441316515207290649414062500","HVL_TOR10=2.605","Activated","42","collectri","42","2.6053040571881584953",NA,"4","GTEx--Coexpression(rank=201); ReMap--ChIP-seq(rank=268); Enrichr--Queries(rank=639); ARCHS4--Coexpression(rank=1235)","477","0.125099999999999989","GTEx Coexpression,0.1251"
"TGFB1I1","2.5866865890309655995","2.5866865890309655995","0.009690368842241661381797790397740754997357726097106933593750","HVL_TOR10=2.587","Activated","43","collectri","43","2.5866865890309655995",NA,"0","",NA,NA,NA
"NEUROG2","2.5828016202840879956","2.5828016202840879956","0.009800165643350277136502946007112768711522221565246582031250","HVL_TOR10=2.583","Activated","44","collectri","44","2.5828016202840879956",NA,"3","GTEx--Coexpression(rank=67); ARCHS4--Coexpression(rank=142); Enrichr--Queries(rank=1037)","164","0.041689999999999998","GTEx Coexpression,0.04169"
"DNMT3B","2.5655901464341477336","-2.5655901464341477336","0.010300045306312096207723705276748660253360867500305175781250","HVL_TOR10=-2.566","Repressed","45","collectri","45","2.5655901464341477336",NA,"0","",NA,NA,NA
"ASCL1","2.5301744319586787491","2.5301744319586787491","0.011400583325736327391930480246173829073086380958557128906250","HVL_TOR10=2.53","Activated","46","collectri","46","2.5301744319586787491",NA,"4","ReMap--ChIP-seq(rank=13); GTEx--Coexpression(rank=94); Enrichr--Queries(rank=568); ARCHS4--Coexpression(rank=1244)","173","0.043770000000000003","ReMap ChIP-seq,0.04377"
"E2F5","2.5297847719146338008","-2.5297847719146338008","0.011413251399677021638567886441251175710931420326232910156250","HVL_TOR10=-2.53","Repressed","47","collectri","47","2.5297847719146338008",NA,"4","ReMap--ChIP-seq(rank=7); Enrichr--Queries(rank=62); ARCHS4--Coexpression(rank=851); GTEx--Coexpression(rank=864)","90","0.023570000000000001","ReMap ChIP-seq,0.02357"
"HOXB3","2.5096649972493643155","-2.5096649972493643155","0.012084574500596913584904434912914439337328076362609863281250","HVL_TOR10=-2.51","Repressed","48","collectri","48","2.5096649972493643155",NA,"3","Enrichr--Queries(rank=378); GTEx--Coexpression(rank=490); ARCHS4--Coexpression(rank=989)","919","0.269199999999999995","Enrichr Queries,0.2692"
