Pathway,COLLAGEN TRIMER,COMPLEX OF COLLAGEN TRIMERS,COLLAGEN TYPE IV TRIMER,TRANS GOLGI NETWORK,GOLGI APPARATUS SUBCOMPARTMENT,EARLY ENDOSOME,EARLY ENDOSOME MEMBRANE,NUCLEAR SPECK,NUCLEAR RIBONUCLEOPROTEIN GRANULE,SPLICEOSOMAL COMPLEX,U12 TYPE CATALYTIC STEP 2 SPLICEOSOME,CATALYTIC STEP 2 SPLICEOSOME,CATALYTIC STEP 1 SPLICEOSOME,TELOMERASE HOLOENZYME COMPLEX,CYTOSOLIC RIBOSOME,CYTOSOLIC LARGE RIBOSOMAL SUBUNIT,SPERMATOPROTEASOME COMPLEX,PEPTIDASE COMPLEX,PROTEASOME CORE COMPLEX BETA SUBUNIT COMPLEX,PROTEASOME CORE COMPLEX,PROTEASOME STORAGE GRANULE,FICOLIN 1 RICH GRANULE LUMEN,IGM IMMUNOGLOBULIN COMPLEX,SMALL SUBUNIT PROCESSOME,NUCLEAR EXOSOME RNASE COMPLEX,SPINDLE POLE,FLEMMING BODY,ORGANELLAR RIBOSOME,MITOCHONDRIAL PROTEIN CONTAINING COMPLEX,A BAND,M BAND,HEMOGLOBIN COMPLEX,CYTOSOLIC 4FE 4S ASSEMBLY TARGETING COMPLEX,CORE MEDIATOR COMPLEX,HISTONE ACETYLTRANSFERASE COMPLEX,HISTONE DEACETYLASE COMPLEX,NUCLEOTIDE ACTIVATED PROTEIN KINASE COMPLEX,GAP JUNCTION,BCL 2 FAMILY PROTEIN COMPLEX,CASPASE COMPLEX
CATALYTIC STEP 2 SPLICEOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4074074074074074,0.4351851851851852,1.0,0.35185185185185186,1.0,0.5555555555555556,0.046296296296296294,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,0.009259259259259259,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0
CATALYTIC STEP 1 SPLICEOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4925373134328358,0.5074626865671642,1.0,0.4626865671641791,0.8955223880597015,1.0,0.04477611940298507,0.0,0.0,0.0,0.029850746268656716,0.0,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029850746268656716,0.0,0.0,0.0,0.0,0.0
TELOMERASE HOLOENZYME COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.36363636363636365,0.22727272727272727,0.13636363636363635,0.22727272727272727,0.13636363636363635,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYTOSOLIC RIBOSOME,0.0,0.0,0.0,0.0,0.0,0.008264462809917356,0.0,0.01652892561983471,0.01652892561983471,0.0,0.0,0.0,0.0,0.0,1.0,0.4793388429752066,0.0,0.0,0.0,0.0,0.0,0.01652892561983471,0.0,0.1652892561983471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYTOSOLIC LARGE RIBOSOMAL SUBUNIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPERMATOPROTEASOME COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5555555555555556,0.9444444444444444,0.7222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEPTIDASE COMPLEX,0.037267080745341616,0.0,0.0,0.006211180124223602,0.006211180124223602,0.012422360248447204,0.0,0.012422360248447204,0.012422360248447204,0.012422360248447204,0.012422360248447204,0.012422360248447204,0.012422360248447204,0.0,0.0,0.0,0.11180124223602485,1.0,0.06832298136645963,0.12422360248447205,0.11801242236024845,0.10559006211180125,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.006211180124223602,0.0,0.0,0.0,0.0,0.15527950310559005,0.012422360248447204,0.0,0.0,0.0,0.09937888198757763
PROTEASOME CORE COMPLEX BETA SUBUNIT COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,1.0,1.0,1.0,0.6363636363636364,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROTEASOME CORE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,0.55,1.0,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROTEASOME STORAGE GRANULE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6842105263157895,1.0,0.3684210526315789,0.7368421052631579,1.0,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FICOLIN 1 RICH GRANULE LUMEN,0.008,0.0,0.0,0.0,0.008,0.032,0.0,0.04,0.04,0.016,0.0,0.008,0.008,0.0,0.016,0.0,0.032,0.136,0.016,0.032,0.04,1.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.008,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008
IGM IMMUNOGLOBULIN COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL SUBUNIT PROCESSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04054054054054054,0.013513513513513514,0.0,0.0,0.0,0.013513513513513514,0.2702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUCLEAR EXOSOME RNASE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0625,0.0,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPINDLE POLE,0.0,0.0,0.0,0.010810810810810811,0.021621621621621623,0.005405405405405406,0.0,0.05405405405405406,0.05945945945945946,0.010810810810810811,0.0,0.005405405405405406,0.0,0.005405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010810810810810811,0.0,0.0,0.0,1.0,0.032432432432432434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021621621621621623,0.005405405405405406,0.0,0.0,0.0,0.0
FLEMMING BODY,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.11538461538461539,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORGANELLAR RIBOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MITOCHONDRIAL PROTEIN CONTAINING COMPLEX,0.0,0.0,0.0,0.0,0.0,0.005494505494505495,0.0,0.005494505494505495,0.005494505494505495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45054945054945056,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005494505494505495,0.0
A BAND,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7073170731707317,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0
M BAND,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEMOGLOBIN COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYTOSOLIC 4FE 4S ASSEMBLY TARGETING COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CORE MEDIATOR COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HISTONE ACETYLTRANSFERASE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.020202020202020204,0.020202020202020204,0.020202020202020204,0.020202020202020204,0.0,0.0,0.0,0.0,0.25252525252525254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04040404040404041,0.0,0.0,0.0,0.010101010101010102,0.0,0.0,0.0,0.0,1.0,0.13131313131313133,0.0,0.0,0.0,0.0
HISTONE DEACETYLASE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1724137931034483,0.1724137931034483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022988505747126436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14942528735632185,1.0,0.0,0.0,0.0,0.0
NUCLEOTIDE ACTIVATED PROTEIN KINASE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GAP JUNCTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BCL 2 FAMILY PROTEIN COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CASPASE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
