Pathway,PSMB5 TARGET GENES,EGFR TARGET GENES,MAPK3 TARGET GENES,CTR9 TARGET GENES,NPAT TARGET GENES,NR1I2 TARGET GENES,ZNF16 TARGET GENES,FOXR2 TARGET GENES,SOX11 TARGET GENES,CASP8AP2 TARGET GENES,ALKBH3 TARGET GENES,RUVBL1 TARGET GENES,"SS18 SSX1 FUSION UNIPROT Q8IZH1 UNREVIEWED
TARGET GENES",HOXA13 TARGET GENES,SIX1 TARGET GENES,PRMT5 TARGET GENES,TAFAZZIN TARGET GENES,CHAF1A TARGET GENES,MYBL1 TARGET GENES,PHF21A TARGET GENES,NFXL1 TARGET GENES,ZNF746 TARGET GENES,ZNF486 TARGET GENES,TERF1 TARGET GENES,TERF2 TARGET GENES,EMX1 TARGET GENES,NPM1 TARGET GENES,ZNF830 TARGET GENES,TRIP13 TARGET GENES,ZNF581 TARGET GENES,ERCC8 TARGET GENES,MED16 TARGET GENES,GTF2E2 TARGET GENES,ZNF101 TARGET GENES,ZNF354C TARGET GENES,ZNF558 TARGET GENES,ZNF445 TARGET GENES,RBM15 TARGET GENES,ZNF622 TARGET GENES,PPARGC1A TARGET GENES
ALKBH3 TARGET GENES,0.045146726862302484,0.002257336343115124,0.004514672686230248,0.002257336343115124,0.020316027088036117,0.040632054176072234,0.0,0.03160270880361174,0.002257336343115124,0.23702031602708803,1.0,0.05417607223476298,0.011286681715575621,0.011286681715575621,0.020316027088036117,0.002257336343115124,0.03160270880361174,0.011286681715575621,0.05417607223476298,0.03160270880361174,0.01805869074492099,0.0,0.01580135440180587,0.004514672686230248,0.002257336343115124,0.01580135440180587,0.060948081264108354,0.04740406320541761,0.024830699774266364,0.029345372460496615,0.0,0.004514672686230248,0.1309255079006772,0.13318284424379231,0.0,0.06772009029345373,0.0,0.013544018058690745,0.0,0.01580135440180587
RUVBL1 TARGET GENES,0.10989010989010989,0.016483516483516484,0.03296703296703297,0.02197802197802198,0.02197802197802198,0.06593406593406594,0.0,0.06593406593406594,0.005494505494505495,0.14285714285714285,0.13186813186813187,1.0,0.01098901098901099,0.016483516483516484,0.0,0.03296703296703297,0.02197802197802198,0.01098901098901099,0.1043956043956044,0.03296703296703297,0.02197802197802198,0.0,0.005494505494505495,0.01098901098901099,0.01098901098901099,0.02197802197802198,0.04395604395604396,0.038461538461538464,0.0,0.016483516483516484,0.0,0.005494505494505495,0.14285714285714285,0.07142857142857142,0.0,0.04395604395604396,0.0,0.038461538461538464,0.0,0.005494505494505495
"SS18 SSX1 FUSION UNIPROT Q8IZH1 UNREVIEWED
TARGET GENES",0.00477326968973747,0.0,0.007159904534606206,0.0,0.002386634844868735,0.021479713603818614,0.00954653937947494,0.00477326968973747,0.0,0.01909307875894988,0.011933174224343675,0.00477326968973747,1.0,0.011933174224343675,0.028639618138424822,0.00477326968973747,0.057279236276849645,0.002386634844868735,0.026252983293556086,0.021479713603818614,0.021479713603818614,0.00477326968973747,0.014319809069212411,0.007159904534606206,0.011933174224343675,0.00954653937947494,0.014319809069212411,0.007159904534606206,0.00477326968973747,0.016706443914081145,0.0,0.011933174224343675,0.021479713603818614,0.028639618138424822,0.0,0.021479713603818614,0.0,0.016706443914081145,0.002386634844868735,0.016706443914081145
HOXA13 TARGET GENES,0.017857142857142856,0.0,0.0,0.0,0.03571428571428571,0.05357142857142857,0.0,0.07142857142857142,0.0,0.07142857142857142,0.08928571428571429,0.05357142857142857,0.08928571428571429,1.0,0.03571428571428571,0.0,0.08928571428571429,0.0,0.08928571428571429,0.0,0.0,0.0,0.0,0.017857142857142856,0.017857142857142856,0.0,0.017857142857142856,0.017857142857142856,0.0,0.14285714285714285,0.0,0.0,0.03571428571428571,0.08928571428571429,0.0,0.03571428571428571,0.0,0.0,0.0,0.0
SIX1 TARGET GENES,0.015665796344647518,0.0,0.007832898172323759,0.005221932114882507,0.010443864229765013,0.020887728459530026,0.0026109660574412533,0.010443864229765013,0.0,0.013054830287206266,0.02349869451697128,0.0,0.031331592689295036,0.005221932114882507,1.0,0.013054830287206266,0.05221932114882506,0.007832898172323759,0.010443864229765013,0.020887728459530026,0.031331592689295036,0.007832898172323759,0.007832898172323759,0.010443864229765013,0.010443864229765013,0.013054830287206266,0.015665796344647518,0.010443864229765013,0.005221932114882507,0.013054830287206266,0.0,0.0026109660574412533,0.015665796344647518,0.028720626631853787,0.0,0.031331592689295036,0.0,0.007832898172323759,0.005221932114882507,0.0
PRMT5 TARGET GENES,0.0761904761904762,0.0380952380952381,0.06666666666666667,0.01904761904761905,0.05714285714285714,0.0380952380952381,0.0,0.01904761904761905,0.0,0.047619047619047616,0.009523809523809525,0.05714285714285714,0.01904761904761905,0.0,0.047619047619047616,1.0,0.12380952380952381,0.009523809523809525,0.02857142857142857,0.009523809523809525,0.02857142857142857,0.0,0.0,0.0,0.0,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.0,0.01904761904761905,0.0,0.047619047619047616,0.10476190476190476,0.009523809523809525,0.0,0.06666666666666667,0.0,0.01904761904761905,0.009523809523809525,0.0
TAFAZZIN TARGET GENES,0.01639344262295082,0.006147540983606557,0.00819672131147541,0.0020491803278688526,0.012295081967213115,0.02459016393442623,0.012295081967213115,0.014344262295081968,0.004098360655737705,0.02459016393442623,0.028688524590163935,0.00819672131147541,0.04918032786885246,0.010245901639344262,0.040983606557377046,0.02663934426229508,1.0,0.004098360655737705,0.030737704918032786,0.028688524590163935,0.0471311475409836,0.006147540983606557,0.006147540983606557,0.004098360655737705,0.0,0.020491803278688523,0.014344262295081968,0.010245901639344262,0.0,0.010245901639344262,0.0,0.006147540983606557,0.018442622950819672,0.040983606557377046,0.0020491803278688526,0.02459016393442623,0.0,0.00819672131147541,0.0020491803278688526,0.0
CHAF1A TARGET GENES,0.05102040816326531,0.0,0.01020408163265306,0.0,0.030612244897959183,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.0,0.04081632653061224,0.05102040816326531,0.02040816326530612,0.01020408163265306,0.0,0.030612244897959183,0.01020408163265306,0.02040816326530612,1.0,0.10204081632653061,0.07142857142857142,0.061224489795918366,0.0,0.04081632653061224,0.0,0.0,0.02040816326530612,0.0,0.04081632653061224,0.02040816326530612,0.01020408163265306,0.01020408163265306,0.030612244897959183,0.04081632653061224,0.030612244897959183,0.0,0.09183673469387756,0.0,0.061224489795918366,0.02040816326530612,0.0
MYBL1 TARGET GENES,0.04979253112033195,0.004149377593360996,0.008298755186721992,0.002074688796680498,0.029045643153526972,0.04149377593360996,0.0,0.016597510373443983,0.008298755186721992,0.01867219917012448,0.04979253112033195,0.03941908713692946,0.022821576763485476,0.01037344398340249,0.008298755186721992,0.006224066390041493,0.03112033195020747,0.02074688796680498,1.0,0.02074688796680498,0.024896265560165973,0.008298755186721992,0.006224066390041493,0.014522821576763486,0.006224066390041493,0.01867219917012448,0.03734439834024896,0.02074688796680498,0.004149377593360996,0.07468879668049792,0.0,0.006224066390041493,0.058091286307053944,0.035269709543568464,0.0,0.02074688796680498,0.0,0.016597510373443983,0.008298755186721992,0.004149377593360996
PHF21A TARGET GENES,0.027491408934707903,0.0,0.006872852233676976,0.006872852233676976,0.041237113402061855,0.027491408934707903,0.006872852233676976,0.010309278350515464,0.003436426116838488,0.024054982817869417,0.048109965635738834,0.020618556701030927,0.030927835051546393,0.0,0.027491408934707903,0.003436426116838488,0.048109965635738834,0.024054982817869417,0.03436426116838488,1.0,0.061855670103092786,0.006872852233676976,0.010309278350515464,0.010309278350515464,0.006872852233676976,0.006872852233676976,0.020618556701030927,0.013745704467353952,0.013745704467353952,0.010309278350515464,0.003436426116838488,0.024054982817869417,0.027491408934707903,0.030927835051546393,0.0,0.024054982817869417,0.0,0.024054982817869417,0.0,0.006872852233676976
NFXL1 TARGET GENES,0.042283298097251586,0.006342494714587738,0.014799154334038054,0.004228329809725159,0.035940803382663845,0.016913319238900635,0.008456659619450317,0.010570824524312896,0.0,0.023255813953488372,0.016913319238900635,0.008456659619450317,0.019027484143763214,0.0,0.02536997885835095,0.006342494714587738,0.048625792811839326,0.012684989429175475,0.02536997885835095,0.03805496828752643,1.0,0.02536997885835095,0.012684989429175475,0.012684989429175475,0.004228329809725159,0.006342494714587738,0.016913319238900635,0.016913319238900635,0.006342494714587738,0.010570824524312896,0.0,0.004228329809725159,0.040169133192389,0.021141649048625793,0.0,0.014799154334038054,0.0021141649048625794,0.02748414376321353,0.006342494714587738,0.010570824524312896
ZNF746 TARGET GENES,0.0625,0.0125,0.0125,0.025,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0375,0.0,0.0375,0.0,0.05,0.025,0.15,1.0,0.025,0.0125,0.0125,0.0125,0.025,0.0,0.0,0.0125,0.0125,0.0,0.025,0.0125,0.0,0.0375,0.0,0.0375,0.0,0.0
ZNF486 TARGET GENES,0.003289473684210526,0.0,0.003289473684210526,0.0,0.006578947368421052,0.006578947368421052,0.003289473684210526,0.009868421052631578,0.0,0.009868421052631578,0.023026315789473683,0.003289473684210526,0.019736842105263157,0.0,0.009868421052631578,0.0,0.009868421052631578,0.013157894736842105,0.009868421052631578,0.009868421052631578,0.019736842105263157,0.006578947368421052,1.0,0.01644736842105263,0.0,0.013157894736842105,0.023026315789473683,0.009868421052631578,0.003289473684210526,0.006578947368421052,0.003289473684210526,0.006578947368421052,0.02631578947368421,0.02631578947368421,0.0,0.006578947368421052,0.0,0.003289473684210526,0.003289473684210526,0.003289473684210526
TERF1 TARGET GENES,0.010033444816053512,0.0033444816053511705,0.0033444816053511705,0.0,0.0033444816053511705,0.013377926421404682,0.0,0.016722408026755852,0.0033444816053511705,0.016722408026755852,0.006688963210702341,0.006688963210702341,0.010033444816053512,0.0033444816053511705,0.013377926421404682,0.0,0.006688963210702341,0.0,0.023411371237458192,0.010033444816053512,0.020066889632107024,0.0033444816053511705,0.016722408026755852,1.0,0.15719063545150502,0.020066889632107024,0.016722408026755852,0.006688963210702341,0.006688963210702341,0.016722408026755852,0.0,0.0033444816053511705,0.020066889632107024,0.033444816053511704,0.0,0.010033444816053512,0.0,0.0033444816053511705,0.006688963210702341,0.0
TERF2 TARGET GENES,0.0,0.0070921985815602835,0.0070921985815602835,0.0,0.014184397163120567,0.028368794326241134,0.0,0.02127659574468085,0.0070921985815602835,0.014184397163120567,0.0070921985815602835,0.014184397163120567,0.03546099290780142,0.0070921985815602835,0.028368794326241134,0.0,0.0,0.0,0.02127659574468085,0.014184397163120567,0.014184397163120567,0.0070921985815602835,0.0,0.3333333333333333,1.0,0.03546099290780142,0.014184397163120567,0.0070921985815602835,0.014184397163120567,0.03546099290780142,0.0,0.014184397163120567,0.0,0.014184397163120567,0.0,0.014184397163120567,0.0,0.0,0.0,0.0
EMX1 TARGET GENES,0.05172413793103448,0.0,0.021551724137931036,0.004310344827586207,0.008620689655172414,0.02586206896551724,0.0,0.008620689655172414,0.0,0.06896551724137931,0.03017241379310345,0.017241379310344827,0.017241379310344827,0.0,0.021551724137931036,0.004310344827586207,0.04310344827586207,0.008620689655172414,0.03879310344827586,0.008620689655172414,0.01293103448275862,0.004310344827586207,0.017241379310344827,0.02586206896551724,0.021551724137931036,1.0,0.017241379310344827,0.034482758620689655,0.0,0.03017241379310345,0.0,0.0,0.06465517241379311,0.03017241379310345,0.0,0.03017241379310345,0.0,0.017241379310344827,0.004310344827586207,0.004310344827586207
NPM1 TARGET GENES,0.06318681318681318,0.005494505494505495,0.016483516483516484,0.0027472527472527475,0.013736263736263736,0.016483516483516484,0.008241758241758242,0.03296703296703297,0.0027472527472527475,0.038461538461538464,0.07417582417582418,0.02197802197802198,0.016483516483516484,0.0027472527472527475,0.016483516483516484,0.0027472527472527475,0.019230769230769232,0.0,0.04945054945054945,0.016483516483516484,0.02197802197802198,0.005494505494505495,0.019230769230769232,0.013736263736263736,0.005494505494505495,0.01098901098901099,1.0,0.20604395604395603,0.01098901098901099,0.03296703296703297,0.0,0.0027472527472527475,0.07967032967032966,0.06043956043956044,0.0,0.03296703296703297,0.0,0.024725274725274724,0.0027472527472527475,0.005494505494505495
ZNF830 TARGET GENES,0.031141868512110725,0.0,0.010380622837370242,0.006920415224913495,0.010380622837370242,0.010380622837370242,0.01384083044982699,0.04844290657439446,0.0034602076124567475,0.03460207612456748,0.0726643598615917,0.02422145328719723,0.010380622837370242,0.0034602076124567475,0.01384083044982699,0.0034602076124567475,0.01730103806228374,0.01384083044982699,0.03460207612456748,0.01384083044982699,0.02768166089965398,0.0,0.010380622837370242,0.006920415224913495,0.0034602076124567475,0.02768166089965398,0.25951557093425603,1.0,0.01730103806228374,0.04498269896193772,0.006920415224913495,0.0,0.031141868512110725,0.05536332179930796,0.0,0.04844290657439446,0.0,0.0034602076124567475,0.010380622837370242,0.006920415224913495
TRIP13 TARGET GENES,0.0,0.01020408163265306,0.0,0.01020408163265306,0.01020408163265306,0.0,0.0,0.01020408163265306,0.0,0.07142857142857142,0.11224489795918367,0.0,0.02040816326530612,0.0,0.02040816326530612,0.0,0.0,0.02040816326530612,0.02040816326530612,0.04081632653061224,0.030612244897959183,0.0,0.01020408163265306,0.02040816326530612,0.02040816326530612,0.0,0.04081632653061224,0.05102040816326531,1.0,0.01020408163265306,0.0,0.0,0.02040816326530612,0.04081632653061224,0.0,0.02040816326530612,0.0,0.0,0.0,0.01020408163265306
ZNF581 TARGET GENES,0.06927710843373494,0.0,0.015060240963855422,0.009036144578313253,0.05120481927710843,0.09036144578313253,0.0030120481927710845,0.02710843373493976,0.006024096385542169,0.04216867469879518,0.0391566265060241,0.009036144578313253,0.02108433734939759,0.024096385542168676,0.015060240963855422,0.006024096385542169,0.015060240963855422,0.0030120481927710845,0.10843373493975904,0.009036144578313253,0.015060240963855422,0.0030120481927710845,0.006024096385542169,0.015060240963855422,0.015060240963855422,0.02108433734939759,0.03614457831325301,0.0391566265060241,0.0030120481927710845,1.0,0.009036144578313253,0.0,0.060240963855421686,0.0572289156626506,0.006024096385542169,0.030120481927710843,0.0,0.006024096385542169,0.0,0.02108433734939759
ERCC8 TARGET GENES,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.125,0.0,0.1875,1.0,0.0625,0.0625,0.0,0.0,0.1875,0.0,0.0625,0.0,0.0
MED16 TARGET GENES,0.14893617021276595,0.10638297872340426,0.0425531914893617,0.0,0.0,0.02127659574468085,0.0,0.0,0.0425531914893617,0.0851063829787234,0.0425531914893617,0.02127659574468085,0.10638297872340426,0.0,0.02127659574468085,0.10638297872340426,0.06382978723404255,0.06382978723404255,0.06382978723404255,0.14893617021276595,0.0425531914893617,0.0,0.0425531914893617,0.02127659574468085,0.0425531914893617,0.0,0.02127659574468085,0.0,0.0,0.0,0.02127659574468085,1.0,0.3404255319148936,0.0425531914893617,0.02127659574468085,0.1276595744680851,0.0,0.0425531914893617,0.0,0.06382978723404255
GTF2E2 TARGET GENES,0.2278177458033573,0.023980815347721823,0.03597122302158273,0.014388489208633094,0.03836930455635491,0.02877697841726619,0.0,0.02158273381294964,0.004796163069544364,0.09592326139088729,0.13908872901678657,0.06235011990407674,0.02158273381294964,0.004796163069544364,0.014388489208633094,0.026378896882494004,0.02158273381294964,0.009592326139088728,0.0671462829736211,0.019184652278177457,0.045563549160671464,0.004796163069544364,0.019184652278177457,0.014388489208633094,0.0,0.03597122302158273,0.06954436450839328,0.02158273381294964,0.004796163069544364,0.047961630695443645,0.002398081534772182,0.03836930455635491,1.0,0.04316546762589928,0.002398081534772182,0.04316546762589928,0.002398081534772182,0.05995203836930456,0.009592326139088728,0.004796163069544364
ZNF101 TARGET GENES,0.02434077079107505,0.0,0.012170385395537525,0.008113590263691683,0.02028397565922921,0.02028397565922921,0.002028397565922921,0.02231237322515213,0.010141987829614604,0.058823529411764705,0.11967545638945233,0.02636916835699797,0.02434077079107505,0.010141987829614604,0.02231237322515213,0.002028397565922921,0.04056795131845842,0.006085192697768763,0.034482758620689655,0.018255578093306288,0.02028397565922921,0.002028397565922921,0.016227180527383367,0.02028397565922921,0.004056795131845842,0.014198782961460446,0.04462474645030426,0.032454361054766734,0.008113590263691683,0.038539553752535496,0.0,0.004056795131845842,0.036511156186612576,1.0,0.028397565922920892,0.19878296146044624,0.0,0.014198782961460446,0.006085192697768763,0.006085192697768763
ZNF354C TARGET GENES,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.0,0.0,0.0,0.0
ZNF558 TARGET GENES,0.03514376996805112,0.003194888178913738,0.003194888178913738,0.006389776357827476,0.04153354632587859,0.009584664536741214,0.006389776357827476,0.019169329073482427,0.006389776357827476,0.06070287539936102,0.09584664536741214,0.025559105431309903,0.02875399361022364,0.006389776357827476,0.038338658146964855,0.022364217252396165,0.038338658146964855,0.02875399361022364,0.03194888178913738,0.022364217252396165,0.022364217252396165,0.009584664536741214,0.006389776357827476,0.009584664536741214,0.006389776357827476,0.022364217252396165,0.038338658146964855,0.04472843450479233,0.006389776357827476,0.03194888178913738,0.009584664536741214,0.019169329073482427,0.05750798722044728,0.31309904153354634,0.04472843450479233,1.0,0.003194888178913738,0.025559105431309903,0.006389776357827476,0.009584664536741214
ZNF445 TARGET GENES,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,1.0,0.125,0.0,0.0
RBM15 TARGET GENES,0.18686868686868688,0.010101010101010102,0.06565656565656566,0.010101010101010102,0.04040404040404041,0.020202020202020204,0.0,0.015151515151515152,0.0,0.07575757575757576,0.030303030303030304,0.03535353535353535,0.03535353535353535,0.0,0.015151515151515152,0.010101010101010102,0.020202020202020204,0.030303030303030304,0.04040404040404041,0.03535353535353535,0.06565656565656566,0.015151515151515152,0.005050505050505051,0.005050505050505051,0.0,0.020202020202020204,0.045454545454545456,0.005050505050505051,0.0,0.010101010101010102,0.005050505050505051,0.010101010101010102,0.12626262626262627,0.03535353535353535,0.0,0.04040404040404041,0.005050505050505051,1.0,0.0,0.010101010101010102
ZNF622 TARGET GENES,0.0410958904109589,0.0,0.0,0.0,0.0410958904109589,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0,0.0410958904109589,0.0,0.0,0.0136986301369863,0.0,0.0273972602739726,0.0136986301369863,0.0136986301369863,0.0273972602739726,0.0547945205479452,0.0,0.0410958904109589,0.0,0.0136986301369863,0.0273972602739726,0.0,0.0136986301369863,0.0136986301369863,0.0410958904109589,0.0,0.0,0.0,0.0,0.0547945205479452,0.0410958904109589,0.0,0.0273972602739726,0.0,0.0,1.0,0.0273972602739726
PPARGC1A TARGET GENES,0.07920792079207921,0.0,0.0297029702970297,0.009900990099009901,0.009900990099009901,0.04950495049504951,0.0,0.019801980198019802,0.009900990099009901,0.06930693069306931,0.06930693069306931,0.009900990099009901,0.06930693069306931,0.0,0.0,0.0,0.0,0.0,0.019801980198019802,0.019801980198019802,0.04950495049504951,0.0,0.009900990099009901,0.0,0.0,0.009900990099009901,0.019801980198019802,0.019801980198019802,0.009900990099009901,0.06930693069306931,0.0,0.0297029702970297,0.019801980198019802,0.0297029702970297,0.0,0.0297029702970297,0.0,0.019801980198019802,0.019801980198019802,1.0
