"TF","HT55","SW948","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"HOXB13","-1.333965833727393635","1.50502494211519933","0.0855295541939028459","1.4194953879212964","Activated","120","viper","120","1.4194953879212964",NA,NA,"4","ReMap--ChIP-seq(rank=245); ARCHS4--Coexpression(rank=501); Enrichr--Queries(rank=582); GTEx--Coexpression(rank=1584)","967","0.30769999999999992","ARCHS4 Coexpression,0.3077"
"RBPJ","-0.773359430886376931","2.05544761135782084","0.6410440902357219528","1.4144035211220989","Activated","121","viper","121","1.4144035211220989",NA,NA,"5","ReMap--ChIP-seq(rank=27); Literature--ChIP-seq(rank=135); GTEx--Coexpression(rank=372); Enrichr--Queries(rank=391); ARCHS4--Coexpression(rank=1499)","336","0.09091000000000000","ReMap ChIP-seq,0.09091"
"KLF9","2.426483211259159667","-0.40161942526156891","1.0124318929987954352","1.4140513182603642","Activated","122","viper","122","1.4140513182603642",NA,NA,"4","GTEx--Coexpression(rank=23); Enrichr--Queries(rank=35); ARCHS4--Coexpression(rank=47); ReMap--ChIP-seq(rank=215)","57","0.01431000000000000","GTEx Coexpression,0.01431"
"SIX5","-0.066159001517575811","-2.73029293912573401","-1.3982259703216548541","1.3982259703216549","Repressed","123","viper","123","1.3982259703216549",NA,NA,"5","ENCODE--ChIP-seq(rank=64); ReMap--ChIP-seq(rank=218); GTEx--Coexpression(rank=339); Enrichr--Queries(rank=635); ARCHS4--Coexpression(rank=799)","729","0.21099999999999999","GTEx Coexpression,0.211"
"KLF1","1.779200932282241965","-1.01562445906989707","0.3817882366061724486","1.3974126956760695","Activated","124","viper","124","1.3974126956760695",NA,NA,"5","ReMap--ChIP-seq(rank=93); Literature--ChIP-seq(rank=121); ARCHS4--Coexpression(rank=765); Enrichr--Queries(rank=869); GTEx--Coexpression(rank=971)","979","0.31309999999999999","ReMap ChIP-seq,0.3131"
"CDX2","2.021756441228482970","-0.72552383806949661","0.6481163015794931814","1.3736401396489897","Activated","125","viper","125","1.3736401396489897",NA,NA,"5","Literature--ChIP-seq(rank=64); ReMap--ChIP-seq(rank=138); ARCHS4--Coexpression(rank=431); GTEx--Coexpression(rank=533); Enrichr--Queries(rank=586)","859","0.26469999999999999","ARCHS4 Coexpression,0.2647"
"HNF1B","0.669320501967164971","2.05901910052891779","1.3641698012480414359","1.3641698012480414","Activated","126","viper","126","1.3641698012480414",NA,NA,"3","ReMap--ChIP-seq(rank=216); Enrichr--Queries(rank=435); ARCHS4--Coexpression(rank=635)","972","0.30980000000000002","Enrichr Queries,0.3098"
"SREBF1","-2.545043014808408000","0.16898965494718271","-1.1880266799306127279","1.3570163348777953","Repressed","127","viper","127","1.3570163348777953",NA,NA,"6","ENCODE--ChIP-seq(rank=11); Literature--ChIP-seq(rank=106); ReMap--ChIP-seq(rank=124); GTEx--Coexpression(rank=347); Enrichr--Queries(rank=532); ARCHS4--Coexpression(rank=955)","344","0.09322000000000000","ENCODE ChIP-seq,0.09322"
"HOXA9","0.397732065442055527","2.29950465528590753","1.3486183603639814166","1.3486183603639814","Activated","128","viper","128","1.3486183603639814",NA,NA,"4","ReMap--ChIP-seq(rank=177); GTEx--Coexpression(rank=257); Enrichr--Queries(rank=599); ARCHS4--Coexpression(rank=1513)","583","0.15989999999999999","GTEx Coexpression,0.1599"
"NR2C2","-1.615450711580094678","-1.07860051581985705","-1.3470256136999758656","1.3470256136999759","Repressed","129","viper","129","1.3470256136999759",NA,NA,"5","ENCODE--ChIP-seq(rank=113); ReMap--ChIP-seq(rank=281); GTEx--Coexpression(rank=607); ARCHS4--Coexpression(rank=634); Enrichr--Queries(rank=1369)","1125","0.37769999999999998","GTEx Coexpression,0.3777"
