"GeneID","Symbol","Ensembl","Entrez","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000139405","RITA1","ENSG00000139405","84934",0.0648247138504638,4.36987843997995,0.555084323274662,0.590877125149593,0.839141586865682,-6.59317605291205
"ENSG00000138193","PLCE1","ENSG00000138193","51196",0.0878769943175626,2.85014032622255,0.554996020702675,0.590935310731401,0.839141586865682,-6.25841496655127
"ENSG00000142599","RERE","ENSG00000142599","473",0.048866262156448,6.78024380561782,0.554804209204728,0.591061712356628,0.839175706069646,-6.81669417005145
"ENSG00000164885","CDK5","ENSG00000164885","1020",-0.0740484662223011,4.84640786552245,-0.554553289911871,0.591227087010181,0.839175706069646,-6.67422820484507
"ENSG00000111912","NCOA7","ENSG00000111912","135112",-0.117323332135382,5.0335570497489,-0.554491506270051,0.591267810834303,0.839175706069646,-6.70007901594827
"ENSG00000198561","CTNND1","ENSG00000198561","1500",0.0918152882802197,4.0893803122407,0.554346130125679,0.591363639356754,0.839175706069646,-6.53791298056582
"ENSG00000111696","NT5DC3","ENSG00000111696","51559",0.0691654495378176,6.18536431801811,0.554340371287792,0.591367435616325,0.839175706069646,-6.7996202779101
"ENSG00000109475","RPL34","ENSG00000109475","6164",-0.0871666072609152,8.6518171581915,-0.554291615995443,0.591399575907635,0.839175706069646,-6.6519637401431
"ENSG00000162976","SLC66A3","ENSG00000162976","130814",-0.0647231995745043,4.72981639269915,-0.554178189697336,0.591474351974342,0.839175706069646,-6.65636409205308
"ENSG00000161057","PSMC2","ENSG00000161057","5701",-0.0828211274435517,6.67002482903756,-0.554143556401408,0.591497184906325,0.839175706069646,-6.81609360010702
"ENSG00000139292","LGR5","ENSG00000139292","8549",0.174906497752716,1.4674891025405,0.553970714552778,0.591611142529433,0.839241991254959,-5.94641827652521
"ENSG00000110811","P3H3","ENSG00000110811","10536",-0.0786254336347669,3.66653937376939,-0.553733838806761,0.591767337710479,0.839329121265648,-6.44539488768416
"ENSG00000134330","IAH1","ENSG00000134330","285148",-0.0494635486646882,5.0634969706528,-0.553634731299591,0.59183269539736,0.839329121265648,-6.70477185790261
"ENSG00000205542","TMSB4X","ENSG00000205542","7114",0.082567117003272,5.24072932390272,0.553571656262121,0.591874293012356,0.839329121265648,-6.72609998000899
"ENSG00000197070","ARRDC1","ENSG00000197070","92714",-0.0819908736280208,5.08196119588981,-0.55340575503429,0.591983711287739,0.839388922446161,-6.70700283920361
"ENSG00000145569","OTULINL","ENSG00000145569","54491",0.12652122378937,2.48623433161374,0.553246641557951,0.592088662843764,0.839421161136769,-6.17637089136373
"ENSG00000042286","AIFM2","ENSG00000042286","84883",-0.0555969522978472,6.58817669408145,-0.553167378068777,0.592140948871115,0.839421161136769,-6.81562286800419
"ENSG00000126870","DYNC2I1","ENSG00000126870","55112",0.0481907975432545,4.50965807231571,0.552300365253235,0.592713032010325,0.840070267123756,-6.62049846054907
"ENSG00000008277","ADAM22","ENSG00000008277","53616",-0.0391030488816648,5.27706289034035,-0.552213861226557,0.5927701262078,0.840070267123756,-6.73057054699284
"ENSG00000136933","RABEPK","ENSG00000136933","10244",-0.0509723620675544,5.01001208878104,-0.552167470516683,0.592800746100468,0.840070267123756,-6.69883013782646
"ENSG00000140398","NEIL1","ENSG00000140398","79661",-0.117753023369095,4.81321995898912,-0.551789528070923,0.5930502357722,0.840272408662185,-6.67029802262786
"ENSG00000183513","COA5","ENSG00000183513","493753",0.0534831525410389,3.84577818259047,0.551747434939029,0.593078025982523,0.840272408662185,-6.48703165744258
"ENSG00000275482","EPHB6","ENSG00000275482","2051",-0.11048782003845,3.58240251950291,-0.551565797785806,0.593197952126342,0.840346934336738,-6.42738595405572
"ENSG00000169762","TAPT1","ENSG00000169762","202018",0.0732923254993372,4.52886079003017,0.551327924755147,0.593355027456413,0.840474064084311,-6.62450702035661
"ENSG00000070614","NDST1","ENSG00000070614","3340",-0.037967249794769,6.94195376061452,-0.551057620191027,0.593533545060006,0.8406315340337,-6.8170177640849
"ENSG00000166140","ZFYVE19","ENSG00000166140","84936",0.0586109169327695,4.86309765853259,0.55050566976945,0.59389815850456,0.840822996562045,-6.67964047880836
"ENSG00000153046","CDYL","ENSG00000153046","9425",0.0491099317611283,4.53306961067327,0.550499188372748,0.593902440758779,0.840822996562045,-6.62567140298164
"ENSG00000186399","GOLGA8R","ENSG00000186399","101059918",-0.131291396211972,0.913418913532619,-0.550394293938395,0.593971746703768,0.840822996562045,-5.83005835505299
"ENSG00000163219","ARHGAP25","ENSG00000163219","9938",0.121989915512773,0.734643697049235,0.550361777087135,0.593993232133722,0.840822996562045,-5.7944340167528
"ENSG00000133424","LARGE1","ENSG00000133424","9215",-0.0481667275460609,4.47895086973723,-0.550343146132647,0.594005542676183,0.840822996562045,-6.61574499893643
"ENSG00000164180","TMEM161B","ENSG00000164180","153396",0.0867217234637536,4.09833461745673,0.550233990182525,0.59407767099175,0.84082974139007,-6.54219743343219
"ENSG00000166333","ILK","ENSG00000166333","3611",0.0566171945568472,5.10298398113584,0.550087775817855,0.594174294091774,0.840871149529878,-6.71210668491506
"ENSG00000105339","DENND3","ENSG00000105339","22898",0.0777160266701244,4.62919765562713,0.54975763791846,0.594392490202765,0.841084578019602,-6.64285015296983
"ENSG00000135801","TAF5L","ENSG00000135801","27097",0.0487389269696541,5.33334713426643,0.549418405886525,0.594616740860712,0.841142409959948,-6.73845072133739
"ENSG00000135842","NIBAN1","ENSG00000135842","116496",-0.651418955934935,2.53153482317744,-0.549393493228585,0.594633211228423,0.841142409959948,-6.18043542933484
"ENSG00000165802","NSMF","ENSG00000165802","26012",-0.0723420081270056,7.4089686189798,-0.549389993210615,0.594635525195208,0.841142409959948,-6.79781252085942
"ENSG00000284850","DCP1B","ENSG00000284850","196513",0.0893178098782901,3.9564124945117,0.54919164375855,0.594766667719896,0.841180934266376,-6.51271526507724
