"TF","HVL_HUB098","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"RARA","4.53009716235859994","4.53009716235859994","4.53009716235859994","Activated","30","viper","30","4.53009716235859994",NA,NA,"5","ReMap--ChIP-seq(rank=39); Literature--ChIP-seq(rank=113); Enrichr--Queries(rank=317); GTEx--Coexpression(rank=612); ARCHS4--Coexpression(rank=800)","496","0.13130000000000000","ReMap ChIP-seq,0.1313"
"FOXM1","-4.50095790873947532","-4.50095790873947532","4.50095790873947532","Repressed","31","viper","31","4.50095790873947532",NA,NA,"6","ENCODE--ChIP-seq(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=5)","2","0.00062230000000000","GTEx Coexpression,6.223E-4"
"PBX3","4.48743355463206051","4.48743355463206051","4.48743355463206051","Activated","32","viper","32","4.48743355463206051",NA,NA,"5","ENCODE--ChIP-seq(rank=32); ReMap--ChIP-seq(rank=36); Enrichr--Queries(rank=130); ARCHS4--Coexpression(rank=527); GTEx--Coexpression(rank=583)","364","0.09259000000000001","Enrichr Queries,0.09259"
"NFE2L1","4.47700966990785520","4.47700966990785520","4.47700966990785520","Activated","33","viper","33","4.47700966990785520",NA,NA,"4","ReMap--ChIP-seq(rank=270); Enrichr--Queries(rank=1110); GTEx--Coexpression(rank=1278); ARCHS4--Coexpression(rank=1558)","1594","0.79059999999999997","Enrichr Queries,0.7906"
"GRHL2","4.45344671347216980","4.45344671347216980","4.45344671347216980","Activated","34","viper","34","4.45344671347216980",NA,NA,"5","ReMap--ChIP-seq(rank=54); Literature--ChIP-seq(rank=137); ARCHS4--Coexpression(rank=160); GTEx--Coexpression(rank=245); Enrichr--Queries(rank=420)","382","0.09828000000000001","ARCHS4 Coexpression,0.09828"
"TCF4","4.41667785220215592","4.41667785220215592","4.41667785220215592","Activated","35","viper","35","4.41667785220215592",NA,NA,"5","Literature--ChIP-seq(rank=50); ARCHS4--Coexpression(rank=57); ReMap--ChIP-seq(rank=102); GTEx--Coexpression(rank=141); Enrichr--Queries(rank=199)","133","0.03501000000000000","ARCHS4 Coexpression,0.03501"
"NANOG","4.37370375064870132","4.37370375064870132","4.37370375064870132","Activated","36","viper","36","4.37370375064870132",NA,NA,"6","ReMap--ChIP-seq(rank=13); Literature--ChIP-seq(rank=18); ENCODE--ChIP-seq(rank=79); GTEx--Coexpression(rank=404); Enrichr--Queries(rank=881); ARCHS4--Coexpression(rank=1060)","173","0.04377000000000000","ReMap ChIP-seq,0.04377"
"EBF1","4.37000300530493657","4.37000300530493657","4.37000300530493657","Activated","37","viper","37","4.37000300530493657",NA,NA,"5","GTEx--Coexpression(rank=81); ENCODE--ChIP-seq(rank=94); ReMap--ChIP-seq(rank=121); Enrichr--Queries(rank=388); ARCHS4--Coexpression(rank=472)","201","0.05040000000000000","GTEx Coexpression,0.0504"
"MEIS2","4.24827053709027158","4.24827053709027158","4.24827053709027158","Activated","38","viper","38","4.24827053709027158",NA,NA,"4","ARCHS4--Coexpression(rank=177); ReMap--ChIP-seq(rank=180); Enrichr--Queries(rank=492); GTEx--Coexpression(rank=784)","416","0.10870000000000000","ARCHS4 Coexpression,0.1087"
"RBPJ","4.20410311585711316","4.20410311585711316","4.20410311585711316","Activated","39","viper","39","4.20410311585711316",NA,NA,"5","Literature--ChIP-seq(rank=151); ReMap--ChIP-seq(rank=203); Enrichr--Queries(rank=469); ARCHS4--Coexpression(rank=869); GTEx--Coexpression(rank=1143)","1010","0.33400000000000002","Enrichr Queries,0.334"
"PRDM14","4.19227021237892394","4.19227021237892394","4.19227021237892394","Activated","40","viper","40","4.19227021237892394",NA,NA,"5","Literature--ChIP-seq(rank=66); ReMap--ChIP-seq(rank=132); GTEx--Coexpression(rank=180); ARCHS4--Coexpression(rank=614); Enrichr--Queries(rank=1359)","429","0.11200000000000000","GTEx Coexpression,0.112"
"HMBOX1","-4.06089005845285467","-4.06089005845285467","4.06089005845285467","Repressed","41","viper","41","4.06089005845285467",NA,NA,"4","ReMap--ChIP-seq(rank=205); Enrichr--Queries(rank=371); ARCHS4--Coexpression(rank=519); GTEx--Coexpression(rank=801)","851","0.26419999999999999","Enrichr Queries,0.2642"
"ZNF263","-3.97692022120737132","-3.97692022120737132","3.97692022120737132","Repressed","42","viper","42","3.97692022120737132",NA,NA,"6","ENCODE--ChIP-seq(rank=29); Literature--ChIP-seq(rank=160); ReMap--ChIP-seq(rank=167); Enrichr--Queries(rank=947); ARCHS4--Coexpression(rank=1002); GTEx--Coexpression(rank=1409)","809","0.24579999999999999","ENCODE ChIP-seq,0.2458"
"MAFG","3.95682719231670932","3.95682719231670932","3.95682719231670932","Activated","43","viper","43","3.95682719231670932",NA,NA,"4","ReMap--ChIP-seq(rank=240); Enrichr--Queries(rank=493); ARCHS4--Coexpression(rank=977); GTEx--Coexpression(rank=1414)","1038","0.35110000000000002","Enrichr Queries,0.3511"
"TBX21","3.94080020987442170","3.94080020987442170","3.94080020987442170","Activated","44","viper","44","3.94080020987442170",NA,NA,"4","ReMap--ChIP-seq(rank=152); ARCHS4--Coexpression(rank=886); Enrichr--Queries(rank=950); GTEx--Coexpression(rank=974)","1324","0.51180000000000003","ReMap ChIP-seq,0.5118"
"BCL6","-3.87313864480231995","-3.87313864480231995","3.87313864480231995","Repressed","45","viper","45","3.87313864480231995",NA,NA,"5","ReMap--ChIP-seq(rank=84); Literature--ChIP-seq(rank=97); Enrichr--Queries(rank=135); GTEx--Coexpression(rank=604); ARCHS4--Coexpression(rank=849)","375","0.09615000000000001","Enrichr Queries,0.09615"
"ELF3","3.82277300203528592","3.82277300203528592","3.82277300203528592","Activated","46","viper","46","3.82277300203528592",NA,NA,"4","ReMap--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=31); GTEx--Coexpression(rank=56); Enrichr--Queries(rank=201)","59","0.01684000000000000","ReMap ChIP-seq,0.01684"
"HOXB13","3.81014886149481002","3.81014886149481002","3.81014886149481002","Activated","47","viper","47","3.81014886149481002",NA,NA,"4","ReMap--ChIP-seq(rank=263); GTEx--Coexpression(rank=319); Enrichr--Queries(rank=478); ARCHS4--Coexpression(rank=620)","682","0.19850000000000001","GTEx Coexpression,0.1985"
"CREM","3.79911508341529780","3.79911508341529780","3.79911508341529780","Activated","48","viper","48","3.79911508341529780",NA,NA,"5","ReMap--ChIP-seq(rank=58); Literature--ChIP-seq(rank=115); Enrichr--Queries(rank=312); ARCHS4--Coexpression(rank=747); GTEx--Coexpression(rank=1395)","674","0.19530000000000000","ReMap ChIP-seq,0.1953"
"IRF4","3.78867282084571499","3.78867282084571499","3.78867282084571499","Activated","49","viper","49","3.78867282084571499",NA,NA,"5","GTEx--Coexpression(rank=47); ReMap--ChIP-seq(rank=69); ENCODE--ChIP-seq(rank=116); ARCHS4--Coexpression(rank=269); Enrichr--Queries(rank=537)","111","0.02925000000000000","GTEx Coexpression,0.02925"
"MBD1","3.78650228703454905","3.78650228703454905","3.78650228703454905","Activated","50","viper","50","3.78650228703454905",NA,NA,"3","GTEx--Coexpression(rank=307); Enrichr--Queries(rank=966); ARCHS4--Coexpression(rank=1235)","663","0.19100000000000000","GTEx Coexpression,0.191"
"TP73","3.78144547610096193","3.78144547610096193","3.78144547610096193","Activated","51","viper","51","3.78144547610096193",NA,NA,"3","ARCHS4--Coexpression(rank=121); Enrichr--Queries(rank=435); GTEx--Coexpression(rank=458)","301","0.07432000000000000","ARCHS4 Coexpression,0.07432"
"SNAPC4","-3.75175304255291264","-3.75175304255291264","3.75175304255291264","Repressed","52","viper","52","3.75175304255291264",NA,NA,"4","GTEx--Coexpression(rank=83); ReMap--ChIP-seq(rank=285); ARCHS4--Coexpression(rank=913); Enrichr--Queries(rank=1314)","208","0.05165000000000000","GTEx Coexpression,0.05165"
"MAZ","-3.70535918266913011","-3.70535918266913011","3.70535918266913011","Repressed","53","viper","53","3.70535918266913011",NA,NA,"5","ReMap--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=50); GTEx--Coexpression(rank=648); ARCHS4--Coexpression(rank=805); Enrichr--Queries(rank=829)","156","0.04040000000000000","ReMap ChIP-seq,0.0404"
"TFDP1","-3.70121119355925776","-3.70121119355925776","3.70121119355925776","Repressed","54","viper","54","3.70121119355925776",NA,NA,"4","GTEx--Coexpression(rank=5); ARCHS4--Coexpression(rank=12); Enrichr--Queries(rank=33); ReMap--ChIP-seq(rank=82)","10","0.00311100000000000","GTEx Coexpression,0.003111"
"FOXO4","3.67417110699846727","3.67417110699846727","3.67417110699846727","Activated","55","viper","55","3.67417110699846727",NA,NA,"3","Enrichr--Queries(rank=364); GTEx--Coexpression(rank=913); ARCHS4--Coexpression(rank=1246)","837","0.25929999999999997","Enrichr Queries,0.2593"
"GFI1B","3.63955833948999619","3.63955833948999619","3.63955833948999619","Activated","56","viper","56","3.63955833948999619",NA,NA,"5","ReMap--ChIP-seq(rank=75); Literature--ChIP-seq(rank=138); Enrichr--Queries(rank=477); ARCHS4--Coexpression(rank=505); GTEx--Coexpression(rank=951)","821","0.25250000000000000","ReMap ChIP-seq,0.2525"
"NFE2","3.62169434212459285","3.62169434212459285","3.62169434212459285","Activated","57","viper","57","3.62169434212459285",NA,NA,"5","ENCODE--ChIP-seq(rank=99); ReMap--ChIP-seq(rank=144); Enrichr--Queries(rank=289); ARCHS4--Coexpression(rank=529); GTEx--Coexpression(rank=1033)","702","0.20580000000000001","Enrichr Queries,0.2058"
"IRF3","-3.57905761956396162","-3.57905761956396162","3.57905761956396162","Repressed","58","viper","58","3.57905761956396162",NA,NA,"5","ENCODE--ChIP-seq(rank=30); ReMap--ChIP-seq(rank=171); ARCHS4--Coexpression(rank=831); Enrichr--Queries(rank=1303); GTEx--Coexpression(rank=1321)","824","0.25419999999999998","ENCODE ChIP-seq,0.2542"
"PBX2","3.50739422281612034","3.50739422281612034","3.50739422281612034","Activated","59","viper","59","3.50739422281612034",NA,NA,"4","ReMap--ChIP-seq(rank=113); GTEx--Coexpression(rank=569); Enrichr--Queries(rank=643); ARCHS4--Coexpression(rank=1205)","1046","0.35410000000000003","GTEx Coexpression,0.3541"
"GATA6","3.50112713361708483","3.50112713361708483","3.50112713361708483","Activated","60","viper","60","3.50112713361708483",NA,NA,"5","Literature--ChIP-seq(rank=68); ReMap--ChIP-seq(rank=111); ARCHS4--Coexpression(rank=127); Enrichr--Queries(rank=198); GTEx--Coexpression(rank=397)","314","0.07801000000000000","ARCHS4 Coexpression,0.07801"
"SOX11","3.45865023092217871","3.45865023092217871","3.45865023092217871","Activated","61","viper","61","3.45865023092217871",NA,NA,"5","Literature--ChIP-seq(rank=92); ARCHS4--Coexpression(rank=246); ReMap--ChIP-seq(rank=250); Enrichr--Queries(rank=461); GTEx--Coexpression(rank=1137)","556","0.15110000000000001","ARCHS4 Coexpression,0.1511"
"NR4A1","3.44200820651688888","3.44200820651688888","3.44200820651688888","Activated","62","viper","62","3.44200820651688888",NA,NA,"4","ARCHS4--Coexpression(rank=42); GTEx--Coexpression(rank=97); ReMap--ChIP-seq(rank=224); Enrichr--Queries(rank=225)","96","0.02580000000000000","ARCHS4 Coexpression,0.0258"
"PRDM1","3.42978167269427470","3.42978167269427470","3.42978167269427470","Activated","63","viper","63","3.42978167269427470",NA,NA,"5","ENCODE--ChIP-seq(rank=23); Enrichr--Queries(rank=101); ReMap--ChIP-seq(rank=123); GTEx--Coexpression(rank=381); ARCHS4--Coexpression(rank=748)","292","0.07194000000000000","Enrichr Queries,0.07194"
"LYL1","3.42766264873952009","3.42766264873952009","3.42766264873952009","Activated","64","viper","64","3.42766264873952009",NA,NA,"5","Literature--ChIP-seq(rank=114); ReMap--ChIP-seq(rank=232); ARCHS4--Coexpression(rank=413); Enrichr--Queries(rank=990); GTEx--Coexpression(rank=1340)","823","0.25369999999999998","ARCHS4 Coexpression,0.2537"
"TAL1","3.42179736708685844","3.42179736708685844","3.42179736708685844","Activated","65","viper","65","3.42179736708685844",NA,NA,"6","ENCODE--ChIP-seq(rank=44); Literature--ChIP-seq(rank=63); ReMap--ChIP-seq(rank=172); ARCHS4--Coexpression(rank=522); Enrichr--Queries(rank=780); GTEx--Coexpression(rank=909)","987","0.32060000000000000","ARCHS4 Coexpression,0.3206"
"SRF","-3.40326971793693067","-3.40326971793693067","3.40326971793693067","Repressed","66","viper","66","3.40326971793693067",NA,NA,"6","ENCODE--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=125); Literature--ChIP-seq(rank=143); GTEx--Coexpression(rank=231); Enrichr--Queries(rank=526); ARCHS4--Coexpression(rank=1087)","535","0.14369999999999999","GTEx Coexpression,0.1437"
"SIX5","-3.38237840172079407","-3.38237840172079407","3.38237840172079407","Repressed","67","viper","67","3.38237840172079407",NA,NA,"5","ReMap--ChIP-seq(rank=98); ENCODE--ChIP-seq(rank=114); Enrichr--Queries(rank=316); GTEx--Coexpression(rank=629); ARCHS4--Coexpression(rank=804)","755","0.22509999999999999","Enrichr Queries,0.2251"
"STAT2","3.37491596848654130","3.37491596848654130","3.37491596848654130","Activated","68","viper","68","3.37491596848654130",NA,NA,"5","ENCODE--ChIP-seq(rank=37); ReMap--ChIP-seq(rank=194); ARCHS4--Coexpression(rank=221); Enrichr--Queries(rank=385); GTEx--Coexpression(rank=1139)","511","0.13569999999999999","ARCHS4 Coexpression,0.1357"
"E2F1","-3.34539189824861438","-3.34539189824861438","3.34539189824861438","Repressed","69","viper","69","3.34539189824861438",NA,NA,"6","GTEx--Coexpression(rank=3); Enrichr--Queries(rank=4); ARCHS4--Coexpression(rank=13); ReMap--ChIP-seq(rank=24); ENCODE--ChIP-seq(rank=61); Literature--ChIP-seq(rank=91)","6","0.00186700000000000","GTEx Coexpression,0.001867"
"MEF2C","3.33167884240027767","3.33167884240027767","3.33167884240027767","Activated","70","viper","70","3.33167884240027767",NA,NA,"5","ENCODE--ChIP-seq(rank=107); Enrichr--Queries(rank=211); ReMap--ChIP-seq(rank=243); ARCHS4--Coexpression(rank=407); GTEx--Coexpression(rank=921)","554","0.15029999999999999","Enrichr Queries,0.1503"
"IKZF1","3.33032232805091821","3.33032232805091821","3.33032232805091821","Activated","71","viper","71","3.33032232805091821",NA,NA,"6","ENCODE--ChIP-seq(rank=40); ReMap--ChIP-seq(rank=120); Literature--ChIP-seq(rank=147); ARCHS4--Coexpression(rank=327); GTEx--Coexpression(rank=748); Enrichr--Queries(rank=1176)","689","0.20090000000000000","ARCHS4 Coexpression,0.2009"
"ARID2","3.32158135966784940","3.32158135966784940","3.32158135966784940","Activated","72","viper","72","3.32158135966784940",NA,NA,"4","ReMap--ChIP-seq(rank=92); GTEx--Coexpression(rank=356); ARCHS4--Coexpression(rank=699); Enrichr--Queries(rank=1175)","747","0.22150000000000000","GTEx Coexpression,0.2215"
"EOMES","3.32014377663725568","3.32014377663725568","3.32014377663725568","Activated","73","viper","73","3.32014377663725568",NA,NA,"5","Literature--ChIP-seq(rank=56); ReMap--ChIP-seq(rank=266); Enrichr--Queries(rank=602); ARCHS4--Coexpression(rank=907); GTEx--Coexpression(rank=977)","1026","0.34150000000000003","Literature ChIP-seq,0.3415"
"SOX6","3.23887811593189623","3.23887811593189623","3.23887811593189623","Activated","74","viper","74","3.23887811593189623",NA,NA,"4","ReMap--ChIP-seq(rank=142); ARCHS4--Coexpression(rank=174); Enrichr--Queries(rank=228); GTEx--Coexpression(rank=920)","409","0.10690000000000000","ARCHS4 Coexpression,0.1069"
"FOXO1","3.23440872907036603","3.23440872907036603","3.23440872907036603","Activated","75","viper","75","3.23440872907036603",NA,NA,"5","Literature--ChIP-seq(rank=39); ARCHS4--Coexpression(rank=41); ReMap--ChIP-seq(rank=131); Enrichr--Queries(rank=145); GTEx--Coexpression(rank=536)","93","0.02518000000000000","ARCHS4 Coexpression,0.02518"
"BATF","3.20281041438954350","3.20281041438954350","3.20281041438954350","Activated","76","viper","76","3.20281041438954350",NA,NA,"5","ENCODE--ChIP-seq(rank=110); ARCHS4--Coexpression(rank=162); ReMap--ChIP-seq(rank=208); GTEx--Coexpression(rank=674); Enrichr--Queries(rank=866)","388","0.09951000000000000","ARCHS4 Coexpression,0.09951"
"RFX5","3.17649272472210731","3.17649272472210731","3.17649272472210731","Activated","77","viper","77","3.17649272472210731",NA,NA,"5","ENCODE--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=47); GTEx--Coexpression(rank=114); Enrichr--Queries(rank=288); ARCHS4--Coexpression(rank=1264)","287","0.07094000000000000","GTEx Coexpression,0.07094"
"TP53","3.13693238887599879","3.13693238887599879","3.13693238887599879","Activated","78","viper","78","3.13693238887599879",NA,NA,"5","Literature--ChIP-seq(rank=27); ARCHS4--Coexpression(rank=59); ReMap--ChIP-seq(rank=154); Enrichr--Queries(rank=568); GTEx--Coexpression(rank=799)","138","0.03624000000000000","ARCHS4 Coexpression,0.03624"
"NFE2L2","3.13356029420575766","3.13356029420575766","3.13356029420575766","Activated","79","viper","79","3.13356029420575766",NA,NA,"5","Literature--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=73); ARCHS4--Coexpression(rank=211); GTEx--Coexpression(rank=525); Enrichr--Queries(rank=570)","464","0.12200000000000000","Literature ChIP-seq,0.122"
