"TF","HCT15","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"WT1","3.354981633814162478","3.354981633814162478","3.354981633814162478","Activated","16","viper","16","3.354981633814162478",NA,NA,"4","Literature--ChIP-seq(rank=8); Enrichr--Queries(rank=400); ARCHS4--Coexpression(rank=557); GTEx--Coexpression(rank=610)","181","0.048779999999999997","Literature ChIP-seq,0.04878"
"SIX5","-3.247139464344354742","-3.247139464344354742","3.247139464344354742","Repressed","17","viper","17","3.247139464344354742",NA,NA,"5","ENCODE--ChIP-seq(rank=117); ReMap--ChIP-seq(rank=201); ARCHS4--Coexpression(rank=401); Enrichr--Queries(rank=438); GTEx--Coexpression(rank=1345)","730","0.246299999999999991","ARCHS4 Coexpression,0.2463"
"FOXL2","3.139344352881205946","3.139344352881205946","3.139344352881205946","Activated","18","viper","18","3.139344352881205946",NA,NA,"3","Enrichr--Queries(rank=420); GTEx--Coexpression(rank=830); ARCHS4--Coexpression(rank=1079)","850","0.299099999999999921","Enrichr Queries,0.2991"
"POU2F1","2.975272099916636215","2.975272099916636215","2.975272099916636215","Activated","19","viper","19","2.975272099916636215",NA,NA,"4","ReMap--ChIP-seq(rank=231); Enrichr--Queries(rank=1183); ARCHS4--Coexpression(rank=1303); GTEx--Coexpression(rank=1430)","1565","0.777800000000000047","ReMap ChIP-seq,0.7778"
"ZBTB11","2.920160247699098210","2.920160247699098210","2.920160247699098210","Activated","20","viper","20","2.920160247699098210",NA,NA,"4","ReMap--ChIP-seq(rank=253); ARCHS4--Coexpression(rank=1046); GTEx--Coexpression(rank=1121); Enrichr--Queries(rank=1278)","1438","0.642499999999999960","ARCHS4 Coexpression,0.6425"
"STAT5B","2.901933350067649631","2.901933350067649631","2.901933350067649631","Activated","21","viper","21","2.901933350067649631",NA,NA,"4","ReMap--ChIP-seq(rank=244); GTEx--Coexpression(rank=305); ARCHS4--Coexpression(rank=365); Enrichr--Queries(rank=736)","590","0.189799999999999996","GTEx Coexpression,0.1898"
"REL","2.899556700774973628","2.899556700774973628","2.899556700774973628","Activated","22","viper","22","2.899556700774973628",NA,NA,"3","Enrichr--Queries(rank=77); GTEx--Coexpression(rank=187); ARCHS4--Coexpression(rank=294)","200","0.054840000000000000","Enrichr Queries,0.05484"
"SREBF1","-2.814611831911720596","-2.814611831911720596","2.814611831911720596","Repressed","23","viper","23","2.814611831911720596",NA,NA,"6","ENCODE--ChIP-seq(rank=34); ReMap--ChIP-seq(rank=62); Literature--ChIP-seq(rank=89); GTEx--Coexpression(rank=272); Enrichr--Queries(rank=415); ARCHS4--Coexpression(rank=505)","535","0.169300000000000006","GTEx Coexpression,0.1693"
"ARID3A","2.736185527531838524","2.736185527531838524","2.736185527531838524","Activated","24","viper","24","2.736185527531838524",NA,NA,"5","ENCODE--ChIP-seq(rank=74); Enrichr--Queries(rank=130); ReMap--ChIP-seq(rank=155); GTEx--Coexpression(rank=258); ARCHS4--Coexpression(rank=729)","316","0.092590000000000006","Enrichr Queries,0.09259"
"RELB","2.661002567306789857","2.661002567306789857","2.661002567306789857","Activated","25","viper","25","2.661002567306789857",NA,NA,"4","Enrichr--Queries(rank=8); ARCHS4--Coexpression(rank=25); ReMap--ChIP-seq(rank=104); GTEx--Coexpression(rank=171)","21","0.005698000000000000","Enrichr Queries,0.005698"
"STAT5A","2.651798466570373325","2.651798466570373325","2.651798466570373325","Activated","26","viper","26","2.651798466570373325",NA,NA,"6","ENCODE--ChIP-seq(rank=42); GTEx--Coexpression(rank=64); Literature--ChIP-seq(rank=85); Enrichr--Queries(rank=94); ARCHS4--Coexpression(rank=128); ReMap--ChIP-seq(rank=185)","148","0.039829999999999997","GTEx Coexpression,0.03983"
"FOXO3","2.635992497570343485","2.635992497570343485","2.635992497570343485","Activated","27","viper","27","2.635992497570343485",NA,NA,"4","Literature--ChIP-seq(rank=84); ARCHS4--Coexpression(rank=397); GTEx--Coexpression(rank=544); Enrichr--Queries(rank=637)","725","0.243900000000000006","ARCHS4 Coexpression,0.2439"
"IRF3","-2.584259778268803043","-2.584259778268803043","2.584259778268803043","Repressed","28","viper","28","2.584259778268803043",NA,NA,"5","ENCODE--ChIP-seq(rank=61); ReMap--ChIP-seq(rank=259); Enrichr--Queries(rank=986); GTEx--Coexpression(rank=1195); ARCHS4--Coexpression(rank=1231)","1274","0.516900000000000026","ENCODE ChIP-seq,0.5169"
"FOSL1","2.578728010166063456","2.578728010166063456","2.578728010166063456","Activated","29","viper","29","2.578728010166063456",NA,NA,"5","ENCODE--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=9); Enrichr--Queries(rank=17); ARCHS4--Coexpression(rank=34); GTEx--Coexpression(rank=109)","45","0.012109999999999999","Enrichr Queries,0.01211"
"MBD2","-2.570406004767820107","-2.570406004767820107","2.570406004767820107","Repressed","30","viper","30","2.570406004767820107",NA,NA,"4","ReMap--ChIP-seq(rank=272); ARCHS4--Coexpression(rank=454); GTEx--Coexpression(rank=1077); Enrichr--Queries(rank=1097)","812","0.278899999999999981","ARCHS4 Coexpression,0.2789"
"EOMES","-2.555618846335354188","-2.555618846335354188","2.555618846335354188","Repressed","31","viper","31","2.555618846335354188",NA,NA,"5","Literature--ChIP-seq(rank=44); ReMap--ChIP-seq(rank=189); Enrichr--Queries(rank=196); GTEx--Coexpression(rank=375); ARCHS4--Coexpression(rank=410)","460","0.139600000000000002","Enrichr Queries,0.1396"
"FOSL2","2.541921875544036258","2.541921875544036258","2.541921875544036258","Activated","32","viper","32","2.541921875544036258",NA,NA,"5","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=4); Enrichr--Queries(rank=39); ARCHS4--Coexpression(rank=52); GTEx--Coexpression(rank=241)","51","0.013469999999999999","ReMap ChIP-seq,0.01347"
"TP53","2.496009697668360339","2.496009697668360339","2.496009697668360339","Activated","33","viper","33","2.496009697668360339",NA,NA,"5","Literature--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=194); GTEx--Coexpression(rank=862); Enrichr--Queries(rank=1078); ARCHS4--Coexpression(rank=1528)","239","0.067070000000000005","Literature ChIP-seq,0.06707"
"ZNF639","-2.493063568742319713","-2.493063568742319713","2.493063568742319713","Repressed","34","viper","34","2.493063568742319713",NA,NA,"4","ReMap--ChIP-seq(rank=282); ARCHS4--Coexpression(rank=359); GTEx--Coexpression(rank=1170); Enrichr--Queries(rank=1268)","670","0.220500000000000002","ARCHS4 Coexpression,0.2205"
"PRDM14","-2.452860756288309130","-2.452860756288309130","2.452860756288309130","Repressed","35","viper","35","2.452860756288309130",NA,NA,"5","Literature--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=119); ARCHS4--Coexpression(rank=689); Enrichr--Queries(rank=926); GTEx--Coexpression(rank=1533)","828","0.286600000000000021","Literature ChIP-seq,0.2866"
"HIF1A","2.382768585626033886","2.382768585626033886","2.382768585626033886","Activated","36","viper","36","2.382768585626033886",NA,NA,"5","ReMap--ChIP-seq(rank=35); Literature--ChIP-seq(rank=55); ARCHS4--Coexpression(rank=116); GTEx--Coexpression(rank=328); Enrichr--Queries(rank=633)","252","0.071249999999999994","ARCHS4 Coexpression,0.07125"
"HNF4A","-2.337699699774130391","-2.337699699774130391","2.337699699774130391","Repressed","37","viper","37","2.337699699774130391",NA,NA,"6","GTEx--Coexpression(rank=38); ReMap--ChIP-seq(rank=44); ENCODE--ChIP-seq(rank=70); ARCHS4--Coexpression(rank=96); Literature--ChIP-seq(rank=104); Enrichr--Queries(rank=528)","90","0.023650000000000001","GTEx Coexpression,0.02365"
"E2F1","2.325667910020416507","2.325667910020416507","2.325667910020416507","Activated","38","viper","38","2.325667910020416507",NA,NA,"6","Literature--ChIP-seq(rank=83); ENCODE--ChIP-seq(rank=95); ReMap--ChIP-seq(rank=236); GTEx--Coexpression(rank=367); Enrichr--Queries(rank=1028); ARCHS4--Coexpression(rank=1434)","688","0.228399999999999992","GTEx Coexpression,0.2284"
"SREBF2","-2.310940737892296593","-2.310940737892296593","2.310940737892296593","Repressed","39","viper","39","2.310940737892296593",NA,NA,"6","ENCODE--ChIP-seq(rank=102); Literature--ChIP-seq(rank=117); ReMap--ChIP-seq(rank=247); Enrichr--Queries(rank=988); GTEx--Coexpression(rank=1263); ARCHS4--Coexpression(rank=1323)","1500","0.703699999999999992","Enrichr Queries,0.7037"
"SOX13","-2.283642870746453557","-2.283642870746453557","2.283642870746453557","Repressed","40","viper","40","2.283642870746453557",NA,NA,"4","ReMap--ChIP-seq(rank=36); ARCHS4--Coexpression(rank=124); Enrichr--Queries(rank=225); GTEx--Coexpression(rank=410)","265","0.076170000000000002","ARCHS4 Coexpression,0.07617"
"ELF1","2.270814987590156875","2.270814987590156875","2.270814987590156875","Activated","41","viper","41","2.270814987590156875",NA,NA,"5","ENCODE--ChIP-seq(rank=105); Literature--ChIP-seq(rank=137); ReMap--ChIP-seq(rank=206); ARCHS4--Coexpression(rank=219); GTEx--Coexpression(rank=1123)","440","0.134500000000000008","ARCHS4 Coexpression,0.1345"
"ZNF24","-2.226291450973972186","-2.226291450973972186","2.226291450973972186","Repressed","42","viper","42","2.226291450973972186",NA,NA,"4","ReMap--ChIP-seq(rank=115); GTEx--Coexpression(rank=812); Enrichr--Queries(rank=1353); ARCHS4--Coexpression(rank=1625)","1034","0.387199999999999989","ReMap ChIP-seq,0.3872"
"ZNF274","-2.195794741647391746","-2.195794741647391746","2.195794741647391746","Repressed","43","viper","43","2.195794741647391746",NA,NA,"6","Enrichr--Queries(rank=58); ENCODE--ChIP-seq(rank=80); ARCHS4--Coexpression(rank=95); Literature--ChIP-seq(rank=155); ReMap--ChIP-seq(rank=262); GTEx--Coexpression(rank=1201)","152","0.041309999999999999","Enrichr Queries,0.04131"
"NFATC1","2.123155490890110908","2.123155490890110908","2.123155490890110908","Activated","44","viper","44","2.123155490890110908",NA,NA,"5","ENCODE--ChIP-seq(rank=109); ARCHS4--Coexpression(rank=193); Enrichr--Queries(rank=247); ReMap--ChIP-seq(rank=293); GTEx--Coexpression(rank=517)","398","0.118599999999999997","ARCHS4 Coexpression,0.1186"
"KLF1","-2.118313824627513942","-2.118313824627513942","2.118313824627513942","Repressed","45","viper","45","2.118313824627513942",NA,NA,"5","Literature--ChIP-seq(rank=124); ReMap--ChIP-seq(rank=144); Enrichr--Queries(rank=464); ARCHS4--Coexpression(rank=589); GTEx--Coexpression(rank=960)","919","0.330500000000000016","Enrichr Queries,0.3305"
"IKZF1","2.079750225600358604","2.079750225600358604","2.079750225600358604","Activated","46","viper","46","2.079750225600358604",NA,NA,"6","ENCODE--ChIP-seq(rank=24); ReMap--ChIP-seq(rank=39); Literature--ChIP-seq(rank=78); ARCHS4--Coexpression(rank=241); GTEx--Coexpression(rank=361); Enrichr--Queries(rank=734)","431","0.131300000000000000","ReMap ChIP-seq,0.1313"
"ARID2","2.053537619510084511","2.053537619510084511","2.053537619510084511","Activated","47","viper","47","2.053537619510084511",NA,NA,"4","ReMap--ChIP-seq(rank=74); ARCHS4--Coexpression(rank=620); Enrichr--Queries(rank=1256); GTEx--Coexpression(rank=1600)","737","0.249200000000000005","ReMap ChIP-seq,0.2492"
"PPARG","2.044516784350655314","2.044516784350655314","2.044516784350655314","Activated","48","viper","48","2.044516784350655314",NA,NA,"5","ReMap--ChIP-seq(rank=14); Literature--ChIP-seq(rank=15); GTEx--Coexpression(rank=18); Enrichr--Queries(rank=93); ARCHS4--Coexpression(rank=108)","43","0.011200000000000000","GTEx Coexpression,0.0112"
"IRF9","2.042300200590011716","2.042300200590011716","2.042300200590011716","Activated","49","viper","49","2.042300200590011716",NA,NA,"4","ReMap--ChIP-seq(rank=94); Enrichr--Queries(rank=135); ARCHS4--Coexpression(rank=311); GTEx--Coexpression(rank=717)","325","0.096150000000000013","Enrichr Queries,0.09615"
"FOS","2.009759911954458467","2.009759911954458467","2.009759911954458467","Activated","50","viper","50","2.009759911954458467",NA,NA,"5","ReMap--ChIP-seq(rank=2); GTEx--Coexpression(rank=4); ENCODE--ChIP-seq(rank=6); Enrichr--Queries(rank=38); ARCHS4--Coexpression(rank=274)","8","0.002489000000000000","GTEx Coexpression,0.002489"
"JUNB","2.002185961829956895","2.002185961829956895","2.002185961829956895","Activated","51","viper","51","2.002185961829956895",NA,NA,"4","ARCHS4--Coexpression(rank=14); Enrichr--Queries(rank=23); GTEx--Coexpression(rank=29); ReMap--ChIP-seq(rank=29)","33","0.008600000000000000","ARCHS4 Coexpression,0.0086"
"E2F4","1.987018440411549625","1.987018440411549625","1.987018440411549625","Activated","52","viper","52","1.987018440411549625",NA,NA,"6","ENCODE--ChIP-seq(rank=68); ReMap--ChIP-seq(rank=109); Literature--ChIP-seq(rank=151); GTEx--Coexpression(rank=683); Enrichr--Queries(rank=1063); ARCHS4--Coexpression(rank=1395)","986","0.366999999999999993","ReMap ChIP-seq,0.367"
"TCF3","-1.984284676212543896","-1.984284676212543896","1.984284676212543896","Repressed","53","viper","53","1.984284676212543896",NA,NA,"6","Literature--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=139); GTEx--Coexpression(rank=957); Enrichr--Queries(rank=1130); ARCHS4--Coexpression(rank=1582)","256","0.073169999999999999","Literature ChIP-seq,0.07317"
"ZFX","1.946297719829846118","1.946297719829846118","1.946297719829846118","Activated","54","viper","54","1.946297719829846118",NA,NA,"5","Literature--ChIP-seq(rank=157); ReMap--ChIP-seq(rank=248); ARCHS4--Coexpression(rank=1140); Enrichr--Queries(rank=1335); GTEx--Coexpression(rank=1580)","1496","0.700200000000000045","ARCHS4 Coexpression,0.7002"
"ATF6","1.931662806015858713","1.931662806015858713","1.931662806015858713","Activated","55","viper","55","1.931662806015858713",NA,NA,"3","ARCHS4--Coexpression(rank=175); GTEx--Coexpression(rank=190); Enrichr--Queries(rank=696)","360","0.107499999999999998","ARCHS4 Coexpression,0.1075"
"ESR1","1.907512322220784151","1.907512322220784151","1.907512322220784151","Activated","56","viper","56","1.907512322220784151",NA,NA,"6","Literature--ChIP-seq(rank=6); ENCODE--ChIP-seq(rank=13); ReMap--ChIP-seq(rank=59); ARCHS4--Coexpression(rank=247); GTEx--Coexpression(rank=570); Enrichr--Queries(rank=626)","135","0.036589999999999998","Literature ChIP-seq,0.03659"
"HBP1","-1.889795285541058911","-1.889795285541058911","1.889795285541058911","Repressed","57","viper","57","1.889795285541058911",NA,NA,"4","ReMap--ChIP-seq(rank=30); ARCHS4--Coexpression(rank=263); Enrichr--Queries(rank=445); GTEx--Coexpression(rank=784)","342","0.101000000000000006","ReMap ChIP-seq,0.101"
"MAFF","1.876352652191165093","1.876352652191165093","1.876352652191165093","Activated","58","viper","58","1.876352652191165093",NA,NA,"5","GTEx--Coexpression(rank=1); Enrichr--Queries(rank=2); ENCODE--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=165); ARCHS4--Coexpression(rank=769)","2","0.000622300000000000","GTEx Coexpression,6.223E-4"
"NFKB2","-1.813243320218838051","-1.813243320218838051","1.813243320218838051","Repressed","59","viper","59","1.813243320218838051",NA,NA,"4","Enrichr--Queries(rank=41); ARCHS4--Coexpression(rank=80); ReMap--ChIP-seq(rank=183); GTEx--Coexpression(rank=198)","109","0.029200000000000000","Enrichr Queries,0.0292"
"MITF","1.810631076242819271","1.810631076242819271","1.810631076242819271","Activated","60","viper","60","1.810631076242819271",NA,NA,"5","Literature--ChIP-seq(rank=74); ReMap--ChIP-seq(rank=151); Enrichr--Queries(rank=275); ARCHS4--Coexpression(rank=532); GTEx--Coexpression(rank=642)","606","0.195899999999999991","Enrichr Queries,0.1959"
"GABPA","1.798363290902838862","1.798363290902838862","1.798363290902838862","Activated","61","viper","61","1.798363290902838862",NA,NA,"6","Literature--ChIP-seq(rank=33); ENCODE--ChIP-seq(rank=99); ReMap--ChIP-seq(rank=209); GTEx--Coexpression(rank=663); Enrichr--Queries(rank=1296); ARCHS4--Coexpression(rank=1553)","617","0.201199999999999990","Literature ChIP-seq,0.2012"
"IRF4","1.790248482926084517","1.790248482926084517","1.790248482926084517","Activated","62","viper","62","1.790248482926084517",NA,NA,"5","ARCHS4--Coexpression(rank=17); ENCODE--ChIP-seq(rank=107); ReMap--ChIP-seq(rank=111); Enrichr--Queries(rank=118); GTEx--Coexpression(rank=433)","40","0.010440000000000000","ARCHS4 Coexpression,0.01044"
"NEUROD1","1.785660089981590426","1.785660089981590426","1.785660089981590426","Activated","63","viper","63","1.785660089981590426",NA,NA,"4","ReMap--ChIP-seq(rank=71); GTEx--Coexpression(rank=744); ARCHS4--Coexpression(rank=751); Enrichr--Queries(rank=1240)","708","0.239100000000000007","ReMap ChIP-seq,0.2391"
"FOXK2","1.777895895236714985","1.777895895236714985","1.777895895236714985","Activated","64","viper","64","1.777895895236714985",NA,NA,"4","ReMap--ChIP-seq(rank=121); GTEx--Coexpression(rank=1035); Enrichr--Queries(rank=1285); ARCHS4--Coexpression(rank=1540)","1070","0.407399999999999984","ReMap ChIP-seq,0.4074"
"ZNF384","1.762768437160170398","1.762768437160170398","1.762768437160170398","Activated","65","viper","65","1.762768437160170398",NA,NA,"5","ENCODE--ChIP-seq(rank=64); ReMap--ChIP-seq(rank=154); GTEx--Coexpression(rank=1076); Enrichr--Queries(rank=1178); ARCHS4--Coexpression(rank=1505)","1277","0.518499999999999961","ReMap ChIP-seq,0.5185"
"TEAD1","1.760668164825927917","1.760668164825927917","1.760668164825927917","Activated","66","viper","66","1.760668164825927917",NA,NA,"4","ReMap--ChIP-seq(rank=60); GTEx--Coexpression(rank=421); ARCHS4--Coexpression(rank=528); Enrichr--Queries(rank=766)","619","0.202000000000000013","ReMap ChIP-seq,0.202"
"IRF2","1.760096214430392214","1.760096214430392214","1.760096214430392214","Activated","67","viper","67","1.760096214430392214",NA,NA,"4","ReMap--ChIP-seq(rank=157); ARCHS4--Coexpression(rank=230); GTEx--Coexpression(rank=266); Enrichr--Queries(rank=295)","466","0.141300000000000009","ARCHS4 Coexpression,0.1413"
"MNT","-1.757219571153684212","-1.757219571153684212","1.757219571153684212","Repressed","68","viper","68","1.757219571153684212",NA,NA,"4","ReMap--ChIP-seq(rank=55); Enrichr--Queries(rank=330); GTEx--Coexpression(rank=348); ARCHS4--Coexpression(rank=1441)","576","0.185200000000000004","ReMap ChIP-seq,0.1852"
"ZNF592","1.729571665177144224","1.729571665177144224","1.729571665177144224","Activated","69","viper","69","1.729571665177144224",NA,NA,"4","ReMap--ChIP-seq(rank=220); GTEx--Coexpression(rank=279); ARCHS4--Coexpression(rank=1087); Enrichr--Queries(rank=1358)","545","0.173600000000000004","GTEx Coexpression,0.1736"
"ZBTB33","1.720191614524736234","1.720191614524736234","1.720191614524736234","Activated","70","viper","70","1.720191614524736234",NA,NA,"5","ENCODE--ChIP-seq(rank=110); ReMap--ChIP-seq(rank=212); GTEx--Coexpression(rank=239); Enrichr--Queries(rank=1324); ARCHS4--Coexpression(rank=1623)","487","0.148699999999999999","GTEx Coexpression,0.1487"
"MXI1","1.702935768598892619","1.702935768598892619","1.702935768598892619","Activated","71","viper","71","1.702935768598892619",NA,NA,"5","ENCODE--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=188); Enrichr--Queries(rank=189); ARCHS4--Coexpression(rank=700); GTEx--Coexpression(rank=811)","441","0.134599999999999997","Enrichr Queries,0.1346"
"RARA","1.669207590923007745","1.669207590923007745","1.669207590923007745","Activated","72","viper","72","1.669207590923007745",NA,NA,"5","Literature--ChIP-seq(rank=70); Enrichr--Queries(rank=164); ARCHS4--Coexpression(rank=266); ReMap--ChIP-seq(rank=266); GTEx--Coexpression(rank=298)","394","0.116800000000000001","Enrichr Queries,0.1168"
"MYC","-1.652790838339303514","-1.652790838339303514","1.652790838339303514","Repressed","73","viper","73","1.652790838339303514",NA,NA,"6","GTEx--Coexpression(rank=57); ENCODE--ChIP-seq(rank=81); Literature--ChIP-seq(rank=94); Enrichr--Queries(rank=99); ReMap--ChIP-seq(rank=176); ARCHS4--Coexpression(rank=1305)","130","0.035470000000000002","GTEx Coexpression,0.03547"
"CLOCK","1.651995414660614170","1.651995414660614170","1.651995414660614170","Activated","74","viper","74","1.651995414660614170",NA,NA,"5","Literature--ChIP-seq(rank=36); ReMap--ChIP-seq(rank=202); ARCHS4--Coexpression(rank=1000); Enrichr--Queries(rank=1310); GTEx--Coexpression(rank=1352)","666","0.219500000000000001","Literature ChIP-seq,0.2195"
"FOXM1","1.620527273478997721","1.620527273478997721","1.620527273478997721","Activated","75","viper","75","1.620527273478997721",NA,NA,"6","ENCODE--ChIP-seq(rank=26); Literature--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=125); GTEx--Coexpression(rank=381); Enrichr--Queries(rank=1186); ARCHS4--Coexpression(rank=1264)","669","0.220299999999999996","ENCODE ChIP-seq,0.2203"
"CREM","1.593284598247522554","1.593284598247522554","1.593284598247522554","Activated","76","viper","76","1.593284598247522554",NA,NA,"5","ARCHS4--Coexpression(rank=46); Enrichr--Queries(rank=46); ReMap--ChIP-seq(rank=118); Literature--ChIP-seq(rank=136); GTEx--Coexpression(rank=815)","105","0.028260000000000000","ARCHS4 Coexpression,0.02826"
"CEBPB","1.591657965619921900","1.591657965619921900","1.591657965619921900","Activated","77","viper","77","1.591657965619921900",NA,NA,"6","ENCODE--ChIP-seq(rank=8); ARCHS4--Coexpression(rank=45); Enrichr--Queries(rank=51); Literature--ChIP-seq(rank=80); ReMap--ChIP-seq(rank=84); GTEx--Coexpression(rank=129)","103","0.027640000000000001","ARCHS4 Coexpression,0.02764"
"MEIS2","-1.580395564025006028","-1.580395564025006028","1.580395564025006028","Repressed","78","viper","78","1.580395564025006028",NA,NA,"4","ReMap--ChIP-seq(rank=101); ARCHS4--Coexpression(rank=252); Enrichr--Queries(rank=399); GTEx--Coexpression(rank=684)","498","0.154799999999999993","ARCHS4 Coexpression,0.1548"
