"TF","Score","Activity_Score_Mean","Method_P_Value","Condition_Scores","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ATF3","1.736467884265945116","1.736467884265945116","0.08248113821123267963564273941301508","RKO=1.736","Activated","184","collectri","184","1.736467884265945116",NA,"6","Literature--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=32); ENCODE--ChIP-seq(rank=77); ARCHS4--Coexpression(rank=289); Enrichr--Queries(rank=383); GTEx--Coexpression(rank=603)","171","0.04268000000000000","Literature ChIP-seq,0.04268"
"TSC22D1","1.723298279190312643","1.723298279190312643","0.08483459880147846410292089558424777","RKO=1.723","Activated","185","collectri","185","1.723298279190312643",NA,"3","GTEx--Coexpression(rank=449); ARCHS4--Coexpression(rank=793); Enrichr--Queries(rank=917)","968","0.27939999999999998","GTEx Coexpression,0.2794"
"ZNF335","1.716212147480228767","1.716212147480228767","0.08612322068466682356557839739252813","RKO=1.716","Activated","186","collectri","186","1.716212147480228767",NA,"4","ReMap--ChIP-seq(rank=48); ARCHS4--Coexpression(rank=967); Enrichr--Queries(rank=1108); GTEx--Coexpression(rank=1265)","638","0.16159999999999999","ReMap ChIP-seq,0.1616"
"AHR","1.710088011225198823","1.710088011225198823","0.08724959938947975113254784673699760","RKO=1.71","Activated","187","collectri","187","1.710088011225198823",NA,"5","Literature--ChIP-seq(rank=105); ReMap--ChIP-seq(rank=199); Enrichr--Queries(rank=222); ARCHS4--Coexpression(rank=274); GTEx--Coexpression(rank=486)","627","0.15809999999999999","Enrichr Queries,0.1581"
"BCOR","1.709201788347940898","-1.709201788347940898","0.08741357772884097987464713241934078","RKO=-1.709","Repressed","188","collectri","188","1.709201788347940898",NA,"0","",NA,NA,NA
"PKNOX1","1.706795104322272216","1.706795104322272216","0.08786014270801655035025845563723124","RKO=1.707","Activated","189","collectri","189","1.706795104322272216",NA,"4","ReMap--ChIP-seq(rank=154); Enrichr--Queries(rank=794); GTEx--Coexpression(rank=889); ARCHS4--Coexpression(rank=1017)","1367","0.51849999999999996","ReMap ChIP-seq,0.5185"
"NFIX","1.696827173370702324","1.696827173370702324","0.08972933976288770263618488343126955","RKO=1.697","Activated","190","collectri","190","1.696827173370702324",NA,"3","ARCHS4--Coexpression(rank=368); Enrichr--Queries(rank=617); GTEx--Coexpression(rank=654)","828","0.22600000000000001","ARCHS4 Coexpression,0.226"
"SOX2","1.695642602805606858","1.695642602805606858","0.08995358448274867746441429972037440","RKO=1.696","Activated","191","collectri","191","1.695642602805606858",NA,"5","Literature--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=88); GTEx--Coexpression(rank=427); Enrichr--Queries(rank=810); ARCHS4--Coexpression(rank=882)","299","0.07317000000000000","Literature ChIP-seq,0.07317"
"LEF1","1.694119966902392083","1.694119966902392083","0.09024248887253129292052022947245860","RKO=1.694","Activated","192","collectri","192","1.694119966902392083",NA,"4","ReMap--ChIP-seq(rank=289); Enrichr--Queries(rank=546); ARCHS4--Coexpression(rank=980); GTEx--Coexpression(rank=1277)","1187","0.38890000000000002","Enrichr Queries,0.3889"
"KAT7","1.691118185661461659","1.691118185661461659","0.09081423257438223095583396116126096","RKO=1.691","Activated","193","collectri","193","1.691118185661461659",NA,"2","ARCHS4--Coexpression(rank=851); GTEx--Coexpression(rank=1287)","1371","0.52270000000000005","ARCHS4 Coexpression,0.5227"
