Pathway,SPLICEOSOME,RNA DEGRADATION,CELL CYCLE,UBIQUITIN MEDIATED PROTEOLYSIS,PARKINSONS DISEASE,HUNTINGTONS DISEASE,OXIDATIVE PHOSPHORYLATION,ALZHEIMERS DISEASE,RIBOSOME,DNA REPLICATION,MISMATCH REPAIR,NUCLEOTIDE EXCISION REPAIR,HOMOLOGOUS RECOMBINATION,BASE EXCISION REPAIR,NEUROACTIVE LIGAND RECEPTOR INTERACTION,CALCIUM SIGNALING PATHWAY,FATTY ACID METABOLISM,BUTANOATE METABOLISM,VALINE LEUCINE AND ISOLEUCINE DEGRADATION,PROPANOATE METABOLISM,PEROXISOME,PYRIMIDINE METABOLISM,RNA POLYMERASE,PURINE METABOLISM,PROTEASOME,AMINOACYL TRNA BIOSYNTHESIS,DRUG METABOLISM CYTOCHROME P450,METABOLISM OF XENOBIOTICS BY CYTOCHROME P450,RETINOL METABOLISM,ASCORBATE AND ALDARATE METABOLISM,STARCH AND SUCROSE METABOLISM,PENTOSE AND GLUCURONATE INTERCONVERSIONS,GNRH SIGNALING PATHWAY,FC EPSILON RI SIGNALING PATHWAY,ALDOSTERONE REGULATED SODIUM REABSORPTION,PHOSPHATIDYLINOSITOL SIGNALING SYSTEM,INOSITOL PHOSPHATE METABOLISM,INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION,ALLOGRAFT REJECTION,OLFACTORY TRANSDUCTION
BASE EXCISION REPAIR,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.3142857142857143,0.17142857142857143,0.2857142857142857,0.11428571428571428,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22857142857142856,0.0,0.22857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEUROACTIVE LIGAND RECEPTOR INTERACTION,0.0,0.0,0.0,0.0,0.0,0.011029411764705883,0.0,0.01838235294117647,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.23161764705882354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALCIUM SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.05056179775280899,0.09550561797752809,0.0,0.19101123595505617,0.0,0.0,0.0,0.0,0.0,0.0,0.3539325842696629,1.0,0.0,0.0,0.0,0.0,0.0056179775280898875,0.0,0.0,0.056179775280898875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21910112359550563,0.02247191011235955,0.016853932584269662,0.1404494382022472,0.07303370786516854,0.0,0.0,0.09550561797752809
FATTY ACID METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2857142857142857,0.40476190476190477,0.2619047619047619,0.23809523809523808,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.21428571428571427,0.11904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUTANOATE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35294117647058826,1.0,0.5294117647058824,0.3235294117647059,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14705882352941177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VALINE LEUCINE AND ISOLEUCINE DEGRADATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38636363636363635,0.4090909090909091,1.0,0.4090909090909091,0.06818181818181818,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.11363636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0
PROPANOATE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5454545454545454,1.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0
PEROXISOME,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.1282051282051282,0.02564102564102564,0.038461538461538464,0.02564102564102564,1.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PYRIMIDINE METABOLISM,0.0,0.01020408163265306,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.12244897959183673,0.04081632653061224,0.08163265306122448,0.04081632653061224,0.08163265306122448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29591836734693877,0.7244897959183674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNA POLYMERASE,0.0,0.0,0.0,0.0,0.0,0.4827586206896552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PURINE METABOLISM,0.0,0.006289308176100629,0.0,0.0,0.0,0.0880503144654088,0.0,0.0,0.0,0.07547169811320754,0.025157232704402517,0.050314465408805034,0.025157232704402517,0.050314465408805034,0.0,0.06289308176100629,0.0,0.0,0.0,0.0,0.006289308176100629,0.44654088050314467,0.18238993710691823,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012578616352201259,0.0,0.05660377358490566,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886
PROTEASOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0
AMINOACYL TRNA BIOSYNTHESIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRUG METABOLISM CYTOCHROME P450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09722222222222222,0.0,0.013888888888888888,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,0.5277777777777778,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METABOLISM OF XENOBIOTICS BY CYTOCHROME P450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,1.0,0.5142857142857142,0.2571428571428571,0.2571428571428571,0.2714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RETINOL METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.140625,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.59375,0.5625,1.0,0.28125,0.28125,0.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASCORBATE AND ALDARATE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.72,1.0,0.76,0.76,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
STARCH AND SUCROSE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.34615384615384615,0.34615384615384615,0.34615384615384615,0.36538461538461536,1.0,0.40384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PENTOSE AND GLUCURONATE INTERCONVERSIONS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,0.6785714285714286,0.6428571428571429,0.6785714285714286,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNRH SIGNALING PATHWAY,0.0,0.0,0.0,0.009900990099009901,0.0,0.0594059405940594,0.0,0.19801980198019803,0.0,0.0,0.0,0.0,0.0,0.0,0.039603960396039604,0.38613861386138615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0891089108910891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.40594059405940597,0.04950495049504951,0.1485148514851485,0.039603960396039604,0.0,0.0,0.1485148514851485
FC EPSILON RI SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0379746835443038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05063291139240506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5189873417721519,1.0,0.17721518987341772,0.16455696202531644,0.0759493670886076,0.02531645569620253,0.0379746835443038,0.0
ALDOSTERONE REGULATED SODIUM REABSORPTION,0.0,0.0,0.023809523809523808,0.023809523809523808,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11904761904761904,0.3333333333333333,1.0,0.2619047619047619,0.09523809523809523,0.0,0.0,0.0
PHOSPHATIDYLINOSITOL SIGNALING SYSTEM,0.0,0.0,0.0,0.0,0.0,0.06578947368421052,0.0,0.17105263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32894736842105265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19736842105263158,0.17105263157894737,0.14473684210526316,1.0,0.631578947368421,0.0,0.0,0.07894736842105263
INOSITOL PHOSPHATE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24074074074074073,0.0,0.0,0.018518518518518517,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.07407407407407407,0.1111111111111111,0.07407407407407407,0.8888888888888888,1.0,0.0,0.0,0.0
INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,1.0,0.4791666666666667,0.0
ALLOGRAFT REJECTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08108108108108109,0.0,0.0,0.0,0.6216216216216216,1.0,0.0
OLFACTORY TRANSDUCTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015424164524421594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043701799485861184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007712082262210797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038560411311053984,0.0,0.0,0.015424164524421594,0.0,0.0,0.0,1.0
