"TF","MVL_TOR10"
"RUNX3","-0.56573339727683081"
"RXRA","-1.47767042448575592"
"SIX2","1.44234387489304128"
"SIX5","-2.43736373192423450"
"SMAD1","-0.57535251889067662"
"SMAD3","0.66512668467121228"
"SMAD4","0.10686257725059442"
"SMAD5","-3.30793754667540485"
"SNAI2","-0.34332736334046954"
"SNAPC4","-2.28891936968661458"
"SOX10","0.14255573476334946"
"SOX11","2.58150982858058597"
"SOX13","1.39779301488543806"
"SOX2","0.73320842236375794"
"SOX6","0.02050000509537099"
"SOX9","0.37036089063117011"
"SP1","-0.09969296983367756"
"SP2","-3.69081485340182125"
"SP3","3.91007251544765655"
"SP4","-1.14409429263384488"
"SPI1","1.63686101029470432"
"SPIB","-0.28277291632529095"
"SREBF1","0.83977829194028808"
"SREBF2","-0.69902099535286588"
"SRF","-0.41523401135217697"
"STAT1","2.52133781234276100"
"STAT2","0.57004960725587028"
"STAT3","2.00271336690898893"
"STAT4","2.61905278812634768"
"STAT5A","0.36140659977021033"
"STAT5B","1.38323113594181324"
"STAT6","0.21522983372022764"
"TAL1","1.71995005474000418"
"TBP","0.06832347446367172"
"TBX21","0.66028536268019089"
"TCF12","2.79975993140146739"
"TCF3","-2.27032188771122279"
"TCF4","2.32400358651882133"
"TCF7","-0.06636182052483751"
"TCF7L2","-0.08236771978667823"
"TEAD1","2.75028385207660397"
"TEAD2","-1.00224921799591105"
"TEAD4","2.09163133536457213"
"TFAP2A","2.27908202941933435"
"TFAP2C","2.68003122846435815"
"TFAP4","1.49632183300479471"
"TFDP1","-4.04136342448118668"
"TGIF2","0.50029876221237823"
"THAP1","-3.29628871810373880"
"THAP11","2.91892179152857167"
"TP53","-0.71168457042795508"
"TP63","2.72115620275073322"
"TP73","-0.80841283173447676"
"TWIST1","-0.73854308811564662"
"USF1","1.84294568443035667"
"USF2","2.06578245631930413"
"VDR","0.50110359069753141"
"WT1","-3.53845160449913410"
"XBP1","1.13491078394835876"
"YY1","-1.28428212362901628"
"ZBED1","0.37142783385565431"
"ZBTB11","-3.37656787785127221"
"ZBTB33","-2.84534570308498225"
"ZBTB7A","1.65022499229000230"
"ZEB1","0.22963702458014645"
"ZEB2","-1.13369404550507791"
"ZFX","-3.17401413146396782"
"ZKSCAN1","-0.16481424327030686"
"ZNF143","-0.91320518692501262"
"ZNF217","1.23695157753881069"
"ZNF24","-0.80032025155176922"
"ZNF263","-0.69764566978610587"
"ZNF274","-0.71039418597472070"
"ZNF384","-1.77140379639477197"
"ZNF592","-1.29746759022001013"
"ZNF639","3.80276684255257091"
"ZNF740","-2.19488710020155509"
