Pathway,ATF5 TARGET GENES,PER1 TARGET GENES,EMX1 TARGET GENES,KDM1B TARGET GENES,MSX1 TARGET GENES,SRPK1 TARGET GENES,NR2E3 TARGET GENES,NR1I2 TARGET GENES,MYF6 TARGET GENES,DLX2 TARGET GENES,DMRT1 TARGET GENES,TERF2 TARGET GENES,ZMYND11 TARGET GENES,RPA2 TARGET GENES,SIX1 TARGET GENES,IGF1R TARGET GENES,ZSCAN23 TARGET GENES,ZNF558 TARGET GENES,F10 TARGET GENES,KLF14 TARGET GENES,ZNF454 TARGET GENES,RORA TARGET GENES,FOXF1 TARGET GENES,HOXC13 TARGET GENES,SOX10 TARGET GENES,ZNF16 TARGET GENES,PCGF6 TARGET GENES,ZNF202 TARGET GENES,SQSTM1 TARGET GENES,ZZZ3 TARGET GENES,RBM15 TARGET GENES,ZNF677 TARGET GENES,MIER1 TARGET GENES,ATOH8 TARGET GENES,MYBL1 TARGET GENES,TCOF1 TARGET GENES,ZNF486 TARGET GENES,SNAPC4 TARGET GENES,MED16 TARGET GENES,NFE2L3 TARGET GENES
SOX10 TARGET GENES,0.025157232704402517,0.0031446540880503146,0.015723270440251572,0.015723270440251572,0.015723270440251572,0.0220125786163522,0.0,0.018867924528301886,0.0,0.02830188679245283,0.018867924528301886,0.006289308176100629,0.006289308176100629,0.0,0.02830188679245283,0.0031446540880503146,0.006289308176100629,0.009433962264150943,0.040880503144654086,0.0,0.0,0.006289308176100629,0.0,0.006289308176100629,1.0,0.006289308176100629,0.0031446540880503146,0.0031446540880503146,0.0,0.018867924528301886,0.018867924528301886,0.012578616352201259,0.0031446540880503146,0.0,0.02830188679245283,0.0,0.012578616352201259,0.006289308176100629,0.012578616352201259,0.0
ZNF16 TARGET GENES,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.038461538461538464,0.0,0.0,0.0,0.01282051282051282,0.0,0.01282051282051282,0.02564102564102564,0.01282051282051282,0.07692307692307693,0.0,0.01282051282051282,0.0,0.0,0.02564102564102564,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0641025641025641,0.01282051282051282,0.0,0.0,0.01282051282051282,0.01282051282051282,0.0,0.0
PCGF6 TARGET GENES,0.07792207792207792,0.0,0.025974025974025976,0.0,0.0,0.012987012987012988,0.0,0.03896103896103896,0.0,0.012987012987012988,0.012987012987012988,0.0,0.0,0.0,0.012987012987012988,0.0,0.0,0.025974025974025976,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,1.0,0.025974025974025976,0.0,0.025974025974025976,0.012987012987012988,0.0,0.03896103896103896,0.0,0.07792207792207792,0.0,0.012987012987012988,0.012987012987012988,0.0,0.0
ZNF202 TARGET GENES,0.024096385542168676,0.0,0.0,0.0,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.024096385542168676,0.0,0.0,0.0,0.012048192771084338,0.0,0.024096385542168676,0.27710843373493976,0.012048192771084338,0.012048192771084338,0.0,0.0,0.0,0.012048192771084338,0.012048192771084338,0.0,0.024096385542168676,1.0,0.0,0.024096385542168676,0.0,0.012048192771084338,0.012048192771084338,0.0,0.03614457831325301,0.0,0.024096385542168676,0.0,0.0,0.0
SQSTM1 TARGET GENES,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.018867924528301886,0.03773584905660377,0.0,0.03773584905660377,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09433962264150944,0.07547169811320754,0.03773584905660377,0.0,0.0,0.05660377358490566,0.018867924528301886,0.018867924528301886,0.0,0.0,0.0
ZZZ3 TARGET GENES,0.05329153605015674,0.012539184952978056,0.012539184952978056,0.018808777429467086,0.047021943573667714,0.05642633228840126,0.0,0.04075235109717868,0.003134796238244514,0.02821316614420063,0.05956112852664577,0.0,0.006269592476489028,0.003134796238244514,0.01567398119122257,0.0,0.02821316614420063,0.06583072100313479,0.0219435736677116,0.025078369905956112,0.009404388714733543,0.08463949843260188,0.0,0.025078369905956112,0.018808777429467086,0.0,0.006269592476489028,0.006269592476489028,0.01567398119122257,1.0,0.03134796238244514,0.006269592476489028,0.03134796238244514,0.0,0.034482758620689655,0.0,0.006269592476489028,0.006269592476489028,0.003134796238244514,0.003134796238244514
RBM15 TARGET GENES,0.04040404040404041,0.015151515151515152,0.020202020202020204,0.020202020202020204,0.005050505050505051,0.050505050505050504,0.0,0.020202020202020204,0.005050505050505051,0.015151515151515152,0.005050505050505051,0.0,0.025252525252525252,0.0,0.015151515151515152,0.0,0.015151515151515152,0.04040404040404041,0.010101010101010102,0.045454545454545456,0.0,0.005050505050505051,0.0,0.0,0.030303030303030304,0.0,0.005050505050505051,0.0,0.020202020202020204,0.050505050505050504,1.0,0.025252525252525252,0.045454545454545456,0.0,0.04040404040404041,0.0,0.005050505050505051,0.010101010101010102,0.010101010101010102,0.0
ZNF677 TARGET GENES,0.03296703296703297,0.0,0.016483516483516484,0.01098901098901099,0.005494505494505495,0.016483516483516484,0.0,0.027472527472527472,0.0,0.0,0.02197802197802198,0.0,0.0,0.0,0.016483516483516484,0.0,0.01098901098901099,0.02197802197802198,0.016483516483516484,0.03296703296703297,0.0,0.01098901098901099,0.0,0.01098901098901099,0.02197802197802198,0.0,0.0,0.005494505494505495,0.01098901098901099,0.01098901098901099,0.027472527472527472,1.0,0.0,0.0,0.02197802197802198,0.0,0.005494505494505495,0.005494505494505495,0.0,0.0
MIER1 TARGET GENES,0.0425531914893617,0.0,0.018617021276595744,0.0,0.0,0.007978723404255319,0.0026595744680851063,0.005319148936170213,0.0026595744680851063,0.007978723404255319,0.018617021276595744,0.005319148936170213,0.0026595744680851063,0.0,0.026595744680851064,0.0,0.010638297872340425,0.02127659574468085,0.015957446808510637,0.03723404255319149,0.0026595744680851063,0.02127659574468085,0.0026595744680851063,0.007978723404255319,0.0026595744680851063,0.013297872340425532,0.007978723404255319,0.0026595744680851063,0.0,0.026595744680851064,0.023936170212765957,0.0,1.0,0.02127659574468085,0.010638297872340425,0.0,0.0026595744680851063,0.0026595744680851063,0.0,0.0026595744680851063
ATOH8 TARGET GENES,0.019230769230769232,0.0,0.0,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.0,0.0,0.0,0.019230769230769232,0.0,0.019230769230769232,0.019230769230769232,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,1.0,0.019230769230769232,0.0,0.0,0.038461538461538464,0.019230769230769232,0.0
MYBL1 TARGET GENES,0.043568464730290454,0.004149377593360996,0.01867219917012448,0.006224066390041493,0.008298755186721992,0.04149377593360996,0.0,0.04149377593360996,0.002074688796680498,0.01867219917012448,0.03941908713692946,0.006224066390041493,0.002074688796680498,0.0,0.008298755186721992,0.0,0.012448132780082987,0.02074688796680498,0.01867219917012448,0.026970954356846474,0.004149377593360996,0.026970954356846474,0.0,0.02074688796680498,0.01867219917012448,0.0,0.012448132780082987,0.006224066390041493,0.006224066390041493,0.022821576763485476,0.016597510373443983,0.008298755186721992,0.008298755186721992,0.002074688796680498,1.0,0.004149377593360996,0.006224066390041493,0.008298755186721992,0.006224066390041493,0.002074688796680498
TCOF1 TARGET GENES,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,1.0,0.0,0.0,0.0,0.0
ZNF486 TARGET GENES,0.01644736842105263,0.0,0.013157894736842105,0.0,0.006578947368421052,0.01644736842105263,0.0,0.006578947368421052,0.0,0.0,0.003289473684210526,0.0,0.0,0.003289473684210526,0.009868421052631578,0.0,0.0,0.006578947368421052,0.023026315789473683,0.009868421052631578,0.0,0.006578947368421052,0.0,0.0,0.013157894736842105,0.003289473684210526,0.003289473684210526,0.006578947368421052,0.003289473684210526,0.006578947368421052,0.003289473684210526,0.003289473684210526,0.003289473684210526,0.0,0.009868421052631578,0.0,1.0,0.006578947368421052,0.006578947368421052,0.0
SNAPC4 TARGET GENES,0.1079136690647482,0.0,0.02158273381294964,0.050359712230215826,0.007194244604316547,0.02877697841726619,0.0,0.04316546762589928,0.0,0.04316546762589928,0.014388489208633094,0.007194244604316547,0.014388489208633094,0.007194244604316547,0.007194244604316547,0.0,0.02158273381294964,0.050359712230215826,0.02158273381294964,0.0,0.014388489208633094,0.02158273381294964,0.0,0.014388489208633094,0.014388489208633094,0.007194244604316547,0.007194244604316547,0.0,0.0,0.014388489208633094,0.014388489208633094,0.007194244604316547,0.007194244604316547,0.014388489208633094,0.02877697841726619,0.0,0.014388489208633094,1.0,0.08633093525179857,0.0
MED16 TARGET GENES,0.1276595744680851,0.0,0.0,0.0,0.0425531914893617,0.02127659574468085,0.0,0.02127659574468085,0.0,0.06382978723404255,0.0425531914893617,0.0425531914893617,0.0,0.0,0.02127659574468085,0.0,0.10638297872340426,0.1276595744680851,0.0851063829787234,0.14893617021276595,0.0,0.0,0.0,0.0,0.0851063829787234,0.0,0.0,0.0,0.0,0.02127659574468085,0.0425531914893617,0.0,0.0,0.02127659574468085,0.06382978723404255,0.0,0.0425531914893617,0.2553191489361702,1.0,0.0
NFE2L3 TARGET GENES,0.05555555555555555,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,1.0
