Pathway,REFERENCE TRANSLATION INITIATION,"VARIANT MUTATION INACTIVATED VCP TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","REFERENCE 26S PROTEASOME MEDIATED PROTEIN
DEGRADATION","VARIANT MUTATION INACTIVATED UBQLN2 TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","VARIANT MUTATION CAUSED ABERRANT SOD1 TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","REFERENCE MITOCHONDRIAL COMPLEX UCP1 IN
THERMOGENESIS","PATHOGEN ARSENIC TO ELECTRON TRANSFER IN
COMPLEX II","REFERENCE CITRATE CYCLE SECOND CARBON
OXIDATION 2","ENV FACTOR ARSENIC TO ELECTRON TRANSFER IN
COMPLEX IV",REFERENCE ELECTRON TRANSFER IN COMPLEX IV,"VARIANT MUTATION CAUSED ABERRANT ABETA TO
ELECTRON TRANSFER IN COMPLEX IV",REFERENCE CXCR4 GNB G RAC SIGNALING PATHWAY,"PATHOGEN HIV GP120 TO CXCR4 GNB G RAC
SIGNALING PATHWAY","REFERENCE CCR CXCR GNB G PI3K RAC SIGNALING
PATHWAY",REFERENCE GPCR PI3K SIGNALING PATHWAY,"REFERENCE CXCR GNB G PI3K AKT SIGNALING
PATHWAY","PATHOGEN KSHV VGPCR TO GNB G PI3K AKT
SIGNALING PATHWAY","VARIANT MUTATION CAUSED ABERRANT ABETA TO
ELECTRON TRANSFER IN COMPLEX I",REFERENCE ELECTRON TRANSFER IN COMPLEX I,"VARIANT MUTATION CAUSED ABERRANT SNCA TO
ELECTRON TRANSFER IN COMPLEX I","VARIANT MUTATION INACTIVATED PINK1 TO
ELECTRON TRANSFER IN COMPLEX I","VARIANT MUTATION CAUSED ABERRANT TDP43 TO
ELECTRON TRANSFER IN COMPLEX I",REFERENCE STRAD STK11 TSC SIGNALING PATHWAY,REFERENCE MEVALONATE PATHWAY,REFERENCE ELECTRON TRANSFER IN COMPLEX III,"VARIANT MUTATION CAUSED ABERRANT HTT TO
ELECTRON TRANSFER IN COMPLEX III",REFERENCE EGF EGFR ACTIN SIGNALING PATHWAY,"PATHOGEN SHIGELLA IPAC TO ACTIN SIGNALING
PATHWAY","PATHOGEN ESCHERICHIA ESPT TO RAC SIGNALING
PATHWAY","VARIANT DELETED DMD TO DYSTROPHIN ASSOCIATED
PROTEIN COMPLEX","PATHOGEN SALMONELLA SPVD TO TNF NFKB
SIGNALING PATHWAY","PATHOGEN SALMONELLA SOPE E2 TO NOD NFKB
SIGNALING PATHWAY",REFERENCE RIG I NFKB SIGNALING PATHWAY,REFERENCE TLR2 4 MAPK SIGNALING PATHWAY,"PATHOGEN HTLV 1 TAX TO SRF MEDIATED
TRANSCRIPTION","REFERENCE N GLYCAN PRECURSOR BIOSYNTHESIS
ALG7 TO ALG11","REFERENCE C9ORF72 MEDIATED AUTOPHAGY
INITIATION",REFERENCE TSH DUOX2 TG SIGNALING PATHWAY,"VARIANT MUTATION CAUSED ABERRANT ABETA TO
CROSSTALK BETWEEN EXTRINSIC AND INTRINSIC
APOPTOTIC PATHWAYS","VARIANT MUTATION CAUSED ABERRANT PSEN1 TO
PERK ATF4 SIGNALING PATHWAY"
"PATHOGEN SHIGELLA IPAC TO ACTIN SIGNALING
PATHWAY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8461538461538461,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PATHOGEN ESCHERICHIA ESPT TO RAC SIGNALING
PATHWAY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7857142857142857,0.7857142857142857,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VARIANT DELETED DMD TO DYSTROPHIN ASSOCIATED
PROTEIN COMPLEX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PATHOGEN SALMONELLA SPVD TO TNF NFKB
SIGNALING PATHWAY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PATHOGEN SALMONELLA SOPE E2 TO NOD NFKB
SIGNALING PATHWAY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE RIG I NFKB SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.2727272727272727,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE TLR2 4 MAPK SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0
"PATHOGEN HTLV 1 TAX TO SRF MEDIATED
TRANSCRIPTION",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0
"REFERENCE N GLYCAN PRECURSOR BIOSYNTHESIS
ALG7 TO ALG11",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"REFERENCE C9ORF72 MEDIATED AUTOPHAGY
INITIATION",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
REFERENCE TSH DUOX2 TG SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"VARIANT MUTATION CAUSED ABERRANT ABETA TO
CROSSTALK BETWEEN EXTRINSIC AND INTRINSIC
APOPTOTIC PATHWAYS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"VARIANT MUTATION CAUSED ABERRANT PSEN1 TO
PERK ATF4 SIGNALING PATHWAY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
