"sig_names","p.value","statistic","p.adj","log10pvalue","stars","Method_Source","p.value.label","p.adj.label","Significance","Adjusted_Significance"
"DC_02_CD1C","0.00000812666314471613986287774206163092571841843891888856887817382812500000000000000000000000000","0.2074638901557519788","0.000058762025815639784456344968388563643202360253781080245971679687500000000000000000000000000","5.090087741652722819","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Antimicrobials_Li_et_al","0.00000954592398144599758728120336703781845244520809501409530639648437500000000000000000000000000","0.2058894270579872121","0.000065795468599313340130919913750773275751271285116672515869140625000000000000000000000000000","5.020182028441383615","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Nature_metabolism_Hypoxia","0.00000956600784599945732516491914143585972851724363863468170166015625000000000000000000000000000","0.2058687892214439985","0.000065795468599313340130919913750773275751271285116672515869140625000000000000000000000000000","5.019269267257398859","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Mono_like_03_CD14CD16","0.00001277912138601391382893793929875769777027016971260309219360351562500000000000000000000000000","0.2030049709159377491","0.000085802672163236273967547307339742701515206135809421539306640625000000000000000000000000000","4.893499004575351918","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Chemokines_Li_et_al","0.00001491194599574725203165737053012662727269344031810760498046875000000000000000000000000000000","0.2014619741491988081","0.000096201525545189922800949633430178664639242924749851226806640625000000000000000000000000000","4.826465677803360776","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Mono_like_02_CD16","0.00001503891450493029820331594009763520602973585482686758041381835937500000000000000000000000000","0.2013768749219711218","0.000096201525545189922800949633430178664639242924749851226806640625000000000000000000000000000","4.822783509590918172","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD4_c6_Tn_FHIT","0.00001535130726784945554984525284414331736115855164825916290283203125000000000000000000000000000","0.2011703691624860124","0.000096201525545189922800949633430178664639242924749851226806640625000000000000000000000000000","4.813854635493681755","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Exosome_assembly","0.00001611266054344168155106932494025073765442357398569583892822265625000000000000000000000000000","0.2006833416988761110","0.000098777614635881612250439820499536835995968431234359741210937500000000000000000000000000000","4.792832742390536360","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Mucin_Type_O_Glycan_Biosynthesis","0.00001664764810024228113482722135607616564811905845999717712402343750000000000000000000000000000","0.2003540280725534806","0.000099380159748676364533416516255925898803980089724063873291015625000000000000000000000000000","4.778647112862395296","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"TIP_Infiltration_of_immune_cells_into_tumors_1","0.00001691577187211512652681953683408977440194576047360897064208984375000000000000000000000000000","0.2001927472017896170","0.000099380159748676364533416516255925898803980089724063873291015625000000000000000000000000000","4.771708180426864843","****","IOBR::batch_cor","<0.001","<0.001","***","***"
