"Input_Type","TF_Analysis_Name","Method","ATF3_Found","Rank","Score","P_Value","Adj_P_Value","Direction","ATF3_Rank1","ATF3_TopN","ATF3_P_Significant","ATF3_AdjP_Significant","ATF3_Method_Supported","Result_File"
"INTERSECT","DLD1_HCT15_SW48","collectri",TRUE,6,3.47308064666338,4.37981206268332e-07,NA,"Activated",FALSE,TRUE,TRUE,FALSE,TRUE,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15_SW48/method_final/collectri/collectri_intersect_final_result.csv"
"INTERSECT","DLD1_HCT15_SW48","dorothea",TRUE,43,0,1,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15_SW48/method_final/dorothea/dorothea_intersect_final_result.csv"
"INTERSECT","DLD1_HCT15_SW48","enrichr",TRUE,24,774.035033827551,0.00757601220630419,0.0414254833261882,NA,FALSE,FALSE,TRUE,TRUE,TRUE,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15_SW48/method_final/enrichr/enrichr_intersect_Integrated--topRank.csv"
"INTERSECT","DLD1_HCT15_SW48","trrust",TRUE,40,0,1,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15_SW48/method_final/trrust/trrust_intersect_final_result.csv"
"INTERSECT","DLD1_HCT15_SW48","viper",TRUE,189,1.01351721491955,NA,NA,"Repressed",FALSE,FALSE,FALSE,FALSE,FALSE,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15_SW48/method_final/viper/viper_intersect_final_result.csv"
"INTERSECT","DLD1_HCT15","chea3",TRUE,1,0.0006143,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15/method_final/chea3/chea3_intersect_Integrated--topRank.csv"
"INTERSECT","DLD1_HCT15","collectri",TRUE,5,3.88373067614606,4.70839792369173e-07,NA,"Activated",FALSE,TRUE,TRUE,FALSE,TRUE,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15/method_final/collectri/collectri_intersect_final_result.csv"
"INTERSECT","DLD1_HCT15","dorothea",TRUE,19,1.56995834373307,0.0269179298051945,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15/method_final/dorothea/dorothea_intersect_final_result.csv"
"INTERSECT","DLD1_HCT15","enrichr",TRUE,7,90.5007775576607,2.13613565525001e-06,0.000760464293269005,NA,FALSE,TRUE,TRUE,TRUE,TRUE,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15/method_final/enrichr/enrichr_intersect_Integrated--topRank.csv"
"INTERSECT","DLD1_HCT15","trrust",TRUE,41,1.10468674124108,0.0785802233279738,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15/method_final/trrust/trrust_intersect_final_result.csv"
"INTERSECT","DLD1_HCT15","viper",TRUE,159,1.16187183803362,NA,NA,"Repressed",FALSE,FALSE,FALSE,FALSE,FALSE,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15/method_final/viper/viper_intersect_final_result.csv"
"INTERSECT","HT55_SW948","chea3",TRUE,5,0.001245,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,"results/ngs/GSE114012/TF_summary/intersect/HT55_SW948/method_final/chea3/chea3_intersect_Integrated--topRank.csv"
"INTERSECT","HT55_SW948","collectri",TRUE,3,4.18431530802866,1.91834451187466e-08,NA,"Activated",FALSE,TRUE,TRUE,FALSE,TRUE,"results/ngs/GSE114012/TF_summary/intersect/HT55_SW948/method_final/collectri/collectri_intersect_final_result.csv"
"INTERSECT","HT55_SW948","dorothea",TRUE,2,3.60241789367427,0.000249794059717572,NA,NA,FALSE,TRUE,TRUE,FALSE,TRUE,"results/ngs/GSE114012/TF_summary/intersect/HT55_SW948/method_final/dorothea/dorothea_intersect_final_result.csv"
"INTERSECT","HT55_SW948","enrichr",TRUE,33,90.1840781425684,0.000500308604151063,0.025592709366189,NA,FALSE,FALSE,TRUE,TRUE,TRUE,"results/ngs/GSE114012/TF_summary/intersect/HT55_SW948/method_final/enrichr/enrichr_intersect_Integrated--topRank.csv"
"INTERSECT","HT55_SW948","trrust",TRUE,21,1.4145161868211,0.0385020464108258,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,"results/ngs/GSE114012/TF_summary/intersect/HT55_SW948/method_final/trrust/trrust_intersect_final_result.csv"
"INTERSECT","HT55_SW948","viper",TRUE,192,0.903692253643977,NA,NA,"Repressed",FALSE,FALSE,FALSE,FALSE,FALSE,"results/ngs/GSE114012/TF_summary/intersect/HT55_SW948/method_final/viper/viper_intersect_final_result.csv"
"INTERSECT","SW948_RKO","chea3",TRUE,119,0.02635,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,"results/ngs/GSE114012/TF_summary/intersect/SW948_RKO/method_final/chea3/chea3_intersect_Integrated--topRank.csv"
"INTERSECT","SW948_RKO","collectri",TRUE,3,3.65079201395098,1.0897272250445e-08,NA,"Activated",FALSE,TRUE,TRUE,FALSE,TRUE,"results/ngs/GSE114012/TF_summary/intersect/SW948_RKO/method_final/collectri/collectri_intersect_final_result.csv"
"INTERSECT","SW948_RKO","dorothea",TRUE,118,0,1,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,"results/ngs/GSE114012/TF_summary/intersect/SW948_RKO/method_final/dorothea/dorothea_intersect_final_result.csv"
"INTERSECT","SW948_RKO","enrichr",TRUE,25,118.611871734907,2.94851524602203e-05,0.00340062091707874,NA,FALSE,FALSE,TRUE,TRUE,TRUE,"results/ngs/GSE114012/TF_summary/intersect/SW948_RKO/method_final/enrichr/enrichr_intersect_Integrated--topRank.csv"
"INTERSECT","SW948_RKO","trrust",TRUE,114,0,1,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,"results/ngs/GSE114012/TF_summary/intersect/SW948_RKO/method_final/trrust/trrust_intersect_final_result.csv"
"INTERSECT","SW948_RKO","viper",TRUE,213,0.93510776443077,NA,NA,"Repressed",FALSE,FALSE,FALSE,FALSE,FALSE,"results/ngs/GSE114012/TF_summary/intersect/SW948_RKO/method_final/viper/viper_intersect_final_result.csv"
