"Input_Type","TF_Analysis_Name","Intersection_Name","ATF3_Found_In_Top_Candidates","Consensus_Rank","Required_Methods","Number_Of_Methods","Source_Method_Count","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Integrated_TopRank","Result_File"
"DEG","RKO","ENRICHR_TRRUST_COLLECTRI",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/RKO/intersections/ENRICHR_TRRUST_COLLECTRI/candidates/top10_tf_candidates.csv"
"DEG","RKO","LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/RKO/intersections/LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST/candidates/top10_tf_candidates.csv"
"DEG","RKO","ORA_METHODS_DOROTHEA_TRRUST",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/RKO/intersections/ORA_METHODS_DOROTHEA_TRRUST/candidates/top10_tf_candidates.csv"
"DEG","RKO","SIGNED_NETWORK_DOROTHEA_VIPER_COLLECTRI",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/RKO/intersections/SIGNED_NETWORK_DOROTHEA_VIPER_COLLECTRI/candidates/top10_tf_candidates.csv"
"DEG","RKO","WITHOUT_CHEA3",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/RKO/intersections/WITHOUT_CHEA3/candidates/top10_tf_candidates.csv"
"DEG","SW48","ACTIVITY_METHODS_VIPER_COLLECTRI",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/SW48/intersections/ACTIVITY_METHODS_VIPER_COLLECTRI/candidates/top10_tf_candidates.csv"
"DEG","SW48","ALL_6_METHODS",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/SW48/intersections/ALL_6_METHODS/candidates/top10_tf_candidates.csv"
"DEG","SW48","API_METHODS_CHEA3_ENRICHR",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/SW48/intersections/API_METHODS_CHEA3_ENRICHR/candidates/top10_tf_candidates.csv"
"DEG","SW48","BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI",TRUE,7,"ChEA3;ENRICHR;CollecTRI",3,6,68.6666666666667,37,122,"results/ngs/GSE114012/TF_summary/deg/SW48/intersections/BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI/candidates/top10_tf_candidates.csv"
"DEG","SW48","CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/SW48/intersections/CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST/candidates/top10_tf_candidates.csv"
