Pathway,IMMUNOGLOBULIN COMPLEX,T CELL RECEPTOR COMPLEX,PRERIBOSOME,SMALL SUBUNIT PROCESSOME,90S PRERIBOSOME,HIGH DENSITY LIPOPROTEIN PARTICLE,PROTEIN LIPID COMPLEX,ENDOPLASMIC RETICULUM LUMEN,VESICLE LUMEN,PLATELET ALPHA GRANULE LUMEN,PLATELET ALPHA GRANULE,BLOOD MICROPARTICLE,OTHER ORGANISM PART,ENDOPEPTIDASE COMPLEX,SERINE TYPE PEPTIDASE COMPLEX,PEPTIDASE COMPLEX,CATION CHANNEL COMPLEX,MONOATOMIC ION CHANNEL COMPLEX,SODIUM CHANNEL COMPLEX,POSTSYNAPTIC MEMBRANE,SYNAPTIC MEMBRANE,POSTSYNAPTIC SPECIALIZATION,PRESYNAPTIC MEMBRANE,RIBOSOMAL SUBUNIT,RIBOSOME,LARGE RIBOSOMAL SUBUNIT,CONDENSED CHROMOSOME,CONDENSED CHROMOSOME CENTROMERIC REGION,CHROMOSOMAL REGION,CHROMOSOME CENTROMERIC REGION,SPINDLE,MITOTIC SPINDLE,NUCLEAR ENVELOPE,NUCLEAR PORE,NUCLEAR CHROMOSOME,REPLICATION FORK,SPLICEOSOMAL COMPLEX,CATALYTIC STEP 2 SPLICEOSOME,SM LIKE PROTEIN FAMILY COMPLEX,RESPIRATORY CHAIN COMPLEX
PLATELET ALPHA GRANULE,0.0,0.0,0.0,0.0,0.0,0.02197802197802198,0.02197802197802198,0.23076923076923078,0.7362637362637363,0.7362637362637363,1.0,0.23076923076923078,0.0,0.02197802197802198,0.02197802197802198,0.02197802197802198,0.0,0.0,0.0,0.01098901098901099,0.03296703296703297,0.0,0.01098901098901099,0.0,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03296703296703297,0.0,0.0,0.01098901098901099,0.0,0.0,0.0,0.0
BLOOD MICROPARTICLE,0.2,0.0,0.0,0.0,0.0,0.05517241379310345,0.05517241379310345,0.15172413793103448,0.20689655172413793,0.13793103448275862,0.14482758620689656,1.0,0.09655172413793103,0.041379310344827586,0.034482758620689655,0.041379310344827586,0.006896551724137931,0.013793103448275862,0.0,0.006896551724137931,0.013793103448275862,0.0,0.013793103448275862,0.0,0.0,0.0,0.013793103448275862,0.006896551724137931,0.013793103448275862,0.013793103448275862,0.006896551724137931,0.0,0.027586206896551724,0.0,0.006896551724137931,0.0,0.006896551724137931,0.0,0.0,0.0
OTHER ORGANISM PART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.08333333333333333,0.0,0.0,0.3888888888888889,1.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.08333333333333333,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0
ENDOPEPTIDASE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0743801652892562,0.1652892561983471,0.01652892561983471,0.01652892561983471,0.049586776859504134,0.06611570247933884,1.0,0.2809917355371901,1.0,0.0,0.0,0.0,0.0,0.0,0.01652892561983471,0.0,0.0,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.008264462809917356,0.0,0.01652892561983471,0.0,0.008264462809917356,0.0,0.0,0.0,0.0,0.008264462809917356
SERINE TYPE PEPTIDASE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647058823529412,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.14705882352941177,0.23529411764705882,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEPTIDASE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06832298136645963,0.12422360248447205,0.012422360248447204,0.012422360248447204,0.037267080745341616,0.049689440993788817,0.7515527950310559,0.2111801242236025,1.0,0.0,0.0,0.0,0.0,0.0,0.012422360248447204,0.0,0.0,0.006211180124223602,0.0,0.006211180124223602,0.006211180124223602,0.006211180124223602,0.006211180124223602,0.037267080745341616,0.031055900621118012,0.024844720496894408,0.006211180124223602,0.012422360248447204,0.0,0.012422360248447204,0.012422360248447204,0.012422360248447204,0.006211180124223602
CATION CHANNEL COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008438818565400843,0.0,0.0,0.0,0.004219409282700422,0.0,0.0,0.0,0.0,1.0,1.0,0.11814345991561181,0.1729957805907173,0.22784810126582278,0.08860759493670886,0.12236286919831224,0.0,0.0,0.0,0.004219409282700422,0.0,0.0,0.0,0.02531645569620253,0.008438818565400843,0.016877637130801686,0.0,0.004219409282700422,0.0,0.0,0.0,0.0,0.09282700421940929
MONOATOMIC ION CHANNEL COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005405405405405406,0.0,0.0,0.0,0.005405405405405406,0.0,0.0,0.0,0.0,0.6405405405405405,1.0,0.07567567567567568,0.26216216216216215,0.3,0.16486486486486487,0.10810810810810811,0.0,0.0,0.0,0.002702702702702703,0.0,0.0,0.0,0.016216216216216217,0.005405405405405406,0.021621621621621623,0.0,0.002702702702702703,0.0,0.0,0.0,0.0,0.05945945945945946
SODIUM CHANNEL COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.17857142857142858,0.21428571428571427,0.17857142857142858,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POSTSYNAPTIC MEMBRANE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006349206349206349,0.0031746031746031746,0.0,0.0031746031746031746,0.0031746031746031746,0.006349206349206349,0.0,0.0,0.0,0.13015873015873017,0.30793650793650795,0.015873015873015872,1.0,1.0,0.580952380952381,0.28888888888888886,0.0,0.0031746031746031746,0.0,0.0,0.0,0.0031746031746031746,0.0031746031746031746,0.0031746031746031746,0.0,0.02857142857142857,0.0,0.0031746031746031746,0.0,0.0,0.0,0.0031746031746031746,0.0
SYNAPTIC MEMBRANE,0.0,0.0,0.0,0.0,0.0,0.0022522522522522522,0.0022522522522522522,0.009009009009009009,0.0045045045045045045,0.0022522522522522522,0.006756756756756757,0.0045045045045045045,0.0045045045045045045,0.0,0.0,0.0,0.12162162162162163,0.25,0.013513513513513514,0.7094594594594594,1.0,0.44819819819819817,0.4099099099099099,0.0,0.0022522522522522522,0.0,0.0045045045045045045,0.0045045045045045045,0.006756756756756757,0.006756756756756757,0.006756756756756757,0.0,0.036036036036036036,0.0,0.0022522522522522522,0.0,0.0,0.0,0.0022522522522522522,0.0
POSTSYNAPTIC SPECIALIZATION,0.0,0.0,0.01038961038961039,0.01038961038961039,0.0,0.0,0.0,0.0025974025974025974,0.007792207792207792,0.0,0.0,0.0,0.0,0.005194805194805195,0.0,0.005194805194805195,0.05454545454545454,0.15844155844155844,0.012987012987012988,0.4753246753246753,0.5168831168831168,1.0,0.12727272727272726,0.04415584415584416,0.046753246753246755,0.025974025974025976,0.007792207792207792,0.0025974025974025974,0.005194805194805195,0.005194805194805195,0.01818181818181818,0.012987012987012988,0.046753246753246755,0.0025974025974025974,0.007792207792207792,0.0,0.005194805194805195,0.0025974025974025974,0.0025974025974025974,0.0
PRESYNAPTIC MEMBRANE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005494505494505495,0.01098901098901099,0.01098901098901099,0.0,0.0,0.0,0.15934065934065933,0.21978021978021978,0.03296703296703297,0.5,1.0,0.2692307692307692,1.0,0.0,0.0,0.0,0.01098901098901099,0.01098901098901099,0.016483516483516484,0.016483516483516484,0.016483516483516484,0.0,0.054945054945054944,0.0,0.0,0.0,0.0,0.0,0.005494505494505495,0.0
RIBOSOMAL SUBUNIT,0.0,0.0,0.1092896174863388,0.1092896174863388,0.0,0.0,0.0,0.0,0.00546448087431694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09289617486338798,0.0,1.0,1.0,0.6120218579234973,0.0,0.0,0.0,0.0,0.01092896174863388,0.00546448087431694,0.0,0.0,0.0,0.0,0.00546448087431694,0.0,0.0,0.0
RIBOSOME,0.0,0.0,0.08898305084745763,0.0847457627118644,0.0,0.0,0.0,0.00423728813559322,0.012711864406779662,0.0,0.00423728813559322,0.0,0.0,0.00423728813559322,0.0,0.00423728813559322,0.0,0.0,0.0,0.00423728813559322,0.00423728813559322,0.07627118644067797,0.0,0.7754237288135594,1.0,0.4745762711864407,0.0,0.0,0.00423728813559322,0.0,0.00847457627118644,0.00423728813559322,0.012711864406779662,0.0,0.0,0.0,0.00847457627118644,0.0,0.0,0.0
LARGE RIBOSOMAL SUBUNIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08928571428571429,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.0,0.0,0.0
CONDENSED CHROMOSOME,0.0,0.0,0.006756756756756757,0.0033783783783783786,0.0033783783783783786,0.0,0.0,0.0,0.006756756756756757,0.0,0.0,0.006756756756756757,0.0,0.0,0.0,0.0033783783783783786,0.0033783783783783786,0.0033783783783783786,0.0,0.0,0.006756756756756757,0.010135135135135136,0.006756756756756757,0.0,0.0,0.0,1.0,0.6486486486486487,0.7702702702702703,0.7027027027027027,0.32432432432432434,0.0945945945945946,0.14527027027027026,0.09121621621621621,0.34797297297297297,0.02027027027027027,0.006756756756756757,0.006756756756756757,0.0,0.0
CONDENSED CHROMOSOME CENTROMERIC REGION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005208333333333333,0.0,0.0,0.005208333333333333,0.0,0.0,0.0,0.005208333333333333,0.0,0.0,0.0,0.0,0.010416666666666666,0.005208333333333333,0.010416666666666666,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.4427083333333333,0.125,0.18229166666666666,0.13541666666666666,0.13541666666666666,0.0,0.010416666666666666,0.010416666666666666,0.0,0.0
CHROMOSOMAL REGION,0.0,0.0,0.00954653937947494,0.00954653937947494,0.0,0.0,0.0,0.002386634844868735,0.007159904534606206,0.0,0.0,0.00477326968973747,0.0,0.0,0.0,0.002386634844868735,0.0,0.0,0.0,0.002386634844868735,0.007159904534606206,0.00477326968973747,0.007159904534606206,0.0,0.002386634844868735,0.0,0.5441527446300716,0.45823389021479716,1.0,0.6515513126491647,0.2529832935560859,0.081145584725537,0.1288782816229117,0.06443914081145585,0.1909307875894988,0.0477326968973747,0.016706443914081145,0.011933174224343675,0.002386634844868735,0.0
CHROMOSOME CENTROMERIC REGION,0.0,0.0,0.003663003663003663,0.003663003663003663,0.0,0.0,0.0,0.0,0.003663003663003663,0.0,0.0,0.007326007326007326,0.0,0.0,0.0,0.003663003663003663,0.0,0.0,0.0,0.003663003663003663,0.01098901098901099,0.007326007326007326,0.01098901098901099,0.0,0.0,0.0,0.7619047619047619,0.7032967032967034,1.0,1.0,0.3626373626373626,0.11355311355311355,0.13186813186813187,0.09523809523809523,0.15018315018315018,0.01098901098901099,0.01098901098901099,0.007326007326007326,0.003663003663003663,0.0
SPINDLE,0.0,0.0,0.00234192037470726,0.0,0.0,0.0,0.0,0.00234192037470726,0.01405152224824356,0.0,0.0,0.00234192037470726,0.00234192037470726,0.00234192037470726,0.0,0.01405152224824356,0.01405152224824356,0.01405152224824356,0.0,0.00234192037470726,0.00702576112412178,0.01639344262295082,0.00702576112412178,0.00468384074941452,0.00468384074941452,0.00234192037470726,0.22482435597189696,0.1990632318501171,0.24824355971896955,0.23185011709601874,1.0,0.38875878220140514,0.0936768149882904,0.053864168618266976,0.04918032786885246,0.00468384074941452,0.00702576112412178,0.00468384074941452,0.0,0.0
MITOTIC SPINDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006024096385542169,0.018072289156626505,0.0,0.0,0.0,0.0,0.0,0.0,0.030120481927710843,0.012048192771084338,0.012048192771084338,0.0,0.0,0.0,0.030120481927710843,0.0,0.006024096385542169,0.006024096385542169,0.0,0.1686746987951807,0.14457831325301204,0.20481927710843373,0.18674698795180722,1.0,1.0,0.04819277108433735,0.04216867469879518,0.04216867469879518,0.0,0.012048192771084338,0.006024096385542169,0.0,0.0
NUCLEAR ENVELOPE,0.0,0.0,0.004319654427645789,0.004319654427645789,0.0021598272138228943,0.0021598272138228943,0.0021598272138228943,0.03023758099352052,0.02159827213822894,0.004319654427645789,0.0064794816414686825,0.008639308855291577,0.0064794816414686825,0.004319654427645789,0.0,0.008639308855291577,0.008639308855291577,0.017278617710583154,0.0,0.019438444924406047,0.03455723542116631,0.038876889848812095,0.02159827213822894,0.0,0.0064794816414686825,0.0,0.09287257019438445,0.0755939524838013,0.11663066954643629,0.07775377969762419,0.08639308855291576,0.017278617710583154,1.0,0.21166306695464362,0.02591792656587473,0.012958963282937365,0.008639308855291577,0.0064794816414686825,0.0021598272138228943,0.0
NUCLEAR PORE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.2755102040816326,0.2653061224489796,0.2755102040816326,0.2653061224489796,0.23469387755102042,0.07142857142857142,1.0,1.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0
NUCLEAR CHROMOSOME,0.0,0.0,0.00819672131147541,0.004098360655737705,0.004098360655737705,0.0,0.0,0.0,0.0,0.0,0.0,0.004098360655737705,0.0,0.004098360655737705,0.0,0.00819672131147541,0.004098360655737705,0.004098360655737705,0.0,0.004098360655737705,0.004098360655737705,0.012295081967213115,0.0,0.0,0.0,0.0,0.42213114754098363,0.10655737704918032,0.32786885245901637,0.1680327868852459,0.0860655737704918,0.028688524590163935,0.04918032786885246,0.00819672131147541,1.0,0.20081967213114754,0.02459016393442623,0.020491803278688523,0.0,0.0
REPLICATION FORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.2564102564102564,0.038461538461538464,0.02564102564102564,0.0,0.07692307692307693,0.0,0.6282051282051282,1.0,0.05128205128205128,0.05128205128205128,0.0,0.0
SPLICEOSOMAL COMPLEX,0.0,0.0,0.0045662100456621,0.0045662100456621,0.0,0.0,0.0,0.0,0.0091324200913242,0.0,0.0,0.0045662100456621,0.0,0.0,0.0,0.0091324200913242,0.0,0.0,0.0,0.0,0.0,0.0091324200913242,0.0,0.0045662100456621,0.0091324200913242,0.0045662100456621,0.0091324200913242,0.0091324200913242,0.0319634703196347,0.0136986301369863,0.0136986301369863,0.0091324200913242,0.0182648401826484,0.0,0.0273972602739726,0.0182648401826484,1.0,0.4931506849315068,0.3561643835616438,0.0
CATALYTIC STEP 2 SPLICEOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.018518518518518517,0.018518518518518517,0.046296296296296294,0.018518518518518517,0.018518518518518517,0.009259259259259259,0.027777777777777776,0.0,0.046296296296296294,0.037037037037037035,1.0,1.0,0.32407407407407407,0.0
SM LIKE PROTEIN FAMILY COMPLEX,0.0,0.0,0.007936507936507936,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.007936507936507936,0.007936507936507936,0.0,0.0,0.007936507936507936,0.0,0.0,0.0,0.6190476190476191,0.2777777777777778,1.0,0.0
RESPIRATORY CHAIN COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008771929824561403,0.0,0.008771929824561403,0.19298245614035087,0.19298245614035087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
