"Dataset","Analysis_Name","Scope_Group_Column","Scope_Group_Value","Target_Gene","Feature_ID","GeneID","Symbol","Ensembl","Entrez","Biotype","Expression_Mean_Log2_TPM_Plus_1","Expression_SD_Log2_TPM_Plus_1","Correlation","Abs_Correlation","P.Value","adj.P.Val","Samples_Used","Correlation_Method"
"GSE50760","Primary_tumor","tissue_class","Primary_tumor","ATF3","ENSG00000214655","ENSG00000214655","ZSWIM8","ENSG00000214655","23053","protein_coding","3.8369173842476831382","0.6181509584657454148","0.8245614035087719","0.8245614035087719","0.00002560823159881085145286178095247464625572320073843002319335937500000000000000000000000000000000000000000000000000000000000000000000","0.0139257563434333399982056889143677835818380117416381835937500000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Primary_tumor","tissue_class","Primary_tumor","ATF3","ENSG00000058453","ENSG00000058453","CROCC","ENSG00000058453","9696","protein_coding","0.5018603127663955332","0.2326165497263156801","0.8224974200206399","0.8224974200206399","0.00002792617066610621334309290386688218177368980832397937774658203125000000000000000000000000000000000000000000000000000000000000000000","0.0143653731429189066015617015636962605640292167663574218750000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Primary_tumor","tissue_class","Primary_tumor","ATF3","ENSG00000167604","ENSG00000167604","NFKBID","ENSG00000167604","84807","protein_coding","1.0790557175413555413","0.3790927470480367489","0.8224974200206399","0.8224974200206399","0.00002792617066610621334309290386688218177368980832397937774658203125000000000000000000000000000000000000000000000000000000000000000000","0.0143653731429189066015617015636962605640292167663574218750000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Primary_tumor","tissue_class","Primary_tumor","ATF3","ENSG00000168010","ENSG00000168010","ATG16L2","ENSG00000168010","89849","protein_coding","2.1879293106768944455","0.5082853182752167243","0.8204334365325078","0.8204334365325078","0.00003042080527777152478387592826614138630247907713055610656738281250000000000000000000000000000000000000000000000000000000000000000000","0.0152368207066269842342443041616206755861639976501464843750000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Primary_tumor","tissue_class","Primary_tumor","ATF3","ENSG00000185800","ENSG00000185800","DMWD","ENSG00000185800","1762","protein_coding","3.5761040895824254271","0.6980692165250826919","0.8163054695562436","0.8163054695562436","0.00003598441737777742673292519226535546295053791254758834838867187500000000000000000000000000000000000000000000000000000000000000000000","0.0175404979009133078771132119300091289915144443511962890625000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Primary_tumor","tissue_class","Primary_tumor","ATF3","ENSG00000159884","ENSG00000159884","CCDC107","ENSG00000159884","203260","protein_coding","3.5325281973474571551","0.5741222604438499522","0.8142414860681115","0.8142414860681115","0.00003907682945637688402872392257059175335598411038517951965332031250000000000000000000000000000000000000000000000000000000000000000000","0.0175404979009133078771132119300091289915144443511962890625000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Primary_tumor","tissue_class","Primary_tumor","ATF3","ENSG00000135469","ENSG00000135469","COQ10A","ENSG00000135469","93058","protein_coding","2.0570750702751139372","0.5289528206514243491","0.8142414860681115","0.8142414860681115","0.00003907682945637688402872392257059175335598411038517951965332031250000000000000000000000000000000000000000000000000000000000000000000","0.0175404979009133078771132119300091289915144443511962890625000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Primary_tumor","tissue_class","Primary_tumor","ATF3","ENSG00000109743","ENSG00000109743","BST1","ENSG00000109743","683","protein_coding","0.3880397581352326708","0.1906933415813256427","0.8121775025799794","0.8121775025799794","0.00004239283893458793326357303410389931741519831120967864990234375000000000000000000000000000000000000000000000000000000000000000000000","0.0175404979009133078771132119300091289915144443511962890625000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Primary_tumor","tissue_class","Primary_tumor","ATF3","ENSG00000136161","ENSG00000136161","RCBTB2","ENSG00000136161","1102","protein_coding","0.9542703014868992861","0.3806359631066338900","0.8121775025799794","0.8121775025799794","0.00004239283893458793326357303410389931741519831120967864990234375000000000000000000000000000000000000000000000000000000000000000000000","0.0175404979009133078771132119300091289915144443511962890625000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Primary_tumor","tissue_class","Primary_tumor","ATF3","ENSG00000177868","ENSG00000177868","SVBP","ENSG00000177868","374969","protein_coding","1.8544076107169240597","0.4809413535754683555","0.8121775025799794","0.8121775025799794","0.00004239283893458793326357303410389931741519831120967864990234375000000000000000000000000000000000000000000000000000000000000000000000","0.0175404979009133078771132119300091289915144443511962890625000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Primary_tumor","tissue_class","Primary_tumor","ATF3","ENSG00000121775","ENSG00000121775","TMEM39B","ENSG00000121775","55116","protein_coding","1.2005294159612267535","0.3224994841732319317","0.8121775025799794","0.8121775025799794","0.00004239283893458793326357303410389931741519831120967864990234375000000000000000000000000000000000000000000000000000000000000000000000","0.0175404979009133078771132119300091289915144443511962890625000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Primary_tumor","tissue_class","Primary_tumor","ATF3","ENSG00000116809","ENSG00000116809","ZBTB17","ENSG00000116809","7709","protein_coding","1.8439755935908204165","0.4022886165554430127","0.8121775025799794","0.8121775025799794","0.00004239283893458793326357303410389931741519831120967864990234375000000000000000000000000000000000000000000000000000000000000000000000","0.0175404979009133078771132119300091289915144443511962890625000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Primary_tumor","tissue_class","Primary_tumor","ATF3","ENSG00000143384__dup1","ENSG00000143384","MCL1","ENSG00000143384","4170","protein_coding","6.1201769974158262144","0.6778035734547513957","0.8101135190918474","0.8101135190918474","0.00004594554343625301676872288436648261722439201548695564270019531250000000000000000000000000000000000000000000000000000000000000000000","0.0182183651712959082669129884379799477756023406982421875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Primary_tumor","tissue_class","Primary_tumor","ATF3","ENSG00000129219","ENSG00000129219","PLD2","ENSG00000129219","5338","protein_coding","2.7817792263716718537","0.6177915418605508524","0.8101135190918474","0.8101135190918474","0.00004594554343625301676872288436648261722439201548695564270019531250000000000000000000000000000000000000000000000000000000000000000000","0.0182183651712959082669129884379799477756023406982421875000000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
