Pathway,STRUCTURAL CONSTITUENT OF RIBOSOME,RRNA BINDING,CATALYTIC ACTIVITY ACTING ON A TRNA,CATALYTIC ACTIVITY ACTING ON RNA,TRNA METHYLTRANSFERASE ACTIVITY,TRNA BINDING,PROTEIN SERINE KINASE ACTIVITY,PROTEIN SERINE THREONINE KINASE ACTIVITY,PHOSPHATASE BINDING,PHOSPHATIDYLINOSITOL BINDING,PHOSPHATIDYLINOSITOL PHOSPHATE BINDING,PHOSPHATIDYLINOSITOL 4 5 BISPHOSPHATE BINDING,NUCLEOSIDE TRIPHOSPHATASE REGULATOR ACTIVITY,GUANYL NUCLEOTIDE EXCHANGE FACTOR ACTIVITY,GTPASE BINDING,GTPASE ACTIVATOR ACTIVITY,G PROTEIN COUPLED RECEPTOR BINDING,G PROTEIN ACTIVITY,ELECTRON TRANSFER ACTIVITY,NADH DEHYDROGENASE UBIQUINONE ACTIVITY,"OXIDOREDUCTION DRIVEN ACTIVE TRANSMEMBRANE
TRANSPORTER ACTIVITY",RNA METHYLTRANSFERASE ACTIVITY,"TRANSFERASE ACTIVITY TRANSFERRING ONE CARBON
GROUPS",CATALYTIC ACTIVITY ACTING ON A RRNA,"S ADENOSYLMETHIONINE DEPENDENT
METHYLTRANSFERASE ACTIVITY",RIBONUCLEOPROTEIN COMPLEX BINDING,TRANSLATION INITIATION FACTOR ACTIVITY,TRANSLATION FACTOR ACTIVITY,SNRNA BINDING,SNORNA BINDING,LIPID TRANSFER ACTIVITY,LIPID TRANSPORTER ACTIVITY,PHOSPHOLIPID TRANSPORTER ACTIVITY,"LIGAND MODULATED TRANSCRIPTION FACTOR
ACTIVITY",DNA BINDING TRANSCRIPTION FACTOR BINDING,"RNA POLYMERASE II SPECIFIC DNA BINDING
TRANSCRIPTION FACTOR BINDING",NUCLEASE ACTIVITY,DNA NUCLEASE ACTIVITY,"RNA ENDONUCLEASE ACTIVITY PRODUCING 5
PHOSPHOMONOESTERS HYDROLYTIC MECHANISM",UBIQUITIN LIKE PROTEIN LIGASE ACTIVITY
PHOSPHATIDYLINOSITOL PHOSPHATE BINDING,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.021505376344086023,0.043010752688172046,1.0,1.0,0.46236559139784944,0.11290322580645161,0.03763440860215054,0.07526881720430108,0.06989247311827956,0.03225806451612903,0.005376344086021506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04838709677419355,0.04838709677419355,0.03225806451612903,0.0,0.016129032258064516,0.010752688172043012,0.0,0.0,0.0,0.005376344086021506
PHOSPHATIDYLINOSITOL 4 5 BISPHOSPHATE BINDING,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.03488372093023256,0.03488372093023256,1.0,1.0,1.0,0.05813953488372093,0.011627906976744186,0.06976744186046512,0.03488372093023256,0.046511627906976744,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.023255813953488372,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUCLEOSIDE TRIPHOSPHATASE REGULATOR ACTIVITY,0.0,0.002004008016032064,0.004008016032064128,0.006012024048096192,0.0,0.002004008016032064,0.012024048096192385,0.012024048096192385,0.018036072144288578,0.052104208416833664,0.04208416833667335,0.01002004008016032,1.0,0.48096192384769537,0.2124248496993988,0.5490981963927856,0.018036072144288578,0.006012024048096192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004008016032064128,0.012024048096192385,0.02004008016032064,0.0,0.0,0.0,0.0,0.0,0.0,0.006012024048096192,0.004008016032064128,0.002004008016032064,0.0,0.0,0.01002004008016032
GUANYL NUCLEOTIDE EXCHANGE FACTOR ACTIVITY,0.0,0.004166666666666667,0.004166666666666667,0.008333333333333333,0.0,0.004166666666666667,0.016666666666666666,0.016666666666666666,0.004166666666666667,0.041666666666666664,0.029166666666666667,0.004166666666666667,1.0,1.0,0.23333333333333334,0.17916666666666667,0.025,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.020833333333333332,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.0,0.004166666666666667,0.0,0.0,0.020833333333333332
GTPASE BINDING,0.0,0.0,0.006134969325153374,0.006134969325153374,0.0,0.012269938650306749,0.05214723926380368,0.06134969325153374,0.03067484662576687,0.05521472392638037,0.04294478527607362,0.018404907975460124,0.32515337423312884,0.17177914110429449,1.0,0.1901840490797546,0.02147239263803681,0.015337423312883436,0.003067484662576687,0.0,0.0,0.0,0.0,0.0,0.0,0.006134969325153374,0.0,0.0,0.003067484662576687,0.0,0.009202453987730062,0.009202453987730062,0.009202453987730062,0.0,0.018404907975460124,0.009202453987730062,0.0,0.0,0.0,0.02147239263803681
GTPASE ACTIVATOR ACTIVITY,0.0,0.0,0.0036496350364963502,0.0036496350364963502,0.0,0.0,0.0072992700729927005,0.0072992700729927005,0.021897810218978103,0.05474452554744526,0.04744525547445255,0.010948905109489052,1.0,0.15693430656934307,0.22627737226277372,1.0,0.025547445255474453,0.0036496350364963502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036496350364963502,0.0036496350364963502,0.0,0.0,0.0,0.0,0.0,0.0,0.0036496350364963502,0.0036496350364963502,0.0,0.0,0.0,0.0
G PROTEIN COUPLED RECEPTOR BINDING,0.0,0.0,0.006711409395973154,0.010067114093959731,0.0,0.003355704697986577,0.0,0.010067114093959731,0.026845637583892617,0.020134228187919462,0.020134228187919462,0.013422818791946308,0.030201342281879196,0.020134228187919462,0.02348993288590604,0.02348993288590604,1.0,0.03691275167785235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010067114093959731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003355704697986577,0.020134228187919462,0.010067114093959731,0.003355704697986577,0.0,0.0,0.02348993288590604
G PROTEIN ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00847457627118644,0.00847457627118644,0.00847457627118644,0.00847457627118644,0.025423728813559324,0.01694915254237288,0.0423728813559322,0.00847457627118644,0.09322033898305085,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00847457627118644,0.00847457627118644,0.0,0.0,0.0,0.00847457627118644
ELECTRON TRANSFER ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008771929824561403,0.0,0.0,0.0,0.0,0.008771929824561403,0.0,0.0,0.0,1.0,0.35964912280701755,0.5350877192982456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008771929824561403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NADH DEHYDROGENASE UBIQUINONE ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"OXIDOREDUCTION DRIVEN ACTIVE TRANSMEMBRANE
TRANSPORTER ACTIVITY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9242424242424242,0.6212121212121212,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNA METHYLTRANSFERASE ACTIVITY,0.0,0.029411764705882353,0.4852941176470588,1.0,0.4852941176470588,0.20588235294117646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3382352941176471,0.8676470588235294,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TRANSFERASE ACTIVITY TRANSFERRING ONE CARBON
GROUPS",0.0,0.009259259259259259,0.1574074074074074,0.3194444444444444,0.1527777777777778,0.06481481481481481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3148148148148148,1.0,0.10648148148148148,0.7731481481481481,0.018518518518518517,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.06018518518518518,0.041666666666666664,0.004629629629629629,0.004629629629629629,0.0,0.0
CATALYTIC ACTIVITY ACTING ON A RRNA,0.0,0.08333333333333333,0.08333333333333333,1.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.9583333333333334,1.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S ADENOSYLMETHIONINE DEPENDENT
METHYLTRANSFERASE ACTIVITY",0.0,0.011976047904191617,0.16167664670658682,0.3532934131736527,0.16167664670658682,0.08383233532934131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3532934131736527,1.0,0.1377245508982036,1.0,0.017964071856287425,0.0,0.0,0.011976047904191617,0.0,0.0,0.0,0.0,0.0,0.0658682634730539,0.04790419161676647,0.005988023952095809,0.005988023952095809,0.0,0.0
RIBONUCLEOPROTEIN COMPLEX BINDING,0.011049723756906077,0.0718232044198895,0.016574585635359115,0.1270718232044199,0.0,0.03867403314917127,0.022099447513812154,0.027624309392265192,0.011049723756906077,0.0,0.0,0.0,0.011049723756906077,0.0055248618784530384,0.011049723756906077,0.0,0.016574585635359115,0.0,0.0,0.0,0.0,0.0,0.022099447513812154,0.0,0.016574585635359115,1.0,0.06077348066298342,0.13259668508287292,0.03314917127071823,0.0,0.0,0.0,0.0,0.0,0.03314917127071823,0.022099447513812154,0.06629834254143646,0.011049723756906077,0.0,0.03314917127071823
TRANSLATION INITIATION FACTOR ACTIVITY,0.0,0.0,0.0,0.0784313725490196,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.09803921568627451,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21568627450980393,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0196078431372549,0.0,0.0196078431372549,0.0
TRANSLATION FACTOR ACTIVITY,0.0,0.011764705882352941,0.03529411764705882,0.08235294117647059,0.0,0.11764705882352941,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.11764705882352941,0.09411764705882353,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2823529411764706,0.6,1.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.0,0.023529411764705882,0.0,0.011764705882352941,0.0,0.011764705882352941,0.0
SNRNA BINDING,0.0,0.018867924528301886,0.0,0.1320754716981132,0.0,0.0,0.018867924528301886,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,0.03773584905660377,0.0,0.03773584905660377,0.11320754716981132,0.0,0.018867924528301886,1.0,0.05660377358490566,0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.03773584905660377,0.018867924528301886,0.0,0.0
SNORNA BINDING,0.0,0.13333333333333333,0.0,0.16666666666666666,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.1,0.03333333333333333,0.06666666666666667,0.0
LIPID TRANSFER ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23943661971830985,0.1267605633802817,0.028169014084507043,0.0,0.0,0.04225352112676056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5352112676056338,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIPID TRANSPORTER ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005263157894736842,0.08947368421052632,0.04736842105263158,0.010526315789473684,0.0,0.0,0.015789473684210527,0.0,0.0,0.0,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3736842105263158,1.0,0.4263157894736842,0.0,0.0,0.0,0.005263157894736842,0.0,0.0,0.0
PHOSPHOLIPID TRANSPORTER ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1728395061728395,0.07407407407407407,0.012345679012345678,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4691358024691358,1.0,1.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.0
"LIGAND MODULATED TRANSCRIPTION FACTOR
ACTIVITY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
DNA BINDING TRANSCRIPTION FACTOR BINDING,0.0020491803278688526,0.004098360655737705,0.0,0.01639344262295082,0.0,0.0,0.0389344262295082,0.0430327868852459,0.036885245901639344,0.00819672131147541,0.006147540983606557,0.0,0.006147540983606557,0.0020491803278688526,0.012295081967213115,0.0020491803278688526,0.012295081967213115,0.0020491803278688526,0.0,0.0,0.0,0.0,0.02663934426229508,0.0,0.022540983606557378,0.012295081967213115,0.0020491803278688526,0.004098360655737705,0.0020491803278688526,0.0020491803278688526,0.0,0.0,0.0,0.040983606557377046,1.0,0.7192622950819673,0.014344262295081968,0.00819672131147541,0.0,0.040983606557377046
"RNA POLYMERASE II SPECIFIC DNA BINDING
TRANSCRIPTION FACTOR BINDING",0.0,0.002849002849002849,0.0,0.014245014245014245,0.0,0.0,0.03418803418803419,0.037037037037037035,0.039886039886039885,0.008547008547008548,0.005698005698005698,0.0,0.005698005698005698,0.0,0.008547008547008548,0.002849002849002849,0.008547008547008548,0.002849002849002849,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.022792022792022793,0.011396011396011397,0.0,0.0,0.0,0.002849002849002849,0.0,0.0,0.0,0.05698005698005698,1.0,1.0,0.014245014245014245,0.008547008547008548,0.0,0.04843304843304843
NUCLEASE ACTIVITY,0.0043859649122807015,0.017543859649122806,0.08333333333333333,0.6008771929824561,0.0,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.0,0.0,0.0,0.0,0.0043859649122807015,0.0043859649122807015,0.0,0.0,0.0043859649122807015,0.0,0.0,0.0,0.0,0.0,0.0043859649122807015,0.0,0.0043859649122807015,0.05263157894736842,0.0043859649122807015,0.0043859649122807015,0.008771929824561403,0.013157894736842105,0.0,0.0043859649122807015,0.0043859649122807015,0.0,0.03070175438596491,0.021929824561403508,1.0,0.34649122807017546,0.14035087719298245,0.0043859649122807015
DNA NUCLEASE ACTIVITY,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.1518987341772152,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012658227848101266,0.0,0.012658227848101266,0.02531645569620253,0.0,0.0,0.012658227848101266,0.012658227848101266,0.0,0.0,0.0,0.0,0.05063291139240506,0.0379746835443038,1.0,1.0,0.06329113924050633,0.012658227848101266
"RNA ENDONUCLEASE ACTIVITY PRODUCING 5
PHOSPHOMONOESTERS HYDROLYTIC MECHANISM",0.0,0.0,0.4375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.03125,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15625,1.0,0.0
UBIQUITIN LIKE PROTEIN LIGASE ACTIVITY,0.0,0.0025,0.0,0.005,0.0,0.0,0.0025,0.0025,0.0125,0.0025,0.0025,0.0,0.0125,0.0125,0.0175,0.0,0.0175,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0425,0.0025,0.0025,0.0,1.0
