"TF","RKO","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"STAT1","5.20369491683402341","5.20369491683402341","5.20369491683402341","Activated","11","viper","11","5.20369491683402341",NA,NA,"6","GTEx--Coexpression(rank=21); ENCODE--ChIP-seq(rank=69); Literature--ChIP-seq(rank=130); ReMap--ChIP-seq(rank=163); ARCHS4--Coexpression(rank=174); Enrichr--Queries(rank=437)","47","0.01307000000000000","GTEx Coexpression,0.01307"
"TCF12","4.94376558836613356","4.94376558836613356","4.94376558836613356","Activated","12","viper","12","4.94376558836613356",NA,NA,"5","ENCODE--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=86); ARCHS4--Coexpression(rank=233); GTEx--Coexpression(rank=426); Enrichr--Queries(rank=740)","545","0.13560000000000000","ENCODE ChIP-seq,0.1356"
"MEF2A","4.92376697532787588","4.92376697532787588","4.92376697532787588","Activated","13","viper","13","4.92376697532787588",NA,NA,"6","ENCODE--ChIP-seq(rank=82); Literature--ChIP-seq(rank=85); ReMap--ChIP-seq(rank=165); ARCHS4--Coexpression(rank=229); Enrichr--Queries(rank=593); GTEx--Coexpression(rank=719)","565","0.14069999999999999","ARCHS4 Coexpression,0.1407"
"TEAD1","4.88667082632229999","4.88667082632229999","4.88667082632229999","Activated","14","viper","14","4.88667082632229999",NA,NA,"4","ReMap--ChIP-seq(rank=125); Enrichr--Queries(rank=293); GTEx--Coexpression(rank=328); ARCHS4--Coexpression(rank=614)","768","0.20410000000000000","GTEx Coexpression,0.2041"
"POU5F1","4.69938778566034543","4.69938778566034543","4.69938778566034543","Activated","15","viper","15","4.69938778566034543",NA,NA,"5","Literature--ChIP-seq(rank=52); ReMap--ChIP-seq(rank=180); ARCHS4--Coexpression(rank=220); Enrichr--Queries(rank=562); GTEx--Coexpression(rank=766)","543","0.13510000000000000","ARCHS4 Coexpression,0.1351"
"MAFK","4.66097596853987550","4.66097596853987550","4.66097596853987550","Activated","16","viper","16","4.66097596853987550",NA,NA,"5","ENCODE--ChIP-seq(rank=38); ReMap--ChIP-seq(rank=85); Enrichr--Queries(rank=307); GTEx--Coexpression(rank=400); ARCHS4--Coexpression(rank=1167)","809","0.21870000000000001","Enrichr Queries,0.2187"
"KLF9","4.59200860944812650","4.59200860944812650","4.59200860944812650","Activated","17","viper","17","4.59200860944812650",NA,NA,"4","ReMap--ChIP-seq(rank=9); ARCHS4--Coexpression(rank=157); Enrichr--Queries(rank=224); GTEx--Coexpression(rank=354)","115","0.03030000000000000","ReMap ChIP-seq,0.0303"
"PDX1","4.43573830593788010","4.43573830593788010","4.43573830593788010","Activated","18","viper","18","4.43573830593788010",NA,NA,"5","Literature--ChIP-seq(rank=64); ARCHS4--Coexpression(rank=238); ReMap--ChIP-seq(rank=268); GTEx--Coexpression(rank=648); Enrichr--Queries(rank=1229)","585","0.14620000000000000","ARCHS4 Coexpression,0.1462"
"ELF3","4.22382638055708703","4.22382638055708703","4.22382638055708703","Activated","19","viper","19","4.22382638055708703",NA,NA,"4","ReMap--ChIP-seq(rank=143); ARCHS4--Coexpression(rank=272); Enrichr--Queries(rank=530); GTEx--Coexpression(rank=641)","655","0.16710000000000000","ARCHS4 Coexpression,0.1671"
"GRHL2","4.11023760344101863","4.11023760344101863","4.11023760344101863","Activated","20","viper","20","4.11023760344101863",NA,NA,"5","ReMap--ChIP-seq(rank=5); Literature--ChIP-seq(rank=140); ARCHS4--Coexpression(rank=268); GTEx--Coexpression(rank=539); Enrichr--Queries(rank=730)","61","0.01684000000000000","ReMap ChIP-seq,0.01684"
"NCOA2","4.09180570112830022","4.09180570112830022","4.09180570112830022","Activated","21","viper","21","4.09180570112830022",NA,NA,"4","ReMap--ChIP-seq(rank=126); GTEx--Coexpression(rank=285); ARCHS4--Coexpression(rank=314); Enrichr--Queries(rank=604)","690","0.17730000000000001","GTEx Coexpression,0.1773"
"TCF4","4.06504208897999320","4.06504208897999320","4.06504208897999320","Activated","22","viper","22","4.06504208897999320",NA,NA,"5","ReMap--ChIP-seq(rank=37); Literature--ChIP-seq(rank=129); ARCHS4--Coexpression(rank=417); Enrichr--Queries(rank=488); GTEx--Coexpression(rank=711)","507","0.12460000000000000","ReMap ChIP-seq,0.1246"
"TEAD4","3.99237775559047048","3.99237775559047048","3.99237775559047048","Activated","23","viper","23","3.99237775559047048",NA,NA,"6","ENCODE--ChIP-seq(rank=9); Enrichr--Queries(rank=40); ReMap--ChIP-seq(rank=64); Literature--ChIP-seq(rank=86); ARCHS4--Coexpression(rank=87); GTEx--Coexpression(rank=858)","109","0.02849000000000000","Enrichr Queries,0.02849"
"SIX2","3.95755636035039426","3.95755636035039426","3.95755636035039426","Activated","24","viper","24","3.95755636035039426",NA,NA,"4","ReMap--ChIP-seq(rank=279); ARCHS4--Coexpression(rank=377); Enrichr--Queries(rank=890); GTEx--Coexpression(rank=990)","845","0.23160000000000000","ARCHS4 Coexpression,0.2316"
"RBPJ","3.88113159152128828","3.88113159152128828","3.88113159152128828","Activated","25","viper","25","3.88113159152128828",NA,NA,"5","ReMap--ChIP-seq(rank=131); Literature--ChIP-seq(rank=151); Enrichr--Queries(rank=534); GTEx--Coexpression(rank=591); ARCHS4--Coexpression(rank=834)","1147","0.36780000000000002","GTEx Coexpression,0.3678"
"IRF4","3.85247168130896700","3.85247168130896700","3.85247168130896700","Activated","26","viper","26","3.85247168130896700",NA,NA,"5","GTEx--Coexpression(rank=33); ReMap--ChIP-seq(rank=95); ENCODE--ChIP-seq(rank=116); ARCHS4--Coexpression(rank=401); Enrichr--Queries(rank=869)","75","0.02054000000000000","GTEx Coexpression,0.02054"
"SOX13","3.76623187912492741","3.76623187912492741","3.76623187912492741","Activated","27","viper","27","3.76623187912492741",NA,NA,"4","GTEx--Coexpression(rank=135); Enrichr--Queries(rank=186); ReMap--ChIP-seq(rank=261); ARCHS4--Coexpression(rank=532)","345","0.08401000000000000","GTEx Coexpression,0.08401"
"ZEB2","-3.75156920263839222","-3.75156920263839222","3.75156920263839222","Repressed","28","viper","28","3.75156920263839222",NA,NA,"4","ReMap--ChIP-seq(rank=201); ARCHS4--Coexpression(rank=269); Enrichr--Queries(rank=472); GTEx--Coexpression(rank=1119)","651","0.16520000000000001","ARCHS4 Coexpression,0.1652"
"NCOA3","3.72296336916204229","3.72296336916204229","3.72296336916204229","Activated","29","viper","29","3.72296336916204229",NA,NA,"4","GTEx--Coexpression(rank=190); ReMap--ChIP-seq(rank=275); Enrichr--Queries(rank=882); ARCHS4--Coexpression(rank=910)","480","0.11820000000000000","GTEx Coexpression,0.1182"
"TAL1","3.71684242090585615","3.71684242090585615","3.71684242090585615","Activated","30","viper","30","3.71684242090585615",NA,NA,"6","Literature--ChIP-seq(rank=24); ENCODE--ChIP-seq(rank=60); ReMap--ChIP-seq(rank=264); GTEx--Coexpression(rank=747); Enrichr--Queries(rank=994); ARCHS4--Coexpression(rank=1328)","586","0.14630000000000001","Literature ChIP-seq,0.1463"
"E2F1","-3.69788458412786225","-3.69788458412786225","3.69788458412786225","Repressed","31","viper","31","3.69788458412786225",NA,NA,"6","ENCODE--ChIP-seq(rank=3); Enrichr--Queries(rank=3); GTEx--Coexpression(rank=3); Literature--ChIP-seq(rank=4); ARCHS4--Coexpression(rank=24); ReMap--ChIP-seq(rank=40)","6","0.00186700000000000","GTEx Coexpression,0.001867"
"CLOCK","3.67013625854041603","3.67013625854041603","3.67013625854041603","Activated","32","viper","32","3.67013625854041603",NA,NA,"5","ReMap--ChIP-seq(rank=47); Literature--ChIP-seq(rank=101); ARCHS4--Coexpression(rank=617); Enrichr--Queries(rank=874); GTEx--Coexpression(rank=1439)","628","0.15820000000000001","ReMap ChIP-seq,0.1582"
"ZNF274","-3.55491884514819656","-3.55491884514819656","3.55491884514819656","Repressed","33","viper","33","3.55491884514819656",NA,NA,"6","ENCODE--ChIP-seq(rank=115); Literature--ChIP-seq(rank=161); ReMap--ChIP-seq(rank=212); Enrichr--Queries(rank=601); ARCHS4--Coexpression(rank=929); GTEx--Coexpression(rank=1046)","1243","0.42809999999999998","Enrichr Queries,0.4281"
"TFDP1","-3.54299345479076422","-3.54299345479076422","3.54299345479076422","Repressed","34","viper","34","3.54299345479076422",NA,NA,"4","GTEx--Coexpression(rank=4); Enrichr--Queries(rank=16); ARCHS4--Coexpression(rank=21); ReMap--ChIP-seq(rank=23)","8","0.00248900000000000","GTEx Coexpression,0.002489"
"SOX6","3.44678376724246638","3.44678376724246638","3.44678376724246638","Activated","35","viper","35","3.44678376724246638",NA,NA,"4","ReMap--ChIP-seq(rank=231); ARCHS4--Coexpression(rank=467); GTEx--Coexpression(rank=590); Enrichr--Queries(rank=686)","983","0.28689999999999999","ARCHS4 Coexpression,0.2869"
"FOXO3","3.42768669243361801","3.42768669243361801","3.42768669243361801","Activated","36","viper","36","3.42768669243361801",NA,NA,"4","ARCHS4--Coexpression(rank=43); Literature--ChIP-seq(rank=125); Enrichr--Queries(rank=447); GTEx--Coexpression(rank=876)","100","0.02641000000000000","ARCHS4 Coexpression,0.02641"
"TBX21","3.38163927981033208","3.38163927981033208","3.38163927981033208","Activated","37","viper","37","3.38163927981033208",NA,NA,"4","ReMap--ChIP-seq(rank=189); ARCHS4--Coexpression(rank=1107); Enrichr--Queries(rank=1136); GTEx--Coexpression(rank=1570)","1476","0.63639999999999997","ReMap ChIP-seq,0.6364"
"SREBF1","-3.34380084027821356","-3.34380084027821356","3.34380084027821356","Repressed","38","viper","38","3.34380084027821356",NA,NA,"6","ReMap--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=49); Literature--ChIP-seq(rank=158); GTEx--Coexpression(rank=258); Enrichr--Queries(rank=418); ARCHS4--Coexpression(rank=1192)","160","0.04040000000000000","ReMap ChIP-seq,0.0404"
"AHR","3.34145131377815252","3.34145131377815252","3.34145131377815252","Activated","39","viper","39","3.34145131377815252",NA,NA,"5","Literature--ChIP-seq(rank=105); ReMap--ChIP-seq(rank=199); Enrichr--Queries(rank=222); ARCHS4--Coexpression(rank=274); GTEx--Coexpression(rank=486)","627","0.15809999999999999","Enrichr Queries,0.1581"
"JUNB","3.31366905478986951","3.31366905478986951","3.31366905478986951","Activated","40","viper","40","3.31366905478986951",NA,NA,"4","ReMap--ChIP-seq(rank=197); GTEx--Coexpression(rank=420); Enrichr--Queries(rank=684); ARCHS4--Coexpression(rank=788)","919","0.26140000000000002","GTEx Coexpression,0.2614"
"NCOA1","3.29323832080154100","3.29323832080154100","3.29323832080154100","Activated","41","viper","41","3.29323832080154100",NA,NA,"4","ARCHS4--Coexpression(rank=46); ReMap--ChIP-seq(rank=253); Enrichr--Queries(rank=605); GTEx--Coexpression(rank=1385)","108","0.02826000000000000","ARCHS4 Coexpression,0.02826"
"NFE2","3.29103495960961467","3.29103495960961467","3.29103495960961467","Activated","42","viper","42","3.29103495960961467",NA,NA,"5","ENCODE--ChIP-seq(rank=41); ReMap--ChIP-seq(rank=122); Enrichr--Queries(rank=804); ARCHS4--Coexpression(rank=1124); GTEx--Coexpression(rank=1356)","1101","0.34749999999999992","ENCODE ChIP-seq,0.3475"
"IRF9","3.28748012574077508","3.28748012574077508","3.28748012574077508","Activated","43","viper","43","3.28748012574077508",NA,NA,"4","ReMap--ChIP-seq(rank=254); ARCHS4--Coexpression(rank=429); GTEx--Coexpression(rank=457); Enrichr--Queries(rank=608)","926","0.26350000000000001","ARCHS4 Coexpression,0.2635"
"ARNT","3.28237819339128567","3.28237819339128567","3.28237819339128567","Activated","44","viper","44","3.28237819339128567",NA,NA,"5","ARCHS4--Coexpression(rank=18); Literature--ChIP-seq(rank=136); ReMap--ChIP-seq(rank=198); GTEx--Coexpression(rank=554); Enrichr--Queries(rank=759)","41","0.01106000000000000","ARCHS4 Coexpression,0.01106"
"SPI1","3.25192837727715123","3.25192837727715123","3.25192837727715123","Activated","45","viper","45","3.25192837727715123",NA,NA,"6","Literature--ChIP-seq(rank=60); ENCODE--ChIP-seq(rank=106); ReMap--ChIP-seq(rank=168); ARCHS4--Coexpression(rank=813); GTEx--Coexpression(rank=1224); Enrichr--Queries(rank=1325)","1141","0.36590000000000000","Literature ChIP-seq,0.3659"
"NR2C2","-3.22791540842908331","-3.22791540842908331","3.22791540842908331","Repressed","46","viper","46","3.22791540842908331",NA,NA,"5","ENCODE--ChIP-seq(rank=113); ReMap--ChIP-seq(rank=177); ARCHS4--Coexpression(rank=869); Enrichr--Queries(rank=932); GTEx--Coexpression(rank=1242)","1386","0.53380000000000005","ARCHS4 Coexpression,0.5338"
"THAP11","3.12694101585984363","3.12694101585984363","3.12694101585984363","Activated","47","viper","47","3.12694101585984363",NA,NA,"5","Literature--ChIP-seq(rank=106); ReMap--ChIP-seq(rank=222); ARCHS4--Coexpression(rank=501); GTEx--Coexpression(rank=836); Enrichr--Queries(rank=1060)","1022","0.30769999999999992","ARCHS4 Coexpression,0.3077"
"ZNF384","3.10398010311963768","3.10398010311963768","3.10398010311963768","Activated","48","viper","48","3.10398010311963768",NA,NA,"5","ENCODE--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=188); Enrichr--Queries(rank=1080); GTEx--Coexpression(rank=1507); ARCHS4--Coexpression(rank=1558)","665","0.16950000000000001","ENCODE ChIP-seq,0.1695"
"RUNX1","3.08216647667233490","3.08216647667233490","3.08216647667233490","Activated","49","viper","49","3.08216647667233490",NA,NA,"5","Literature--ChIP-seq(rank=53); ReMap--ChIP-seq(rank=216); Enrichr--Queries(rank=269); ARCHS4--Coexpression(rank=750); GTEx--Coexpression(rank=1024)","733","0.19159999999999999","Enrichr Queries,0.1916"
"ARID3A","3.06278970036511344","3.06278970036511344","3.06278970036511344","Activated","50","viper","50","3.06278970036511344",NA,NA,"5","ENCODE--ChIP-seq(rank=80); ReMap--ChIP-seq(rank=219); Enrichr--Queries(rank=533); GTEx--Coexpression(rank=810); ARCHS4--Coexpression(rank=1069)","1170","0.37959999999999999","Enrichr Queries,0.3796"
"MEIS1","3.05129024142624017","3.05129024142624017","3.05129024142624017","Activated","51","viper","51","3.05129024142624017",NA,NA,"5","Literature--ChIP-seq(rank=67); ReMap--ChIP-seq(rank=237); GTEx--Coexpression(rank=729); Enrichr--Queries(rank=752); ARCHS4--Coexpression(rank=1418)","1217","0.40849999999999997","Literature ChIP-seq,0.4085"
"ETV1","3.04971758165587437","3.04971758165587437","3.04971758165587437","Activated","52","viper","52","3.04971758165587437",NA,NA,"4","ReMap--ChIP-seq(rank=225); ARCHS4--Coexpression(rank=411); Enrichr--Queries(rank=417); GTEx--Coexpression(rank=533)","899","0.25250000000000000","ARCHS4 Coexpression,0.2525"
"PBX2","3.04189466214709636","3.04189466214709636","3.04189466214709636","Activated","53","viper","53","3.04189466214709636",NA,NA,"4","ReMap--ChIP-seq(rank=146); GTEx--Coexpression(rank=1045); Enrichr--Queries(rank=1200); ARCHS4--Coexpression(rank=1455)","1330","0.49159999999999998","ReMap ChIP-seq,0.4916"
"MEIS2","3.03152648738245611","3.03152648738245611","3.03152648738245611","Activated","54","viper","54","3.03152648738245611",NA,NA,"4","ReMap--ChIP-seq(rank=224); ARCHS4--Coexpression(rank=426); Enrichr--Queries(rank=675); GTEx--Coexpression(rank=1436)","921","0.26169999999999999","ARCHS4 Coexpression,0.2617"
"MAFF","3.01800923282767597","3.01800923282767597","3.01800923282767597","Activated","55","viper","55","3.01800923282767597",NA,NA,"5","ENCODE--ChIP-seq(rank=88); ReMap--ChIP-seq(rank=109); Enrichr--Queries(rank=164); GTEx--Coexpression(rank=510); ARCHS4--Coexpression(rank=607)","474","0.11680000000000000","Enrichr Queries,0.1168"
"TP73","3.01376587020489684","3.01376587020489684","3.01376587020489684","Activated","56","viper","56","3.01376587020489684",NA,NA,"3","Enrichr--Queries(rank=201); GTEx--Coexpression(rank=450); ARCHS4--Coexpression(rank=588)","575","0.14319999999999999","Enrichr Queries,0.1432"
"CTCF","2.96978524642488528","2.96978524642488528","2.96978524642488528","Activated","57","viper","57","2.96978524642488528",NA,NA,"6","ENCODE--ChIP-seq(rank=11); Literature--ChIP-seq(rank=19); ARCHS4--Coexpression(rank=27); ReMap--ChIP-seq(rank=35); Enrichr--Queries(rank=763); GTEx--Coexpression(rank=1521)","59","0.01658000000000000","ARCHS4 Coexpression,0.01658"
"E2F3","-2.92948275406959402","-2.92948275406959402","2.92948275406959402","Repressed","58","viper","58","2.92948275406959402",NA,NA,"3","Enrichr--Queries(rank=29); ARCHS4--Coexpression(rank=47); GTEx--Coexpression(rank=864)","76","0.02066000000000000","Enrichr Queries,0.02066"
"RUNX2","2.91263367564217290","2.91263367564217290","2.91263367564217290","Activated","59","viper","59","2.91263367564217290",NA,NA,"5","Literature--ChIP-seq(rank=74); Enrichr--Queries(rank=81); ReMap--ChIP-seq(rank=187); ARCHS4--Coexpression(rank=306); GTEx--Coexpression(rank=624)","234","0.05769000000000000","Enrichr Queries,0.05769"
"CEBPB","2.89545976350038137","2.89545976350038137","2.89545976350038137","Activated","60","viper","60","2.89545976350038137",NA,NA,"6","ENCODE--ChIP-seq(rank=19); Literature--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=92); Enrichr--Queries(rank=665); GTEx--Coexpression(rank=954); ARCHS4--Coexpression(rank=1247)","635","0.16100000000000000","ENCODE ChIP-seq,0.161"
"NFE2L1","2.89172434230260755","2.89172434230260755","2.89172434230260755","Activated","61","viper","61","2.89172434230260755",NA,NA,"4","ReMap--ChIP-seq(rank=257); GTEx--Coexpression(rank=921); Enrichr--Queries(rank=1099); ARCHS4--Coexpression(rank=1427)","1423","0.57310000000000005","GTEx Coexpression,0.5731"
"FOXO1","2.86452618856993935","2.86452618856993935","2.86452618856993935","Activated","62","viper","62","2.86452618856993935",NA,NA,"5","Literature--ChIP-seq(rank=31); ARCHS4--Coexpression(rank=184); ReMap--ChIP-seq(rank=203); GTEx--Coexpression(rank=281); Enrichr--Queries(rank=356)","460","0.11300000000000000","ARCHS4 Coexpression,0.113"
"ONECUT1","2.85458627551429167","2.85458627551429167","2.85458627551429167","Activated","63","viper","63","2.85458627551429167",NA,NA,"4","ReMap--ChIP-seq(rank=220); Enrichr--Queries(rank=1009); GTEx--Coexpression(rank=1092); ARCHS4--Coexpression(rank=1284)","1514","0.67949999999999999","GTEx Coexpression,0.6795"
"HNF1B","2.84384789744952249","2.84384789744952249","2.84384789744952249","Activated","64","viper","64","2.84384789744952249",NA,NA,"3","ReMap--ChIP-seq(rank=124); ARCHS4--Coexpression(rank=527); Enrichr--Queries(rank=614)","1052","0.32369999999999999","ARCHS4 Coexpression,0.3237"
"NFKB1","2.84376968989052470","2.84376968989052470","2.84376968989052470","Activated","65","viper","65","2.84376968989052470",NA,NA,"4","ReMap--ChIP-seq(rank=22); GTEx--Coexpression(rank=60); ARCHS4--Coexpression(rank=247); Enrichr--Queries(rank=766)","146","0.03734000000000000","GTEx Coexpression,0.03734"
"KMT2A","-2.83451321588002703","-2.83451321588002703","2.83451321588002703","Repressed","66","viper","66","2.83451321588002703",NA,NA,"3","ReMap--ChIP-seq(rank=244); ARCHS4--Coexpression(rank=279); GTEx--Coexpression(rank=319)","671","0.17140000000000000","ARCHS4 Coexpression,0.1714"
"ESR1","2.81524613655958555","2.81524613655958555","2.81524613655958555","Activated","67","viper","67","2.81524613655958555",NA,NA,"6","Literature--ChIP-seq(rank=45); ENCODE--ChIP-seq(rank=62); ReMap--ChIP-seq(rank=123); Enrichr--Queries(rank=524); GTEx--Coexpression(rank=750); ARCHS4--Coexpression(rank=789)","955","0.27439999999999998","Literature ChIP-seq,0.2744"
"ZNF217","2.80621601782414842","2.80621601782414842","2.80621601782414842","Activated","68","viper","68","2.80621601782414842",NA,NA,"6","Literature--ChIP-seq(rank=9); ENCODE--ChIP-seq(rank=53); ReMap--ChIP-seq(rank=259); GTEx--Coexpression(rank=408); Enrichr--Queries(rank=613); ARCHS4--Coexpression(rank=1543)","221","0.05488000000000000","Literature ChIP-seq,0.05488"
"ATF7","2.79672866561280964","2.79672866561280964","2.79672866561280964","Activated","69","viper","69","2.79672866561280964",NA,NA,"4","ReMap--ChIP-seq(rank=174); ARCHS4--Coexpression(rank=214); GTEx--Coexpression(rank=614); Enrichr--Queries(rank=650)","529","0.13139999999999999","ARCHS4 Coexpression,0.1314"
"PBX3","2.78818548632796182","2.78818548632796182","2.78818548632796182","Activated","70","viper","70","2.78818548632796182",NA,NA,"5","ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=65); Enrichr--Queries(rank=245); ARCHS4--Coexpression(rank=525); GTEx--Coexpression(rank=1280)","608","0.15250000000000000","ENCODE ChIP-seq,0.1525"
"GATA6","2.78194157184019852","2.78194157184019852","2.78194157184019852","Activated","71","viper","71","2.78194157184019852",NA,NA,"5","Literature--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=151); Enrichr--Queries(rank=409); GTEx--Coexpression(rank=819); ARCHS4--Coexpression(rank=1004)","993","0.29130000000000000","Enrichr Queries,0.2913"
"MAFG","2.77093099799646803","2.77093099799646803","2.77093099799646803","Activated","72","viper","72","2.77093099799646803",NA,NA,"4","ReMap--ChIP-seq(rank=269); Enrichr--Queries(rank=680); GTEx--Coexpression(rank=1010); ARCHS4--Coexpression(rank=1523)","1321","0.48430000000000001","Enrichr Queries,0.4843"
"CREM","2.77092618453774664","2.77092618453774664","2.77092618453774664","Activated","73","viper","73","2.77092618453774664",NA,NA,"5","Literature--ChIP-seq(rank=71); ReMap--ChIP-seq(rank=99); Enrichr--Queries(rank=268); ARCHS4--Coexpression(rank=1015); GTEx--Coexpression(rank=1434)","730","0.19089999999999999","Enrichr Queries,0.1909"
"FOXM1","-2.77067967053790509","-2.77067967053790509","2.77067967053790509","Repressed","74","viper","74","2.77067967053790509",NA,NA,"6","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=3); Enrichr--Queries(rank=5); GTEx--Coexpression(rank=5); ARCHS4--Coexpression(rank=10)","11","0.00311100000000000","GTEx Coexpression,0.003111"
"TFAP4","2.76725086361043315","2.76725086361043315","2.76725086361043315","Activated","75","viper","75","2.76725086361043315",NA,NA,"4","ReMap--ChIP-seq(rank=6); Enrichr--Queries(rank=37); ARCHS4--Coexpression(rank=510); GTEx--Coexpression(rank=1154)","73","0.02020000000000000","ReMap ChIP-seq,0.0202"
"POU4F2","2.75616825449838077","2.75616825449838077","2.75616825449838077","Activated","76","viper","76","2.75616825449838077",NA,NA,"4","ReMap--ChIP-seq(rank=58); ARCHS4--Coexpression(rank=1119); Enrichr--Queries(rank=1350); GTEx--Coexpression(rank=1479)","742","0.19530000000000000","ReMap ChIP-seq,0.1953"
"ATF2","2.75505413769684138","2.75505413769684138","2.75505413769684138","Activated","77","viper","77","2.75505413769684138",NA,NA,"5","ENCODE--ChIP-seq(rank=66); ReMap--ChIP-seq(rank=129); GTEx--Coexpression(rank=862); ARCHS4--Coexpression(rank=1099); Enrichr--Queries(rank=1183)","1256","0.43430000000000002","ReMap ChIP-seq,0.4343"
"GFI1B","2.68652581756457387","2.68652581756457387","2.68652581756457387","Activated","78","viper","78","2.68652581756457387",NA,NA,"5","ReMap--ChIP-seq(rank=74); Literature--ChIP-seq(rank=137); Enrichr--Queries(rank=803); ARCHS4--Coexpression(rank=1357); GTEx--Coexpression(rank=1564)","893","0.24920000000000000","ReMap ChIP-seq,0.2492"
"CEBPG","2.67817482767525705","2.67817482767525705","2.67817482767525705","Activated","79","viper","79","2.67817482767525705",NA,NA,"4","ReMap--ChIP-seq(rank=167); Enrichr--Queries(rank=241); ARCHS4--Coexpression(rank=655); GTEx--Coexpression(rank=1414)","672","0.17169999999999999","Enrichr Queries,0.1717"
