Pathway,SLOPING FOREHEAD,ABSENT TESTIS,SMALL INTESTINAL STENOSIS,CHOANAL ATRESIA,ABNORMALITY OF CHROMOSOME STABILITY,CHROMOSOME BREAKAGE,HEMATOLOGICAL NEOPLASM,MYELODYSPLASIA,CAFE AU LAIT SPOT,MULTIPLE CAFE AU LAIT SPOTS,MACULE,ARTERIOVENOUS MALFORMATION,HYPOPLASIA OF TEETH,ENAMEL HYPOPLASIA,BLISTERING BY ANATOMICAL LOCATION,ORAL MUCOSAL BLISTERS,HEMIPLEGIA HEMIPARESIS,MIXED DEMYELINATING AND AXONAL POLYNEUROPATHY,WOLFF PARKINSON WHITE SYNDROME,REDUCED CONTRAST SENSITIVITY,CENTROCECAL SCOTOMA,LEBER OPTIC ATROPHY,RETINAL ARTERIAL TORTUOSITY,ABNORMAL CIRCULATING CITRULLINE CONCENTRATION,LOW PLASMA CITRULLINE,RETICULOCYTOSIS,ABNORMAL RETICULOCYTE MORPHOLOGY,ABNORMAL LYMPHOCYTE MORPHOLOGY,ABNORMAL T CELL MORPHOLOGY,ABNORMAL LYMPHOCYTE COUNT,ABNORMAL T CELL PHYSIOLOGY,LYMPHOMA,LOBULATED TONGUE,SIMPLIFIED GYRAL PATTERN,IRIS HYPOPIGMENTATION,OCULAR ALBINISM,ANNULAR PANCREAS,PSYCHOTIC EPISODES,HYPERPITUITARISM,WOOLLY HAIR
MACULE,0.14655172413793102,0.09913793103448276,0.09913793103448276,0.14655172413793102,0.13793103448275862,0.10344827586206896,0.3275862068965517,0.1724137931034483,0.5603448275862069,0.28448275862068967,1.0,0.13793103448275862,0.11637931034482758,0.09913793103448276,0.03017241379310345,0.02586206896551724,0.16379310344827586,0.0,0.01293103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.01293103448275862,0.04741379310344827,0.10775862068965517,0.05603448275862069,0.08620689655172414,0.021551724137931036,0.1336206896551724,0.0,0.008620689655172414,0.0603448275862069,0.0603448275862069,0.0603448275862069,0.008620689655172414,0.06896551724137931,0.021551724137931036
ARTERIOVENOUS MALFORMATION,0.4107142857142857,0.4107142857142857,0.42857142857142855,0.42857142857142855,0.44642857142857145,0.35714285714285715,0.4642857142857143,0.4107142857142857,0.5178571428571429,0.5178571428571429,0.5714285714285714,1.0,0.017857142857142856,0.017857142857142856,0.0,0.0,0.26785714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.08928571428571429,0.0,0.08928571428571429,0.017857142857142856,0.03571428571428571,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.07142857142857142,0.0
HYPOPLASIA OF TEETH,0.0546875,0.0078125,0.0078125,0.109375,0.015625,0.015625,0.0859375,0.03125,0.0703125,0.03125,0.2109375,0.0078125,1.0,0.8359375,0.1015625,0.09375,0.03125,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.046875,0.015625,0.046875,0.0078125,0.0390625,0.03125,0.015625,0.0,0.0,0.0078125,0.0078125,0.0234375,0.015625
ENAMEL HYPOPLASIA,0.056074766355140186,0.009345794392523364,0.009345794392523364,0.09345794392523364,0.018691588785046728,0.018691588785046728,0.08411214953271028,0.028037383177570093,0.07476635514018691,0.037383177570093455,0.21495327102803738,0.009345794392523364,1.0,1.0,0.12149532710280374,0.11214953271028037,0.028037383177570093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028037383177570093,0.009345794392523364,0.028037383177570093,0.009345794392523364,0.037383177570093455,0.018691588785046728,0.018691588785046728,0.0,0.0,0.0,0.009345794392523364,0.028037383177570093,0.018691588785046728
BLISTERING BY ANATOMICAL LOCATION,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.2692307692307692,0.0,0.5,0.5,1.0,0.5384615384615384,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORAL MUCOSAL BLISTERS,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.42857142857142855,0.0,0.8571428571428571,0.8571428571428571,1.0,1.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEMIPLEGIA HEMIPARESIS,0.06639004149377593,0.008298755186721992,0.004149377593360996,0.024896265560165973,0.05394190871369295,0.04979253112033195,0.14937759336099585,0.029045643153526972,0.06639004149377593,0.04564315352697095,0.15767634854771784,0.06224066390041494,0.016597510373443983,0.012448132780082987,0.004149377593360996,0.004149377593360996,1.0,0.05394190871369295,0.08298755186721991,0.029045643153526972,0.03319502074688797,0.024896265560165973,0.024896265560165973,0.03319502074688797,0.03319502074688797,0.02074688796680498,0.03734439834024896,0.0954356846473029,0.04149377593360996,0.08713692946058091,0.02074688796680498,0.07053941908713693,0.0,0.029045643153526972,0.058091286307053944,0.05394190871369295,0.05394190871369295,0.012448132780082987,0.05394190871369295,0.004149377593360996
MIXED DEMYELINATING AND AXONAL POLYNEUROPATHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7647058823529411,1.0,0.7647058823529411,0.35294117647058826,0.35294117647058826,0.29411764705882354,0.29411764705882354,0.35294117647058826,0.35294117647058826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0
WOLFF PARKINSON WHITE SYNDROME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.6060606060606061,0.3939393939393939,1.0,0.21212121212121213,0.21212121212121213,0.18181818181818182,0.18181818181818182,0.24242424242424243,0.24242424242424243,0.0,0.030303030303030304,0.030303030303030304,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0
REDUCED CONTRAST SENSITIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4117647058823529,0.35294117647058826,0.4117647058823529,1.0,0.7058823529411765,0.5294117647058824,0.5882352941176471,0.35294117647058826,0.35294117647058826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29411764705882354,0.0,0.0,0.0,0.0,0.0
CENTROCECAL SCOTOMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.46153846153846156,0.5384615384615384,0.9230769230769231,1.0,0.6923076923076923,0.7692307692307693,0.46153846153846156,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEBER OPTIC ATROPHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.5,0.6,0.9,0.9,1.0,0.9,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RETINAL ARTERIAL TORTUOSITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.46153846153846156,0.38461538461538464,0.46153846153846156,0.7692307692307693,0.7692307692307693,0.6923076923076923,1.0,0.46153846153846156,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABNORMAL CIRCULATING CITRULLINE CONCENTRATION,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.24,0.32,0.24,0.24,0.24,0.24,1.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0
LOW PLASMA CITRULLINE,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42105263157894735,0.3157894736842105,0.42105263157894735,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3157894736842105,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0
RETICULOCYTOSIS,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.08163265306122448,0.02040816326530612,0.061224489795918366,0.04081632653061224,0.061224489795918366,0.0,0.0,0.0,0.0,0.0,0.10204081632653061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08163265306122448,0.061224489795918366,0.08163265306122448,0.061224489795918366,0.061224489795918366,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0
ABNORMAL RETICULOCYTE MORPHOLOGY,0.05813953488372093,0.046511627906976744,0.046511627906976744,0.06976744186046512,0.06976744186046512,0.05813953488372093,0.4418604651162791,0.3953488372093023,0.10465116279069768,0.06976744186046512,0.12790697674418605,0.046511627906976744,0.0,0.0,0.0,0.0,0.10465116279069768,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.5697674418604651,1.0,0.10465116279069768,0.03488372093023256,0.10465116279069768,0.03488372093023256,0.06976744186046512,0.0,0.011627906976744186,0.0,0.0,0.011627906976744186,0.0,0.011627906976744186,0.0
ABNORMAL LYMPHOCYTE MORPHOLOGY,0.022727272727272728,0.0,0.0,0.022727272727272728,0.056818181818181816,0.015151515151515152,0.3371212121212121,0.09090909090909091,0.04924242424242424,0.01893939393939394,0.0946969696969697,0.01893939393939394,0.022727272727272728,0.011363636363636364,0.003787878787878788,0.003787878787878788,0.08712121212121213,0.0,0.003787878787878788,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.03409090909090909,1.0,0.5037878787878788,0.7954545454545454,0.22727272727272727,0.24242424242424243,0.0,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.003787878787878788,0.026515151515151516,0.01893939393939394,0.011363636363636364
ABNORMAL T CELL MORPHOLOGY,0.015037593984962405,0.0,0.0,0.022556390977443608,0.03007518796992481,0.007518796992481203,0.3684210526315789,0.03759398496240601,0.05263157894736842,0.015037593984962405,0.09774436090225563,0.0,0.015037593984962405,0.007518796992481203,0.007518796992481203,0.007518796992481203,0.07518796992481203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022556390977443608,0.022556390977443608,1.0,1.0,0.7744360902255639,0.41353383458646614,0.3308270676691729,0.0,0.007518796992481203,0.015037593984962405,0.015037593984962405,0.007518796992481203,0.0,0.0,0.0
ABNORMAL LYMPHOCYTE COUNT,0.023809523809523808,0.0,0.0,0.01904761904761905,0.05714285714285714,0.009523809523809525,0.3523809523809524,0.1,0.047619047619047616,0.023809523809523808,0.09523809523809523,0.023809523809523808,0.02857142857142857,0.014285714285714285,0.004761904761904762,0.004761904761904762,0.1,0.0,0.004761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.01904761904761905,0.04285714285714286,1.0,0.49047619047619045,1.0,0.24285714285714285,0.23809523809523808,0.0,0.014285714285714285,0.004761904761904762,0.004761904761904762,0.004761904761904762,0.03333333333333333,0.01904761904761905,0.014285714285714285
ABNORMAL T CELL PHYSIOLOGY,0.011627906976744186,0.0,0.0,0.10465116279069768,0.0,0.0,0.3372093023255814,0.0,0.03488372093023256,0.011627906976744186,0.05813953488372093,0.011627906976744186,0.011627906976744186,0.011627906976744186,0.011627906976744186,0.011627906976744186,0.05813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03488372093023256,0.03488372093023256,0.6976744186046512,0.6395348837209303,0.5930232558139535,1.0,0.32558139534883723,0.0,0.0,0.023255813953488372,0.011627906976744186,0.0,0.0,0.0,0.0
LYMPHOMA,0.043478260869565216,0.0,0.0,0.02608695652173913,0.06086956521739131,0.017391304347826087,1.0,0.14782608695652175,0.09565217391304348,0.06086956521739131,0.26956521739130435,0.017391304347826087,0.043478260869565216,0.034782608695652174,0.017391304347826087,0.017391304347826087,0.14782608695652175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02608695652173913,0.05217391304347826,0.5565217391304348,0.3826086956521739,0.43478260869565216,0.24347826086956523,1.0,0.0,0.017391304347826087,0.0,0.0,0.017391304347826087,0.008695652173913044,0.017391304347826087,0.0
LOBULATED TONGUE,0.3157894736842105,0.05263157894736842,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
SIMPLIFIED GYRAL PATTERN,0.40229885057471265,0.0,0.0,0.034482758620689655,0.034482758620689655,0.022988505747126436,0.022988505747126436,0.0,0.0,0.0,0.022988505747126436,0.0,0.022988505747126436,0.022988505747126436,0.0,0.0,0.08045977011494253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.011494252873563218,0.034482758620689655,0.011494252873563218,0.034482758620689655,0.0,0.022988505747126436,0.011494252873563218,1.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.011494252873563218
IRIS HYPOPIGMENTATION,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.03508771929824561,0.017543859649122806,0.24561403508771928,0.0,0.0,0.0,0.0,0.0,0.24561403508771928,0.017543859649122806,0.017543859649122806,0.08771929824561403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.03508771929824561,0.017543859649122806,0.03508771929824561,0.0,0.0,0.0,1.0,0.5087719298245614,0.22807017543859648,0.0,0.0,0.0
OCULAR ALBINISM,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.06896551724137931,0.034482758620689655,0.4827586206896552,0.0,0.0,0.0,0.0,0.0,0.4482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10344827586206896,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.0,0.0,0.0,1.0,1.0,0.4482758620689655,0.0,0.0,0.0
ANNULAR PANCREAS,0.08,0.04,0.16,0.08,0.04,0.04,0.16,0.12,0.08,0.08,0.56,0.04,0.04,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.04,0.0,0.08,0.0,0.0,0.52,0.52,1.0,0.0,0.0,0.0
PSYCHOTIC EPISODES,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.05555555555555555,0.0,0.0,0.3888888888888889,0.0,0.3888888888888889,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.05555555555555555
HYPERPITUITARISM,0.03731343283582089,0.022388059701492536,0.014925373134328358,0.04477611940298507,0.11194029850746269,0.1044776119402985,0.05223880597014925,0.029850746268656716,0.08208955223880597,0.05970149253731343,0.11940298507462686,0.029850746268656716,0.022388059701492536,0.022388059701492536,0.0,0.0,0.09701492537313433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007462686567164179,0.03731343283582089,0.0,0.029850746268656716,0.0,0.014925373134328358,0.0,0.022388059701492536,0.0,0.0,0.0,0.022388059701492536,1.0,0.007462686567164179
WOOLLY HAIR,0.0,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.07142857142857142,0.17857142857142858,0.07142857142857142,0.17857142857142858,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.0,0.10714285714285714,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,1.0
