Pathway,T CELL RECEPTOR SIGNALING PATHWAY,B CELL RECEPTOR SIGNALING PATHWAY,NATURAL KILLER CELL MEDIATED CYTOTOXICITY,CHEMOKINE SIGNALING PATHWAY,FC GAMMA R MEDIATED PHAGOCYTOSIS,VASCULAR SMOOTH MUSCLE CONTRACTION,CALCIUM SIGNALING PATHWAY,ANTIGEN PROCESSING AND PRESENTATION,GRAFT VERSUS HOST DISEASE,TYPE I DIABETES MELLITUS,AUTOIMMUNE THYROID DISEASE,ALLOGRAFT REJECTION,SYSTEMIC LUPUS ERYTHEMATOSUS,INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION,ASTHMA,LEISHMANIA INFECTION,ASCORBATE AND ALDARATE METABOLISM,PENTOSE AND GLUCURONATE INTERCONVERSIONS,STARCH AND SUCROSE METABOLISM,PORPHYRIN AND CHLOROPHYLL METABOLISM,RETINOL METABOLISM,DRUG METABOLISM CYTOCHROME P450,METABOLISM OF XENOBIOTICS BY CYTOCHROME P450,DRUG METABOLISM OTHER ENZYMES,STEROID HORMONE BIOSYNTHESIS,PRIMARY IMMUNODEFICIENCY,HEMATOPOIETIC CELL LINEAGE,CYTOKINE CYTOKINE RECEPTOR INTERACTION,JAK STAT SIGNALING PATHWAY,NOD LIKE RECEPTOR SIGNALING PATHWAY,TOLL LIKE RECEPTOR SIGNALING PATHWAY,CELL CYCLE,DNA REPLICATION,FATTY ACID METABOLISM,BUTANOATE METABOLISM,VALINE LEUCINE AND ISOLEUCINE DEGRADATION,PROPANOATE METABOLISM,ECM RECEPTOR INTERACTION,DILATED CARDIOMYOPATHY,HYPERTROPHIC CARDIOMYOPATHY HCM
AUTOIMMUNE THYROID DISEASE,0.1346153846153846,0.0,0.4230769230769231,0.0,0.0,0.0,0.0,0.6346153846153846,0.5384615384615384,0.5384615384615384,1.0,0.6346153846153846,0.38461538461538464,0.4423076923076923,0.36538461538461536,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.15384615384615385,0.4230769230769231,0.34615384615384615,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALLOGRAFT REJECTION,0.21621621621621623,0.0,0.2972972972972973,0.0,0.0,0.0,0.0,0.5405405405405406,0.8108108108108109,0.8648648648648649,0.8918918918918919,1.0,0.5945945945945946,0.6216216216216216,0.5405405405405406,0.5405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.21621621621621623,0.32432432432432434,0.1891891891891892,0.02702702702702703,0.16216216216216217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.02702702702702703
SYSTEMIC LUPUS ERYTHEMATOSUS,0.03597122302158273,0.007194244604316547,0.02877697841726619,0.0,0.03597122302158273,0.0,0.007194244604316547,0.10071942446043165,0.1366906474820144,0.1366906474820144,0.14388489208633093,0.15827338129496402,1.0,0.14388489208633093,0.12949640287769784,0.16546762589928057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014388489208633094,0.050359712230215826,0.03597122302158273,0.014388489208633094,0.007194244604316547,0.02877697841726619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007194244604316547,0.007194244604316547
INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION,0.16666666666666666,0.0,0.0,0.14583333333333334,0.0,0.0,0.0,0.2916666666666667,0.3958333333333333,0.375,0.4791666666666667,0.4791666666666667,0.4166666666666667,1.0,0.3958333333333333,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.1875,0.4791666666666667,0.14583333333333334,0.020833333333333332,0.08333333333333333,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0625,0.08333333333333333
ASTHMA,0.16666666666666666,0.0,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.4666666666666667,0.5,0.5,0.6333333333333333,0.6666666666666666,0.6,0.6333333333333333,1.0,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.3,0.3333333333333333,0.2,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333
LEISHMANIA INFECTION,0.25,0.1388888888888889,0.1527777777777778,0.1388888888888889,0.125,0.041666666666666664,0.027777777777777776,0.19444444444444445,0.25,0.2777777777777778,0.2222222222222222,0.2777777777777778,0.3194444444444444,0.25,0.2361111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18055555555555555,0.18055555555555555,0.1527777777777778,0.2222222222222222,0.3472222222222222,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.08333333333333333,0.08333333333333333
ASCORBATE AND ALDARATE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.76,0.76,0.72,0.72,0.72,0.72,0.72,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
PENTOSE AND GLUCURONATE INTERCONVERSIONS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6785714285714286,1.0,0.75,0.6785714285714286,0.6428571428571429,0.6428571428571429,0.6785714285714286,0.6785714285714286,0.6428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STARCH AND SUCROSE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36538461538461536,0.40384615384615385,1.0,0.36538461538461536,0.34615384615384615,0.34615384615384615,0.34615384615384615,0.36538461538461536,0.34615384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PORPHYRIN AND CHLOROPHYLL METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43902439024390244,0.4634146341463415,0.4634146341463415,1.0,0.43902439024390244,0.43902439024390244,0.43902439024390244,0.4634146341463415,0.43902439024390244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RETINOL METABOLISM,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28125,0.28125,0.28125,0.28125,1.0,0.59375,0.5625,0.390625,0.359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.140625,0.0,0.0,0.0,0.0,0.0,0.0
DRUG METABOLISM CYTOCHROME P450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.5277777777777778,1.0,0.8333333333333334,0.3472222222222222,0.3055555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09722222222222222,0.0,0.013888888888888888,0.0,0.0,0.0,0.0
METABOLISM OF XENOBIOTICS BY CYTOCHROME P450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2571428571428571,0.2714285714285714,0.2571428571428571,0.2571428571428571,0.5142857142857142,0.8571428571428571,1.0,0.3142857142857143,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
DRUG METABOLISM OTHER ENZYMES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35294117647058826,0.37254901960784315,0.37254901960784315,0.37254901960784315,0.49019607843137253,0.49019607843137253,0.43137254901960786,1.0,0.43137254901960786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STEROID HORMONE BIOSYNTHESIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32727272727272727,0.32727272727272727,0.32727272727272727,0.32727272727272727,0.41818181818181815,0.4,0.509090909090909,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRIMARY IMMUNODEFICIENCY,0.3142857142857143,0.14285714285714285,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.0,0.0,0.2571428571428571,0.0,0.0,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.17142857142857143,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.17142857142857143,0.08571428571428572,0.02857142857142857,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEMATOPOIETIC CELL LINEAGE,0.11494252873563218,0.034482758620689655,0.022988505747126436,0.0,0.011494252873563218,0.0,0.011494252873563218,0.09195402298850575,0.10344827586206896,0.09195402298850575,0.09195402298850575,0.09195402298850575,0.08045977011494253,0.10344827586206896,0.10344827586206896,0.14942528735632185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08045977011494253,1.0,0.367816091954023,0.2413793103448276,0.034482758620689655,0.04597701149425287,0.0,0.0,0.0,0.0,0.0,0.0,0.16091954022988506,0.10344827586206896,0.11494252873563218
CYTOKINE CYTOKINE RECEPTOR INTERACTION,0.030303030303030304,0.0,0.10606060606060606,0.24242424242424243,0.0,0.0,0.011363636363636364,0.05303030303030303,0.030303030303030304,0.03787878787878788,0.08333333333333333,0.045454545454545456,0.01893939393939394,0.08712121212121213,0.03787878787878788,0.04924242424242424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.12121212121212122,1.0,0.35984848484848486,0.04924242424242424,0.10984848484848485,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.01893939393939394
JAK STAT SIGNALING PATHWAY,0.15483870967741936,0.0967741935483871,0.2129032258064516,0.12903225806451613,0.07096774193548387,0.0,0.0,0.08387096774193549,0.01935483870967742,0.025806451612903226,0.11612903225806452,0.04516129032258064,0.012903225806451613,0.04516129032258064,0.03870967741935484,0.07096774193548387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01935483870967742,0.13548387096774195,0.6129032258064516,1.0,0.0064516129032258064,0.2,0.03870967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064516129032258064
NOD LIKE RECEPTOR SIGNALING PATHWAY,0.25806451612903225,0.14516129032258066,0.04838709677419355,0.2903225806451613,0.03225806451612903,0.03225806451612903,0.0,0.03225806451612903,0.04838709677419355,0.03225806451612903,0.0,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.03225806451612903,0.25806451612903225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.04838709677419355,0.20967741935483872,0.016129032258064516,1.0,0.4032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.03225806451612903
TOLL LIKE RECEPTOR SIGNALING PATHWAY,0.3137254901960784,0.23529411764705882,0.29411764705882354,0.28431372549019607,0.14705882352941177,0.0392156862745098,0.0,0.12745098039215685,0.049019607843137254,0.058823529411764705,0.1568627450980392,0.058823529411764705,0.0392156862745098,0.0392156862745098,0.0196078431372549,0.24509803921568626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0392156862745098,0.28431372549019607,0.30392156862745096,0.24509803921568626,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00980392156862745,0.00980392156862745,0.0196078431372549
CELL CYCLE,0.016,0.008,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.048,0.0,0.0,1.0,0.056,0.0,0.0,0.0,0.0,0.0,0.024,0.024
DNA REPLICATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19444444444444445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FATTY ACID METABOLISM,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11904761904761904,0.0,0.0,0.0,0.21428571428571427,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2857142857142857,0.40476190476190477,0.2619047619047619,0.0,0.0,0.0
BUTANOATE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.14705882352941177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35294117647058826,1.0,0.5294117647058824,0.3235294117647059,0.0,0.0,0.0
VALINE LEUCINE AND ISOLEUCINE DEGRADATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11363636363636363,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38636363636363635,0.4090909090909091,1.0,0.4090909090909091,0.0,0.0,0.0
PROPANOATE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5454545454545454,1.0,0.0,0.0,0.0
ECM RECEPTOR INTERACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2619047619047619,0.2619047619047619
DILATED CARDIOMYOPATHY,0.011111111111111112,0.0,0.011111111111111112,0.14444444444444443,0.0,0.2,0.24444444444444444,0.0,0.011111111111111112,0.011111111111111112,0.0,0.011111111111111112,0.011111111111111112,0.03333333333333333,0.011111111111111112,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.044444444444444446,0.0,0.011111111111111112,0.011111111111111112,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.24444444444444444,1.0,0.8222222222222222
HYPERTROPHIC CARDIOMYOPATHY HCM,0.012048192771084338,0.0,0.012048192771084338,0.0,0.0,0.04819277108433735,0.0963855421686747,0.0,0.024096385542168676,0.012048192771084338,0.0,0.012048192771084338,0.012048192771084338,0.04819277108433735,0.012048192771084338,0.07228915662650602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12048192771084337,0.060240963855421686,0.012048192771084338,0.024096385542168676,0.024096385542168676,0.03614457831325301,0.0,0.0,0.0,0.0,0.0,0.26506024096385544,0.891566265060241,1.0
