Pathway,EPC1 TARGET GENES,SOX11 TARGET GENES,ZNF236 TARGET GENES,PSMB5 TARGET GENES,GTF2E2 TARGET GENES,MED16 TARGET GENES,HSF2 TARGET GENES,PPARGC1A TARGET GENES,ATF5 TARGET GENES,CASP8AP2 TARGET GENES,ALKBH3 TARGET GENES,RORA TARGET GENES,ZNF667 TARGET GENES,ELF5 TARGET GENES,CHAMP1 TARGET GENES,NPM1 TARGET GENES,ZNF830 TARGET GENES,ZZZ3 TARGET GENES,FOXR2 TARGET GENES,RUVBL1 TARGET GENES,DMRT1 TARGET GENES,NPAT TARGET GENES,SQSTM1 TARGET GENES,ZNF581 TARGET GENES,NR1I2 TARGET GENES,ZBED4 TARGET GENES,HOXC13 TARGET GENES,MYBL1 TARGET GENES,CREB3L2 TARGET GENES,HOXA10 TARGET GENES,FOXO4 TARGET GENES,SRPK1 TARGET GENES,ZNF704 TARGET GENES,MAML1 TARGET GENES,CSHL1 TARGET GENES,NR1H4 TARGET GENES,LMNB2 TARGET GENES,TASOR TARGET GENES,ZNF532 TARGET GENES,ZNF16 TARGET GENES
RORA TARGET GENES,0.05263157894736842,0.0037593984962406013,0.045112781954887216,0.02631578947368421,0.10150375939849623,0.0,0.03759398496240601,0.018796992481203006,0.10902255639097744,0.19548872180451127,0.5075187969924813,1.0,0.16165413533834586,0.15413533834586465,0.05639097744360902,0.03007518796992481,0.041353383458646614,0.10150375939849623,0.041353383458646614,0.07142857142857142,0.13533834586466165,0.02631578947368421,0.007518796992481203,0.03383458646616541,0.05263157894736842,0.04887218045112782,0.03007518796992481,0.04887218045112782,0.07142857142857142,0.03759398496240601,0.06390977443609022,0.041353383458646614,0.007518796992481203,0.007518796992481203,0.022556390977443608,0.015037593984962405,0.0,0.022556390977443608,0.0037593984962406013,0.0037593984962406013
ZNF667 TARGET GENES,0.034013605442176874,0.0,0.061224489795918366,0.0,0.09523809523809523,0.0,0.013605442176870748,0.013605442176870748,0.05442176870748299,0.24489795918367346,0.5034013605442177,0.2925170068027211,1.0,0.2108843537414966,0.061224489795918366,0.08163265306122448,0.034013605442176874,0.12244897959183673,0.04081632653061224,0.05442176870748299,0.09523809523809523,0.034013605442176874,0.0,0.034013605442176874,0.05442176870748299,0.02040816326530612,0.02040816326530612,0.06802721088435375,0.08163265306122448,0.047619047619047616,0.034013605442176874,0.061224489795918366,0.0,0.013605442176870748,0.04081632653061224,0.047619047619047616,0.013605442176870748,0.034013605442176874,0.006802721088435374,0.0
ELF5 TARGET GENES,0.05154639175257732,0.002061855670103093,0.03917525773195876,0.016494845360824743,0.05154639175257732,0.008247422680412371,0.024742268041237112,0.016494845360824743,0.06597938144329897,0.10103092783505155,0.15670103092783505,0.08453608247422681,0.06391752577319587,1.0,0.026804123711340205,0.05360824742268041,0.04536082474226804,0.041237113402061855,0.03917525773195876,0.03505154639175258,0.05979381443298969,0.026804123711340205,0.0,0.04742268041237113,0.041237113402061855,0.041237113402061855,0.026804123711340205,0.04329896907216495,0.020618556701030927,0.04329896907216495,0.06804123711340206,0.049484536082474224,0.010309278350515464,0.01443298969072165,0.020618556701030927,0.016494845360824743,0.004123711340206186,0.016494845360824743,0.006185567010309278,0.0
CHAMP1 TARGET GENES,0.02727272727272727,0.0,0.01818181818181818,0.004545454545454545,0.031818181818181815,0.013636363636363636,0.01818181818181818,0.00909090909090909,0.031818181818181815,0.07727272727272727,0.09090909090909091,0.06818181818181818,0.04090909090909091,0.05909090909090909,1.0,0.01818181818181818,0.04090909090909091,0.02727272727272727,0.0,0.022727272727272728,0.022727272727272728,0.013636363636363636,0.004545454545454545,0.01818181818181818,0.01818181818181818,0.031818181818181815,0.0,0.045454545454545456,0.02727272727272727,0.03636363636363636,0.01818181818181818,0.031818181818181815,0.00909090909090909,0.013636363636363636,0.022727272727272728,0.00909090909090909,0.0,0.004545454545454545,0.0,0.0
NPM1 TARGET GENES,0.054945054945054944,0.0027472527472527475,0.04395604395604396,0.06318681318681318,0.07967032967032966,0.0027472527472527475,0.016483516483516484,0.005494505494505495,0.04945054945054945,0.038461538461538464,0.07417582417582418,0.02197802197802198,0.03296703296703297,0.07142857142857142,0.01098901098901099,1.0,0.20604395604395603,0.07692307692307693,0.03296703296703297,0.02197802197802198,0.046703296703296704,0.013736263736263736,0.0027472527472527475,0.03296703296703297,0.016483516483516484,0.013736263736263736,0.013736263736263736,0.04945054945054945,0.01098901098901099,0.013736263736263736,0.03571428571428571,0.1401098901098901,0.005494505494505495,0.019230769230769232,0.013736263736263736,0.0027472527472527475,0.0027472527472527475,0.02197802197802198,0.0,0.008241758241758242
ZNF830 TARGET GENES,0.03460207612456748,0.0034602076124567475,0.020761245674740483,0.031141868512110725,0.031141868512110725,0.0,0.01730103806228374,0.006920415224913495,0.05190311418685121,0.03460207612456748,0.0726643598615917,0.03806228373702422,0.01730103806228374,0.07612456747404844,0.031141868512110725,0.25951557093425603,1.0,0.08304498269896193,0.04844290657439446,0.02422145328719723,0.04844290657439446,0.010380622837370242,0.0,0.04498269896193772,0.010380622837370242,0.010380622837370242,0.01384083044982699,0.03460207612456748,0.0034602076124567475,0.01384083044982699,0.02768166089965398,0.03460207612456748,0.0034602076124567475,0.01384083044982699,0.01384083044982699,0.01384083044982699,0.0034602076124567475,0.0,0.0,0.01384083044982699
ZZZ3 TARGET GENES,0.0438871473354232,0.0,0.012539184952978056,0.05329153605015674,0.05956112852664577,0.003134796238244514,0.025078369905956112,0.018808777429467086,0.05329153605015674,0.050156739811912224,0.07836990595611286,0.08463949843260188,0.05642633228840126,0.06269592476489028,0.018808777429467086,0.0877742946708464,0.07523510971786834,1.0,0.04075235109717868,0.03761755485893417,0.05956112852664577,0.03134796238244514,0.01567398119122257,0.07210031347962383,0.04075235109717868,0.04075235109717868,0.025078369905956112,0.034482758620689655,0.03134796238244514,0.025078369905956112,0.034482758620689655,0.05642633228840126,0.003134796238244514,0.034482758620689655,0.03134796238244514,0.006269592476489028,0.003134796238244514,0.012539184952978056,0.03134796238244514,0.0
FOXR2 TARGET GENES,0.0641025641025641,0.01282051282051282,0.008547008547008548,0.017094017094017096,0.038461538461538464,0.0,0.01282051282051282,0.008547008547008548,0.038461538461538464,0.03418803418803419,0.05982905982905983,0.04700854700854701,0.02564102564102564,0.0811965811965812,0.0,0.05128205128205128,0.05982905982905983,0.05555555555555555,1.0,0.05128205128205128,0.0641025641025641,0.021367521367521368,0.004273504273504274,0.038461538461538464,0.05982905982905983,0.03418803418803419,0.017094017094017096,0.03418803418803419,0.05128205128205128,0.03418803418803419,0.07692307692307693,0.02564102564102564,0.008547008547008548,0.021367521367521368,0.004273504273504274,0.017094017094017096,0.0,0.042735042735042736,0.01282051282051282,0.004273504273504274
RUVBL1 TARGET GENES,0.04945054945054945,0.005494505494505495,0.038461538461538464,0.10989010989010989,0.14285714285714285,0.005494505494505495,0.027472527472527472,0.005494505494505495,0.0989010989010989,0.14285714285714285,0.13186813186813187,0.1043956043956044,0.04395604395604396,0.09340659340659341,0.027472527472527472,0.04395604395604396,0.038461538461538464,0.06593406593406594,0.06593406593406594,1.0,0.13736263736263737,0.02197802197802198,0.005494505494505495,0.016483516483516484,0.06593406593406594,0.02197802197802198,0.03296703296703297,0.1043956043956044,0.005494505494505495,0.04945054945054945,0.08241758241758242,0.06593406593406594,0.0,0.016483516483516484,0.038461538461538464,0.02197802197802198,0.0,0.01098901098901099,0.005494505494505495,0.0
DMRT1 TARGET GENES,0.04567307692307692,0.009615384615384616,0.03365384615384615,0.02403846153846154,0.06971153846153846,0.004807692307692308,0.026442307692307692,0.004807692307692308,0.1201923076923077,0.04807692307692308,0.06971153846153846,0.08653846153846154,0.03365384615384615,0.06971153846153846,0.01201923076923077,0.040865384615384616,0.03365384615384615,0.04567307692307692,0.036057692307692304,0.06009615384615385,1.0,0.03365384615384615,0.004807692307692308,0.06490384615384616,0.06009615384615385,0.07451923076923077,0.036057692307692304,0.04567307692307692,0.03365384615384615,0.06971153846153846,0.07211538461538461,0.02403846153846154,0.007211538461538462,0.01201923076923077,0.014423076923076924,0.03365384615384615,0.002403846153846154,0.03125,0.01201923076923077,0.007211538461538462
NPAT TARGET GENES,0.04642857142857143,0.007142857142857143,0.02142857142857143,0.075,0.05714285714285714,0.0,0.02142857142857143,0.0035714285714285713,0.04642857142857143,0.18571428571428572,0.03214285714285714,0.025,0.017857142857142856,0.04642857142857143,0.010714285714285714,0.017857142857142856,0.010714285714285714,0.03571428571428571,0.017857142857142856,0.014285714285714285,0.05,1.0,0.017857142857142856,0.060714285714285714,0.06428571428571428,0.07142857142857142,0.017857142857142856,0.05,0.025,0.03571428571428571,0.03214285714285714,0.03571428571428571,0.0,0.014285714285714285,0.014285714285714285,0.007142857142857143,0.0,0.08928571428571429,0.0035714285714285713,0.0035714285714285713
SQSTM1 TARGET GENES,0.03773584905660377,0.0,0.0,0.07547169811320754,0.018867924528301886,0.0,0.05660377358490566,0.03773584905660377,0.0,0.07547169811320754,0.05660377358490566,0.03773584905660377,0.0,0.0,0.018867924528301886,0.018867924528301886,0.0,0.09433962264150944,0.018867924528301886,0.018867924528301886,0.03773584905660377,0.09433962264150944,1.0,0.0,0.018867924528301886,0.03773584905660377,0.0,0.05660377358490566,0.0,0.018867924528301886,0.05660377358490566,0.0,0.0,0.0,0.0,0.0,0.0,0.07547169811320754,0.0,0.0
ZNF581 TARGET GENES,0.03614457831325301,0.006024096385542169,0.045180722891566265,0.06927710843373494,0.060240963855421686,0.0,0.0783132530120482,0.02108433734939759,0.07228915662650602,0.04216867469879518,0.0391566265060241,0.02710843373493976,0.015060240963855422,0.06927710843373494,0.012048192771084338,0.03614457831325301,0.0391566265060241,0.06927710843373494,0.02710843373493976,0.009036144578313253,0.08132530120481928,0.05120481927710843,0.0,1.0,0.09036144578313253,0.06927710843373494,0.03313253012048193,0.10843373493975904,0.02710843373493976,0.05421686746987952,0.07228915662650602,0.045180722891566265,0.006024096385542169,0.012048192771084338,0.04216867469879518,0.02108433734939759,0.006024096385542169,0.03313253012048193,0.009036144578313253,0.0030120481927710845
NR1I2 TARGET GENES,0.06321839080459771,0.0,0.017241379310344827,0.05459770114942529,0.034482758620689655,0.0028735632183908046,0.022988505747126436,0.014367816091954023,0.06321839080459771,0.040229885057471264,0.05172413793103448,0.040229885057471264,0.022988505747126436,0.05747126436781609,0.011494252873563218,0.017241379310344827,0.008620689655172414,0.03735632183908046,0.040229885057471264,0.034482758620689655,0.07183908045977011,0.05172413793103448,0.0028735632183908046,0.08620689655172414,1.0,0.07758620689655173,0.02586206896551724,0.05747126436781609,0.031609195402298854,0.07183908045977011,0.06321839080459771,0.031609195402298854,0.0028735632183908046,0.011494252873563218,0.014367816091954023,0.022988505747126436,0.0,0.017241379310344827,0.008620689655172414,0.0028735632183908046
ZBED4 TARGET GENES,0.05194805194805195,0.00974025974025974,0.016233766233766232,0.045454545454545456,0.03896103896103896,0.003246753246753247,0.02922077922077922,0.012987012987012988,0.032467532467532464,0.04220779220779221,0.05844155844155844,0.04220779220779221,0.00974025974025974,0.06493506493506493,0.022727272727272728,0.016233766233766232,0.00974025974025974,0.04220779220779221,0.025974025974025976,0.012987012987012988,0.10064935064935066,0.06493506493506493,0.006493506493506494,0.07467532467532467,0.08766233766233766,1.0,0.022727272727272728,0.09090909090909091,0.022727272727272728,0.10064935064935066,0.06818181818181818,0.025974025974025976,0.006493506493506494,0.01948051948051948,0.045454545454545456,0.025974025974025976,0.0,0.04220779220779221,0.0,0.0
HOXC13 TARGET GENES,0.06557377049180328,0.00819672131147541,0.07377049180327869,0.04918032786885246,0.07377049180327869,0.0,0.040983606557377046,0.02459016393442623,0.07377049180327869,0.02459016393442623,0.040983606557377046,0.06557377049180328,0.02459016393442623,0.10655737704918032,0.0,0.040983606557377046,0.03278688524590164,0.06557377049180328,0.03278688524590164,0.04918032786885246,0.12295081967213115,0.040983606557377046,0.0,0.09016393442622951,0.07377049180327869,0.05737704918032787,1.0,0.08196721311475409,0.03278688524590164,0.09016393442622951,0.05737704918032787,0.02459016393442623,0.01639344262295082,0.0,0.0,0.00819672131147541,0.0,0.03278688524590164,0.00819672131147541,0.0
MYBL1 TARGET GENES,0.05394190871369295,0.008298755186721992,0.04149377593360996,0.04979253112033195,0.058091286307053944,0.006224066390041493,0.022821576763485476,0.004149377593360996,0.043568464730290454,0.01867219917012448,0.04979253112033195,0.026970954356846474,0.02074688796680498,0.043568464730290454,0.02074688796680498,0.03734439834024896,0.02074688796680498,0.022821576763485476,0.016597510373443983,0.03941908713692946,0.03941908713692946,0.029045643153526972,0.006224066390041493,0.07468879668049792,0.04149377593360996,0.058091286307053944,0.02074688796680498,1.0,0.035269709543568464,0.043568464730290454,0.07676348547717843,0.04149377593360996,0.008298755186721992,0.012448132780082987,0.02074688796680498,0.026970954356846474,0.004149377593360996,0.026970954356846474,0.01037344398340249,0.0
CREB3L2 TARGET GENES,0.08,0.0,0.013333333333333334,0.02666666666666667,0.07333333333333333,0.0,0.03333333333333333,0.0,0.08666666666666667,0.08,0.16,0.12666666666666668,0.08,0.06666666666666667,0.04,0.02666666666666667,0.006666666666666667,0.06666666666666667,0.08,0.006666666666666667,0.09333333333333334,0.04666666666666667,0.0,0.06,0.07333333333333333,0.04666666666666667,0.02666666666666667,0.11333333333333333,1.0,0.07333333333333333,0.11333333333333333,0.02,0.006666666666666667,0.006666666666666667,0.013333333333333334,0.02,0.0,0.02,0.0,0.0
HOXA10 TARGET GENES,0.05090909090909091,0.0036363636363636364,0.06909090909090909,0.05454545454545454,0.09454545454545454,0.0036363636363636364,0.01818181818181818,0.0,0.13090909090909092,0.05454545454545454,0.09818181818181818,0.03636363636363636,0.025454545454545455,0.07636363636363637,0.02909090909090909,0.01818181818181818,0.014545454545454545,0.02909090909090909,0.02909090909090909,0.03272727272727273,0.10545454545454545,0.03636363636363636,0.0036363636363636364,0.06545454545454546,0.09090909090909091,0.11272727272727273,0.04,0.07636363636363637,0.04,1.0,0.12363636363636364,0.025454545454545455,0.0036363636363636364,0.007272727272727273,0.04,0.014545454545454545,0.0,0.03636363636363636,0.014545454545454545,0.0036363636363636364
FOXO4 TARGET GENES,0.06201550387596899,0.002583979328165375,0.04392764857881137,0.020671834625323,0.05167958656330749,0.00516795865633075,0.028423772609819122,0.0103359173126615,0.06976744186046512,0.041343669250646,0.06201550387596899,0.04392764857881137,0.012919896640826873,0.08527131782945736,0.0103359173126615,0.03359173126614987,0.020671834625323,0.028423772609819122,0.046511627906976744,0.03875968992248062,0.07751937984496124,0.023255813953488372,0.007751937984496124,0.06201550387596899,0.056847545219638244,0.05426356589147287,0.01808785529715762,0.09560723514211886,0.04392764857881137,0.08785529715762273,1.0,0.03875968992248062,0.002583979328165375,0.0103359173126615,0.023255813953488372,0.031007751937984496,0.002583979328165375,0.020671834625323,0.002583979328165375,0.00516795865633075
SRPK1 TARGET GENES,0.03712871287128713,0.0024752475247524753,0.03712871287128713,0.03217821782178218,0.04950495049504951,0.0024752475247524753,0.019801980198019802,0.0024752475247524753,0.03217821782178218,0.022277227722772276,0.027227722772277228,0.027227722772277228,0.022277227722772276,0.0594059405940594,0.017326732673267328,0.12623762376237624,0.024752475247524754,0.04455445544554455,0.01485148514851485,0.0297029702970297,0.024752475247524754,0.024752475247524754,0.0,0.03712871287128713,0.027227722772277228,0.019801980198019802,0.007425742574257425,0.04950495049504951,0.007425742574257425,0.017326732673267328,0.03712871287128713,1.0,0.0049504950495049506,0.007425742574257425,0.01485148514851485,0.009900990099009901,0.0024752475247524753,0.012376237623762377,0.007425742574257425,0.0
ZNF704 TARGET GENES,0.07042253521126761,0.0,0.028169014084507043,0.028169014084507043,0.04225352112676056,0.0,0.04225352112676056,0.014084507042253521,0.04225352112676056,0.08450704225352113,0.09859154929577464,0.028169014084507043,0.0,0.07042253521126761,0.028169014084507043,0.028169014084507043,0.014084507042253521,0.014084507042253521,0.028169014084507043,0.0,0.04225352112676056,0.0,0.0,0.028169014084507043,0.014084507042253521,0.028169014084507043,0.028169014084507043,0.056338028169014086,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.028169014084507043,1.0,0.014084507042253521,0.028169014084507043,0.014084507042253521,0.0,0.0,0.0,0.0
MAML1 TARGET GENES,0.024615384615384615,0.0,0.012307692307692308,0.009230769230769232,0.024615384615384615,0.003076923076923077,0.006153846153846154,0.009230769230769232,0.009230769230769232,0.012307692307692308,0.015384615384615385,0.006153846153846154,0.006153846153846154,0.021538461538461538,0.009230769230769232,0.021538461538461538,0.012307692307692308,0.033846153846153845,0.015384615384615385,0.009230769230769232,0.015384615384615385,0.012307692307692308,0.0,0.012307692307692308,0.012307692307692308,0.018461538461538463,0.0,0.018461538461538463,0.003076923076923077,0.006153846153846154,0.012307692307692308,0.009230769230769232,0.003076923076923077,1.0,0.08,0.024615384615384615,0.006153846153846154,0.015384615384615385,0.003076923076923077,0.018461538461538463
CSHL1 TARGET GENES,0.05533596837944664,0.007905138339920948,0.02766798418972332,0.02766798418972332,0.043478260869565216,0.007905138339920948,0.02766798418972332,0.019762845849802372,0.05928853754940711,0.04743083003952569,0.04743083003952569,0.023715415019762844,0.023715415019762844,0.039525691699604744,0.019762845849802372,0.019762845849802372,0.015810276679841896,0.039525691699604744,0.003952569169960474,0.02766798418972332,0.023715415019762844,0.015810276679841896,0.0,0.05533596837944664,0.019762845849802372,0.05533596837944664,0.0,0.039525691699604744,0.007905138339920948,0.043478260869565216,0.03557312252964427,0.023715415019762844,0.007905138339920948,0.10276679841897234,1.0,0.015810276679841896,0.003952569169960474,0.03557312252964427,0.003952569169960474,0.003952569169960474
NR1H4 TARGET GENES,0.013793103448275862,0.0,0.013793103448275862,0.02528735632183908,0.013793103448275862,0.006896551724137931,0.016091954022988506,0.004597701149425287,0.02528735632183908,0.011494252873563218,0.02528735632183908,0.009195402298850575,0.016091954022988506,0.01839080459770115,0.004597701149425287,0.0022988505747126436,0.009195402298850575,0.004597701149425287,0.009195402298850575,0.009195402298850575,0.03218390804597701,0.004597701149425287,0.0,0.016091954022988506,0.01839080459770115,0.01839080459770115,0.0022988505747126436,0.029885057471264367,0.006896551724137931,0.009195402298850575,0.027586206896551724,0.009195402298850575,0.0022988505747126436,0.01839080459770115,0.009195402298850575,1.0,0.004597701149425287,0.022988505747126436,0.0,0.009195402298850575
LMNB2 TARGET GENES,0.0,0.0,0.0,0.05714285714285714,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.05714285714285714,0.05714285714285714,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.0,0.02857142857142857,0.0,0.0,0.05714285714285714,0.0,0.0,0.0,0.05714285714285714,0.0,0.0,0.02857142857142857,0.02857142857142857,0.0,0.05714285714285714,0.02857142857142857,0.05714285714285714,1.0,0.02857142857142857,0.0,0.0
