Pathway,MYC TARGETS V1,MYC TARGETS V2,E2F TARGETS,G2M CHECKPOINT,OXIDATIVE PHOSPHORYLATION,ADIPOGENESIS,FATTY ACID METABOLISM,HEME METABOLISM,TNFA SIGNALING VIA NFKB,INFLAMMATORY RESPONSE,IL6 JAK STAT3 SIGNALING,IL2 STAT5 SIGNALING,KRAS SIGNALING UP,COMPLEMENT,COAGULATION,EPITHELIAL MESENCHYMAL TRANSITION,UV RESPONSE DN,TGF BETA SIGNALING,MYOGENESIS,HYPOXIA,GLYCOLYSIS,MTORC1 SIGNALING,UNFOLDED PROTEIN RESPONSE,APOPTOSIS,P53 PATHWAY,UV RESPONSE UP,ESTROGEN RESPONSE EARLY,ESTROGEN RESPONSE LATE,INTERFERON GAMMA RESPONSE,INTERFERON ALPHA RESPONSE,DNA REPAIR,APICAL JUNCTION,HEDGEHOG SIGNALING,MITOTIC SPINDLE
UV RESPONSE DN,0.006944444444444444,0.006944444444444444,0.013888888888888888,0.0625,0.0,0.020833333333333332,0.013888888888888888,0.013888888888888888,0.08333333333333333,0.10416666666666667,0.006944444444444444,0.034722222222222224,0.013888888888888888,0.020833333333333332,0.027777777777777776,0.1388888888888889,1.0,0.041666666666666664,0.027777777777777776,0.10416666666666667,0.034722222222222224,0.04861111111111111,0.0,0.04861111111111111,0.006944444444444444,0.0,0.04861111111111111,0.027777777777777776,0.013888888888888888,0.0,0.0,0.0625,0.013888888888888888,0.034722222222222224
TGF BETA SIGNALING,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.18518518518518517,0.037037037037037035,0.037037037037037035,0.09259259259259259,0.07407407407407407,0.018518518518518517,0.07407407407407407,0.09259259259259259,0.1111111111111111,1.0,0.037037037037037035,0.05555555555555555,0.0,0.037037037037037035,0.0,0.09259259259259259,0.05555555555555555,0.07407407407407407,0.05555555555555555,0.07407407407407407,0.0,0.0,0.0,0.037037037037037035,0.0,0.037037037037037035
MYOGENESIS,0.005,0.0,0.005,0.01,0.005,0.045,0.02,0.015,0.025,0.02,0.01,0.03,0.025,0.025,0.025,0.1,0.02,0.01,1.0,0.065,0.04,0.025,0.01,0.045,0.065,0.015,0.05,0.03,0.01,0.0,0.005,0.06,0.01,0.02
HYPOXIA,0.01,0.005,0.01,0.015,0.01,0.055,0.035,0.035,0.145,0.055,0.02,0.08,0.055,0.055,0.025,0.09,0.075,0.015,0.065,1.0,0.325,0.155,0.04,0.075,0.07,0.04,0.065,0.06,0.04,0.005,0.0,0.02,0.015,0.005
GLYCOLYSIS,0.025,0.005,0.035,0.035,0.04,0.05,0.065,0.03,0.025,0.025,0.015,0.025,0.03,0.025,0.01,0.07,0.025,0.0,0.04,0.325,1.0,0.135,0.03,0.045,0.025,0.015,0.04,0.04,0.015,0.005,0.005,0.03,0.01,0.01
MTORC1 SIGNALING,0.095,0.045,0.07,0.045,0.035,0.07,0.05,0.05,0.05,0.025,0.005,0.045,0.025,0.025,0.015,0.01,0.035,0.01,0.025,0.155,0.135,1.0,0.085,0.05,0.055,0.055,0.05,0.055,0.04,0.015,0.015,0.02,0.005,0.02
UNFOLDED PROTEIN RESPONSE,0.08849557522123894,0.04424778761061947,0.05309734513274336,0.05309734513274336,0.008849557522123894,0.02654867256637168,0.0,0.008849557522123894,0.04424778761061947,0.008849557522123894,0.0,0.008849557522123894,0.008849557522123894,0.017699115044247787,0.0,0.008849557522123894,0.0,0.0,0.017699115044247787,0.07079646017699115,0.05309734513274336,0.1504424778761062,1.0,0.017699115044247787,0.02654867256637168,0.04424778761061947,0.04424778761061947,0.035398230088495575,0.02654867256637168,0.0,0.0,0.008849557522123894,0.008849557522123894,0.017699115044247787
APOPTOSIS,0.012422360248447204,0.0,0.043478260869565216,0.024844720496894408,0.037267080745341616,0.043478260869565216,0.012422360248447204,0.031055900621118012,0.18012422360248448,0.09937888198757763,0.07453416149068323,0.08074534161490683,0.055900621118012424,0.08695652173913043,0.055900621118012424,0.11180124223602485,0.043478260869565216,0.031055900621118012,0.055900621118012424,0.09316770186335403,0.055900621118012424,0.062111801242236024,0.012422360248447204,1.0,0.13043478260869565,0.12422360248447205,0.037267080745341616,0.055900621118012424,0.11180124223602485,0.043478260869565216,0.012422360248447204,0.012422360248447204,0.0,0.043478260869565216
P53 PATHWAY,0.015,0.0,0.035,0.005,0.02,0.02,0.015,0.02,0.13,0.06,0.035,0.045,0.045,0.02,0.01,0.035,0.005,0.015,0.065,0.07,0.025,0.055,0.015,0.105,1.0,0.065,0.04,0.045,0.055,0.03,0.05,0.02,0.005,0.0
UV RESPONSE UP,0.0379746835443038,0.0,0.0189873417721519,0.0189873417721519,0.0379746835443038,0.0379746835443038,0.056962025316455694,0.056962025316455694,0.12658227848101267,0.06329113924050633,0.03164556962025317,0.056962025316455694,0.0189873417721519,0.06329113924050633,0.0189873417721519,0.04430379746835443,0.0,0.02531645569620253,0.0189873417721519,0.05063291139240506,0.0189873417721519,0.06962025316455696,0.03164556962025317,0.12658227848101267,0.08227848101265822,1.0,0.056962025316455694,0.06962025316455696,0.056962025316455694,0.0189873417721519,0.0189873417721519,0.012658227848101266,0.0,0.012658227848101266
ESTROGEN RESPONSE EARLY,0.005,0.015,0.005,0.015,0.0,0.02,0.015,0.02,0.065,0.025,0.015,0.06,0.01,0.01,0.005,0.03,0.035,0.015,0.05,0.065,0.04,0.05,0.025,0.03,0.04,0.045,1.0,0.505,0.005,0.005,0.005,0.015,0.005,0.015
ESTROGEN RESPONSE LATE,0.01,0.015,0.02,0.04,0.015,0.04,0.03,0.01,0.06,0.005,0.02,0.04,0.04,0.03,0.03,0.04,0.02,0.02,0.03,0.06,0.04,0.055,0.02,0.045,0.045,0.055,0.505,1.0,0.015,0.005,0.005,0.02,0.0,0.02
INTERFERON GAMMA RESPONSE,0.01,0.0,0.01,0.015,0.005,0.01,0.01,0.005,0.135,0.185,0.11,0.095,0.05,0.115,0.025,0.025,0.01,0.0,0.01,0.04,0.015,0.04,0.015,0.09,0.055,0.045,0.005,0.015,1.0,0.365,0.015,0.02,0.005,0.005
INTERFERON ALPHA RESPONSE,0.0,0.0,0.0,0.0,0.0,0.0,0.020618556701030927,0.0,0.09278350515463918,0.17525773195876287,0.08247422680412371,0.07216494845360824,0.020618556701030927,0.08247422680412371,0.010309278350515464,0.010309278350515464,0.0,0.0,0.0,0.010309278350515464,0.010309278350515464,0.030927835051546393,0.0,0.07216494845360824,0.061855670103092786,0.030927835051546393,0.010309278350515464,0.010309278350515464,0.7525773195876289,1.0,0.010309278350515464,0.0,0.0,0.0
DNA REPAIR,0.05333333333333334,0.0,0.1,0.013333333333333334,0.02666666666666667,0.013333333333333334,0.0,0.013333333333333334,0.006666666666666667,0.013333333333333334,0.0,0.02,0.0,0.006666666666666667,0.006666666666666667,0.0,0.0,0.0,0.006666666666666667,0.0,0.006666666666666667,0.02,0.0,0.013333333333333334,0.06666666666666667,0.02,0.006666666666666667,0.006666666666666667,0.02,0.006666666666666667,1.0,0.006666666666666667,0.0,0.006666666666666667
APICAL JUNCTION,0.0,0.0,0.005,0.01,0.0,0.01,0.015,0.005,0.02,0.015,0.0,0.01,0.035,0.03,0.04,0.085,0.045,0.01,0.06,0.02,0.03,0.02,0.005,0.01,0.02,0.01,0.015,0.02,0.02,0.0,0.005,1.0,0.02,0.07
HEDGEHOG SIGNALING,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.08333333333333333,0.05555555555555555,0.0,0.05555555555555555,0.08333333333333333,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.0,0.027777777777777776,0.0,0.027777777777777776,0.0,0.027777777777777776,0.0,0.0,0.1111111111111111,1.0,0.1111111111111111
MITOTIC SPINDLE,0.005025125628140704,0.005025125628140704,0.09547738693467336,0.19597989949748743,0.010050251256281407,0.005025125628140704,0.0,0.01507537688442211,0.010050251256281407,0.010050251256281407,0.0,0.010050251256281407,0.010050251256281407,0.005025125628140704,0.005025125628140704,0.01507537688442211,0.02512562814070352,0.010050251256281407,0.020100502512562814,0.005025125628140704,0.010050251256281407,0.020100502512562814,0.010050251256281407,0.035175879396984924,0.0,0.010050251256281407,0.01507537688442211,0.020100502512562814,0.005025125628140704,0.0,0.005025125628140704,0.07035175879396985,0.020100502512562814,1.0
