Pathway,TBK1.DF DN,VEGF A UP.V1 DN,PGF UP.V1 UP,MTOR UP.N4.V1 DN,JAK2 DN.V1 DN,TBK1.DF UP,GLI1 UP.V1 DN,MEK UP.V1 DN,ERBB2 UP.V1 DN,EGFR UP.V1 DN,RAF UP.V1 DN,NRL DN.V1 DN,KRAS.KIDNEY UP.V1 UP,CAMP UP.V1 DN,TGFB UP.V1 UP,ESC J1 UP LATE.V1 UP,EIF4E DN,ATF2 UP.V1 DN,SRC UP.V1 UP,MYC UP.V1 UP,RPS14 DN.V1 DN,PGF UP.V1 DN,PRC2 SUZ12 UP.V1 DN,PRC2 EZH2 UP.V1 DN,PRC2 EED DN.V1 DN,CSR EARLY UP.V1 DN,KRAS.KIDNEY UP.V1 DN,ALK DN.V1 DN,IL15 UP.V1 UP,IL21 UP.V1 UP,ATM DN.V1 UP,P53 DN.V2 UP,BCAT BILD ET AL DN,EGFR UP.V1 UP,LTE2 UP.V1 UP
KRAS.KIDNEY UP.V1 UP,0.007142857142857143,0.014285714285714285,0.014285714285714285,0.007142857142857143,0.02857142857142857,0.007142857142857143,0.0,0.02142857142857143,0.02142857142857143,0.03571428571428571,0.02142857142857143,0.02142857142857143,1.0,0.05,0.02857142857142857,0.02142857142857143,0.007142857142857143,0.05714285714285714,0.007142857142857143,0.007142857142857143,0.0,0.007142857142857143,0.007142857142857143,0.0,0.0,0.014285714285714285,0.0,0.02142857142857143,0.007142857142857143,0.014285714285714285,0.014285714285714285,0.0,0.007142857142857143,0.02857142857142857,0.02142857142857143
CAMP UP.V1 DN,0.01507537688442211,0.020100502512562814,0.005025125628140704,0.005025125628140704,0.01507537688442211,0.04020100502512563,0.005025125628140704,0.02512562814070352,0.03015075376884422,0.020100502512562814,0.03015075376884422,0.020100502512562814,0.035175879396984924,1.0,0.035175879396984924,0.03015075376884422,0.010050251256281407,0.01507537688442211,0.0,0.01507537688442211,0.020100502512562814,0.03015075376884422,0.010050251256281407,0.01507537688442211,0.02512562814070352,0.005025125628140704,0.0,0.005025125628140704,0.005025125628140704,0.01507537688442211,0.005025125628140704,0.010050251256281407,0.005025125628140704,0.02512562814070352,0.010050251256281407
TGFB UP.V1 UP,0.06349206349206349,0.010582010582010581,0.005291005291005291,0.015873015873015872,0.010582010582010581,0.05291005291005291,0.0,0.031746031746031744,0.031746031746031744,0.031746031746031744,0.031746031746031744,0.010582010582010581,0.021164021164021163,0.037037037037037035,1.0,0.037037037037037035,0.0,0.026455026455026454,0.0,0.005291005291005291,0.015873015873015872,0.010582010582010581,0.031746031746031744,0.026455026455026454,0.015873015873015872,0.0,0.021164021164021163,0.010582010582010581,0.047619047619047616,0.015873015873015872,0.021164021164021163,0.015873015873015872,0.005291005291005291,0.08994708994708994,0.026455026455026454
ESC J1 UP LATE.V1 UP,0.03763440860215054,0.005376344086021506,0.010752688172043012,0.0,0.005376344086021506,0.03225806451612903,0.0,0.016129032258064516,0.010752688172043012,0.016129032258064516,0.026881720430107527,0.010752688172043012,0.016129032258064516,0.03225806451612903,0.03763440860215054,1.0,0.021505376344086023,0.021505376344086023,0.005376344086021506,0.0,0.0,0.010752688172043012,0.016129032258064516,0.005376344086021506,0.0,0.0,0.005376344086021506,0.010752688172043012,0.03763440860215054,0.021505376344086023,0.03225806451612903,0.010752688172043012,0.0,0.06451612903225806,0.03225806451612903
EIF4E DN,0.01,0.02,0.05,0.0,0.0,0.06,0.0,0.02,0.02,0.0,0.02,0.0,0.01,0.02,0.0,0.04,1.0,0.07,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.06,0.03
ATF2 UP.V1 DN,0.032432432432432434,0.005405405405405406,0.05405405405405406,0.010810810810810811,0.016216216216216217,0.043243243243243246,0.0,0.02702702702702703,0.010810810810810811,0.02702702702702703,0.05945945945945946,0.016216216216216217,0.043243243243243246,0.016216216216216217,0.02702702702702703,0.021621621621621623,0.03783783783783784,1.0,0.016216216216216217,0.02702702702702703,0.02702702702702703,0.03783783783783784,0.021621621621621623,0.02702702702702703,0.05405405405405406,0.005405405405405406,0.021621621621621623,0.005405405405405406,0.043243243243243246,0.05405405405405406,0.032432432432432434,0.021621621621621623,0.005405405405405406,0.05405405405405406,0.04864864864864865
SRC UP.V1 UP,0.0056179775280898875,0.0,0.0,0.0,0.011235955056179775,0.0,0.0,0.011235955056179775,0.0056179775280898875,0.0056179775280898875,0.011235955056179775,0.0056179775280898875,0.0056179775280898875,0.0,0.0,0.0056179775280898875,0.0056179775280898875,0.016853932584269662,1.0,0.09550561797752809,0.0056179775280898875,0.011235955056179775,0.0,0.0056179775280898875,0.02247191011235955,0.0,0.016853932584269662,0.011235955056179775,0.033707865168539325,0.016853932584269662,0.028089887640449437,0.011235955056179775,0.0,0.0,0.011235955056179775
MYC UP.V1 UP,0.016574585635359115,0.011049723756906077,0.0055248618784530384,0.011049723756906077,0.0055248618784530384,0.0055248618784530384,0.0,0.011049723756906077,0.03314917127071823,0.011049723756906077,0.011049723756906077,0.0055248618784530384,0.0055248618784530384,0.016574585635359115,0.0055248618784530384,0.0,0.0055248618784530384,0.027624309392265192,0.09392265193370165,1.0,0.055248618784530384,0.011049723756906077,0.016574585635359115,0.016574585635359115,0.0055248618784530384,0.0,0.0,0.011049723756906077,0.06629834254143646,0.016574585635359115,0.016574585635359115,0.0,0.0,0.0,0.0055248618784530384
RPS14 DN.V1 DN,0.026881720430107527,0.04838709677419355,0.021505376344086023,0.005376344086021506,0.005376344086021506,0.010752688172043012,0.0,0.005376344086021506,0.03763440860215054,0.026881720430107527,0.016129032258064516,0.005376344086021506,0.0,0.021505376344086023,0.016129032258064516,0.0,0.005376344086021506,0.026881720430107527,0.005376344086021506,0.053763440860215055,1.0,0.026881720430107527,0.016129032258064516,0.05913978494623656,0.07526881720430108,0.005376344086021506,0.005376344086021506,0.010752688172043012,0.026881720430107527,0.010752688172043012,0.010752688172043012,0.005376344086021506,0.0,0.016129032258064516,0.016129032258064516
PGF UP.V1 DN,0.0,0.0,0.0,0.010471204188481676,0.0,0.010471204188481676,0.0,0.0,0.0,0.005235602094240838,0.02617801047120419,0.005235602094240838,0.005235602094240838,0.031413612565445025,0.010471204188481676,0.010471204188481676,0.005235602094240838,0.03664921465968586,0.010471204188481676,0.010471204188481676,0.02617801047120419,1.0,0.02617801047120419,0.015706806282722512,0.005235602094240838,0.005235602094240838,0.015706806282722512,0.03664921465968586,0.02617801047120419,0.02617801047120419,0.0,0.041884816753926704,0.005235602094240838,0.010471204188481676,0.010471204188481676
PRC2 SUZ12 UP.V1 DN,0.010471204188481676,0.010471204188481676,0.02617801047120419,0.020942408376963352,0.005235602094240838,0.015706806282722512,0.0,0.0,0.005235602094240838,0.005235602094240838,0.005235602094240838,0.005235602094240838,0.005235602094240838,0.010471204188481676,0.031413612565445025,0.015706806282722512,0.0,0.020942408376963352,0.0,0.015706806282722512,0.015706806282722512,0.02617801047120419,1.0,0.11518324607329843,0.08376963350785341,0.015706806282722512,0.015706806282722512,0.020942408376963352,0.020942408376963352,0.031413612565445025,0.02617801047120419,0.015706806282722512,0.0,0.010471204188481676,0.010471204188481676
PRC2 EZH2 UP.V1 DN,0.03125,0.06770833333333333,0.010416666666666666,0.020833333333333332,0.010416666666666666,0.015625,0.0,0.015625,0.036458333333333336,0.020833333333333332,0.010416666666666666,0.010416666666666666,0.0,0.015625,0.026041666666666668,0.005208333333333333,0.0,0.026041666666666668,0.005208333333333333,0.015625,0.057291666666666664,0.015625,0.11458333333333333,1.0,0.171875,0.026041666666666668,0.03125,0.005208333333333333,0.041666666666666664,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.015625,0.005208333333333333
PRC2 EED DN.V1 DN,0.0051813471502590676,0.03626943005181347,0.0,0.0,0.0051813471502590676,0.02072538860103627,0.0,0.0,0.0,0.0,0.0,0.0051813471502590676,0.0,0.025906735751295335,0.015544041450777202,0.0,0.0051813471502590676,0.05181347150259067,0.02072538860103627,0.0051813471502590676,0.07253886010362694,0.0051813471502590676,0.08290155440414508,0.17098445595854922,1.0,0.015544041450777202,0.010362694300518135,0.031088082901554404,0.015544041450777202,0.025906735751295335,0.04145077720207254,0.025906735751295335,0.0051813471502590676,0.0051813471502590676,0.0
CSR EARLY UP.V1 DN,0.031746031746031744,0.0,0.007936507936507936,0.031746031746031744,0.023809523809523808,0.015873015873015872,0.0,0.015873015873015872,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.007936507936507936,0.015873015873015872,0.007936507936507936,0.0,0.0,0.007936507936507936,0.007936507936507936,0.0,0.0,0.007936507936507936,0.007936507936507936,0.023809523809523808,0.03968253968253968,0.023809523809523808,1.0,0.007936507936507936,0.0,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.0,0.007936507936507936,0.015873015873015872
KRAS.KIDNEY UP.V1 DN,0.0,0.022222222222222223,0.0,0.014814814814814815,0.014814814814814815,0.0,0.0,0.014814814814814815,0.014814814814814815,0.014814814814814815,0.0,0.0,0.0,0.0,0.02962962962962963,0.007407407407407408,0.0,0.02962962962962963,0.022222222222222223,0.0,0.007407407407407408,0.022222222222222223,0.022222222222222223,0.044444444444444446,0.014814814814814815,0.007407407407407408,1.0,0.05925925925925926,0.022222222222222223,0.037037037037037035,0.014814814814814815,0.014814814814814815,0.0,0.0,0.007407407407407408
ALK DN.V1 DN,0.014388489208633094,0.0,0.0,0.007194244604316547,0.007194244604316547,0.014388489208633094,0.0,0.04316546762589928,0.04316546762589928,0.03597122302158273,0.014388489208633094,0.014388489208633094,0.02158273381294964,0.007194244604316547,0.014388489208633094,0.014388489208633094,0.007194244604316547,0.007194244604316547,0.014388489208633094,0.014388489208633094,0.014388489208633094,0.050359712230215826,0.02877697841726619,0.007194244604316547,0.04316546762589928,0.0,0.05755395683453238,1.0,0.02877697841726619,0.050359712230215826,0.03597122302158273,0.03597122302158273,0.0,0.007194244604316547,0.014388489208633094
IL15 UP.V1 UP,0.015873015873015872,0.037037037037037035,0.010582010582010581,0.005291005291005291,0.005291005291005291,0.037037037037037035,0.0,0.010582010582010581,0.015873015873015872,0.021164021164021163,0.026455026455026454,0.015873015873015872,0.005291005291005291,0.005291005291005291,0.047619047619047616,0.037037037037037035,0.0,0.042328042328042326,0.031746031746031744,0.06349206349206349,0.026455026455026454,0.026455026455026454,0.021164021164021163,0.042328042328042326,0.015873015873015872,0.005291005291005291,0.015873015873015872,0.021164021164021163,1.0,0.18518518518518517,0.010582010582010581,0.021164021164021163,0.005291005291005291,0.05291005291005291,0.021164021164021163
IL21 UP.V1 UP,0.010752688172043012,0.016129032258064516,0.010752688172043012,0.0,0.016129032258064516,0.021505376344086023,0.0,0.0,0.0,0.005376344086021506,0.0,0.0,0.010752688172043012,0.016129032258064516,0.016129032258064516,0.021505376344086023,0.005376344086021506,0.053763440860215055,0.016129032258064516,0.016129032258064516,0.010752688172043012,0.026881720430107527,0.03225806451612903,0.021505376344086023,0.026881720430107527,0.005376344086021506,0.026881720430107527,0.03763440860215054,0.1881720430107527,1.0,0.021505376344086023,0.026881720430107527,0.0,0.010752688172043012,0.021505376344086023
ATM DN.V1 UP,0.0,0.02054794520547945,0.02054794520547945,0.00684931506849315,0.0136986301369863,0.02054794520547945,0.0,0.00684931506849315,0.00684931506849315,0.00684931506849315,0.02054794520547945,0.00684931506849315,0.0136986301369863,0.00684931506849315,0.0273972602739726,0.0410958904109589,0.0,0.0410958904109589,0.03424657534246575,0.02054794520547945,0.0136986301369863,0.0,0.03424657534246575,0.0273972602739726,0.0547945205479452,0.00684931506849315,0.0136986301369863,0.03424657534246575,0.0136986301369863,0.0273972602739726,1.0,0.0547945205479452,0.0,0.0,0.0136986301369863
P53 DN.V2 UP,0.02027027027027027,0.0,0.0,0.013513513513513514,0.006756756756756757,0.033783783783783786,0.0,0.0,0.0,0.0,0.0,0.006756756756756757,0.0,0.013513513513513514,0.02027027027027027,0.013513513513513514,0.006756756756756757,0.02702702702702703,0.013513513513513514,0.0,0.006756756756756757,0.05405405405405406,0.02027027027027027,0.02702702702702703,0.033783783783783786,0.006756756756756757,0.013513513513513514,0.033783783783783786,0.02702702702702703,0.033783783783783786,0.05405405405405406,1.0,0.006756756756756757,0.02027027027027027,0.0
BCAT BILD ET AL DN,0.06521739130434782,0.06521739130434782,0.043478260869565216,0.021739130434782608,0.0,0.08695652173913043,0.0,0.021739130434782608,0.06521739130434782,0.0,0.0,0.0,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.021739130434782608,1.0,0.06521739130434782,0.06521739130434782
EGFR UP.V1 UP,0.06770833333333333,0.046875,0.036458333333333336,0.010416666666666666,0.0,0.08854166666666667,0.0,0.020833333333333332,0.010416666666666666,0.0,0.03125,0.015625,0.020833333333333332,0.026041666666666668,0.08854166666666667,0.0625,0.03125,0.052083333333333336,0.0,0.0,0.015625,0.010416666666666666,0.010416666666666666,0.015625,0.005208333333333333,0.005208333333333333,0.0,0.005208333333333333,0.052083333333333336,0.010416666666666666,0.0,0.015625,0.015625,1.0,0.20833333333333334
LTE2 UP.V1 UP,0.047872340425531915,0.031914893617021274,0.010638297872340425,0.010638297872340425,0.0,0.10106382978723404,0.010638297872340425,0.031914893617021274,0.010638297872340425,0.005319148936170213,0.026595744680851064,0.0,0.015957446808510637,0.010638297872340425,0.026595744680851064,0.031914893617021274,0.015957446808510637,0.047872340425531915,0.010638297872340425,0.005319148936170213,0.015957446808510637,0.010638297872340425,0.010638297872340425,0.005319148936170213,0.0,0.010638297872340425,0.005319148936170213,0.010638297872340425,0.02127659574468085,0.02127659574468085,0.010638297872340425,0.0,0.015957446808510637,0.2127659574468085,1.0
