Pathway,PGM3 TARGET GENES,PSMB5 TARGET GENES,GTF2E2 TARGET GENES,NPM1 TARGET GENES,ZNF830 TARGET GENES,ZZZ3 TARGET GENES,CDC5L TARGET GENES,MCM3 TARGET GENES,ZNF584 TARGET GENES,PRMT5 TARGET GENES,TAFAZZIN TARGET GENES,ZNF623 TARGET GENES,ZNF101 TARGET GENES,ZNF558 TARGET GENES,ZNF547 TARGET GENES,ZSCAN5C TARGET GENES,TSHZ1 TARGET GENES,ZNF524 TARGET GENES,ALKBH3 TARGET GENES,ZNF331 TARGET GENES,CASP3 TARGET GENES,HAND1 TARGET GENES,ZNF33A TARGET GENES,RARB TARGET GENES,FOXR2 TARGET GENES,ZNF354B TARGET GENES,ZNF704 TARGET GENES,ZNF585B TARGET GENES,ZNF223 TARGET GENES,ARID3B TARGET GENES,SRPK1 TARGET GENES,ZNF236 TARGET GENES,MYBL1 TARGET GENES,ZNF581 TARGET GENES,ZFP3 TARGET GENES,ZMYM2 TARGET GENES,FOXQ1 TARGET GENES,EBNA1BP2 TARGET GENES,TASOR TARGET GENES,TERF1 TARGET GENES
TAFAZZIN TARGET GENES,0.028688524590163935,0.01639344262295082,0.018442622950819672,0.014344262295081968,0.010245901639344262,0.01639344262295082,0.018442622950819672,0.018442622950819672,0.02459016393442623,0.02663934426229508,1.0,0.030737704918032786,0.040983606557377046,0.02459016393442623,0.036885245901639344,0.006147540983606557,0.022540983606557378,0.02459016393442623,0.028688524590163935,0.012295081967213115,0.0,0.055327868852459015,0.010245901639344262,0.0,0.014344262295081968,0.014344262295081968,0.006147540983606557,0.00819672131147541,0.02459016393442623,0.012295081967213115,0.010245901639344262,0.010245901639344262,0.030737704918032786,0.010245901639344262,0.01639344262295082,0.012295081967213115,0.006147540983606557,0.030737704918032786,0.01639344262295082,0.004098360655737705
ZNF623 TARGET GENES,0.02494802494802495,0.014553014553014554,0.018711018711018712,0.033264033264033266,0.031185031185031187,0.033264033264033266,0.031185031185031187,0.02494802494802495,0.02079002079002079,0.002079002079002079,0.031185031185031187,1.0,0.29313929313929316,0.1600831600831601,0.06444906444906445,0.012474012474012475,0.062370062370062374,0.05197505197505198,0.033264033264033266,0.04158004158004158,0.0,0.029106029106029108,0.029106029106029108,0.0,0.006237006237006237,0.02494802494802495,0.012474012474012475,0.006237006237006237,0.04365904365904366,0.02286902286902287,0.02286902286902287,0.014553014553014554,0.010395010395010396,0.029106029106029108,0.0893970893970894,0.008316008316008316,0.0,0.02079002079002079,0.014553014553014554,0.008316008316008316
ZNF101 TARGET GENES,0.02231237322515213,0.02434077079107505,0.036511156186612576,0.04462474645030426,0.032454361054766734,0.04259634888438134,0.04056795131845842,0.05273833671399594,0.012170385395537525,0.002028397565922921,0.04056795131845842,0.28600405679513186,1.0,0.19878296146044624,0.07099391480730223,0.02028397565922921,0.07707910750507099,0.12373225152129817,0.11967545638945233,0.032454361054766734,0.0,0.030425963488843813,0.028397565922920892,0.0,0.02231237322515213,0.0486815415821501,0.014198782961460446,0.008113590263691683,0.05476673427991886,0.008113590263691683,0.038539553752535496,0.04259634888438134,0.034482758620689655,0.038539553752535496,0.0486815415821501,0.006085192697768763,0.0,0.02028397565922921,0.04259634888438134,0.02028397565922921
ZNF558 TARGET GENES,0.019169329073482427,0.03514376996805112,0.05750798722044728,0.038338658146964855,0.04472843450479233,0.0670926517571885,0.07028753993610223,0.03514376996805112,0.019169329073482427,0.022364217252396165,0.038338658146964855,0.24600638977635783,0.31309904153354634,1.0,0.11501597444089456,0.06070287539936102,0.15654952076677317,0.08306709265175719,0.09584664536741214,0.11182108626198083,0.0,0.025559105431309903,0.04472843450479233,0.0,0.019169329073482427,0.03514376996805112,0.012779552715654952,0.01597444089456869,0.07667731629392971,0.003194888178913738,0.038338658146964855,0.051118210862619806,0.03194888178913738,0.03194888178913738,0.10223642172523961,0.012779552715654952,0.003194888178913738,0.025559105431309903,0.022364217252396165,0.009584664536741214
ZNF547 TARGET GENES,0.04857142857142857,0.022857142857142857,0.025714285714285714,0.03142857142857143,0.014285714285714285,0.025714285714285714,0.011428571428571429,0.008571428571428572,0.02857142857142857,0.011428571428571429,0.05142857142857143,0.08857142857142856,0.1,0.10285714285714286,1.0,0.02857142857142857,0.04857142857142857,0.06,0.10571428571428572,0.08,0.008571428571428572,0.037142857142857144,0.025714285714285714,0.0,0.008571428571428572,0.011428571428571429,0.005714285714285714,0.011428571428571429,0.037142857142857144,0.005714285714285714,0.025714285714285714,0.014285714285714285,0.037142857142857144,0.02857142857142857,0.05142857142857143,0.008571428571428572,0.0,0.014285714285714285,0.025714285714285714,0.02
ZSCAN5C TARGET GENES,0.006578947368421052,0.019736842105263157,0.05921052631578947,0.013157894736842105,0.019736842105263157,0.013157894736842105,0.02631578947368421,0.006578947368421052,0.013157894736842105,0.006578947368421052,0.019736842105263157,0.039473684210526314,0.06578947368421052,0.125,0.06578947368421052,1.0,0.19736842105263158,0.08552631578947369,0.07236842105263158,0.07236842105263158,0.0,0.039473684210526314,0.03289473684210526,0.0,0.019736842105263157,0.02631578947368421,0.013157894736842105,0.02631578947368421,0.03289473684210526,0.02631578947368421,0.006578947368421052,0.05263157894736842,0.05921052631578947,0.013157894736842105,0.02631578947368421,0.019736842105263157,0.0,0.05263157894736842,0.0,0.046052631578947366
TSHZ1 TARGET GENES,0.025210084033613446,0.025210084033613446,0.04201680672268908,0.037815126050420166,0.025210084033613446,0.06722689075630252,0.06302521008403361,0.02100840336134454,0.025210084033613446,0.029411764705882353,0.046218487394957986,0.12605042016806722,0.15966386554621848,0.20588235294117646,0.07142857142857142,0.12605042016806722,1.0,0.15546218487394958,0.09663865546218488,0.07142857142857142,0.0,0.04201680672268908,0.05042016806722689,0.0,0.012605042016806723,0.029411764705882353,0.02100840336134454,0.01680672268907563,0.05042016806722689,0.008403361344537815,0.037815126050420166,0.07563025210084033,0.05042016806722689,0.03361344537815126,0.0546218487394958,0.012605042016806723,0.004201680672268907,0.025210084033613446,0.01680672268907563,0.02100840336134454
ZNF524 TARGET GENES,0.04788732394366197,0.030985915492957747,0.04225352112676056,0.05352112676056338,0.03380281690140845,0.04225352112676056,0.04788732394366197,0.02535211267605634,0.02535211267605634,0.005633802816901409,0.03380281690140845,0.07042253521126761,0.17183098591549295,0.07323943661971831,0.059154929577464786,0.036619718309859155,0.10422535211267606,1.0,0.14084507042253522,0.061971830985915494,0.0,0.04225352112676056,0.028169014084507043,0.0,0.01971830985915493,0.016901408450704224,0.01971830985915493,0.005633802816901409,0.03380281690140845,0.01971830985915493,0.02535211267605634,0.07323943661971831,0.036619718309859155,0.04507042253521127,0.01971830985915493,0.016901408450704224,0.005633802816901409,0.030985915492957747,0.016901408450704224,0.014084507042253521
ALKBH3 TARGET GENES,0.01805869074492099,0.045146726862302484,0.1309255079006772,0.060948081264108354,0.04740406320541761,0.056433408577878104,0.033860045146726865,0.01580135440180587,0.009029345372460496,0.002257336343115124,0.03160270880361174,0.03611738148984198,0.13318284424379231,0.06772009029345373,0.0835214446952596,0.024830699774266364,0.05191873589164785,0.11286681715575621,1.0,0.10609480812641084,0.0,0.022573363431151242,0.024830699774266364,0.0,0.03160270880361174,0.002257336343115124,0.01580135440180587,0.002257336343115124,0.020316027088036117,0.004514672686230248,0.024830699774266364,0.01580135440180587,0.05417607223476298,0.029345372460496615,0.01580135440180587,0.004514672686230248,0.002257336343115124,0.020316027088036117,0.01580135440180587,0.004514672686230248
ZNF331 TARGET GENES,0.021333333333333333,0.018666666666666668,0.05333333333333334,0.02666666666666667,0.013333333333333334,0.037333333333333336,0.029333333333333333,0.021333333333333333,0.018666666666666668,0.010666666666666666,0.016,0.05333333333333334,0.042666666666666665,0.09333333333333334,0.07466666666666667,0.029333333333333333,0.04533333333333334,0.058666666666666666,0.12533333333333332,1.0,0.0,0.018666666666666668,0.037333333333333336,0.0,0.010666666666666666,0.016,0.008,0.008,0.024,0.013333333333333334,0.02666666666666667,0.021333333333333333,0.050666666666666665,0.034666666666666665,0.034666666666666665,0.008,0.0026666666666666666,0.04,0.018666666666666668,0.010666666666666666
