Pathway,"VARIANT MUTATION CAUSED ABERRANT SNCA TO
ELECTRON TRANSFER IN COMPLEX I",REFERENCE ELECTRON TRANSFER IN COMPLEX I,"VARIANT MUTATION INACTIVATED PINK1 TO
ELECTRON TRANSFER IN COMPLEX I","VARIANT MUTATION CAUSED ABERRANT TDP43 TO
ELECTRON TRANSFER IN COMPLEX I","VARIANT MUTATION CAUSED ABERRANT ABETA TO
ELECTRON TRANSFER IN COMPLEX I","REFERENCE MITOCHONDRIAL COMPLEX UCP1 IN
THERMOGENESIS",REFERENCE ELECTRON TRANSFER IN COMPLEX IV,"VARIANT MUTATION CAUSED ABERRANT ABETA TO
ELECTRON TRANSFER IN COMPLEX IV","ENV FACTOR ARSENIC TO ELECTRON TRANSFER IN
COMPLEX IV",REFERENCE TRANSLATION INITIATION,"PATHOGEN HTLV 1 TAX TO SRF MEDIATED
TRANSCRIPTION","VARIANT MUTATION CAUSED ABERRANT HTT TO
ELECTRON TRANSFER IN COMPLEX III",REFERENCE ELECTRON TRANSFER IN COMPLEX III,REFERENCE ORIGIN UNWINDING AND ELONGATION,REFERENCE BREAK INDUCED REPLICATION,REFERENCE DNA REPLICATION LICENSING,"PATHOGEN SALMONELLA SOPE E2 TO NOD NFKB
SIGNALING PATHWAY",REFERENCE NOD NFKB SIGNALING PATHWAY,"PATHOGEN KSHV K15 TO TNF NFKB SIGNALING
PATHWAY","PATHOGEN KSHV VFLIP TO TNF NFKB SIGNALING
PATHWAY",REFERENCE RIG I NFKB SIGNALING PATHWAY,REFERENCE CA2 PYK2 RAS ERK SIGNALING PATHWAY,PATHOGEN HBV HBX TO RAS ERK SIGNALING PATHWAY,"PATHOGEN HPV E5 TO EGFR RAS ERK SIGNALING
PATHWAY","VARIANT MUTATION ACTIVATED FGFR3 TO RAS ERK
SIGNALING PATHWAY","REFERENCE BASE EXCISION AND STRAND CLEAVAGE
BY BIFUNCTIONAL GLYCOSYLASE","REFERENCE BASE EXCISION AND STRAND CLEAVAGE
BY NEIL GLYCOSYLASE","REFERENCE CROSSTALK BETWEEN EXTRINSIC AND
INTRINSIC APOPTOTIC PATHWAYS",REFERENCE ISOLEUCINE DEGRADATION,REFERENCE BETA OXIDATION,REFERENCE KINETOCHORE MICROTUBULE ATTACHMENT,"VARIANT MUTATION CAUSED ABERRANT HTT TO
RETROGRADE AXONAL TRANSPORT",REFERENCE NUCLEAR EXPORT OF MRNA,REFERENCE LEWIS X ANTIGEN BIOSYNTHESIS,REFERENCE FE TF TRANSPORT,REFERENCE AHR SIGNALING PATHWAY,"REFERENCE CITRATE CYCLE SECOND CARBON
OXIDATION 2","REFERENCE RECRUITMENT AND FORMATION OF THE
MCC","REFERENCE ORGANIZATION OF THE OUTER
KINETOCHORE","REFERENCE AUTOPHAGY VESICLE NUCLEATION
ELONGATION MATURATION LC3 II FORMATION"
REFERENCE RIG I NFKB SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE CA2 PYK2 RAS ERK SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9333333333333333,0.8666666666666667,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PATHOGEN HBV HBX TO RAS ERK SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,1.0,0.8666666666666667,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PATHOGEN HPV E5 TO EGFR RAS ERK SIGNALING
PATHWAY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.8666666666666667,1.0,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VARIANT MUTATION ACTIVATED FGFR3 TO RAS ERK
SIGNALING PATHWAY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.8125,0.8125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"REFERENCE BASE EXCISION AND STRAND CLEAVAGE
BY BIFUNCTIONAL GLYCOSYLASE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"REFERENCE BASE EXCISION AND STRAND CLEAVAGE
BY NEIL GLYCOSYLASE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"REFERENCE CROSSTALK BETWEEN EXTRINSIC AND
INTRINSIC APOPTOTIC PATHWAYS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE ISOLEUCINE DEGRADATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE BETA OXIDATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE KINETOCHORE MICROTUBULE ATTACHMENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.85,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0
"VARIANT MUTATION CAUSED ABERRANT HTT TO
RETROGRADE AXONAL TRANSPORT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37777777777777777,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE NUCLEAR EXPORT OF MRNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE LEWIS X ANTIGEN BIOSYNTHESIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE FE TF TRANSPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
REFERENCE AHR SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"REFERENCE CITRATE CYCLE SECOND CARBON
OXIDATION 2",0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"REFERENCE RECRUITMENT AND FORMATION OF THE
MCC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0
"REFERENCE ORGANIZATION OF THE OUTER
KINETOCHORE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,1.0,0.0
"REFERENCE AUTOPHAGY VESICLE NUCLEATION
ELONGATION MATURATION LC3 II FORMATION",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
