Pathway,CYTOPLASMIC RIBOSOMAL PROTEINS,BURN WOUND HEALING,LUNG FIBROSIS,"TGFBETA RECEPTOR SIGNALING IN SKELETAL
DYSPLASIAS",TGFBETA RECEPTOR SIGNALING,SENESCENCE AND AUTOPHAGY IN CANCER,INFLAMMATORY RESPONSE PATHWAY,VEGFAVEGFR2 SIGNALING,ANGIOGENESIS OVERVIEW,ANGIOPOIETINLIKE PROTEIN 8 REGULATORY PATHWAY,"THYROID HORMONES PRODUCTION AND PERIPHERAL
DOWNSTREAM SIGNALING EFFECTS",CAFFEINE IN MYOCYTES,STRIATED MUSCLE CONTRACTION PATHWAY,FOCAL ADHESION,INTEGRINMEDIATED CELL ADHESION,HIPPOMERLIN SIGNALING DYSREGULATION,MIRNA TARGETS IN ECM AND MEMBRANE RECEPTORS,MIRTARGETED GENES IN LYMPHOCYTES,EBOLA VIRUS INFECTION IN HOST,PROTEASOME DEGRADATION,"CHOLESTEROL METABOLISM WITH BLOCH AND
KANDUTSCHRUSSELL PATHWAYS","CHOLESTEROL BIOSYNTHESIS PATHWAY IN
HEPATOCYTES",CHOLESTEROL METABOLISM,ENTEROCYTE CHOLESTEROL METABOLISM,"STEROL REGULATORY ELEMENTBINDING PROTEINS
SREBP SIGNALING","SREBF AND MIR33 IN CHOLESTEROL AND LIPID
HOMEOSTASIS","ELECTRON TRANSPORT CHAIN OXPHOS SYSTEM IN
MITOCHONDRIA","MITOCHONDRIAL COMPLEX I ASSEMBLY MODEL OXPHOS
SYSTEM",PATHOGENIC ESCHERICHIA COLI INFECTION,PTF1A RELATED REGULATORY PATHWAY,NUCLEAR RECEPTORS METAPATHWAY,NRF2 PATHWAY,PROSTAGLANDIN SYNTHESIS AND REGULATION,GLUCOCORTICOID RECEPTOR PATHWAY,EXERCISE AND HYPERTROPHY IN SKELETAL MUSCLE,NETWORK MAP OF SARSCOV2 SIGNALING,PYRIMIDINE METABOLISM,"BIOMARKERS FOR PYRIMIDINE METABOLISM
DISORDERS",BETAGLOBIN GENE EXPRESSION REGULATION,"GPR143 IN MELANOCYTES AND RETINAL PIGMENT
EPITHELIUM CELLS"
"THYROID HORMONES PRODUCTION AND PERIPHERAL
DOWNSTREAM SIGNALING EFFECTS",0.03225806451612903,0.021505376344086023,0.0,0.021505376344086023,0.021505376344086023,0.12903225806451613,0.0,0.22580645161290322,0.12903225806451613,0.25806451612903225,1.0,0.0,0.0,0.15053763440860216,0.10752688172043011,0.06451612903225806,0.0,0.043010752688172046,0.043010752688172046,0.0,0.0,0.0,0.0,0.0,0.053763440860215055,0.03225806451612903,0.010752688172043012,0.0,0.010752688172043012,0.021505376344086023,0.053763440860215055,0.021505376344086023,0.021505376344086023,0.010752688172043012,0.0,0.08602150537634409,0.0,0.0,0.021505376344086023,0.03225806451612903
CAFFEINE IN MYOCYTES,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,1.0,0.6388888888888888,0.1388888888888889,0.0,0.0,0.0,0.1111111111111111,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0
STRIATED MUSCLE CONTRACTION PATHWAY,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.6052631578947368,1.0,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0
FOCAL ADHESION,0.0,0.05527638190954774,0.03015075376884422,0.04522613065326633,0.04522613065326633,0.08040201005025126,0.05527638190954774,0.2864321608040201,0.10552763819095477,0.12060301507537688,0.07035175879396985,0.02512562814070352,0.020100502512562814,1.0,0.34673366834170855,0.20603015075376885,0.08542713567839195,0.04522613065326633,0.17587939698492464,0.0,0.0,0.0,0.0,0.0,0.010050251256281407,0.0,0.0,0.0,0.05025125628140704,0.005025125628140704,0.04020100502512563,0.010050251256281407,0.0,0.01507537688442211,0.005025125628140704,0.04522613065326633,0.0,0.0,0.0,0.010050251256281407
INTEGRINMEDIATED CELL ADHESION,0.0,0.00980392156862745,0.0,0.0196078431372549,0.0196078431372549,0.06862745098039216,0.0,0.3627450980392157,0.14705882352941177,0.21568627450980393,0.09803921568627451,0.0,0.0,0.6764705882352942,1.0,0.3333333333333333,0.0392156862745098,0.029411764705882353,0.18627450980392157,0.0,0.0,0.0,0.0,0.0,0.00980392156862745,0.0,0.0,0.0,0.049019607843137254,0.0,0.00980392156862745,0.0,0.0,0.0,0.0,0.0392156862745098,0.0,0.0,0.0,0.0
HIPPOMERLIN SIGNALING DYSREGULATION,0.0,0.049586776859504134,0.008264462809917356,0.024793388429752067,0.024793388429752067,0.024793388429752067,0.0,0.15702479338842976,0.04132231404958678,0.01652892561983471,0.049586776859504134,0.0,0.0,0.33884297520661155,0.2809917355371901,1.0,0.03305785123966942,0.06611570247933884,0.09917355371900827,0.0,0.0,0.0,0.0,0.0,0.008264462809917356,0.0,0.0,0.0,0.024793388429752067,0.008264462809917356,0.03305785123966942,0.008264462809917356,0.0,0.0,0.0,0.024793388429752067,0.0,0.0,0.0,0.03305785123966942
MIRNA TARGETS IN ECM AND MEMBRANE RECEPTORS,0.0,0.046511627906976744,0.0,0.046511627906976744,0.046511627906976744,0.06976744186046512,0.13953488372093023,0.06976744186046512,0.0,0.0,0.0,0.0,0.0,0.3953488372093023,0.09302325581395349,0.09302325581395349,1.0,0.23255813953488372,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0
MIRTARGETED GENES IN LYMPHOCYTES,0.0,0.010330578512396695,0.010330578512396695,0.006198347107438017,0.006198347107438017,0.02066115702479339,0.004132231404958678,0.05785123966942149,0.008264462809917356,0.02066115702479339,0.008264462809917356,0.008264462809917356,0.008264462809917356,0.01859504132231405,0.006198347107438017,0.01652892561983471,0.02066115702479339,1.0,0.014462809917355372,0.002066115702479339,0.010330578512396695,0.010330578512396695,0.006198347107438017,0.002066115702479339,0.010330578512396695,0.0,0.0,0.0,0.010330578512396695,0.004132231404958678,0.03512396694214876,0.012396694214876033,0.002066115702479339,0.006198347107438017,0.008264462809917356,0.022727272727272728,0.012396694214876033,0.004132231404958678,0.002066115702479339,0.0
EBOLA VIRUS INFECTION IN HOST,0.0,0.023255813953488372,0.007751937984496124,0.03875968992248062,0.03875968992248062,0.031007751937984496,0.007751937984496124,0.2248062015503876,0.05426356589147287,0.06976744186046512,0.031007751937984496,0.015503875968992248,0.015503875968992248,0.2713178294573643,0.14728682170542637,0.09302325581395349,0.007751937984496124,0.05426356589147287,1.0,0.05426356589147287,0.0,0.0,0.015503875968992248,0.0,0.015503875968992248,0.0,0.0,0.0,0.046511627906976744,0.0,0.031007751937984496,0.0,0.0,0.015503875968992248,0.0,0.18604651162790697,0.0,0.0,0.0,0.0
PROTEASOME DEGRADATION,0.0,0.0,0.0,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.11290322580645161,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.016129032258064516,0.016129032258064516,0.0,0.0,0.0,0.0
"CHOLESTEROL METABOLISM WITH BLOCH AND
KANDUTSCHRUSSELL PATHWAYS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10638297872340426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10638297872340426,0.0,0.0,1.0,0.851063829787234,0.5319148936170213,0.46808510638297873,0.2978723404255319,0.1702127659574468,0.0,0.0,0.0,0.0,0.0851063829787234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CHOLESTEROL BIOSYNTHESIS PATHWAY IN
HEPATOCYTES",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018018018018018018,0.0,0.06306306306306306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04504504504504504,0.0,0.0,0.36036036036036034,1.0,0.25225225225225223,0.1891891891891892,0.11711711711711711,0.06306306306306306,0.0,0.0,0.0,0.0,0.10810810810810811,0.0,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHOLESTEROL METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.027777777777777776,0.0,0.3472222222222222,0.3888888888888889,1.0,0.5,0.18055555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0
ENTEROCYTE CHOLESTEROL METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.6111111111111112,0.5833333333333334,1.0,1.0,0.3055555555555556,0.1111111111111111,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0
"STEROL REGULATORY ELEMENTBINDING PROTEINS
SREBP SIGNALING",0.0,0.014084507042253521,0.0,0.0,0.0,0.028169014084507043,0.0,0.11267605633802817,0.028169014084507043,0.23943661971830985,0.07042253521126761,0.0,0.0,0.028169014084507043,0.014084507042253521,0.014084507042253521,0.0,0.07042253521126761,0.028169014084507043,0.0,0.19718309859154928,0.18309859154929578,0.18309859154929578,0.15492957746478872,1.0,0.18309859154929578,0.0,0.0,0.0,0.0,0.08450704225352113,0.0,0.028169014084507043,0.0,0.0,0.028169014084507043,0.0,0.0,0.0,0.028169014084507043
"SREBF AND MIR33 IN CHOLESTEROL AND LIPID
HOMEOSTASIS",0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.1111111111111111,0.05555555555555555,0.3888888888888889,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.3888888888888889,0.2222222222222222,0.2222222222222222,0.7222222222222222,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0
"ELECTRON TRANSPORT CHAIN OXPHOS SYSTEM IN
MITOCHONDRIA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MITOCHONDRIAL COMPLEX I ASSEMBLY MODEL OXPHOS
SYSTEM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6785714285714286,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PATHOGENIC ESCHERICHIA COLI INFECTION,0.0,0.05454545454545454,0.0,0.01818181818181818,0.01818181818181818,0.0,0.0,0.3090909090909091,0.07272727272727272,0.0,0.01818181818181818,0.03636363636363636,0.01818181818181818,0.18181818181818182,0.09090909090909091,0.05454545454545454,0.0,0.09090909090909091,0.10909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.07272727272727272,0.0,0.0,0.0,0.0
PTF1A RELATED REGULATORY PATHWAY,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.18181818181818182,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,1.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUCLEAR RECEPTORS METAPATHWAY,0.0,0.025477707006369428,0.03503184713375796,0.025477707006369428,0.025477707006369428,0.03821656050955414,0.006369426751592357,0.05732484076433121,0.0031847133757961785,0.04777070063694268,0.01592356687898089,0.0,0.0,0.025477707006369428,0.0031847133757961785,0.012738853503184714,0.0,0.054140127388535034,0.012738853503184714,0.006369426751592357,0.012738853503184714,0.03821656050955414,0.025477707006369428,0.009554140127388535,0.01910828025477707,0.01910828025477707,0.0,0.0,0.0,0.006369426751592357,1.0,0.44904458598726116,0.012738853503184714,0.2197452229299363,0.012738853503184714,0.050955414012738856,0.0,0.0,0.0031847133757961785,0.0
NRF2 PATHWAY,0.0,0.014184397163120567,0.04964539007092199,0.014184397163120567,0.014184397163120567,0.0425531914893617,0.0,0.06382978723404255,0.0,0.02127659574468085,0.014184397163120567,0.0,0.0,0.014184397163120567,0.0,0.0070921985815602835,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.014184397163120567,0.014184397163120567,0.0070921985815602835,0.014184397163120567,0.0,0.0,0.0,0.0
PROSTAGLANDIN SYNTHESIS AND REGULATION,0.0,0.021739130434782608,0.021739130434782608,0.0,0.0,0.0,0.0,0.06521739130434782,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.043478260869565216,0.021739130434782608,0.0,0.0,0.0,0.0,0.08695652173913043,0.043478260869565216,1.0,0.021739130434782608,0.0,0.021739130434782608,0.0,0.0,0.021739130434782608,0.021739130434782608
GLUCOCORTICOID RECEPTOR PATHWAY,0.0,0.04285714285714286,0.014285714285714285,0.02857142857142857,0.02857142857142857,0.014285714285714285,0.0,0.07142857142857142,0.0,0.014285714285714285,0.014285714285714285,0.0,0.0,0.04285714285714286,0.0,0.0,0.0,0.04285714285714286,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9857142857142858,0.02857142857142857,0.014285714285714285,1.0,0.014285714285714285,0.07142857142857142,0.0,0.0,0.0,0.0
EXERCISE AND HYPERTROPHY IN SKELETAL MUSCLE,0.0,0.1,0.0,0.05,0.05,0.1,0.05,0.3,0.05,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.05,0.0,0.05,1.0,0.25,0.0,0.0,0.0,0.05
NETWORK MAP OF SARSCOV2 SIGNALING,0.003937007874015748,0.05905511811023622,0.05905511811023622,0.03937007874015748,0.03937007874015748,0.08267716535433071,0.023622047244094488,0.1141732283464567,0.015748031496062992,0.031496062992125984,0.031496062992125984,0.007874015748031496,0.003937007874015748,0.03543307086614173,0.015748031496062992,0.011811023622047244,0.003937007874015748,0.04330708661417323,0.09448818897637795,0.003937007874015748,0.0,0.0,0.015748031496062992,0.003937007874015748,0.007874015748031496,0.003937007874015748,0.0,0.0,0.015748031496062992,0.0,0.06299212598425197,0.007874015748031496,0.003937007874015748,0.01968503937007874,0.01968503937007874,1.0,0.003937007874015748,0.003937007874015748,0.007874015748031496,0.0
PYRIMIDINE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,1.0,0.14285714285714285,0.0,0.0
"BIOMARKERS FOR PYRIMIDINE METABOLISM
DISORDERS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.8,1.0,0.0,0.0
BETAGLOBIN GENE EXPRESSION REGULATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0,0.08333333333333333,0.0,0.0,1.0,0.0
"GPR143 IN MELANOCYTES AND RETINAL PIGMENT
EPITHELIUM CELLS",0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.03333333333333333,0.0,0.1,0.0,0.0,0.06666666666666667,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,1.0
