"TF","MVL_HUB098","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"SNAPC4","-2.234346344056718170","-2.234346344056718170","2.234346344056718170","Repressed","68","viper","68","2.234346344056718170",NA,NA,"4","ReMap--ChIP-seq(rank=225); GTEx--Coexpression(rank=1048); Enrichr--Queries(rank=1388); ARCHS4--Coexpression(rank=1603)","1459","0.652100000000000013","GTEx Coexpression,0.6521"
"TFDP1","2.213952230765799722","2.213952230765799722","2.213952230765799722","Activated","69","viper","69","2.213952230765799722",NA,NA,"4","ReMap--ChIP-seq(rank=184); Enrichr--Queries(rank=1354); GTEx--Coexpression(rank=1388); ARCHS4--Coexpression(rank=1549)","1427","0.619500000000000162","ReMap ChIP-seq,0.6195"
"BACH2","-2.201618858902524067","-2.201618858902524067","2.201618858902524067","Repressed","70","viper","70","2.201618858902524067",NA,NA,"4","ReMap--ChIP-seq(rank=155); Enrichr--Queries(rank=185); ARCHS4--Coexpression(rank=603); GTEx--Coexpression(rank=1352)","487","0.131800000000000000","Enrichr Queries,0.1318"
"JUND","-2.181550863220521386","-2.181550863220521386","2.181550863220521386","Repressed","71","viper","71","2.181550863220521386",NA,NA,"6","ENCODE--ChIP-seq(rank=7); Literature--ChIP-seq(rank=67); ReMap--ChIP-seq(rank=91); Enrichr--Queries(rank=952); ARCHS4--Coexpression(rank=1262); GTEx--Coexpression(rank=1540)","250","0.059319999999999998","ENCODE ChIP-seq,0.05932"
"TBP","-2.153097724420966141","-2.153097724420966141","2.153097724420966141","Repressed","72","viper","72","2.153097724420966141",NA,NA,"5","ENCODE--ChIP-seq(rank=37); Literature--ChIP-seq(rank=136); ReMap--ChIP-seq(rank=217); GTEx--Coexpression(rank=1382); ARCHS4--Coexpression(rank=1490)","961","0.313599999999999990","ENCODE ChIP-seq,0.3136"
"CREB3","-2.122672356250457248","-2.122672356250457248","2.122672356250457248","Repressed","73","viper","73","2.122672356250457248",NA,NA,"4","ReMap--ChIP-seq(rank=99); Enrichr--Queries(rank=886); ARCHS4--Coexpression(rank=890); GTEx--Coexpression(rank=1221)","1002","0.333299999999999985","ReMap ChIP-seq,0.3333"
"SMAD5","2.091184459990126143","2.091184459990126143","2.091184459990126143","Activated","74","viper","74","2.091184459990126143",NA,NA,"4","ReMap--ChIP-seq(rank=203); Enrichr--Queries(rank=953); GTEx--Coexpression(rank=1305); ARCHS4--Coexpression(rank=1374)","1486","0.678799999999999848","Enrichr Queries,0.6788"
"MBD1","2.074358768085001081","2.074358768085001081","2.074358768085001081","Activated","75","viper","75","2.074358768085001081",NA,NA,"3","GTEx--Coexpression(rank=1034); Enrichr--Queries(rank=1317); ARCHS4--Coexpression(rank=1391)","1453","0.643399999999999972","GTEx Coexpression,0.6434"
"ZNF740","-2.062905451648300748","-2.062905451648300748","2.062905451648300748","Repressed","76","viper","76","2.062905451648300748",NA,NA,"4","ReMap--ChIP-seq(rank=76); GTEx--Coexpression(rank=860); Enrichr--Queries(rank=1241); ARCHS4--Coexpression(rank=1524)","829","0.255900000000000016","ReMap ChIP-seq,0.2559"
"FOXJ2","2.012151536343869562","2.012151536343869562","2.012151536343869562","Activated","77","viper","77","2.012151536343869562",NA,NA,"4","ReMap--ChIP-seq(rank=179); Enrichr--Queries(rank=860); ARCHS4--Coexpression(rank=986); GTEx--Coexpression(rank=1218)","1407","0.602700000000000014","ReMap ChIP-seq,0.6027"
"ASCL1","-1.975003643107707152","-1.975003643107707152","1.975003643107707152","Repressed","78","viper","78","1.975003643107707152",NA,NA,"4","ReMap--ChIP-seq(rank=192); ARCHS4--Coexpression(rank=758); GTEx--Coexpression(rank=881); Enrichr--Queries(rank=1265)","1233","0.465600000000000014","ARCHS4 Coexpression,0.4656"
