"TF","MVL_HUB098","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"GFI1B","-1.581389312949201376","-1.581389312949201376","1.581389312949201376","Repressed","100","viper","100","1.581389312949201376",NA,NA,"5","Literature--ChIP-seq(rank=154); ReMap--ChIP-seq(rank=196); ARCHS4--Coexpression(rank=412); Enrichr--Queries(rank=1167); GTEx--Coexpression(rank=1556)","822","0.253099999999999992","ARCHS4 Coexpression,0.2531"
"REL","-1.579780474384393729","-1.579780474384393729","1.579780474384393729","Repressed","101","viper","101","1.579780474384393729",NA,NA,"3","ARCHS4--Coexpression(rank=140); Enrichr--Queries(rank=401); GTEx--Coexpression(rank=913)","344","0.085999999999999993","ARCHS4 Coexpression,0.086"
"NFATC1","-1.578279960139083338","-1.578279960139083338","1.578279960139083338","Repressed","102","viper","102","1.578279960139083338",NA,NA,"5","ENCODE--ChIP-seq(rank=115); ReMap--ChIP-seq(rank=176); Enrichr--Queries(rank=643); ARCHS4--Coexpression(rank=923); GTEx--Coexpression(rank=1041)","1219","0.458000000000000018","Enrichr Queries,0.458"
"ZNF592","-1.577337954697915823","-1.577337954697915823","1.577337954697915823","Repressed","103","viper","103","1.577337954697915823",NA,NA,"4","ReMap--ChIP-seq(rank=151); ARCHS4--Coexpression(rank=1302); Enrichr--Queries(rank=1400); GTEx--Coexpression(rank=1532)","1292","0.508399999999999963","ReMap ChIP-seq,0.5084"
"TP63","-1.551643568741400303","-1.551643568741400303","1.551643568741400303","Repressed","104","viper","104","1.551643568741400303",NA,NA,"5","ARCHS4--Coexpression(rank=12); Literature--ChIP-seq(rank=19); ReMap--ChIP-seq(rank=56); GTEx--Coexpression(rank=58); Enrichr--Queries(rank=72)","28","0.007371000000000000","ARCHS4 Coexpression,0.007371"
"RUNX1","-1.550611539910027314","-1.550611539910027314","1.550611539910027314","Repressed","105","viper","105","1.550611539910027314",NA,NA,"5","Literature--ChIP-seq(rank=105); ReMap--ChIP-seq(rank=177); Enrichr--Queries(rank=361); ARCHS4--Coexpression(rank=474); GTEx--Coexpression(rank=538)","834","0.257099999999999995","Enrichr Queries,0.2571"
"AHR","1.537787088228875554","1.537787088228875554","1.537787088228875554","Activated","106","viper","106","1.537787088228875554",NA,NA,"5","Enrichr--Queries(rank=4); ARCHS4--Coexpression(rank=49); Literature--ChIP-seq(rank=56); GTEx--Coexpression(rank=117); ReMap--ChIP-seq(rank=162)","11","0.002849000000000000","Enrichr Queries,0.002849"
"SOX9","-1.527023439737065891","-1.527023439737065891","1.527023439737065891","Repressed","107","viper","107","1.527023439737065891",NA,NA,"5","Literature--ChIP-seq(rank=41); ReMap--ChIP-seq(rank=41); Enrichr--Queries(rank=169); ARCHS4--Coexpression(rank=363); GTEx--Coexpression(rank=398)","450","0.120399999999999993","Enrichr Queries,0.1204"
"NRF1","-1.515197658418431903","-1.515197658418431903","1.515197658418431903","Repressed","108","viper","108","1.515197658418431903",NA,NA,"5","ENCODE--ChIP-seq(rank=63); ReMap--ChIP-seq(rank=254); ARCHS4--Coexpression(rank=706); GTEx--Coexpression(rank=1081); Enrichr--Queries(rank=1182)","1183","0.433699999999999974","ARCHS4 Coexpression,0.4337"
"XBP1","-1.479807863794802891","-1.479807863794802891","1.479807863794802891","Repressed","109","viper","109","1.479807863794802891",NA,NA,"4","ARCHS4--Coexpression(rank=106); ReMap--ChIP-seq(rank=246); Enrichr--Queries(rank=969); GTEx--Coexpression(rank=1177)","272","0.065110000000000001","ARCHS4 Coexpression,0.06511"
"NR2F6","1.477986054260956861","1.477986054260956861","1.477986054260956861","Activated","110","viper","110","1.477986054260956861",NA,NA,"4","ReMap--ChIP-seq(rank=63); GTEx--Coexpression(rank=360); ARCHS4--Coexpression(rank=631); Enrichr--Queries(rank=957)","717","0.212100000000000011","ReMap ChIP-seq,0.2121"
"FOXP2","1.467491573417813333","1.467491573417813333","1.467491573417813333","Activated","111","viper","111","1.467491573417813333",NA,NA,"6","ENCODE--ChIP-seq(rank=50); Literature--ChIP-seq(rank=102); ReMap--ChIP-seq(rank=165); Enrichr--Queries(rank=375); GTEx--Coexpression(rank=442); ARCHS4--Coexpression(rank=476)","855","0.267100000000000004","Enrichr Queries,0.2671"
"WT1","1.467025590529077661","1.467025590529077661","1.467025590529077661","Activated","112","viper","112","1.467025590529077661",NA,NA,"4","Literature--ChIP-seq(rank=16); Enrichr--Queries(rank=539); ARCHS4--Coexpression(rank=719); GTEx--Coexpression(rank=903)","378","0.097559999999999994","Literature ChIP-seq,0.09756"
"BACH1","-1.444653631215038203","-1.444653631215038203","1.444653631215038203","Repressed","113","viper","113","1.444653631215038203",NA,NA,"6","Literature--ChIP-seq(rank=13); ENCODE--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=106); ARCHS4--Coexpression(rank=200); Enrichr--Queries(rank=766); GTEx--Coexpression(rank=1270)","323","0.079269999999999993","Literature ChIP-seq,0.07927"
"IKZF1","-1.438725668908544586","-1.438725668908544586","1.438725668908544586","Repressed","114","viper","114","1.438725668908544586",NA,NA,"6","ReMap--ChIP-seq(rank=33); ENCODE--ChIP-seq(rank=61); Literature--ChIP-seq(rank=91); ARCHS4--Coexpression(rank=820); GTEx--Coexpression(rank=1056); Enrichr--Queries(rank=1249)","420","0.111100000000000004","ReMap ChIP-seq,0.1111"
"STAT1","1.428597387308026878","1.428597387308026878","1.428597387308026878","Activated","115","viper","115","1.428597387308026878",NA,NA,"6","ENCODE--ChIP-seq(rank=40); Literature--ChIP-seq(rank=106); ReMap--ChIP-seq(rank=122); Enrichr--Queries(rank=819); ARCHS4--Coexpression(rank=1061); GTEx--Coexpression(rank=1481)","1014","0.339000000000000024","ENCODE ChIP-seq,0.339"
"NR5A2","-1.424641532832096269","-1.424641532832096269","1.424641532832096269","Repressed","116","viper","116","1.424641532832096269",NA,NA,"4","ReMap--ChIP-seq(rank=60); Enrichr--Queries(rank=121); ARCHS4--Coexpression(rank=146); GTEx--Coexpression(rank=1051)","345","0.086180000000000007","Enrichr Queries,0.08618"
"ZNF217","-1.416597697659488286","-1.416597697659488286","1.416597697659488286","Repressed","117","viper","117","1.416597697659488286",NA,NA,"6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=21); ReMap--ChIP-seq(rank=45); Enrichr--Queries(rank=574); ARCHS4--Coexpression(rank=898); GTEx--Coexpression(rank=1563)","74","0.018290000000000001","Literature ChIP-seq,0.01829"
"VDR","1.415080719844651336","1.415080719844651336","1.415080719844651336","Activated","118","viper","118","1.415080719844651336",NA,NA,"5","GTEx--Coexpression(rank=41); Literature--ChIP-seq(rank=46); ReMap--ChIP-seq(rank=58); Enrichr--Queries(rank=143); ARCHS4--Coexpression(rank=163)","107","0.025510000000000001","GTEx Coexpression,0.02551"
"NFE2","-1.412887343292099862","-1.412887343292099862","1.412887343292099862","Repressed","119","viper","119","1.412887343292099862",NA,NA,"5","ENCODE--ChIP-seq(rank=62); ReMap--ChIP-seq(rank=199); Enrichr--Queries(rank=622); ARCHS4--Coexpression(rank=1307); GTEx--Coexpression(rank=1484)","1194","0.443000000000000005","Enrichr Queries,0.443"
"ETV4","-1.378468880246997541","-1.378468880246997541","1.378468880246997541","Repressed","120","viper","120","1.378468880246997541",NA,NA,"4","ReMap--ChIP-seq(rank=129); Enrichr--Queries(rank=136); GTEx--Coexpression(rank=908); ARCHS4--Coexpression(rank=998)","376","0.096869999999999998","Enrichr Queries,0.09687"
"TCF4","1.367413767723728135","1.367413767723728135","1.367413767723728135","Activated","121","viper","121","1.367413767723728135",NA,NA,"5","ReMap--ChIP-seq(rank=18); Literature--ChIP-seq(rank=36); ARCHS4--Coexpression(rank=87); Enrichr--Queries(rank=237); GTEx--Coexpression(rank=421)","226","0.053440000000000001","ARCHS4 Coexpression,0.05344"
"FOXO3","1.346640230502431645","1.346640230502431645","1.346640230502431645","Activated","122","viper","122","1.346640230502431645",NA,NA,"4","Literature--ChIP-seq(rank=58); Enrichr--Queries(rank=1050); ARCHS4--Coexpression(rank=1322); GTEx--Coexpression(rank=1369)","1047","0.353700000000000014","Literature ChIP-seq,0.3537"
"EBF1","-1.343598065350511073","-1.343598065350511073","1.343598065350511073","Repressed","123","viper","123","1.343598065350511073",NA,NA,"5","Enrichr--Queries(rank=66); ENCODE--ChIP-seq(rank=103); ARCHS4--Coexpression(rank=213); ReMap--ChIP-seq(rank=279); GTEx--Coexpression(rank=299)","196","0.047010000000000003","Enrichr Queries,0.04701"
"POU4F2","1.329250744200417333","1.329250744200417333","1.329250744200417333","Activated","124","viper","124","1.329250744200417333",NA,NA,"4","ReMap--ChIP-seq(rank=288); ARCHS4--Coexpression(rank=466); GTEx--Coexpression(rank=956); Enrichr--Queries(rank=1224)","895","0.286200000000000010","ARCHS4 Coexpression,0.2862"
"SIX2","1.328407327775062097","1.328407327775062097","1.328407327775062097","Activated","125","viper","125","1.328407327775062097",NA,NA,"4","ReMap--ChIP-seq(rank=32); Enrichr--Queries(rank=642); ARCHS4--Coexpression(rank=968); GTEx--Coexpression(rank=1134)","409","0.107700000000000004","ReMap ChIP-seq,0.1077"
"SPIB","-1.307202254055958468","-1.307202254055958468","1.307202254055958468","Repressed","126","viper","126","1.307202254055958468",NA,NA,"4","ReMap--ChIP-seq(rank=124); GTEx--Coexpression(rank=547); ARCHS4--Coexpression(rank=831); Enrichr--Queries(rank=1172)","1019","0.340399999999999980","GTEx Coexpression,0.3404"
"CTCFL","-1.302240891865540817","-1.302240891865540817","1.302240891865540817","Repressed","127","viper","127","1.302240891865540817",NA,NA,"5","ReMap--ChIP-seq(rank=57); ENCODE--ChIP-seq(rank=72); ARCHS4--Coexpression(rank=549); Enrichr--Queries(rank=579); GTEx--Coexpression(rank=751)","663","0.191899999999999987","ReMap ChIP-seq,0.1919"
"ZFX","1.269285709564309528","1.269285709564309528","1.269285709564309528","Activated","128","viper","128","1.269285709564309528",NA,NA,"5","Literature--ChIP-seq(rank=160); ReMap--ChIP-seq(rank=227); ARCHS4--Coexpression(rank=1223); Enrichr--Queries(rank=1252); GTEx--Coexpression(rank=1567)","1544","0.751199999999999979","ARCHS4 Coexpression,0.7512"
"FOSL2","-1.264978863001591902","-1.264978863001591902","1.264978863001591902","Repressed","129","viper","129","1.264978863001591902",NA,NA,"5","ENCODE--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=20); Enrichr--Queries(rank=291); GTEx--Coexpression(rank=772); ARCHS4--Coexpression(rank=877)","176","0.042369999999999998","ENCODE ChIP-seq,0.04237"
"IRF1","1.246209817507681228","1.246209817507681228","1.246209817507681228","Activated","130","viper","130","1.246209817507681228",NA,NA,"6","ReMap--ChIP-seq(rank=30); ENCODE--ChIP-seq(rank=86); Literature--ChIP-seq(rank=133); Enrichr--Queries(rank=748); ARCHS4--Coexpression(rank=1030); GTEx--Coexpression(rank=1569)","389","0.101000000000000006","ReMap ChIP-seq,0.101"
"HNF4G","-1.223722361863511354","-1.223722361863511354","1.223722361863511354","Repressed","131","viper","131","1.223722361863511354",NA,NA,"5","GTEx--Coexpression(rank=69); ARCHS4--Coexpression(rank=71); ENCODE--ChIP-seq(rank=80); ReMap--ChIP-seq(rank=130); Enrichr--Queries(rank=133)","180","0.042939999999999999","GTEx Coexpression,0.04294"
"FOXL2","1.201040187611829513","1.201040187611829513","1.201040187611829513","Activated","132","viper","132","1.201040187611829513",NA,NA,"3","Enrichr--Queries(rank=404); ARCHS4--Coexpression(rank=738); GTEx--Coexpression(rank=856)","899","0.287700000000000011","Enrichr Queries,0.2877"
"MEF2A","1.183685568166049196","1.183685568166049196","1.183685568166049196","Activated","133","viper","133","1.183685568166049196",NA,NA,"6","ENCODE--ChIP-seq(rank=49); ReMap--ChIP-seq(rank=117); Literature--ChIP-seq(rank=128); ARCHS4--Coexpression(rank=265); Enrichr--Queries(rank=498); GTEx--Coexpression(rank=621)","578","0.162800000000000000","ARCHS4 Coexpression,0.1628"
"ETS2","-1.183025676032030127","-1.183025676032030127","1.183025676032030127","Repressed","134","viper","134","1.183025676032030127",NA,NA,"4","Enrichr--Queries(rank=50); Literature--ChIP-seq(rank=94); ARCHS4--Coexpression(rank=114); GTEx--Coexpression(rank=170)","150","0.035610000000000003","Enrichr Queries,0.03561"
"TP53","1.173691839047677599","1.173691839047677599","1.173691839047677599","Activated","135","viper","135","1.173691839047677599",NA,NA,"5","Literature--ChIP-seq(rank=10); ReMap--ChIP-seq(rank=64); Enrichr--Queries(rank=1022); GTEx--Coexpression(rank=1136); ARCHS4--Coexpression(rank=1449)","257","0.060979999999999999","Literature ChIP-seq,0.06098"
"EPAS1","1.173518256861968201","1.173518256861968201","1.173518256861968201","Activated","136","viper","136","1.173518256861968201",NA,NA,"4","ReMap--ChIP-seq(rank=65); Enrichr--Queries(rank=91); ARCHS4--Coexpression(rank=199); GTEx--Coexpression(rank=350)","271","0.064810000000000006","Enrichr Queries,0.06481"
"RBPJ","1.169640607340949545","1.169640607340949545","1.169640607340949545","Activated","137","viper","137","1.169640607340949545",NA,NA,"5","Literature--ChIP-seq(rank=134); ReMap--ChIP-seq(rank=253); Enrichr--Queries(rank=655); GTEx--Coexpression(rank=715); ARCHS4--Coexpression(rank=942)","1196","0.444900000000000018","GTEx Coexpression,0.4449"
"GATA6","-1.158472325112691381","-1.158472325112691381","1.158472325112691381","Repressed","138","viper","138","1.158472325112691381",NA,NA,"5","ReMap--ChIP-seq(rank=26); Literature--ChIP-seq(rank=59); Enrichr--Queries(rank=73); ARCHS4--Coexpression(rank=296); GTEx--Coexpression(rank=965)","220","0.051990000000000001","Enrichr Queries,0.05199"
"NFE2L2","-1.118713057655088772","-1.118713057655088772","1.118713057655088772","Repressed","139","viper","139","1.118713057655088772",NA,NA,"5","Literature--ChIP-seq(rank=5); GTEx--Coexpression(rank=36); ReMap--ChIP-seq(rank=71); ARCHS4--Coexpression(rank=219); Enrichr--Queries(rank=824)","91","0.022400000000000000","GTEx Coexpression,0.0224"
"AR","-1.117312661111913519","-1.117312661111913519","1.117312661111913519","Repressed","140","viper","140","1.117312661111913519",NA,NA,"5","Literature--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=140); Enrichr--Queries(rank=221); ARCHS4--Coexpression(rank=530); GTEx--Coexpression(rank=844)","414","0.109799999999999995","Literature ChIP-seq,0.1098"
"MYCN","-1.109869854643363407","-1.109869854643363407","1.109869854643363407","Repressed","141","viper","141","1.109869854643363407",NA,NA,"5","Literature--ChIP-seq(rank=118); ReMap--ChIP-seq(rank=118); Enrichr--Queries(rank=184); GTEx--Coexpression(rank=333); ARCHS4--Coexpression(rank=1481)","484","0.131099999999999994","Enrichr Queries,0.1311"
"NFIC","-1.096987269727155878","-1.096987269727155878","1.096987269727155878","Repressed","142","viper","142","1.096987269727155878",NA,NA,"5","ENCODE--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=24); Enrichr--Queries(rank=762); GTEx--Coexpression(rank=1300); ARCHS4--Coexpression(rank=1366)","314","0.076270000000000004","ENCODE ChIP-seq,0.07627"
"STAT3","-1.095812662873527632","-1.095812662873527632","1.095812662873527632","Repressed","143","viper","143","1.095812662873527632",NA,NA,"6","ENCODE--ChIP-seq(rank=15); Literature--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=73); ARCHS4--Coexpression(rank=917); GTEx--Coexpression(rank=947); Enrichr--Queries(rank=1088)","359","0.091460000000000000","Literature ChIP-seq,0.09146"
"MYB","-1.088829089672749495","-1.088829089672749495","1.088829089672749495","Repressed","144","viper","144","1.088829089672749495",NA,NA,"6","Literature--ChIP-seq(rank=52); ENCODE--ChIP-seq(rank=69); GTEx--Coexpression(rank=111); ReMap--ChIP-seq(rank=197); Enrichr--Queries(rank=961); ARCHS4--Coexpression(rank=1291)","287","0.069070000000000006","GTEx Coexpression,0.06907"
"PPARG","1.070769337393278064","1.070769337393278064","1.070769337393278064","Activated","145","viper","145","1.070769337393278064",NA,NA,"5","ReMap--ChIP-seq(rank=8); Literature--ChIP-seq(rank=50); Enrichr--Queries(rank=57); ARCHS4--Coexpression(rank=416); GTEx--Coexpression(rank=467)","113","0.026939999999999999","ReMap ChIP-seq,0.02694"
"SP2","-1.068736033866200197","-1.068736033866200197","1.068736033866200197","Repressed","146","viper","146","1.068736033866200197",NA,NA,"5","ENCODE--ChIP-seq(rank=95); ReMap--ChIP-seq(rank=249); Enrichr--Queries(rank=898); GTEx--Coexpression(rank=1164); ARCHS4--Coexpression(rank=1185)","1445","0.639599999999999835","Enrichr Queries,0.6396"
"MAFF","-1.065294325783739504","-1.065294325783739504","1.065294325783739504","Repressed","147","viper","147","1.065294325783739504",NA,NA,"5","ENCODE--ChIP-seq(rank=79); Enrichr--Queries(rank=103); ReMap--ChIP-seq(rank=271); ARCHS4--Coexpression(rank=662); GTEx--Coexpression(rank=855)","301","0.073359999999999995","Enrichr Queries,0.07336"
"TEAD2","-1.059760554951379774","-1.059760554951379774","1.059760554951379774","Repressed","148","viper","148","1.059760554951379774",NA,NA,"4","ReMap--ChIP-seq(rank=275); Enrichr--Queries(rank=315); GTEx--Coexpression(rank=458); ARCHS4--Coexpression(rank=612)","748","0.224399999999999988","Enrichr Queries,0.2244"
"LEF1","-1.020621478708707786","-1.020621478708707786","1.020621478708707786","Repressed","149","viper","149","1.020621478708707786",NA,NA,"4","ReMap--ChIP-seq(rank=44); Enrichr--Queries(rank=177); ARCHS4--Coexpression(rank=455); GTEx--Coexpression(rank=1433)","470","0.126099999999999990","Enrichr Queries,0.1261"
"FOXO1","1.008999685218218589","1.008999685218218589","1.008999685218218589","Activated","150","viper","150","1.008999685218218589",NA,NA,"5","ReMap--ChIP-seq(rank=48); Literature--ChIP-seq(rank=74); ARCHS4--Coexpression(rank=134); Enrichr--Queries(rank=376); GTEx--Coexpression(rank=788)","331","0.082309999999999994","ARCHS4 Coexpression,0.08231"
"ATF6","1.007127160629385454","1.007127160629385454","1.007127160629385454","Activated","151","viper","151","1.007127160629385454",NA,NA,"3","ARCHS4--Coexpression(rank=1011); Enrichr--Queries(rank=1067); GTEx--Coexpression(rank=1336)","1429","0.620999999999999996","ARCHS4 Coexpression,0.621"
"ATF4","0.982491658664174872","0.982491658664174872","0.982491658664174872","Activated","152","viper","152","0.982491658664174872",NA,NA,"4","ReMap--ChIP-seq(rank=272); GTEx--Coexpression(rank=492); Enrichr--Queries(rank=1275); ARCHS4--Coexpression(rank=1546)","942","0.306200000000000028","GTEx Coexpression,0.3062"
"FOXM1","0.980601365882302844","0.980601365882302844","0.980601365882302844","Activated","153","viper","153","0.980601365882302844",NA,NA,"6","Literature--ChIP-seq(rank=23); ENCODE--ChIP-seq(rank=28); ReMap--ChIP-seq(rank=120); GTEx--Coexpression(rank=1232); Enrichr--Queries(rank=1295); ARCHS4--Coexpression(rank=1298)","509","0.140199999999999991","Literature ChIP-seq,0.1402"
"POU2F2","-0.961593139458828516","-0.961593139458828516","0.961593139458828516","Repressed","154","viper","154","0.961593139458828516",NA,NA,"5","ENCODE--ChIP-seq(rank=111); ReMap--ChIP-seq(rank=260); GTEx--Coexpression(rank=431); Enrichr--Queries(rank=919); ARCHS4--Coexpression(rank=1027)","857","0.268199999999999994","GTEx Coexpression,0.2682"
"ZNF384","-0.956478015273086846","-0.956478015273086846","0.956478015273086846","Repressed","155","viper","155","0.956478015273086846",NA,NA,"5","ENCODE--ChIP-seq(rank=22); ReMap--ChIP-seq(rank=229); GTEx--Coexpression(rank=1324); Enrichr--Queries(rank=1328); ARCHS4--Coexpression(rank=1532)","648","0.186400000000000010","ENCODE ChIP-seq,0.1864"
"MBD2","-0.925778294501137244","-0.925778294501137244","0.925778294501137244","Repressed","156","viper","156","0.925778294501137244",NA,NA,"4","ReMap--ChIP-seq(rank=87); Enrichr--Queries(rank=970); ARCHS4--Coexpression(rank=1405); GTEx--Coexpression(rank=1448)","910","0.292899999999999994","ReMap ChIP-seq,0.2929"
"PRDM1","0.925304782804573844","0.925304782804573844","0.925304782804573844","Activated","157","viper","157","0.925304782804573844",NA,NA,"5","ENCODE--ChIP-seq(rank=13); ReMap--ChIP-seq(rank=47); GTEx--Coexpression(rank=62); Enrichr--Queries(rank=88); ARCHS4--Coexpression(rank=658)","164","0.038580000000000003","GTEx Coexpression,0.03858"
"MEIS2","0.918909774521093792","0.918909774521093792","0.918909774521093792","Activated","158","viper","158","0.918909774521093792",NA,NA,"4","ReMap--ChIP-seq(rank=134); Enrichr--Queries(rank=166); ARCHS4--Coexpression(rank=583); GTEx--Coexpression(rank=1109)","442","0.118200000000000000","Enrichr Queries,0.1182"
"SMAD1","-0.895268143435352992","-0.895268143435352992","0.895268143435352992","Repressed","159","viper","159","0.895268143435352992",NA,NA,"5","Literature--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=90); Enrichr--Queries(rank=583); ARCHS4--Coexpression(rank=827); GTEx--Coexpression(rank=1383)","932","0.302999999999999992","ReMap ChIP-seq,0.303"
"FOXA1","0.883272516414766229","0.883272516414766229","0.883272516414766229","Activated","160","viper","160","0.883272516414766229",NA,NA,"6","ReMap--ChIP-seq(rank=16); ENCODE--ChIP-seq(rank=32); Literature--ChIP-seq(rank=48); Enrichr--Queries(rank=156); ARCHS4--Coexpression(rank=164); GTEx--Coexpression(rank=202)","228","0.053870000000000001","ReMap ChIP-seq,0.05387"
"HBP1","-0.881983170854607312","-0.881983170854607312","0.881983170854607312","Repressed","161","viper","161","0.881983170854607312",NA,NA,"4","ReMap--ChIP-seq(rank=212); Enrichr--Queries(rank=712); ARCHS4--Coexpression(rank=887); GTEx--Coexpression(rank=1390)","1290","0.507099999999999995","Enrichr Queries,0.5071"
"NFKB2","0.842626395634451741","0.842626395634451741","0.842626395634451741","Activated","162","viper","162","0.842626395634451741",NA,NA,"4","ReMap--ChIP-seq(rank=127); Enrichr--Queries(rank=487); GTEx--Coexpression(rank=797); ARCHS4--Coexpression(rank=1052)","1033","0.346899999999999986","Enrichr Queries,0.3469"
"RFX2","-0.839562836850755057","-0.839562836850755057","0.839562836850755057","Repressed","163","viper","163","0.839562836850755057",NA,NA,"4","ARCHS4--Coexpression(rank=44); ReMap--ChIP-seq(rank=201); Enrichr--Queries(rank=330); GTEx--Coexpression(rank=1093)","114","0.027029999999999998","ARCHS4 Coexpression,0.02703"
"MAFK","-0.836983699769175638","-0.836983699769175638","0.836983699769175638","Repressed","164","viper","164","0.836983699769175638",NA,NA,"5","ENCODE--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=143); GTEx--Coexpression(rank=429); Enrichr--Queries(rank=436); ARCHS4--Coexpression(rank=1402)","802","0.245799999999999991","ENCODE ChIP-seq,0.2458"
"CREB3L1","-0.825865313104047538","-0.825865313104047538","0.825865313104047538","Repressed","165","viper","165","0.825865313104047538",NA,NA,"4","ARCHS4--Coexpression(rank=17); Enrichr--Queries(rank=225); ReMap--ChIP-seq(rank=276); GTEx--Coexpression(rank=1002)","41","0.010440000000000000","ARCHS4 Coexpression,0.01044"
"SOX11","0.824663472836443923","0.824663472836443923","0.824663472836443923","Activated","166","viper","166","0.824663472836443923",NA,NA,"5","Literature--ChIP-seq(rank=92); ARCHS4--Coexpression(rank=129); ReMap--ChIP-seq(rank=282); Enrichr--Queries(rank=367); GTEx--Coexpression(rank=837)","322","0.079240000000000005","ARCHS4 Coexpression,0.07924"
"RUNX3","-0.807227895531323902","-0.807227895531323902","0.807227895531323902","Repressed","167","viper","167","0.807227895531323902",NA,NA,"5","ENCODE--ChIP-seq(rank=93); ReMap--ChIP-seq(rank=244); GTEx--Coexpression(rank=669); Enrichr--Queries(rank=741); ARCHS4--Coexpression(rank=916)","1153","0.416300000000000003","GTEx Coexpression,0.4163"
"EHF","-0.805485484470486401","-0.805485484470486401","0.805485484470486401","Repressed","168","viper","168","0.805485484470486401",NA,NA,"4","Enrichr--Queries(rank=3); ARCHS4--Coexpression(rank=7); ReMap--ChIP-seq(rank=34); GTEx--Coexpression(rank=63)","8","0.002137000000000000","Enrichr Queries,0.002137"
"EOMES","-0.792612857241858482","-0.792612857241858482","0.792612857241858482","Repressed","169","viper","169","0.792612857241858482",NA,NA,"5","ReMap--ChIP-seq(rank=61); Literature--ChIP-seq(rank=88); Enrichr--Queries(rank=275); GTEx--Coexpression(rank=541); ARCHS4--Coexpression(rank=1054)","672","0.195899999999999991","Enrichr Queries,0.1959"
"IRF9","0.786857541742172706","0.786857541742172706","0.786857541742172706","Activated","170","viper","170","0.786857541742172706",NA,NA,"4","ReMap--ChIP-seq(rank=239); Enrichr--Queries(rank=868); ARCHS4--Coexpression(rank=1016); GTEx--Coexpression(rank=1312)","1425","0.618199999999999972","Enrichr Queries,0.6182"
"HIF1A","-0.750019840498446722","-0.750019840498446722","0.750019840498446722","Repressed","171","viper","171","0.750019840498446722",NA,NA,"5","ARCHS4--Coexpression(rank=8); ReMap--ChIP-seq(rank=42); Literature--ChIP-seq(rank=51); GTEx--Coexpression(rank=306); Enrichr--Queries(rank=649)","18","0.004914000000000000","ARCHS4 Coexpression,0.004914"
"KMT2A","-0.735448273727642765","-0.735448273727642765","0.735448273727642765","Repressed","172","viper","172","0.735448273727642765",NA,NA,"3","ReMap--ChIP-seq(rank=188); GTEx--Coexpression(rank=588); ARCHS4--Coexpression(rank=1343)","1067","0.365900000000000003","GTEx Coexpression,0.3659"
"STAT5B","-0.723177053752938281","-0.723177053752938281","0.723177053752938281","Repressed","173","viper","173","0.723177053752938281",NA,NA,"4","ReMap--ChIP-seq(rank=270); Enrichr--Queries(rank=985); ARCHS4--Coexpression(rank=990); GTEx--Coexpression(rank=1366)","1412","0.608099999999999974","ARCHS4 Coexpression,0.6081"
"CREB1","0.709049673129524827","0.709049673129524827","0.709049673129524827","Activated","174","viper","174","0.709049673129524827",NA,NA,"6","ENCODE--ChIP-seq(rank=85); Literature--ChIP-seq(rank=149); ReMap--ChIP-seq(rank=262); GTEx--Coexpression(rank=845); ARCHS4--Coexpression(rank=936); Enrichr--Queries(rank=1192)","1315","0.525800000000000045","GTEx Coexpression,0.5258"
"PGR","-0.697162206487119573","-0.697162206487119573","0.697162206487119573","Repressed","175","viper","175","0.697162206487119573",NA,NA,"4","ReMap--ChIP-seq(rank=119); ARCHS4--Coexpression(rank=185); GTEx--Coexpression(rank=311); Enrichr--Queries(rank=357)","429","0.113600000000000007","ARCHS4 Coexpression,0.1136"
"ELF1","-0.665446352267445529","-0.665446352267445529","0.665446352267445529","Repressed","176","viper","176","0.665446352267445529",NA,NA,"5","ENCODE--ChIP-seq(rank=78); Literature--ChIP-seq(rank=135); ReMap--ChIP-seq(rank=194); ARCHS4--Coexpression(rank=375); GTEx--Coexpression(rank=1475)","766","0.230300000000000005","ARCHS4 Coexpression,0.2303"
"ERG","-0.664174019918828629","-0.664174019918828629","0.664174019918828629","Repressed","177","viper","177","0.664174019918828629",NA,NA,"5","Literature--ChIP-seq(rank=75); Enrichr--Queries(rank=149); ReMap--ChIP-seq(rank=175); GTEx--Coexpression(rank=388); ARCHS4--Coexpression(rank=941)","402","0.106100000000000000","Enrichr Queries,0.1061"
"ARNTL","0.648513564128918474","0.648513564128918474","0.648513564128918474","Activated","178","viper","178","0.648513564128918474",NA,NA,"4","Enrichr--Queries(rank=85); ReMap--ChIP-seq(rank=266); ARCHS4--Coexpression(rank=688); GTEx--Coexpression(rank=1437)","255","0.060539999999999997","Enrichr Queries,0.06054"
