Pathway,TAFAZZIN TARGET GENES,PRMT5 TARGET GENES,MED25 TARGET GENES,CSHL1 TARGET GENES,F10 TARGET GENES,ZSCAN18 TARGET GENES,NR0B1 TARGET GENES,CHAF1A TARGET GENES,PSMB5 TARGET GENES,RBM15 TARGET GENES,ADCYAP1 TARGET GENES,PHF21A TARGET GENES,"SS18 SSX1 FUSION UNIPROT Q8IZH1 UNREVIEWED
TARGET GENES",NR1I2 TARGET GENES,FOXO4 TARGET GENES,ZNF548 TARGET GENES,ZSCAN5C TARGET GENES,EBNA1BP2 TARGET GENES,SIGMAR1 TARGET GENES,ZNF584 TARGET GENES,HDAC8 TARGET GENES,TBPL1 TARGET GENES,TOX4 TARGET GENES,ZNF622 TARGET GENES,NPAT TARGET GENES,COIL TARGET GENES,ZNF746 TARGET GENES,ZNF677 TARGET GENES,ZNF354B TARGET GENES,ZNF529 TARGET GENES,ZNF354C TARGET GENES,PGM3 TARGET GENES,"METHYLCYTOSINE DIOXYGENASE TET UNIPROT
A0A023HHK9 UNREVIEWED TARGET GENES",HEY2 TARGET GENES,ARID3B TARGET GENES
ZNF548 TARGET GENES,0.0,0.0,0.015873015873015872,0.031746031746031744,0.015873015873015872,0.047619047619047616,0.031746031746031744,0.0,0.031746031746031744,0.015873015873015872,0.015873015873015872,0.0,0.015873015873015872,0.031746031746031744,0.031746031746031744,1.0,0.015873015873015872,0.015873015873015872,0.0,0.015873015873015872,0.0,0.031746031746031744,0.015873015873015872,0.0,0.031746031746031744,0.0,0.0,0.0,0.015873015873015872,0.0,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.0,0.0
ZSCAN5C TARGET GENES,0.019736842105263157,0.006578947368421052,0.019736842105263157,0.0,0.013157894736842105,0.03289473684210526,0.05263157894736842,0.006578947368421052,0.019736842105263157,0.0,0.0,0.019736842105263157,0.046052631578947366,0.039473684210526314,0.039473684210526314,0.006578947368421052,1.0,0.05263157894736842,0.0,0.013157894736842105,0.0,0.006578947368421052,0.02631578947368421,0.006578947368421052,0.013157894736842105,0.0,0.006578947368421052,0.006578947368421052,0.02631578947368421,0.013157894736842105,0.0,0.006578947368421052,0.02631578947368421,0.006578947368421052,0.02631578947368421
EBNA1BP2 TARGET GENES,0.0390625,0.005208333333333333,0.010416666666666666,0.013020833333333334,0.018229166666666668,0.0026041666666666665,0.026041666666666668,0.0078125,0.026041666666666668,0.0026041666666666665,0.0026041666666666665,0.028645833333333332,0.020833333333333332,0.0234375,0.015625,0.0026041666666666665,0.020833333333333332,1.0,0.0026041666666666665,0.013020833333333334,0.013020833333333334,0.0078125,0.018229166666666668,0.0078125,0.0234375,0.0,0.010416666666666666,0.010416666666666666,0.005208333333333333,0.0026041666666666665,0.0,0.020833333333333332,0.010416666666666666,0.005208333333333333,0.0
SIGMAR1 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,1.0,0.5333333333333333,0.2,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.06666666666666667,0.0,0.0
ZNF584 TARGET GENES,0.031413612565445025,0.010471204188481676,0.010471204188481676,0.015706806282722512,0.013089005235602094,0.013089005235602094,0.031413612565445025,0.015706806282722512,0.02617801047120419,0.02356020942408377,0.002617801047120419,0.028795811518324606,0.028795811518324606,0.02617801047120419,0.02617801047120419,0.002617801047120419,0.005235602094240838,0.013089005235602094,0.020942408376963352,1.0,0.09947643979057591,0.015706806282722512,0.031413612565445025,0.002617801047120419,0.007853403141361256,0.0,0.002617801047120419,0.013089005235602094,0.04712041884816754,0.005235602094240838,0.0,0.020942408376963352,0.010471204188481676,0.002617801047120419,0.002617801047120419
HDAC8 TARGET GENES,0.023529411764705882,0.011764705882352941,0.0058823529411764705,0.011764705882352941,0.023529411764705882,0.0058823529411764705,0.058823529411764705,0.023529411764705882,0.03529411764705882,0.041176470588235294,0.0058823529411764705,0.03529411764705882,0.011764705882352941,0.03529411764705882,0.047058823529411764,0.0,0.0,0.029411764705882353,0.01764705882352941,0.2235294117647059,1.0,0.023529411764705882,0.0058823529411764705,0.0,0.029411764705882353,0.0,0.0,0.011764705882352941,0.07647058823529412,0.011764705882352941,0.0,0.023529411764705882,0.03529411764705882,0.023529411764705882,0.0058823529411764705
TBPL1 TARGET GENES,0.022222222222222223,0.035555555555555556,0.008888888888888889,0.03111111111111111,0.017777777777777778,0.022222222222222223,0.013333333333333334,0.013333333333333334,0.02666666666666667,0.013333333333333334,0.0,0.013333333333333334,0.02666666666666667,0.013333333333333334,0.013333333333333334,0.008888888888888889,0.0044444444444444444,0.013333333333333334,0.0044444444444444444,0.02666666666666667,0.017777777777777778,1.0,0.013333333333333334,0.008888888888888889,0.022222222222222223,0.0,0.0,0.017777777777777778,0.008888888888888889,0.0044444444444444444,0.0,0.017777777777777778,0.0044444444444444444,0.0044444444444444444,0.0
TOX4 TARGET GENES,0.02643171806167401,0.013215859030837005,0.013215859030837005,0.02643171806167401,0.01762114537444934,0.00881057268722467,0.013215859030837005,0.004405286343612335,0.07048458149779736,0.02643171806167401,0.0,0.022026431718061675,0.02643171806167401,0.05286343612334802,0.07048458149779736,0.004405286343612335,0.01762114537444934,0.030837004405286344,0.0,0.05286343612334802,0.004405286343612335,0.013215859030837005,1.0,0.04405286343612335,0.048458149779735685,0.0,0.004405286343612335,0.004405286343612335,0.01762114537444934,0.0,0.0,0.03524229074889868,0.0,0.004405286343612335,0.004405286343612335
ZNF622 TARGET GENES,0.0136986301369863,0.0136986301369863,0.0273972602739726,0.0136986301369863,0.0273972602739726,0.0,0.0,0.0273972602739726,0.0410958904109589,0.0,0.0,0.0,0.0136986301369863,0.0136986301369863,0.0547945205479452,0.0,0.0136986301369863,0.0410958904109589,0.0,0.0136986301369863,0.0,0.0273972602739726,0.136986301369863,1.0,0.0410958904109589,0.0,0.0,0.0273972602739726,0.0,0.0,0.0,0.0821917808219178,0.0,0.0136986301369863,0.0
NPAT TARGET GENES,0.02142857142857143,0.02142857142857143,0.03214285714285714,0.014285714285714285,0.0035714285714285713,0.007142857142857143,0.017857142857142856,0.010714285714285714,0.075,0.02857142857142857,0.0,0.04285714285714286,0.0035714285714285713,0.06428571428571428,0.03214285714285714,0.007142857142857143,0.007142857142857143,0.03214285714285714,0.0,0.010714285714285714,0.017857142857142856,0.017857142857142856,0.039285714285714285,0.010714285714285714,1.0,0.017857142857142856,0.0,0.0035714285714285713,0.010714285714285714,0.0,0.0035714285714285713,0.039285714285714285,0.014285714285714285,0.0,0.014285714285714285
COIL TARGET GENES,0.0,0.125,0.375,0.125,0.0,0.0,0.0,0.0,0.25,0.125,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF746 TARGET GENES,0.0375,0.0,0.0125,0.0,0.0125,0.0,0.0875,0.0,0.0625,0.0375,0.0,0.025,0.025,0.0125,0.05,0.0,0.0125,0.05,0.0,0.0125,0.0,0.0,0.0125,0.0,0.0,0.0,1.0,0.0125,0.0,0.0125,0.0,0.0375,0.0,0.0,0.0
ZNF677 TARGET GENES,0.027472527472527472,0.0,0.005494505494505495,0.02197802197802198,0.016483516483516484,0.01098901098901099,0.04945054945054945,0.04945054945054945,0.005494505494505495,0.027472527472527472,0.0,0.016483516483516484,0.02197802197802198,0.027472527472527472,0.027472527472527472,0.0,0.005494505494505495,0.02197802197802198,0.0,0.027472527472527472,0.01098901098901099,0.02197802197802198,0.005494505494505495,0.01098901098901099,0.005494505494505495,0.0,0.005494505494505495,1.0,0.02197802197802198,0.0,0.0,0.03296703296703297,0.005494505494505495,0.0,0.02197802197802198
ZNF354B TARGET GENES,0.03349282296650718,0.004784688995215311,0.0,0.0,0.019138755980861243,0.009569377990430622,0.0,0.0,0.0,0.009569377990430622,0.0,0.019138755980861243,0.004784688995215311,0.0430622009569378,0.009569377990430622,0.004784688995215311,0.019138755980861243,0.009569377990430622,0.0,0.0861244019138756,0.06220095693779904,0.009569377990430622,0.019138755980861243,0.0,0.014354066985645933,0.0,0.0,0.019138755980861243,1.0,0.0,0.004784688995215311,0.028708133971291867,0.014354066985645933,0.0,0.014354066985645933
ZNF529 TARGET GENES,0.043478260869565216,0.043478260869565216,0.021739130434782608,0.0,0.0,0.021739130434782608,0.021739130434782608,0.0,0.043478260869565216,0.021739130434782608,0.0,0.021739130434782608,0.0,0.0,0.043478260869565216,0.0,0.043478260869565216,0.021739130434782608,0.0,0.043478260869565216,0.043478260869565216,0.021739130434782608,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,1.0,0.10869565217391304,0.043478260869565216,0.0,0.021739130434782608,0.0
ZNF354C TARGET GENES,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.3333333333333333,1.0,0.06666666666666667,0.0,0.0,0.0
PGM3 TARGET GENES,0.05223880597014925,0.007462686567164179,0.011194029850746268,0.014925373134328358,0.011194029850746268,0.011194029850746268,0.07835820895522388,0.011194029850746268,0.0708955223880597,0.022388059701492536,0.0037313432835820895,0.041044776119402986,0.022388059701492536,0.03731343283582089,0.026119402985074626,0.0037313432835820895,0.0037313432835820895,0.029850746268656716,0.007462686567164179,0.029850746268656716,0.014925373134328358,0.014925373134328358,0.029850746268656716,0.022388059701492536,0.041044776119402986,0.0,0.011194029850746268,0.022388059701492536,0.022388059701492536,0.007462686567164179,0.0037313432835820895,1.0,0.018656716417910446,0.0037313432835820895,0.011194029850746268
"METHYLCYTOSINE DIOXYGENASE TET UNIPROT
A0A023HHK9 UNREVIEWED TARGET GENES",0.016666666666666666,0.005555555555555556,0.016666666666666666,0.022222222222222223,0.011111111111111112,0.005555555555555556,0.05,0.005555555555555556,0.03888888888888889,0.03333333333333333,0.0,0.022222222222222223,0.016666666666666666,0.0,0.022222222222222223,0.005555555555555556,0.022222222222222223,0.022222222222222223,0.005555555555555556,0.022222222222222223,0.03333333333333333,0.005555555555555556,0.0,0.0,0.022222222222222223,0.0,0.0,0.005555555555555556,0.016666666666666666,0.0,0.0,0.027777777777777776,1.0,0.03333333333333333,0.022222222222222223
HEY2 TARGET GENES,0.02631578947368421,0.013157894736842105,0.013157894736842105,0.039473684210526314,0.0,0.0,0.05263157894736842,0.013157894736842105,0.02631578947368421,0.013157894736842105,0.0,0.02631578947368421,0.02631578947368421,0.0,0.05263157894736842,0.0,0.013157894736842105,0.02631578947368421,0.0,0.013157894736842105,0.05263157894736842,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.0,0.013157894736842105,0.07894736842105263,1.0,0.02631578947368421
ARID3B TARGET GENES,0.030303030303030304,0.015151515151515152,0.010101010101010102,0.005050505050505051,0.010101010101010102,0.0,0.03535353535353535,0.010101010101010102,0.010101010101010102,0.020202020202020204,0.0,0.015151515151515152,0.005050505050505051,0.015151515151515152,0.005050505050505051,0.0,0.020202020202020204,0.0,0.0,0.005050505050505051,0.005050505050505051,0.0,0.005050505050505051,0.0,0.020202020202020204,0.0,0.0,0.020202020202020204,0.015151515151515152,0.0,0.0,0.015151515151515152,0.020202020202020204,0.010101010101010102,1.0
