Pathway,COMPLEMENT AND COAGULATION CASCADES,NEUROACTIVE LIGAND RECEPTOR INTERACTION,SPLICEOSOME,RNA DEGRADATION,CELL CYCLE,DNA REPLICATION,NUCLEOTIDE EXCISION REPAIR,PARKINSONS DISEASE,HUNTINGTONS DISEASE,OXIDATIVE PHOSPHORYLATION,ALZHEIMERS DISEASE,CARDIAC MUSCLE CONTRACTION,CALCIUM SIGNALING PATHWAY,LONG TERM POTENTIATION,GNRH SIGNALING PATHWAY,GAP JUNCTION,TASTE TRANSDUCTION,OLFACTORY TRANSDUCTION,RIBOSOME,PYRIMIDINE METABOLISM,RNA POLYMERASE,PROTEASOME,RETINOL METABOLISM,METABOLISM OF XENOBIOTICS BY CYTOCHROME P450,DRUG METABOLISM CYTOCHROME P450,DRUG METABOLISM OTHER ENZYMES,STEROID HORMONE BIOSYNTHESIS,PHOSPHATIDYLINOSITOL SIGNALING SYSTEM,INOSITOL PHOSPHATE METABOLISM,AMINOACYL TRNA BIOSYNTHESIS,GLYCINE SERINE AND THREONINE METABOLISM,ONE CARBON POOL BY FOLATE,ALANINE ASPARTATE AND GLUTAMATE METABOLISM,CYSTEINE AND METHIONINE METABOLISM,TYROSINE METABOLISM,INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION,SYSTEMIC LUPUS ERYTHEMATOSUS,PRIMARY BILE ACID BIOSYNTHESIS,PPAR SIGNALING PATHWAY,STEROID BIOSYNTHESIS
ALZHEIMERS DISEASE,0.0,0.029940119760479042,0.0,0.0,0.005988023952095809,0.0,0.0,0.5568862275449101,0.6047904191616766,0.5269461077844312,1.0,0.2275449101796407,0.20359281437125748,0.17365269461077845,0.11976047904191617,0.059880239520958084,0.011976047904191617,0.03592814371257485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07784431137724551,0.023952095808383235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017964071856287425,0.0,0.005988023952095809,0.0
CARDIAC MUSCLE CONTRACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4177215189873418,0.4177215189873418,0.4177215189873418,0.4810126582278481,1.0,0.10126582278481013,0.012658227848101266,0.05063291139240506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALCIUM SIGNALING PATHWAY,0.016853932584269662,0.3539325842696629,0.0,0.0,0.0,0.0,0.0,0.05056179775280899,0.09550561797752809,0.0,0.19101123595505617,0.0449438202247191,1.0,0.23595505617977527,0.21910112359550563,0.19101123595505617,0.06741573033707865,0.09550561797752809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1404494382022472,0.07303370786516854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056179775280898875,0.0,0.0,0.0
LONG TERM POTENTIATION,0.0,0.12857142857142856,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.15714285714285714,0.0,0.4142857142857143,0.014285714285714285,0.6,1.0,0.5142857142857142,0.38571428571428573,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22857142857142856,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0
GNRH SIGNALING PATHWAY,0.0,0.039603960396039604,0.0,0.0,0.0,0.0,0.0,0.0,0.0594059405940594,0.0,0.19801980198019803,0.039603960396039604,0.38613861386138615,0.3564356435643564,1.0,0.39603960396039606,0.09900990099009901,0.1485148514851485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1485148514851485,0.039603960396039604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAP JUNCTION,0.0,0.1,0.0,0.0,0.011111111111111112,0.0,0.0,0.0,0.07777777777777778,0.0,0.1111111111111111,0.0,0.37777777777777777,0.3,0.4444444444444444,1.0,0.1111111111111111,0.07777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TASTE TRANSDUCTION,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.038461538461538464,0.0,0.23076923076923078,0.1346153846153846,0.19230769230769232,0.19230769230769232,1.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLFACTORY TRANSDUCTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015424164524421594,0.0,0.043701799485861184,0.03598971722365039,0.038560411311053984,0.017994858611825194,0.010282776349614395,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015424164524421594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIBOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PYRIMIDINE METABOLISM,0.0,0.0,0.0,0.01020408163265306,0.0,0.12244897959183673,0.08163265306122448,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29591836734693877,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNA POLYMERASE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4827586206896552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROTEASOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0
RETINOL METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5625,0.59375,0.390625,0.359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109375,0.0,0.0,0.0,0.03125,0.0
METABOLISM OF XENOBIOTICS BY CYTOCHROME P450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5142857142857142,1.0,0.8571428571428571,0.3142857142857143,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17142857142857143,0.0,0.0,0.014285714285714285,0.0,0.0
DRUG METABOLISM CYTOCHROME P450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5277777777777778,0.8333333333333334,1.0,0.3472222222222222,0.3055555555555556,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.0
DRUG METABOLISM OTHER ENZYMES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27450980392156865,0.0,0.0,0.49019607843137253,0.43137254901960786,0.49019607843137253,1.0,0.43137254901960786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STEROID HORMONE BIOSYNTHESIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41818181818181815,0.509090909090909,0.4,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.07272727272727272,0.01818181818181818,0.01818181818181818
PHOSPHATIDYLINOSITOL SIGNALING SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06578947368421052,0.0,0.17105263157894737,0.0,0.32894736842105265,0.21052631578947367,0.19736842105263158,0.13157894736842105,0.02631578947368421,0.07894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INOSITOL PHOSPHATE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.07407407407407407,0.0,0.24074074074074073,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMINOACYL TRNA BIOSYNTHESIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLYCINE SERINE AND THREONINE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,1.0,0.0967741935483871,0.06451612903225806,0.12903225806451613,0.12903225806451613,0.0,0.0,0.0,0.0,0.0
ONE CARBON POOL BY FOLATE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.17647058823529413,1.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0
ALANINE ASPARTATE AND GLUTAMATE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,1.0,0.09375,0.09375,0.0,0.0,0.0,0.0,0.0
CYSTEINE AND METHIONINE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.029411764705882353,0.08823529411764706,1.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0
TYROSINE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,0.35714285714285715,0.0,0.023809523809523808,0.0,0.0,0.0,0.09523809523809523,0.0,0.07142857142857142,0.09523809523809523,1.0,0.0,0.0,0.0,0.0,0.0
INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4166666666666667,0.0,0.0,0.0
SYSTEMIC LUPUS ERYTHEMATOSUS,0.11510791366906475,0.02158273381294964,0.02158273381294964,0.0,0.0,0.0,0.0,0.0,0.007194244604316547,0.0,0.02158273381294964,0.0,0.007194244604316547,0.014388489208633094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007194244604316547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14388489208633093,1.0,0.0,0.0,0.0
PRIMARY BILE ACID BIOSYNTHESIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.375,0.0
PPAR SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028985507246376812,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028985507246376812,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,1.0,0.0
STEROID BIOSYNTHESIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
