Pathway,CELL SUBSTRATE JUNCTION,ADHERENS JUNCTION,CELL LEADING EDGE,CELL PROJECTION MEMBRANE,ACTIN BASED CELL PROJECTION,BASEMENT MEMBRANE,MEMBRANE MICRODOMAIN,PLASMA MEMBRANE RAFT,CAVEOLA,BASAL PART OF CELL,BASOLATERAL PLASMA MEMBRANE,APICAL PLASMA MEMBRANE,EXTERNAL SIDE OF PLASMA MEMBRANE,PROTEIN FOLDING CHAPERONE COMPLEX,SECRETORY GRANULE MEMBRANE,AZUROPHIL GRANULE MEMBRANE,AZUROPHIL GRANULE,COATED VESICLE,CLATHRIN COATED VESICLE,TRANSPORT VESICLE,LATE ENDOSOME,LATE ENDOSOME MEMBRANE,SPLICEOSOMAL COMPLEX,U2 TYPE SPLICEOSOMAL COMPLEX,CATALYTIC STEP 1 SPLICEOSOME,CATALYTIC STEP 2 SPLICEOSOME,PRECATALYTIC SPLICEOSOME,NUCLEAR RIBONUCLEOPROTEIN GRANULE,NUCLEAR SPECK,CHROMOSOMAL REGION,CHROMOSOME CENTROMERIC REGION,CONDENSED CHROMOSOME,NUCLEAR CHROMOSOME,NUCLEAR REPLICATION FORK,REPLICATION FORK,PROTEIN DNA COMPLEX,KERATIN FILAMENT,PRERIBOSOME,ORGANELLAR RIBOSOME,MITOCHONDRIAL LARGE RIBOSOMAL SUBUNIT
BASOLATERAL PLASMA MEMBRANE,0.09124087591240876,0.09124087591240876,0.10218978102189781,0.16058394160583941,0.09124087591240876,0.021897810218978103,0.12043795620437957,0.06204379562043796,0.040145985401459854,1.0,1.0,0.42700729927007297,0.06569343065693431,0.0036496350364963502,0.043795620437956206,0.0072992700729927005,0.014598540145985401,0.043795620437956206,0.040145985401459854,0.06934306569343066,0.032846715328467155,0.014598540145985401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036496350364963502,0.0036496350364963502,0.0036496350364963502,0.0,0.0,0.0,0.0036496350364963502,0.0036496350364963502,0.0,0.0,0.0
APICAL PLASMA MEMBRANE,0.07363420427553444,0.06175771971496437,0.09501187648456057,0.23040380047505937,0.12351543942992874,0.007125890736342043,0.10926365795724466,0.04275534441805225,0.0332541567695962,0.31116389548693585,0.27790973871733965,1.0,0.0831353919239905,0.0023752969121140144,0.0665083135391924,0.009501187648456057,0.0166270783847981,0.052256532066508314,0.04513064133016627,0.05938242280285035,0.04513064133016627,0.028503562945368172,0.0,0.0,0.0,0.0,0.0,0.0023752969121140144,0.0023752969121140144,0.007125890736342043,0.007125890736342043,0.004750593824228029,0.0023752969121140144,0.0,0.0,0.0023752969121140144,0.0,0.0,0.0,0.0
EXTERNAL SIDE OF PLASMA MEMBRANE,0.07874015748031496,0.013123359580052493,0.04461942257217848,0.06561679790026247,0.049868766404199474,0.010498687664041995,0.12073490813648294,0.04199475065616798,0.023622047244094488,0.06036745406824147,0.047244094488188976,0.09186351706036745,1.0,0.0,0.09711286089238845,0.007874015748031496,0.007874015748031496,0.07874015748031496,0.049868766404199474,0.049868766404199474,0.04199475065616798,0.015748031496062992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026246719160104987,0.0026246719160104987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROTEIN FOLDING CHAPERONE COMPLEX,0.02,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.0,1.0,0.0,0.0,0.04,0.02,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.04,0.02,0.04,0.02,0.02,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0
SECRETORY GRANULE MEMBRANE,0.09538461538461539,0.021538461538461538,0.043076923076923075,0.043076923076923075,0.027692307692307693,0.003076923076923077,0.08615384615384615,0.03076923076923077,0.012307692307692308,0.043076923076923075,0.036923076923076927,0.08615384615384615,0.11384615384615385,0.0,1.0,0.18153846153846154,0.19384615384615383,0.09230769230769231,0.06769230769230769,0.20307692307692307,0.08923076923076922,0.05846153846153846,0.003076923076923077,0.0,0.0,0.0,0.0,0.006153846153846154,0.003076923076923077,0.009230769230769232,0.009230769230769232,0.009230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZUROPHIL GRANULE MEMBRANE,0.05084745762711865,0.0,0.01694915254237288,0.03389830508474576,0.03389830508474576,0.0,0.11864406779661017,0.0,0.0,0.05084745762711865,0.03389830508474576,0.06779661016949153,0.05084745762711865,0.0,1.0,1.0,1.0,0.1016949152542373,0.06779661016949153,0.22033898305084745,0.2033898305084746,0.15254237288135594,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZUROPHIL GRANULE,0.06369426751592357,0.01910828025477707,0.01910828025477707,0.01910828025477707,0.01910828025477707,0.006369426751592357,0.07643312101910828,0.012738853503184714,0.006369426751592357,0.03184713375796178,0.025477707006369428,0.044585987261146494,0.01910828025477707,0.012738853503184714,0.4012738853503185,0.37579617834394907,1.0,0.050955414012738856,0.03184713375796178,0.10828025477707007,0.11464968152866242,0.06369426751592357,0.0,0.0,0.0,0.0,0.0,0.006369426751592357,0.006369426751592357,0.012738853503184714,0.012738853503184714,0.012738853503184714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COATED VESICLE,0.045871559633027525,0.009174311926605505,0.04892966360856269,0.04281345565749235,0.024464831804281346,0.0030581039755351682,0.03058103975535168,0.0061162079510703364,0.0061162079510703364,0.05198776758409786,0.03669724770642202,0.0672782874617737,0.09174311926605505,0.0030581039755351682,0.09174311926605505,0.01834862385321101,0.024464831804281346,1.0,0.6941896024464832,0.4923547400611621,0.14067278287461774,0.07951070336391437,0.0030581039755351682,0.0,0.0,0.0,0.0,0.0030581039755351682,0.0030581039755351682,0.0030581039755351682,0.0030581039755351682,0.0030581039755351682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLATHRIN COATED VESICLE,0.05726872246696035,0.013215859030837005,0.06167400881057269,0.04405286343612335,0.030837004405286344,0.0,0.04405286343612335,0.00881057268722467,0.00881057268722467,0.07048458149779736,0.048458149779735685,0.08370044052863436,0.08370044052863436,0.004405286343612335,0.09691629955947137,0.01762114537444934,0.022026431718061675,1.0,1.0,0.44052863436123346,0.18061674008810572,0.1013215859030837,0.004405286343612335,0.0,0.0,0.0,0.0,0.004405286343612335,0.004405286343612335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRANSPORT VESICLE,0.03319502074688797,0.008298755186721992,0.04564315352697095,0.04149377593360996,0.022821576763485476,0.0,0.03941908713692946,0.01037344398340249,0.01037344398340249,0.04771784232365145,0.03941908713692946,0.05186721991701245,0.03941908713692946,0.0,0.13692946058091288,0.026970954356846474,0.035269709543568464,0.33402489626556015,0.2074688796680498,1.0,0.11203319502074689,0.06846473029045644,0.0,0.0,0.0,0.0,0.0,0.004149377593360996,0.004149377593360996,0.012448132780082987,0.01037344398340249,0.012448132780082987,0.004149377593360996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LATE ENDOSOME,0.0364741641337386,0.00911854103343465,0.03951367781155015,0.0243161094224924,0.0121580547112462,0.00303951367781155,0.0729483282674772,0.03343465045592705,0.030395136778115502,0.03343465045592705,0.02735562310030395,0.057750759878419454,0.0486322188449848,0.0,0.08814589665653495,0.0364741641337386,0.0547112462006079,0.1398176291793313,0.12462006079027356,0.1641337386018237,1.0,0.5531914893617021,0.0,0.0,0.0,0.0,0.0,0.00303951367781155,0.00303951367781155,0.04559270516717325,0.04559270516717325,0.0425531914893617,0.00303951367781155,0.0,0.0,0.00303951367781155,0.0,0.0,0.0,0.0
LATE ENDOSOME MEMBRANE,0.027472527472527472,0.016483516483516484,0.016483516483516484,0.02197802197802198,0.0,0.005494505494505495,0.04945054945054945,0.01098901098901099,0.01098901098901099,0.027472527472527472,0.02197802197802198,0.06593406593406594,0.03296703296703297,0.0,0.1043956043956044,0.04945054945054945,0.054945054945054944,0.14285714285714285,0.12637362637362637,0.1813186813186813,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06593406593406594,0.06593406593406594,0.06593406593406594,0.005494505494505495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPLICEOSOMAL COMPLEX,0.0136986301369863,0.0,0.0045662100456621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045662100456621,0.0045662100456621,0.0,0.0,0.0045662100456621,0.0045662100456621,0.0,0.0,0.0,1.0,0.5068493150684932,0.3059360730593607,0.4931506849315068,0.319634703196347,0.3561643835616438,0.3378995433789954,0.0319634703196347,0.0136986301369863,0.0091324200913242,0.0273972602739726,0.0182648401826484,0.0182648401826484,0.0182648401826484,0.0,0.0045662100456621,0.0,0.0
U2 TYPE SPLICEOSOMAL COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6036036036036037,0.6396396396396397,0.4954954954954955,0.4954954954954955,0.4774774774774775,0.009009009009009009,0.0,0.0,0.04504504504504504,0.036036036036036036,0.036036036036036036,0.036036036036036036,0.0,0.009009009009009009,0.0,0.0
CATALYTIC STEP 1 SPLICEOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8955223880597015,0.44776119402985076,0.5074626865671642,0.4925373134328358,0.0,0.0,0.0,0.05970149253731343,0.05970149253731343,0.05970149253731343,0.05970149253731343,0.0,0.0,0.0,0.0
CATALYTIC STEP 2 SPLICEOSOME,0.018518518518518517,0.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6574074074074074,0.5555555555555556,1.0,0.37962962962962965,0.4351851851851852,0.4074074074074074,0.046296296296296294,0.018518518518518517,0.018518518518518517,0.046296296296296294,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.0
PRECATALYTIC SPLICEOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7857142857142857,0.42857142857142855,0.5857142857142857,1.0,0.37142857142857144,0.35714285714285715,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0
NUCLEAR RIBONUCLEOPROTEIN GRANULE,0.016632016632016633,0.004158004158004158,0.018711018711018712,0.006237006237006237,0.006237006237006237,0.0,0.004158004158004158,0.002079002079002079,0.0,0.002079002079002079,0.0,0.002079002079002079,0.0,0.004158004158004158,0.004158004158004158,0.002079002079002079,0.002079002079002079,0.002079002079002079,0.002079002079002079,0.004158004158004158,0.002079002079002079,0.0,0.16216216216216217,0.11434511434511435,0.07068607068607069,0.09771309771309772,0.05405405405405406,1.0,0.841995841995842,0.07692307692307693,0.033264033264033266,0.033264033264033266,0.04158004158004158,0.010395010395010396,0.02079002079002079,0.029106029106029108,0.002079002079002079,0.006237006237006237,0.0,0.0
NUCLEAR SPECK,0.019753086419753086,0.0024691358024691358,0.022222222222222223,0.007407407407407408,0.0049382716049382715,0.0,0.0049382716049382715,0.0024691358024691358,0.0,0.0024691358024691358,0.0,0.0024691358024691358,0.0,0.0024691358024691358,0.0024691358024691358,0.0024691358024691358,0.0024691358024691358,0.0024691358024691358,0.0024691358024691358,0.0049382716049382715,0.0024691358024691358,0.0,0.18271604938271604,0.1308641975308642,0.08148148148148149,0.10864197530864197,0.06172839506172839,1.0,1.0,0.06666666666666667,0.03209876543209877,0.03209876543209877,0.04691358024691358,0.012345679012345678,0.022222222222222223,0.0345679012345679,0.0024691358024691358,0.0,0.0,0.0
CHROMOSOMAL REGION,0.01909307875894988,0.007159904534606206,0.021479713603818614,0.007159904534606206,0.00954653937947494,0.0,0.007159904534606206,0.002386634844868735,0.002386634844868735,0.007159904534606206,0.002386634844868735,0.007159904534606206,0.002386634844868735,0.00477326968973747,0.007159904534606206,0.002386634844868735,0.00477326968973747,0.002386634844868735,0.0,0.014319809069212411,0.03579952267303103,0.028639618138424822,0.016706443914081145,0.002386634844868735,0.0,0.011933174224343675,0.002386634844868735,0.0883054892601432,0.06443914081145585,1.0,0.6515513126491647,0.5441527446300716,0.1909307875894988,0.028639618138424822,0.0477326968973747,0.1575178997613365,0.002386634844868735,0.00954653937947494,0.0,0.0
CHROMOSOME CENTROMERIC REGION,0.02197802197802198,0.007326007326007326,0.03296703296703297,0.01098901098901099,0.01098901098901099,0.0,0.01098901098901099,0.003663003663003663,0.003663003663003663,0.01098901098901099,0.003663003663003663,0.01098901098901099,0.003663003663003663,0.003663003663003663,0.01098901098901099,0.003663003663003663,0.007326007326007326,0.003663003663003663,0.0,0.018315018315018316,0.054945054945054944,0.04395604395604396,0.01098901098901099,0.0,0.0,0.007326007326007326,0.003663003663003663,0.05860805860805861,0.047619047619047616,1.0,1.0,0.7619047619047619,0.15018315018315018,0.007326007326007326,0.01098901098901099,0.10989010989010989,0.003663003663003663,0.003663003663003663,0.0,0.0
CONDENSED CHROMOSOME,0.02027027027027027,0.006756756756756757,0.033783783783783786,0.010135135135135136,0.0033783783783783786,0.0,0.006756756756756757,0.0033783783783783786,0.0033783783783783786,0.010135135135135136,0.0033783783783783786,0.006756756756756757,0.0,0.0033783783783783786,0.010135135135135136,0.0033783783783783786,0.006756756756756757,0.0033783783783783786,0.0,0.02027027027027027,0.0472972972972973,0.04054054054054054,0.006756756756756757,0.0,0.0,0.006756756756756757,0.0033783783783783786,0.05405405405405406,0.04391891891891892,0.7702702702702703,0.7027027027027027,1.0,0.34797297297297297,0.010135135135135136,0.02027027027027027,0.060810810810810814,0.0033783783783783786,0.006756756756756757,0.0,0.0
NUCLEAR CHROMOSOME,0.0,0.004098360655737705,0.004098360655737705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004098360655737705,0.0,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.00819672131147541,0.004098360655737705,0.004098360655737705,0.02459016393442623,0.020491803278688523,0.01639344262295082,0.020491803278688523,0.004098360655737705,0.08196721311475409,0.0778688524590164,0.32786885245901637,0.1680327868852459,0.42213114754098363,1.0,0.18442622950819673,0.20081967213114754,0.2459016393442623,0.0,0.00819672131147541,0.0,0.0
NUCLEAR REPLICATION FORK,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.0,0.1111111111111111,0.1111111111111111,0.26666666666666666,0.044444444444444446,0.06666666666666667,1.0,1.0,1.0,0.5555555555555556,0.0,0.0,0.0,0.0
REPLICATION FORK,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.0,0.1282051282051282,0.11538461538461539,0.2564102564102564,0.038461538461538464,0.07692307692307693,0.6282051282051282,0.5769230769230769,1.0,0.3717948717948718,0.0,0.0,0.0,0.0
PROTEIN DNA COMPLEX,0.020833333333333332,0.0125,0.008333333333333333,0.004166666666666667,0.004166666666666667,0.0,0.004166666666666667,0.004166666666666667,0.004166666666666667,0.004166666666666667,0.004166666666666667,0.004166666666666667,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0,0.058333333333333334,0.058333333333333334,0.275,0.125,0.075,0.25,0.10416666666666667,0.12083333333333333,1.0,0.0,0.008333333333333333,0.0,0.0
KERATIN FILAMENT,0.008771929824561403,0.008771929824561403,0.008771929824561403,0.008771929824561403,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.008771929824561403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008771929824561403,0.008771929824561403,0.008771929824561403,0.008771929824561403,0.008771929824561403,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PRERIBOSOME,0.11320754716981132,0.0,0.0,0.0,0.009433962264150943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009433962264150943,0.009433962264150943,0.0,0.0,0.009433962264150943,0.02830188679245283,0.0,0.03773584905660377,0.009433962264150943,0.018867924528301886,0.018867924528301886,0.0,0.0,0.018867924528301886,0.0,1.0,0.0,0.0
ORGANELLAR RIBOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6190476190476191
MITOCHONDRIAL LARGE RIBOSOMAL SUBUNIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
