"TF","HT55","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ESR2","3.643816745861407025","3.643816745861407025","3.643816745861407025","Activated","11","viper","11","3.643816745861407025",NA,NA,"5","Literature--ChIP-seq(rank=13); ReMap--ChIP-seq(rank=133); Enrichr--Queries(rank=525); ARCHS4--Coexpression(rank=666); GTEx--Coexpression(rank=1062)","300","0.07926999999999999","Literature ChIP-seq,0.07927"
"TFAP4","3.629900259818145791","3.629900259818145791","3.629900259818145791","Activated","12","viper","12","3.629900259818145791",NA,NA,"4","ReMap--ChIP-seq(rank=41); ARCHS4--Coexpression(rank=720); Enrichr--Queries(rank=849); GTEx--Coexpression(rank=1484)","474","0.13800000000000001","ReMap ChIP-seq,0.138"
"MYC","-3.524213288529460808","-3.524213288529460808","3.524213288529460808","Repressed","13","viper","13","3.524213288529460808",NA,NA,"6","GTEx--Coexpression(rank=34); Literature--ChIP-seq(rank=69); ENCODE--ChIP-seq(rank=84); ReMap--ChIP-seq(rank=248); Enrichr--Queries(rank=510); ARCHS4--Coexpression(rank=1389)","85","0.02116000000000000","GTEx Coexpression,0.02116"
"MNT","-3.342082386326479693","-3.342082386326479693","3.342082386326479693","Repressed","14","viper","14","3.342082386326479693",NA,NA,"4","ReMap--ChIP-seq(rank=150); GTEx--Coexpression(rank=401); Enrichr--Queries(rank=643); ARCHS4--Coexpression(rank=1112)","780","0.24950000000000000","GTEx Coexpression,0.2495"
"STAT5B","3.338547156785073966","3.338547156785073966","3.338547156785073966","Activated","15","viper","15","3.338547156785073966",NA,NA,"4","GTEx--Coexpression(rank=98); ReMap--ChIP-seq(rank=179); ARCHS4--Coexpression(rank=449); Enrichr--Queries(rank=801)","238","0.06098000000000000","GTEx Coexpression,0.06098"
"STAT5A","3.329415057850355186","3.329415057850355186","3.329415057850355186","Activated","16","viper","16","3.329415057850355186",NA,NA,"6","Literature--ChIP-seq(rank=44); ENCODE--ChIP-seq(rank=46); Enrichr--Queries(rank=135); ReMap--ChIP-seq(rank=247); GTEx--Coexpression(rank=252); ARCHS4--Coexpression(rank=619)","354","0.09615000000000001","Enrichr Queries,0.09615"
"ATF2","3.262669887623949272","3.262669887623949272","3.262669887623949272","Activated","17","viper","17","3.262669887623949272",NA,NA,"5","ENCODE--ChIP-seq(rank=99); ReMap--ChIP-seq(rank=246); Enrichr--Queries(rank=1351); GTEx--Coexpression(rank=1401); ARCHS4--Coexpression(rank=1535)","1598","0.82830000000000004","ReMap ChIP-seq,0.8283"
"CEBPB","3.252556634659453660","3.252556634659453660","3.252556634659453660","Activated","18","viper","18","3.252556634659453660",NA,NA,"6","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=9); Enrichr--Queries(rank=40); Literature--ChIP-seq(rank=96); GTEx--Coexpression(rank=100); ARCHS4--Coexpression(rank=175)","33","0.00847500000000000","ENCODE ChIP-seq,0.008475"
"CEBPA","3.139152189452019570","3.139152189452019570","3.139152189452019570","Activated","19","viper","19","3.139152189452019570",NA,NA,"5","ReMap--ChIP-seq(rank=39); Literature--ChIP-seq(rank=80); Enrichr--Queries(rank=134); GTEx--Coexpression(rank=187); ARCHS4--Coexpression(rank=193)","352","0.09544000000000000","Enrichr Queries,0.09544"
"ELK1","3.129942539719163364","3.129942539719163364","3.129942539719163364","Activated","20","viper","20","3.129942539719163364",NA,NA,"5","ENCODE--ChIP-seq(rank=101); Literature--ChIP-seq(rank=150); ReMap--ChIP-seq(rank=284); GTEx--Coexpression(rank=551); ARCHS4--Coexpression(rank=1576)","995","0.34289999999999998","GTEx Coexpression,0.3429"
"FOXO3","3.094735735452715630","3.094735735452715630","3.094735735452715630","Activated","21","viper","21","3.094735735452715630",NA,NA,"4","Literature--ChIP-seq(rank=16); Enrichr--Queries(rank=635); GTEx--Coexpression(rank=685); ARCHS4--Coexpression(rank=1089)","357","0.09755999999999999","Literature ChIP-seq,0.09756"
"RELB","3.093277354478199292","3.093277354478199292","3.093277354478199292","Activated","22","viper","22","3.093277354478199292",NA,NA,"4","Enrichr--Queries(rank=19); ReMap--ChIP-seq(rank=115); ARCHS4--Coexpression(rank=131); GTEx--Coexpression(rank=342)","54","0.01353000000000000","Enrichr Queries,0.01353"
"AR","3.087940079909692326","3.087940079909692326","3.087940079909692326","Activated","23","viper","23","3.087940079909692326",NA,NA,"5","ReMap--ChIP-seq(rank=8); Literature--ChIP-seq(rank=51); Enrichr--Queries(rank=273); ARCHS4--Coexpression(rank=315); GTEx--Coexpression(rank=607)","106","0.02694000000000000","ReMap ChIP-seq,0.02694"
"FOSL2","3.084416881827660717","3.084416881827660717","3.084416881827660717","Activated","24","viper","24","3.084416881827660717",NA,NA,"5","ENCODE--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=16); Enrichr--Queries(rank=106); GTEx--Coexpression(rank=171); ARCHS4--Coexpression(rank=209)","212","0.05387000000000000","ReMap ChIP-seq,0.05387"
"VDR","3.020857259650774562","3.020857259650774562","3.020857259650774562","Activated","25","viper","25","3.020857259650774562",NA,NA,"5","ARCHS4--Coexpression(rank=20); Literature--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=51); GTEx--Coexpression(rank=133); Enrichr--Queries(rank=195)","48","0.01229000000000000","ARCHS4 Coexpression,0.01229"
"JUN","2.982451400015853515","2.982451400015853515","2.982451400015853515","Activated","26","viper","26","2.982451400015853515",NA,NA,"6","ENCODE--ChIP-seq(rank=14); GTEx--Coexpression(rank=21); ARCHS4--Coexpression(rank=31); Literature--ChIP-seq(rank=48); ReMap--ChIP-seq(rank=50); Enrichr--Queries(rank=187)","52","0.01307000000000000","GTEx Coexpression,0.01307"
"ZBTB7A","-2.979217488844461581","-2.979217488844461581","2.979217488844461581","Repressed","27","viper","27","2.979217488844461581",NA,NA,"5","ENCODE--ChIP-seq(rank=41); ReMap--ChIP-seq(rank=118); ARCHS4--Coexpression(rank=414); GTEx--Coexpression(rank=472); Enrichr--Queries(rank=1052)","792","0.25430000000000003","ARCHS4 Coexpression,0.2543"
"NFKB2","-2.909840734214850677","-2.909840734214850677","2.909840734214850677","Repressed","28","viper","28","2.909840734214850677",NA,NA,"4","ReMap--ChIP-seq(rank=26); Enrichr--Queries(rank=102); ARCHS4--Coexpression(rank=224); GTEx--Coexpression(rank=564)","278","0.07265000000000001","Enrichr Queries,0.07265"
"THAP11","2.834423751010745729","2.834423751010745729","2.834423751010745729","Activated","29","viper","29","2.834423751010745729",NA,NA,"5","Literature--ChIP-seq(rank=154); ReMap--ChIP-seq(rank=202); ARCHS4--Coexpression(rank=911); GTEx--Coexpression(rank=1107); Enrichr--Queries(rank=1193)","1354","0.55959999999999999","ARCHS4 Coexpression,0.5596"
"HBP1","-2.819187440384846255","-2.819187440384846255","2.819187440384846255","Repressed","30","viper","30","2.819187440384846255",NA,NA,"4","ReMap--ChIP-seq(rank=68); Enrichr--Queries(rank=468); ARCHS4--Coexpression(rank=479); GTEx--Coexpression(rank=1033)","728","0.22900000000000001","ReMap ChIP-seq,0.229"
"IRF9","2.800631093020915507","2.800631093020915507","2.800631093020915507","Activated","31","viper","31","2.800631093020915507",NA,NA,"4","Enrichr--Queries(rank=5); ReMap--ChIP-seq(rank=149); ARCHS4--Coexpression(rank=279); GTEx--Coexpression(rank=385)","14","0.00356100000000000","Enrichr Queries,0.003561"
"SOX9","2.767225671366179363","2.767225671366179363","2.767225671366179363","Activated","32","viper","32","2.767225671366179363",NA,NA,"5","Literature--ChIP-seq(rank=52); Enrichr--Queries(rank=129); ARCHS4--Coexpression(rank=156); ReMap--ChIP-seq(rank=187); GTEx--Coexpression(rank=504)","339","0.09188000000000000","Enrichr Queries,0.09188"
"SOX13","2.753557160716623375","2.753557160716623375","2.753557160716623375","Activated","33","viper","33","2.753557160716623375",NA,NA,"4","ReMap--ChIP-seq(rank=27); Enrichr--Queries(rank=83); GTEx--Coexpression(rank=161); ARCHS4--Coexpression(rank=372)","229","0.05912000000000000","Enrichr Queries,0.05912"
"STAT2","2.689706256526795958","2.689706256526795958","2.689706256526795958","Activated","34","viper","34","2.689706256526795958",NA,NA,"5","ENCODE--ChIP-seq(rank=4); Enrichr--Queries(rank=30); ARCHS4--Coexpression(rank=40); ReMap--ChIP-seq(rank=63); GTEx--Coexpression(rank=1575)","86","0.02137000000000000","Enrichr Queries,0.02137"
"TFAP2A","2.656061910806747139","2.656061910806747139","2.656061910806747139","Activated","35","viper","35","2.656061910806747139",NA,NA,"6","ENCODE--ChIP-seq(rank=47); GTEx--Coexpression(rank=78); Literature--ChIP-seq(rank=127); ReMap--ChIP-seq(rank=135); ARCHS4--Coexpression(rank=278); Enrichr--Queries(rank=321)","193","0.04854000000000000","GTEx Coexpression,0.04854"
"GATA6","2.647812340965497224","2.647812340965497224","2.647812340965497224","Activated","36","viper","36","2.647812340965497224",NA,NA,"5","ReMap--ChIP-seq(rank=20); Enrichr--Queries(rank=34); Literature--ChIP-seq(rank=37); ARCHS4--Coexpression(rank=83); GTEx--Coexpression(rank=859)","94","0.02422000000000000","Enrichr Queries,0.02422"
"IRF3","2.631861551758159834","2.631861551758159834","2.631861551758159834","Activated","37","viper","37","2.631861551758159834",NA,NA,"5","ENCODE--ChIP-seq(rank=91); ReMap--ChIP-seq(rank=267); ARCHS4--Coexpression(rank=999); Enrichr--Queries(rank=1096); GTEx--Coexpression(rank=1292)","1424","0.61360000000000003","ARCHS4 Coexpression,0.6136"
"ATF1","2.572163049206143803","2.572163049206143803","2.572163049206143803","Activated","38","viper","38","2.572163049206143803",NA,NA,"5","ENCODE--ChIP-seq(rank=108); ReMap--ChIP-seq(rank=188); ARCHS4--Coexpression(rank=760); Enrichr--Queries(rank=1111); GTEx--Coexpression(rank=1239)","1217","0.46679999999999999","ARCHS4 Coexpression,0.4668"
"HNF1A","2.546203258579398110","2.546203258579398110","2.546203258579398110","Activated","39","viper","39","2.546203258579398110",NA,NA,"3","ARCHS4--Coexpression(rank=174); Enrichr--Queries(rank=624); GTEx--Coexpression(rank=667)","386","0.10690000000000000","ARCHS4 Coexpression,0.1069"
"SREBF1","-2.545043014808408000","-2.545043014808408000","2.545043014808408000","Repressed","40","viper","40","2.545043014808408000",NA,NA,"6","ENCODE--ChIP-seq(rank=36); Literature--ChIP-seq(rank=121); GTEx--Coexpression(rank=209); ReMap--ChIP-seq(rank=225); Enrichr--Queries(rank=479); ARCHS4--Coexpression(rank=1494)","453","0.13009999999999999","GTEx Coexpression,0.1301"
"RELA","2.540436049199560120","2.540436049199560120","2.540436049199560120","Activated","41","viper","41","2.540436049199560120",NA,NA,"6","ENCODE--ChIP-seq(rank=37); Literature--ChIP-seq(rank=67); ReMap--ChIP-seq(rank=96); GTEx--Coexpression(rank=689); Enrichr--Queries(rank=973); ARCHS4--Coexpression(rank=1509)","930","0.31359999999999999","ENCODE ChIP-seq,0.3136"
"SP3","2.535335027642420691","2.535335027642420691","2.535335027642420691","Activated","42","viper","42","2.535335027642420691",NA,NA,"3","GTEx--Coexpression(rank=638); Enrichr--Queries(rank=1173); ARCHS4--Coexpression(rank=1230)","1099","0.39700000000000002","GTEx Coexpression,0.397"
"STAT1","2.471180009349033480","2.471180009349033480","2.471180009349033480","Activated","43","viper","43","2.471180009349033480",NA,NA,"6","ReMap--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=13); ARCHS4--Coexpression(rank=52); Literature--ChIP-seq(rank=131); Enrichr--Queries(rank=215); GTEx--Coexpression(rank=1003)","126","0.03194000000000000","ARCHS4 Coexpression,0.03194"
"STAT6","2.469305640605714558","2.469305640605714558","2.469305640605714558","Activated","44","viper","44","2.469305640605714558",NA,NA,"4","Literature--ChIP-seq(rank=107); Enrichr--Queries(rank=334); ARCHS4--Coexpression(rank=459); GTEx--Coexpression(rank=1200)","753","0.23790000000000000","Enrichr Queries,0.2379"
"NFKB1","2.429131819370097478","2.429131819370097478","2.429131819370097478","Activated","45","viper","45","2.429131819370097478",NA,NA,"4","ARCHS4--Coexpression(rank=71); ReMap--ChIP-seq(rank=130); Enrichr--Queries(rank=434); GTEx--Coexpression(rank=839)","175","0.04361000000000000","ARCHS4 Coexpression,0.04361"
"KLF9","2.426483211259159667","2.426483211259159667","2.426483211259159667","Activated","46","viper","46","2.426483211259159667",NA,NA,"4","ARCHS4--Coexpression(rank=55); ReMap--ChIP-seq(rank=153); Enrichr--Queries(rank=162); GTEx--Coexpression(rank=251)","136","0.03378000000000000","ARCHS4 Coexpression,0.03378"
"TEAD2","2.360682040190170916","2.360682040190170916","2.360682040190170916","Activated","47","viper","47","2.360682040190170916",NA,NA,"4","ReMap--ChIP-seq(rank=184); ARCHS4--Coexpression(rank=287); GTEx--Coexpression(rank=322); Enrichr--Queries(rank=575)","591","0.17630000000000001","ARCHS4 Coexpression,0.1763"
"PRDM14","2.347304055518283139","2.347304055518283139","2.347304055518283139","Activated","48","viper","48","2.347304055518283139",NA,NA,"5","Literature--ChIP-seq(rank=58); ReMap--ChIP-seq(rank=116); ARCHS4--Coexpression(rank=263); Enrichr--Queries(rank=865); GTEx--Coexpression(rank=1567)","549","0.16150000000000000","ARCHS4 Coexpression,0.1615"
"NR1H2","2.345991339813007670","2.345991339813007670","2.345991339813007670","Activated","49","viper","49","2.345991339813007670",NA,NA,"4","ReMap--ChIP-seq(rank=14); ARCHS4--Coexpression(rank=922); Enrichr--Queries(rank=940); GTEx--Coexpression(rank=946)","187","0.04714000000000000","ReMap ChIP-seq,0.04714"
"ATF7","-2.304746587591160356","-2.304746587591160356","2.304746587591160356","Repressed","50","viper","50","2.304746587591160356",NA,NA,"4","ReMap--ChIP-seq(rank=72); ARCHS4--Coexpression(rank=154); GTEx--Coexpression(rank=936); Enrichr--Queries(rank=1229)","348","0.09458999999999999","ARCHS4 Coexpression,0.09459"
"ATF6","2.269628552374288510","2.269628552374288510","2.269628552374288510","Activated","51","viper","51","2.269628552374288510",NA,NA,"3","ARCHS4--Coexpression(rank=361); GTEx--Coexpression(rank=415); Enrichr--Queries(rank=805)","711","0.22170000000000001","ARCHS4 Coexpression,0.2217"
"CEBPD","2.263422456202741184","2.263422456202741184","2.263422456202741184","Activated","52","viper","52","2.263422456202741184",NA,NA,"5","ARCHS4--Coexpression(rank=28); GTEx--Coexpression(rank=38); ENCODE--ChIP-seq(rank=40); Literature--ChIP-seq(rank=114); ReMap--ChIP-seq(rank=146)","68","0.01720000000000000","ARCHS4 Coexpression,0.0172"
"SMAD4","2.248296052138063494","2.248296052138063494","2.248296052138063494","Activated","53","viper","53","2.248296052138063494",NA,NA,"5","Literature--ChIP-seq(rank=21); ReMap--ChIP-seq(rank=43); Enrichr--Queries(rank=1227); ARCHS4--Coexpression(rank=1407); GTEx--Coexpression(rank=1446)","449","0.12800000000000000","Literature ChIP-seq,0.128"
"ZNF143","-2.189778870944121270","-2.189778870944121270","2.189778870944121270","Repressed","54","viper","54","2.189778870944121270",NA,NA,"5","ENCODE--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=210); GTEx--Coexpression(rank=469); Enrichr--Queries(rank=784); ARCHS4--Coexpression(rank=1175)","886","0.29180000000000000","GTEx Coexpression,0.2918"
"SMAD3","2.169878636105997405","2.169878636105997405","2.169878636105997405","Activated","55","viper","55","2.169878636105997405",NA,NA,"5","Literature--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=28); GTEx--Coexpression(rank=77); Enrichr--Queries(rank=412); ARCHS4--Coexpression(rank=426)","190","0.04792000000000000","GTEx Coexpression,0.04792"
"EPAS1","2.168654220627697526","2.168654220627697526","2.168654220627697526","Activated","56","viper","56","2.168654220627697526",NA,NA,"4","ReMap--ChIP-seq(rank=32); ARCHS4--Coexpression(rank=59); Enrichr--Queries(rank=60); GTEx--Coexpression(rank=85)","144","0.03624000000000000","ARCHS4 Coexpression,0.03624"
"PPARG","2.136542758390191477","2.136542758390191477","2.136542758390191477","Activated","57","viper","57","2.136542758390191477",NA,NA,"5","ReMap--ChIP-seq(rank=3); Literature--ChIP-seq(rank=17); ARCHS4--Coexpression(rank=25); Enrichr--Queries(rank=49); GTEx--Coexpression(rank=107)","41","0.01010000000000000","ReMap ChIP-seq,0.0101"
"MXI1","-2.122703663651225092","-2.122703663651225092","2.122703663651225092","Repressed","58","viper","58","2.122703663651225092",NA,NA,"5","ENCODE--ChIP-seq(rank=62); ReMap--ChIP-seq(rank=201); Enrichr--Queries(rank=247); GTEx--Coexpression(rank=354); ARCHS4--Coexpression(rank=758)","590","0.17590000000000000","Enrichr Queries,0.1759"
"MAX","2.105103472149762123","2.105103472149762123","2.105103472149762123","Activated","59","viper","59","2.105103472149762123",NA,NA,"5","ENCODE--ChIP-seq(rank=68); ReMap--ChIP-seq(rank=129); ARCHS4--Coexpression(rank=240); GTEx--Coexpression(rank=837); Enrichr--Queries(rank=839)","502","0.14740000000000000","ARCHS4 Coexpression,0.1474"
"EGR1","2.096260755485539473","2.096260755485539473","2.096260755485539473","Activated","60","viper","60","2.096260755485539473",NA,NA,"6","GTEx--Coexpression(rank=29); Enrichr--Queries(rank=32); Literature--ChIP-seq(rank=75); ENCODE--ChIP-seq(rank=77); ARCHS4--Coexpression(rank=122); ReMap--ChIP-seq(rank=217)","72","0.01805000000000000","GTEx Coexpression,0.01805"
"GRHL2","2.089355672818428378","2.089355672818428378","2.089355672818428378","Activated","61","viper","61","2.089355672818428378",NA,NA,"5","ReMap--ChIP-seq(rank=10); Literature--ChIP-seq(rank=120); ARCHS4--Coexpression(rank=129); GTEx--Coexpression(rank=173); Enrichr--Queries(rank=735)","135","0.03367000000000000","ReMap ChIP-seq,0.03367"
"FOS","2.051877790013634684","2.051877790013634684","2.051877790013634684","Activated","62","viper","62","2.051877790013634684",NA,NA,"5","GTEx--Coexpression(rank=1); ENCODE--ChIP-seq(rank=21); Enrichr--Queries(rank=21); ReMap--ChIP-seq(rank=40); ARCHS4--Coexpression(rank=73)","2","0.00062230000000000","GTEx Coexpression,6.223E-4"
"ZKSCAN1","2.022308630273174757","2.022308630273174757","2.022308630273174757","Activated","63","viper","63","2.022308630273174757",NA,NA,"5","ENCODE--ChIP-seq(rank=67); ReMap--ChIP-seq(rank=176); GTEx--Coexpression(rank=683); Enrichr--Queries(rank=1297); ARCHS4--Coexpression(rank=1326)","1141","0.42499999999999999","GTEx Coexpression,0.425"
"CDX2","2.021756441228482970","2.021756441228482970","2.021756441228482970","Activated","64","viper","64","2.021756441228482970",NA,NA,"5","ReMap--ChIP-seq(rank=1); Literature--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=7); GTEx--Coexpression(rank=10); Enrichr--Queries(rank=602)","13","0.00336700000000000","ReMap ChIP-seq,0.003367"
"MBD1","2.013923963513523763","2.013923963513523763","2.013923963513523763","Activated","65","viper","65","2.013923963513523763",NA,NA,"3","GTEx--Coexpression(rank=788); Enrichr--Queries(rank=933); ARCHS4--Coexpression(rank=1526)","1255","0.49040000000000000","GTEx Coexpression,0.4904"
"KLF4","1.967943418038752057","1.967943418038752057","1.967943418038752057","Activated","66","viper","66","1.967943418038752057",NA,NA,"5","ARCHS4--Coexpression(rank=4); Enrichr--Queries(rank=9); GTEx--Coexpression(rank=32); Literature--ChIP-seq(rank=38); ReMap--ChIP-seq(rank=82)","9","0.00245700000000000","ARCHS4 Coexpression,0.002457"
"MAFB","-1.929026027165254176","-1.929026027165254176","1.929026027165254176","Repressed","67","viper","67","1.929026027165254176",NA,NA,"4","Enrichr--Queries(rank=8); ARCHS4--Coexpression(rank=38); ReMap--ChIP-seq(rank=143); GTEx--Coexpression(rank=177)","23","0.00569800000000000","Enrichr Queries,0.005698"
"NR1H3","1.909439987518284365","1.909439987518284365","1.909439987518284365","Activated","68","viper","68","1.909439987518284365",NA,NA,"5","Literature--ChIP-seq(rank=18); Enrichr--Queries(rank=39); ARCHS4--Coexpression(rank=132); GTEx--Coexpression(rank=156); ReMap--ChIP-seq(rank=172)","110","0.02778000000000000","Enrichr Queries,0.02778"
"TP63","1.901214998181988580","1.901214998181988580","1.901214998181988580","Activated","69","viper","69","1.901214998181988580",NA,NA,"5","Literature--ChIP-seq(rank=36); GTEx--Coexpression(rank=54); ReMap--ChIP-seq(rank=126); ARCHS4--Coexpression(rank=303); Enrichr--Queries(rank=414)","134","0.03360000000000000","GTEx Coexpression,0.0336"
"E2F3","1.896852795392163671","1.896852795392163671","1.896852795392163671","Activated","70","viper","70","1.896852795392163671",NA,NA,"3","GTEx--Coexpression(rank=556); Enrichr--Queries(rank=1124); ARCHS4--Coexpression(rank=1298)","1002","0.34599999999999992","GTEx Coexpression,0.346"
"RXRA","1.893841562159740199","1.893841562159740199","1.893841562159740199","Activated","71","viper","71","1.893841562159740199",NA,NA,"6","ReMap--ChIP-seq(rank=33); ENCODE--ChIP-seq(rank=38); Literature--ChIP-seq(rank=125); ARCHS4--Coexpression(rank=463); GTEx--Coexpression(rank=633); Enrichr--Queries(rank=689)","395","0.11110000000000000","ReMap ChIP-seq,0.1111"
"STAT4","1.885509145816631760","1.885509145816631760","1.885509145816631760","Activated","72","viper","72","1.885509145816631760",NA,NA,"4","Literature--ChIP-seq(rank=60); ARCHS4--Coexpression(rank=107); Enrichr--Queries(rank=227); GTEx--Coexpression(rank=840)","252","0.06572000000000000","ARCHS4 Coexpression,0.06572"
"MITF","1.882027335537136414","1.882027335537136414","1.882027335537136414","Activated","73","viper","73","1.882027335537136414",NA,NA,"5","Literature--ChIP-seq(rank=77); Enrichr--Queries(rank=90); ARCHS4--Coexpression(rank=113); ReMap--ChIP-seq(rank=190); GTEx--Coexpression(rank=448)","247","0.06410000000000000","Enrichr Queries,0.0641"
"SMAD5","-1.879224416230818484","-1.879224416230818484","1.879224416230818484","Repressed","74","viper","74","1.879224416230818484",NA,NA,"4","ReMap--ChIP-seq(rank=250); GTEx--Coexpression(rank=643); ARCHS4--Coexpression(rank=1184); Enrichr--Queries(rank=1285)","1106","0.40010000000000001","GTEx Coexpression,0.4001"
"HNF4A","1.873449403727758256","1.873449403727758256","1.873449403727758256","Activated","75","viper","75","1.873449403727758256",NA,NA,"6","ENCODE--ChIP-seq(rank=28); ReMap--ChIP-seq(rank=34); ARCHS4--Coexpression(rank=37); Literature--ChIP-seq(rank=71); GTEx--Coexpression(rank=435); Enrichr--Queries(rank=623)","90","0.02273000000000000","ARCHS4 Coexpression,0.02273"
"XBP1","-1.872672998598642780","-1.872672998598642780","1.872672998598642780","Repressed","76","viper","76","1.872672998598642780",NA,NA,"4","ARCHS4--Coexpression(rank=212); ReMap--ChIP-seq(rank=259); Enrichr--Queries(rank=637); GTEx--Coexpression(rank=970)","454","0.13020000000000001","ARCHS4 Coexpression,0.1302"
"EBF1","1.865126594105871449","1.865126594105871449","1.865126594105871449","Activated","77","viper","77","1.865126594105871449",NA,NA,"5","ENCODE--ChIP-seq(rank=86); ReMap--ChIP-seq(rank=123); GTEx--Coexpression(rank=268); ARCHS4--Coexpression(rank=274); Enrichr--Queries(rank=560)","563","0.16680000000000000","GTEx Coexpression,0.1668"
"REL","1.864171106475096984","1.864171106475096984","1.864171106475096984","Activated","78","viper","78","1.864171106475096984",NA,NA,"3","ARCHS4--Coexpression(rank=95); Enrichr--Queries(rank=172); GTEx--Coexpression(rank=406)","227","0.05835000000000000","ARCHS4 Coexpression,0.05835"
"NCOA2","-1.863323484353388571","-1.863323484353388571","1.863323484353388571","Repressed","79","viper","79","1.863323484353388571",NA,NA,"4","ReMap--ChIP-seq(rank=80); GTEx--Coexpression(rank=455); ARCHS4--Coexpression(rank=938); Enrichr--Queries(rank=1226)","832","0.26939999999999997","ReMap ChIP-seq,0.2694"
