"Signature_Group","Signature"
"Bcells","Memory_B-cells_xCell"
"Bcells","naive_B-cells_xCell"
"Bcells","pro_B-cells_xCell"
"Bcells","Plasma_cells_CIBERSORT"
"Bcells","Plasma_cells_xCell"
"Tcells","T_cells_CD8_CIBERSORT"
"Tcells","T_cells_CD4_naive_CIBERSORT"
"Tcells","T_cells_CD4_memory_resting_CIBERSORT"
"Tcells","T_cells_CD4_memory_activated_CIBERSORT"
"Tcells","T_cells_follicular_helper_CIBERSORT"
"Tcells","T_cells_regulatory_(Tregs)_CIBERSORT"
"Tcells","T_cells_gamma_delta_CIBERSORT"
"Tcells","T_cells_MCPcounter"
"Tcells","CD8_T_cells_MCPcounter"
"Tcells","T_cells_CD4_quantiseq"
"Tcells","T_cells_CD8_quantiseq"
"Tcells","CD8_T_cells_Danaher_et_al"
"Tcells","T_cells_Danaher_et_al"
"Tcells","T_cells_Bindea_et_al"
"Tcells","CD8_T_cells_Bindea_et_al"
"Tcells","CD4+_memory_T-cells_xCell"
"Tcells","CD4+_naive_T-cells_xCell"
"Tcells","CD4+_T-cells_xCell"
"Tcells","CD8+_naive_T-cells_xCell"
"Tcells","CD8+_T-cells_xCell"
"Tcells","T_cell_CD4_TIMER"
"Tcells","T_cell_CD8_TIMER"
"Tcells","Co_stimulation_T_cell_Rooney_et_al"
"Tcells","Co_inhibition_T_cell_Rooney_et_al"
"Tcells","T_cell_inflamed_GEP_Ayers_et_al"
"Tcells","T_cell_accumulation_Peng_et_al"
"Tcells","T_cell_exhaustion_Peng_et_al"
"Tcells","T_cell_regulatory_Peng_et_al"
"Tcells","T_cell_probe_Jeschke_et_al"
"Tcells","CD4+_Tcm_xCell"
"Tcells","CD4+_Tem_xCell"
"Tcells","CD4_Tcells_EPIC"
"Tcells","GO_CD40_RECEPTOR_COMPLEX"
"Tcells","CD8+_Tcm_xCell"
"Tcells","CD8+_Tem_xCell"
"Tcells","CD8_Tcells_EPIC"
"Tcells","CD8_Rooney_et_al"
"Tcells","Exhausted_CD8_Danaher_et_al"
"Tcells","CD4_c0_Tcm"
"Tcells","CD4_c1_Treg"
"Tcells","CD4_c10_Tn_LEF1_ANKRD55"
"Tcells","CD4_c11_Tisg"
"Tcells","CD4_c2_Tn"
"Tcells","CD4_c3_Tfh"
"Tcells","CD4_c4_Tstr"
"Tcells","CD4_c5_CTL"
"Tcells","CD4_c6_Tn_FHIT"
"Tcells","CD4_c7_Tn_TCEA3"
"Tcells","CD4_c8_Tf17"
"Tcells","CD4_c9_Tn_TCF7_SLC40A1"
"Tcells","CD8_c0_t_Teff"
"Tcells","CD8_c1_Tex"
"Tcells","CD8_c10_Teff_CD244"
"Tcells","CD8_c11_Teff_SEMA4A"
"Tcells","CD8_c12_Trm"
"Tcells","CD8_c13_Tn_TCF7"
"Tcells","CD8_c2_Teff"
"Tcells","CD8_c3_Tn"
"Tcells","CD8_c4_Tstr"
"Tcells","CD8_c5_Tisg"
"Tcells","CD8_c6_Tcm"
"Tcells","CD8_c7_p_Tex"
"Tcells","CD8_c8_Teff_KLRG1"
"Tcells","CD8_c9_Tsen"
"DCs","iDC_xCell"
"DCs","iDC_Bindea_et_al"
"DCs","Dendritic_cells_resting_CIBERSORT"
"DCs","Dendritic_cells_activated_CIBERSORT"
"DCs","Dendritic_cells_quantiseq"
"DCs","aDC_xCell"
"DCs","aDC_Bindea_et_al"
"DCs","DC_Bindea_et_al"
"DCs","DC_01_CLEC9A"
"DCs","DC_02_CD1C"
"DCs","DC_03_LAMP3"
"DCs","DC_04_CD207"
"DCs","DC_05_LILRA4"
"DCs","DC_06_STMN1"
"Macrophages","Macrophages_M0_CIBERSORT"
"Macrophages","Macrophages_M1_CIBERSORT"
"Macrophages","Macrophages_M2_CIBERSORT"
"Macrophages","Macrophages_xCell"
"Macrophages","Macrophages_M1_xCell"
"Macrophages","Macrophages_M2_xCell"
"Macrophages","Macrophages_EPIC"
"Macrophages","Macrophages_M1_quantiseq"
"Macrophages","Macrophages_M2_quantiseq"
"Macrophages","Macrophages_Rooney_et_al"
"Macrophages","Macrophages_Danaher_et_al"
"Macrophages","Macrophages_Bindea_et_al"
"Macrophages","TAM_Peng_et_al"
"Macrophages","Mph_01_MARCO"
"Macrophages","Mph_02_CCL20"
"Macrophages","Mph_03_SPP1"
"Macrophages","Mph_04_TREM2"
"Macrophages","Mph_05_IL1B"
"Macrophages","Mph_06_CXCL9"
"Macrophages","Mph_07_SLC40A1"
"Macrophages","Mph_08_APOE"
"Macrophages","Mph_09_STMN1"
"Neutrophils","Neutrophils_CIBERSORT"
"Neutrophils","Neutrophils_MCPcounter"
"Neutrophils","Neutrophils_xCell"
"Neutrophils","Neutrophils_quantiseq"
"Neutrophils","Neutrophils_Rooney_et_al"
"Neutrophils","Neutrophils_Danaher_et_al"
"Neutrophils","Neutrophils_Bindea_et_al"
"Neutrophils","Neu_01_MMP8"
"Neutrophils","Neu_02_S100A12"
"Neutrophils","Neu_03_ISG15"
"Neutrophils","Neu_04_TXNIP"
"Neutrophils","Neu_05_ELL2"
"Neutrophils","Neu_06_PTGS2"
"Neutrophils","Neu_07_APOA2"
"Neutrophils","Neu_08_CD74"
"Neutrophils","Neu_09_IFIT1"
"Neutrophils","Neu_10_SPP1"
"Neutrophils","Neu_11_CCL4"
"Monocytes","Monocytes_CIBERSORT"
"Monocytes","Monocytes_xCell"
"Monocytes","Monocytes_quantiseq"
"Monocytes","MDSC_Wang_et_al"
"Monocytes","MDSC_Peng_et_al"
"Monocytes","Mo_01_CD14"
"Monocytes","Mo_02_CD16"
"Monocytes","Mono_like_01_CD14"
"Monocytes","Mono_like_02_CD16"
"Monocytes","Mono_like_03_CD14CD16"
"Monocytes","MonoDC"
"CAFs","CAFs_EPIC"
"CAFs","Pan_F_TBRs"
"CAFs","Fibroblasts_MCPcounter"
"CAFs","Fibroblasts_xCell"
"CAFs","ecm_myCAF"
"CAFs","detox_iCAF"
"CAFs","IL_iCAF"
"CAFs","TGFβ_myCAF"
"CAFs","wound_myCAF"
"CAFs","IFNγ_iCAF"
"CAFs","CAF_S1"
"CAFs","Normal_Fibroblast"
"NK","NK_cells_resting_CIBERSORT"
"NK","NK_cells_activated_CIBERSORT"
"NK","NK_cells_MCPcounter"
"NK","NK_cells_xCell"
"NK","NK_cells_quantiseq"
"NK","NK_cells_Rooney_et_al"
"NK","NK_cells_Danaher_et_al"
"NK","NK_cells_Bindea_et_al"
"NK","NK_CD56dim_cells_Danaher_et_al"
"NK","NK_CD56dim_cells_Bindea_et_al"
"tme_cell_types","T_cells_CD8_CIBERSORT"
"tme_cell_types","T_cells_CD4_naive_CIBERSORT"
"tme_cell_types","T_cells_CD4_memory_resting_CIBERSORT"
"tme_cell_types","T_cells_CD4_memory_activated_CIBERSORT"
"tme_cell_types","T_cells_follicular_helper_CIBERSORT"
"tme_cell_types","T_cells_regulatory_(Tregs)_CIBERSORT"
"tme_cell_types","T_cells_gamma_delta_CIBERSORT"
"tme_cell_types","T_cells_MCPcounter"
"tme_cell_types","CD8_T_cells_MCPcounter"
"tme_cell_types","T_cells_CD4_quantiseq"
"tme_cell_types","T_cells_CD8_quantiseq"
"tme_cell_types","CD8_T_cells_Danaher_et_al"
"tme_cell_types","T_cells_Danaher_et_al"
"tme_cell_types","T_cells_Bindea_et_al"
"tme_cell_types","CD8_T_cells_Bindea_et_al"
"tme_cell_types","CD4+_memory_T-cells_xCell"
"tme_cell_types","CD4+_naive_T-cells_xCell"
"tme_cell_types","CD4+_T-cells_xCell"
"tme_cell_types","CD8+_naive_T-cells_xCell"
"tme_cell_types","CD8+_T-cells_xCell"
"tme_cell_types","T_cell_CD4_TIMER"
"tme_cell_types","T_cell_CD8_TIMER"
"tme_cell_types","Co_stimulation_T_cell_Rooney_et_al"
"tme_cell_types","Co_inhibition_T_cell_Rooney_et_al"
"tme_cell_types","T_cell_inflamed_GEP_Ayers_et_al"
"tme_cell_types","T_cell_accumulation_Peng_et_al"
"tme_cell_types","T_cell_exhaustion_Peng_et_al"
"tme_cell_types","T_cell_regulatory_Peng_et_al"
"tme_cell_types","T_cell_probe_Jeschke_et_al"
"tme_cell_types","CD4+_Tcm_xCell"
"tme_cell_types","CD4+_Tem_xCell"
"tme_cell_types","CD4_Tcells_EPIC"
"tme_cell_types","GO_CD40_RECEPTOR_COMPLEX"
"tme_cell_types","CD8+_Tcm_xCell"
"tme_cell_types","CD8+_Tem_xCell"
"tme_cell_types","CD8_Tcells_EPIC"
"tme_cell_types","CD8_Rooney_et_al"
"tme_cell_types","Exhausted_CD8_Danaher_et_al"
"tme_cell_types","CD4_c0_Tcm"
"tme_cell_types","CD4_c1_Treg"
"tme_cell_types","CD4_c10_Tn_LEF1_ANKRD55"
"tme_cell_types","CD4_c11_Tisg"
"tme_cell_types","CD4_c2_Tn"
"tme_cell_types","CD4_c3_Tfh"
"tme_cell_types","CD4_c4_Tstr"
"tme_cell_types","CD4_c5_CTL"
"tme_cell_types","CD4_c6_Tn_FHIT"
"tme_cell_types","CD4_c7_Tn_TCEA3"
"tme_cell_types","CD4_c8_Tf17"
"tme_cell_types","CD4_c9_Tn_TCF7_SLC40A1"
"tme_cell_types","CD8_c0_t_Teff"
"tme_cell_types","CD8_c1_Tex"
"tme_cell_types","CD8_c10_Teff_CD244"
"tme_cell_types","CD8_c11_Teff_SEMA4A"
"tme_cell_types","CD8_c12_Trm"
"tme_cell_types","CD8_c13_Tn_TCF7"
"tme_cell_types","CD8_c2_Teff"
"tme_cell_types","CD8_c3_Tn"
"tme_cell_types","CD8_c4_Tstr"
"tme_cell_types","CD8_c5_Tisg"
"tme_cell_types","CD8_c6_Tcm"
"tme_cell_types","CD8_c7_p_Tex"
"tme_cell_types","CD8_c8_Teff_KLRG1"
"tme_cell_types","CD8_c9_Tsen"
"tme_cell_types","B_cells_naive_CIBERSORT"
"tme_cell_types","B_cells_memory_CIBERSORT"
"tme_cell_types","B_cells_quantiseq"
"tme_cell_types","B_cells_Rooney_et_al"
"tme_cell_types","B_cells_Danaher_et_al"
"tme_cell_types","B_cells_Bindea_et_al"
"tme_cell_types","B-cells_xCell"
"tme_cell_types","Class-switched_memory_B-cells_xCell"
"tme_cell_types","Memory_B-cells_xCell"
"tme_cell_types","naive_B-cells_xCell"
"tme_cell_types","pro_B-cells_xCell"
"tme_cell_types","Plasma_cells_CIBERSORT"
"tme_cell_types","Plasma_cells_xCell"
"tme_cell_types","Macrophages_M0_CIBERSORT"
"tme_cell_types","Macrophages_M1_CIBERSORT"
"tme_cell_types","Macrophages_M2_CIBERSORT"
"tme_cell_types","Macrophages_xCell"
"tme_cell_types","Macrophages_M1_xCell"
"tme_cell_types","Macrophages_M2_xCell"
"tme_cell_types","Macrophages_EPIC"
"tme_cell_types","Macrophages_M1_quantiseq"
"tme_cell_types","Macrophages_M2_quantiseq"
"tme_cell_types","Macrophages_Rooney_et_al"
"tme_cell_types","Macrophages_Danaher_et_al"
"tme_cell_types","Macrophages_Bindea_et_al"
"tme_cell_types","TAM_Peng_et_al"
"tme_cell_types","Mph_01_MARCO"
"tme_cell_types","Mph_02_CCL20"
"tme_cell_types","Mph_03_SPP1"
"tme_cell_types","Mph_04_TREM2"
"tme_cell_types","Mph_05_IL1B"
"tme_cell_types","Mph_06_CXCL9"
"tme_cell_types","Mph_07_SLC40A1"
"tme_cell_types","Mph_08_APOE"
"tme_cell_types","Mph_09_STMN1"
"tme_cell_types","CAFs_EPIC"
"tme_cell_types","Pan_F_TBRs"
"tme_cell_types","Fibroblasts_MCPcounter"
"tme_cell_types","Fibroblasts_xCell"
"tme_cell_types","ecm_myCAF"
"tme_cell_types","detox_iCAF"
"tme_cell_types","IL_iCAF"
"tme_cell_types","TGFβ_myCAF"
"tme_cell_types","wound_myCAF"
"tme_cell_types","IFNγ_iCAF"
"tme_cell_types","CAF_S1"
"tme_cell_types","Normal_Fibroblast"
"tme_cell_types","Monocytes_CIBERSORT"
"tme_cell_types","Monocytes_xCell"
"tme_cell_types","Monocytes_quantiseq"
"tme_cell_types","MDSC_Wang_et_al"
"tme_cell_types","MDSC_Peng_et_al"
"tme_cell_types","Mo_01_CD14"
"tme_cell_types","Mo_02_CD16"
"tme_cell_types","Mono_like_01_CD14"
"tme_cell_types","Mono_like_02_CD16"
"tme_cell_types","Mono_like_03_CD14CD16"
"tme_cell_types","MonoDC"
"tme_cell_types","Neutrophils_CIBERSORT"
"tme_cell_types","Neutrophils_MCPcounter"
"tme_cell_types","Neutrophils_xCell"
"tme_cell_types","Neutrophils_quantiseq"
"tme_cell_types","Neutrophils_Rooney_et_al"
"tme_cell_types","Neutrophils_Danaher_et_al"
"tme_cell_types","Neutrophils_Bindea_et_al"
"tme_cell_types","Neu_01_MMP8"
"tme_cell_types","Neu_02_S100A12"
"tme_cell_types","Neu_03_ISG15"
"tme_cell_types","Neu_04_TXNIP"
"tme_cell_types","Neu_05_ELL2"
"tme_cell_types","Neu_06_PTGS2"
"tme_cell_types","Neu_07_APOA2"
"tme_cell_types","Neu_08_CD74"
"tme_cell_types","Neu_09_IFIT1"
"tme_cell_types","Neu_10_SPP1"
"tme_cell_types","Neu_11_CCL4"
"tme_cell_types","iDC_xCell"
"tme_cell_types","iDC_Bindea_et_al"
"tme_cell_types","Dendritic_cells_resting_CIBERSORT"
"tme_cell_types","Dendritic_cells_activated_CIBERSORT"
"tme_cell_types","Dendritic_cells_quantiseq"
"tme_cell_types","aDC_xCell"
"tme_cell_types","aDC_Bindea_et_al"
"tme_cell_types","DC_Bindea_et_al"
"tme_cell_types","DC_01_CLEC9A"
"tme_cell_types","DC_02_CD1C"
"tme_cell_types","DC_03_LAMP3"
"tme_cell_types","DC_04_CD207"
"tme_cell_types","DC_05_LILRA4"
"tme_cell_types","DC_06_STMN1"
"tme_cell_types","NK_cells_resting_CIBERSORT"
"tme_cell_types","NK_cells_activated_CIBERSORT"
"tme_cell_types","NK_cells_MCPcounter"
"tme_cell_types","NK_cells_xCell"
"tme_cell_types","NK_cells_quantiseq"
"tme_cell_types","NK_cells_Rooney_et_al"
"tme_cell_types","NK_cells_Danaher_et_al"
"tme_cell_types","NK_cells_Bindea_et_al"
"tme_cell_types","NK_CD56dim_cells_Danaher_et_al"
"tme_cell_types","NK_CD56dim_cells_Bindea_et_al"
"CIBERSORT","B_cells_naive_CIBERSORT"
"CIBERSORT","B_cells_memory_CIBERSORT"
"CIBERSORT","Plasma_cells_CIBERSORT"
"CIBERSORT","T_cells_CD8_CIBERSORT"
"CIBERSORT","T_cells_CD4_naive_CIBERSORT"
"CIBERSORT","T_cells_CD4_memory_resting_CIBERSORT"
"CIBERSORT","T_cells_CD4_memory_activated_CIBERSORT"
"CIBERSORT","T_cells_follicular_helper_CIBERSORT"
"CIBERSORT","T_cells_regulatory_(Tregs)_CIBERSORT"
"CIBERSORT","T_cells_gamma_delta_CIBERSORT"
"CIBERSORT","NK_cells_resting_CIBERSORT"
"CIBERSORT","NK_cells_activated_CIBERSORT"
"CIBERSORT","Monocytes_CIBERSORT"
"CIBERSORT","Macrophages_M0_CIBERSORT"
"CIBERSORT","Macrophages_M1_CIBERSORT"
"CIBERSORT","Macrophages_M2_CIBERSORT"
"CIBERSORT","Dendritic_cells_resting_CIBERSORT"
"CIBERSORT","Dendritic_cells_activated_CIBERSORT"
"CIBERSORT","Mast_cells_resting_CIBERSORT"
"CIBERSORT","Mast_cells_activated_CIBERSORT"
"CIBERSORT","Eosinophils_CIBERSORT"
"CIBERSORT","Neutrophils_CIBERSORT"
"MCPcounter","T_cells_MCPcounter"
"MCPcounter","CD8_T_cells_MCPcounter"
"MCPcounter","Cytotoxic_lymphocytes_MCPcounter"
"MCPcounter","NK_cells_MCPcounter"
"MCPcounter","B_lineage_MCPcounter"
"MCPcounter","Monocytic_lineage_MCPcounter"
"MCPcounter","Myeloid_dendritic_cells_MCPcounter"
"MCPcounter","Neutrophils_MCPcounter"
"MCPcounter","Endothelial_cells_MCPcounter"
"MCPcounter","Fibroblasts_MCPcounter"
"EPIC","Bcells_EPIC"
"EPIC","CAFs_EPIC"
"EPIC","CD4_Tcells_EPIC"
"EPIC","CD8_Tcells_EPIC"
"EPIC","Endothelial_EPIC"
"EPIC","Macrophages_EPIC"
"EPIC","NKcells_EPIC"
"EPIC","otherCells_EPIC"
"xCell","aDC_xCell"
"xCell","Adipocytes_xCell"
"xCell","Astrocytes_xCell"
"xCell","B-cells_xCell"
"xCell","Basophils_xCell"
"xCell","CD4+_memory_T-cells_xCell"
"xCell","CD4+_naive_T-cells_xCell"
"xCell","CD4+_T-cells_xCell"
"xCell","CD4+_Tcm_xCell"
"xCell","CD4+_Tem_xCell"
"xCell","CD8+_naive_T-cells_xCell"
"xCell","CD8+_T-cells_xCell"
"xCell","CD8+_Tcm_xCell"
"xCell","CD8+_Tem_xCell"
"xCell","cDC_xCell"
"xCell","Chondrocytes_xCell"
"xCell","Class-switched_memory_B-cells_xCell"
"xCell","CLP_xCell"
"xCell","CMP_xCell"
"xCell","DC_xCell"
"xCell","Endothelial_cells_xCell"
"xCell","Eosinophils_xCell"
"xCell","Epithelial_cells_xCell"
"xCell","Erythrocytes_xCell"
"xCell","Fibroblasts_xCell"
"xCell","GMP_xCell"
"xCell","Hepatocytes_xCell"
"xCell","HSC_xCell"
"xCell","iDC_xCell"
"xCell","Keratinocytes_xCell"
"xCell","ly_Endothelial_cells_xCell"
"xCell","Macrophages_xCell"
"xCell","Macrophages_M1_xCell"
"xCell","Macrophages_M2_xCell"
"xCell","Mast_cells_xCell"
"xCell","Megakaryocytes_xCell"
"xCell","Melanocytes_xCell"
