"TF","MVL_ALL"
"MEIS2","2.099693253751308220"
"MITF","0.670005877018680751"
"MNT","4.011440651521171574"
"MXI1","1.905082858135543677"
"MYB","-0.691167939363257933"
"MYBL2","-1.711643160540597952"
"MYC","-1.988376754554812553"
"MYCN","1.083161928207275970"
"MYOD1","-0.337498545820508478"
"NANOG","2.744738628746309583"
"NCOA1","0.478954915192953745"
"NCOA2","0.670768404000999130"
"NCOA3","0.707686780863651332"
"NEUROD1","-0.528325408792799212"
"NFATC1","-0.319566441703561133"
"NFE2","0.716064413565169811"
"NFE2L1","-0.515527231344461767"
"NFE2L2","1.033988769625032944"
"NFIC","-0.984962631759395024"
"NFKB1","0.141560566843129371"
"NFKB2","1.099514281419271100"
"NFYA","-1.585328246712380817"
"NFYB","-2.749926928716638574"
"NR1H2","-0.549138643876970645"
"NR1H3","-0.460970615628818636"
"NR2C2","-1.559868981922936770"
"NR2F1","-0.008602412252165868"
"NR2F6","0.245702141527525203"
"NR3C1","-1.040540921447838940"
"NR4A1","1.179259281649691848"
"NR5A2","-0.081169460022099640"
"NRF1","-1.369400952543035954"
"ONECUT1","1.213878527153758213"
"OTX2","1.043403872195537874"
"PAX5","-0.112695455640569167"
"PAX6","-0.463418587662510262"
"PBX2","0.345563124520675169"
"PBX3","0.421419460688287728"
"PDX1","2.216661418137900963"
"PGR","-0.921500146390388797"
"PKNOX1","-0.849882356178689569"
"POU2F1","0.296753295768733327"
"POU4F2","1.328929549452356085"
"POU5F1","1.595676516415066359"
"PPARA","1.354511363838816429"
"PPARG","0.412655500347404613"
"PRDM1","0.922701101538401014"
"PRDM14","1.693436028511973168"
"PROX1","0.223429045248549091"
"RARA","1.245465779488232672"
"RBPJ","1.591042374743846688"
"REL","-0.530104284479130494"
"RELA","-0.051509947869867470"
"RELB","-0.913901616333182565"
"RFX1","3.257498808392953471"
"RFX2","2.347511482909657499"
"RFX5","0.247756418507922876"
"RUNX1","0.747651400186331472"
"RUNX2","1.026947900606006936"
"RUNX3","-0.304263519279744765"
"RXRA","1.222526448952918399"
"SIX2","1.580538319047930074"
"SIX5","0.079919134348240883"
"SMAD1","-0.562195126278858925"
"SMAD3","0.496674750211549332"
"SMAD4","-0.772693614719384025"
"SMAD5","-0.398764238189188103"
"SNAI2","1.032172158932484818"
"SNAPC4","-1.857788279683212584"
"SOX10","-0.923708275491510689"
"SOX11","0.476696450525947946"
"SOX13","1.673903186923872299"
"SOX6","0.090115264032518350"
"SOX9","0.426327655860631038"
"SP1","-0.810588836385848110"
"SP2","-2.768102421820280323"
"SP3","2.289237757558217456"
"SP4","0.020707720710874653"
"SPI1","1.124279063513457189"
"SPIB","-0.445592867000385917"
"SREBF1","-0.593207070071066433"
"SREBF2","-1.183050830707602641"
"SRF","-0.718802869145355849"
"STAT1","3.525745462605612612"
"STAT2","0.515276005011848448"
"STAT3","0.142638872335113409"
"STAT4","-0.026973496452136068"
"STAT5A","-0.406838243885769113"
"STAT5B","0.568972203726858750"
"STAT6","0.155207951601197325"
"TAL1","0.968597201894424775"
"TBP","-1.048828208364062764"
"TBX21","0.801282402699042051"
"TCF12","0.978651116973588309"
"TCF3","-0.465854284362867077"
"TCF4","0.897070874802192497"
"TCF7","-0.402904955374995488"
"TCF7L2","-1.103306256723988632"
"TEAD1","1.174796810176902406"
"TEAD2","-0.754213363915886115"
"TEAD4","0.577750124852262181"
"TFAP2A","-0.337436210624322774"
"TFAP2C","-0.951482568471276879"
"TFAP4","0.551996692556960267"
"TFDP1","-0.874001716367165948"
"TGIF2","1.980054675207657322"
"THAP1","-1.562881941473108549"
"THAP11","3.293212392259366794"
"TP53","-0.121114418831042972"
"TP63","0.366721752834586634"
"TP73","-1.246443168418847280"
"TWIST1","-0.009920734070191011"
"USF1","-0.162495128802882888"
"USF2","0.680545774662960068"
"VDR","2.370857928084026067"
"WT1","0.674861951434738261"
"XBP1","0.087764868644812449"
"YY1","-1.387260284362746843"
"ZBED1","0.600103495440266754"
"ZBTB11","-2.641992313835700656"
"ZBTB33","-1.984839464013694599"
"ZBTB7A","1.658429865070948583"
"ZEB1","0.858134669450470344"
"ZEB2","0.481801159060032680"
"ZFX","-1.474995940782183768"
"ZKSCAN1","-0.211959687713189376"
"ZNF143","-2.523082917294508398"
"ZNF217","-0.962078356569473270"
"ZNF24","0.422789415726071205"
"ZNF263","-0.415566394938656547"
"ZNF274","-3.120459537379409287"
"ZNF384","-1.000169741758180519"
"ZNF592","-0.676203200418553529"
"ZNF639","2.280093575351011648"
"ZNF740","-1.005726829884229234"
