Pathway,CSR LATE UP.V1 UP,CSR EARLY UP.V1 UP,MEL18 DN.V1 UP,BMI1 DN MEL18 DN.V1 UP,ALK DN.V1 UP,MTOR UP.N4.V1 UP,MYC UP.V1 UP,IL2 UP.V1 UP,IL15 UP.V1 UP,ESC V6.5 UP LATE.V1 DN,ESC J1 UP LATE.V1 DN,VEGF A UP.V1 DN,ERBB2 UP.V1 DN,CYCLIN D1 KE .V1 UP,RPS14 DN.V1 DN,HOXA9 DN.V1 DN,PRC2 EED DN.V1 DN,PRC2 EZH2 UP.V1 DN,RB P107 DN.V1 UP,RB DN.V1 UP,NFE2L2.V2,MTOR UP.V1 UP,GCNP SHH UP LATE.V1 UP,GCNP SHH UP EARLY.V1 UP,E2F1 UP.V1 UP,KRAS.KIDNEY UP.V1 UP,CAHOY NEURONAL,LEF1 UP.V1 DN,BMI1 DN.V1 DN,BMI1 DN MEL18 DN.V1 DN,IL2 UP.V1 DN,IL21 UP.V1 DN,PDGF UP.V1 DN,E2F3 UP.V1 DN,HINATA NFKB IMMU INF,P53 DN.V2 UP,KRAS.600.LUNG.BREAST UP.V1 DN,CTIP DN.V1 DN,PTEN DN.V1 DN,SNF5 DN.V1 UP
ESC J1 UP LATE.V1 DN,0.03571428571428571,0.017857142857142856,0.023809523809523808,0.017857142857142856,0.02976190476190476,0.041666666666666664,0.047619047619047616,0.03571428571428571,0.041666666666666664,0.39880952380952384,1.0,0.02976190476190476,0.017857142857142856,0.017857142857142856,0.047619047619047616,0.02976190476190476,0.023809523809523808,0.011904761904761904,0.02976190476190476,0.011904761904761904,0.041666666666666664,0.005952380952380952,0.02976190476190476,0.023809523809523808,0.023809523809523808,0.005952380952380952,0.0,0.017857142857142856,0.02976190476190476,0.017857142857142856,0.011904761904761904,0.011904761904761904,0.02976190476190476,0.0,0.005952380952380952,0.011904761904761904,0.011904761904761904,0.011904761904761904,0.0,0.017857142857142856
VEGF A UP.V1 DN,0.031088082901554404,0.02072538860103627,0.015544041450777202,0.015544041450777202,0.015544041450777202,0.031088082901554404,0.010362694300518135,0.02072538860103627,0.03626943005181347,0.02072538860103627,0.025906735751295335,1.0,0.07772020725388601,0.02072538860103627,0.046632124352331605,0.02072538860103627,0.03626943005181347,0.06735751295336788,0.025906735751295335,0.010362694300518135,0.04145077720207254,0.02072538860103627,0.03626943005181347,0.010362694300518135,0.046632124352331605,0.010362694300518135,0.0051813471502590676,0.010362694300518135,0.0051813471502590676,0.0,0.015544041450777202,0.015544041450777202,0.0051813471502590676,0.02072538860103627,0.0051813471502590676,0.0,0.0051813471502590676,0.010362694300518135,0.015544041450777202,0.02072538860103627
ERBB2 UP.V1 DN,0.005076142131979695,0.025380710659898477,0.005076142131979695,0.005076142131979695,0.0,0.03553299492385787,0.030456852791878174,0.025380710659898477,0.015228426395939087,0.02030456852791878,0.015228426395939087,0.07614213197969544,1.0,0.02030456852791878,0.03553299492385787,0.025380710659898477,0.0,0.03553299492385787,0.005076142131979695,0.005076142131979695,0.025380710659898477,0.02030456852791878,0.01015228426395939,0.015228426395939087,0.02030456852791878,0.015228426395939087,0.0,0.03553299492385787,0.030456852791878174,0.030456852791878174,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.015228426395939087,0.0,0.0,0.01015228426395939,0.0,0.01015228426395939,0.02030456852791878
CYCLIN D1 KE .V1 UP,0.026595744680851064,0.005319148936170213,0.010638297872340425,0.005319148936170213,0.015957446808510637,0.03723404255319149,0.02127659574468085,0.047872340425531915,0.03723404255319149,0.02127659574468085,0.015957446808510637,0.02127659574468085,0.02127659574468085,1.0,0.026595744680851064,0.015957446808510637,0.031914893617021274,0.02127659574468085,0.005319148936170213,0.010638297872340425,0.026595744680851064,0.005319148936170213,0.010638297872340425,0.005319148936170213,0.026595744680851064,0.0,0.0,0.010638297872340425,0.02127659574468085,0.010638297872340425,0.010638297872340425,0.005319148936170213,0.005319148936170213,0.010638297872340425,0.0,0.02127659574468085,0.015957446808510637,0.005319148936170213,0.005319148936170213,0.010638297872340425
RPS14 DN.V1 DN,0.04838709677419355,0.010752688172043012,0.016129032258064516,0.010752688172043012,0.03225806451612903,0.08602150537634409,0.053763440860215055,0.026881720430107527,0.026881720430107527,0.04838709677419355,0.043010752688172046,0.04838709677419355,0.03763440860215054,0.026881720430107527,1.0,0.08602150537634409,0.07526881720430108,0.05913978494623656,0.043010752688172046,0.016129032258064516,0.06989247311827956,0.021505376344086023,0.05913978494623656,0.021505376344086023,0.053763440860215055,0.0,0.005376344086021506,0.016129032258064516,0.0,0.005376344086021506,0.0,0.005376344086021506,0.005376344086021506,0.026881720430107527,0.0,0.005376344086021506,0.010752688172043012,0.016129032258064516,0.010752688172043012,0.016129032258064516
HOXA9 DN.V1 DN,0.031578947368421054,0.010526315789473684,0.042105263157894736,0.015789473684210527,0.02631578947368421,0.06842105263157895,0.021052631578947368,0.04736842105263158,0.04736842105263158,0.021052631578947368,0.02631578947368421,0.021052631578947368,0.02631578947368421,0.015789473684210527,0.08421052631578947,1.0,0.06842105263157895,0.042105263157894736,0.042105263157894736,0.010526315789473684,0.04736842105263158,0.05263157894736842,0.015789473684210527,0.010526315789473684,0.03684210526315789,0.005263157894736842,0.005263157894736842,0.021052631578947368,0.015789473684210527,0.005263157894736842,0.015789473684210527,0.005263157894736842,0.010526315789473684,0.010526315789473684,0.0,0.005263157894736842,0.02631578947368421,0.0,0.015789473684210527,0.015789473684210527
PRC2 EED DN.V1 DN,0.03626943005181347,0.0051813471502590676,0.031088082901554404,0.02072538860103627,0.015544041450777202,0.010362694300518135,0.0051813471502590676,0.015544041450777202,0.015544041450777202,0.031088082901554404,0.02072538860103627,0.03626943005181347,0.0,0.031088082901554404,0.07253886010362694,0.06735751295336788,1.0,0.17098445595854922,0.046632124352331605,0.015544041450777202,0.031088082901554404,0.025906735751295335,0.025906735751295335,0.02072538860103627,0.031088082901554404,0.0,0.0051813471502590676,0.015544041450777202,0.0051813471502590676,0.0051813471502590676,0.025906735751295335,0.02072538860103627,0.0,0.015544041450777202,0.0,0.025906735751295335,0.0051813471502590676,0.010362694300518135,0.010362694300518135,0.010362694300518135
PRC2 EZH2 UP.V1 DN,0.020833333333333332,0.010416666666666666,0.010416666666666666,0.005208333333333333,0.020833333333333332,0.015625,0.015625,0.036458333333333336,0.041666666666666664,0.005208333333333333,0.010416666666666666,0.06770833333333333,0.036458333333333336,0.020833333333333332,0.057291666666666664,0.041666666666666664,0.171875,1.0,0.03125,0.020833333333333332,0.041666666666666664,0.020833333333333332,0.052083333333333336,0.03125,0.0625,0.0,0.020833333333333332,0.03125,0.0,0.0,0.036458333333333336,0.026041666666666668,0.015625,0.015625,0.0,0.020833333333333332,0.026041666666666668,0.020833333333333332,0.026041666666666668,0.020833333333333332
RB P107 DN.V1 UP,0.06923076923076923,0.0,0.023076923076923078,0.023076923076923078,0.007692307692307693,0.0,0.007692307692307693,0.0,0.015384615384615385,0.05384615384615385,0.038461538461538464,0.038461538461538464,0.007692307692307693,0.007692307692307693,0.06153846153846154,0.06153846153846154,0.06923076923076923,0.046153846153846156,1.0,0.14615384615384616,0.03076923076923077,0.046153846153846156,0.06153846153846154,0.06153846153846154,0.07692307692307693,0.007692307692307693,0.0,0.007692307692307693,0.023076923076923078,0.015384615384615385,0.023076923076923078,0.0,0.007692307692307693,0.0,0.0,0.007692307692307693,0.015384615384615385,0.007692307692307693,0.007692307692307693,0.015384615384615385
RB DN.V1 UP,0.04310344827586207,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.0,0.008620689655172414,0.0,0.0,0.017241379310344827,0.02586206896551724,0.017241379310344827,0.017241379310344827,0.008620689655172414,0.017241379310344827,0.02586206896551724,0.017241379310344827,0.02586206896551724,0.034482758620689655,0.16379310344827586,1.0,0.04310344827586207,0.05172413793103448,0.02586206896551724,0.034482758620689655,0.0603448275862069,0.017241379310344827,0.0,0.02586206896551724,0.0,0.0,0.008620689655172414,0.0,0.0,0.0,0.0,0.008620689655172414,0.034482758620689655,0.008620689655172414,0.0,0.017241379310344827
NFE2L2.V2,0.014925373134328358,0.008528784648187633,0.014925373134328358,0.017057569296375266,0.03411513859275053,0.0255863539445629,0.0,0.017057569296375266,0.01279317697228145,0.021321961620469083,0.014925373134328358,0.017057569296375266,0.010660980810234541,0.010660980810234541,0.02771855010660981,0.019189765458422176,0.01279317697228145,0.017057569296375266,0.008528784648187633,0.010660980810234541,1.0,0.019189765458422176,0.006396588486140725,0.010660980810234541,0.014925373134328358,0.014925373134328358,0.0042643923240938165,0.010660980810234541,0.008528784648187633,0.008528784648187633,0.01279317697228145,0.01279317697228145,0.006396588486140725,0.010660980810234541,0.0,0.01279317697228145,0.023454157782515993,0.014925373134328358,0.019189765458422176,0.008528784648187633
MTOR UP.V1 UP,0.047058823529411764,0.0058823529411764705,0.0058823529411764705,0.023529411764705882,0.011764705882352941,0.052941176470588235,0.01764705882352941,0.01764705882352941,0.01764705882352941,0.029411764705882353,0.0058823529411764705,0.023529411764705882,0.023529411764705882,0.0058823529411764705,0.023529411764705882,0.058823529411764705,0.029411764705882353,0.023529411764705882,0.03529411764705882,0.03529411764705882,0.052941176470588235,1.0,0.023529411764705882,0.01764705882352941,0.01764705882352941,0.0,0.0058823529411764705,0.029411764705882353,0.011764705882352941,0.0058823529411764705,0.011764705882352941,0.029411764705882353,0.01764705882352941,0.011764705882352941,0.0,0.011764705882352941,0.0,0.0058823529411764705,0.01764705882352941,0.041176470588235294
GCNP SHH UP LATE.V1 UP,0.022099447513812154,0.0055248618784530384,0.0055248618784530384,0.0,0.0,0.011049723756906077,0.016574585635359115,0.016574585635359115,0.022099447513812154,0.016574585635359115,0.027624309392265192,0.03867403314917127,0.011049723756906077,0.011049723756906077,0.06077348066298342,0.016574585635359115,0.027624309392265192,0.055248618784530384,0.04419889502762431,0.016574585635359115,0.016574585635359115,0.022099447513812154,1.0,0.2154696132596685,0.13812154696132597,0.011049723756906077,0.0055248618784530384,0.0055248618784530384,0.011049723756906077,0.011049723756906077,0.0055248618784530384,0.0,0.011049723756906077,0.0,0.0,0.0055248618784530384,0.027624309392265192,0.011049723756906077,0.0055248618784530384,0.027624309392265192
GCNP SHH UP EARLY.V1 UP,0.028901734104046242,0.0,0.011560693641618497,0.011560693641618497,0.0,0.0,0.005780346820809248,0.011560693641618497,0.011560693641618497,0.023121387283236993,0.023121387283236993,0.011560693641618497,0.017341040462427744,0.005780346820809248,0.023121387283236993,0.011560693641618497,0.023121387283236993,0.03468208092485549,0.046242774566473986,0.023121387283236993,0.028901734104046242,0.017341040462427744,0.2254335260115607,1.0,0.13872832369942195,0.0,0.011560693641618497,0.0,0.0,0.005780346820809248,0.0,0.011560693641618497,0.011560693641618497,0.005780346820809248,0.0,0.0,0.005780346820809248,0.011560693641618497,0.011560693641618497,0.023121387283236993
E2F1 UP.V1 UP,0.026595744680851064,0.0,0.010638297872340425,0.010638297872340425,0.005319148936170213,0.005319148936170213,0.010638297872340425,0.010638297872340425,0.02127659574468085,0.026595744680851064,0.02127659574468085,0.047872340425531915,0.02127659574468085,0.026595744680851064,0.05319148936170213,0.03723404255319149,0.031914893617021274,0.06382978723404255,0.05319148936170213,0.03723404255319149,0.03723404255319149,0.015957446808510637,0.13297872340425532,0.1276595744680851,1.0,0.010638297872340425,0.0,0.010638297872340425,0.005319148936170213,0.005319148936170213,0.0,0.0,0.005319148936170213,0.010638297872340425,0.0,0.005319148936170213,0.005319148936170213,0.010638297872340425,0.0,0.02127659574468085
KRAS.KIDNEY UP.V1 UP,0.007142857142857143,0.007142857142857143,0.0,0.0,0.02142857142857143,0.014285714285714285,0.007142857142857143,0.02142857142857143,0.007142857142857143,0.014285714285714285,0.007142857142857143,0.014285714285714285,0.02142857142857143,0.0,0.0,0.007142857142857143,0.0,0.0,0.007142857142857143,0.014285714285714285,0.05,0.0,0.014285714285714285,0.0,0.014285714285714285,1.0,0.05714285714285714,0.07857142857142857,0.07142857142857142,0.09285714285714286,0.06428571428571428,0.04285714285714286,0.02142857142857143,0.0,0.0,0.0,0.05,0.02142857142857143,0.05,0.0
CAHOY NEURONAL,0.01,0.0,0.01,0.01,0.01,0.01,0.02,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.04,0.0,0.0,0.02,0.01,0.01,0.02,0.0,0.08,1.0,0.01,0.01,0.03,0.02,0.03,0.0,0.01,0.0,0.01,0.05,0.01,0.01,0.01
LEF1 UP.V1 DN,0.0,0.0053475935828877,0.0053475935828877,0.0,0.026737967914438502,0.016042780748663103,0.0,0.016042780748663103,0.0106951871657754,0.0213903743315508,0.016042780748663103,0.0106951871657754,0.0374331550802139,0.0106951871657754,0.016042780748663103,0.0213903743315508,0.016042780748663103,0.03208556149732621,0.0053475935828877,0.016042780748663103,0.026737967914438502,0.026737967914438502,0.0053475935828877,0.0,0.0106951871657754,0.058823529411764705,0.0053475935828877,1.0,0.0481283422459893,0.0427807486631016,0.0481283422459893,0.0106951871657754,0.0213903743315508,0.0053475935828877,0.0106951871657754,0.016042780748663103,0.0427807486631016,0.0,0.0106951871657754,0.016042780748663103
BMI1 DN.V1 DN,0.0,0.007142857142857143,0.0,0.0,0.014285714285714285,0.02142857142857143,0.014285714285714285,0.02857142857142857,0.02857142857142857,0.03571428571428571,0.03571428571428571,0.007142857142857143,0.04285714285714286,0.02857142857142857,0.0,0.02142857142857143,0.007142857142857143,0.0,0.02142857142857143,0.0,0.02857142857142857,0.014285714285714285,0.014285714285714285,0.0,0.007142857142857143,0.07142857142857142,0.007142857142857143,0.06428571428571428,1.0,0.4857142857142857,0.03571428571428571,0.014285714285714285,0.014285714285714285,0.0,0.0,0.0,0.02857142857142857,0.04285714285714286,0.02857142857142857,0.014285714285714285
BMI1 DN MEL18 DN.V1 DN,0.006802721088435374,0.0,0.0,0.0,0.013605442176870748,0.02040816326530612,0.027210884353741496,0.027210884353741496,0.034013605442176874,0.02040816326530612,0.02040816326530612,0.0,0.04081632653061224,0.013605442176870748,0.006802721088435374,0.006802721088435374,0.006802721088435374,0.0,0.013605442176870748,0.0,0.027210884353741496,0.006802721088435374,0.013605442176870748,0.006802721088435374,0.006802721088435374,0.08843537414965986,0.02040816326530612,0.05442176870748299,0.46258503401360546,1.0,0.04081632653061224,0.027210884353741496,0.034013605442176874,0.0,0.0,0.013605442176870748,0.04081632653061224,0.013605442176870748,0.013605442176870748,0.02040816326530612
IL2 UP.V1 DN,0.005208333333333333,0.010416666666666666,0.026041666666666668,0.020833333333333332,0.010416666666666666,0.005208333333333333,0.0,0.0,0.0,0.005208333333333333,0.010416666666666666,0.015625,0.005208333333333333,0.010416666666666666,0.0,0.015625,0.026041666666666668,0.036458333333333336,0.015625,0.005208333333333333,0.03125,0.010416666666666666,0.005208333333333333,0.0,0.0,0.046875,0.010416666666666666,0.046875,0.026041666666666668,0.03125,1.0,0.17708333333333334,0.026041666666666668,0.0,0.005208333333333333,0.015625,0.03125,0.010416666666666666,0.010416666666666666,0.010416666666666666
IL21 UP.V1 DN,0.016042780748663103,0.0,0.0,0.0106951871657754,0.0106951871657754,0.0106951871657754,0.0053475935828877,0.0,0.0,0.0213903743315508,0.0106951871657754,0.016042780748663103,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0213903743315508,0.026737967914438502,0.0,0.0,0.03208556149732621,0.026737967914438502,0.0,0.0106951871657754,0.0,0.03208556149732621,0.016042780748663103,0.0106951871657754,0.0106951871657754,0.0213903743315508,0.18181818181818182,1.0,0.0213903743315508,0.0053475935828877,0.0,0.0053475935828877,0.0481283422459893,0.0106951871657754,0.03208556149732621,0.0053475935828877
PDGF UP.V1 DN,0.022222222222222223,0.014814814814814815,0.022222222222222223,0.044444444444444446,0.014814814814814815,0.02962962962962963,0.007407407407407408,0.0,0.022222222222222223,0.007407407407407408,0.037037037037037035,0.007407407407407408,0.007407407407407408,0.007407407407407408,0.007407407407407408,0.014814814814814815,0.0,0.022222222222222223,0.007407407407407408,0.0,0.022222222222222223,0.022222222222222223,0.014814814814814815,0.014814814814814815,0.007407407407407408,0.022222222222222223,0.0,0.02962962962962963,0.014814814814814815,0.037037037037037035,0.037037037037037035,0.02962962962962963,1.0,0.007407407407407408,0.0,0.022222222222222223,0.02962962962962963,0.014814814814814815,0.014814814814814815,0.022222222222222223
E2F3 UP.V1 DN,0.006134969325153374,0.0,0.03680981595092025,0.024539877300613498,0.018404907975460124,0.012269938650306749,0.024539877300613498,0.024539877300613498,0.018404907975460124,0.012269938650306749,0.0,0.024539877300613498,0.018404907975460124,0.012269938650306749,0.03067484662576687,0.012269938650306749,0.018404907975460124,0.018404907975460124,0.0,0.0,0.03067484662576687,0.012269938650306749,0.0,0.006134969325153374,0.012269938650306749,0.0,0.006134969325153374,0.006134969325153374,0.0,0.0,0.0,0.006134969325153374,0.006134969325153374,1.0,0.006134969325153374,0.018404907975460124,0.018404907975460124,0.012269938650306749,0.018404907975460124,0.0
HINATA NFKB IMMU INF,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,1.0,0.4,0.0,0.0,0.0,0.0
P53 DN.V2 UP,0.02702702702702703,0.0,0.02702702702702703,0.02702702702702703,0.07432432432432433,0.0,0.0,0.033783783783783786,0.02702702702702703,0.013513513513513514,0.013513513513513514,0.0,0.0,0.02702702702702703,0.006756756756756757,0.006756756756756757,0.033783783783783786,0.02702702702702703,0.006756756756756757,0.006756756756756757,0.04054054054054054,0.013513513513513514,0.006756756756756757,0.0,0.006756756756756757,0.0,0.006756756756756757,0.02027027027027027,0.0,0.013513513513513514,0.02027027027027027,0.006756756756756757,0.02027027027027027,0.02027027027027027,0.04054054054054054,1.0,0.04054054054054054,0.02027027027027027,0.05405405405405406,0.013513513513513514
KRAS.600.LUNG.BREAST UP.V1 DN,0.0,0.0035087719298245615,0.007017543859649123,0.010526315789473684,0.014035087719298246,0.007017543859649123,0.007017543859649123,0.02456140350877193,0.02456140350877193,0.0035087719298245615,0.007017543859649123,0.0035087719298245615,0.007017543859649123,0.010526315789473684,0.007017543859649123,0.017543859649122806,0.0035087719298245615,0.017543859649122806,0.007017543859649123,0.014035087719298246,0.03859649122807018,0.0,0.017543859649122806,0.0035087719298245615,0.0035087719298245615,0.02456140350877193,0.017543859649122806,0.028070175438596492,0.014035087719298246,0.021052631578947368,0.021052631578947368,0.031578947368421054,0.014035087719298246,0.010526315789473684,0.0,0.021052631578947368,1.0,0.03859649122807018,0.017543859649122806,0.014035087719298246
CTIP DN.V1 DN,0.014925373134328358,0.0,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.007462686567164179,0.014925373134328358,0.022388059701492536,0.022388059701492536,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.0,0.007462686567164179,0.022388059701492536,0.0,0.014925373134328358,0.029850746268656716,0.007462686567164179,0.007462686567164179,0.05223880597014925,0.007462686567164179,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.022388059701492536,0.007462686567164179,0.0,0.04477611940298507,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.0,0.022388059701492536,0.08208955223880597,1.0,0.029850746268656716,0.022388059701492536
