"TF","SW948","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"FOXO3","4.74357462569047872","4.74357462569047872","4.74357462569047872","Activated","11","viper","11","4.74357462569047872",NA,NA,"4","Literature--ChIP-seq(rank=70); ARCHS4--Coexpression(rank=143); GTEx--Coexpression(rank=208); Enrichr--Queries(rank=419)","333","0.08784000000000000","ARCHS4 Coexpression,0.08784"
"ARNTL","4.59259453582997956","4.59259453582997956","4.59259453582997956","Activated","12","viper","12","4.59259453582997956",NA,NA,"4","ARCHS4--Coexpression(rank=23); Enrichr--Queries(rank=102); ReMap--ChIP-seq(rank=249); GTEx--Coexpression(rank=374)","54","0.01413000000000000","ARCHS4 Coexpression,0.01413"
"FOXP1","-4.35136956155860144","-4.35136956155860144","4.35136956155860144","Repressed","13","viper","13","4.35136956155860144",NA,NA,"5","Literature--ChIP-seq(rank=97); ReMap--ChIP-seq(rank=278); GTEx--Coexpression(rank=281); Enrichr--Queries(rank=756); ARCHS4--Coexpression(rank=934)","610","0.17490000000000000","GTEx Coexpression,0.1749"
"STAT1","4.23787650195043231","4.23787650195043231","4.23787650195043231","Activated","14","viper","14","4.23787650195043231",NA,NA,"6","ReMap--ChIP-seq(rank=8); ENCODE--ChIP-seq(rank=79); Literature--ChIP-seq(rank=133); ARCHS4--Coexpression(rank=154); Enrichr--Queries(rank=490); GTEx--Coexpression(rank=1534)","103","0.02694000000000000","ReMap ChIP-seq,0.02694"
"SNAPC4","-4.16494672229888518","-4.16494672229888518","4.16494672229888518","Repressed","15","viper","15","4.16494672229888518",NA,NA,"4","ReMap--ChIP-seq(rank=201); GTEx--Coexpression(rank=1154); Enrichr--Queries(rank=1332); ARCHS4--Coexpression(rank=1559)","1485","0.67679999999999985","ReMap ChIP-seq,0.6768"
"RUNX2","4.14281492670815066","4.14281492670815066","4.14281492670815066","Activated","16","viper","16","4.14281492670815066",NA,NA,"5","Literature--ChIP-seq(rank=28); Enrichr--Queries(rank=49); ReMap--ChIP-seq(rank=77); ARCHS4--Coexpression(rank=304); GTEx--Coexpression(rank=1134)","138","0.03490000000000000","Enrichr Queries,0.0349"
"NR2F1","-3.86356539048218295","-3.86356539048218295","3.86356539048218295","Repressed","17","viper","17","3.86356539048218295",NA,NA,"4","ReMap--ChIP-seq(rank=273); Enrichr--Queries(rank=299); ARCHS4--Coexpression(rank=322); GTEx--Coexpression(rank=1076)","679","0.19780000000000000","ARCHS4 Coexpression,0.1978"
"MYC","-3.80222394739343050","-3.80222394739343050","3.80222394739343050","Repressed","18","viper","18","3.80222394739343050",NA,NA,"6","ENCODE--ChIP-seq(rank=56); GTEx--Coexpression(rank=72); Literature--ChIP-seq(rank=86); ReMap--ChIP-seq(rank=180); Enrichr--Queries(rank=297); ARCHS4--Coexpression(rank=1551)","171","0.04480000000000000","GTEx Coexpression,0.0448"
"ZNF639","-3.74430785576590131","-3.74430785576590131","3.74430785576590131","Repressed","19","viper","19","3.74430785576590131",NA,NA,"4","GTEx--Coexpression(rank=140); ReMap--ChIP-seq(rank=234); ARCHS4--Coexpression(rank=737); Enrichr--Queries(rank=1241)","328","0.08712000000000000","GTEx Coexpression,0.08712"
"HBP1","-3.65811998032939467","-3.65811998032939467","3.65811998032939467","Repressed","20","viper","20","3.65811998032939467",NA,NA,"4","ReMap--ChIP-seq(rank=60); ARCHS4--Coexpression(rank=72); Enrichr--Queries(rank=92); GTEx--Coexpression(rank=336)","170","0.04423000000000000","ARCHS4 Coexpression,0.04423"
"ARID2","3.64409234121023573","3.64409234121023573","3.64409234121023573","Activated","21","viper","21","3.64409234121023573",NA,NA,"4","ReMap--ChIP-seq(rank=94); ARCHS4--Coexpression(rank=854); GTEx--Coexpression(rank=1035); Enrichr--Queries(rank=1376)","961","0.31650000000000000","ReMap ChIP-seq,0.3165"
"MAFB","3.52607492159230285","3.52607492159230285","3.52607492159230285","Activated","22","viper","22","3.52607492159230285",NA,NA,"4","ReMap--ChIP-seq(rank=61); Enrichr--Queries(rank=165); ARCHS4--Coexpression(rank=214); GTEx--Coexpression(rank=277)","429","0.11749999999999999","Enrichr Queries,0.1175"
"GATA3","3.45261685970296073","3.45261685970296073","3.45261685970296073","Activated","23","viper","23","3.45261685970296073",NA,NA,"6","ENCODE--ChIP-seq(rank=12); Literature--ChIP-seq(rank=27); GTEx--Coexpression(rank=77); ReMap--ChIP-seq(rank=93); Enrichr--Queries(rank=267); ARCHS4--Coexpression(rank=278)","181","0.04792000000000000","GTEx Coexpression,0.04792"
"MBD1","3.38310507350781320","3.38310507350781320","3.38310507350781320","Activated","24","viper","24","3.38310507350781320",NA,NA,"3","Enrichr--Queries(rank=460); ARCHS4--Coexpression(rank=928); GTEx--Coexpression(rank=1141)","984","0.32760000000000000","Enrichr Queries,0.3276"
"PPARG","3.27592150584784836","3.27592150584784836","3.27592150584784836","Activated","25","viper","25","3.27592150584784836",NA,NA,"5","ReMap--ChIP-seq(rank=15); Enrichr--Queries(rank=28); GTEx--Coexpression(rank=33); Literature--ChIP-seq(rank=50); ARCHS4--Coexpression(rank=59)","77","0.01994000000000000","Enrichr Queries,0.01994"
"REL","3.25766800303576698","3.25766800303576698","3.25766800303576698","Activated","26","viper","26","3.25766800303576698",NA,NA,"3","Enrichr--Queries(rank=204); ARCHS4--Coexpression(rank=450); GTEx--Coexpression(rank=583)","523","0.14530000000000001","Enrichr Queries,0.1453"
"MBD2","-3.17573568544917828","-3.17573568544917828","3.17573568544917828","Repressed","27","viper","27","3.17573568544917828",NA,NA,"4","ReMap--ChIP-seq(rank=267); ARCHS4--Coexpression(rank=577); GTEx--Coexpression(rank=763); Enrichr--Queries(rank=1022)","1044","0.35439999999999999","ARCHS4 Coexpression,0.3544"
"LYL1","-3.15994039876774524","-3.15994039876774524","3.15994039876774524","Repressed","28","viper","28","3.15994039876774524",NA,NA,"5","Literature--ChIP-seq(rank=120); ReMap--ChIP-seq(rank=135); ARCHS4--Coexpression(rank=265); GTEx--Coexpression(rank=799); Enrichr--Queries(rank=822)","575","0.16280000000000000","ARCHS4 Coexpression,0.1628"
"GATA6","3.10637489481413009","3.10637489481413009","3.10637489481413009","Activated","29","viper","29","3.10637489481413009",NA,NA,"5","ARCHS4--Coexpression(rank=45); ReMap--ChIP-seq(rank=56); Enrichr--Queries(rank=70); Literature--ChIP-seq(rank=82); GTEx--Coexpression(rank=501)","107","0.02764000000000000","ARCHS4 Coexpression,0.02764"
"EPAS1","3.01519002167179284","3.01519002167179284","3.01519002167179284","Activated","30","viper","30","3.01519002167179284",NA,NA,"4","ReMap--ChIP-seq(rank=16); GTEx--Coexpression(rank=20); Enrichr--Queries(rank=67); ARCHS4--Coexpression(rank=177)","49","0.01245000000000000","GTEx Coexpression,0.01245"
"NCOA3","2.99943228633719539","2.99943228633719539","2.99943228633719539","Activated","31","viper","31","2.99943228633719539",NA,NA,"4","ReMap--ChIP-seq(rank=272); ARCHS4--Coexpression(rank=332); Enrichr--Queries(rank=682); GTEx--Coexpression(rank=1321)","696","0.20390000000000000","ARCHS4 Coexpression,0.2039"
"MAFF","2.94281359225162609","2.94281359225162609","2.94281359225162609","Activated","32","viper","32","2.94281359225162609",NA,NA,"5","Enrichr--Queries(rank=11); GTEx--Coexpression(rank=23); ENCODE--ChIP-seq(rank=88); ReMap--ChIP-seq(rank=181); ARCHS4--Coexpression(rank=850)","29","0.00783500000000000","Enrichr Queries,0.007835"
"SNAI2","2.93200911862159819","2.93200911862159819","2.93200911862159819","Activated","33","viper","33","2.93200911862159819",NA,NA,"4","ARCHS4--Coexpression(rank=51); Enrichr--Queries(rank=125); ReMap--ChIP-seq(rank=222); GTEx--Coexpression(rank=1051)","123","0.03133000000000000","ARCHS4 Coexpression,0.03133"
"PBX3","2.87666063868515165","2.87666063868515165","2.87666063868515165","Activated","34","viper","34","2.87666063868515165",NA,NA,"5","ENCODE--ChIP-seq(rank=49); ReMap--ChIP-seq(rank=76); Enrichr--Queries(rank=335); ARCHS4--Coexpression(rank=473); GTEx--Coexpression(rank=555)","787","0.23860000000000001","Enrichr Queries,0.2386"
"JUN","2.81463841848583662","2.81463841848583662","2.81463841848583662","Activated","35","viper","35","2.81463841848583662",NA,NA,"6","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=4); Literature--ChIP-seq(rank=12); GTEx--Coexpression(rank=13); ARCHS4--Coexpression(rank=17); Enrichr--Queries(rank=19)","30","0.00809000000000000","GTEx Coexpression,0.00809"
"NFIC","-2.81080164669781940","-2.81080164669781940","2.81080164669781940","Repressed","36","viper","36","2.81080164669781940",NA,NA,"5","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=28); GTEx--Coexpression(rank=546); Enrichr--Queries(rank=1055); ARCHS4--Coexpression(rank=1081)","65","0.01695000000000000","ENCODE ChIP-seq,0.01695"
"PRDM14","-2.78445025006881730","-2.78445025006881730","2.78445025006881730","Repressed","37","viper","37","2.78445025006881730",NA,NA,"5","Literature--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=136); ARCHS4--Coexpression(rank=334); Enrichr--Queries(rank=928); GTEx--Coexpression(rank=1126)","700","0.20519999999999999","ARCHS4 Coexpression,0.2052"
"STAT3","2.77682677399152444","2.77682677399152444","2.77682677399152444","Activated","38","viper","38","2.77682677399152444",NA,NA,"6","Literature--ChIP-seq(rank=22); ReMap--ChIP-seq(rank=26); ENCODE--ChIP-seq(rank=44); ARCHS4--Coexpression(rank=151); Enrichr--Queries(rank=488); GTEx--Coexpression(rank=645)","330","0.08754000000000001","ReMap ChIP-seq,0.08754"
"FOXJ2","2.75901057786570325","2.75901057786570325","2.75901057786570325","Activated","39","viper","39","2.75901057786570325",NA,NA,"4","ReMap--ChIP-seq(rank=107); Enrichr--Queries(rank=577); GTEx--Coexpression(rank=651); ARCHS4--Coexpression(rank=1194)","1059","0.36030000000000001","ReMap ChIP-seq,0.3603"
"SIX5","-2.73029293912573401","-2.73029293912573401","2.73029293912573401","Repressed","40","viper","40","2.73029293912573401",NA,NA,"5","ENCODE--ChIP-seq(rank=72); ReMap--ChIP-seq(rank=191); Enrichr--Queries(rank=643); GTEx--Coexpression(rank=703); ARCHS4--Coexpression(rank=1444)","1203","0.43750000000000000","GTEx Coexpression,0.4375"
"OTX2","2.73025868915184589","2.73025868915184589","2.73025868915184589","Activated","41","viper","41","2.73025868915184589",NA,NA,"4","ReMap--ChIP-seq(rank=111); GTEx--Coexpression(rank=491); ARCHS4--Coexpression(rank=759); Enrichr--Queries(rank=984)","941","0.30549999999999999","GTEx Coexpression,0.3055"
"LHX2","2.72103564627182859","2.72103564627182859","2.72103564627182859","Activated","42","viper","42","2.72103564627182859",NA,NA,"4","ReMap--ChIP-seq(rank=67); Enrichr--Queries(rank=393); ARCHS4--Coexpression(rank=440); GTEx--Coexpression(rank=511)","746","0.22559999999999999","ReMap ChIP-seq,0.2256"
"CEBPB","2.69497453603847470","2.69497453603847470","2.69497453603847470","Activated","43","viper","43","2.69497453603847470",NA,NA,"6","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=17); Enrichr--Queries(rank=65); Literature--ChIP-seq(rank=80); GTEx--Coexpression(rank=214); ARCHS4--Coexpression(rank=510)","97","0.02542000000000000","ENCODE ChIP-seq,0.02542"
"RELA","2.68450479287988175","2.68450479287988175","2.68450479287988175","Activated","44","viper","44","2.68450479287988175",NA,NA,"6","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=48); GTEx--Coexpression(rank=476); Enrichr--Queries(rank=568); ARCHS4--Coexpression(rank=1122)","165","0.04268000000000000","Literature ChIP-seq,0.04268"
"IRF3","-2.66766694596161713","-2.66766694596161713","2.66766694596161713","Repressed","45","viper","45","2.66766694596161713",NA,NA,"5","ENCODE--ChIP-seq(rank=63); ReMap--ChIP-seq(rank=186); ARCHS4--Coexpression(rank=749); GTEx--Coexpression(rank=888); Enrichr--Queries(rank=1069)","1236","0.46010000000000001","ARCHS4 Coexpression,0.4601"
"TCF12","2.66541450160200677","2.66541450160200677","2.66541450160200677","Activated","46","viper","46","2.66541450160200677",NA,NA,"5","ENCODE--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=73); ARCHS4--Coexpression(rank=573); GTEx--Coexpression(rank=677); Enrichr--Queries(rank=1249)","220","0.05932000000000000","ENCODE ChIP-seq,0.05932"
"STAT5B","2.65637326890099512","2.65637326890099512","2.65637326890099512","Activated","47","viper","47","2.65637326890099512",NA,NA,"4","GTEx--Coexpression(rank=126); ARCHS4--Coexpression(rank=182); ReMap--ChIP-seq(rank=289); Enrichr--Queries(rank=821)","294","0.07840999999999999","GTEx Coexpression,0.07841"
"BACH2","2.65618173898891019","2.65618173898891019","2.65618173898891019","Activated","48","viper","48","2.65618173898891019",NA,NA,"4","ReMap--ChIP-seq(rank=44); Enrichr--Queries(rank=223); GTEx--Coexpression(rank=450); ARCHS4--Coexpression(rank=479)","533","0.14810000000000001","ReMap ChIP-seq,0.1481"
"FOS","2.65513985664284435","2.65513985664284435","2.65513985664284435","Activated","49","viper","49","2.65513985664284435",NA,NA,"5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=6); Enrichr--Queries(rank=30); ARCHS4--Coexpression(rank=223)","11","0.00336700000000000","ReMap ChIP-seq,0.003367"
"ESRRA","-2.65321298576905118","-2.65321298576905118","2.65321298576905118","Repressed","50","viper","50","2.65321298576905118",NA,NA,"5","ENCODE--ChIP-seq(rank=92); ReMap--ChIP-seq(rank=134); Enrichr--Queries(rank=1136); ARCHS4--Coexpression(rank=1351); GTEx--Coexpression(rank=1544)","1223","0.45119999999999999","ReMap ChIP-seq,0.4512"
"KLF4","2.63102377839152801","2.63102377839152801","2.63102377839152801","Activated","51","viper","51","2.63102377839152801",NA,NA,"5","ARCHS4--Coexpression(rank=10); Enrichr--Queries(rank=10); Literature--ChIP-seq(rank=56); GTEx--Coexpression(rank=70); ReMap--ChIP-seq(rank=104)","22","0.00614300000000000","ARCHS4 Coexpression,0.006143"
"SP1","2.61983094494230073","2.61983094494230073","2.61983094494230073","Activated","52","viper","52","2.61983094494230073",NA,NA,"5","ENCODE--ChIP-seq(rank=43); ReMap--ChIP-seq(rank=63); ARCHS4--Coexpression(rank=798); GTEx--Coexpression(rank=804); Enrichr--Queries(rank=1159)","714","0.21210000000000001","ReMap ChIP-seq,0.2121"
"ATF6","2.57388390736678252","2.57388390736678252","2.57388390736678252","Activated","53","viper","53","2.57388390736678252",NA,NA,"3","GTEx--Coexpression(rank=421); ARCHS4--Coexpression(rank=470); Enrichr--Queries(rank=725)","842","0.26200000000000001","GTEx Coexpression,0.262"
"ETS1","2.57168428817246575","2.57168428817246575","2.57168428817246575","Activated","54","viper","54","2.57168428817246575",NA,NA,"6","ENCODE--ChIP-seq(rank=22); ReMap--ChIP-seq(rank=78); ARCHS4--Coexpression(rank=93); Literature--ChIP-seq(rank=147); GTEx--Coexpression(rank=151); Enrichr--Queries(rank=194)","211","0.05713000000000000","ARCHS4 Coexpression,0.05713"
"STAT5A","2.56707912086989554","2.56707912086989554","2.56707912086989554","Activated","55","viper","55","2.56707912086989554",NA,NA,"6","Literature--ChIP-seq(rank=48); ENCODE--ChIP-seq(rank=82); GTEx--Coexpression(rank=128); ReMap--ChIP-seq(rank=242); Enrichr--Queries(rank=369); ARCHS4--Coexpression(rank=494)","298","0.07965000000000000","GTEx Coexpression,0.07965"
"WT1","2.53248405139069721","2.53248405139069721","2.53248405139069721","Activated","56","viper","56","2.53248405139069721",NA,NA,"4","Literature--ChIP-seq(rank=5); Enrichr--Queries(rank=231); ARCHS4--Coexpression(rank=337); GTEx--Coexpression(rank=938)","118","0.03049000000000000","Literature ChIP-seq,0.03049"
"PDX1","2.49267329544867211","2.49267329544867211","2.49267329544867211","Activated","57","viper","57","2.49267329544867211",NA,NA,"5","ReMap--ChIP-seq(rank=31); Literature--ChIP-seq(rank=126); ARCHS4--Coexpression(rank=132); GTEx--Coexpression(rank=621); Enrichr--Queries(rank=1041)","305","0.08108000000000000","ARCHS4 Coexpression,0.08108"
"ZNF217","2.47688497252913953","2.47688497252913953","2.47688497252913953","Activated","58","viper","58","2.47688497252913953",NA,NA,"6","ENCODE--ChIP-seq(rank=45); Literature--ChIP-seq(rank=46); ReMap--ChIP-seq(rank=163); Enrichr--Queries(rank=434); ARCHS4--Coexpression(rank=810); GTEx--Coexpression(rank=1353)","885","0.28050000000000003","Literature ChIP-seq,0.2805"
"NANOG","2.47474097753839306","2.47474097753839306","2.47474097753839306","Activated","59","viper","59","2.47474097753839306",NA,NA,"6","Literature--ChIP-seq(rank=37); ReMap--ChIP-seq(rank=91); ENCODE--ChIP-seq(rank=93); ARCHS4--Coexpression(rank=448); Enrichr--Queries(rank=713); GTEx--Coexpression(rank=882)","747","0.22559999999999999","Literature ChIP-seq,0.2256"
"SMAD3","2.46051975344099327","2.46051975344099327","2.46051975344099327","Activated","60","viper","60","2.46051975344099327",NA,NA,"5","ReMap--ChIP-seq(rank=3); Literature--ChIP-seq(rank=18); Enrichr--Queries(rank=342); GTEx--Coexpression(rank=400); ARCHS4--Coexpression(rank=553)","39","0.01010000000000000","ReMap ChIP-seq,0.0101"
"HNF1A","-2.44895837364355806","-2.44895837364355806","2.44895837364355806","Repressed","61","viper","61","2.44895837364355806",NA,NA,"3","ARCHS4--Coexpression(rank=659); GTEx--Coexpression(rank=796); Enrichr--Queries(rank=845)","1138","0.40479999999999999","ARCHS4 Coexpression,0.4048"
"ZNF274","-2.40587406934976977","-2.40587406934976977","2.40587406934976977","Repressed","62","viper","62","2.40587406934976977",NA,NA,"6","Enrichr--Queries(rank=79); ENCODE--ChIP-seq(rank=104); Literature--ChIP-seq(rank=152); ARCHS4--Coexpression(rank=208); ReMap--ChIP-seq(rank=215); GTEx--Coexpression(rank=898)","208","0.05627000000000000","Enrichr Queries,0.05627"
"NCOA1","2.39731350639832952","2.39731350639832952","2.39731350639832952","Activated","63","viper","63","2.39731350639832952",NA,NA,"4","ReMap--ChIP-seq(rank=147); ARCHS4--Coexpression(rank=268); Enrichr--Queries(rank=976); GTEx--Coexpression(rank=1093)","582","0.16460000000000000","ARCHS4 Coexpression,0.1646"
"ARNT","2.37823388217269072","2.37823388217269072","2.37823388217269072","Activated","64","viper","64","2.37823388217269072",NA,NA,"5","ReMap--ChIP-seq(rank=38); Literature--ChIP-seq(rank=58); GTEx--Coexpression(rank=619); ARCHS4--Coexpression(rank=770); Enrichr--Queries(rank=949)","465","0.12790000000000001","ReMap ChIP-seq,0.1279"
"KLF13","2.37269925120680369","2.37269925120680369","2.37269925120680369","Activated","65","viper","65","2.37269925120680369",NA,NA,"4","ReMap--ChIP-seq(rank=110); ARCHS4--Coexpression(rank=169); Enrichr--Queries(rank=466); GTEx--Coexpression(rank=1364)","383","0.10380000000000000","ARCHS4 Coexpression,0.1038"
"ONECUT1","2.36819081486392324","2.36819081486392324","2.36819081486392324","Activated","66","viper","66","2.36819081486392324",NA,NA,"4","ReMap--ChIP-seq(rank=101); GTEx--Coexpression(rank=466); Enrichr--Queries(rank=933); ARCHS4--Coexpression(rank=1015)","910","0.28999999999999998","GTEx Coexpression,0.29"
"CREM","2.35909611700060040","2.35909611700060040","2.35909611700060040","Activated","67","viper","67","2.35909611700060040",NA,NA,"5","ARCHS4--Coexpression(rank=30); Enrichr--Queries(rank=105); Literature--ChIP-seq(rank=137); ReMap--ChIP-seq(rank=169); GTEx--Coexpression(rank=1425)","71","0.01843000000000000","ARCHS4 Coexpression,0.01843"
"ETV4","2.33249622446808802","2.33249622446808802","2.33249622446808802","Activated","68","viper","68","2.33249622446808802",NA,NA,"4","ReMap--ChIP-seq(rank=174); Enrichr--Queries(rank=356); ARCHS4--Coexpression(rank=1214); GTEx--Coexpression(rank=1585)","820","0.25359999999999999","Enrichr Queries,0.2536"
"ESR1","2.31887147745194033","2.31887147745194033","2.31887147745194033","Activated","69","viper","69","2.31887147745194033",NA,NA,"6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=248); ARCHS4--Coexpression(rank=323); Enrichr--Queries(rank=343); GTEx--Coexpression(rank=509)","70","0.01829000000000000","Literature ChIP-seq,0.01829"
"MEIS2","2.30142034167572662","2.30142034167572662","2.30142034167572662","Activated","70","viper","70","2.30142034167572662",NA,NA,"4","ReMap--ChIP-seq(rank=34); Enrichr--Queries(rank=305); ARCHS4--Coexpression(rank=457); GTEx--Coexpression(rank=1237)","418","0.11450000000000000","ReMap ChIP-seq,0.1145"
"HOXA9","2.29950465528590753","2.29950465528590753","2.29950465528590753","Activated","71","viper","71","2.29950465528590753",NA,NA,"4","ReMap--ChIP-seq(rank=203); GTEx--Coexpression(rank=331); Enrichr--Queries(rank=479); ARCHS4--Coexpression(rank=878)","703","0.20599999999999999","GTEx Coexpression,0.206"
"PAX5","-2.29713839712150003","-2.29713839712150003","2.29713839712150003","Repressed","72","viper","72","2.29713839712150003",NA,NA,"5","ENCODE--ChIP-seq(rank=64); ReMap--ChIP-seq(rank=199); ARCHS4--Coexpression(rank=210); Enrichr--Queries(rank=802); GTEx--Coexpression(rank=1000)","470","0.12900000000000000","ARCHS4 Coexpression,0.129"
"ZBTB33","2.29063444051055631","2.29063444051055631","2.29063444051055631","Activated","73","viper","73","2.29063444051055631",NA,NA,"5","ENCODE--ChIP-seq(rank=115); ReMap--ChIP-seq(rank=259); GTEx--Coexpression(rank=393); Enrichr--Queries(rank=1066); ARCHS4--Coexpression(rank=1183)","799","0.24460000000000001","GTEx Coexpression,0.2446"
"NFKB1","2.26700858998757804","2.26700858998757804","2.26700858998757804","Activated","74","viper","74","2.26700858998757804",NA,NA,"4","ARCHS4--Coexpression(rank=16); ReMap--ChIP-seq(rank=229); Enrichr--Queries(rank=244); GTEx--Coexpression(rank=1185)","36","0.00982800000000000","ARCHS4 Coexpression,0.009828"
"FOXL2","2.25839697626966673","2.25839697626966673","2.25839697626966673","Activated","75","viper","75","2.25839697626966673",NA,NA,"3","GTEx--Coexpression(rank=881); ARCHS4--Coexpression(rank=990); Enrichr--Queries(rank=1139)","1356","0.54820000000000002","GTEx Coexpression,0.5482"
"SP3","2.25023569172096760","2.25023569172096760","2.25023569172096760","Activated","76","viper","76","2.25023569172096760",NA,NA,"3","GTEx--Coexpression(rank=368); ARCHS4--Coexpression(rank=935); Enrichr--Queries(rank=1202)","756","0.22900000000000001","GTEx Coexpression,0.229"
"ELF1","2.22408639302426714","2.22408639302426714","2.22408639302426714","Activated","77","viper","77","2.22408639302426714",NA,NA,"5","ENCODE--ChIP-seq(rank=101); ARCHS4--Coexpression(rank=137); Literature--ChIP-seq(rank=142); ReMap--ChIP-seq(rank=202); GTEx--Coexpression(rank=806)","317","0.08415000000000000","ARCHS4 Coexpression,0.08415"
"ASCL1","-2.22297102068990560","-2.22297102068990560","2.22297102068990560","Repressed","78","viper","78","2.22297102068990560",NA,NA,"4","ReMap--ChIP-seq(rank=137); GTEx--Coexpression(rank=547); ARCHS4--Coexpression(rank=1010); Enrichr--Queries(rank=1093)","1011","0.34039999999999998","GTEx Coexpression,0.3404"
"FOXO4","2.21175873331801398","2.21175873331801398","2.21175873331801398","Activated","79","viper","79","2.21175873331801398",NA,NA,"3","Enrichr--Queries(rank=186); ARCHS4--Coexpression(rank=579); GTEx--Coexpression(rank=864)","480","0.13250000000000001","Enrichr Queries,0.1325"
